"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2011-12"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Bolton School District","=""0120011""","Learning Disability",18,69.2
"Bolton School District","=""0120011""","Other Disabilities","*","*"
"Bolton School District","=""0120011""","Other Health Impairment",12,52.2
"Bolton School District","=""0120011""","Speech Language Impairment",7,"*"
"Bozrah School District","=""0130011""","All Disabilities",24,61.5
"Bozrah School District","=""0130011""","Autism","*","*"
"Bozrah School District","=""0130011""","Emotional Disturbance",0,0
"Bozrah School District","=""0130011""","Learning Disability",9,"*"
"Bozrah School District","=""0130011""","Other Disabilities","*","*"
"Bozrah School District","=""0130011""","Other Health Impairment",7,"*"
"Bozrah School District","=""0130011""","Speech Language Impairment","*","*"
"Branford School District","=""0140011""","All Disabilities",296,67.7
"Branford School District","=""0140011""","Autism",19,45.2
"Branford School District","=""0140011""","Emotional Disturbance",28,57.1
"Branford School District","=""0140011""","Intellectual Disability","*","*"
"Branford School District","=""0140011""","Learning Disability",89,72.4
"Branford School District","=""0140011""","Other Disabilities","*","*"
"Branford School District","=""0140011""","Other Health Impairment",76,77.6
"Branford School District","=""0140011""","Speech Language Impairment",74,83.1
"Bridgeport School District","=""0150011""","All Disabilities",1178,46.5
"Bridgeport School District","=""0150011""","Autism",36,19.4
"Bridgeport School District","=""0150011""","Emotional Disturbance",85,33.1
"Bridgeport School District","=""0150011""","Intellectual Disability",29,23.2
"Bridgeport School District","=""0150011""","Learning Disability",524,54.2
"Bridgeport School District","=""0150011""","Other Disabilities",41,22.9
"Bridgeport School District","=""0150011""","Other Health Impairment",185,46.1
"Bridgeport School District","=""0150011""","Speech Language Impairment",278,66.2
"Bristol School District","=""0170011""","All Disabilities",637,56.1
"Bristol School District","=""0170011""","Autism",21,32.3
"Bristol School District","=""0170011""","Emotional Disturbance",23,19.8
"Bristol School District","=""0170011""","Intellectual Disability",9,"*"
"Bristol School District","=""0170011""","Learning Disability",265,69.7
"Bristol School District","=""0170011""","Other Disabilities",15,18.8
"Bristol School District","=""0170011""","Other Health Impairment",159,54.5
"Bristol School District","=""0170011""","Speech Language Impairment",145,77.5
"Brookfield School District","=""0180011""","All Disabilities",189,80.4
"Brookfield School District","=""0180011""","Autism",20,62.5
"Brookfield School District","=""0180011""","Emotional Disturbance",12,57.1
"Brookfield School District","=""0180011""","Intellectual Disability",0,0
"Brookfield School District","=""0180011""","Learning Disability",66,86.8
"Brookfield School District","=""0180011""","Other Disabilities",6,"*"
"Brookfield School District","=""0180011""","Other Health Impairment",45,84.9
"Brookfield School District","=""0180011""","Speech Language Impairment",40,97.6
"Brooklyn School District","=""0190011""","All Disabilities",85,65.9
"Brooklyn School District","=""0190011""","Autism","*","*"
"Brooklyn School District","=""0190011""","Emotional Disturbance","*","*"
"Brooklyn School District","=""0190011""","Intellectual Disability",0,0
"Brooklyn School District","=""0190011""","Learning Disability",48,80.0
"Brooklyn School District","=""0190011""","Other Disabilities","*","*"
"Brooklyn School District","=""0190011""","Other Health Impairment",13,65.0
"Brooklyn School District","=""0190011""","Speech Language Impairment",13,"*"
"Canaan School District","=""0210011""","All Disabilities",8,"*"
"Canaan School District","=""0210011""","Emotional Disturbance",0,"*"
"Canaan School District","=""0210011""","Learning Disability","*","*"
"Canaan School District","=""0210011""","Other Disabilities",0,"*"
"Canaan School District","=""0210011""","Speech Language Impairment","*","*"
"Canterbury School District","=""0220011""","All Disabilities",46,68.7
"Canterbury School District","=""0220011""","Autism",6,"*"
"Canterbury School District","=""0220011""","Emotional Disturbance","*","*"
"Canterbury School District","=""0220011""","Intellectual Disability","*","*"
"Canterbury School District","=""0220011""","Learning Disability",15,"*"
"Canterbury School District","=""0220011""","Other Disabilities","*","*"
"Canterbury School District","=""0220011""","Other Health Impairment",14,"*"
"Canterbury School District","=""0220011""","Speech Language Impairment",7,"*"
"Canton School District","=""0230011""","All Disabilities",100,65.8
"Canton School District","=""0230011""","Autism",12,48.0
"Canton School District","=""0230011""","Emotional Disturbance",6,"*"
"Canton School District","=""0230011""","Intellectual Disability","*","*"
"Canton School District","=""0230011""","Learning Disability",31,64.6
"Canton School District","=""0230011""","Other Disabilities","*","*"
"Canton School District","=""0230011""","Other Health Impairment",36,90.0
"Canton School District","=""0230011""","Speech Language Impairment",10,"*"
"Chaplin School District","=""0240011""","All Disabilities",12,"*"
"Chaplin School District","=""0240011""","Intellectual Disability",0,"*"
"Chaplin School District","=""0240011""","Learning Disability","*","*"
"Chaplin School District","=""0240011""","Other Disabilities","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment",7,"*"
"Cheshire School District","=""0250011""","All Disabilities",278,62.3
"Cheshire School District","=""0250011""","Autism",25,41.7
"Cheshire School District","=""0250011""","Emotional Disturbance",17,37.8
"Cheshire School District","=""0250011""","Intellectual Disability","*","*"
"Cheshire School District","=""0250011""","Learning Disability",91,73.4
"Cheshire School District","=""0250011""","Other Disabilities","*","*"
"Cheshire School District","=""0250011""","Other Health Impairment",84,74.3
"Cheshire School District","=""0250011""","Speech Language Impairment",50,84.7
"Chester School District","=""0260011""","All Disabilities",31,96.9
"Chester School District","=""0260011""","Autism","*","*"
"Chester School District","=""0260011""","Learning Disability",15,"*"
"Chester School District","=""0260011""","Other Disabilities","*","*"
"Chester School District","=""0260011""","Other Health Impairment",7,"*"
"Chester School District","=""0260011""","Speech Language Impairment",6,"*"
"Clinton School District","=""0270011""","All Disabilities",129,63.5
"Clinton School District","=""0270011""","Autism",12,52.2
"Clinton School District","=""0270011""","Emotional Disturbance","*","*"
"Clinton School District","=""0270011""","Intellectual Disability",0,0
"Clinton School District","=""0270011""","Learning Disability",54,78.3
"Clinton School District","=""0270011""","Other Disabilities","*","*"
"Clinton School District","=""0270011""","Other Health Impairment",22,59.5
"Clinton School District","=""0270011""","Speech Language Impairment",30,71.4
"Colchester School District","=""0280011""","All Disabilities",292,87.7
"Colchester School District","=""0280011""","Autism",24,77.4
"Colchester School District","=""0280011""","Emotional Disturbance",26,68.4
"Colchester School District","=""0280011""","Intellectual Disability","*","*"
"Colchester School District","=""0280011""","Learning Disability",97,96.0
"Colchester School District","=""0280011""","Other Disabilities","*","*"
"Colchester School District","=""0280011""","Other Health Impairment",29,78.4
"Colchester School District","=""0280011""","Speech Language Impairment",101,99.0
"Colebrook School District","=""0290011""","All Disabilities",7,"*"
"Colebrook School District","=""0290011""","Autism","*","*"
"Colebrook School District","=""0290011""","Emotional Disturbance","*","*"
"Colebrook School District","=""0290011""","Intellectual Disability",0,"*"
"Colebrook School District","=""0290011""","Learning Disability","*","*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment","*","*"
"Columbia School District","=""0300011""","All Disabilities",36,66.7
"Columbia School District","=""0300011""","Autism","*","*"
"Columbia School District","=""0300011""","Emotional Disturbance","*","*"
"Columbia School District","=""0300011""","Intellectual Disability","*","*"
"Columbia School District","=""0300011""","Learning Disability",16,"*"
"Columbia School District","=""0300011""","Other Disabilities","*","*"
"Columbia School District","=""0300011""","Other Health Impairment",9,"*"
"Columbia School District","=""0300011""","Speech Language Impairment","*","*"
"Connecticut Technical High School System","=""9000016""","All Disabilities",756,99.5
"Connecticut Technical High School System","=""9000016""","Autism",38,100.0
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",34,100.0
"Connecticut Technical High School System","=""9000016""","Intellectual Disability","*","*"
"Connecticut Technical High School System","=""9000016""","Learning Disability",420,99.8
"Connecticut Technical High School System","=""9000016""","Other Disabilities","*","*"
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",202,99.5
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",46,100.0
"Cornwall School District","=""0310011""","All Disabilities",8,"*"
"Cornwall School District","=""0310011""","Autism",0,"*"
"Cornwall School District","=""0310011""","Learning Disability","*","*"
"Cornwall School District","=""0310011""","Other Disabilities",0,"*"
"Cornwall School District","=""0310011""","Other Health Impairment","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment","*","*"
"Coventry School District","=""0320011""","All Disabilities",140,72.2
"Coventry School District","=""0320011""","Autism",7,"*"
"Coventry School District","=""0320011""","Emotional Disturbance",19,48.7
"Coventry School District","=""0320011""","Intellectual Disability","*","*"
"Coventry School District","=""0320011""","Learning Disability",69,93.2
"Coventry School District","=""0320011""","Other Disabilities","*","*"
"Coventry School District","=""0320011""","Other Health Impairment",13,"*"
"Coventry School District","=""0320011""","Speech Language Impairment",28,96.6
"Cromwell School District","=""0330011""","All Disabilities",145,75.9
"Cromwell School District","=""0330011""","Autism",11,55.0
"Cromwell School District","=""0330011""","Emotional Disturbance","*","*"
"Cromwell School District","=""0330011""","Intellectual Disability","*","*"
"Cromwell School District","=""0330011""","Learning Disability",42,91.3
"Cromwell School District","=""0330011""","Other Disabilities",7,33.3
"Cromwell School District","=""0330011""","Other Health Impairment",25,83.3
"Cromwell School District","=""0330011""","Speech Language Impairment",52,98.1
"Danbury School District","=""0340011""","All Disabilities",744,73.7
"Danbury School District","=""0340011""","Autism",46,46.0
"Danbury School District","=""0340011""","Emotional Disturbance",24,39.3
"Danbury School District","=""0340011""","Intellectual Disability",13,31.7
"Danbury School District","=""0340011""","Learning Disability",380,85.0
"Danbury School District","=""0340011""","Other Disabilities",17,34.7
"Danbury School District","=""0340011""","Other Health Impairment",137,81.1
"Danbury School District","=""0340011""","Speech Language Impairment",127,88.8
"Darien School District","=""0350011""","All Disabilities",433,80.0
"Darien School District","=""0350011""","Autism",29,54.7
"Darien School District","=""0350011""","Emotional Disturbance","*","*"
"Darien School District","=""0350011""","Intellectual Disability","*","*"
"Darien School District","=""0350011""","Learning Disability",158,91.3
"Darien School District","=""0350011""","Other Disabilities",11,50.0
"Darien School District","=""0350011""","Other Health Impairment",123,80.9
"Darien School District","=""0350011""","Speech Language Impairment",108,88.5
"Deep River School District","=""0360011""","All Disabilities",34,89.5
"Deep River School District","=""0360011""","Autism","*","*"
"Deep River School District","=""0360011""","Intellectual Disability","*","*"
"Deep River School District","=""0360011""","Learning Disability",16,"*"
"Deep River School District","=""0360011""","Other Health Impairment",6,"*"
"Deep River School District","=""0360011""","Speech Language Impairment","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Learning Disability",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Disabilities",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Health Impairment",0,"*"
"Derby School District","=""0370011""","All Disabilities",101,67.3
"Derby School District","=""0370011""","Autism","*","*"
"Derby School District","=""0370011""","Emotional Disturbance","*","*"
"Derby School District","=""0370011""","Intellectual Disability","*","*"
"Derby School District","=""0370011""","Learning Disability",36,90.0
"Derby School District","=""0370011""","Other Disabilities",0,0
"Derby School District","=""0370011""","Other Health Impairment",13,61.9
"Derby School District","=""0370011""","Speech Language Impairment",43,86.0
"East Granby School District","=""0400011""","All Disabilities",77,90.6
"East Granby School District","=""0400011""","Autism","*","*"
"East Granby School District","=""0400011""","Emotional Disturbance","*","*"
"East Granby School District","=""0400011""","Intellectual Disability","*","*"
"East Granby School District","=""0400011""","Learning Disability",32,100.0
"East Granby School District","=""0400011""","Other Disabilities","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",19,95.0
"East Granby School District","=""0400011""","Speech Language Impairment",14,"*"
"East Haddam School District","=""0410011""","All Disabilities",122,79.7
"East Haddam School District","=""0410011""","Autism",15,75.0
"East Haddam School District","=""0410011""","Emotional Disturbance","*","*"
"East Haddam School District","=""0410011""","Intellectual Disability","*","*"
"East Haddam School District","=""0410011""","Learning Disability",35,87.5
"East Haddam School District","=""0410011""","Other Disabilities","*","*"
"East Haddam School District","=""0410011""","Other Health Impairment",21,87.5
"East Haddam School District","=""0410011""","Speech Language Impairment",40,85.1
"East Hampton School District","=""0420011""","All Disabilities",91,67.9
"East Hampton School District","=""0420011""","Autism",14,56.0
"East Hampton School District","=""0420011""","Emotional Disturbance","*","*"
"East Hampton School District","=""0420011""","Intellectual Disability","*","*"
"East Hampton School District","=""0420011""","Learning Disability",29,74.4
"East Hampton School District","=""0420011""","Other Disabilities",0,0
"East Hampton School District","=""0420011""","Other Health Impairment",21,80.8
"East Hampton School District","=""0420011""","Speech Language Impairment",23,79.3
"East Hartford School District","=""0430011""","All Disabilities",745,71.4
"East Hartford School District","=""0430011""","Autism",32,37.6
"East Hartford School District","=""0430011""","Emotional Disturbance",62,49.2
"East Hartford School District","=""0430011""","Intellectual Disability",29,74.4
"East Hartford School District","=""0430011""","Learning Disability",233,82.9
"East Hartford School District","=""0430011""","Other Disabilities",11,16.7
"East Hartford School District","=""0430011""","Other Health Impairment",137,72.5
"East Hartford School District","=""0430011""","Speech Language Impairment",241,93.4
"East Haven School District","=""0440011""","All Disabilities",254,60.6
"East Haven School District","=""0440011""","Autism",22,45.8
"East Haven School District","=""0440011""","Emotional Disturbance",9,37.5
"East Haven School District","=""0440011""","Intellectual Disability",6,"*"
"East Haven School District","=""0440011""","Learning Disability",80,78.4
"East Haven School District","=""0440011""","Other Disabilities",7,17.9
"East Haven School District","=""0440011""","Other Health Impairment",51,58.6
"East Haven School District","=""0440011""","Speech Language Impairment",79,77.5
"East Lyme School District","=""0450011""","All Disabilities",236,73.8
"East Lyme School District","=""0450011""","Autism",18,40.0
"East Lyme School District","=""0450011""","Emotional Disturbance",10,45.5
"East Lyme School District","=""0450011""","Intellectual Disability","*","*"
"East Lyme School District","=""0450011""","Learning Disability",114,91.9
"East Lyme School District","=""0450011""","Other Disabilities","*","*"
"East Lyme School District","=""0450011""","Other Health Impairment",63,76.8
"East Lyme School District","=""0450011""","Speech Language Impairment",22,91.7
"East Windsor School District","=""0470011""","All Disabilities",118,75.2
"East Windsor School District","=""0470011""","Autism",9,"*"
"East Windsor School District","=""0470011""","Emotional Disturbance",10,50.0
"East Windsor School District","=""0470011""","Intellectual Disability","*","*"
"East Windsor School District","=""0470011""","Learning Disability",49,84.5
"East Windsor School District","=""0470011""","Other Disabilities","*","*"
"East Windsor School District","=""0470011""","Other Health Impairment",25,86.2
"East Windsor School District","=""0470011""","Speech Language Impairment",15,"*"
"Eastford School District","=""0390011""","All Disabilities",16,64.0
"Eastford School District","=""0390011""","Autism","*","*"
"Eastford School District","=""0390011""","Emotional Disturbance","*","*"
"Eastford School District","=""0390011""","Intellectual Disability",0,0
"Eastford School District","=""0390011""","Learning Disability","*","*"
"Eastford School District","=""0390011""","Other Health Impairment","*","*"
"Eastford School District","=""0390011""","Speech Language Impairment",7,"*"
"Easton School District","=""0460011""","All Disabilities",52,75.4
"Easton School District","=""0460011""","Autism","*","*"
"Easton School District","=""0460011""","Emotional Disturbance","*","*"
"Easton School District","=""0460011""","Intellectual Disability","*","*"
"Easton School District","=""0460011""","Learning Disability",18,85.7
"Easton School District","=""0460011""","Other Disabilities","*","*"
"Easton School District","=""0460011""","Other Health Impairment",14,"*"
"Easton School District","=""0460011""","Speech Language Impairment",11,"*"
"Ellington School District","=""0480011""","All Disabilities",184,70.2
"Ellington School District","=""0480011""","Autism",11,55.0
"Ellington School District","=""0480011""","Emotional Disturbance",19,73.1
"Ellington School District","=""0480011""","Intellectual Disability",0,0
"Ellington School District","=""0480011""","Learning Disability",102,80.3
"Ellington School District","=""0480011""","Other Disabilities",9,30.0
"Ellington School District","=""0480011""","Other Health Impairment",18,81.8
"Ellington School District","=""0480011""","Speech Language Impairment",25,78.1
"Enfield School District","=""0490011""","All Disabilities",529,75.9
"Enfield School District","=""0490011""","Autism",40,60.6
"Enfield School District","=""0490011""","Emotional Disturbance",34,40.0
"Enfield School District","=""0490011""","Intellectual Disability",13,41.9
"Enfield School District","=""0490011""","Learning Disability",208,91.2
"Enfield School District","=""0490011""","Other Disabilities",21,38.2
"Enfield School District","=""0490011""","Other Health Impairment",68,88.3
"Enfield School District","=""0490011""","Speech Language Impairment",145,93.5
"Essex School District","=""0500011""","All Disabilities",32,84.2
"Essex School District","=""0500011""","Autism","*","*"
"Essex School District","=""0500011""","Emotional Disturbance","*","*"
"Essex School District","=""0500011""","Learning Disability",6,"*"
"Essex School District","=""0500011""","Other Disabilities","*","*"
"Essex School District","=""0500011""","Other Health Impairment",6,"*"
"Essex School District","=""0500011""","Speech Language Impairment",14,"*"
"Fairfield School District","=""0510011""","All Disabilities",813,80.9
"Fairfield School District","=""0510011""","Autism",85,60.7
"Fairfield School District","=""0510011""","Emotional Disturbance",29,69.0
"Fairfield School District","=""0510011""","Intellectual Disability",9,32.1
"Fairfield School District","=""0510011""","Learning Disability",326,91.3
"Fairfield School District","=""0510011""","Other Disabilities",11,32.4
"Fairfield School District","=""0510011""","Other Health Impairment",205,87.2
"Fairfield School District","=""0510011""","Speech Language Impairment",148,87.6
"Farmington School District","=""0520011""","All Disabilities",288,76.2
"Farmington School District","=""0520011""","Autism",50,65.8
"Farmington School District","=""0520011""","Emotional Disturbance",22,68.8
"Farmington School District","=""0520011""","Intellectual Disability","*","*"
"Farmington School District","=""0520011""","Learning Disability",82,87.2
"Farmington School District","=""0520011""","Other Disabilities","*","*"
"Farmington School District","=""0520011""","Other Health Impairment",70,86.4
"Farmington School District","=""0520011""","Speech Language Impairment",56,84.8
"Franklin School District","=""0530011""","All Disabilities",22,75.9
"Franklin School District","=""0530011""","Autism","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance","*","*"
"Franklin School District","=""0530011""","Intellectual Disability",0,0
"Franklin School District","=""0530011""","Learning Disability",10,"*"
"Franklin School District","=""0530011""","Other Health Impairment","*","*"
"Franklin School District","=""0530011""","Speech Language Impairment",6,"*"
"Glastonbury School District","=""0540011""","All Disabilities",456,77.6
"Glastonbury School District","=""0540011""","Autism",49,64.5
"Glastonbury School District","=""0540011""","Emotional Disturbance",23,40.4
"Glastonbury School District","=""0540011""","Intellectual Disability",14,"*"
"Glastonbury School District","=""0540011""","Learning Disability",139,88.5
"Glastonbury School District","=""0540011""","Other Disabilities",12,31.6
"Glastonbury School District","=""0540011""","Other Health Impairment",132,88.0
"Glastonbury School District","=""0540011""","Speech Language Impairment",87,91.6
"Granby School District","=""0560011""","All Disabilities",158,88.3
"Granby School District","=""0560011""","Autism",13,"*"
"Granby School District","=""0560011""","Emotional Disturbance",6,"*"
"Granby School District","=""0560011""","Intellectual Disability","*","*"
"Granby School District","=""0560011""","Learning Disability",59,92.2
"Granby School District","=""0560011""","Other Disabilities","*","*"
"Granby School District","=""0560011""","Other Health Impairment",37,90.2
"Granby School District","=""0560011""","Speech Language Impairment",33,94.3
"Greenwich School District","=""0570011""","All Disabilities",652,78.2
"Greenwich School District","=""0570011""","Autism",53,65.4
"Greenwich School District","=""0570011""","Emotional Disturbance",17,31.5
"Greenwich School District","=""0570011""","Intellectual Disability",12,46.2
"Greenwich School District","=""0570011""","Learning Disability",281,87.3
"Greenwich School District","=""0570011""","Other Disabilities",13,56.5
"Greenwich School District","=""0570011""","Other Health Impairment",116,76.3
"Greenwich School District","=""0570011""","Speech Language Impairment",160,90.9
"Griswold School District","=""0580011""","All Disabilities",158,74.9
"Griswold School District","=""0580011""","Autism",12,"*"
"Griswold School District","=""0580011""","Emotional Disturbance",14,50.0
"Griswold School District","=""0580011""","Intellectual Disability","*","*"
"Griswold School District","=""0580011""","Learning Disability",62,86.1
"Griswold School District","=""0580011""","Other Disabilities","*","*"
"Griswold School District","=""0580011""","Other Health Impairment",39,76.5
"Griswold School District","=""0580011""","Speech Language Impairment",26,96.3
"Groton School District","=""0590011""","All Disabilities",487,78.4
"Groton School District","=""0590011""","Autism",47,56.6
"Groton School District","=""0590011""","Emotional Disturbance",31,50.0
"Groton School District","=""0590011""","Intellectual Disability",25,69.4
"Groton School District","=""0590011""","Learning Disability",181,92.8
"Groton School District","=""0590011""","Other Disabilities",15,46.9
"Groton School District","=""0590011""","Other Health Impairment",84,82.4
"Groton School District","=""0590011""","Speech Language Impairment",104,93.7
"Guilford School District","=""0600011""","All Disabilities",256,70.9
"Guilford School District","=""0600011""","Autism",25,48.1
"Guilford School District","=""0600011""","Emotional Disturbance",23,54.8
"Guilford School District","=""0600011""","Intellectual Disability",12,"*"
"Guilford School District","=""0600011""","Learning Disability",100,78.1
"Guilford School District","=""0600011""","Other Disabilities",6,"*"
"Guilford School District","=""0600011""","Other Health Impairment",61,88.4
"Guilford School District","=""0600011""","Speech Language Impairment",29,67.4
"Hamden School District","=""0620011""","All Disabilities",508,65.4
"Hamden School District","=""0620011""","Autism",35,36.8
"Hamden School District","=""0620011""","Emotional Disturbance",28,43.8
"Hamden School District","=""0620011""","Intellectual Disability",7,25.0
"Hamden School District","=""0620011""","Learning Disability",199,84.0
"Hamden School District","=""0620011""","Other Disabilities",13,27.1
"Hamden School District","=""0620011""","Other Health Impairment",114,71.7
"Hamden School District","=""0620011""","Speech Language Impairment",112,76.7
"Hampton School District","=""0630011""","All Disabilities",11,"*"
"Hampton School District","=""0630011""","Emotional Disturbance",0,"*"
"Hampton School District","=""0630011""","Intellectual Disability","*","*"
"Hampton School District","=""0630011""","Learning Disability","*","*"
"Hampton School District","=""0630011""","Other Disabilities","*","*"
"Hampton School District","=""0630011""","Other Health Impairment","*","*"
"Hampton School District","=""0630011""","Speech Language Impairment","*","*"
"Hartford School District","=""0640011""","All Disabilities",2274,76.2
"Hartford School District","=""0640011""","Autism",122,59.8
"Hartford School District","=""0640011""","Emotional Disturbance",135,37.9
"Hartford School District","=""0640011""","Intellectual Disability",98,58.0
"Hartford School District","=""0640011""","Learning Disability",1200,89.0
"Hartford School District","=""0640011""","Other Disabilities",66,42.9
"Hartford School District","=""0640011""","Other Health Impairment",300,79.4
"Hartford School District","=""0640011""","Speech Language Impairment",353,94.1
"Hartland School District","=""0650011""","All Disabilities",25,89.3
"Hartland School District","=""0650011""","Autism","*","*"
"Hartland School District","=""0650011""","Emotional Disturbance",0,0
"Hartland School District","=""0650011""","Intellectual Disability","*","*"
"Hartland School District","=""0650011""","Learning Disability",9,"*"
"Hartland School District","=""0650011""","Other Health Impairment","*","*"
"Hartland School District","=""0650011""","Speech Language Impairment",10,"*"
"Hebron School District","=""0670011""","All Disabilities",73,88.0
"Hebron School District","=""0670011""","Autism",6,"*"
"Hebron School District","=""0670011""","Emotional Disturbance","*","*"
"Hebron School District","=""0670011""","Intellectual Disability","*","*"
"Hebron School District","=""0670011""","Learning Disability",28,96.6
"Hebron School District","=""0670011""","Other Disabilities",0,0
"Hebron School District","=""0670011""","Other Health Impairment",8,"*"
"Hebron School District","=""0670011""","Speech Language Impairment",29,96.7
"Kent School District","=""0680011""","All Disabilities",19,61.3
