"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2015-16"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Bristol School District","=""0170011""","Other Health Impairment",185,57.5
"Bristol School District","=""0170011""","Speech Language Impairment",79,80.6
"Brookfield School District","=""0180011""","All Disabilities",251,79.9
"Brookfield School District","=""0180011""","Autism",20,45.5
"Brookfield School District","=""0180011""","Emotional Disturbance",12,"*"
"Brookfield School District","=""0180011""","Intellectual Disability","*","*"
"Brookfield School District","=""0180011""","Learning Disability",113,83.7
"Brookfield School District","=""0180011""","Other Disabilities","*","*"
"Brookfield School District","=""0180011""","Other Health Impairment",71,94.7
"Brookfield School District","=""0180011""","Speech Language Impairment",30,90.9
"Brooklyn School District","=""0190011""","All Disabilities",54,47.4
"Brooklyn School District","=""0190011""","Autism","*","*"
"Brooklyn School District","=""0190011""","Emotional Disturbance",6,"*"
"Brooklyn School District","=""0190011""","Intellectual Disability","*","*"
"Brooklyn School District","=""0190011""","Learning Disability",23,47.9
"Brooklyn School District","=""0190011""","Other Disabilities","*","*"
"Brooklyn School District","=""0190011""","Other Health Impairment","*","*"
"Brooklyn School District","=""0190011""","Speech Language Impairment",12,"*"
"Canaan School District","=""0210011""","All Disabilities",6,"*"
"Canaan School District","=""0210011""","Emotional Disturbance","*","*"
"Canaan School District","=""0210011""","Learning Disability","*","*"
"Canaan School District","=""0210011""","Other Health Impairment","*","*"
"Canterbury School District","=""0220011""","All Disabilities",38,57.6
"Canterbury School District","=""0220011""","Autism",9,"*"
"Canterbury School District","=""0220011""","Emotional Disturbance","*","*"
"Canterbury School District","=""0220011""","Intellectual Disability","*","*"
"Canterbury School District","=""0220011""","Learning Disability",11,"*"
"Canterbury School District","=""0220011""","Other Disabilities",0,0
"Canterbury School District","=""0220011""","Other Health Impairment",8,"*"
"Canterbury School District","=""0220011""","Speech Language Impairment","*","*"
"Canton School District","=""0230011""","All Disabilities",116,67.8
"Canton School District","=""0230011""","Autism",16,66.7
"Canton School District","=""0230011""","Emotional Disturbance",8,"*"
"Canton School District","=""0230011""","Intellectual Disability","*","*"
"Canton School District","=""0230011""","Learning Disability",43,68.3
"Canton School District","=""0230011""","Other Disabilities","*","*"
"Canton School District","=""0230011""","Other Health Impairment",33,91.7
"Canton School District","=""0230011""","Speech Language Impairment",11,"*"
"Chaplin School District","=""0240011""","All Disabilities",22,100.0
"Chaplin School District","=""0240011""","Autism","*","*"
"Chaplin School District","=""0240011""","Emotional Disturbance","*","*"
"Chaplin School District","=""0240011""","Learning Disability",10,"*"
"Chaplin School District","=""0240011""","Other Disabilities","*","*"
"Chaplin School District","=""0240011""","Other Health Impairment","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment","*","*"
"Cheshire School District","=""0250011""","All Disabilities",324,70.0
"Cheshire School District","=""0250011""","Autism",35,51.5
"Cheshire School District","=""0250011""","Emotional Disturbance",25,67.6
"Cheshire School District","=""0250011""","Intellectual Disability",7,28.0
"Cheshire School District","=""0250011""","Learning Disability",104,80.0
"Cheshire School District","=""0250011""","Other Disabilities",9,32.1
"Cheshire School District","=""0250011""","Other Health Impairment",104,80.6
"Cheshire School District","=""0250011""","Speech Language Impairment",40,87.0
"Chester School District","=""0260011""","All Disabilities",31,100.0
"Chester School District","=""0260011""","Autism","*","*"
"Chester School District","=""0260011""","Intellectual Disability","*","*"
"Chester School District","=""0260011""","Learning Disability",15,"*"
"Chester School District","=""0260011""","Other Disabilities","*","*"
"Chester School District","=""0260011""","Other Health Impairment","*","*"
"Chester School District","=""0260011""","Speech Language Impairment",6,"*"
"Clinton School District","=""0270011""","All Disabilities",167,83.5
"Clinton School District","=""0270011""","Autism",14,70.0
"Clinton School District","=""0270011""","Emotional Disturbance",10,"*"
"Clinton School District","=""0270011""","Intellectual Disability","*","*"
"Clinton School District","=""0270011""","Learning Disability",62,98.4
"Clinton School District","=""0270011""","Other Disabilities","*","*"
"Clinton School District","=""0270011""","Other Health Impairment",45,90.0
"Clinton School District","=""0270011""","Speech Language Impairment",25,96.2
"Colchester School District","=""0280011""","All Disabilities",296,84.3
"Colchester School District","=""0280011""","Autism",29,72.5
"Colchester School District","=""0280011""","Emotional Disturbance",20,50.0
"Colchester School District","=""0280011""","Intellectual Disability","*","*"
"Colchester School District","=""0280011""","Learning Disability",102,96.2
"Colchester School District","=""0280011""","Other Disabilities","*","*"
"Colchester School District","=""0280011""","Other Health Impairment",46,82.1
"Colchester School District","=""0280011""","Speech Language Impairment",85,97.7
"Colebrook School District","=""0290011""","All Disabilities",12,"*"
"Colebrook School District","=""0290011""","Autism","*","*"
"Colebrook School District","=""0290011""","Learning Disability",6,"*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment","*","*"
"Columbia School District","=""0300011""","All Disabilities",69,78.4
"Columbia School District","=""0300011""","Autism","*","*"
"Columbia School District","=""0300011""","Emotional Disturbance","*","*"
"Columbia School District","=""0300011""","Intellectual Disability","*","*"
"Columbia School District","=""0300011""","Learning Disability",26,92.9
"Columbia School District","=""0300011""","Other Disabilities","*","*"
"Columbia School District","=""0300011""","Other Health Impairment",25,83.3
"Columbia School District","=""0300011""","Speech Language Impairment","*","*"
"Connecticut Technical High School System","=""9000016""","All Disabilities",1006,98.9
"Connecticut Technical High School System","=""9000016""","Autism",53,100.0
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",42,93.3
"Connecticut Technical High School System","=""9000016""","Intellectual Disability","*","*"
"Connecticut Technical High School System","=""9000016""","Learning Disability",579,99.1
"Connecticut Technical High School System","=""9000016""","Other Disabilities","*","*"
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",268,98.9
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",49,100.0
"Cornwall School District","=""0310011""","All Disabilities",12,"*"
"Cornwall School District","=""0310011""","Autism","*","*"
"Cornwall School District","=""0310011""","Emotional Disturbance","*","*"
"Cornwall School District","=""0310011""","Learning Disability",7,"*"
"Cornwall School District","=""0310011""","Other Health Impairment","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment","*","*"
"Coventry School District","=""0320011""","All Disabilities",152,79.2
"Coventry School District","=""0320011""","Autism",8,"*"
"Coventry School District","=""0320011""","Emotional Disturbance",16,76.2
"Coventry School District","=""0320011""","Intellectual Disability","*","*"
"Coventry School District","=""0320011""","Learning Disability",77,87.5
"Coventry School District","=""0320011""","Other Disabilities","*","*"
"Coventry School District","=""0320011""","Other Health Impairment",32,91.4
"Coventry School District","=""0320011""","Speech Language Impairment",13,"*"
"Cromwell School District","=""0330011""","All Disabilities",156,73.6
"Cromwell School District","=""0330011""","Autism",16,53.3
"Cromwell School District","=""0330011""","Emotional Disturbance",9,"*"
"Cromwell School District","=""0330011""","Intellectual Disability","*","*"
"Cromwell School District","=""0330011""","Learning Disability",58,92.1
"Cromwell School District","=""0330011""","Other Disabilities","*","*"
"Cromwell School District","=""0330011""","Other Health Impairment",25,80.6
"Cromwell School District","=""0330011""","Speech Language Impairment",42,89.4
"Danbury School District","=""0340011""","All Disabilities",775,63.5
"Danbury School District","=""0340011""","Autism",66,44.6
"Danbury School District","=""0340011""","Emotional Disturbance",18,37.5
"Danbury School District","=""0340011""","Intellectual Disability",8,14.3
"Danbury School District","=""0340011""","Learning Disability",427,74.3
"Danbury School District","=""0340011""","Other Disabilities",10,18.9
"Danbury School District","=""0340011""","Other Health Impairment",145,71.8
"Danbury School District","=""0340011""","Speech Language Impairment",101,72.7
"Darien School District","=""0350011""","All Disabilities",427,77.4
"Darien School District","=""0350011""","Autism",20,51.3
"Darien School District","=""0350011""","Emotional Disturbance",8,"*"
"Darien School District","=""0350011""","Intellectual Disability",0,0
"Darien School District","=""0350011""","Learning Disability",154,83.7
"Darien School District","=""0350011""","Other Disabilities",10,37.0
"Darien School District","=""0350011""","Other Health Impairment",154,86.5
"Darien School District","=""0350011""","Speech Language Impairment",81,81.8
"Deep River School District","=""0360011""","All Disabilities",38,90.5
"Deep River School District","=""0360011""","Autism","*","*"
"Deep River School District","=""0360011""","Emotional Disturbance","*","*"
"Deep River School District","=""0360011""","Intellectual Disability",0,0
"Deep River School District","=""0360011""","Learning Disability",17,"*"
"Deep River School District","=""0360011""","Other Disabilities","*","*"
"Deep River School District","=""0360011""","Other Health Impairment",14,"*"
"Deep River School District","=""0360011""","Speech Language Impairment","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Health Impairment",0,"*"
"Derby School District","=""0370011""","All Disabilities",127,65.1
"Derby School District","=""0370011""","Autism","*","*"
"Derby School District","=""0370011""","Emotional Disturbance","*","*"
"Derby School District","=""0370011""","Intellectual Disability","*","*"
"Derby School District","=""0370011""","Learning Disability",41,75.9
"Derby School District","=""0370011""","Other Disabilities","*","*"
"Derby School District","=""0370011""","Other Health Impairment",35,77.8
"Derby School District","=""0370011""","Speech Language Impairment",35,83.3
"East Granby School District","=""0400011""","All Disabilities",83,83.8
"East Granby School District","=""0400011""","Autism",7,"*"
"East Granby School District","=""0400011""","Emotional Disturbance",6,"*"
"East Granby School District","=""0400011""","Intellectual Disability","*","*"
"East Granby School District","=""0400011""","Learning Disability",37,92.5
"East Granby School District","=""0400011""","Other Disabilities","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",13,"*"
"East Granby School District","=""0400011""","Speech Language Impairment",18,"*"
"East Haddam School District","=""0410011""","All Disabilities",124,80.5
"East Haddam School District","=""0410011""","Autism",22,66.7
"East Haddam School District","=""0410011""","Emotional Disturbance","*","*"
"East Haddam School District","=""0410011""","Intellectual Disability","*","*"
"East Haddam School District","=""0410011""","Learning Disability",37,90.2
"East Haddam School District","=""0410011""","Other Disabilities","*","*"
"East Haddam School District","=""0410011""","Other Health Impairment",20,83.3
"East Haddam School District","=""0410011""","Speech Language Impairment",39,92.9
"East Hampton School District","=""0420011""","All Disabilities",107,71.8
"East Hampton School District","=""0420011""","Autism",25,67.6
"East Hampton School District","=""0420011""","Emotional Disturbance","*","*"
"East Hampton School District","=""0420011""","Intellectual Disability",0,0
"East Hampton School District","=""0420011""","Learning Disability",37,80.4
"East Hampton School District","=""0420011""","Other Disabilities",0,0
"East Hampton School District","=""0420011""","Other Health Impairment","*","*"
"East Hampton School District","=""0420011""","Speech Language Impairment",26,89.7
"East Hartford School District","=""0430011""","All Disabilities",758,69.6
"East Hartford School District","=""0430011""","Autism",45,33.3
"East Hartford School District","=""0430011""","Emotional Disturbance",53,46.5
"East Hartford School District","=""0430011""","Intellectual Disability",17,44.7
"East Hartford School District","=""0430011""","Learning Disability",291,89.5
"East Hartford School District","=""0430011""","Other Disabilities",19,26.4
"East Hartford School District","=""0430011""","Other Health Impairment",188,74.0
"East Hartford School District","=""0430011""","Speech Language Impairment",145,96.0
"East Haven School District","=""0440011""","All Disabilities",279,65.8
"East Haven School District","=""0440011""","Autism",30,53.6
"East Haven School District","=""0440011""","Emotional Disturbance",17,51.5
"East Haven School District","=""0440011""","Intellectual Disability","*","*"
"East Haven School District","=""0440011""","Learning Disability",117,81.3
"East Haven School District","=""0440011""","Other Disabilities","*","*"
"East Haven School District","=""0440011""","Other Health Impairment",55,74.3
"East Haven School District","=""0440011""","Speech Language Impairment",53,81.5
"East Lyme School District","=""0450011""","All Disabilities",240,76.7
"East Lyme School District","=""0450011""","Autism",25,55.6
"East Lyme School District","=""0450011""","Emotional Disturbance",6,"*"
"East Lyme School District","=""0450011""","Intellectual Disability","*","*"
"East Lyme School District","=""0450011""","Learning Disability",116,85.9
"East Lyme School District","=""0450011""","Other Disabilities","*","*"
"East Lyme School District","=""0450011""","Other Health Impairment",59,79.7
"East Lyme School District","=""0450011""","Speech Language Impairment",29,87.9
"East Windsor School District","=""0470011""","All Disabilities",98,53.6
"East Windsor School District","=""0470011""","Autism",11,44.0
"East Windsor School District","=""0470011""","Emotional Disturbance","*","*"
"East Windsor School District","=""0470011""","Intellectual Disability",0,0
"East Windsor School District","=""0470011""","Learning Disability",44,62.0
"East Windsor School District","=""0470011""","Other Disabilities","*","*"
"East Windsor School District","=""0470011""","Other Health Impairment",17,63.0
"East Windsor School District","=""0470011""","Speech Language Impairment",15,"*"
"Eastford School District","=""0390011""","All Disabilities",19,79.2
"Eastford School District","=""0390011""","Autism","*","*"
"Eastford School District","=""0390011""","Learning Disability","*","*"
"Eastford School District","=""0390011""","Other Disabilities",0,0
"Eastford School District","=""0390011""","Other Health Impairment","*","*"
"Eastford School District","=""0390011""","Speech Language Impairment",8,"*"
"Easton School District","=""0460011""","All Disabilities",64,81.0
"Easton School District","=""0460011""","Autism","*","*"
"Easton School District","=""0460011""","Emotional Disturbance","*","*"
"Easton School District","=""0460011""","Intellectual Disability",0,0
"Easton School District","=""0460011""","Learning Disability",25,86.2
"Easton School District","=""0460011""","Other Disabilities","*","*"
"Easton School District","=""0460011""","Other Health Impairment",14,"*"
"Easton School District","=""0460011""","Speech Language Impairment",17,"*"
"Ellington School District","=""0480011""","All Disabilities",196,69.0
"Ellington School District","=""0480011""","Autism",13,50.0
"Ellington School District","=""0480011""","Emotional Disturbance",15,60.0
"Ellington School District","=""0480011""","Intellectual Disability","*","*"
"Ellington School District","=""0480011""","Learning Disability",103,76.3
"Ellington School District","=""0480011""","Other Disabilities","*","*"
"Ellington School District","=""0480011""","Other Health Impairment",38,77.6
"Ellington School District","=""0480011""","Speech Language Impairment",19,90.5
"Enfield School District","=""0490011""","All Disabilities",536,74.1
"Enfield School District","=""0490011""","Autism",50,57.5
"Enfield School District","=""0490011""","Emotional Disturbance",31,41.3
"Enfield School District","=""0490011""","Intellectual Disability",7,29.2
"Enfield School District","=""0490011""","Learning Disability",240,88.9
"Enfield School District","=""0490011""","Other Disabilities",16,34.8
"Enfield School District","=""0490011""","Other Health Impairment",86,80.4
"Enfield School District","=""0490011""","Speech Language Impairment",106,93.0
"Essex School District","=""0500011""","All Disabilities",45,83.3
"Essex School District","=""0500011""","Autism",6,"*"
"Essex School District","=""0500011""","Emotional Disturbance","*","*"
"Essex School District","=""0500011""","Learning Disability",13,"*"
"Essex School District","=""0500011""","Other Disabilities","*","*"
"Essex School District","=""0500011""","Other Health Impairment",7,"*"
"Essex School District","=""0500011""","Speech Language Impairment",15,"*"
"Fairfield School District","=""0510011""","All Disabilities",810,79.3
"Fairfield School District","=""0510011""","Autism",73,60.8
"Fairfield School District","=""0510011""","Emotional Disturbance",25,45.5
"Fairfield School District","=""0510011""","Intellectual Disability",12,38.7
"Fairfield School District","=""0510011""","Learning Disability",317,92.2
"Fairfield School District","=""0510011""","Other Disabilities",15,42.9
"Fairfield School District","=""0510011""","Other Health Impairment",213,83.2
"Fairfield School District","=""0510011""","Speech Language Impairment",155,85.6
"Farmington School District","=""0520011""","All Disabilities",294,64.8
"Farmington School District","=""0520011""","Autism",38,45.2
"Farmington School District","=""0520011""","Emotional Disturbance",17,41.5
"Farmington School District","=""0520011""","Intellectual Disability","*","*"
"Farmington School District","=""0520011""","Learning Disability",95,74.2
"Farmington School District","=""0520011""","Other Disabilities","*","*"
"Farmington School District","=""0520011""","Other Health Impairment",90,86.5
"Farmington School District","=""0520011""","Speech Language Impairment",46,67.6
"Franklin School District","=""0530011""","All Disabilities",29,96.7
"Franklin School District","=""0530011""","Autism","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance","*","*"
"Franklin School District","=""0530011""","Intellectual Disability","*","*"
"Franklin School District","=""0530011""","Learning Disability",11,"*"
"Franklin School District","=""0530011""","Other Health Impairment",8,"*"
"Franklin School District","=""0530011""","Speech Language Impairment","*","*"
"Glastonbury School District","=""0540011""","All Disabilities",460,74.8
"Glastonbury School District","=""0540011""","Autism",51,52.6
"Glastonbury School District","=""0540011""","Emotional Disturbance",15,38.5
"Glastonbury School District","=""0540011""","Intellectual Disability","*","*"
"Glastonbury School District","=""0540011""","Learning Disability",176,88.0
"Glastonbury School District","=""0540011""","Other Disabilities","*","*"
"Glastonbury School District","=""0540011""","Other Health Impairment",131,86.8
"Glastonbury School District","=""0540011""","Speech Language Impairment",79,90.8
"Granby School District","=""0560011""","All Disabilities",159,77.9
"Granby School District","=""0560011""","Autism",16,72.7
"Granby School District","=""0560011""","Emotional Disturbance",9,"*"
"Granby School District","=""0560011""","Intellectual Disability","*","*"
"Granby School District","=""0560011""","Learning Disability",53,81.5
"Granby School District","=""0560011""","Other Disabilities","*","*"
"Granby School District","=""0560011""","Other Health Impairment",57,85.1
"Granby School District","=""0560011""","Speech Language Impairment",19,86.4
"Greenwich School District","=""0570011""","All Disabilities",607,70.3
"Greenwich School District","=""0570011""","Autism",55,55.6
"Greenwich School District","=""0570011""","Emotional Disturbance",21,36.8
"Greenwich School District","=""0570011""","Intellectual Disability","*","*"
"Greenwich School District","=""0570011""","Learning Disability",302,78.9
"Greenwich School District","=""0570011""","Other Disabilities","*","*"
"Greenwich School District","=""0570011""","Other Health Impairment",117,75.0
"Greenwich School District","=""0570011""","Speech Language Impairment",99,81.8
"Griswold School District","=""0580011""","All Disabilities",120,51.5
"Griswold School District","=""0580011""","Autism","*","*"
"Griswold School District","=""0580011""","Emotional Disturbance",12,40.0
"Griswold School District","=""0580011""","Intellectual Disability","*","*"
"Griswold School District","=""0580011""","Learning Disability",44,64.7
"Griswold School District","=""0580011""","Other Disabilities",0,0
"Griswold School District","=""0580011""","Other Health Impairment",33,55.9
"Griswold School District","=""0580011""","Speech Language Impairment",18,69.2
"Groton School District","=""0590011""","All Disabilities",479,71.2
"Groton School District","=""0590011""","Autism",40,42.6
"Groton School District","=""0590011""","Emotional Disturbance",36,47.4
"Groton School District","=""0590011""","Intellectual Disability",10,30.3
"Groton School District","=""0590011""","Learning Disability",206,94.1
"Groton School District","=""0590011""","Other Disabilities",9,25.7
"Groton School District","=""0590011""","Other Health Impairment",84,74.3
"Groton School District","=""0590011""","Speech Language Impairment",94,91.3
"Guilford School District","=""0600011""","All Disabilities",276,71.3
"Guilford School District","=""0600011""","Autism",32,50.0
"Guilford School District","=""0600011""","Emotional Disturbance",18,51.4
"Guilford School District","=""0600011""","Intellectual Disability",12,"*"
"Guilford School District","=""0600011""","Learning Disability",103,87.3
"Guilford School District","=""0600011""","Other Disabilities",7,33.3
"Guilford School District","=""0600011""","Other Health Impairment",71,80.7
"Guilford School District","=""0600011""","Speech Language Impairment",33,78.6
"Hamden School District","=""0620011""","All Disabilities",586,60.3
"Hamden School District","=""0620011""","Autism",64,42.4
"Hamden School District","=""0620011""","Emotional Disturbance",29,31.2
"Hamden School District","=""0620011""","Intellectual Disability","*","*"
"Hamden School District","=""0620011""","Learning Disability",223,72.6
"Hamden School District","=""0620011""","Other Disabilities","*","*"
"Hamden School District","=""0620011""","Other Health Impairment",141,69.5
"Hamden School District","=""0620011""","Speech Language Impairment",121,77.6
"Hampton School District","=""0630011""","All Disabilities",12,"*"
"Hampton School District","=""0630011""","Autism",0,"*"
"Hampton School District","=""0630011""","Intellectual Disability","*","*"
"Hampton School District","=""0630011""","Learning Disability","*","*"
"Hampton School District","=""0630011""","Other Disabilities","*","*"
"Hampton School District","=""0630011""","Other Health Impairment","*","*"
"Hampton School District","=""0630011""","Speech Language Impairment","*","*"
"Hartford School District","=""0640011""","All Disabilities",2652,75.9
"Hartford School District","=""0640011""","Autism",210,60.3
"Hartford School District","=""0640011""","Emotional Disturbance",103,29.6
"Hartford School District","=""0640011""","Intellectual Disability",89,48.6
"Hartford School District","=""0640011""","Learning Disability",1168,91.8
"Hartford School District","=""0640011""","Other Disabilities",78,43.1
"Hartford School District","=""0640011""","Other Health Impairment",542,79.4
"Hartford School District","=""0640011""","Speech Language Impairment",462,96.7
"Hartland School District","=""0650011""","All Disabilities",24,75.0
"Hartland School District","=""0650011""","Autism","*","*"
"Hartland School District","=""0650011""","Emotional Disturbance",0,0
"Hartland School District","=""0650011""","Intellectual Disability","*","*"
"Hartland School District","=""0650011""","Learning Disability",11,"*"
"Hartland School District","=""0650011""","Other Disabilities",0,0
"Hartland School District","=""0650011""","Other Health Impairment","*","*"
"Hartland School District","=""0650011""","Speech Language Impairment","*","*"
"Hebron School District","=""0670011""","All Disabilities",63,78.8
"Hebron School District","=""0670011""","Autism",10,"*"
"Hebron School District","=""0670011""","Emotional Disturbance","*","*"
"Hebron School District","=""0670011""","Intellectual Disability","*","*"
"Hebron School District","=""0670011""","Learning Disability",19,70.4
"Hebron School District","=""0670011""","Other Disabilities",0,0
"Hebron School District","=""0670011""","Other Health Impairment",13,"*"
"Hebron School District","=""0670011""","Speech Language Impairment",18,"*"
"Kent School District","=""0680011""","All Disabilities",17,77.3
"Kent School District","=""0680011""","Autism","*","*"
"Kent School District","=""0680011""","Learning Disability",11,"*"
"Kent School District","=""0680011""","Other Health Impairment","*","*"
"Kent School District","=""0680011""","Speech Language Impairment","*","*"
