"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2010-11"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Brookfield School District","=""0180011""","Other Health Impairment",47,94.0
"Brookfield School District","=""0180011""","Speech Language Impairment",40,90.9
"Brooklyn School District","=""0190011""","All Disabilities",88,68.2
"Brooklyn School District","=""0190011""","Autism","*","*"
"Brooklyn School District","=""0190011""","Emotional Disturbance","*","*"
"Brooklyn School District","=""0190011""","Intellectual Disability",0,0
"Brooklyn School District","=""0190011""","Learning Disability",47,83.9
"Brooklyn School District","=""0190011""","Other Disabilities","*","*"
"Brooklyn School District","=""0190011""","Other Health Impairment",11,"*"
"Brooklyn School District","=""0190011""","Speech Language Impairment",21,84.0
"Canaan School District","=""0210011""","All Disabilities",10,"*"
"Canaan School District","=""0210011""","Emotional Disturbance","*","*"
"Canaan School District","=""0210011""","Learning Disability",6,"*"
"Canaan School District","=""0210011""","Other Disabilities",0,"*"
"Canaan School District","=""0210011""","Speech Language Impairment","*","*"
"Canterbury School District","=""0220011""","All Disabilities",46,68.7
"Canterbury School District","=""0220011""","Autism","*","*"
"Canterbury School District","=""0220011""","Emotional Disturbance","*","*"
"Canterbury School District","=""0220011""","Intellectual Disability","*","*"
"Canterbury School District","=""0220011""","Learning Disability",15,"*"
"Canterbury School District","=""0220011""","Other Disabilities","*","*"
"Canterbury School District","=""0220011""","Other Health Impairment",14,"*"
"Canterbury School District","=""0220011""","Speech Language Impairment",7,"*"
"Canton School District","=""0230011""","All Disabilities",100,66.7
"Canton School District","=""0230011""","Autism",10,45.5
"Canton School District","=""0230011""","Emotional Disturbance","*","*"
"Canton School District","=""0230011""","Intellectual Disability","*","*"
"Canton School District","=""0230011""","Learning Disability",42,73.7
"Canton School District","=""0230011""","Other Disabilities","*","*"
"Canton School District","=""0230011""","Other Health Impairment",31,86.1
"Canton School District","=""0230011""","Speech Language Impairment",9,"*"
"Chaplin School District","=""0240011""","All Disabilities",12,"*"
"Chaplin School District","=""0240011""","Intellectual Disability",0,"*"
"Chaplin School District","=""0240011""","Learning Disability","*","*"
"Chaplin School District","=""0240011""","Other Disabilities","*","*"
"Chaplin School District","=""0240011""","Other Health Impairment","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment",6,"*"
"Cheshire School District","=""0250011""","All Disabilities",283,63.3
"Cheshire School District","=""0250011""","Autism",16,30.2
"Cheshire School District","=""0250011""","Emotional Disturbance",13,39.4
"Cheshire School District","=""0250011""","Intellectual Disability","*","*"
"Cheshire School District","=""0250011""","Learning Disability",92,74.2
"Cheshire School District","=""0250011""","Other Disabilities","*","*"
"Cheshire School District","=""0250011""","Other Health Impairment",86,72.9
"Cheshire School District","=""0250011""","Speech Language Impairment",61,84.7
"Chester School District","=""0260011""","All Disabilities",30,96.8
"Chester School District","=""0260011""","Autism","*","*"
"Chester School District","=""0260011""","Intellectual Disability","*","*"
"Chester School District","=""0260011""","Learning Disability",11,"*"
"Chester School District","=""0260011""","Other Disabilities","*","*"
"Chester School District","=""0260011""","Other Health Impairment",8,"*"
"Chester School District","=""0260011""","Speech Language Impairment",6,"*"
"Clinton School District","=""0270011""","All Disabilities",153,65.4
"Clinton School District","=""0270011""","Autism",10,"*"
"Clinton School District","=""0270011""","Emotional Disturbance",7,"*"
"Clinton School District","=""0270011""","Intellectual Disability","*","*"
"Clinton School District","=""0270011""","Learning Disability",80,84.2
"Clinton School District","=""0270011""","Other Disabilities","*","*"
"Clinton School District","=""0270011""","Other Health Impairment",25,55.6
"Clinton School District","=""0270011""","Speech Language Impairment",28,73.7
"Colchester School District","=""0280011""","All Disabilities",295,86.8
"Colchester School District","=""0280011""","Autism",19,73.1
"Colchester School District","=""0280011""","Emotional Disturbance",23,57.5
"Colchester School District","=""0280011""","Intellectual Disability","*","*"
"Colchester School District","=""0280011""","Learning Disability",108,95.6
"Colchester School District","=""0280011""","Other Disabilities","*","*"
"Colchester School District","=""0280011""","Other Health Impairment",37,88.1
"Colchester School District","=""0280011""","Speech Language Impairment",92,98.9
"Colebrook School District","=""0290011""","All Disabilities",15,"*"
"Colebrook School District","=""0290011""","Autism","*","*"
"Colebrook School District","=""0290011""","Emotional Disturbance","*","*"
"Colebrook School District","=""0290011""","Intellectual Disability",0,"*"
"Colebrook School District","=""0290011""","Learning Disability",6,"*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment","*","*"
"Columbia School District","=""0300011""","All Disabilities",36,63.2
"Columbia School District","=""0300011""","Autism","*","*"
"Columbia School District","=""0300011""","Emotional Disturbance","*","*"
"Columbia School District","=""0300011""","Intellectual Disability","*","*"
"Columbia School District","=""0300011""","Learning Disability",12,"*"
"Columbia School District","=""0300011""","Other Disabilities",0,0
"Columbia School District","=""0300011""","Other Health Impairment",7,"*"
"Columbia School District","=""0300011""","Speech Language Impairment",12,"*"
"Connecticut Technical High School System","=""9000016""","All Disabilities",739,99.7
"Connecticut Technical High School System","=""9000016""","Autism",30,100.0
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",39,100.0
"Connecticut Technical High School System","=""9000016""","Intellectual Disability","*","*"
"Connecticut Technical High School System","=""9000016""","Learning Disability",420,100.0
"Connecticut Technical High School System","=""9000016""","Other Disabilities","*","*"
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",199,99.0
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",40,100.0
"Cornwall School District","=""0310011""","All Disabilities",9,"*"
"Cornwall School District","=""0310011""","Autism","*","*"
"Cornwall School District","=""0310011""","Learning Disability","*","*"
"Cornwall School District","=""0310011""","Other Disabilities",0,"*"
"Cornwall School District","=""0310011""","Other Health Impairment","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment","*","*"
"Coventry School District","=""0320011""","All Disabilities",151,76.3
"Coventry School District","=""0320011""","Autism",7,"*"
"Coventry School District","=""0320011""","Emotional Disturbance",22,59.5
"Coventry School District","=""0320011""","Intellectual Disability","*","*"
"Coventry School District","=""0320011""","Learning Disability",68,93.2
"Coventry School District","=""0320011""","Other Disabilities","*","*"
"Coventry School District","=""0320011""","Other Health Impairment",21,87.5
"Coventry School District","=""0320011""","Speech Language Impairment",25,92.6
"Cromwell School District","=""0330011""","All Disabilities",146,79.3
"Cromwell School District","=""0330011""","Autism",8,"*"
"Cromwell School District","=""0330011""","Emotional Disturbance","*","*"
"Cromwell School District","=""0330011""","Intellectual Disability","*","*"
"Cromwell School District","=""0330011""","Learning Disability",42,95.5
"Cromwell School District","=""0330011""","Other Disabilities",8,"*"
"Cromwell School District","=""0330011""","Other Health Impairment",28,93.3
"Cromwell School District","=""0330011""","Speech Language Impairment",56,90.3
"Danbury School District","=""0340011""","All Disabilities",794,77.5
"Danbury School District","=""0340011""","Autism",42,43.8
"Danbury School District","=""0340011""","Emotional Disturbance",29,49.2
"Danbury School District","=""0340011""","Intellectual Disability",21,47.7
"Danbury School District","=""0340011""","Learning Disability",426,90.6
"Danbury School District","=""0340011""","Other Disabilities",22,44.9
"Danbury School District","=""0340011""","Other Health Impairment",130,77.8
"Danbury School District","=""0340011""","Speech Language Impairment",124,89.2
"Darien School District","=""0350011""","All Disabilities",397,79.6
"Darien School District","=""0350011""","Autism",22,44.9
"Darien School District","=""0350011""","Emotional Disturbance",7,"*"
"Darien School District","=""0350011""","Intellectual Disability","*","*"
"Darien School District","=""0350011""","Learning Disability",159,94.6
"Darien School District","=""0350011""","Other Disabilities","*","*"
"Darien School District","=""0350011""","Other Health Impairment",101,78.9
"Darien School District","=""0350011""","Speech Language Impairment",100,86.2
"Deep River School District","=""0360011""","All Disabilities",28,84.8
"Deep River School District","=""0360011""","Autism","*","*"
"Deep River School District","=""0360011""","Emotional Disturbance","*","*"
"Deep River School District","=""0360011""","Intellectual Disability","*","*"
"Deep River School District","=""0360011""","Learning Disability",10,"*"
"Deep River School District","=""0360011""","Other Health Impairment","*","*"
"Deep River School District","=""0360011""","Speech Language Impairment","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Learning Disability",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Health Impairment",0,"*"
"Derby School District","=""0370011""","All Disabilities",100,68.5
"Derby School District","=""0370011""","Autism","*","*"
"Derby School District","=""0370011""","Emotional Disturbance","*","*"
"Derby School District","=""0370011""","Intellectual Disability","*","*"
"Derby School District","=""0370011""","Learning Disability",25,78.1
"Derby School District","=""0370011""","Other Disabilities","*","*"
"Derby School District","=""0370011""","Other Health Impairment",17,58.6
"Derby School District","=""0370011""","Speech Language Impairment",45,93.8
"East Granby School District","=""0400011""","All Disabilities",82,93.2
"East Granby School District","=""0400011""","Autism",7,"*"
"East Granby School District","=""0400011""","Emotional Disturbance","*","*"
"East Granby School District","=""0400011""","Intellectual Disability","*","*"
"East Granby School District","=""0400011""","Learning Disability",33,100.0
"East Granby School District","=""0400011""","Other Disabilities","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",19,"*"
"East Granby School District","=""0400011""","Speech Language Impairment",16,"*"
"East Haddam School District","=""0410011""","All Disabilities",123,82.6
"East Haddam School District","=""0410011""","Autism",11,"*"
"East Haddam School District","=""0410011""","Emotional Disturbance","*","*"
"East Haddam School District","=""0410011""","Intellectual Disability",8,"*"
"East Haddam School District","=""0410011""","Learning Disability",40,93.0
"East Haddam School District","=""0410011""","Other Disabilities","*","*"
"East Haddam School District","=""0410011""","Other Health Impairment",18,90.0
"East Haddam School District","=""0410011""","Speech Language Impairment",40,88.9
"East Hampton School District","=""0420011""","All Disabilities",96,69.6
"East Hampton School District","=""0420011""","Autism",15,65.2
"East Hampton School District","=""0420011""","Emotional Disturbance","*","*"
"East Hampton School District","=""0420011""","Intellectual Disability","*","*"
"East Hampton School District","=""0420011""","Learning Disability",19,61.3
"East Hampton School District","=""0420011""","Other Disabilities","*","*"
"East Hampton School District","=""0420011""","Other Health Impairment",28,87.5
"East Hampton School District","=""0420011""","Speech Language Impairment",23,82.1
"East Hartford School District","=""0430011""","All Disabilities",711,71.0
"East Hartford School District","=""0430011""","Autism",27,38.0
"East Hartford School District","=""0430011""","Emotional Disturbance",43,35.2
"East Hartford School District","=""0430011""","Intellectual Disability",24,61.5
"East Hartford School District","=""0430011""","Learning Disability",230,84.9
"East Hartford School District","=""0430011""","Other Disabilities",25,35.2
"East Hartford School District","=""0430011""","Other Health Impairment",104,68.4
"East Hartford School District","=""0430011""","Speech Language Impairment",258,93.8
"East Haven School District","=""0440011""","All Disabilities",247,59.7
"East Haven School District","=""0440011""","Autism",11,28.9
"East Haven School District","=""0440011""","Emotional Disturbance",9,39.1
"East Haven School District","=""0440011""","Intellectual Disability","*","*"
"East Haven School District","=""0440011""","Learning Disability",80,72.7
"East Haven School District","=""0440011""","Other Disabilities","*","*"
"East Haven School District","=""0440011""","Other Health Impairment",59,62.1
"East Haven School District","=""0440011""","Speech Language Impairment",80,76.9
"East Lyme School District","=""0450011""","All Disabilities",259,80.2
"East Lyme School District","=""0450011""","Autism",27,61.4
"East Lyme School District","=""0450011""","Emotional Disturbance",12,57.1
"East Lyme School District","=""0450011""","Intellectual Disability",8,"*"
"East Lyme School District","=""0450011""","Learning Disability",105,92.9
"East Lyme School District","=""0450011""","Other Disabilities",8,"*"
"East Lyme School District","=""0450011""","Other Health Impairment",71,83.5
"East Lyme School District","=""0450011""","Speech Language Impairment",28,90.3
"East Windsor School District","=""0470011""","All Disabilities",129,80.1
"East Windsor School District","=""0470011""","Autism",7,"*"
"East Windsor School District","=""0470011""","Emotional Disturbance",8,"*"
"East Windsor School District","=""0470011""","Intellectual Disability",7,"*"
"East Windsor School District","=""0470011""","Learning Disability",61,93.8
"East Windsor School District","=""0470011""","Other Disabilities",6,"*"
"East Windsor School District","=""0470011""","Other Health Impairment",23,82.1
"East Windsor School District","=""0470011""","Speech Language Impairment",17,"*"
"Eastford School District","=""0390011""","All Disabilities",17,70.8
"Eastford School District","=""0390011""","Autism","*","*"
"Eastford School District","=""0390011""","Emotional Disturbance","*","*"
"Eastford School District","=""0390011""","Intellectual Disability",0,0
"Eastford School District","=""0390011""","Learning Disability","*","*"
"Eastford School District","=""0390011""","Other Health Impairment","*","*"
"Eastford School District","=""0390011""","Speech Language Impairment",6,"*"
"Easton School District","=""0460011""","All Disabilities",65,82.3
"Easton School District","=""0460011""","Autism","*","*"
"Easton School District","=""0460011""","Emotional Disturbance","*","*"
"Easton School District","=""0460011""","Intellectual Disability","*","*"
"Easton School District","=""0460011""","Learning Disability",27,96.4
"Easton School District","=""0460011""","Other Disabilities","*","*"
"Easton School District","=""0460011""","Other Health Impairment",13,"*"
"Easton School District","=""0460011""","Speech Language Impairment",17,"*"
"Ellington School District","=""0480011""","All Disabilities",186,74.4
"Ellington School District","=""0480011""","Autism",11,"*"
"Ellington School District","=""0480011""","Emotional Disturbance",16,64.0
"Ellington School District","=""0480011""","Intellectual Disability","*","*"
"Ellington School District","=""0480011""","Learning Disability",101,86.3
"Ellington School District","=""0480011""","Other Disabilities","*","*"
"Ellington School District","=""0480011""","Other Health Impairment",20,74.1
"Ellington School District","=""0480011""","Speech Language Impairment",25,78.1
"Enfield School District","=""0490011""","All Disabilities",564,77.7
"Enfield School District","=""0490011""","Autism",35,55.6
"Enfield School District","=""0490011""","Emotional Disturbance",36,45.0
"Enfield School District","=""0490011""","Intellectual Disability",14,38.9
"Enfield School District","=""0490011""","Learning Disability",235,92.5
"Enfield School District","=""0490011""","Other Disabilities",14,29.2
"Enfield School District","=""0490011""","Other Health Impairment",76,90.5
"Enfield School District","=""0490011""","Speech Language Impairment",154,95.7
"Essex School District","=""0500011""","All Disabilities",27,71.1
"Essex School District","=""0500011""","Autism","*","*"
"Essex School District","=""0500011""","Emotional Disturbance","*","*"
"Essex School District","=""0500011""","Learning Disability",9,"*"
"Essex School District","=""0500011""","Other Disabilities","*","*"
"Essex School District","=""0500011""","Other Health Impairment","*","*"
"Essex School District","=""0500011""","Speech Language Impairment",10,"*"
"Fairfield School District","=""0510011""","All Disabilities",815,83.8
"Fairfield School District","=""0510011""","Autism",83,66.4
"Fairfield School District","=""0510011""","Emotional Disturbance",26,59.1
"Fairfield School District","=""0510011""","Intellectual Disability",13,44.8
"Fairfield School District","=""0510011""","Learning Disability",338,93.9
"Fairfield School District","=""0510011""","Other Disabilities",17,48.6
"Fairfield School District","=""0510011""","Other Health Impairment",190,87.6
"Fairfield School District","=""0510011""","Speech Language Impairment",148,91.4
"Farmington School District","=""0520011""","All Disabilities",311,78.9
"Farmington School District","=""0520011""","Autism",44,68.8
"Farmington School District","=""0520011""","Emotional Disturbance",17,54.8
"Farmington School District","=""0520011""","Intellectual Disability","*","*"
"Farmington School District","=""0520011""","Learning Disability",96,88.9
"Farmington School District","=""0520011""","Other Disabilities","*","*"
"Farmington School District","=""0520011""","Other Health Impairment",73,91.3
"Farmington School District","=""0520011""","Speech Language Impairment",71,87.7
"Franklin School District","=""0530011""","All Disabilities",20,64.5
"Franklin School District","=""0530011""","Autism","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance",0,0
"Franklin School District","=""0530011""","Intellectual Disability",0,0
"Franklin School District","=""0530011""","Learning Disability",8,"*"
"Franklin School District","=""0530011""","Other Health Impairment","*","*"
"Franklin School District","=""0530011""","Speech Language Impairment",9,"*"
"Glastonbury School District","=""0540011""","All Disabilities",483,75.5
"Glastonbury School District","=""0540011""","Autism",46,59.7
"Glastonbury School District","=""0540011""","Emotional Disturbance",21,38.9
"Glastonbury School District","=""0540011""","Intellectual Disability",8,"*"
"Glastonbury School District","=""0540011""","Learning Disability",168,84.8
"Glastonbury School District","=""0540011""","Other Disabilities",18,38.3
"Glastonbury School District","=""0540011""","Other Health Impairment",131,85.1
"Glastonbury School District","=""0540011""","Speech Language Impairment",91,91.0
"Granby School District","=""0560011""","All Disabilities",144,86.7
"Granby School District","=""0560011""","Autism",12,"*"
"Granby School District","=""0560011""","Emotional Disturbance","*","*"
"Granby School District","=""0560011""","Intellectual Disability",6,"*"
"Granby School District","=""0560011""","Learning Disability",53,89.8
"Granby School District","=""0560011""","Other Disabilities","*","*"
"Granby School District","=""0560011""","Other Health Impairment",34,85.0
"Granby School District","=""0560011""","Speech Language Impairment",30,93.8
"Greenwich School District","=""0570011""","All Disabilities",711,81.8
"Greenwich School District","=""0570011""","Autism",46,58.2
"Greenwich School District","=""0570011""","Emotional Disturbance",25,49.0
"Greenwich School District","=""0570011""","Intellectual Disability",10,40.0
"Greenwich School District","=""0570011""","Learning Disability",306,91.3
"Greenwich School District","=""0570011""","Other Disabilities",11,52.4
"Greenwich School District","=""0570011""","Other Health Impairment",126,80.8
"Greenwich School District","=""0570011""","Speech Language Impairment",187,92.6
"Griswold School District","=""0580011""","All Disabilities",160,74.1
"Griswold School District","=""0580011""","Autism",9,"*"
"Griswold School District","=""0580011""","Emotional Disturbance",10,43.5
"Griswold School District","=""0580011""","Intellectual Disability",6,"*"
"Griswold School District","=""0580011""","Learning Disability",65,80.2
"Griswold School District","=""0580011""","Other Disabilities",6,"*"
"Griswold School District","=""0580011""","Other Health Impairment",34,69.4
"Griswold School District","=""0580011""","Speech Language Impairment",30,93.8
"Groton School District","=""0590011""","All Disabilities",448,79.4
"Groton School District","=""0590011""","Autism",40,56.3
"Groton School District","=""0590011""","Emotional Disturbance",27,49.1
"Groton School District","=""0590011""","Intellectual Disability",23,67.6
"Groton School District","=""0590011""","Learning Disability",176,95.7
"Groton School District","=""0590011""","Other Disabilities",15,39.5
"Groton School District","=""0590011""","Other Health Impairment",70,86.4
"Groton School District","=""0590011""","Speech Language Impairment",97,96.0
"Guilford School District","=""0600011""","All Disabilities",262,74.9
"Guilford School District","=""0600011""","Autism",22,48.9
"Guilford School District","=""0600011""","Emotional Disturbance",14,60.9
"Guilford School District","=""0600011""","Intellectual Disability",13,"*"
"Guilford School District","=""0600011""","Learning Disability",110,85.3
"Guilford School District","=""0600011""","Other Disabilities",6,"*"
"Guilford School District","=""0600011""","Other Health Impairment",58,79.5
"Guilford School District","=""0600011""","Speech Language Impairment",39,75.0
"Hamden School District","=""0620011""","All Disabilities",572,68.0
"Hamden School District","=""0620011""","Autism",27,32.9
"Hamden School District","=""0620011""","Emotional Disturbance",35,39.3
"Hamden School District","=""0620011""","Intellectual Disability",14,56.0
"Hamden School District","=""0620011""","Learning Disability",224,87.2
"Hamden School District","=""0620011""","Other Disabilities",14,28.0
"Hamden School District","=""0620011""","Other Health Impairment",128,70.7
"Hamden School District","=""0620011""","Speech Language Impairment",130,82.8
"Hampton School District","=""0630011""","All Disabilities",14,"*"
"Hampton School District","=""0630011""","Intellectual Disability",0,"*"
"Hampton School District","=""0630011""","Learning Disability","*","*"
"Hampton School District","=""0630011""","Other Disabilities","*","*"
"Hampton School District","=""0630011""","Other Health Impairment","*","*"
"Hampton School District","=""0630011""","Speech Language Impairment","*","*"
"Hartford School District","=""0640011""","All Disabilities",2243,78.6
"Hartford School District","=""0640011""","Autism",97,55.4
"Hartford School District","=""0640011""","Emotional Disturbance",168,44.6
"Hartford School District","=""0640011""","Intellectual Disability",106,67.9
"Hartford School District","=""0640011""","Learning Disability",1199,91.4
"Hartford School District","=""0640011""","Other Disabilities",68,46.3
"Hartford School District","=""0640011""","Other Health Impairment",258,80.9
"Hartford School District","=""0640011""","Speech Language Impairment",347,94.0
"Hartland School District","=""0650011""","All Disabilities",21,80.8
"Hartland School District","=""0650011""","Autism","*","*"
"Hartland School District","=""0650011""","Intellectual Disability","*","*"
"Hartland School District","=""0650011""","Learning Disability",7,"*"
"Hartland School District","=""0650011""","Other Health Impairment","*","*"
"Hartland School District","=""0650011""","Speech Language Impairment",7,"*"
"Hebron School District","=""0670011""","All Disabilities",78,86.7
"Hebron School District","=""0670011""","Autism","*","*"
"Hebron School District","=""0670011""","Emotional Disturbance","*","*"
"Hebron School District","=""0670011""","Intellectual Disability","*","*"
"Hebron School District","=""0670011""","Learning Disability",30,96.8
"Hebron School District","=""0670011""","Other Disabilities",0,0
"Hebron School District","=""0670011""","Other Health Impairment",11,"*"
"Hebron School District","=""0670011""","Speech Language Impairment",31,91.2
"Kent School District","=""0680011""","All Disabilities",23,62.2
