"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2014-15"
"All Districts, Other Health Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2014-15",
"Regional School District 04","=""2040012""",19,63.3
"Regional School District 05","=""2050012""",56,91.8
"Regional School District 06","=""2060012""",14,"*"
"Regional School District 07","=""2070012""",9,"*"
"Regional School District 08","=""2080012""",51,69.9
"Regional School District 09","=""2090012""",31,75.6
"Regional School District 10","=""2100012""",43,86.0
"Regional School District 11","=""2110012""",8,"*"
"Regional School District 12","=""2120012""",16,61.5
"Regional School District 13","=""2130012""",45,90.0
"Regional School District 14","=""2140012""",34,91.9
"Regional School District 15","=""2150012""",62,78.5
"Regional School District 16","=""2160012""",47,70.1
"Regional School District 17","=""2170012""",66,89.2
"Regional School District 18","=""2180012""",24,80.0
"Regional School District 19","=""2190012""",33,71.7
"Ridgefield School District","=""1180011""",65,84.4
"Rocky Hill School District","=""1190011""",39,76.5
"Salem School District","=""1210011""",10,"*"
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",33,97.1
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",65,59.6
"Sherman School District","=""1270011""",10,"*"
"Simsbury School District","=""1280011""",106,80.3
"Somers School District","=""1290011""",23,88.5
"South Windsor School District","=""1320011""",132,84.6
"Southington School District","=""1310011""",133,70.0
"Sprague School District","=""1330011""",13,"*"
"Stafford School District","=""1340011""",19,52.8
"Stamford School District","=""1350011""",202,62.7
"Sterling School District","=""1360011""",10,"*"
"Stonington School District","=""1370011""",64,82.1
"Stratford School District","=""1380011""",163,80.7
"Suffield School District","=""1390011""",48,87.3
"Thomaston School District","=""1400011""",18,81.8
"Thompson School District","=""1410011""",8,"*"
"Tolland School District","=""1420011""",41,78.8
"Torrington School District","=""1430011""",85,53.8
"Trumbull School District","=""1440011""",122,74.4
"Unified School District #1","=""3360015""",31,86.1
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",47,72.3
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",144,84.2
"Waterbury School District","=""1510011""",429,64.4
"Waterford School District","=""1520011""",95,83.3
"Watertown School District","=""1530011""",87,82.1
"West Hartford School District","=""1550011""",212,83.5
"West Haven School District","=""1560011""",93,68.4
"Westbrook School District","=""1540011""",9,"*"
"Weston School District","=""1570011""",26,61.9
"Westport School District","=""1580011""",106,91.4
"Wethersfield School District","=""1590011""",83,82.2
"Willington School District","=""1600011""",10,"*"
"Wilton School District","=""1610011""",93,76.9
"Winchester School District","=""1620011""",34,69.4
"Windham School District","=""1630011""",62,77.5
"Windsor Locks School District","=""1650011""",29,74.4
"Windsor School District","=""1640011""",69,78.4
"Wolcott School District","=""1660011""",41,82.0
"Woodbridge School District","=""1670011""",16,"*"
"Woodstock School District","=""1690011""","*","*"

