"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2010-11"
"All Districts, Speech Language Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2010-11",
"Waterford School District","=""1520011""",53,96.4
"Watertown School District","=""1530011""",27,84.4
"West Hartford School District","=""1550011""",149,80.1
"West Haven School District","=""1560011""",156,86.7
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""",22,73.3
"Westport School District","=""1580011""",72,78.3
"Wethersfield School District","=""1590011""",94,95.9
"Willington School District","=""1600011""",19,86.4
"Wilton School District","=""1610011""",38,65.5
"Winchester School District","=""1620011""",27,71.1
"Windham School District","=""1630011""",55,68.8
"Windsor Locks School District","=""1650011""",15,"*"
"Windsor School District","=""1640011""",59,100.0
"Wolcott School District","=""1660011""",33,97.1
"Woodbridge School District","=""1670011""",14,"*"
"Woodstock School District","=""1690011""",10,"*"

