"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2013-14"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Branford School District","=""0140011""","Autism",18,43.9
"Branford School District","=""0140011""","Emotional Disturbance",17,40.5
"Branford School District","=""0140011""","Intellectual Disability",6,"*"
"Branford School District","=""0140011""","Learning Disability",90,78.3
"Branford School District","=""0140011""","Other Disabilities",7,"*"
"Branford School District","=""0140011""","Other Health Impairment",81,77.9
"Branford School District","=""0140011""","Speech Language Impairment",54,72.0
"Bridgeport School District","=""0150011""","All Disabilities",1009,38.2
"Bridgeport School District","=""0150011""","Autism",44,20.3
"Bridgeport School District","=""0150011""","Emotional Disturbance",61,25.4
"Bridgeport School District","=""0150011""","Intellectual Disability",10,7.5
"Bridgeport School District","=""0150011""","Learning Disability",440,43.9
"Bridgeport School District","=""0150011""","Other Disabilities",34,18.0
"Bridgeport School District","=""0150011""","Other Health Impairment",216,44.7
"Bridgeport School District","=""0150011""","Speech Language Impairment",204,54.5
"Bristol School District","=""0170011""","All Disabilities",709,58.5
"Bristol School District","=""0170011""","Autism",35,42.2
"Bristol School District","=""0170011""","Emotional Disturbance",28,22.8
"Bristol School District","=""0170011""","Intellectual Disability",6,"*"
"Bristol School District","=""0170011""","Learning Disability",354,72.5
"Bristol School District","=""0170011""","Other Disabilities",8,11.8
"Bristol School District","=""0170011""","Other Health Impairment",170,54.7
"Bristol School District","=""0170011""","Speech Language Impairment",108,83.1
"Brookfield School District","=""0180011""","All Disabilities",257,84.0
"Brookfield School District","=""0180011""","Autism",26,60.5
"Brookfield School District","=""0180011""","Emotional Disturbance",10,"*"
"Brookfield School District","=""0180011""","Intellectual Disability",0,0
"Brookfield School District","=""0180011""","Learning Disability",101,91.8
"Brookfield School District","=""0180011""","Other Disabilities",6,"*"
"Brookfield School District","=""0180011""","Other Health Impairment",76,91.6
"Brookfield School District","=""0180011""","Speech Language Impairment",38,92.7
"Brooklyn School District","=""0190011""","All Disabilities",82,64.1
"Brooklyn School District","=""0190011""","Autism","*","*"
"Brooklyn School District","=""0190011""","Emotional Disturbance","*","*"
"Brooklyn School District","=""0190011""","Intellectual Disability",0,0
"Brooklyn School District","=""0190011""","Learning Disability",47,79.7
"Brooklyn School District","=""0190011""","Other Disabilities","*","*"
"Brooklyn School District","=""0190011""","Other Health Impairment",14,63.6
"Brooklyn School District","=""0190011""","Speech Language Impairment",9,"*"
"Canaan School District","=""0210011""","All Disabilities",9,"*"
"Canaan School District","=""0210011""","Emotional Disturbance","*","*"
"Canaan School District","=""0210011""","Learning Disability","*","*"
"Canaan School District","=""0210011""","Other Disabilities",0,"*"
"Canaan School District","=""0210011""","Other Health Impairment","*","*"
"Canaan School District","=""0210011""","Speech Language Impairment","*","*"
"Canterbury School District","=""0220011""","All Disabilities",40,61.5
"Canterbury School District","=""0220011""","Autism",9,"*"
"Canterbury School District","=""0220011""","Emotional Disturbance","*","*"
"Canterbury School District","=""0220011""","Learning Disability",9,"*"
"Canterbury School District","=""0220011""","Other Disabilities","*","*"
"Canterbury School District","=""0220011""","Other Health Impairment",13,"*"
"Canterbury School District","=""0220011""","Speech Language Impairment","*","*"
"Canton School District","=""0230011""","All Disabilities",91,57.6
"Canton School District","=""0230011""","Autism",9,40.9
"Canton School District","=""0230011""","Emotional Disturbance",8,"*"
"Canton School District","=""0230011""","Intellectual Disability","*","*"
"Canton School District","=""0230011""","Learning Disability",34,55.7
"Canton School District","=""0230011""","Other Disabilities","*","*"
"Canton School District","=""0230011""","Other Health Impairment",31,83.8
"Canton School District","=""0230011""","Speech Language Impairment",6,"*"
"Chaplin School District","=""0240011""","All Disabilities",18,85.7
"Chaplin School District","=""0240011""","Autism","*","*"
"Chaplin School District","=""0240011""","Emotional Disturbance","*","*"
"Chaplin School District","=""0240011""","Learning Disability",11,"*"
"Chaplin School District","=""0240011""","Other Disabilities",0,0
"Chaplin School District","=""0240011""","Other Health Impairment","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment","*","*"
"Cheshire School District","=""0250011""","All Disabilities",288,64.0
"Cheshire School District","=""0250011""","Autism",34,57.6
"Cheshire School District","=""0250011""","Emotional Disturbance",16,43.2
"Cheshire School District","=""0250011""","Intellectual Disability",7,28.0
"Cheshire School District","=""0250011""","Learning Disability",85,67.5
"Cheshire School District","=""0250011""","Other Disabilities",8,32.0
"Cheshire School District","=""0250011""","Other Health Impairment",82,71.3
"Cheshire School District","=""0250011""","Speech Language Impairment",56,88.9
"Chester School District","=""0260011""","All Disabilities",31,93.9
"Chester School District","=""0260011""","Autism","*","*"
"Chester School District","=""0260011""","Emotional Disturbance",0,0
"Chester School District","=""0260011""","Learning Disability",14,"*"
"Chester School District","=""0260011""","Other Health Impairment",7,"*"
"Chester School District","=""0260011""","Speech Language Impairment","*","*"
"Clinton School District","=""0270011""","All Disabilities",116,60.1
"Clinton School District","=""0270011""","Autism",13,50.0
"Clinton School District","=""0270011""","Emotional Disturbance","*","*"
"Clinton School District","=""0270011""","Intellectual Disability","*","*"
"Clinton School District","=""0270011""","Learning Disability",44,77.2
"Clinton School District","=""0270011""","Other Disabilities","*","*"
"Clinton School District","=""0270011""","Other Health Impairment",30,61.2
"Clinton School District","=""0270011""","Speech Language Impairment",21,72.4
"Colchester School District","=""0280011""","All Disabilities",305,90.5
"Colchester School District","=""0280011""","Autism",24,77.4
"Colchester School District","=""0280011""","Emotional Disturbance",20,62.5
"Colchester School District","=""0280011""","Intellectual Disability","*","*"
"Colchester School District","=""0280011""","Learning Disability",124,98.4
"Colchester School District","=""0280011""","Other Disabilities","*","*"
"Colchester School District","=""0280011""","Other Health Impairment",56,94.9
"Colchester School District","=""0280011""","Speech Language Impairment",64,98.5
"Colebrook School District","=""0290011""","All Disabilities",13,"*"
"Colebrook School District","=""0290011""","Autism","*","*"
"Colebrook School District","=""0290011""","Intellectual Disability","*","*"
"Colebrook School District","=""0290011""","Learning Disability","*","*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment","*","*"
"Columbia School District","=""0300011""","All Disabilities",51,78.5
"Columbia School District","=""0300011""","Autism","*","*"
"Columbia School District","=""0300011""","Emotional Disturbance","*","*"
"Columbia School District","=""0300011""","Intellectual Disability","*","*"
"Columbia School District","=""0300011""","Learning Disability",24,100.0
"Columbia School District","=""0300011""","Other Disabilities","*","*"
"Columbia School District","=""0300011""","Other Health Impairment",14,"*"
"Columbia School District","=""0300011""","Speech Language Impairment","*","*"
"Connecticut Technical High School System","=""9000016""","All Disabilities",878,99.9
"Connecticut Technical High School System","=""9000016""","Autism",45,100.0
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",39,100.0
"Connecticut Technical High School System","=""9000016""","Intellectual Disability","*","*"
"Connecticut Technical High School System","=""9000016""","Learning Disability",507,100.0
"Connecticut Technical High School System","=""9000016""","Other Disabilities","*","*"
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",226,99.6
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",50,100.0
"Cornwall School District","=""0310011""","All Disabilities",10,"*"
"Cornwall School District","=""0310011""","Autism","*","*"
"Cornwall School District","=""0310011""","Emotional Disturbance","*","*"
"Cornwall School District","=""0310011""","Learning Disability","*","*"
"Cornwall School District","=""0310011""","Other Disabilities",0,"*"
"Cornwall School District","=""0310011""","Other Health Impairment","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment",0,"*"
"Coventry School District","=""0320011""","All Disabilities",159,79.9
"Coventry School District","=""0320011""","Autism",13,"*"
"Coventry School District","=""0320011""","Emotional Disturbance",13,56.5
"Coventry School District","=""0320011""","Intellectual Disability","*","*"
"Coventry School District","=""0320011""","Learning Disability",71,89.9
"Coventry School District","=""0320011""","Other Disabilities","*","*"
"Coventry School District","=""0320011""","Other Health Impairment",23,76.7
"Coventry School District","=""0320011""","Speech Language Impairment",25,96.2
"Cromwell School District","=""0330011""","All Disabilities",142,72.8
"Cromwell School District","=""0330011""","Autism",18,60.0
"Cromwell School District","=""0330011""","Emotional Disturbance","*","*"
"Cromwell School District","=""0330011""","Intellectual Disability","*","*"
"Cromwell School District","=""0330011""","Learning Disability",50,92.6
"Cromwell School District","=""0330011""","Other Disabilities","*","*"
"Cromwell School District","=""0330011""","Other Health Impairment",22,91.7
"Cromwell School District","=""0330011""","Speech Language Impairment",43,89.6
"Danbury School District","=""0340011""","All Disabilities",672,60.9
"Danbury School District","=""0340011""","Autism",57,41.6
"Danbury School District","=""0340011""","Emotional Disturbance",18,32.1
"Danbury School District","=""0340011""","Intellectual Disability",7,14.0
"Danbury School District","=""0340011""","Learning Disability",374,73.0
"Danbury School District","=""0340011""","Other Disabilities",15,26.3
"Danbury School District","=""0340011""","Other Health Impairment",119,65.7
"Danbury School District","=""0340011""","Speech Language Impairment",82,73.9
"Darien School District","=""0350011""","All Disabilities",388,77.6
"Darien School District","=""0350011""","Autism",21,47.7
"Darien School District","=""0350011""","Emotional Disturbance","*","*"
"Darien School District","=""0350011""","Intellectual Disability","*","*"
"Darien School District","=""0350011""","Learning Disability",140,88.1
"Darien School District","=""0350011""","Other Disabilities",10,38.5
"Darien School District","=""0350011""","Other Health Impairment",122,82.4
"Darien School District","=""0350011""","Speech Language Impairment",84,89.4
"Deep River School District","=""0360011""","All Disabilities",35,85.4
"Deep River School District","=""0360011""","Autism","*","*"
"Deep River School District","=""0360011""","Emotional Disturbance","*","*"
"Deep River School District","=""0360011""","Intellectual Disability","*","*"
"Deep River School District","=""0360011""","Learning Disability",17,"*"
"Deep River School District","=""0360011""","Other Health Impairment",6,"*"
"Deep River School District","=""0360011""","Speech Language Impairment","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance",0,"*"
"Derby School District","=""0370011""","All Disabilities",126,66.7
"Derby School District","=""0370011""","Autism","*","*"
"Derby School District","=""0370011""","Emotional Disturbance",9,"*"
"Derby School District","=""0370011""","Intellectual Disability","*","*"
"Derby School District","=""0370011""","Learning Disability",45,90.0
"Derby School District","=""0370011""","Other Disabilities",0,0
"Derby School District","=""0370011""","Other Health Impairment",33,73.3
"Derby School District","=""0370011""","Speech Language Impairment",34,69.4
"East Granby School District","=""0400011""","All Disabilities",76,92.7
"East Granby School District","=""0400011""","Autism",8,"*"
"East Granby School District","=""0400011""","Emotional Disturbance","*","*"
"East Granby School District","=""0400011""","Intellectual Disability","*","*"
"East Granby School District","=""0400011""","Learning Disability",33,100.0
"East Granby School District","=""0400011""","Other Disabilities","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",10,"*"
"East Granby School District","=""0400011""","Speech Language Impairment",17,"*"
"East Haddam School District","=""0410011""","All Disabilities",117,72.7
"East Haddam School District","=""0410011""","Autism",15,60.0
"East Haddam School District","=""0410011""","Emotional Disturbance","*","*"
"East Haddam School District","=""0410011""","Intellectual Disability","*","*"
"East Haddam School District","=""0410011""","Learning Disability",41,87.2
"East Haddam School District","=""0410011""","Other Disabilities","*","*"
"East Haddam School District","=""0410011""","Other Health Impairment",17,65.4
"East Haddam School District","=""0410011""","Speech Language Impairment",38,82.6
"East Hampton School District","=""0420011""","All Disabilities",105,73.4
"East Hampton School District","=""0420011""","Autism",23,69.7
"East Hampton School District","=""0420011""","Emotional Disturbance","*","*"
"East Hampton School District","=""0420011""","Intellectual Disability",0,0
"East Hampton School District","=""0420011""","Learning Disability",34,89.5
"East Hampton School District","=""0420011""","Other Disabilities",0,0
"East Hampton School District","=""0420011""","Other Health Impairment","*","*"
"East Hampton School District","=""0420011""","Speech Language Impairment",33,86.8
"East Hartford School District","=""0430011""","All Disabilities",728,69.8
"East Hartford School District","=""0430011""","Autism",34,35.8
"East Hartford School District","=""0430011""","Emotional Disturbance",47,42.7
"East Hartford School District","=""0430011""","Intellectual Disability",16,47.1
"East Hartford School District","=""0430011""","Learning Disability",245,83.9
"East Hartford School District","=""0430011""","Other Disabilities",15,20.0
"East Hartford School District","=""0430011""","Other Health Impairment",176,78.6
"East Hartford School District","=""0430011""","Speech Language Impairment",195,91.5
"East Haven School District","=""0440011""","All Disabilities",263,63.1
"East Haven School District","=""0440011""","Autism",25,46.3
"East Haven School District","=""0440011""","Emotional Disturbance",17,47.2
"East Haven School District","=""0440011""","Intellectual Disability","*","*"
"East Haven School District","=""0440011""","Learning Disability",86,77.5
"East Haven School District","=""0440011""","Other Disabilities","*","*"
"East Haven School District","=""0440011""","Other Health Impairment",52,65.8
"East Haven School District","=""0440011""","Speech Language Impairment",72,80.0
"East Lyme School District","=""0450011""","All Disabilities",248,77.0
"East Lyme School District","=""0450011""","Autism",25,53.2
"East Lyme School District","=""0450011""","Emotional Disturbance",6,"*"
"East Lyme School District","=""0450011""","Intellectual Disability","*","*"
"East Lyme School District","=""0450011""","Learning Disability",118,89.4
"East Lyme School District","=""0450011""","Other Disabilities","*","*"
"East Lyme School District","=""0450011""","Other Health Impairment",67,85.9
"East Lyme School District","=""0450011""","Speech Language Impairment",27,90.0
"East Windsor School District","=""0470011""","All Disabilities",110,58.2
"East Windsor School District","=""0470011""","Autism",9,"*"
"East Windsor School District","=""0470011""","Emotional Disturbance","*","*"
"East Windsor School District","=""0470011""","Intellectual Disability","*","*"
"East Windsor School District","=""0470011""","Learning Disability",49,69.0
"East Windsor School District","=""0470011""","Other Disabilities",0,0
"East Windsor School District","=""0470011""","Other Health Impairment",19,57.6
"East Windsor School District","=""0470011""","Speech Language Impairment",21,100.0
"Eastford School District","=""0390011""","All Disabilities",8,"*"
"Eastford School District","=""0390011""","Autism","*","*"
"Eastford School District","=""0390011""","Intellectual Disability",0,"*"
"Eastford School District","=""0390011""","Learning Disability","*","*"
"Eastford School District","=""0390011""","Other Disabilities",0,"*"
"Eastford School District","=""0390011""","Other Health Impairment","*","*"
"Eastford School District","=""0390011""","Speech Language Impairment","*","*"
"Easton School District","=""0460011""","All Disabilities",54,75.0
"Easton School District","=""0460011""","Autism","*","*"
"Easton School District","=""0460011""","Emotional Disturbance","*","*"
"Easton School District","=""0460011""","Intellectual Disability",0,0
"Easton School District","=""0460011""","Learning Disability",24,85.7
"Easton School District","=""0460011""","Other Disabilities",0,0
"Easton School District","=""0460011""","Other Health Impairment",13,"*"
"Easton School District","=""0460011""","Speech Language Impairment",13,"*"
"Ellington School District","=""0480011""","All Disabilities",184,65.7
"Ellington School District","=""0480011""","Autism",11,52.4
"Ellington School District","=""0480011""","Emotional Disturbance",15,55.6
"Ellington School District","=""0480011""","Intellectual Disability","*","*"
"Ellington School District","=""0480011""","Learning Disability",112,77.2
"Ellington School District","=""0480011""","Other Disabilities","*","*"
"Ellington School District","=""0480011""","Other Health Impairment",18,64.3
"Ellington School District","=""0480011""","Speech Language Impairment",21,75.0
"Enfield School District","=""0490011""","All Disabilities",542,76.9
"Enfield School District","=""0490011""","Autism",54,70.1
"Enfield School District","=""0490011""","Emotional Disturbance",30,42.3
"Enfield School District","=""0490011""","Intellectual Disability",11,40.7
"Enfield School District","=""0490011""","Learning Disability",202,87.4
"Enfield School District","=""0490011""","Other Disabilities",18,36.7
"Enfield School District","=""0490011""","Other Health Impairment",90,87.4
"Enfield School District","=""0490011""","Speech Language Impairment",137,93.2
"Essex School District","=""0500011""","All Disabilities",38,88.4
"Essex School District","=""0500011""","Autism","*","*"
"Essex School District","=""0500011""","Emotional Disturbance","*","*"
"Essex School District","=""0500011""","Learning Disability",8,"*"
"Essex School District","=""0500011""","Other Disabilities","*","*"
"Essex School District","=""0500011""","Other Health Impairment",7,"*"
"Essex School District","=""0500011""","Speech Language Impairment",17,"*"
"Fairfield School District","=""0510011""","All Disabilities",832,81.1
"Fairfield School District","=""0510011""","Autism",81,59.6
"Fairfield School District","=""0510011""","Emotional Disturbance",22,50.0
"Fairfield School District","=""0510011""","Intellectual Disability",10,35.7
"Fairfield School District","=""0510011""","Learning Disability",318,91.1
"Fairfield School District","=""0510011""","Other Disabilities",19,50.0
"Fairfield School District","=""0510011""","Other Health Impairment",217,87.1
"Fairfield School District","=""0510011""","Speech Language Impairment",165,90.7
"Farmington School District","=""0520011""","All Disabilities",300,71.6
"Farmington School District","=""0520011""","Autism",40,52.6
"Farmington School District","=""0520011""","Emotional Disturbance",17,58.6
"Farmington School District","=""0520011""","Intellectual Disability","*","*"
"Farmington School District","=""0520011""","Learning Disability",95,82.6
"Farmington School District","=""0520011""","Other Disabilities","*","*"
"Farmington School District","=""0520011""","Other Health Impairment",90,84.1
"Farmington School District","=""0520011""","Speech Language Impairment",49,81.7
"Franklin School District","=""0530011""","All Disabilities",26,81.3
"Franklin School District","=""0530011""","Autism","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance","*","*"
"Franklin School District","=""0530011""","Intellectual Disability",0,0
"Franklin School District","=""0530011""","Learning Disability",11,"*"
"Franklin School District","=""0530011""","Other Health Impairment","*","*"
"Franklin School District","=""0530011""","Speech Language Impairment",6,"*"
"Glastonbury School District","=""0540011""","All Disabilities",438,74.7
"Glastonbury School District","=""0540011""","Autism",47,60.3
"Glastonbury School District","=""0540011""","Emotional Disturbance",23,41.8
"Glastonbury School District","=""0540011""","Intellectual Disability",6,"*"
"Glastonbury School District","=""0540011""","Learning Disability",134,86.5
"Glastonbury School District","=""0540011""","Other Disabilities",8,25.8
"Glastonbury School District","=""0540011""","Other Health Impairment",143,85.1
"Glastonbury School District","=""0540011""","Speech Language Impairment",77,96.3
"Granby School District","=""0560011""","All Disabilities",149,81.0
"Granby School District","=""0560011""","Autism",16,"*"
"Granby School District","=""0560011""","Emotional Disturbance",11,"*"
"Granby School District","=""0560011""","Intellectual Disability","*","*"
"Granby School District","=""0560011""","Learning Disability",50,80.6
"Granby School District","=""0560011""","Other Disabilities","*","*"
"Granby School District","=""0560011""","Other Health Impairment",44,86.3
"Granby School District","=""0560011""","Speech Language Impairment",21,91.3
"Greenwich School District","=""0570011""","All Disabilities",588,70.8
"Greenwich School District","=""0570011""","Autism",46,53.5
"Greenwich School District","=""0570011""","Emotional Disturbance",17,32.1
"Greenwich School District","=""0570011""","Intellectual Disability",11,40.7
"Greenwich School District","=""0570011""","Learning Disability",276,80.2
"Greenwich School District","=""0570011""","Other Disabilities",15,55.6
"Greenwich School District","=""0570011""","Other Health Impairment",106,69.3
"Greenwich School District","=""0570011""","Speech Language Impairment",117,83.0
"Griswold School District","=""0580011""","All Disabilities",145,62.2
"Griswold School District","=""0580011""","Autism",13,52.0
"Griswold School District","=""0580011""","Emotional Disturbance",11,32.4
"Griswold School District","=""0580011""","Intellectual Disability","*","*"
"Griswold School District","=""0580011""","Learning Disability",52,76.5
"Griswold School District","=""0580011""","Other Disabilities","*","*"
"Griswold School District","=""0580011""","Other Health Impairment",44,71.0
"Griswold School District","=""0580011""","Speech Language Impairment",22,75.9
"Groton School District","=""0590011""","All Disabilities",474,71.0
"Groton School District","=""0590011""","Autism",49,46.7
"Groton School District","=""0590011""","Emotional Disturbance",36,43.9
"Groton School District","=""0590011""","Intellectual Disability",16,45.7
"Groton School District","=""0590011""","Learning Disability",189,90.0
"Groton School District","=""0590011""","Other Disabilities",13,37.1
"Groton School District","=""0590011""","Other Health Impairment",85,78.0
"Groton School District","=""0590011""","Speech Language Impairment",86,93.5
"Guilford School District","=""0600011""","All Disabilities",263,73.3
"Guilford School District","=""0600011""","Autism",28,46.7
"Guilford School District","=""0600011""","Emotional Disturbance",24,61.5
"Guilford School District","=""0600011""","Intellectual Disability",13,"*"
"Guilford School District","=""0600011""","Learning Disability",92,84.4
"Guilford School District","=""0600011""","Other Disabilities",6,"*"
"Guilford School District","=""0600011""","Other Health Impairment",75,87.2
"Guilford School District","=""0600011""","Speech Language Impairment",25,73.5
"Hamden School District","=""0620011""","All Disabilities",558,67.6
"Hamden School District","=""0620011""","Autism",49,43.0
"Hamden School District","=""0620011""","Emotional Disturbance",49,56.3
"Hamden School District","=""0620011""","Intellectual Disability",6,25.0
"Hamden School District","=""0620011""","Learning Disability",212,82.5
"Hamden School District","=""0620011""","Other Disabilities",6,13.6
"Hamden School District","=""0620011""","Other Health Impairment",123,75.9
"Hamden School District","=""0620011""","Speech Language Impairment",113,81.9
"Hampton School District","=""0630011""","All Disabilities",11,"*"
"Hampton School District","=""0630011""","Autism",0,"*"
"Hampton School District","=""0630011""","Intellectual Disability","*","*"
"Hampton School District","=""0630011""","Learning Disability","*","*"
"Hampton School District","=""0630011""","Other Disabilities","*","*"
"Hampton School District","=""0630011""","Other Health Impairment","*","*"
"Hampton School District","=""0630011""","Speech Language Impairment","*","*"
"Hartford School District","=""0640011""","All Disabilities",2441,75.4
"Hartford School District","=""0640011""","Autism",162,56.4
"Hartford School District","=""0640011""","Emotional Disturbance",123,35.3
"Hartford School District","=""0640011""","Intellectual Disability",102,60.4
"Hartford School District","=""0640011""","Learning Disability",1113,88.6
"Hartford School District","=""0640011""","Other Disabilities",74,43.3
"Hartford School District","=""0640011""","Other Health Impairment",443,79.2
"Hartford School District","=""0640011""","Speech Language Impairment",424,94.6
"Hartland School District","=""0650011""","All Disabilities",28,90.3
"Hartland School District","=""0650011""","Autism","*","*"
"Hartland School District","=""0650011""","Emotional Disturbance",0,0
"Hartland School District","=""0650011""","Intellectual Disability","*","*"
"Hartland School District","=""0650011""","Learning Disability",14,"*"
"Hartland School District","=""0650011""","Other Disabilities","*","*"
"Hartland School District","=""0650011""","Other Health Impairment",0,0
"Hartland School District","=""0650011""","Speech Language Impairment",8,"*"
"Hebron School District","=""0670011""","All Disabilities",74,85.1
"Hebron School District","=""0670011""","Autism","*","*"
"Hebron School District","=""0670011""","Emotional Disturbance","*","*"
"Hebron School District","=""0670011""","Learning Disability",30,90.9
"Hebron School District","=""0670011""","Other Disabilities",0,0
"Hebron School District","=""0670011""","Other Health Impairment",12,"*"
"Hebron School District","=""0670011""","Speech Language Impairment",22,95.7
"Kent School District","=""0680011""","All Disabilities",12,50.0
"Kent School District","=""0680011""","Autism","*","*"
"Kent School District","=""0680011""","Emotional Disturbance","*","*"
"Kent School District","=""0680011""","Intellectual Disability",0,0
