"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2012-13"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Bridgeport School District","=""0150011""","Other Disabilities",44,25.3
"Bridgeport School District","=""0150011""","Other Health Impairment",211,47.2
"Bridgeport School District","=""0150011""","Speech Language Impairment",251,63.7
"Bristol School District","=""0170011""","All Disabilities",661,57.0
"Bristol School District","=""0170011""","Autism",27,35.5
"Bristol School District","=""0170011""","Emotional Disturbance",28,22.4
"Bristol School District","=""0170011""","Intellectual Disability",7,"*"
"Bristol School District","=""0170011""","Learning Disability",308,72.8
"Bristol School District","=""0170011""","Other Disabilities",12,17.6
"Bristol School District","=""0170011""","Other Health Impairment",158,53.0
"Bristol School District","=""0170011""","Speech Language Impairment",121,76.6
"Brookfield School District","=""0180011""","All Disabilities",230,82.7
"Brookfield School District","=""0180011""","Autism",24,58.5
"Brookfield School District","=""0180011""","Emotional Disturbance","*","*"
"Brookfield School District","=""0180011""","Intellectual Disability",0,0
"Brookfield School District","=""0180011""","Learning Disability",84,91.3
"Brookfield School District","=""0180011""","Other Disabilities","*","*"
"Brookfield School District","=""0180011""","Other Health Impairment",65,92.9
"Brookfield School District","=""0180011""","Speech Language Impairment",37,97.4
"Brooklyn School District","=""0190011""","All Disabilities",80,60.6
"Brooklyn School District","=""0190011""","Autism","*","*"
"Brooklyn School District","=""0190011""","Emotional Disturbance","*","*"
"Brooklyn School District","=""0190011""","Intellectual Disability",0,0
"Brooklyn School District","=""0190011""","Learning Disability",48,80.0
"Brooklyn School District","=""0190011""","Other Disabilities","*","*"
"Brooklyn School District","=""0190011""","Other Health Impairment",11,50.0
"Brooklyn School District","=""0190011""","Speech Language Impairment",13,"*"
"Canaan School District","=""0210011""","All Disabilities",8,"*"
"Canaan School District","=""0210011""","Learning Disability","*","*"
"Canaan School District","=""0210011""","Other Disabilities",0,"*"
"Canaan School District","=""0210011""","Other Health Impairment","*","*"
"Canaan School District","=""0210011""","Speech Language Impairment","*","*"
"Canterbury School District","=""0220011""","All Disabilities",43,67.2
"Canterbury School District","=""0220011""","Autism",6,"*"
"Canterbury School District","=""0220011""","Emotional Disturbance","*","*"
"Canterbury School District","=""0220011""","Learning Disability",15,"*"
"Canterbury School District","=""0220011""","Other Disabilities","*","*"
"Canterbury School District","=""0220011""","Other Health Impairment",14,"*"
"Canterbury School District","=""0220011""","Speech Language Impairment",6,"*"
"Canton School District","=""0230011""","All Disabilities",101,67.3
"Canton School District","=""0230011""","Autism",12,50.0
"Canton School District","=""0230011""","Emotional Disturbance","*","*"
"Canton School District","=""0230011""","Intellectual Disability","*","*"
"Canton School District","=""0230011""","Learning Disability",32,66.7
"Canton School District","=""0230011""","Other Disabilities","*","*"
"Canton School District","=""0230011""","Other Health Impairment",37,100.0
"Canton School District","=""0230011""","Speech Language Impairment",12,"*"
"Chaplin School District","=""0240011""","All Disabilities",14,"*"
"Chaplin School District","=""0240011""","Learning Disability",9,"*"
"Chaplin School District","=""0240011""","Other Disabilities",0,"*"
"Chaplin School District","=""0240011""","Other Health Impairment","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment","*","*"
"Cheshire School District","=""0250011""","All Disabilities",266,59.6
"Cheshire School District","=""0250011""","Autism",27,45.0
"Cheshire School District","=""0250011""","Emotional Disturbance",16,39.0
"Cheshire School District","=""0250011""","Intellectual Disability",6,25.0
"Cheshire School District","=""0250011""","Learning Disability",84,71.2
"Cheshire School District","=""0250011""","Other Disabilities",7,25.0
"Cheshire School District","=""0250011""","Other Health Impairment",82,67.2
"Cheshire School District","=""0250011""","Speech Language Impairment",44,83.0
"Chester School District","=""0260011""","All Disabilities",36,94.7
"Chester School District","=""0260011""","Autism","*","*"
"Chester School District","=""0260011""","Emotional Disturbance",0,0
"Chester School District","=""0260011""","Intellectual Disability","*","*"
"Chester School District","=""0260011""","Learning Disability",17,"*"
"Chester School District","=""0260011""","Other Health Impairment",9,"*"
"Chester School District","=""0260011""","Speech Language Impairment",7,"*"
"Clinton School District","=""0270011""","All Disabilities",117,61.9
"Clinton School District","=""0270011""","Autism",12,54.5
"Clinton School District","=""0270011""","Emotional Disturbance","*","*"
"Clinton School District","=""0270011""","Intellectual Disability",0,0
"Clinton School District","=""0270011""","Learning Disability",47,75.8
"Clinton School District","=""0270011""","Other Disabilities","*","*"
"Clinton School District","=""0270011""","Other Health Impairment",23,59.0
"Clinton School District","=""0270011""","Speech Language Impairment",28,77.8
"Colchester School District","=""0280011""","All Disabilities",289,87.0
"Colchester School District","=""0280011""","Autism",23,65.7
"Colchester School District","=""0280011""","Emotional Disturbance",28,68.3
"Colchester School District","=""0280011""","Intellectual Disability",11,"*"
"Colchester School District","=""0280011""","Learning Disability",103,98.1
"Colchester School District","=""0280011""","Other Disabilities",6,"*"
"Colchester School District","=""0280011""","Other Health Impairment",43,87.8
"Colchester School District","=""0280011""","Speech Language Impairment",75,98.7
"Colebrook School District","=""0290011""","All Disabilities",13,"*"
"Colebrook School District","=""0290011""","Autism","*","*"
"Colebrook School District","=""0290011""","Emotional Disturbance","*","*"
"Colebrook School District","=""0290011""","Intellectual Disability","*","*"
"Colebrook School District","=""0290011""","Learning Disability","*","*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment","*","*"
"Columbia School District","=""0300011""","All Disabilities",47,72.3
"Columbia School District","=""0300011""","Autism","*","*"
"Columbia School District","=""0300011""","Emotional Disturbance","*","*"
"Columbia School District","=""0300011""","Intellectual Disability",0,0
"Columbia School District","=""0300011""","Learning Disability",24,100.0
"Columbia School District","=""0300011""","Other Disabilities","*","*"
"Columbia School District","=""0300011""","Other Health Impairment",12,"*"
"Columbia School District","=""0300011""","Speech Language Impairment","*","*"
"Connecticut Technical High School System","=""9000016""","All Disabilities",796,99.9
"Connecticut Technical High School System","=""9000016""","Autism",38,100.0
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",36,100.0
"Connecticut Technical High School System","=""9000016""","Intellectual Disability","*","*"
"Connecticut Technical High School System","=""9000016""","Learning Disability",457,100.0
"Connecticut Technical High School System","=""9000016""","Other Disabilities","*","*"
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",208,100.0
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",46,100.0
"Cornwall School District","=""0310011""","All Disabilities",7,"*"
"Cornwall School District","=""0310011""","Autism","*","*"
"Cornwall School District","=""0310011""","Learning Disability","*","*"
"Cornwall School District","=""0310011""","Other Disabilities",0,"*"
"Cornwall School District","=""0310011""","Other Health Impairment","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment","*","*"
"Coventry School District","=""0320011""","All Disabilities",154,77.4
"Coventry School District","=""0320011""","Autism",8,"*"
"Coventry School District","=""0320011""","Emotional Disturbance",17,60.7
"Coventry School District","=""0320011""","Intellectual Disability","*","*"
"Coventry School District","=""0320011""","Learning Disability",71,95.9
"Coventry School District","=""0320011""","Other Disabilities","*","*"
"Coventry School District","=""0320011""","Other Health Impairment",21,87.5
"Coventry School District","=""0320011""","Speech Language Impairment",33,97.1
"Cromwell School District","=""0330011""","All Disabilities",144,77.4
"Cromwell School District","=""0330011""","Autism",15,57.7
"Cromwell School District","=""0330011""","Emotional Disturbance","*","*"
"Cromwell School District","=""0330011""","Intellectual Disability","*","*"
"Cromwell School District","=""0330011""","Learning Disability",51,94.4
"Cromwell School District","=""0330011""","Other Disabilities",6,28.6
"Cromwell School District","=""0330011""","Other Health Impairment",21,100.0
"Cromwell School District","=""0330011""","Speech Language Impairment",44,95.7
"Danbury School District","=""0340011""","All Disabilities",732,69.4
"Danbury School District","=""0340011""","Autism",53,46.9
"Danbury School District","=""0340011""","Emotional Disturbance",21,35.0
"Danbury School District","=""0340011""","Intellectual Disability",17,35.4
"Danbury School District","=""0340011""","Learning Disability",378,81.5
"Danbury School District","=""0340011""","Other Disabilities",14,27.5
"Danbury School District","=""0340011""","Other Health Impairment",127,74.3
"Danbury School District","=""0340011""","Speech Language Impairment",122,83.0
"Darien School District","=""0350011""","All Disabilities",434,78.8
"Darien School District","=""0350011""","Autism",29,53.7
"Darien School District","=""0350011""","Emotional Disturbance","*","*"
"Darien School District","=""0350011""","Intellectual Disability","*","*"
"Darien School District","=""0350011""","Learning Disability",163,91.1
"Darien School District","=""0350011""","Other Disabilities",12,48.0
"Darien School District","=""0350011""","Other Health Impairment",127,81.9
"Darien School District","=""0350011""","Speech Language Impairment",95,84.1
"Deep River School District","=""0360011""","All Disabilities",31,83.8
"Deep River School District","=""0360011""","Autism","*","*"
"Deep River School District","=""0360011""","Emotional Disturbance","*","*"
"Deep River School District","=""0360011""","Intellectual Disability","*","*"
"Deep River School District","=""0360011""","Learning Disability",13,"*"
"Deep River School District","=""0360011""","Other Health Impairment",6,"*"
"Deep River School District","=""0360011""","Speech Language Impairment","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Disabilities",0,"*"
"Derby School District","=""0370011""","All Disabilities",113,64.2
"Derby School District","=""0370011""","Autism","*","*"
"Derby School District","=""0370011""","Emotional Disturbance",7,"*"
"Derby School District","=""0370011""","Intellectual Disability","*","*"
"Derby School District","=""0370011""","Learning Disability",41,80.4
"Derby School District","=""0370011""","Other Disabilities",0,0
"Derby School District","=""0370011""","Other Health Impairment",16,57.1
"Derby School District","=""0370011""","Speech Language Impairment",42,72.4
"East Granby School District","=""0400011""","All Disabilities",79,94.0
"East Granby School District","=""0400011""","Autism",7,"*"
"East Granby School District","=""0400011""","Emotional Disturbance","*","*"
"East Granby School District","=""0400011""","Intellectual Disability","*","*"
"East Granby School District","=""0400011""","Learning Disability",37,100.0
"East Granby School District","=""0400011""","Other Disabilities","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",16,"*"
"East Granby School District","=""0400011""","Speech Language Impairment",10,"*"
"East Haddam School District","=""0410011""","All Disabilities",115,75.7
"East Haddam School District","=""0410011""","Autism",11,55.0
"East Haddam School District","=""0410011""","Emotional Disturbance",6,"*"
"East Haddam School District","=""0410011""","Intellectual Disability","*","*"
"East Haddam School District","=""0410011""","Learning Disability",36,81.8
"East Haddam School District","=""0410011""","Other Disabilities","*","*"
"East Haddam School District","=""0410011""","Other Health Impairment",20,80.0
"East Haddam School District","=""0410011""","Speech Language Impairment",36,85.7
"East Hampton School District","=""0420011""","All Disabilities",94,68.6
"East Hampton School District","=""0420011""","Autism",17,58.6
"East Hampton School District","=""0420011""","Emotional Disturbance","*","*"
"East Hampton School District","=""0420011""","Intellectual Disability","*","*"
"East Hampton School District","=""0420011""","Learning Disability",28,73.7
"East Hampton School District","=""0420011""","Other Disabilities",0,0
"East Hampton School District","=""0420011""","Other Health Impairment",12,54.5
"East Hampton School District","=""0420011""","Speech Language Impairment",33,94.3
"East Hartford School District","=""0430011""","All Disabilities",730,70.9
"East Hartford School District","=""0430011""","Autism",35,38.5
"East Hartford School District","=""0430011""","Emotional Disturbance",53,47.3
"East Hartford School District","=""0430011""","Intellectual Disability",24,64.9
"East Hartford School District","=""0430011""","Learning Disability",240,85.4
"East Hartford School District","=""0430011""","Other Disabilities",14,21.2
"East Hartford School District","=""0430011""","Other Health Impairment",148,73.6
"East Hartford School District","=""0430011""","Speech Language Impairment",216,89.6
"East Haven School District","=""0440011""","All Disabilities",261,61.7
"East Haven School District","=""0440011""","Autism",28,51.9
"East Haven School District","=""0440011""","Emotional Disturbance",14,48.3
"East Haven School District","=""0440011""","Intellectual Disability","*","*"
"East Haven School District","=""0440011""","Learning Disability",82,75.2
"East Haven School District","=""0440011""","Other Disabilities","*","*"
"East Haven School District","=""0440011""","Other Health Impairment",48,56.5
"East Haven School District","=""0440011""","Speech Language Impairment",74,81.3
"East Lyme School District","=""0450011""","All Disabilities",244,77.5
"East Lyme School District","=""0450011""","Autism",18,41.9
"East Lyme School District","=""0450011""","Emotional Disturbance",8,"*"
"East Lyme School District","=""0450011""","Intellectual Disability","*","*"
"East Lyme School District","=""0450011""","Learning Disability",118,92.9
"East Lyme School District","=""0450011""","Other Disabilities","*","*"
"East Lyme School District","=""0450011""","Other Health Impairment",68,87.2
"East Lyme School District","=""0450011""","Speech Language Impairment",24,80.0
"East Windsor School District","=""0470011""","All Disabilities",137,71.7
"East Windsor School District","=""0470011""","Autism",11,"*"
"East Windsor School District","=""0470011""","Emotional Disturbance",16,53.3
"East Windsor School District","=""0470011""","Intellectual Disability","*","*"
"East Windsor School District","=""0470011""","Learning Disability",57,82.6
"East Windsor School District","=""0470011""","Other Disabilities","*","*"
"East Windsor School District","=""0470011""","Other Health Impairment",26,76.5
"East Windsor School District","=""0470011""","Speech Language Impairment",18,"*"
"Eastford School District","=""0390011""","All Disabilities",13,52.0
"Eastford School District","=""0390011""","Autism","*","*"
"Eastford School District","=""0390011""","Emotional Disturbance","*","*"
"Eastford School District","=""0390011""","Intellectual Disability",0,0
"Eastford School District","=""0390011""","Learning Disability","*","*"
"Eastford School District","=""0390011""","Other Disabilities",0,0
"Eastford School District","=""0390011""","Other Health Impairment","*","*"
"Eastford School District","=""0390011""","Speech Language Impairment","*","*"
"Easton School District","=""0460011""","All Disabilities",50,71.4
"Easton School District","=""0460011""","Autism","*","*"
"Easton School District","=""0460011""","Emotional Disturbance","*","*"
"Easton School District","=""0460011""","Intellectual Disability",0,0
"Easton School District","=""0460011""","Learning Disability",19,82.6
"Easton School District","=""0460011""","Other Disabilities","*","*"
"Easton School District","=""0460011""","Other Health Impairment",13,"*"
"Easton School District","=""0460011""","Speech Language Impairment",11,"*"
"Ellington School District","=""0480011""","All Disabilities",183,68.0
"Ellington School District","=""0480011""","Autism",10,"*"
"Ellington School District","=""0480011""","Emotional Disturbance",19,67.9
"Ellington School District","=""0480011""","Intellectual Disability","*","*"
"Ellington School District","=""0480011""","Learning Disability",99,75.0
"Ellington School District","=""0480011""","Other Disabilities","*","*"
"Ellington School District","=""0480011""","Other Health Impairment",20,62.5
"Ellington School District","=""0480011""","Speech Language Impairment",26,89.7
"Enfield School District","=""0490011""","All Disabilities",549,77.9
"Enfield School District","=""0490011""","Autism",45,69.2
"Enfield School District","=""0490011""","Emotional Disturbance",36,44.4
"Enfield School District","=""0490011""","Intellectual Disability",17,50.0
"Enfield School District","=""0490011""","Learning Disability",209,90.1
"Enfield School District","=""0490011""","Other Disabilities",15,33.3
"Enfield School District","=""0490011""","Other Health Impairment",85,85.9
"Enfield School District","=""0490011""","Speech Language Impairment",142,95.3
"Essex School District","=""0500011""","All Disabilities",38,86.4
"Essex School District","=""0500011""","Autism","*","*"
"Essex School District","=""0500011""","Learning Disability",6,"*"
"Essex School District","=""0500011""","Other Disabilities","*","*"
"Essex School District","=""0500011""","Other Health Impairment",11,"*"
"Essex School District","=""0500011""","Speech Language Impairment",14,"*"
"Fairfield School District","=""0510011""","All Disabilities",848,80.6
"Fairfield School District","=""0510011""","Autism",91,60.3
"Fairfield School District","=""0510011""","Emotional Disturbance",27,60.0
"Fairfield School District","=""0510011""","Intellectual Disability",6,21.4
"Fairfield School District","=""0510011""","Learning Disability",327,91.1
"Fairfield School District","=""0510011""","Other Disabilities",16,47.1
"Fairfield School District","=""0510011""","Other Health Impairment",217,86.1
"Fairfield School District","=""0510011""","Speech Language Impairment",164,89.6
"Farmington School District","=""0520011""","All Disabilities",312,74.5
"Farmington School District","=""0520011""","Autism",43,54.4
"Farmington School District","=""0520011""","Emotional Disturbance",20,71.4
"Farmington School District","=""0520011""","Intellectual Disability","*","*"
"Farmington School District","=""0520011""","Learning Disability",97,86.6
"Farmington School District","=""0520011""","Other Disabilities","*","*"
"Farmington School District","=""0520011""","Other Health Impairment",88,87.1
"Farmington School District","=""0520011""","Speech Language Impairment",56,82.4
"Franklin School District","=""0530011""","All Disabilities",23,76.7
"Franklin School District","=""0530011""","Autism","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance","*","*"
"Franklin School District","=""0530011""","Intellectual Disability",0,0
"Franklin School District","=""0530011""","Learning Disability",8,"*"
"Franklin School District","=""0530011""","Other Health Impairment","*","*"
"Franklin School District","=""0530011""","Speech Language Impairment","*","*"
"Glastonbury School District","=""0540011""","All Disabilities",471,81.8
"Glastonbury School District","=""0540011""","Autism",47,66.2
"Glastonbury School District","=""0540011""","Emotional Disturbance",23,37.7
"Glastonbury School District","=""0540011""","Intellectual Disability",12,"*"
"Glastonbury School District","=""0540011""","Learning Disability",155,96.3
"Glastonbury School District","=""0540011""","Other Disabilities",11,37.9
"Glastonbury School District","=""0540011""","Other Health Impairment",148,91.9
"Glastonbury School District","=""0540011""","Speech Language Impairment",75,97.4
"Granby School District","=""0560011""","All Disabilities",146,86.4
"Granby School District","=""0560011""","Autism",12,"*"
"Granby School District","=""0560011""","Emotional Disturbance",8,"*"
"Granby School District","=""0560011""","Intellectual Disability","*","*"
"Granby School District","=""0560011""","Learning Disability",63,95.5
"Granby School District","=""0560011""","Other Disabilities","*","*"
"Granby School District","=""0560011""","Other Health Impairment",33,82.5
"Granby School District","=""0560011""","Speech Language Impairment",23,95.8
"Greenwich School District","=""0570011""","All Disabilities",621,74.9
"Greenwich School District","=""0570011""","Autism",50,64.1
"Greenwich School District","=""0570011""","Emotional Disturbance",13,26.0
"Greenwich School District","=""0570011""","Intellectual Disability",11,45.8
"Greenwich School District","=""0570011""","Learning Disability",277,82.4
"Greenwich School District","=""0570011""","Other Disabilities",16,53.3
"Greenwich School District","=""0570011""","Other Health Impairment",130,76.0
"Greenwich School District","=""0570011""","Speech Language Impairment",124,88.6
"Griswold School District","=""0580011""","All Disabilities",143,63.0
"Griswold School District","=""0580011""","Autism",11,50.0
"Griswold School District","=""0580011""","Emotional Disturbance",8,25.0
"Griswold School District","=""0580011""","Intellectual Disability","*","*"
"Griswold School District","=""0580011""","Learning Disability",54,73.0
"Griswold School District","=""0580011""","Other Disabilities","*","*"
"Griswold School District","=""0580011""","Other Health Impairment",39,69.6
"Griswold School District","=""0580011""","Speech Language Impairment",27,90.0
"Groton School District","=""0590011""","All Disabilities",475,74.1
"Groton School District","=""0590011""","Autism",39,46.4
"Groton School District","=""0590011""","Emotional Disturbance",28,48.3
"Groton School District","=""0590011""","Intellectual Disability",26,65.0
"Groton School District","=""0590011""","Learning Disability",195,89.0
"Groton School District","=""0590011""","Other Disabilities",14,37.8
"Groton School District","=""0590011""","Other Health Impairment",75,75.0
"Groton School District","=""0590011""","Speech Language Impairment",98,95.1
"Guilford School District","=""0600011""","All Disabilities",260,73.0
"Guilford School District","=""0600011""","Autism",29,50.0
"Guilford School District","=""0600011""","Emotional Disturbance",19,48.7
"Guilford School District","=""0600011""","Intellectual Disability",13,"*"
"Guilford School District","=""0600011""","Learning Disability",95,84.8
"Guilford School District","=""0600011""","Other Disabilities",7,"*"
"Guilford School District","=""0600011""","Other Health Impairment",65,86.7
"Guilford School District","=""0600011""","Speech Language Impairment",32,74.4
"Hamden School District","=""0620011""","All Disabilities",525,68.5
"Hamden School District","=""0620011""","Autism",47,44.3
"Hamden School District","=""0620011""","Emotional Disturbance",35,55.6
"Hamden School District","=""0620011""","Intellectual Disability",6,23.1
"Hamden School District","=""0620011""","Learning Disability",196,84.5
"Hamden School District","=""0620011""","Other Disabilities",8,16.7
"Hamden School District","=""0620011""","Other Health Impairment",122,76.3
"Hamden School District","=""0620011""","Speech Language Impairment",111,84.7
"Hampton School District","=""0630011""","All Disabilities",10,"*"
"Hampton School District","=""0630011""","Intellectual Disability","*","*"
"Hampton School District","=""0630011""","Learning Disability","*","*"
"Hampton School District","=""0630011""","Other Disabilities","*","*"
"Hampton School District","=""0630011""","Other Health Impairment","*","*"
"Hampton School District","=""0630011""","Speech Language Impairment","*","*"
"Hartford School District","=""0640011""","All Disabilities",2488,77.9
"Hartford School District","=""0640011""","Autism",149,61.8
"Hartford School District","=""0640011""","Emotional Disturbance",139,41.2
"Hartford School District","=""0640011""","Intellectual Disability",113,70.2
"Hartford School District","=""0640011""","Learning Disability",1220,89.4
"Hartford School District","=""0640011""","Other Disabilities",71,42.5
"Hartford School District","=""0640011""","Other Health Impairment",381,78.9
"Hartford School District","=""0640011""","Speech Language Impairment",415,94.5
"Hartland School District","=""0650011""","All Disabilities",25,92.6
"Hartland School District","=""0650011""","Autism","*","*"
"Hartland School District","=""0650011""","Emotional Disturbance","*","*"
"Hartland School District","=""0650011""","Learning Disability",11,"*"
"Hartland School District","=""0650011""","Other Health Impairment",0,0
"Hartland School District","=""0650011""","Speech Language Impairment",9,"*"
"Hebron School District","=""0670011""","All Disabilities",73,84.9
"Hebron School District","=""0670011""","Autism","*","*"
"Hebron School District","=""0670011""","Emotional Disturbance","*","*"
"Hebron School District","=""0670011""","Learning Disability",25,92.6
"Hebron School District","=""0670011""","Other Disabilities","*","*"
"Hebron School District","=""0670011""","Other Health Impairment",12,"*"
"Hebron School District","=""0670011""","Speech Language Impairment",26,96.3
"Kent School District","=""0680011""","All Disabilities",12,46.2
"Kent School District","=""0680011""","Autism","*","*"
"Kent School District","=""0680011""","Intellectual Disability",0,0
"Kent School District","=""0680011""","Learning Disability",9,"*"
"Kent School District","=""0680011""","Speech Language Impairment","*","*"
"Killingly School District","=""0690011""","All Disabilities",234,68.0
