"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2014-15"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."
"Bozrah School District","=""0130011""","Other Disabilities","*","*"
"Bozrah School District","=""0130011""","Other Health Impairment","*","*"
"Bozrah School District","=""0130011""","Speech Language Impairment","*","*"
"Branford School District","=""0140011""","All Disabilities",258,64.8
"Branford School District","=""0140011""","Autism",17,44.7
"Branford School District","=""0140011""","Emotional Disturbance",17,37.0
"Branford School District","=""0140011""","Intellectual Disability",7,"*"
"Branford School District","=""0140011""","Learning Disability",83,76.1
"Branford School District","=""0140011""","Other Disabilities",11,52.4
"Branford School District","=""0140011""","Other Health Impairment",80,75.5
"Branford School District","=""0140011""","Speech Language Impairment",43,69.4
"Bridgeport School District","=""0150011""","All Disabilities",2123,71.7
"Bridgeport School District","=""0150011""","Autism",146,58.2
"Bridgeport School District","=""0150011""","Emotional Disturbance",107,40.1
"Bridgeport School District","=""0150011""","Intellectual Disability",102,68.5
"Bridgeport School District","=""0150011""","Learning Disability",996,83.6
"Bridgeport School District","=""0150011""","Other Disabilities",86,47.8
"Bridgeport School District","=""0150011""","Other Health Impairment",390,70.1
"Bridgeport School District","=""0150011""","Speech Language Impairment",296,80.9
"Bristol School District","=""0170011""","All Disabilities",781,61.2
"Bristol School District","=""0170011""","Autism",32,40.5
"Bristol School District","=""0170011""","Emotional Disturbance",39,30.5
"Bristol School District","=""0170011""","Intellectual Disability","*","*"
"Bristol School District","=""0170011""","Learning Disability",409,76.3
"Bristol School District","=""0170011""","Other Disabilities","*","*"
"Bristol School District","=""0170011""","Other Health Impairment",190,58.3
"Bristol School District","=""0170011""","Speech Language Impairment",97,80.8
"Brookfield School District","=""0180011""","All Disabilities",241,77.2
"Brookfield School District","=""0180011""","Autism",24,54.5
"Brookfield School District","=""0180011""","Emotional Disturbance","*","*"
"Brookfield School District","=""0180011""","Intellectual Disability",0,0
"Brookfield School District","=""0180011""","Learning Disability",95,79.8
"Brookfield School District","=""0180011""","Other Disabilities","*","*"
"Brookfield School District","=""0180011""","Other Health Impairment",73,90.1
"Brookfield School District","=""0180011""","Speech Language Impairment",36,92.3
"Brooklyn School District","=""0190011""","All Disabilities",64,53.8
"Brooklyn School District","=""0190011""","Autism","*","*"
"Brooklyn School District","=""0190011""","Emotional Disturbance","*","*"
"Brooklyn School District","=""0190011""","Intellectual Disability",0,0
"Brooklyn School District","=""0190011""","Learning Disability",35,64.8
"Brooklyn School District","=""0190011""","Other Disabilities","*","*"
"Brooklyn School District","=""0190011""","Other Health Impairment",9,"*"
"Brooklyn School District","=""0190011""","Speech Language Impairment",11,"*"
"Canaan School District","=""0210011""","All Disabilities",8,"*"
"Canaan School District","=""0210011""","Emotional Disturbance","*","*"
"Canaan School District","=""0210011""","Learning Disability","*","*"
"Canaan School District","=""0210011""","Other Health Impairment","*","*"
"Canaan School District","=""0210011""","Speech Language Impairment",0,"*"
"Canterbury School District","=""0220011""","All Disabilities",35,54.7
"Canterbury School District","=""0220011""","Autism",14,"*"
"Canterbury School District","=""0220011""","Emotional Disturbance","*","*"
"Canterbury School District","=""0220011""","Learning Disability",7,"*"
"Canterbury School District","=""0220011""","Other Disabilities","*","*"
"Canterbury School District","=""0220011""","Other Health Impairment",9,"*"
"Canterbury School District","=""0220011""","Speech Language Impairment","*","*"
"Canton School District","=""0230011""","All Disabilities",109,66.1
"Canton School District","=""0230011""","Autism",16,61.5
"Canton School District","=""0230011""","Emotional Disturbance",8,"*"
"Canton School District","=""0230011""","Intellectual Disability","*","*"
"Canton School District","=""0230011""","Learning Disability",45,66.2
"Canton School District","=""0230011""","Other Disabilities","*","*"
"Canton School District","=""0230011""","Other Health Impairment",30,85.7
"Canton School District","=""0230011""","Speech Language Impairment",7,"*"
"Chaplin School District","=""0240011""","All Disabilities",18,90.0
"Chaplin School District","=""0240011""","Autism",0,0
"Chaplin School District","=""0240011""","Emotional Disturbance","*","*"
"Chaplin School District","=""0240011""","Learning Disability",10,"*"
"Chaplin School District","=""0240011""","Other Disabilities","*","*"
"Chaplin School District","=""0240011""","Other Health Impairment","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment","*","*"
"Cheshire School District","=""0250011""","All Disabilities",291,63.8
"Cheshire School District","=""0250011""","Autism",36,57.1
"Cheshire School District","=""0250011""","Emotional Disturbance",11,31.4
"Cheshire School District","=""0250011""","Intellectual Disability",6,22.2
"Cheshire School District","=""0250011""","Learning Disability",90,71.4
"Cheshire School District","=""0250011""","Other Disabilities",9,31.0
"Cheshire School District","=""0250011""","Other Health Impairment",89,74.8
"Cheshire School District","=""0250011""","Speech Language Impairment",50,87.7
"Chester School District","=""0260011""","All Disabilities",34,100.0
"Chester School District","=""0260011""","Autism","*","*"
"Chester School District","=""0260011""","Intellectual Disability","*","*"
"Chester School District","=""0260011""","Learning Disability",16,"*"
"Chester School District","=""0260011""","Other Health Impairment","*","*"
"Chester School District","=""0260011""","Speech Language Impairment",9,"*"
"Clinton School District","=""0270011""","All Disabilities",149,75.6
"Clinton School District","=""0270011""","Autism",13,50.0
"Clinton School District","=""0270011""","Emotional Disturbance","*","*"
"Clinton School District","=""0270011""","Intellectual Disability",0,0
"Clinton School District","=""0270011""","Learning Disability",56,98.2
"Clinton School District","=""0270011""","Other Disabilities","*","*"
"Clinton School District","=""0270011""","Other Health Impairment",38,76.0
"Clinton School District","=""0270011""","Speech Language Impairment",29,96.7
"Colchester School District","=""0280011""","All Disabilities",296,87.6
"Colchester School District","=""0280011""","Autism",25,73.5
"Colchester School District","=""0280011""","Emotional Disturbance",18,52.9
"Colchester School District","=""0280011""","Intellectual Disability","*","*"
"Colchester School District","=""0280011""","Learning Disability",113,98.3
"Colchester School District","=""0280011""","Other Disabilities","*","*"
"Colchester School District","=""0280011""","Other Health Impairment",46,85.2
"Colchester School District","=""0280011""","Speech Language Impairment",76,100.0
"Colebrook School District","=""0290011""","All Disabilities",16,"*"
"Colebrook School District","=""0290011""","Autism","*","*"
"Colebrook School District","=""0290011""","Intellectual Disability","*","*"
"Colebrook School District","=""0290011""","Learning Disability","*","*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment","*","*"
"Columbia School District","=""0300011""","All Disabilities",59,80.8
"Columbia School District","=""0300011""","Autism","*","*"
"Columbia School District","=""0300011""","Emotional Disturbance","*","*"
"Columbia School District","=""0300011""","Intellectual Disability","*","*"
"Columbia School District","=""0300011""","Learning Disability",25,89.3
"Columbia School District","=""0300011""","Other Disabilities","*","*"
"Columbia School District","=""0300011""","Other Health Impairment",19,82.6
"Columbia School District","=""0300011""","Speech Language Impairment","*","*"
"Connecticut Technical High School System","=""9000016""","All Disabilities",963,99.8
"Connecticut Technical High School System","=""9000016""","Autism",53,100.0
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",45,100.0
"Connecticut Technical High School System","=""9000016""","Learning Disability",560,99.6
"Connecticut Technical High School System","=""9000016""","Other Disabilities",10,"*"
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",248,100.0
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",47,100.0
"Cornwall School District","=""0310011""","All Disabilities",9,"*"
"Cornwall School District","=""0310011""","Autism","*","*"
"Cornwall School District","=""0310011""","Learning Disability","*","*"
"Cornwall School District","=""0310011""","Other Disabilities",0,"*"
"Cornwall School District","=""0310011""","Other Health Impairment","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment","*","*"
"Coventry School District","=""0320011""","All Disabilities",147,76.6
"Coventry School District","=""0320011""","Autism",13,"*"
"Coventry School District","=""0320011""","Emotional Disturbance",11,52.4
"Coventry School District","=""0320011""","Intellectual Disability","*","*"
"Coventry School District","=""0320011""","Learning Disability",71,88.8
"Coventry School District","=""0320011""","Other Disabilities","*","*"
"Coventry School District","=""0320011""","Other Health Impairment",28,82.4
"Coventry School District","=""0320011""","Speech Language Impairment",16,"*"
"Cromwell School District","=""0330011""","All Disabilities",141,66.2
"Cromwell School District","=""0330011""","Autism",12,41.4
"Cromwell School District","=""0330011""","Emotional Disturbance",6,"*"
"Cromwell School District","=""0330011""","Intellectual Disability","*","*"
"Cromwell School District","=""0330011""","Learning Disability",53,80.3
"Cromwell School District","=""0330011""","Other Disabilities","*","*"
"Cromwell School District","=""0330011""","Other Health Impairment",25,78.1
"Cromwell School District","=""0330011""","Speech Language Impairment",41,95.3
"Danbury School District","=""0340011""","All Disabilities",728,62.6
"Danbury School District","=""0340011""","Autism",65,46.4
"Danbury School District","=""0340011""","Emotional Disturbance",18,39.1
"Danbury School District","=""0340011""","Intellectual Disability",12,22.2
"Danbury School District","=""0340011""","Learning Disability",406,73.3
"Danbury School District","=""0340011""","Other Disabilities",10,18.2
"Danbury School District","=""0340011""","Other Health Impairment",127,66.1
"Danbury School District","=""0340011""","Speech Language Impairment",90,73.8
"Darien School District","=""0350011""","All Disabilities",420,79.5
"Darien School District","=""0350011""","Autism",20,48.8
"Darien School District","=""0350011""","Emotional Disturbance",7,"*"
"Darien School District","=""0350011""","Intellectual Disability",0,0
"Darien School District","=""0350011""","Learning Disability",156,88.1
"Darien School District","=""0350011""","Other Disabilities",11,40.7
"Darien School District","=""0350011""","Other Health Impairment",139,87.4
"Darien School District","=""0350011""","Speech Language Impairment",87,87.0
"Deep River School District","=""0360011""","All Disabilities",36,85.7
"Deep River School District","=""0360011""","Autism","*","*"
"Deep River School District","=""0360011""","Emotional Disturbance","*","*"
"Deep River School District","=""0360011""","Intellectual Disability",0,0
"Deep River School District","=""0360011""","Learning Disability",16,"*"
"Deep River School District","=""0360011""","Other Health Impairment",13,"*"
"Deep River School District","=""0360011""","Speech Language Impairment","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Learning Disability",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Health Impairment",0,"*"
"Derby School District","=""0370011""","All Disabilities",134,68.7
"Derby School District","=""0370011""","Autism","*","*"
"Derby School District","=""0370011""","Emotional Disturbance",11,"*"
"Derby School District","=""0370011""","Intellectual Disability","*","*"
"Derby School District","=""0370011""","Learning Disability",43,82.7
"Derby School District","=""0370011""","Other Disabilities","*","*"
"Derby School District","=""0370011""","Other Health Impairment",39,76.5
"Derby School District","=""0370011""","Speech Language Impairment",31,81.6
"East Granby School District","=""0400011""","All Disabilities",77,82.8
"East Granby School District","=""0400011""","Autism","*","*"
"East Granby School District","=""0400011""","Emotional Disturbance","*","*"
"East Granby School District","=""0400011""","Intellectual Disability","*","*"
"East Granby School District","=""0400011""","Learning Disability",31,91.2
"East Granby School District","=""0400011""","Other Disabilities","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",13,"*"
"East Granby School District","=""0400011""","Speech Language Impairment",21,100.0
"East Haddam School District","=""0410011""","All Disabilities",118,72.4
"East Haddam School District","=""0410011""","Autism",17,58.6
"East Haddam School District","=""0410011""","Emotional Disturbance","*","*"
"East Haddam School District","=""0410011""","Intellectual Disability","*","*"
"East Haddam School District","=""0410011""","Learning Disability",39,84.8
"East Haddam School District","=""0410011""","Other Disabilities","*","*"
"East Haddam School District","=""0410011""","Other Health Impairment",16,64.0
"East Haddam School District","=""0410011""","Speech Language Impairment",38,86.4
"East Hampton School District","=""0420011""","All Disabilities",101,68.2
"East Hampton School District","=""0420011""","Autism",21,60.0
"East Hampton School District","=""0420011""","Emotional Disturbance","*","*"
"East Hampton School District","=""0420011""","Intellectual Disability",0,0
"East Hampton School District","=""0420011""","Learning Disability",31,73.8
"East Hampton School District","=""0420011""","Other Disabilities",0,0
"East Hampton School District","=""0420011""","Other Health Impairment","*","*"
"East Hampton School District","=""0420011""","Speech Language Impairment",30,93.8
"East Hartford School District","=""0430011""","All Disabilities",741,70.8
"East Hartford School District","=""0430011""","Autism",37,32.7
"East Hartford School District","=""0430011""","Emotional Disturbance",52,48.6
"East Hartford School District","=""0430011""","Intellectual Disability",14,40.0
"East Hartford School District","=""0430011""","Learning Disability",271,87.7
"East Hartford School District","=""0430011""","Other Disabilities",17,25.8
"East Hartford School District","=""0430011""","Other Health Impairment",174,76.7
"East Hartford School District","=""0430011""","Speech Language Impairment",176,92.6
"East Haven School District","=""0440011""","All Disabilities",276,66.5
"East Haven School District","=""0440011""","Autism",28,52.8
"East Haven School District","=""0440011""","Emotional Disturbance",13,36.1
"East Haven School District","=""0440011""","Intellectual Disability","*","*"
"East Haven School District","=""0440011""","Learning Disability",113,86.3
"East Haven School District","=""0440011""","Other Disabilities","*","*"
"East Haven School District","=""0440011""","Other Health Impairment",49,68.1
"East Haven School District","=""0440011""","Speech Language Impairment",63,79.7
"East Lyme School District","=""0450011""","All Disabilities",261,79.6
"East Lyme School District","=""0450011""","Autism",33,68.8
"East Lyme School District","=""0450011""","Emotional Disturbance","*","*"
"East Lyme School District","=""0450011""","Intellectual Disability","*","*"
"East Lyme School District","=""0450011""","Learning Disability",126,93.3
"East Lyme School District","=""0450011""","Other Disabilities","*","*"
"East Lyme School District","=""0450011""","Other Health Impairment",60,78.9
"East Lyme School District","=""0450011""","Speech Language Impairment",30,83.3
"East Windsor School District","=""0470011""","All Disabilities",116,56.6
"East Windsor School District","=""0470011""","Autism",8,30.8
"East Windsor School District","=""0470011""","Emotional Disturbance","*","*"
"East Windsor School District","=""0470011""","Intellectual Disability","*","*"
"East Windsor School District","=""0470011""","Learning Disability",55,66.3
"East Windsor School District","=""0470011""","Other Disabilities","*","*"
"East Windsor School District","=""0470011""","Other Health Impairment",21,72.4
"East Windsor School District","=""0470011""","Speech Language Impairment",21,95.5
"Eastford School District","=""0390011""","All Disabilities",12,60.0
"Eastford School District","=""0390011""","Autism","*","*"
"Eastford School District","=""0390011""","Learning Disability","*","*"
"Eastford School District","=""0390011""","Other Disabilities","*","*"
"Eastford School District","=""0390011""","Other Health Impairment",0,0
"Eastford School District","=""0390011""","Speech Language Impairment",7,"*"
"Easton School District","=""0460011""","All Disabilities",68,85.0
"Easton School District","=""0460011""","Autism","*","*"
"Easton School District","=""0460011""","Emotional Disturbance","*","*"
"Easton School District","=""0460011""","Intellectual Disability",0,0
"Easton School District","=""0460011""","Learning Disability",35,94.6
"Easton School District","=""0460011""","Other Disabilities","*","*"
"Easton School District","=""0460011""","Other Health Impairment",9,"*"
"Easton School District","=""0460011""","Speech Language Impairment",19,"*"
"Ellington School District","=""0480011""","All Disabilities",198,72.0
"Ellington School District","=""0480011""","Autism",14,58.3
"Ellington School District","=""0480011""","Emotional Disturbance",17,65.4
"Ellington School District","=""0480011""","Intellectual Disability",0,0
"Ellington School District","=""0480011""","Learning Disability",116,81.7
"Ellington School District","=""0480011""","Other Disabilities",8,34.8
"Ellington School District","=""0480011""","Other Health Impairment",23,69.7
"Ellington School District","=""0480011""","Speech Language Impairment",20,83.3
"Enfield School District","=""0490011""","All Disabilities",533,75.1
"Enfield School District","=""0490011""","Autism",50,64.9
"Enfield School District","=""0490011""","Emotional Disturbance",33,42.9
"Enfield School District","=""0490011""","Intellectual Disability",9,33.3
"Enfield School District","=""0490011""","Learning Disability",226,90.0
"Enfield School District","=""0490011""","Other Disabilities",15,33.3
"Enfield School District","=""0490011""","Other Health Impairment",85,81.0
"Enfield School District","=""0490011""","Speech Language Impairment",115,89.8
"Essex School District","=""0500011""","All Disabilities",46,90.2
"Essex School District","=""0500011""","Autism",6,"*"
"Essex School District","=""0500011""","Emotional Disturbance","*","*"
"Essex School District","=""0500011""","Learning Disability",11,"*"
"Essex School District","=""0500011""","Other Disabilities","*","*"
"Essex School District","=""0500011""","Other Health Impairment",6,"*"
"Essex School District","=""0500011""","Speech Language Impairment",20,95.2
"Fairfield School District","=""0510011""","All Disabilities",831,78.9
"Fairfield School District","=""0510011""","Autism",78,59.1
"Fairfield School District","=""0510011""","Emotional Disturbance",25,43.9
"Fairfield School District","=""0510011""","Intellectual Disability",16,47.1
"Fairfield School District","=""0510011""","Learning Disability",319,92.2
"Fairfield School District","=""0510011""","Other Disabilities",16,43.2
"Fairfield School District","=""0510011""","Other Health Impairment",210,83.0
"Fairfield School District","=""0510011""","Speech Language Impairment",167,86.1
"Farmington School District","=""0520011""","All Disabilities",305,69.2
"Farmington School District","=""0520011""","Autism",41,51.9
"Farmington School District","=""0520011""","Emotional Disturbance",15,38.5
"Farmington School District","=""0520011""","Intellectual Disability","*","*"
"Farmington School District","=""0520011""","Learning Disability",101,77.7
"Farmington School District","=""0520011""","Other Disabilities","*","*"
"Farmington School District","=""0520011""","Other Health Impairment",90,88.2
"Farmington School District","=""0520011""","Speech Language Impairment",49,81.7
"Franklin School District","=""0530011""","All Disabilities",30,96.8
"Franklin School District","=""0530011""","Autism","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance","*","*"
"Franklin School District","=""0530011""","Intellectual Disability","*","*"
"Franklin School District","=""0530011""","Learning Disability",11,"*"
"Franklin School District","=""0530011""","Other Health Impairment","*","*"
"Franklin School District","=""0530011""","Speech Language Impairment",7,"*"
"Glastonbury School District","=""0540011""","All Disabilities",426,74.5
"Glastonbury School District","=""0540011""","Autism",47,53.4
"Glastonbury School District","=""0540011""","Emotional Disturbance",24,50.0
"Glastonbury School District","=""0540011""","Intellectual Disability","*","*"
"Glastonbury School District","=""0540011""","Learning Disability",150,88.2
"Glastonbury School District","=""0540011""","Other Disabilities","*","*"
"Glastonbury School District","=""0540011""","Other Health Impairment",125,83.9
"Glastonbury School District","=""0540011""","Speech Language Impairment",72,96.0
"Granby School District","=""0560011""","All Disabilities",151,79.1
"Granby School District","=""0560011""","Autism",18,85.7
"Granby School District","=""0560011""","Emotional Disturbance",9,"*"
"Granby School District","=""0560011""","Intellectual Disability","*","*"
"Granby School District","=""0560011""","Learning Disability",49,75.4
"Granby School District","=""0560011""","Other Disabilities","*","*"
"Granby School District","=""0560011""","Other Health Impairment",51,87.9
"Granby School District","=""0560011""","Speech Language Impairment",17,"*"
"Greenwich School District","=""0570011""","All Disabilities",624,73.2
"Greenwich School District","=""0570011""","Autism",58,62.4
"Greenwich School District","=""0570011""","Emotional Disturbance",22,36.7
"Greenwich School District","=""0570011""","Intellectual Disability",9,37.5
"Greenwich School District","=""0570011""","Learning Disability",292,80.9
"Greenwich School District","=""0570011""","Other Disabilities",13,50.0
"Greenwich School District","=""0570011""","Other Health Impairment",107,74.8
"Greenwich School District","=""0570011""","Speech Language Impairment",123,84.8
"Griswold School District","=""0580011""","All Disabilities",144,62.3
"Griswold School District","=""0580011""","Autism",14,45.2
"Griswold School District","=""0580011""","Emotional Disturbance",11,42.3
"Griswold School District","=""0580011""","Intellectual Disability","*","*"
"Griswold School District","=""0580011""","Learning Disability",49,75.4
"Griswold School District","=""0580011""","Other Disabilities","*","*"
"Griswold School District","=""0580011""","Other Health Impairment",43,71.7
"Griswold School District","=""0580011""","Speech Language Impairment",22,73.3
"Groton School District","=""0590011""","All Disabilities",473,71.3
"Groton School District","=""0590011""","Autism",52,50.0
"Groton School District","=""0590011""","Emotional Disturbance",36,41.4
"Groton School District","=""0590011""","Intellectual Disability",14,38.9
"Groton School District","=""0590011""","Learning Disability",199,93.0
"Groton School District","=""0590011""","Other Disabilities",13,37.1
"Groton School District","=""0590011""","Other Health Impairment",78,76.5
"Groton School District","=""0590011""","Speech Language Impairment",81,95.3
"Guilford School District","=""0600011""","All Disabilities",283,74.3
"Guilford School District","=""0600011""","Autism",29,43.3
"Guilford School District","=""0600011""","Emotional Disturbance",25,69.4
"Guilford School District","=""0600011""","Intellectual Disability",9,"*"
"Guilford School District","=""0600011""","Learning Disability",97,88.2
"Guilford School District","=""0600011""","Other Disabilities",8,"*"
"Guilford School District","=""0600011""","Other Health Impairment",74,91.4
"Guilford School District","=""0600011""","Speech Language Impairment",41,82.0
"Hamden School District","=""0620011""","All Disabilities",562,62.1
"Hamden School District","=""0620011""","Autism",53,40.2
"Hamden School District","=""0620011""","Emotional Disturbance",33,37.5
"Hamden School District","=""0620011""","Intellectual Disability","*","*"
"Hamden School District","=""0620011""","Learning Disability",214,77.0
"Hamden School District","=""0620011""","Other Disabilities","*","*"
"Hamden School District","=""0620011""","Other Health Impairment",132,69.1
"Hamden School District","=""0620011""","Speech Language Impairment",119,81.5
"Hampton School District","=""0630011""","All Disabilities",11,"*"
"Hampton School District","=""0630011""","Autism","*","*"
"Hampton School District","=""0630011""","Intellectual Disability","*","*"
"Hampton School District","=""0630011""","Learning Disability","*","*"
"Hampton School District","=""0630011""","Other Disabilities","*","*"
"Hampton School District","=""0630011""","Other Health Impairment","*","*"
"Hampton School District","=""0630011""","Speech Language Impairment","*","*"
"Hartford School District","=""0640011""","All Disabilities",2534,76.3
"Hartford School District","=""0640011""","Autism",199,60.5
"Hartford School District","=""0640011""","Emotional Disturbance",117,32.9
"Hartford School District","=""0640011""","Intellectual Disability",90,54.9
"Hartford School District","=""0640011""","Learning Disability",1143,90.9
"Hartford School District","=""0640011""","Other Disabilities",77,45.3
"Hartford School District","=""0640011""","Other Health Impairment",499,80.4
"Hartford School District","=""0640011""","Speech Language Impairment",409,96.7
"Hartland School District","=""0650011""","All Disabilities",30,90.9
"Hartland School District","=""0650011""","Autism","*","*"
"Hartland School District","=""0650011""","Emotional Disturbance",0,0
"Hartland School District","=""0650011""","Intellectual Disability","*","*"
"Hartland School District","=""0650011""","Learning Disability",14,"*"
"Hartland School District","=""0650011""","Other Disabilities",0,0
"Hartland School District","=""0650011""","Other Health Impairment","*","*"
"Hartland School District","=""0650011""","Speech Language Impairment",9,"*"
"Hebron School District","=""0670011""","All Disabilities",82,88.2
"Hebron School District","=""0670011""","Autism","*","*"
"Hebron School District","=""0670011""","Emotional Disturbance","*","*"
"Hebron School District","=""0670011""","Learning Disability",29,85.3
"Hebron School District","=""0670011""","Other Disabilities",0,0
"Hebron School District","=""0670011""","Other Health Impairment",13,"*"
"Hebron School District","=""0670011""","Speech Language Impairment",27,100.0
"Kent School District","=""0680011""","All Disabilities",15,65.2
"Kent School District","=""0680011""","Autism","*","*"
"Kent School District","=""0680011""","Intellectual Disability",0,0
