"CT School Day SAT, 2015-16"
"All Districts, Math, High Needs (F/R, EL or SWD)"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Y",79,24,30.4,37,46.8,"*","*","*","*",18,22.8,463
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","N",271,"*","*",75,27.7,134,49.4,"*","*","*","*",573
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Y",58,16,27.6,30,51.7,"*","*","*","*",12,20.7,466
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","N",240,"*","*",61,25.4,90,37.5,"*","*","*","*",594
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Y",86,23,26.7,30,34.9,27,31.4,6,7.0,33,38.4,493
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","N",391,6,1.5,84,21.5,176,45.0,125,32.0,301,77.0,602
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Y",29,"*","*",16,55.2,8,27.6,"*","*","*","*",487
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","N",122,"*","*",33,27.0,62,50.8,"*","*","*","*",571
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Y",127,39,30.7,56,44.1,20,15.7,12,9.4,32,25.2,468
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","N",482,13,2.7,105,21.8,168,34.9,196,40.7,364,75.5,607
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Y",39,11,28.2,19,48.7,"*","*","*","*",9,23.1,461
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","N",84,"*","*",43,51.2,29,34.5,"*","*","*","*",500
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Y",85,31,36.5,42,49.4,"*","*","*","*",12,14.1,449
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","N",149,"*","*",61,40.9,53,35.6,"*","*","*","*",533
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Y",40,"*","*",16,40.0,8,20.0,"*","*","*","*",460
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","N",213,"*","*",57,26.8,107,50.2,"*","*","*","*",580
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Y",8,"*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Y",157,56,35.7,68,43.3,24,15.3,9,5.7,33,21.0,455
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","N",206,24,11.7,92,44.7,70,34.0,20,9.7,90,43.7,521
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Y",136,"*","*","*","*","*","*",0,0.0,"*","*",385
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","N",14,"*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","N",6,"*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Y",26,"*","*","*","*","*","*",0,0.0,"*","*",399
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","N",12,"*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Y",35,20,57.1,"*","*","*","*",0,0.0,"*","*",397
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","N",42,6,14.3,14,33.3,"*","*","*","*","*","*",517
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Y",42,"*","*","*","*",0,0.0,0,0.0,0,0.0,380
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Y",30,"*","*",16,53.3,"*","*",0,0.0,"*","*",424
