"CT School Day SAT, 2015-16"
"All Districts, Math, All Students"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",169,106,62.7,"*","*","*","*",0,0.0,"*","*",393
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",174,58,33.3,95,54.6,"*","*","*","*",21,12.1,440
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",141,58,41.1,68,48.2,15,10.6,0,0.0,15,10.6,435
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",140,78,55.7,"*","*","*","*",0,0.0,"*","*",407
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",125,41,32.8,62,49.6,22,17.6,0,0.0,22,17.6,449
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",131,58,44.3,62,47.3,11,8.4,0,0.0,11,8.4,427
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",188,49,26.1,109,58.0,"*","*","*","*",30,16.0,460
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",154,57,37.0,78,50.6,"*","*","*","*",19,12.3,443
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",145,35,24.1,83,57.2,27,18.6,0,0.0,27,18.6,464
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",148,49,33.1,76,51.4,"*","*","*","*",23,15.5,458
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",158,"*","*",95,60.1,37,23.4,"*","*","*","*",477
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",157,36,22.9,87,55.4,"*","*","*","*",34,21.7,471
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",184,64,34.8,92,50.0,"*","*","*","*",28,15.2,450
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",139,57,41.0,66,47.5,16,11.5,0,0.0,16,11.5,437
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",174,38,21.8,104,59.8,"*","*","*","*",32,18.4,461
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",117,31,26.5,56,47.9,"*","*","*","*",30,25.6,470
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",146,24,16.4,55,37.7,55,37.7,12,8.2,67,45.9,509
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",22,"*","*","*","*",0,0.0,0,0.0,0,0.0,365
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",619,208,33.6,"*","*",125,20.2,"*","*","*","*",466
"Darien School District","=""0350011""","Darien High School","=""0356111""",310,7,2.3,43,13.9,117,37.7,143,46.1,260,83.9,626
"Derby School District","=""0370011""","Derby High School","=""0376111""",86,43,50.0,30,34.9,13,15.1,0,0.0,13,15.1,431
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",78,20,25.6,37,47.4,"*","*","*","*",21,26.9,481
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",50,"*","*",28,56.0,13,26.0,"*","*","*","*",522
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",366,129,35.2,165,45.1,64,17.5,8,2.2,72,19.7,453
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",25,17,68.0,8,32.0,0,0.0,0,0.0,0,0.0,380
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",6,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",250,"*","*","*","*","*","*","*","*","*","*",555
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",65,"*","*",31,47.7,18,27.7,"*","*","*","*",477
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",30,"*","*",16,53.3,"*","*",0,0.0,"*","*",460
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",6,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",36,21,58.3,"*","*","*","*",0,0.0,"*","*",416
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",33,"*","*",19,57.6,7,21.2,"*","*","*","*",478
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",196,45,23.0,92,46.9,49,25.0,10,5.1,59,30.1,482
"Explorations District","=""2720013""","Explorations","=""2726113""",21,"*","*",11,52.4,"*","*",0,0.0,"*","*",440
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",350,15,4.3,90,25.7,173,49.4,72,20.6,245,70.0,570
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",350,33,9.4,112,32.0,151,43.1,54,15.4,205,58.6,548
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""",9,"*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",477,"*","*","*","*","*","*","*","*","*","*",582
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""",6,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",151,7,4.6,49,32.5,70,46.4,25,16.6,95,62.9,555
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""",8,"*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",609,"*","*","*","*","*","*","*","*","*","*",578
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",234,46,19.7,103,44.0,63,26.9,22,9.4,85,36.3,502
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",253,19,7.5,73,28.9,115,45.5,46,18.2,161,63.6,561
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",8,"*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",363,80,22.0,160,44.1,94,25.9,29,8.0,123,33.9,493
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",150,102,68.0,42,28.0,6,4.0,0,0.0,6,4.0,390
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""",24,"*","*",16,66.7,"*","*",0,0.0,"*","*",465
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",38,21,55.3,"*","*","*","*",0,0.0,"*","*",419
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",77,26,33.8,27,35.1,"*","*","*","*",24,31.2,463
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",50,35,70.0,15,30.0,0,0.0,0,0.0,0,0.0,380
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",30,"*","*",16,53.3,"*","*",0,0.0,"*","*",424
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",61,23,37.7,28,45.9,"*","*","*","*",10,16.4,456
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",59,44,74.6,10,16.9,"*","*","*","*","*","*",390
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",75,54,72.0,21,28.0,0,0.0,0,0.0,0,0.0,381
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",77,48,62.3,"*","*","*","*",0,0.0,"*","*",402
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",85,30,35.3,42,49.4,"*","*","*","*",13,15.3,444
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",56,39,69.6,"*","*","*","*",0,0.0,"*","*",388
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",58,37,63.8,21,36.2,0,0.0,0,0.0,0,0.0,394
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",77,36,46.8,23,29.9,"*","*","*","*",18,23.4,444
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",44,"*","*",23,52.3,"*","*",0,0.0,"*","*",435
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",105,32,30.5,39,37.1,27,25.7,7,6.7,34,32.4,478
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",91,14,15.4,32,35.2,28,30.8,17,18.7,45,49.5,530
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",9,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",171,44,25.7,94,55.0,"*","*","*","*",33,19.3,465
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",88,36,40.9,41,46.6,"*","*","*","*","*","*",428
"Learn","=""2450014""","LEARN Pathways Program","=""2450514""","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",65,"*","*",28,43.1,27,41.5,"*","*","*","*",541
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""","*","*","*","*","*",15,48.4,"*","*","*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",83,6,7.2,33,39.8,31,37.3,13,15.7,44,53.0,541
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",197,30,15.2,85,43.1,57,28.9,25,12.7,82,41.6,516
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",74,9,12.2,23,31.1,33,44.6,9,12.2,42,56.8,530
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",296,16,5.4,74,25.0,133,44.9,73,24.7,206,69.6,578
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",334,110,32.9,153,45.8,59,17.7,12,3.6,71,21.3,458
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",9,"*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","New Horizons","=""0770711""","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",243,122,50.2,86,35.4,"*","*","*","*",35,14.4,429
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",214,109,50.9,75,35.0,"*","*","*","*",30,14.0,422
"Meriden School District","=""0800011""","Success Academy","=""0801411""",14,"*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",277,83,30.0,122,44.0,65,23.5,7,2.5,72,26.0,467
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",236,42,17.8,"*","*",73,30.9,"*","*","*","*",498
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","*","*","*",112,52.3,"*","*","*","*","*","*","*"
"Milford School District","=""0840011""","The Academy","=""0840311""","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",461,248,53.8,160,34.7,39,8.5,14,3.0,53,11.5,421
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",227,28,12.3,92,40.5,84,37.0,23,10.1,107,47.1,523
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",155,66,42.6,74,47.7,"*","*","*","*",15,9.7,436
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",70,9,12.9,37,52.9,16,22.9,8,11.4,24,34.3,509
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",44,25,56.8,15,34.1,"*","*","*","*","*","*",402
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",143,52,36.4,67,46.9,"*","*","*","*",24,16.8,442
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",33,16,48.5,"*","*","*","*",0,0.0,"*","*",439
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",178,109,61.2,60,33.7,"*","*","*","*",9,5.1,398
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",86,33,38.4,42,48.8,11,12.8,0,0.0,11,12.8,434
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",56,18,32.1,29,51.8,9,16.1,0,0.0,9,16.1,451
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",6,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",10,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Sound School","=""0936711""",72,21,29.2,29,40.3,"*","*","*","*",22,30.6,473
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",282,143,50.7,109,38.7,21,7.4,9,3.2,30,10.6,423
"New London School District","=""0950011""","New London High School","=""0956111""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Newington School District","=""0940011""","Newington High School","=""0946111""",298,34,11.4,125,41.9,111,37.2,28,9.4,139,46.6,523
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",403,25,6.2,114,28.3,188,46.7,76,18.9,264,65.5,562
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",153,36,23.5,64,41.8,47,30.7,6,3.9,53,34.6,493
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",242,40,16.5,95,39.3,87,36.0,20,8.3,107,44.2,508
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",55,8,14.5,16,29.1,23,41.8,8,14.5,31,56.4,538
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",407,109,26.8,170,41.8,91,22.4,37,9.1,128,31.4,485
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",320,62,19.4,167,52.2,80,25.0,11,3.4,91,28.4,486
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",21,15,71.4,6,28.6,0,0.0,0,0.0,0,0.0,380
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",96,11,11.5,37,38.5,36,37.5,12,12.5,48,50.0,533
"Oxford School District","=""1080011""","Alternative Education","=""1080411""","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",161,14,8.7,80,49.7,48,29.8,19,11.8,67,41.6,520
"Path Academy District","=""2930013""","Path Academy","=""2930113""",6,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",146,"*","*",75,51.4,33,22.6,"*","*","*","*",478
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",181,42,23.2,73,40.3,54,29.8,12,6.6,66,36.5,495
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""",92,10,10.9,36,39.1,32,34.8,14,15.2,46,50.0,544
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",107,"*","*",46,43.0,39,36.4,"*","*","*","*",503
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",144,23,16.0,52,36.1,48,33.3,21,14.6,69,47.9,525
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",113,"*","*",45,39.8,45,39.8,"*","*","*","*",508
"Regional School District 07","=""2070012""","AIM","=""2079112""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",182,17,9.3,59,32.4,83,45.6,23,12.6,106,58.2,541
"Regional School District 07","=""2070012""","STEP","=""2079312""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",240,18,7.5,68,28.3,101,42.1,53,22.1,154,64.2,564
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",261,12,4.6,58,22.2,135,51.7,56,21.5,191,73.2,575
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",186,9,4.8,64,34.4,88,47.3,25,13.4,113,60.8,550
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",42,"*","*",24,57.1,10,23.8,"*","*","*","*",493
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",49,"*","*",16,32.7,20,40.8,"*","*","*","*",542
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",140,15,10.7,53,37.9,57,40.7,15,10.7,72,51.4,528
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",171,14,8.2,72,42.1,64,37.4,21,12.3,85,49.7,531
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""",6,"*","*","*","*","*","*","*","*","*","*","*"
