"CT School Day SAT, 2015-16"
"All Districts, ELA, All Students"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",234,31,13.2,49,20.9,112,47.9,42,17.9,154,65.8,525
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",254,9,3.5,20,7.9,139,54.7,86,33.9,225,88.6,587
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",8,"*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",363,50,13.8,71,19.6,177,48.8,65,17.9,242,66.7,522
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",150,96,64.0,31,20.7,"*","*","*","*",23,15.3,408
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""",24,"*","*",6,25.0,11,45.8,"*","*","*","*",482
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",38,15,39.5,11,28.9,12,31.6,0,0.0,12,31.6,440
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",77,14,18.2,14,18.2,37,48.1,12,15.6,49,63.6,518
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",50,30,60.0,"*","*","*","*",0,0.0,"*","*",402
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",30,12,40.0,"*","*",9,30.0,"*","*","*","*",439
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",61,"*","*",20,32.8,21,34.4,"*","*","*","*",478
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",59,41,69.5,11,18.6,"*","*","*","*",7,11.9,395
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",75,49,65.3,16,21.3,10,13.3,0,0.0,10,13.3,402
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",77,50,64.9,16,20.8,11,14.3,0,0.0,11,14.3,409
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",85,32,37.6,"*","*",32,37.6,"*","*","*","*",463
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",56,38,67.9,10,17.9,8,14.3,0,0.0,8,14.3,404
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",58,31,53.4,15,25.9,12,20.7,0,0.0,12,20.7,422
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",78,31,39.7,16,20.5,23,29.5,8,10.3,31,39.7,466
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",44,12,27.3,"*","*",23,52.3,"*","*","*","*",472
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",105,30,28.6,19,18.1,50,47.6,6,5.7,56,53.3,482
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",91,16,17.6,12,13.2,39,42.9,24,26.4,63,69.2,541
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",9,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",171,24,14.0,27,15.8,110,64.3,10,5.8,120,70.2,508
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",89,35,39.3,19,21.3,28,31.5,7,7.9,35,39.3,461
"Learn","=""2450014""","LEARN Pathways Program","=""2450514""","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",65,"*","*","*","*",34,52.3,27,41.5,61,93.8,587
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""","*","*","*",8,25.8,"*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",83,6,7.2,6,7.2,60,72.3,11,13.3,71,85.5,547
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",197,24,12.2,37,18.8,100,50.8,36,18.3,136,69.0,527
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",74,7,9.5,10,13.5,41,55.4,16,21.6,57,77.0,544
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",296,7,2.4,13,4.4,165,55.7,111,37.5,276,93.2,597
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",334,87,26.0,72,21.6,150,44.9,25,7.5,175,52.4,482
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",9,"*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","New Horizons","=""0770711""","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",243,75,30.9,60,24.7,92,37.9,16,6.6,108,44.4,470
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",215,82,38.1,49,22.8,70,32.6,14,6.5,84,39.1,459
"Meriden School District","=""0800011""","Success Academy","=""0801411""",14,"*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",279,66,23.7,60,21.5,126,45.2,27,9.7,153,54.8,493
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",236,21,8.9,39,16.5,140,59.3,36,15.3,176,74.6,532
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",214,16,7.5,33,15.4,140,65.4,25,11.7,165,77.1,535
"Milford School District","=""0840011""","The Academy","=""0840311""","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",461,241,52.3,101,21.9,105,22.8,14,3.0,119,25.8,428
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",227,15,6.6,21,9.3,130,57.3,61,26.9,191,84.1,564
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",155,37,23.9,33,21.3,77,49.7,8,5.2,85,54.8,483
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",70,11,15.7,12,17.1,39,55.7,8,11.4,47,67.1,518
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",44,22,50.0,"*","*",16,36.4,"*","*","*","*",442
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",143,48,33.6,"*","*",53,37.1,"*","*","*","*",458
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",33,"*","*",11,33.3,11,33.3,"*","*","*","*",455
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",178,102,57.3,44,24.7,"*","*","*","*",32,18.0,416
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",86,30,34.9,"*","*",30,34.9,"*","*","*","*",451
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",56,14,25.0,"*","*",25,44.6,"*","*","*","*",472
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",6,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",10,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Sound School","=""0936711""",72,12,16.7,16,22.2,36,50.0,8,11.1,44,61.1,507
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",282,137,48.6,57,20.2,71,25.2,17,6.0,88,31.2,443
"New London School District","=""0950011""","New London High School","=""0956111""","*","*","*","*","*","*","*","*","*","*","*","*"
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Newington School District","=""0940011""","Newington High School","=""0946111""",298,24,8.1,54,18.1,163,54.7,57,19.1,220,73.8,536
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",403,14,3.5,32,7.9,236,58.6,121,30.0,357,88.6,577
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",154,25,16.2,30,19.5,79,51.3,20,13.0,99,64.3,510
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",242,16,6.6,35,14.5,144,59.5,47,19.4,191,78.9,542
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",55,7,12.7,6,10.9,32,58.2,10,18.2,42,76.4,548
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",407,93,22.9,78,19.2,193,47.4,43,10.6,236,58.0,497
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",320,47,14.7,74,23.1,167,52.2,32,10.0,199,62.2,507
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",21,14,66.7,"*","*","*","*",0,0.0,"*","*",423
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",96,9,9.4,10,10.4,56,58.3,21,21.9,77,80.2,550
"Oxford School District","=""1080011""","Alternative Education","=""1080411""","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",161,7,4.3,20,12.4,99,61.5,35,21.7,134,83.2,555
"Path Academy District","=""2930013""","Path Academy","=""2930113""",6,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",146,22,15.1,33,22.6,77,52.7,14,9.6,91,62.3,508
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",181,26,14.4,43,23.8,92,50.8,20,11.0,112,61.9,508
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""",92,"*","*","*","*",55,59.8,23,25.0,78,84.8,563
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",107,13,12.1,14,13.1,57,53.3,23,21.5,80,74.8,537
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",144,10,6.9,20,13.9,66,45.8,48,33.3,114,79.2,568
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",113,9,8.0,19,16.8,70,61.9,15,13.3,85,75.2,536
"Regional School District 07","=""2070012""","AIM","=""2079112""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",182,14,7.7,15,8.2,108,59.3,45,24.7,153,84.1,561
"Regional School District 07","=""2070012""","STEP","=""2079312""","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",241,16,6.6,17,7.1,141,58.5,67,27.8,208,86.3,566
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",261,"*","*","*","*",150,57.5,87,33.3,237,90.8,588
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",186,12,6.5,9,4.8,120,64.5,45,24.2,165,88.7,565
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",42,"*","*",9,21.4,27,64.3,"*","*","*","*",518
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",49,"*","*","*","*",26,53.1,13,26.5,39,79.6,553
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",140,13,9.3,8,5.7,82,58.6,37,26.4,119,85.0,558
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",171,17,9.9,23,13.5,102,59.6,29,17.0,131,76.6,538
