"CT School Day SAT, 2015-16"
"All Districts, ELA, Free/Reduced Price Meal Eligibility (2-level"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Y",45,"*","*",16,35.6,17,37.8,"*","*","*","*",482
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","N",49,9,18.4,"*","*",23,46.9,"*","*","*","*",537
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Y",30,"*","*","*","*",20,66.7,"*","*","*","*",500
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","N",338,"*","*","*","*",196,58.0,"*","*","*","*",575
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Y",20,"*","*","*","*",10,50.0,"*","*","*","*",479
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","N",104,"*","*","*","*",58,55.8,"*","*","*","*",547
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Y",35,"*","*",11,31.4,16,45.7,"*","*","*","*",501
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","N",156,"*","*",17,10.9,95,60.9,"*","*","*","*",561
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","N",22,"*","*","*","*","*","*","*","*","*","*",519
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Y",126,56,44.4,48,38.1,"*","*","*","*",22,17.5,427
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","N",43,20,46.5,10,23.3,13,30.2,0,0.0,13,30.2,435
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Y",119,41,34.5,38,31.9,40,33.6,0,0.0,40,33.6,446
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","N",55,"*","*",25,45.5,16,29.1,"*","*","*","*",455
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Y",91,28,30.8,35,38.5,28,30.8,0,0.0,28,30.8,444
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","N",50,13,26.0,"*","*",25,50.0,"*","*","*","*",470
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Y",112,60,53.6,"*","*","*","*",0,0.0,"*","*",417
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","N",28,14,50.0,"*","*","*","*",0,0.0,"*","*",419
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Y",78,"*","*",28,35.9,28,35.9,"*","*","*","*",466
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","N",47,12,25.5,"*","*",24,51.1,"*","*","*","*",486
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Y",60,20,33.3,23,38.3,17,28.3,0,0.0,17,28.3,441
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","N",71,"*","*",23,32.4,27,38.0,"*","*","*","*",469
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Y",73,13,17.8,29,39.7,31,42.5,0,0.0,31,42.5,460
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","N",115,17,14.8,28,24.3,63,54.8,7,6.1,70,60.9,496
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Y",57,"*","*",19,33.3,23,40.4,"*","*","*","*",465
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","N",97,"*","*",31,32.0,32,33.0,"*","*","*","*",472
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Y",51,"*","*",18,35.3,21,41.2,"*","*","*","*",469
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","N",94,"*","*",21,22.3,55,58.5,"*","*","*","*",503
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Y",51,13,25.5,22,43.1,16,31.4,0,0.0,16,31.4,459
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","N",97,"*","*",35,36.1,43,44.3,"*","*","*","*",483
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Y",45,"*","*",12,26.7,27,60.0,"*","*","*","*",494
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","N",113,"*","*",37,32.7,56,49.6,"*","*","*","*",495
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Y",39,"*","*",17,43.6,19,48.7,"*","*","*","*",488
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","N",118,"*","*",30,25.4,57,48.3,"*","*","*","*",507
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Y",67,18,26.9,20,29.9,29,43.3,0,0.0,29,43.3,462
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","N",117,18,15.4,35,29.9,58,49.6,6,5.1,64,54.7,487
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Y",56,19,33.9,"*","*",18,32.1,"*","*","*","*",447
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","N",83,"*","*",25,30.1,33,39.8,"*","*","*","*",478
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Y",85,15,17.6,25,29.4,45,52.9,0,0.0,45,52.9,480
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","N",89,"*","*",19,21.3,57,64.0,"*","*","*","*",505
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Y",45,13,28.9,14,31.1,18,40.0,0,0.0,18,40.0,461
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","N",73,15,20.5,21,28.8,30,41.1,7,9.6,37,50.7,489
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Y",21,"*","*",6,28.6,9,42.9,"*","*","*","*",504
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","N",105,"*","*",15,14.3,65,61.9,"*","*","*","*",547
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Y",36,8,22.2,9,25.0,19,52.8,0,0.0,19,52.8,485
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","N",110,15,13.6,9,8.2,63,57.3,23,20.9,86,78.2,543
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Y",242,100,41.3,58,24.0,75,31.0,9,3.7,84,34.7,449
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","N",377,59,15.6,73,19.4,183,48.5,62,16.4,245,65.0,516
"Darien School District","=""0350011""","Darien High School","=""0356111""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","N",301,"*","*","*","*","*","*","*","*","*","*",621
"Derby School District","=""0370011""","Derby High School","=""0376111""","Y",54,18,33.3,21,38.9,"*","*","*","*",15,27.8,445
"Derby School District","=""0370011""","Derby High School","=""0376111""","N",32,12,37.5,"*","*",11,34.4,"*","*","*","*",446
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","N",51,"*","*","*","*","*","*","*","*","*","*",571
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","N",69,"*","*","*","*","*","*","*","*","*","*",533
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Y",21,"*","*",6,28.6,11,52.4,"*","*","*","*",513
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","N",107,"*","*",16,15.0,63,58.9,"*","*","*","*",557
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Y",21,"*","*","*","*",10,47.6,"*","*","*","*",522
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","N",29,0,0.0,"*","*",22,75.9,"*","*","*","*",571
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Y",235,77,32.8,"*","*",77,32.8,"*","*","*","*",451
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","N",131,39,29.8,"*","*",59,45.0,"*","*","*","*",484
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Y","*","*","*","*","*",0,0.0,0,0.0,0,0.0,"*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Y",87,36,41.4,"*","*",28,32.2,"*","*","*","*",453
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","N",127,"*","*",31,24.4,61,48.0,"*","*","*","*",500
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Y",38,"*","*",6,15.8,22,57.9,"*","*","*","*",517
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","N",212,"*","*",17,8.0,119,56.1,"*","*","*","*",587
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Y",30,"*","*",6,20.0,14,46.7,"*","*","*","*",481
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","N",35,"*","*",8,22.9,21,60.0,"*","*","*","*",517
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Y",12,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","N",18,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Y",12,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","N",24,"*","*","*","*","*","*","*","*","*","*",487
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","N",186,"*","*","*","*","*","*","*","*","*","*",546
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Y",23,"*","*","*","*","*","*","*","*","*","*",475
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Y",52,"*","*",20,38.5,14,26.9,"*","*","*","*",470
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","N",97,16,16.5,"*","*",58,59.8,"*","*","*","*",509
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Y",55,"*","*",18,32.7,20,36.4,"*","*","*","*",472
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","N",141,"*","*",33,23.4,87,61.7,"*","*","*","*",517
"Explorations District","=""2720013""","Explorations","=""2726113""","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","N",15,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Y",21,0,0.0,"*","*",12,57.1,"*","*","*","*",524
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","N",329,"*","*",21,6.4,184,55.9,"*","*","*","*",587
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Y",54,17,31.5,"*","*",24,44.4,"*","*","*","*",490
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","N",296,"*","*",20,6.8,161,54.4,"*","*","*","*",577
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Y",32,"*","*",6,18.8,17,53.1,"*","*","*","*",507
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","N",266,"*","*",21,7.9,127,47.7,"*","*","*","*",586
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Y",59,9,15.3,12,20.3,30,50.8,8,13.6,38,64.4,508
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","N",418,11,2.6,36,8.6,241,57.7,130,31.1,371,88.8,581
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","N",134,"*","*","*","*","*","*","*","*","*","*",574
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Y",64,"*","*",20,31.3,25,39.1,"*","*","*","*",482
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","N",545,"*","*",48,8.8,252,46.2,"*","*","*","*",588
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Y",36,"*","*",11,30.6,13,36.1,"*","*","*","*",481
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","N",87,"*","*",12,13.8,50,57.5,"*","*","*","*",533
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Y",73,"*","*",21,28.8,30,41.1,"*","*","*","*",472
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","N",161,"*","*",28,17.4,82,50.9,"*","*","*","*",549
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Y",23,"*","*","*","*",19,82.6,0,0.0,19,82.6,519
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","N",231,"*","*","*","*",120,51.9,86,37.2,206,89.2,593
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Y",142,33,23.2,39,27.5,58,40.8,12,8.5,70,49.3,481
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","N",221,17,7.7,32,14.5,119,53.8,53,24.0,172,77.8,549
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Y",125,80,64.0,25,20.0,"*","*","*","*","*","*",409
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","N",25,16,64.0,6,24.0,"*","*","*","*","*","*",401
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Y",15,"*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Y",23,"*","*","*","*","*","*",0,0.0,"*","*",422
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","N",15,"*","*","*","*","*","*","*","*","*","*","*"
