"CT School Day SAT, 2015-16"
"All Districts, Math, Gender"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Male",22,"*","*","*","*","*","*",0,0.0,"*","*",410
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Male",50,"*","*","*","*","*","*","*","*","*","*",604
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Female",67,"*","*",32,47.8,"*","*",0,0.0,"*","*",465
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Male",29,"*","*",15,51.7,"*","*",0,0.0,"*","*",438
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Female",51,"*","*","*","*","*","*","*","*","*","*",468
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Male",8,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Female",49,24,49.0,18,36.7,"*","*","*","*",7,14.3,431
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Male",38,12,31.6,18,47.4,"*","*","*","*",8,21.1,472
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Female",21,"*","*",11,52.4,"*","*",0,0.0,"*","*",424
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Male",52,29,55.8,"*","*","*","*",0,0.0,"*","*",407
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Female",48,15,31.3,23,47.9,"*","*","*","*",10,20.8,466
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Male",46,12,26.1,21,45.7,"*","*","*","*",13,28.3,476
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Female",176,11,6.3,49,27.8,77,43.8,39,22.2,116,65.9,570
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Male",192,18,9.4,56,29.2,75,39.1,43,22.4,118,61.5,558
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Female",74,17,23.0,36,48.6,21,28.4,0,0.0,21,28.4,471
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Male",49,"*","*",22,44.9,15,30.6,"*","*","*","*",486
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Female",104,12,11.5,54,51.9,31,29.8,7,6.7,38,36.5,503
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Male",86,11,12.8,30,34.9,37,43.0,8,9.3,45,52.3,527
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Male",22,"*","*","*","*","*","*",0,0.0,"*","*",410
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Female",85,63,74.1,"*","*","*","*",0,0.0,"*","*",383
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Male",84,43,51.2,"*","*","*","*",0,0.0,"*","*",403
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Female",101,38,37.6,56,55.4,7,6.9,0,0.0,7,6.9,430
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Male",73,20,27.4,39,53.4,"*","*","*","*",14,19.2,453
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Female",64,"*","*",34,53.1,"*","*",0,0.0,"*","*",422
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Male",77,"*","*",34,44.2,"*","*",0,0.0,"*","*",447
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Female",72,40,55.6,32,44.4,0,0.0,0,0.0,0,0.0,406
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Male",68,38,55.9,"*","*","*","*",0,0.0,"*","*",408
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Female",41,"*","*",26,63.4,"*","*",0,0.0,"*","*",433
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Male",84,"*","*",36,42.9,"*","*",0,0.0,"*","*",457
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Female",49,"*","*",27,55.1,"*","*",0,0.0,"*","*",440
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Male",82,41,50.0,"*","*","*","*",0,0.0,"*","*",419
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Female",78,24,30.8,42,53.8,12,15.4,0,0.0,12,15.4,449
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Male",110,25,22.7,67,60.9,"*","*","*","*",18,16.4,468
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Female",44,17,38.6,23,52.3,"*","*","*","*","*","*",437
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Male",110,40,36.4,55,50.0,"*","*","*","*","*","*",445
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Female",50,14,28.0,27,54.0,9,18.0,0,0.0,9,18.0,461
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Male",95,21,22.1,56,58.9,18,18.9,0,0.0,18,18.9,465
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Female",31,14,45.2,"*","*","*","*",0,0.0,"*","*",442
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Male",117,35,29.9,64,54.7,"*","*","*","*","*","*",462
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Female",51,"*","*",37,72.5,"*","*",0,0.0,"*","*",477
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Male",107,"*","*",58,54.2,27,25.2,"*","*","*","*",477
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Female",58,16,27.6,34,58.6,8,13.8,0,0.0,8,13.8,455
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Male",99,"*","*",53,53.5,22,22.2,"*","*","*","*",480
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Female",67,27,40.3,34,50.7,6,9.0,0,0.0,6,9.0,438
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Male",117,37,31.6,58,49.6,"*","*","*","*",22,18.8,457
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Female",38,19,50.0,"*","*","*","*",0,0.0,"*","*",422
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Male",101,"*","*",48,47.5,"*","*",0,0.0,"*","*",443
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Female",74,20,27.0,44,59.5,"*","*","*","*",10,13.5,449
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Male",100,"*","*",60,60.0,21,21.0,"*","*","*","*",471
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Female",43,11,25.6,22,51.2,10,23.3,0,0.0,10,23.3,461
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Male",74,20,27.0,34,45.9,"*","*","*","*",20,27.0,475
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Female",71,"*","*",36,50.7,26,36.6,"*","*","*","*",508
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Male",55,"*","*",14,25.5,26,47.3,"*","*","*","*",525
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Female",69,"*","*",27,39.1,30,43.5,"*","*","*","*",512
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Male",77,"*","*",28,36.4,25,32.5,"*","*","*","*",506
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Female",11,"*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Male",11,"*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Female",303,108,35.6,126,41.6,58,19.1,11,3.6,69,22.8,455
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Male",316,100,31.6,127,40.2,67,21.2,22,7.0,89,28.2,476
"Darien School District","=""0350011""","Darien High School","=""0356111""","Female",149,"*","*","*","*",65,43.6,65,43.6,130,87.2,625
"Darien School District","=""0350011""","Darien High School","=""0356111""","Male",161,"*","*","*","*",52,32.3,78,48.4,130,80.7,628
"Derby School District","=""0370011""","Derby High School","=""0376111""","Female",40,22,55.0,"*","*","*","*",0,0.0,"*","*",420
"Derby School District","=""0370011""","Derby High School","=""0376111""","Male",46,21,45.7,"*","*","*","*",0,0.0,"*","*",440
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Female",30,"*","*",10,33.3,10,33.3,"*","*","*","*",521
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Male",31,"*","*",13,41.9,12,38.7,"*","*","*","*",515
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Female",51,"*","*",25,49.0,8,15.7,"*","*","*","*",462
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Male",27,"*","*",12,44.4,9,33.3,"*","*","*","*",516
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Female",75,"*","*",28,37.3,31,41.3,"*","*","*","*",512
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Male",53,"*","*",20,37.7,18,34.0,"*","*","*","*",504
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Female",33,"*","*","*","*","*","*","*","*","*","*",521
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Male",17,"*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Female",191,58,30.4,93,48.7,"*","*","*","*",40,20.9,460
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Male",175,71,40.6,72,41.1,"*","*","*","*",32,18.3,447
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Female",9,"*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Male",16,"*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Female",91,30,33.0,48,52.7,"*","*","*","*",13,14.3,449
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Male",123,51,41.5,46,37.4,"*","*","*","*",26,21.1,452
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Female",123,13,10.6,40,32.5,50,40.7,20,16.3,70,56.9,549
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Male",127,12,9.4,33,26.0,48,37.8,34,26.8,82,64.6,560
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Female",33,8,24.2,16,48.5,9,27.3,0,0.0,9,27.3,474
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Male",32,"*","*",15,46.9,9,28.1,"*","*","*","*",480
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Female",24,"*","*","*","*","*","*",0,0.0,"*","*",473
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Male",6,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Female",19,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Male",17,"*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Female",96,9,9.4,32,33.3,44,45.8,11,11.5,55,57.3,536
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Male",106,13,12.3,48,45.3,32,30.2,13,12.3,45,42.5,522
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Female",14,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Male",19,"*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Female",79,"*","*",36,45.6,27,34.2,"*","*","*","*",496
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Male",70,"*","*",28,40.0,21,30.0,"*","*","*","*",497
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Female",90,"*","*",43,47.8,25,27.8,"*","*","*","*",472
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Male",106,"*","*",49,46.2,24,22.6,"*","*","*","*",489
"Explorations District","=""2720013""","Explorations","=""2726113""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Female",171,"*","*",44,25.7,92,53.8,"*","*","*","*",565
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Male",179,"*","*",46,25.7,81,45.3,"*","*","*","*",574
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Female",179,15,8.4,55,30.7,83,46.4,26,14.5,109,60.9,552
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Male",171,18,10.5,57,33.3,68,39.8,28,16.4,96,56.1,544
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Female",125,10,8.0,38,30.4,44,35.2,33,26.4,77,61.6,565
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Male",173,13,7.5,53,30.6,56,32.4,51,29.5,107,61.8,572
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Female",262,15,5.7,67,25.6,106,40.5,74,28.2,180,68.7,579
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Male",215,14,6.5,47,21.9,97,45.1,57,26.5,154,71.6,586
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Female",70,"*","*",21,30.0,32,45.7,"*","*","*","*",550
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Male",81,"*","*",28,34.6,38,46.9,"*","*","*","*",560
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Female",297,25,8.4,97,32.7,89,30.0,86,29.0,175,58.9,564
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Male",312,27,8.7,64,20.5,99,31.7,122,39.1,221,70.8,591
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Female",71,"*","*",34,47.9,24,33.8,"*","*","*","*",485
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Male",52,"*","*",28,53.8,13,25.0,"*","*","*","*",492
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Female",126,24,19.0,60,47.6,32,25.4,10,7.9,42,33.3,499
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Male",108,22,20.4,43,39.8,31,28.7,12,11.1,43,39.8,506
