"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Ridgefield School District","=""1180011""",87.2,96.3
"Rocky Hill School District","=""1190011""",82.2,89.1
"Seymour School District","=""1240011""",76.8,89.4
"Shelton School District","=""1260011""",76.3,89.7
"Simsbury School District","=""1280011""",85.0,93.5
"Somers School District","=""1290011""",81.1,94.4
"Southington School District","=""1310011""",79.6,89.3
"South Windsor School District","=""1320011""",84.7,93.3
"Stafford School District","=""1340011""",71.1,89.9
"Stamford School District","=""1350011""",69.8,88.5
"Stonington School District","=""1370011""",72.4,89.6
"Stratford School District","=""1380011""",69.5,86.9
"Suffield School District","=""1390011""",82.3,92.8
"Thomaston School District","=""1400011""",68.4,90.8
"Thompson School District","=""1410011""",64.8,78.0
"Tolland School District","=""1420011""",79.8,91.8
"Torrington School District","=""1430011""",63.2,88.4
"Trumbull School District","=""1440011""",85.1,93.2
"Vernon School District","=""1460011""",71.2,85.1
"Wallingford School District","=""1480011""",74.2,89.0
"Waterbury School District","=""1510011""",54.1,79.2
"Waterford School District","=""1520011""",78.5,85.1
"Watertown School District","=""1530011""",70.8,88.9
"Westbrook School District","=""1540011""",72.0,94.4
"West Hartford School District","=""1550011""",85.4,93.2
"West Haven School District","=""1560011""",70.4,83.0
"Weston School District","=""1570011""",88.8,97.8
"Westport School District","=""1580011""",84.4,96.7
"Wethersfield School District","=""1590011""",83.3,91.9
"Wilton School District","=""1610011""",85.8,96.6
"Windham School District","=""1630011""",60.3,76.4
"Windsor School District","=""1640011""",71.1,87.6
"Windsor Locks School District","=""1650011""",67.9,87.9
"Wolcott School District","=""1660011""",75.4,93.5
"Regional School District 01","=""2010012""",63.0,88.9
"Regional School District 04","=""2040012""",72.7,86.1
"Regional School District 05","=""2050012""",87.1,96.2
"Regional School District 06","=""2060012""",66.7,94.2
"Regional School District 07","=""2070012""",76.8,87.7
"Regional School District 08","=""2080012""",83.6,96.1
"Regional School District 09","=""2090012""",85.7,92.4
"Regional School District 10","=""2100012""",83.1,88.9
"Regional School District 11","=""2110012""",80.0,85.7
"Regional School District 12","=""2120012""",76.0,87.7
"Regional School District 13","=""2130012""",89.0,94.6
"Regional School District 14","=""2140012""",78.0,92.9
"Regional School District 15","=""2150012""",86.3,93.6
"Regional School District 16","=""2160012""",78.2,89.0
"Regional School District 17","=""2170012""",87.0,89.6
"Regional School District 18","=""2180012""",75.5,94.6
"Regional School District 19","=""2190012""",69.3,92.0
"Capitol Region Education Council","=""2410014""",72.3,78.2
"Education Connection","=""2420014""",*,*
"Cooperative Educational Services","=""2430014""",*,*
"Area Cooperative Educational Services","=""2440014""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",*,*
"Common Ground High School District","=""2680013""",65.5,*
"The Bridge Academy District","=""2690013""",48.4,*
"Explorations District","=""2720013""",44.8,*
"Amistad Academy District","=""2790013""",90.9,85.0
"Stamford Academy District","=""2820013""",37.5,*
"Unified School District #1","=""3360015""",*,*
"Department of Mental Health and Addiction Services","=""3370015""",*,*
"Unified School District #2","=""3470015""",*,*
"Connecticut Technical High School System","=""9000016""",44.0,74.6
"Norwich Free Academy District","=""9010022""",73.2,86.9
"The Gilbert School District","=""9020022""",79.4,72.9
"Woodstock Academy District","=""9030022""",81.8,89.5

