"College Entrance and Persistence, Trend"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"",,,"2009-10",,"2010-11",,"2011-12",,"2012-13",,"2013-14",
"Granby School District","=""0560011""","English Language Learners",*,*,N/A,N/A,N/A,N/A,*,*,*,*
"Greenwich School District","=""0570011""","English Language Learners",21.9,*,46.7,*,48.5,*,59.5,81.8,59.2,82.8
"Groton School District","=""0590011""","English Language Learners",*,*,*,*,*,*,*,*,50.0,*
"Guilford School District","=""0600011""","English Language Learners",*,*,N/A,N/A,*,*,*,*,*,*
"Hamden School District","=""0620011""","English Language Learners",*,*,*,*,*,*,*,*,73.9,*
"Hartford School District","=""0640011""","English Language Learners",38.8,66.1,43.9,73.3,44.1,71.8,50.3,72.7,46.4,67.3
"Killingly School District","=""0690011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Ledyard School District","=""0720011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Manchester School District","=""0770011""","English Language Learners",*,*,59.1,*,*,*,51.9,*,58.1,*
"Meriden School District","=""0800011""","English Language Learners",29.0,*,40.9,*,43.2,*,37.2,*,48.3,79.3
"Middletown School District","=""0830011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Milford School District","=""0840011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Monroe School District","=""0850011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Montville School District","=""0860011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Naugatuck School District","=""0880011""","English Language Learners",*,*,*,*,*,*,*,*,56.5,*
"New Britain School District","=""0890011""","English Language Learners",43.0,78.4,60.6,60.5,47.2,91.2,46.0,67.5,51.6,73.5
"New Canaan School District","=""0900011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"New Haven School District","=""0930011""","English Language Learners",45.5,72.5,49.4,61.4,50.9,76.3,56.1,78.3,54.3,73.7
"Newington School District","=""0940011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"New London School District","=""0950011""","English Language Learners",62.1,*,45.2,*,61.7,65.5,57.1,75.0,45.7,76.2
"New Milford School District","=""0960011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Newtown School District","=""0970011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"North Branford School District","=""0990011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"North Haven School District","=""1010011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Norwalk School District","=""1030011""","English Language Learners",34.5,*,51.9,95.2,44.9,74.3,55.3,92.3,61.5,81.3
"Old Saybrook School District","=""1060011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Plainfield School District","=""1090011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Plainville School District","=""1100011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Plymouth School District","=""1110011""","English Language Learners",*,*,N/A,N/A,*,*,*,*,*,*
"Putnam School District","=""1160011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Ridgefield School District","=""1180011""","English Language Learners",*,*,*,*,N/A,N/A,*,*,*,*
"Rocky Hill School District","=""1190011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Seymour School District","=""1240011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Shelton School District","=""1260011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Simsbury School District","=""1280011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Somers School District","=""1290011""","English Language Learners",*,*,N/A,N/A,*,*,*,*,*,*
"Southington School District","=""1310011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"South Windsor School District","=""1320011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Stamford School District","=""1350011""","English Language Learners",44.9,86.8,49.3,85.1,51.3,85.2,52.9,83.2,61.0,81.1
"Stonington School District","=""1370011""","English Language Learners",*,*,*,*,N/A,N/A,*,*,N/A,N/A
"Stratford School District","=""1380011""","English Language Learners",*,*,58.3,*,78.3,*,60.9,*,71.4,84.0
"Torrington School District","=""1430011""","English Language Learners",*,*,*,*,*,*,48.3,*,74.2,91.3
"Trumbull School District","=""1440011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Vernon School District","=""1460011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Wallingford School District","=""1480011""","English Language Learners",*,*,*,*,*,*,*,*,54.2,*
"Waterbury School District","=""1510011""","English Language Learners",37.1,84.8,52.1,76.0,39.8,88.9,44.4,78.3,55.1,69.7
"Waterford School District","=""1520011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Watertown School District","=""1530011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"West Hartford School District","=""1550011""","English Language Learners",68.6,91.7,58.5,83.3,65.3,90.6,70.2,87.9,82.9,79.3
"West Haven School District","=""1560011""","English Language Learners",*,*,45.5,*,69.6,*,63.0,*,50.0,*
"Westport School District","=""1580011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Wethersfield School District","=""1590011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Wilton School District","=""1610011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Windham School District","=""1630011""","English Language Learners",31.0,*,36.7,*,35.1,*,56.8,42.9,36.1,*
"Windsor School District","=""1640011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Windsor Locks School District","=""1650011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Regional School District 04","=""2040012""","English Language Learners",*,*,*,*,*,*,N/A,N/A,*,*
"Regional School District 05","=""2050012""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Regional School District 09","=""2090012""","English Language Learners",*,*,N/A,N/A,*,*,*,*,*,*
"Regional School District 15","=""2150012""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Regional School District 16","=""2160012""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Regional School District 19","=""2190012""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Capitol Region Education Council","=""2410014""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Cooperative Educational Services","=""2430014""","English Language Learners",*,*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Area Cooperative Educational Services","=""2440014""","English Language Learners",*,*,*,*,N/A,N/A,*,*,N/A,N/A
"Amistad Academy District","=""2790013""","English Language Learners",*,*,*,*,N/A,N/A,*,*,*,*
"Connecticut Technical High School System","=""9000016""","English Language Learners",45.9,68.9,34.3,79.4,49.4,78.5,54.1,75.3,54.1,74.3
"Norwich Free Academy District","=""9010022""","English Language Learners",61.9,80.8,58.3,85.7,37.5,*,68.8,87.9,75.0,82.1
"The Gilbert School District","=""9020022""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Canton School District","=""0230011""","English Language Learners",N/A,N/A,*,*,N/A,N/A,*,*,*,*
"Cheshire School District","=""0250011""","English Language Learners",N/A,N/A,*,*,*,*,*,*,*,*
"East Granby School District","=""0400011""","English Language Learners",N/A,N/A,*,*,N/A,N/A,*,*,*,*
"East Lyme School District","=""0450011""","English Language Learners",N/A,N/A,*,*,*,*,*,*,*,*
"Litchfield School District","=""0740011""","English Language Learners",N/A,N/A,*,*,N/A,N/A,*,*,N/A,N/A
"North Stonington School District","=""1020011""","English Language Learners",N/A,N/A,*,*,N/A,N/A,N/A,N/A,N/A,N/A
"Portland School District","=""1130011""","English Language Learners",N/A,N/A,*,*,*,*,*,*,N/A,N/A
"Stafford School District","=""1340011""","English Language Learners",N/A,N/A,*,*,*,*,*,*,*,*
"Suffield School District","=""1390011""","English Language Learners",N/A,N/A,*,*,N/A,N/A,*,*,*,*
"Thomaston School District","=""1400011""","English Language Learners",N/A,N/A,*,*,N/A,N/A,*,*,N/A,N/A
"Thompson School District","=""1410011""","English Language Learners",N/A,N/A,*,*,N/A,N/A,N/A,N/A,*,*
"Wolcott School District","=""1660011""","English Language Learners",N/A,N/A,*,*,*,*,*,*,*,*
"Regional School District 06","=""2060012""","English Language Learners",N/A,N/A,*,*,*,*,*,*,*,*
"Regional School District 07","=""2070012""","English Language Learners",N/A,N/A,*,*,*,*,N/A,N/A,*,*
"Regional School District 12","=""2120012""","English Language Learners",N/A,N/A,*,*,*,*,*,*,N/A,N/A
"Regional School District 13","=""2130012""","English Language Learners",N/A,N/A,*,*,N/A,N/A,*,*,*,*
"Regional School District 14","=""2140012""","English Language Learners",N/A,N/A,*,*,*,*,*,*,*,*
"Regional School District 18","=""2180012""","English Language Learners",N/A,N/A,*,*,*,*,*,*,*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","English Language Learners",N/A,N/A,*,*,*,*,*,*,*,*
"Common Ground High School District","=""2680013""","English Language Learners",N/A,N/A,*,*,*,*,*,*,*,*
"Stamford Academy District","=""2820013""","English Language Learners",N/A,N/A,*,*,*,*,*,*,*,*
"Unified School District #1","=""3360015""","English Language Learners",N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A
"Woodstock Academy District","=""9030022""","English Language Learners",N/A,N/A,*,*,*,*,*,*,*,*
"East Hampton School District","=""0420011""","English Language Learners",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Griswold School District","=""0580011""","English Language Learners",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Madison School District","=""0760011""","English Language Learners",N/A,N/A,N/A,N/A,*,*,N/A,N/A,*,*
"New Fairfield School District","=""0910011""","English Language Learners",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Oxford School District","=""1080011""","English Language Learners",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Regional School District 01","=""2010012""","English Language Learners",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Regional School District 08","=""2080012""","English Language Learners",N/A,N/A,N/A,N/A,*,*,N/A,N/A,*,*
"Regional School District 10","=""2100012""","English Language Learners",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Regional School District 17","=""2170012""","English Language Learners",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Coventry School District","=""0320011""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Lebanon School District","=""0710011""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Norwich School District","=""1040011""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Westbrook School District","=""1540011""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Regional School District 11","=""2110012""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Learn","=""2450014""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"The Bridge Academy District","=""2690013""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Explorations District","=""2720013""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Unified School District #2","=""3470015""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bolton School District","=""0120011""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Tolland School District","=""1420011""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Weston School District","=""1570011""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Elm City College Preparatory School District","=""2890013""","English Language Learners",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*

