"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Derby School District","=""0370011""","American Indian or Alaska Native",*,*
"Derby School District","=""0370011""","Asian",*,*
"Derby School District","=""0370011""","Black or African American",*,*
"Derby School District","=""0370011""","Hispanic or Latino",*,*
"Derby School District","=""0370011""","White",68.3,90.2
"East Granby School District","=""0400011""","Asian",*,*
"East Granby School District","=""0400011""","Black or African American",*,*
"East Granby School District","=""0400011""","Hispanic or Latino",*,*
"East Granby School District","=""0400011""","White",83.8,94.7
"East Haddam School District","=""0410011""","Asian",*,*
"East Haddam School District","=""0410011""","Black or African American",*,*
"East Haddam School District","=""0410011""","Hispanic or Latino",*,*
"East Haddam School District","=""0410011""","White",*,*
"East Hampton School District","=""0420011""","Asian",*,*
"East Hampton School District","=""0420011""","Hispanic or Latino",*,*
"East Hampton School District","=""0420011""","White",77.6,86.6
"East Hartford School District","=""0430011""","Asian",*,*
"East Hartford School District","=""0430011""","Black or African American",60.6,80.2
"East Hartford School District","=""0430011""","Hispanic or Latino",45.6,70.7
"East Hartford School District","=""0430011""","Two or More Races",*,*
"East Hartford School District","=""0430011""","White",59.0,77.1
"East Haven School District","=""0440011""","Asian",*,*
"East Haven School District","=""0440011""","Black or African American",*,*
"East Haven School District","=""0440011""","Hispanic or Latino",53.3,*
"East Haven School District","=""0440011""","White",71.2,88.2
"East Lyme School District","=""0450011""","American Indian or Alaska Native",*,*
"East Lyme School District","=""0450011""","Asian",80.0,*
"East Lyme School District","=""0450011""","Black or African American",*,*
"East Lyme School District","=""0450011""","Hispanic or Latino",*,*
"East Lyme School District","=""0450011""","White",81.7,89.7
"East Windsor School District","=""0470011""","Asian",*,*
"East Windsor School District","=""0470011""","Black or African American",*,*
"East Windsor School District","=""0470011""","Hispanic or Latino",*,*
"East Windsor School District","=""0470011""","White",58.5,89.5
"Ellington School District","=""0480011""","Asian",*,*
"Ellington School District","=""0480011""","Black or African American",*,*
"Ellington School District","=""0480011""","Hispanic or Latino",*,*
"Ellington School District","=""0480011""","Two or More Races",*,*
"Ellington School District","=""0480011""","White",84.9,92.6
"Enfield School District","=""0490011""","American Indian or Alaska Native",*,*
"Enfield School District","=""0490011""","Asian",*,*
"Enfield School District","=""0490011""","Black or African American",80.0,95.0
"Enfield School District","=""0490011""","Hispanic or Latino",*,*
"Enfield School District","=""0490011""","Two or More Races",*,*
"Enfield School District","=""0490011""","White",75.7,88.7
"Fairfield School District","=""0510011""","American Indian or Alaska Native",*,*
"Fairfield School District","=""0510011""","Asian",84.4,92.6
"Fairfield School District","=""0510011""","Black or African American",66.7,*
"Fairfield School District","=""0510011""","Hispanic or Latino",67.5,81.5
"Fairfield School District","=""0510011""","Two or More Races",*,*
"Fairfield School District","=""0510011""","White",83.7,96.1
"Farmington School District","=""0520011""","Asian",90.0,*
"Farmington School District","=""0520011""","Black or African American",*,*
"Farmington School District","=""0520011""","Hispanic or Latino",*,*
"Farmington School District","=""0520011""","White",84.4,94.4
"Glastonbury School District","=""0540011""","Asian",84.4,100.0
"Glastonbury School District","=""0540011""","Black or African American",*,*
"Glastonbury School District","=""0540011""","Hispanic or Latino",77.3,*
"Glastonbury School District","=""0540011""","Two or More Races",*,*
"Glastonbury School District","=""0540011""","White",84.0,95.9
"Granby School District","=""0560011""","Asian",*,*
"Granby School District","=""0560011""","Black or African American",*,*
"Granby School District","=""0560011""","Hispanic or Latino",*,*
"Granby School District","=""0560011""","Two or More Races",*,*
"Granby School District","=""0560011""","White",90.2,90.4
"Greenwich School District","=""0570011""","American Indian or Alaska Native",*,*
"Greenwich School District","=""0570011""","Asian",69.4,88.0
"Greenwich School District","=""0570011""","Black or African American",*,*
"Greenwich School District","=""0570011""","Hispanic or Latino",73.3,89.2
"Greenwich School District","=""0570011""","Two or More Races",*,*
"Greenwich School District","=""0570011""","White",80.9,95.4
"Griswold School District","=""0580011""","American Indian or Alaska Native",*,*
"Griswold School District","=""0580011""","Asian",*,*
"Griswold School District","=""0580011""","Black or African American",*,*
"Griswold School District","=""0580011""","Hispanic or Latino",*,*
"Griswold School District","=""0580011""","White",68.8,80.6
"Groton School District","=""0590011""","American Indian or Alaska Native",*,*
"Groton School District","=""0590011""","Asian",*,*
"Groton School District","=""0590011""","Black or African American",67.6,68.0
"Groton School District","=""0590011""","Hispanic or Latino",78.6,81.8
"Groton School District","=""0590011""","Two or More Races",*,*
"Groton School District","=""0590011""","White",79.2,89.0
"Guilford School District","=""0600011""","Asian",*,*
"Guilford School District","=""0600011""","Black or African American",*,*
"Guilford School District","=""0600011""","Hispanic or Latino",*,*
"Guilford School District","=""0600011""","Two or More Races",*,*
"Guilford School District","=""0600011""","White",83.1,91.4
"Hamden School District","=""0620011""","Asian",*,*
"Hamden School District","=""0620011""","Black or African American",63.7,86.0
"Hamden School District","=""0620011""","Hispanic or Latino",66.1,91.9
"Hamden School District","=""0620011""","Two or More Races",*,*
"Hamden School District","=""0620011""","White",79.2,91.6
"Hartford School District","=""0640011""","American Indian or Alaska Native",*,*
"Hartford School District","=""0640011""","Asian",55.0,*
"Hartford School District","=""0640011""","Black or African American",55.5,76.0
"Hartford School District","=""0640011""","Hispanic or Latino",54.2,73.4
"Hartford School District","=""0640011""","Native Hawaiian or Other Pacific Islander",*,*
"Hartford School District","=""0640011""","Two or More Races",*,*
"Hartford School District","=""0640011""","White",73.8,91.1
"Killingly School District","=""0690011""","American Indian or Alaska Native",*,*
"Killingly School District","=""0690011""","Asian",*,*
"Killingly School District","=""0690011""","Black or African American",*,*
"Killingly School District","=""0690011""","Hispanic or Latino",*,*
"Killingly School District","=""0690011""","White",50.4,80.6
"Lebanon School District","=""0710011""","Hispanic or Latino",*,*
"Lebanon School District","=""0710011""","White",*,*
"Ledyard School District","=""0720011""","American Indian or Alaska Native",*,*
"Ledyard School District","=""0720011""","Asian",*,*
"Ledyard School District","=""0720011""","Black or African American",*,*
"Ledyard School District","=""0720011""","Hispanic or Latino",*,*
"Ledyard School District","=""0720011""","White",69.0,86.4
"Lisbon School District","=""0730011""","White",*,*
"Litchfield School District","=""0740011""","Hispanic or Latino",*,*
"Litchfield School District","=""0740011""","White",*,*
"Madison School District","=""0760011""","American Indian or Alaska Native",*,*
"Madison School District","=""0760011""","Asian",*,*
"Madison School District","=""0760011""","Black or African American",*,*
"Madison School District","=""0760011""","Hispanic or Latino",*,*
"Madison School District","=""0760011""","Two or More Races",*,*
"Madison School District","=""0760011""","White",86.0,96.7
"Manchester School District","=""0770011""","Asian",75.8,92.0
"Manchester School District","=""0770011""","Black or African American",61.4,76.5
"Manchester School District","=""0770011""","Hispanic or Latino",53.4,79.5
"Manchester School District","=""0770011""","White",67.8,88.8
"Meriden School District","=""0800011""","Asian",*,*
"Meriden School District","=""0800011""","Black or African American",59.3,68.6
"Meriden School District","=""0800011""","Hispanic or Latino",52.4,62.9
"Meriden School District","=""0800011""","Two or More Races",*,*
"Meriden School District","=""0800011""","White",69.7,91.2
"Middletown School District","=""0830011""","Asian",*,*
"Middletown School District","=""0830011""","Black or African American",64.2,85.3
"Middletown School District","=""0830011""","Hispanic or Latino",*,*
"Middletown School District","=""0830011""","Two or More Races",*,*
"Middletown School District","=""0830011""","White",74.2,85.5
"Milford School District","=""0840011""","American Indian or Alaska Native",*,*
"Milford School District","=""0840011""","Asian",*,*
"Milford School District","=""0840011""","Black or African American",*,*
"Milford School District","=""0840011""","Hispanic or Latino",*,*
"Milford School District","=""0840011""","White",77.7,93.9
"Monroe School District","=""0850011""","Asian",*,*
"Monroe School District","=""0850011""","Black or African American",*,*
"Monroe School District","=""0850011""","Hispanic or Latino",*,*
"Monroe School District","=""0850011""","White",84.3,96.2
"Montville School District","=""0860011""","American Indian or Alaska Native",*,*
"Montville School District","=""0860011""","Asian",*,*
"Montville School District","=""0860011""","Black or African American",*,*
"Montville School District","=""0860011""","Hispanic or Latino",*,*
"Montville School District","=""0860011""","Two or More Races",*,*
"Montville School District","=""0860011""","White",71.2,81.9
"Naugatuck School District","=""0880011""","Asian",*,*
"Naugatuck School District","=""0880011""","Black or African American",57.7,*
"Naugatuck School District","=""0880011""","Hispanic or Latino",60.0,85.7
"Naugatuck School District","=""0880011""","Native Hawaiian or Other Pacific Islander",*,*
"Naugatuck School District","=""0880011""","Two or More Races",*,*
"Naugatuck School District","=""0880011""","White",68.9,90.2
"New Britain School District","=""0890011""","American Indian or Alaska Native",*,*
"New Britain School District","=""0890011""","Asian",*,*
"New Britain School District","=""0890011""","Black or African American",67.5,78.6
"New Britain School District","=""0890011""","Hispanic or Latino",48.2,73.6
"New Britain School District","=""0890011""","Two or More Races",*,*
"New Britain School District","=""0890011""","White",64.2,87.3
"New Canaan School District","=""0900011""","American Indian or Alaska Native",*,*
"New Canaan School District","=""0900011""","Asian",*,*
"New Canaan School District","=""0900011""","Black or African American",*,*
"New Canaan School District","=""0900011""","Hispanic or Latino",*,*
"New Canaan School District","=""0900011""","Two or More Races",*,*
"New Canaan School District","=""0900011""","White",79.4,95.9
"New Fairfield School District","=""0910011""","American Indian or Alaska Native",*,*
"New Fairfield School District","=""0910011""","Asian",*,*
"New Fairfield School District","=""0910011""","Hispanic or Latino",*,*
"New Fairfield School District","=""0910011""","Two or More Races",*,*
"New Fairfield School District","=""0910011""","White",80.3,91.8
"New Haven School District","=""0930011""","American Indian or Alaska Native",*,*
"New Haven School District","=""0930011""","Asian",*,*
"New Haven School District","=""0930011""","Black or African American",64.0,74.2
"New Haven School District","=""0930011""","Hispanic or Latino",54.1,71.7
"New Haven School District","=""0930011""","White",69.3,*
"Newington School District","=""0940011""","American Indian or Alaska Native",*,*
"Newington School District","=""0940011""","Asian",88.5,95.7
"Newington School District","=""0940011""","Black or African American",*,*
"Newington School District","=""0940011""","Hispanic or Latino",57.1,85.0
"Newington School District","=""0940011""","Two or More Races",*,*
"Newington School District","=""0940011""","White",83.8,89.5
"New London School District","=""0950011""","American Indian or Alaska Native",*,*
"New London School District","=""0950011""","Asian",*,*
"New London School District","=""0950011""","Black or African American",64.5,87.5
"New London School District","=""0950011""","Hispanic or Latino",49.3,66.7
"New London School District","=""0950011""","Two or More Races",*,*
"New London School District","=""0950011""","White",53.7,81.8
"New Milford School District","=""0960011""","Asian",*,*
"New Milford School District","=""0960011""","Black or African American",*,*
"New Milford School District","=""0960011""","Hispanic or Latino",71.4,*
"New Milford School District","=""0960011""","Native Hawaiian or Other Pacific Islander",*,*
"New Milford School District","=""0960011""","White",74.3,92.4
"Newtown School District","=""0970011""","Asian",*,*
"Newtown School District","=""0970011""","Black or African American",*,*
"Newtown School District","=""0970011""","Hispanic or Latino",86.4,*
"Newtown School District","=""0970011""","White",85.5,90.9
"North Branford School District","=""0990011""","Asian",*,*
"North Branford School District","=""0990011""","Black or African American",*,*
"North Branford School District","=""0990011""","Hispanic or Latino",*,*
"North Branford School District","=""0990011""","White",79.5,93.6
"North Haven School District","=""1010011""","Asian",*,*
"North Haven School District","=""1010011""","Black or African American",*,*
"North Haven School District","=""1010011""","Hispanic or Latino",*,*
"North Haven School District","=""1010011""","Native Hawaiian or Other Pacific Islander",*,*
"North Haven School District","=""1010011""","Two or More Races",*,*
"North Haven School District","=""1010011""","White",80.9,93.8
"North Stonington School District","=""1020011""","American Indian or Alaska Native",*,*
"North Stonington School District","=""1020011""","Asian",*,*
"North Stonington School District","=""1020011""","Hispanic or Latino",*,*
"North Stonington School District","=""1020011""","White",72.7,80.0
"Norwalk School District","=""1030011""","American Indian or Alaska Native",*,*
"Norwalk School District","=""1030011""","Asian",82.4,96.4
"Norwalk School District","=""1030011""","Black or African American",62.4,80.9
"Norwalk School District","=""1030011""","Hispanic or Latino",69.0,88.2
"Norwalk School District","=""1030011""","Two or More Races",*,*
"Norwalk School District","=""1030011""","White",84.0,90.7
"Norwich School District","=""1040011""","Black or African American",*,*
"Norwich School District","=""1040011""","Hispanic or Latino",*,*
"Norwich School District","=""1040011""","White",*,*
"Old Saybrook School District","=""1060011""","American Indian or Alaska Native",*,*
"Old Saybrook School District","=""1060011""","Asian",*,*
"Old Saybrook School District","=""1060011""","Hispanic or Latino",*,*
"Old Saybrook School District","=""1060011""","White",87.3,97.8
"Oxford School District","=""1080011""","Asian",*,*
"Oxford School District","=""1080011""","Black or African American",*,*
"Oxford School District","=""1080011""","Hispanic or Latino",*,*
"Oxford School District","=""1080011""","White",81.0,91.0
"Plainfield School District","=""1090011""","American Indian or Alaska Native",*,*
"Plainfield School District","=""1090011""","Asian",*,*
"Plainfield School District","=""1090011""","Black or African American",*,*
"Plainfield School District","=""1090011""","Hispanic or Latino",*,*
"Plainfield School District","=""1090011""","White",58.7,83.5
"Plainville School District","=""1100011""","Asian",*,*
"Plainville School District","=""1100011""","Black or African American",*,*
"Plainville School District","=""1100011""","Hispanic or Latino",*,*
"Plainville School District","=""1100011""","Two or More Races",*,*
"Plainville School District","=""1100011""","White",70.9,86.6
"Plymouth School District","=""1110011""","Asian",*,*
"Plymouth School District","=""1110011""","Black or African American",*,*
"Plymouth School District","=""1110011""","Hispanic or Latino",*,*
"Plymouth School District","=""1110011""","White",*,83.3
"Portland School District","=""1130011""","Hispanic or Latino",*,*
"Portland School District","=""1130011""","White",75.0,88.3
"Putnam School District","=""1160011""","Black or African American",*,*
"Putnam School District","=""1160011""","Hispanic or Latino",*,*
"Putnam School District","=""1160011""","Two or More Races",*,*
"Putnam School District","=""1160011""","White",49.1,82.1
"Ridgefield School District","=""1180011""","American Indian or Alaska Native",*,*
"Ridgefield School District","=""1180011""","Asian",*,*
"Ridgefield School District","=""1180011""","Black or African American",*,*
"Ridgefield School District","=""1180011""","Hispanic or Latino",*,*
"Ridgefield School District","=""1180011""","Two or More Races",*,*
"Ridgefield School District","=""1180011""","White",86.5,95.5
"Rocky Hill School District","=""1190011""","Asian",*,*
"Rocky Hill School District","=""1190011""","Black or African American",*,*
"Rocky Hill School District","=""1190011""","Hispanic or Latino",*,*
"Rocky Hill School District","=""1190011""","White",82.9,90.1
"Seymour School District","=""1240011""","Asian",*,*
"Seymour School District","=""1240011""","Black or African American",*,*
"Seymour School District","=""1240011""","Hispanic or Latino",*,*
"Seymour School District","=""1240011""","White",80.1,89.0
"Shelton School District","=""1260011""","American Indian or Alaska Native",*,*
"Shelton School District","=""1260011""","Asian",*,*
"Shelton School District","=""1260011""","Black or African American",*,*
"Shelton School District","=""1260011""","Hispanic or Latino",73.1,*
"Shelton School District","=""1260011""","White",75.8,92.6
"Simsbury School District","=""1280011""","Asian",*,*
"Simsbury School District","=""1280011""","Black or African American",*,*
"Simsbury School District","=""1280011""","Hispanic or Latino",*,*
"Simsbury School District","=""1280011""","Native Hawaiian or Other Pacific Islander",*,*
"Simsbury School District","=""1280011""","Two or More Races",*,*
"Simsbury School District","=""1280011""","White",82.7,96.7
"Somers School District","=""1290011""","Asian",*,*
"Somers School District","=""1290011""","Hispanic or Latino",*,*
"Somers School District","=""1290011""","White",79.5,92.4
"Southington School District","=""1310011""","American Indian or Alaska Native",*,*
"Southington School District","=""1310011""","Asian",*,*
"Southington School District","=""1310011""","Black or African American",*,*
"Southington School District","=""1310011""","Hispanic or Latino",60.0,*
"Southington School District","=""1310011""","Two or More Races",*,*
"Southington School District","=""1310011""","White",81.1,89.5
"South Windsor School District","=""1320011""","American Indian or Alaska Native",*,*
"South Windsor School District","=""1320011""","Asian",96.3,92.3
"South Windsor School District","=""1320011""","Black or African American",81.8,*
"South Windsor School District","=""1320011""","Hispanic or Latino",*,*
"South Windsor School District","=""1320011""","White",82.3,91.9
"Stafford School District","=""1340011""","Asian",*,*
"Stafford School District","=""1340011""","Black or African American",*,*
"Stafford School District","=""1340011""","Two or More Races",*,*
"Stafford School District","=""1340011""","White",65.7,89.6
"Stamford School District","=""1350011""","Asian",*,*
"Stamford School District","=""1350011""","Black or African American",74.5,82.4
"Stamford School District","=""1350011""","Hispanic or Latino",57.6,82.8
"Stamford School District","=""1350011""","Two or More Races",*,*
"Stamford School District","=""1350011""","White",80.7,93.5
"Stonington School District","=""1370011""","American Indian or Alaska Native",*,*
"Stonington School District","=""1370011""","Asian",*,*
"Stonington School District","=""1370011""","Black or African American",*,*
"Stonington School District","=""1370011""","Hispanic or Latino",*,*
"Stonington School District","=""1370011""","Two or More Races",*,*
"Stonington School District","=""1370011""","White",82.8,91.6
"Stratford School District","=""1380011""","American Indian or Alaska Native",*,*
"Stratford School District","=""1380011""","Asian",*,*
"Stratford School District","=""1380011""","Black or African American",72.0,84.4
"Stratford School District","=""1380011""","Hispanic or Latino",64.9,83.8
"Stratford School District","=""1380011""","White",76.5,86.6
"Suffield School District","=""1390011""","Asian",*,*
"Suffield School District","=""1390011""","Black or African American",*,*
"Suffield School District","=""1390011""","Hispanic or Latino",*,*
"Suffield School District","=""1390011""","White",82.7,91.4
"Thomaston School District","=""1400011""","Hispanic or Latino",*,*
"Thomaston School District","=""1400011""","White",*,*
"Thompson School District","=""1410011""","Hispanic or Latino",*,*
"Thompson School District","=""1410011""","White",*,*
"Tolland School District","=""1420011""","Asian",*,*
"Tolland School District","=""1420011""","Black or African American",*,*
"Tolland School District","=""1420011""","Hispanic or Latino",*,*
"Tolland School District","=""1420011""","White",84.0,88.3
"Torrington School District","=""1430011""","American Indian or Alaska Native",*,*
"Torrington School District","=""1430011""","Asian",*,*
"Torrington School District","=""1430011""","Black or African American",*,*
"Torrington School District","=""1430011""","Hispanic or Latino",55.6,*
"Torrington School District","=""1430011""","White",70.1,89.1
"Trumbull School District","=""1440011""","Asian",73.9,*
"Trumbull School District","=""1440011""","Black or African American",77.4,100.0
"Trumbull School District","=""1440011""","Hispanic or Latino",72.4,95.2
"Trumbull School District","=""1440011""","White",84.6,92.9
"Vernon School District","=""1460011""","American Indian or Alaska Native",*,*
"Vernon School District","=""1460011""","Asian",*,*
"Vernon School District","=""1460011""","Black or African American",62.5,*
"Vernon School District","=""1460011""","Hispanic or Latino",*,*
"Vernon School District","=""1460011""","White",67.5,87.6
"Wallingford School District","=""1480011""","Asian",*,*
"Wallingford School District","=""1480011""","Black or African American",*,*
"Wallingford School District","=""1480011""","Hispanic or Latino",48.8,95.2
"Wallingford School District","=""1480011""","White",74.0,93.0
"Waterbury School District","=""1510011""","American Indian or Alaska Native",*,*
"Waterbury School District","=""1510011""","Asian",55.6,*
"Waterbury School District","=""1510011""","Black or African American",52.7,72.9
"Waterbury School District","=""1510011""","Hispanic or Latino",51.8,74.1
"Waterbury School District","=""1510011""","Two or More Races",*,*
"Waterbury School District","=""1510011""","White",66.2,92.1
"Waterford School District","=""1520011""","American Indian or Alaska Native",*,*
"Waterford School District","=""1520011""","Asian",*,*
"Waterford School District","=""1520011""","Black or African American",*,*
"Waterford School District","=""1520011""","Hispanic or Latino",*,*
"Waterford School District","=""1520011""","Native Hawaiian or Other Pacific Islander",*,*
"Waterford School District","=""1520011""","White",78.0,82.5
"Watertown School District","=""1530011""","American Indian or Alaska Native",*,*
"Watertown School District","=""1530011""","Asian",*,*
"Watertown School District","=""1530011""","Black or African American",*,*
"Watertown School District","=""1530011""","Hispanic or Latino",*,*
"Watertown School District","=""1530011""","White",74.9,87.6
"Westbrook School District","=""1540011""","Asian",*,*
"Westbrook School District","=""1540011""","Hispanic or Latino",*,*
"Westbrook School District","=""1540011""","White",80.6,92.6
"West Hartford School District","=""1550011""","Asian",82.1,93.5
"West Hartford School District","=""1550011""","Black or African American",83.8,84.2
"West Hartford School District","=""1550011""","Hispanic or Latino",71.6,83.1
"West Hartford School District","=""1550011""","Native Hawaiian or Other Pacific Islander",*,*
"West Hartford School District","=""1550011""","Two or More Races",*,*
"West Hartford School District","=""1550011""","White",84.2,95.0
"West Haven School District","=""1560011""","Asian",*,*
"West Haven School District","=""1560011""","Black or African American",67.9,80.0
"West Haven School District","=""1560011""","Hispanic or Latino",60.3,91.4
"West Haven School District","=""1560011""","Two or More Races",*,*
"West Haven School District","=""1560011""","White",66.9,84.3
"Weston School District","=""1570011""","American Indian or Alaska Native",*,*
"Weston School District","=""1570011""","Asian",*,*
"Weston School District","=""1570011""","Black or African American",*,*
"Weston School District","=""1570011""","Hispanic or Latino",*,*
"Weston School District","=""1570011""","White",86.9,96.7
"Westport School District","=""1580011""","Asian",*,*
"Westport School District","=""1580011""","Black or African American",*,*
"Westport School District","=""1580011""","Hispanic or Latino",*,*
"Westport School District","=""1580011""","White",79.0,96.2
"Wethersfield School District","=""1590011""","Asian",*,*
"Wethersfield School District","=""1590011""","Black or African American",*,*
"Wethersfield School District","=""1590011""","Hispanic or Latino",69.7,91.3
"Wethersfield School District","=""1590011""","White",80.7,90.8
"Wilton School District","=""1610011""","Asian",*,*
"Wilton School District","=""1610011""","Black or African American",*,*
"Wilton School District","=""1610011""","Hispanic or Latino",*,*
"Wilton School District","=""1610011""","White",88.0,96.4
"Windham School District","=""1630011""","American Indian or Alaska Native",*,*
"Windham School District","=""1630011""","Asian",*,*
"Windham School District","=""1630011""","Black or African American",*,*
"Windham School District","=""1630011""","Hispanic or Latino",49.4,68.4
"Windham School District","=""1630011""","White",74.4,90.2
"Windsor School District","=""1640011""","American Indian or Alaska Native",*,*
"Windsor School District","=""1640011""","Asian",*,*
"Windsor School District","=""1640011""","Black or African American",70.4,81.3
"Windsor School District","=""1640011""","Hispanic or Latino",67.6,82.6
"Windsor School District","=""1640011""","Two or More Races",*,*
"Windsor School District","=""1640011""","White",75.0,88.0
"Windsor Locks School District","=""1650011""","Asian",*,*
"Windsor Locks School District","=""1650011""","Black or African American",*,*
"Windsor Locks School District","=""1650011""","Hispanic or Latino",*,*
"Windsor Locks School District","=""1650011""","White",60.7,92.6
"Wolcott School District","=""1660011""","Asian",*,*
"Wolcott School District","=""1660011""","Black or African American",*,*
"Wolcott School District","=""1660011""","Hispanic or Latino",*,*
"Wolcott School District","=""1660011""","White",72.9,89.9
"Regional School District 01","=""2010012""","Asian",*,*
"Regional School District 01","=""2010012""","Hispanic or Latino",*,*
"Regional School District 01","=""2010012""","Two or More Races",*,*
"Regional School District 01","=""2010012""","White",60.9,91.4
"Regional School District 04","=""2040012""","Asian",*,*
"Regional School District 04","=""2040012""","Black or African American",*,*
"Regional School District 04","=""2040012""","Hispanic or Latino",*,*
"Regional School District 04","=""2040012""","Two or More Races",*,*
"Regional School District 04","=""2040012""","White",67.7,91.1
"Regional School District 05","=""2050012""","Asian",85.4,97.1
"Regional School District 05","=""2050012""","Black or African American",*,*
"Regional School District 05","=""2050012""","Hispanic or Latino",*,*
