"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Monroe School District","=""0850011""","Male",81.2,91.2
"Montville School District","=""0860011""","Female",69.7,85.5
"Montville School District","=""0860011""","Male",67.7,70.1
"Naugatuck School District","=""0880011""","Female",77.9,83.2
"Naugatuck School District","=""0880011""","Male",52.0,77.8
"New Britain School District","=""0890011""","Female",61.0,81.6
"New Britain School District","=""0890011""","Male",50.5,80.2
"New Canaan School District","=""0900011""","Female",86.1,99.2
"New Canaan School District","=""0900011""","Male",84.0,92.7
"New Fairfield School District","=""0910011""","Female",83.3,92.2
"New Fairfield School District","=""0910011""","Male",74.8,91.6
"New Haven School District","=""0930011""","Female",66.4,75.1
"New Haven School District","=""0930011""","Male",53.3,78.2
"Newington School District","=""0940011""","Female",84.5,91.5
"Newington School District","=""0940011""","Male",67.0,87.9
"New London School District","=""0950011""","Female",44.8,69.2
"New London School District","=""0950011""","Male",37.7,69.0
"New Milford School District","=""0960011""","Female",79.8,95.2
"New Milford School District","=""0960011""","Male",70.9,91.4
"Newtown School District","=""0970011""","Female",84.9,94.7
"Newtown School District","=""0970011""","Male",76.3,93.9
"North Branford School District","=""0990011""","Female",84.9,88.6
"North Branford School District","=""0990011""","Male",74.1,93.7
"North Haven School District","=""1010011""","Female",82.6,96.3
"North Haven School District","=""1010011""","Male",80.2,84.9
"North Stonington School District","=""1020011""","Female",84.8,89.3
"North Stonington School District","=""1020011""","Male",86.2,88.0
"Norwalk School District","=""1030011""","Female",79.5,89.1
"Norwalk School District","=""1030011""","Male",73.1,85.5
"Norwich School District","=""1040011""","Female",*,*
"Norwich School District","=""1040011""","Male",*,*
"Old Saybrook School District","=""1060011""","Female",83.6,97.8
"Old Saybrook School District","=""1060011""","Male",72.1,88.6
"Plainfield School District","=""1090011""","Female",57.9,74.5
"Plainfield School District","=""1090011""","Male",48.2,82.5
"Plainville School District","=""1100011""","Female",84.0,89.9
"Plainville School District","=""1100011""","Male",60.5,87.5
"Plymouth School District","=""1110011""","Female",64.6,83.9
"Plymouth School District","=""1110011""","Male",40.5,76.7
"Portland School District","=""1130011""","Female",88.9,100.0
"Portland School District","=""1130011""","Male",72.2,80.8
"Putnam School District","=""1160011""","Female",78.4,80.0
"Putnam School District","=""1160011""","Male",47.7,71.4
"Ridgefield School District","=""1180011""","Female",86.3,96.2
"Ridgefield School District","=""1180011""","Male",86.1,96.6
"Rocky Hill School District","=""1190011""","Female",83.0,91.8
"Rocky Hill School District","=""1190011""","Male",76.7,89.9
"Seymour School District","=""1240011""","Female",75.5,91.9
"Seymour School District","=""1240011""","Male",68.5,84.1
"Shelton School District","=""1260011""","Female",83.5,89.8
"Shelton School District","=""1260011""","Male",75.1,89.9
"Simsbury School District","=""1280011""","Female",86.1,90.1
"Simsbury School District","=""1280011""","Male",81.8,95.1
"Somers School District","=""1290011""","Female",89.2,100.0
"Somers School District","=""1290011""","Male",93.3,92.9
"Southington School District","=""1310011""","Female",82.9,90.7
"Southington School District","=""1310011""","Male",68.4,90.6
"South Windsor School District","=""1320011""","Female",84.0,94.1
"South Windsor School District","=""1320011""","Male",77.9,91.6
"Stafford School District","=""1340011""","Female",75.6,85.3
"Stafford School District","=""1340011""","Male",62.0,71.0
"Stamford School District","=""1350011""","Female",76.2,91.0
"Stamford School District","=""1350011""","Male",66.0,88.0
"Stonington School District","=""1370011""","Female",72.6,91.3
"Stonington School District","=""1370011""","Male",68.0,85.3
"Stratford School District","=""1380011""","Female",75.9,91.1
"Stratford School District","=""1380011""","Male",70.7,89.4
"Suffield School District","=""1390011""","Female",84.3,87.9
"Suffield School District","=""1390011""","Male",76.2,93.8
"Thomaston School District","=""1400011""","Female",82.5,87.9
"Thomaston School District","=""1400011""","Male",52.6,90.0
"Thompson School District","=""1410011""","Female",78.7,78.4
"Thompson School District","=""1410011""","Male",75.6,83.9
"Tolland School District","=""1420011""","Female",83.0,98.7
"Tolland School District","=""1420011""","Male",82.2,93.2
"Torrington School District","=""1430011""","Female",69.7,91.7
"Torrington School District","=""1430011""","Male",56.8,85.9
"Trumbull School District","=""1440011""","Female",86.1,92.1
"Trumbull School District","=""1440011""","Male",81.1,90.6
"Vernon School District","=""1460011""","Female",78.9,90.5
"Vernon School District","=""1460011""","Male",70.4,85.5
"Wallingford School District","=""1480011""","Female",82.1,91.4
"Wallingford School District","=""1480011""","Male",73.7,90.2
"Waterbury School District","=""1510011""","Female",58.6,85.5
"Waterbury School District","=""1510011""","Male",49.3,73.6
"Waterford School District","=""1520011""","Female",82.5,91.9
"Waterford School District","=""1520011""","Male",69.9,86.1
"Watertown School District","=""1530011""","Female",71.2,91.7
"Watertown School District","=""1530011""","Male",69.4,86.8
"Westbrook School District","=""1540011""","Female",78.6,87.9
"Westbrook School District","=""1540011""","Male",60.9,85.7
"West Hartford School District","=""1550011""","Female",83.9,94.4
"West Hartford School District","=""1550011""","Male",77.8,94.8
"West Haven School District","=""1560011""","Female",66.5,83.9
"West Haven School District","=""1560011""","Male",63.7,80.0
"Weston School District","=""1570011""","Female",94.4,100.0
"Weston School District","=""1570011""","Male",83.9,96.2
"Westport School District","=""1580011""","Female",86.7,96.9
"Westport School District","=""1580011""","Male",86.5,94.2
"Wethersfield School District","=""1590011""","Female",83.7,91.5
"Wethersfield School District","=""1590011""","Male",77.0,92.8
"Wilton School District","=""1610011""","Female",93.5,96.0
"Wilton School District","=""1610011""","Male",86.7,96.5
"Winchester School District","=""1620011""","Female",*,*
"Winchester School District","=""1620011""","Male",*,*
"Windham School District","=""1630011""","Female",64.6,82.4
"Windham School District","=""1630011""","Male",58.3,76.7
"Windsor School District","=""1640011""","Female",81.9,88.2
"Windsor School District","=""1640011""","Male",73.8,83.7
"Windsor Locks School District","=""1650011""","Female",62.3,85.4
"Windsor Locks School District","=""1650011""","Male",58.1,81.4
"Wolcott School District","=""1660011""","Female",71.4,88.0
"Wolcott School District","=""1660011""","Male",63.9,84.1
"Regional School District 01","=""2010012""","Female",72.4,92.9
"Regional School District 01","=""2010012""","Male",60.9,97.6
"Regional School District 04","=""2040012""","Female",81.8,90.5
"Regional School District 04","=""2040012""","Male",54.4,100.0
"Regional School District 05","=""2050012""","Female",91.0,97.4
"Regional School District 05","=""2050012""","Male",82.5,93.4
"Regional School District 06","=""2060012""","Female",74.6,84.1
"Regional School District 06","=""2060012""","Male",58.6,*
"Regional School District 07","=""2070012""","Female",85.7,88.9
"Regional School District 07","=""2070012""","Male",75.0,92.4
"Regional School District 08","=""2080012""","Female",81.4,90.2
"Regional School District 08","=""2080012""","Male",72.1,88.8
"Regional School District 09","=""2090012""","Female",93.0,96.7
"Regional School District 09","=""2090012""","Male",81.7,93.6
"Regional School District 10","=""2100012""","Female",84.1,87.8
"Regional School District 10","=""2100012""","Male",74.1,91.7
"Regional School District 11","=""2110012""","Female",*,*
"Regional School District 11","=""2110012""","Male",*,*
"Regional School District 12","=""2120012""","Female",79.5,80.0
"Regional School District 12","=""2120012""","Male",87.5,85.7
"Regional School District 13","=""2130012""","Female",80.3,85.2
"Regional School District 13","=""2130012""","Male",88.4,90.2
"Regional School District 14","=""2140012""","Female",83.2,91.2
"Regional School District 14","=""2140012""","Male",67.1,98.2
"Regional School District 15","=""2150012""","Female",86.0,97.7
"Regional School District 15","=""2150012""","Male",86.7,91.7
"Regional School District 16","=""2160012""","Female",81.3,94.5
"Regional School District 16","=""2160012""","Male",69.4,88.1
"Regional School District 17","=""2170012""","Female",84.0,88.2
"Regional School District 17","=""2170012""","Male",74.7,94.4
"Regional School District 18","=""2180012""","Female",86.6,93.1
"Regional School District 18","=""2180012""","Male",81.7,95.9
"Regional School District 19","=""2190012""","Female",76.0,87.4
"Regional School District 19","=""2190012""","Male",68.8,97.3
"Capitol Region Education Council","=""2410014""","Female",73.1,89.8
"Capitol Region Education Council","=""2410014""","Male",66.7,87.5
"Education Connection","=""2420014""","Female",*,*
"Area Cooperative Educational Services","=""2440014""","Female",*,*
"Area Cooperative Educational Services","=""2440014""","Male",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",*,*
"Common Ground High School District","=""2680013""","Female",*,*
"Common Ground High School District","=""2680013""","Male",*,*
"The Bridge Academy District","=""2690013""","Female",*,*
"The Bridge Academy District","=""2690013""","Male",*,*
"Explorations District","=""2720013""","Female",*,*
"Explorations District","=""2720013""","Male",*,*
"Stamford Academy District","=""2820013""","Female",*,*
"Stamford Academy District","=""2820013""","Male",*,*
"Unified School District #1","=""3360015""","Male",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Female",*,*
"Unified School District #2","=""3470015""","Female",*,*
"Connecticut Technical High School System","=""9000016""","Female",44.3,76.6
"Connecticut Technical High School System","=""9000016""","Male",30.1,76.1
"Norwich Free Academy District","=""9010022""","Female",74.2,90.5
"Norwich Free Academy District","=""9010022""","Male",73.1,82.7
"The Gilbert School District","=""9020022""","Female",83.3,90.0
"The Gilbert School District","=""9020022""","Male",72.5,86.2
"Woodstock Academy District","=""9030022""","Female",85.1,89.2
"Woodstock Academy District","=""9030022""","Male",65.0,87.5

