"College Entrance and Persistence, Trend"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"",,,"2009-10",,"2010-11",,"2011-12",,"2012-13",,"2013-14",
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",50.0,*,48.3,*,47.6,*,51.6,*,40.7,*
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",66.7,*,66.7,68.2,66.7,85.7,47.2,*,62.8,74.1
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",45.5,*,33.3,*,30.8,*,51.7,*,*,*
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",58.1,*,64.5,90.0,60.6,90.0,73.5,80.0,67.7,85.7
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",49.4,81.7,55.2,84.5,54.3,84.2,57.2,84.0,54.9,81.5
"Darien School District","=""0350011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",36.2,*,44.4,91.7,54.9,78.6,61.1,68.2,44.4,64.3
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,39.1,*
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",45.0,*,*,*,43.5,*,*,*,*,*
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",53.0,81.3,49.7,75.9,58.0,75.2,51.5,70.9,54.4,70.8
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",51.5,88.7,54.9,80.6,61.5,92.9,61.5,78.1,62.9,79.5
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",*,*,51.5,*,63.3,71.0,74.2,91.3,69.7,91.3
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",58.6,*,36.7,*,46.9,*,45.9,*,46.7,71.4
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,48.0,*
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",63.0,73.8,55.0,83.6,56.8,80.6,51.2,74.6,52.0,70.3
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",76.7,84.8,56.8,91.3,64.4,83.9,69.2,84.0,69.4,93.3
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",84.0,71.4,72.7,83.3,75.7,89.3,82.9,82.8,71.4,70.0
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",71.8,96.4,73.5,91.7,68.5,89.2,81.4,85.7,62.5,88.9
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,80.0,*,85.0,*
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",63.7,75.9,66.3,78.5,59.0,93.2,70.4,88.4,76.3,73.3
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",45.5,60.0,53.8,85.7,49.1,85.2,56.9,63.6,62.1,68.3
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",63.4,79.7,69.1,80.0,65.2,78.1,58.2,75.4,50.4,62.9
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",87.5,90.5,78.6,77.3,50.0,*,64.3,*,77.5,87.1
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",60.7,75.0,62.9,85.5,59.3,79.8,60.5,77.1,63.5,80.3
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",55.4,75.9,55.7,75.9,55.0,75.9,58.7,77.2,56.4,71.5
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",59.4,78.9,44.0,86.4,53.4,74.4,45.6,70.7,49.4,70.0
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals",40.0,*,69.6,*,*,*,60.0,*,*,*
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",60.0,62.5,48.1,65.4,51.5,*,66.7,86.1,61.2,82.9
"Lisbon School District","=""0730011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,N/A,N/A,*,*,N/A,N/A
"Litchfield School District","=""0740011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Madison School District","=""0760011""","Eligible for Free or Reduced-Price Meals",*,*,77.3,*,*,*,*,*,75.9,95.5
"Manchester School District","=""0770011""","Eligible for Free or Reduced-Price Meals",55.1,87.8,55.5,78.2,59.0,75.6,57.5,73.2,49.8,73.8
"Meriden School District","=""0800011""","Eligible for Free or Reduced-Price Meals",46.4,69.4,54.4,69.9,43.4,74.6,51.4,74.1,55.8,79.1
"Middletown School District","=""0830011""","Eligible for Free or Reduced-Price Meals",56.5,78.5,59.1,76.9,52.1,76.7,51.8,74.4,54.5,79.5
"Milford School District","=""0840011""","Eligible for Free or Reduced-Price Meals",56.4,83.3,57.6,91.2,57.9,81.8,55.3,79.5,53.6,85.4
"Monroe School District","=""0850011""","Eligible for Free or Reduced-Price Meals",75.9,77.3,67.6,87.0,81.8,96.3,75.0,75.0,72.3,91.2
"Montville School District","=""0860011""","Eligible for Free or Reduced-Price Meals",57.8,61.5,62.5,74.3,41.9,76.9,53.4,83.9,45.6,74.2
"Naugatuck School District","=""0880011""","Eligible for Free or Reduced-Price Meals",41.7,75.0,51.8,85.9,46.1,88.1,63.0,75.9,50.0,88.5
"New Britain School District","=""0890011""","Eligible for Free or Reduced-Price Meals",47.0,73.5,53.3,75.5,54.3,77.1,51.7,71.9,56.9,76.1
"New Fairfield School District","=""0910011""","Eligible for Free or Reduced-Price Meals",*,*,42.9,*,85.0,94.1,61.1,95.5,64.5,85.0
"New Haven School District","=""0930011""","Eligible for Free or Reduced-Price Meals",55.7,71.6,60.5,72.9,63.0,77.6,62.4,77.3,65.0,73.1
"Newington School District","=""0940011""","Eligible for Free or Reduced-Price Meals",68.1,85.1,74.3,78.2,71.0,87.8,59.4,78.3,74.0,83.8
"New London School District","=""0950011""","Eligible for Free or Reduced-Price Meals",52.3,67.5,55.7,78.4,63.9,68.9,56.1,75.2,57.6,73.5
"New Milford School District","=""0960011""","Eligible for Free or Reduced-Price Meals",52.2,70.8,36.2,*,62.1,86.1,56.7,88.2,58.7,86.4
"Newtown School District","=""0970011""","Eligible for Free or Reduced-Price Meals",*,*,71.4,68.0,55.2,*,79.5,80.6,70.3,88.5
"North Branford School District","=""0990011""","Eligible for Free or Reduced-Price Meals",*,*,56.0,*,85.0,*,64.7,81.8,48.6,*
"North Haven School District","=""1010011""","Eligible for Free or Reduced-Price Meals",46.5,90.0,83.7,85.4,64.3,88.9,67.2,79.1,61.7,83.8
"North Stonington School District","=""1020011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Norwalk School District","=""1030011""","Eligible for Free or Reduced-Price Meals",62.5,82.4,61.5,81.6,63.7,81.6,69.4,88.7,67.4,78.1
"Norwich School District","=""1040011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Old Saybrook School District","=""1060011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,81.5,90.9,69.0,80.0
"Oxford School District","=""1080011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Plainfield School District","=""1090011""","Eligible for Free or Reduced-Price Meals",62.3,72.1,37.0,70.0,40.8,54.8,34.2,81.5,55.3,64.3
"Plainville School District","=""1100011""","Eligible for Free or Reduced-Price Meals",58.3,81.0,51.7,83.3,55.0,78.8,60.6,77.5,65.7,75.0
"Plymouth School District","=""1110011""","Eligible for Free or Reduced-Price Meals",34.5,*,40.6,*,38.6,*,41.5,*,56.1,78.3
"Portland School District","=""1130011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,45.0,*,*,*,*,*
"Putnam School District","=""1160011""","Eligible for Free or Reduced-Price Meals",62.9,50.0,33.3,*,48.6,*,42.2,*,28.9,*
"Ridgefield School District","=""1180011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,66.7,*,*,*,82.8,87.5
"Rocky Hill School District","=""1190011""","Eligible for Free or Reduced-Price Meals",64.5,70.0,*,*,66.7,*,81.0,*,52.8,*
"Seymour School District","=""1240011""","Eligible for Free or Reduced-Price Meals",56.1,73.9,74.4,79.3,65.0,84.6,62.5,86.7,58.1,80.0
"Shelton School District","=""1260011""","Eligible for Free or Reduced-Price Meals",48.3,86.2,66.7,88.0,63.0,84.8,69.0,87.0,58.3,89.8
"Simsbury School District","=""1280011""","Eligible for Free or Reduced-Price Meals",63.6,*,67.7,95.2,69.0,70.0,74.3,84.6,70.6,79.2
"Somers School District","=""1290011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Southington School District","=""1310011""","Eligible for Free or Reduced-Price Meals",48.8,81.0,63.8,75.0,58.2,78.3,47.1,69.7,57.7,75.0
"South Windsor School District","=""1320011""","Eligible for Free or Reduced-Price Meals",72.7,*,60.0,92.6,71.4,84.0,67.5,92.6,71.1,81.5
"Stafford School District","=""1340011""","Eligible for Free or Reduced-Price Meals",57.1,*,45.5,*,28.0,*,44.7,*,32.6,*
"Stamford School District","=""1350011""","Eligible for Free or Reduced-Price Meals",62.0,84.0,66.1,81.9,65.8,86.6,65.3,82.8,66.4,82.2
"Stonington School District","=""1370011""","Eligible for Free or Reduced-Price Meals",39.1,*,*,*,43.3,*,72.4,76.2,45.0,*
"Stratford School District","=""1380011""","Eligible for Free or Reduced-Price Meals",56.8,79.6,67.7,81.5,66.1,82.7,62.1,87.2,69.1,81.9
"Suffield School District","=""1390011""","Eligible for Free or Reduced-Price Meals",*,*,72.0,*,71.4,*,68.6,87.5,52.2,*
"Thomaston School District","=""1400011""","Eligible for Free or Reduced-Price Meals",*,*,47.6,*,34.6,*,42.3,*,63.6,*
"Thompson School District","=""1410011""","Eligible for Free or Reduced-Price Meals",47.6,*,*,*,47.8,*,38.5,*,38.2,*
"Tolland School District","=""1420011""","Eligible for Free or Reduced-Price Meals",50.0,*,*,*,*,*,37.0,*,66.7,*
"Torrington School District","=""1430011""","Eligible for Free or Reduced-Price Meals",40.5,84.4,52.7,71.8,40.2,70.7,50.0,86.9,51.2,77.8
"Trumbull School District","=""1440011""","Eligible for Free or Reduced-Price Meals",63.9,91.3,79.7,91.5,78.1,96.0,73.7,87.1,78.9,93.3
"Vernon School District","=""1460011""","Eligible for Free or Reduced-Price Meals",54.4,72.1,50.7,77.1,60.7,77.8,45.3,82.1,55.0,76.4
"Wallingford School District","=""1480011""","Eligible for Free or Reduced-Price Meals",50.9,77.8,47.8,87.9,63.1,75.5,59.4,77.2,54.4,80.4
"Waterbury School District","=""1510011""","Eligible for Free or Reduced-Price Meals",50.4,77.4,53.6,78.0,52.2,75.4,52.4,74.8,54.9,71.4
"Waterford School District","=""1520011""","Eligible for Free or Reduced-Price Meals",58.3,*,75.9,63.6,54.1,75.0,65.3,71.9,68.9,87.1
"Watertown School District","=""1530011""","Eligible for Free or Reduced-Price Meals",51.9,70.4,56.3,74.1,63.2,72.2,56.3,88.9,60.9,92.3
"Westbrook School District","=""1540011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"West Hartford School District","=""1550011""","Eligible for Free or Reduced-Price Meals",69.9,81.7,72.7,82.1,65.1,85.1,73.0,90.4,74.8,81.2
"West Haven School District","=""1560011""","Eligible for Free or Reduced-Price Meals",65.0,75.5,63.1,78.9,58.9,79.6,57.6,79.7,60.2,86.8
"Weston School District","=""1570011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Westport School District","=""1580011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,67.7,90.5
"Wethersfield School District","=""1590011""","Eligible for Free or Reduced-Price Meals",62.3,84.8,74.6,86.4,83.3,86.0,74.5,84.2,67.6,85.4
"Wilton School District","=""1610011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Windham School District","=""1630011""","Eligible for Free or Reduced-Price Meals",48.2,59.3,43.3,69.0,49.1,69.8,50.8,65.1,47.4,67.4
"Windsor School District","=""1640011""","Eligible for Free or Reduced-Price Meals",59.7,81.1,59.0,81.2,57.7,81.7,69.5,87.9,75.5,75.9
"Windsor Locks School District","=""1650011""","Eligible for Free or Reduced-Price Meals",58.5,83.3,40.0,*,61.4,81.5,52.8,92.9,56.9,79.3
"Wolcott School District","=""1660011""","Eligible for Free or Reduced-Price Meals",58.8,80.0,69.1,92.1,71.7,83.7,71.1,84.4,66.7,75.9
"Regional School District 01","=""2010012""","Eligible for Free or Reduced-Price Meals",*,*,54.2,*,37.5,*,34.4,*,40.9,*
"Regional School District 04","=""2040012""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,46.2,*,50.0,*
"Regional School District 05","=""2050012""","Eligible for Free or Reduced-Price Meals",*,*,63.6,*,48.1,*,72.0,*,63.0,*
"Regional School District 06","=""2060012""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,85.7,*
"Regional School District 07","=""2070012""","Eligible for Free or Reduced-Price Meals",*,*,57.1,*,33.3,*,27.3,*,61.5,75.0
"Regional School District 08","=""2080012""","Eligible for Free or Reduced-Price Meals",*,*,*,*,65.0,*,58.1,*,51.4,*
"Regional School District 09","=""2090012""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Regional School District 10","=""2100012""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,52.4,*,*,*
"Regional School District 11","=""2110012""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Regional School District 12","=""2120012""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Regional School District 13","=""2130012""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Regional School District 14","=""2140012""","Eligible for Free or Reduced-Price Meals",*,*,66.7,*,*,*,62.1,*,85.2,87.0
"Regional School District 15","=""2150012""","Eligible for Free or Reduced-Price Meals",*,*,26.9,*,51.9,*,44.0,*,60.6,80.0
"Regional School District 16","=""2160012""","Eligible for Free or Reduced-Price Meals",55.2,*,60.0,*,54.1,90.0,60.5,82.6,40.5,*
"Regional School District 17","=""2170012""","Eligible for Free or Reduced-Price Meals",*,*,*,*,60.0,*,*,*,*,*
"Regional School District 18","=""2180012""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Regional School District 19","=""2190012""","Eligible for Free or Reduced-Price Meals",48.8,85.0,48.5,*,43.8,81.0,70.7,88.7,57.6,84.2
"Capitol Region Education Council","=""2410014""","Eligible for Free or Reduced-Price Meals",60.6,78.9,67.3,72.9,69.4,72.4,64.6,79.6,76.0,77.6
"Education Connection","=""2420014""","Eligible for Free or Reduced-Price Meals",*,*,*,*,N/A,N/A,*,*,*,*
"Cooperative Educational Services","=""2430014""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Area Cooperative Educational Services","=""2440014""","Eligible for Free or Reduced-Price Meals",*,*,11.5,*,*,*,*,*,*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible for Free or Reduced-Price Meals",*,*,50.0,*,42.4,*,39.4,*,40.0,*
"Common Ground High School District","=""2680013""","Eligible for Free or Reduced-Price Meals",68.0,*,48.3,*,62.5,*,58.1,*,56.5,*
"The Bridge Academy District","=""2690013""","Eligible for Free or Reduced-Price Meals",44.8,*,76.9,75.0,69.4,80.0,75.8,60.0,87.5,82.1
"Explorations District","=""2720013""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Amistad Academy District","=""2790013""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,69.6,*
"Stamford Academy District","=""2820013""","Eligible for Free or Reduced-Price Meals",34.8,*,45.5,*,34.5,*,*,*,24.0,*
"Unified School District #1","=""3360015""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Department of Mental Health and Addiction Services","=""3370015""","Eligible for Free or Reduced-Price Meals",*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
"Unified School District #2","=""3470015""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Connecticut Technical High School System","=""9000016""","Eligible for Free or Reduced-Price Meals",43.9,74.6,48.3,73.6,48.9,76.1,48.8,75.1,48.9,73.0
"Norwich Free Academy District","=""9010022""","Eligible for Free or Reduced-Price Meals",62.7,80.2,61.0,79.0,58.6,78.4,63.5,80.0,61.3,80.0
"The Gilbert School District","=""9020022""","Eligible for Free or Reduced-Price Meals",81.8,66.7,76.2,*,69.4,68.0,66.7,75.0,51.3,70.0
"Woodstock Academy District","=""9030022""","Eligible for Free or Reduced-Price Meals",73.9,*,68.6,83.3,65.9,79.3,39.4,*,65.8,92.0
"New Canaan School District","=""0900011""","Eligible for Free or Reduced-Price Meals",N/A,N/A,*,*,*,*,*,*,*,*
"Elm City College Preparatory School District","=""2890013""","Eligible for Free or Reduced-Price Meals",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Winchester School District","=""1620011""","Eligible for Free or Reduced-Price Meals",N/A,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Learn","=""2450014""","Eligible for Free or Reduced-Price Meals",N/A,N/A,N/A,N/A,N/A,N/A,*,*,69.3,72.1

