"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Middletown School District","=""0830011""","Black or African American",62.3,64.6
"Middletown School District","=""0830011""","Hispanic or Latino",*,*
"Middletown School District","=""0830011""","White",74.0,87.3
"Milford School District","=""0840011""","Asian",81.8,*
"Milford School District","=""0840011""","Black or African American",52.4,*
"Milford School District","=""0840011""","Hispanic or Latino",64.0,*
"Milford School District","=""0840011""","White",76.0,91.9
"Monroe School District","=""0850011""","Asian",*,*
"Monroe School District","=""0850011""","Black or African American",*,*
"Monroe School District","=""0850011""","Hispanic or Latino",*,*
"Monroe School District","=""0850011""","White",84.2,93.3
"Montville School District","=""0860011""","American Indian or Alaska Native",*,*
"Montville School District","=""0860011""","Asian",*,*
"Montville School District","=""0860011""","Black or African American",*,*
"Montville School District","=""0860011""","Hispanic or Latino",*,*
"Montville School District","=""0860011""","White",69.5,78.9
"Naugatuck School District","=""0880011""","Asian",*,*
"Naugatuck School District","=""0880011""","Black or African American",*,*
"Naugatuck School District","=""0880011""","Hispanic or Latino",55.6,*
"Naugatuck School District","=""0880011""","White",64.5,80.1
"New Britain School District","=""0890011""","Asian",*,*
"New Britain School District","=""0890011""","Black or African American",55.6,80.0
"New Britain School District","=""0890011""","Hispanic or Latino",47.6,71.4
"New Britain School District","=""0890011""","White",66.5,88.6
"New Canaan School District","=""0900011""","Asian",*,*
"New Canaan School District","=""0900011""","Black or African American",*,*
"New Canaan School District","=""0900011""","Hispanic or Latino",*,*
"New Canaan School District","=""0900011""","White",86.6,95.6
"New Fairfield School District","=""0910011""","Asian",*,*
"New Fairfield School District","=""0910011""","Hispanic or Latino",*,*
"New Fairfield School District","=""0910011""","White",79.7,92.1
"New Haven School District","=""0930011""","American Indian or Alaska Native",*,*
"New Haven School District","=""0930011""","Asian",*,*
"New Haven School District","=""0930011""","Black or African American",60.3,75.9
"New Haven School District","=""0930011""","Hispanic or Latino",51.5,64.5
"New Haven School District","=""0930011""","White",73.3,86.5
"Newington School District","=""0940011""","Asian",75.0,*
"Newington School District","=""0940011""","Black or African American",63.0,*
"Newington School District","=""0940011""","Hispanic or Latino",66.7,70.0
"Newington School District","=""0940011""","White",77.9,90.7
"New London School District","=""0950011""","American Indian or Alaska Native",*,*
"New London School District","=""0950011""","Asian",*,*
"New London School District","=""0950011""","Black or African American",43.9,64.0
"New London School District","=""0950011""","Hispanic or Latino",32.7,*
"New London School District","=""0950011""","White",40.0,*
"New Milford School District","=""0960011""","American Indian or Alaska Native",*,*
"New Milford School District","=""0960011""","Asian",*,*
"New Milford School District","=""0960011""","Black or African American",*,*
"New Milford School District","=""0960011""","Hispanic or Latino",*,*
"New Milford School District","=""0960011""","White",75.9,93.9
"Newtown School District","=""0970011""","Asian",*,*
"Newtown School District","=""0970011""","Black or African American",*,*
"Newtown School District","=""0970011""","Hispanic or Latino",*,*
"Newtown School District","=""0970011""","White",80.8,94.4
"North Branford School District","=""0990011""","Asian",*,*
"North Branford School District","=""0990011""","Black or African American",*,*
"North Branford School District","=""0990011""","Hispanic or Latino",*,*
"North Branford School District","=""0990011""","White",80.9,*
"North Haven School District","=""1010011""","American Indian or Alaska Native",*,*
"North Haven School District","=""1010011""","Asian",*,*
"North Haven School District","=""1010011""","Black or African American",*,*
"North Haven School District","=""1010011""","Hispanic or Latino",*,*
"North Haven School District","=""1010011""","White",82.3,91.6
"North Stonington School District","=""1020011""","Asian",*,*
"North Stonington School District","=""1020011""","Black or African American",*,*
"North Stonington School District","=""1020011""","White",84.5,89.8
"Norwalk School District","=""1030011""","American Indian or Alaska Native",*,*
"Norwalk School District","=""1030011""","Asian",*,*
"Norwalk School District","=""1030011""","Black or African American",73.0,85.8
"Norwalk School District","=""1030011""","Hispanic or Latino",64.2,78.3
"Norwalk School District","=""1030011""","White",81.5,90.9
"Norwich School District","=""1040011""","American Indian or Alaska Native",*,*
"Norwich School District","=""1040011""","Black or African American",*,*
"Norwich School District","=""1040011""","Hispanic or Latino",*,*
"Norwich School District","=""1040011""","White",*,*
"Old Saybrook School District","=""1060011""","American Indian or Alaska Native",*,*
"Old Saybrook School District","=""1060011""","Asian",*,*
"Old Saybrook School District","=""1060011""","Black or African American",*,*
"Old Saybrook School District","=""1060011""","Hispanic or Latino",*,*
"Old Saybrook School District","=""1060011""","White",75.7,93.6
"Plainfield School District","=""1090011""","American Indian or Alaska Native",*,*
"Plainfield School District","=""1090011""","Asian",*,*
"Plainfield School District","=""1090011""","Black or African American",*,*
"Plainfield School District","=""1090011""","Hispanic or Latino",*,*
"Plainfield School District","=""1090011""","White",55.4,77.2
"Plainville School District","=""1100011""","Asian",*,*
"Plainville School District","=""1100011""","Black or African American",*,*
"Plainville School District","=""1100011""","Hispanic or Latino",*,*
"Plainville School District","=""1100011""","White",73.0,88.4
"Plymouth School District","=""1110011""","American Indian or Alaska Native",*,*
"Plymouth School District","=""1110011""","Asian",*,*
"Plymouth School District","=""1110011""","Black or African American",*,*
"Plymouth School District","=""1110011""","Hispanic or Latino",*,*
"Plymouth School District","=""1110011""","White",*,*
"Portland School District","=""1130011""","Asian",*,*
"Portland School District","=""1130011""","Hispanic or Latino",*,*
"Portland School District","=""1130011""","White",82.1,92.2
"Putnam School District","=""1160011""","American Indian or Alaska Native",*,*
"Putnam School District","=""1160011""","Black or African American",*,*
"Putnam School District","=""1160011""","Hispanic or Latino",*,*
"Putnam School District","=""1160011""","White",62.2,75.0
"Ridgefield School District","=""1180011""","Asian",*,*
"Ridgefield School District","=""1180011""","Black or African American",*,*
"Ridgefield School District","=""1180011""","Hispanic or Latino",*,*
"Ridgefield School District","=""1180011""","White",87.3,96.4
"Rocky Hill School District","=""1190011""","Asian",*,*
"Rocky Hill School District","=""1190011""","Black or African American",*,*
"Rocky Hill School District","=""1190011""","Hispanic or Latino",*,*
"Rocky Hill School District","=""1190011""","White",81.9,91.8
"Seymour School District","=""1240011""","Asian",*,*
"Seymour School District","=""1240011""","Black or African American",*,*
"Seymour School District","=""1240011""","Hispanic or Latino",*,*
"Seymour School District","=""1240011""","White",72.9,90.1
"Shelton School District","=""1260011""","Asian",*,*
"Shelton School District","=""1260011""","Black or African American",*,*
"Shelton School District","=""1260011""","Hispanic or Latino",69.6,*
"Shelton School District","=""1260011""","White",79.9,90.7
"Simsbury School District","=""1280011""","Asian",*,*
"Simsbury School District","=""1280011""","Black or African American",*,*
"Simsbury School District","=""1280011""","Hispanic or Latino",*,*
"Simsbury School District","=""1280011""","White",84.7,92.8
"Somers School District","=""1290011""","Asian",*,*
"Somers School District","=""1290011""","Black or African American",*,*
"Somers School District","=""1290011""","Hispanic or Latino",*,*
"Somers School District","=""1290011""","White",90.8,96.3
"Southington School District","=""1310011""","Asian",*,*
"Southington School District","=""1310011""","Black or African American",*,*
"Southington School District","=""1310011""","Hispanic or Latino",*,*
"Southington School District","=""1310011""","White",76.3,90.2
"South Windsor School District","=""1320011""","American Indian or Alaska Native",*,*
"South Windsor School District","=""1320011""","Asian",*,*
"South Windsor School District","=""1320011""","Black or African American",*,*
"South Windsor School District","=""1320011""","Hispanic or Latino",*,*
"South Windsor School District","=""1320011""","White",83.4,92.7
"Stafford School District","=""1340011""","Asian",*,*
"Stafford School District","=""1340011""","Black or African American",*,*
"Stafford School District","=""1340011""","Hispanic or Latino",*,*
"Stafford School District","=""1340011""","White",69.7,79.0
"Stamford School District","=""1350011""","Asian",68.9,93.5
"Stamford School District","=""1350011""","Black or African American",67.7,86.4
"Stamford School District","=""1350011""","Hispanic or Latino",60.0,85.0
"Stamford School District","=""1350011""","White",78.1,92.4
"Stonington School District","=""1370011""","American Indian or Alaska Native",*,*
"Stonington School District","=""1370011""","Asian",*,*
"Stonington School District","=""1370011""","Black or African American",*,*
"Stonington School District","=""1370011""","Hispanic or Latino",*,*
"Stonington School District","=""1370011""","White",71.4,88.8
"Stratford School District","=""1380011""","American Indian or Alaska Native",*,*
"Stratford School District","=""1380011""","Asian",90.0,*
"Stratford School District","=""1380011""","Black or African American",72.4,91.3
"Stratford School District","=""1380011""","Hispanic or Latino",69.9,77.6
"Stratford School District","=""1380011""","White",73.8,92.5
"Suffield School District","=""1390011""","Black or African American",*,*
"Suffield School District","=""1390011""","Hispanic or Latino",*,*
"Suffield School District","=""1390011""","White",80.0,90.5
"Thomaston School District","=""1400011""","Asian",*,*
"Thomaston School District","=""1400011""","White",*,*
"Thompson School District","=""1410011""","American Indian or Alaska Native",*,*
"Thompson School District","=""1410011""","Hispanic or Latino",*,*
"Thompson School District","=""1410011""","White",76.7,80.3
"Tolland School District","=""1420011""","Asian",*,*
"Tolland School District","=""1420011""","Hispanic or Latino",*,*
"Tolland School District","=""1420011""","White",81.9,95.9
"Torrington School District","=""1430011""","American Indian or Alaska Native",*,*
"Torrington School District","=""1430011""","Asian",*,*
"Torrington School District","=""1430011""","Black or African American",*,*
"Torrington School District","=""1430011""","Hispanic or Latino",51.4,*
"Torrington School District","=""1430011""","White",65.0,89.8
"Trumbull School District","=""1440011""","Asian",83.3,90.0
"Trumbull School District","=""1440011""","Black or African American",76.0,*
"Trumbull School District","=""1440011""","Hispanic or Latino",80.0,87.5
"Trumbull School District","=""1440011""","White",84.3,91.8
"Vernon School District","=""1460011""","American Indian or Alaska Native",*,*
"Vernon School District","=""1460011""","Asian",*,*
"Vernon School District","=""1460011""","Black or African American",*,*
"Vernon School District","=""1460011""","Hispanic or Latino",*,*
"Vernon School District","=""1460011""","White",75.2,89.7
"Wallingford School District","=""1480011""","American Indian or Alaska Native",*,*
"Wallingford School District","=""1480011""","Asian",*,*
"Wallingford School District","=""1480011""","Black or African American",*,*
"Wallingford School District","=""1480011""","Hispanic or Latino",57.1,*
"Wallingford School District","=""1480011""","White",78.5,91.1
"Waterbury School District","=""1510011""","American Indian or Alaska Native",*,*
"Waterbury School District","=""1510011""","Asian",*,*
"Waterbury School District","=""1510011""","Black or African American",57.1,72.3
"Waterbury School District","=""1510011""","Hispanic or Latino",45.6,76.9
"Waterbury School District","=""1510011""","White",61.1,90.8
"Waterford School District","=""1520011""","American Indian or Alaska Native",*,*
"Waterford School District","=""1520011""","Asian",*,*
"Waterford School District","=""1520011""","Black or African American",*,*
"Waterford School District","=""1520011""","Hispanic or Latino",*,*
"Waterford School District","=""1520011""","White",75.4,88.4
"Watertown School District","=""1530011""","American Indian or Alaska Native",*,*
"Watertown School District","=""1530011""","Asian",*,*
"Watertown School District","=""1530011""","Black or African American",*,*
"Watertown School District","=""1530011""","Hispanic or Latino",*,*
"Watertown School District","=""1530011""","White",70.9,91.0
"Westbrook School District","=""1540011""","Asian",*,*
"Westbrook School District","=""1540011""","Black or African American",*,*
"Westbrook School District","=""1540011""","Hispanic or Latino",*,*
"Westbrook School District","=""1540011""","White",68.3,85.7
"West Hartford School District","=""1550011""","American Indian or Alaska Native",*,*
"West Hartford School District","=""1550011""","Asian",*,100.0
"West Hartford School District","=""1550011""","Black or African American",81.8,90.5
"West Hartford School District","=""1550011""","Hispanic or Latino",62.4,*
"West Hartford School District","=""1550011""","White",84.4,96.1
"West Haven School District","=""1560011""","American Indian or Alaska Native",*,*
"West Haven School District","=""1560011""","Asian",*,*
"West Haven School District","=""1560011""","Black or African American",57.3,89.4
"West Haven School District","=""1560011""","Hispanic or Latino",59.2,55.2
"West Haven School District","=""1560011""","White",69.7,85.5
"Weston School District","=""1570011""","Asian",*,*
"Weston School District","=""1570011""","Black or African American",*,*
"Weston School District","=""1570011""","Hispanic or Latino",*,*
"Weston School District","=""1570011""","White",88.8,98.1
"Westport School District","=""1580011""","Asian",*,*
"Westport School District","=""1580011""","Black or African American",*,*
"Westport School District","=""1580011""","Hispanic or Latino",*,*
"Westport School District","=""1580011""","White",87.1,96.0
"Wethersfield School District","=""1590011""","American Indian or Alaska Native",*,*
"Wethersfield School District","=""1590011""","Asian",*,*
"Wethersfield School District","=""1590011""","Black or African American",*,*
"Wethersfield School District","=""1590011""","Hispanic or Latino",85.7,83.3
"Wethersfield School District","=""1590011""","White",80.9,93.4
"Wilton School District","=""1610011""","Asian",*,*
"Wilton School District","=""1610011""","Black or African American",*,*
"Wilton School District","=""1610011""","Hispanic or Latino",*,*
"Wilton School District","=""1610011""","White",88.8,95.9
"Winchester School District","=""1620011""","White",*,*
"Windham School District","=""1630011""","American Indian or Alaska Native",*,*
"Windham School District","=""1630011""","Asian",*,*
"Windham School District","=""1630011""","Black or African American",*,*
"Windham School District","=""1630011""","Hispanic or Latino",52.1,60.5
"Windham School District","=""1630011""","White",66.7,90.3
"Windsor School District","=""1640011""","Asian",*,*
"Windsor School District","=""1640011""","Black or African American",74.5,84.3
"Windsor School District","=""1640011""","Hispanic or Latino",82.9,75.9
"Windsor School District","=""1640011""","White",78.9,88.4
"Windsor Locks School District","=""1650011""","Asian",*,*
"Windsor Locks School District","=""1650011""","Black or African American",*,*
"Windsor Locks School District","=""1650011""","Hispanic or Latino",*,*
"Windsor Locks School District","=""1650011""","White",61.3,84.2
"Wolcott School District","=""1660011""","American Indian or Alaska Native",*,*
"Wolcott School District","=""1660011""","Asian",*,*
"Wolcott School District","=""1660011""","Black or African American",*,*
"Wolcott School District","=""1660011""","Hispanic or Latino",*,*
"Wolcott School District","=""1660011""","White",68.3,85.3
"Regional School District 01","=""2010012""","Black or African American",*,*
"Regional School District 01","=""2010012""","White",67.7,95.2
"Regional School District 04","=""2040012""","Hispanic or Latino",*,*
"Regional School District 04","=""2040012""","White",*,*
"Regional School District 05","=""2050012""","American Indian or Alaska Native",*,*
"Regional School District 05","=""2050012""","Asian",80.0,100.0
"Regional School District 05","=""2050012""","Black or African American",*,*
"Regional School District 05","=""2050012""","Hispanic or Latino",*,*
"Regional School District 05","=""2050012""","White",88.1,96.5
"Regional School District 06","=""2060012""","Hispanic or Latino",*,*
"Regional School District 06","=""2060012""","White",*,*
"Regional School District 07","=""2070012""","Asian",*,*
"Regional School District 07","=""2070012""","Hispanic or Latino",*,*
"Regional School District 07","=""2070012""","White",80.0,*
"Regional School District 08","=""2080012""","American Indian or Alaska Native",*,*
"Regional School District 08","=""2080012""","Asian",*,*
"Regional School District 08","=""2080012""","Black or African American",*,*
"Regional School District 08","=""2080012""","Hispanic or Latino",*,*
"Regional School District 08","=""2080012""","White",76.6,89.2
"Regional School District 09","=""2090012""","Asian",*,*
"Regional School District 09","=""2090012""","Black or African American",*,*
"Regional School District 09","=""2090012""","Hispanic or Latino",*,*
"Regional School District 09","=""2090012""","White",87.7,95.0
"Regional School District 10","=""2100012""","Black or African American",*,*
"Regional School District 10","=""2100012""","Hispanic or Latino",*,*
"Regional School District 10","=""2100012""","White",80.2,89.6
"Regional School District 11","=""2110012""","American Indian or Alaska Native",*,*
"Regional School District 11","=""2110012""","Black or African American",*,*
"Regional School District 11","=""2110012""","Hispanic or Latino",*,*
"Regional School District 11","=""2110012""","White",53.1,*
"Regional School District 12","=""2120012""","Black or African American",*,*
"Regional School District 12","=""2120012""","Hispanic or Latino",*,*
"Regional School District 12","=""2120012""","White",83.3,83.8
"Regional School District 13","=""2130012""","Asian",*,*
"Regional School District 13","=""2130012""","Hispanic or Latino",*,*
"Regional School District 13","=""2130012""","White",83.9,87.5
"Regional School District 14","=""2140012""","Asian",*,*
"Regional School District 14","=""2140012""","Black or African American",*,*
"Regional School District 14","=""2140012""","Hispanic or Latino",*,*
"Regional School District 14","=""2140012""","White",76.8,93.2
"Regional School District 15","=""2150012""","Asian",*,*
"Regional School District 15","=""2150012""","Black or African American",*,*
"Regional School District 15","=""2150012""","Hispanic or Latino",*,*
"Regional School District 15","=""2150012""","White",86.0,94.0
"Regional School District 16","=""2160012""","Black or African American",*,*
"Regional School District 16","=""2160012""","Hispanic or Latino",*,*
"Regional School District 16","=""2160012""","White",76.2,91.7
"Regional School District 17","=""2170012""","Asian",*,*
"Regional School District 17","=""2170012""","Black or African American",*,*
"Regional School District 17","=""2170012""","Hispanic or Latino",*,*
"Regional School District 17","=""2170012""","White",79.8,91.0
"Regional School District 18","=""2180012""","Asian",*,*
"Regional School District 18","=""2180012""","Black or African American",*,*
"Regional School District 18","=""2180012""","Hispanic or Latino",*,*
"Regional School District 18","=""2180012""","White",83.6,97.1
"Regional School District 19","=""2190012""","American Indian or Alaska Native",*,*
"Regional School District 19","=""2190012""","Asian",*,*
"Regional School District 19","=""2190012""","Black or African American",*,*
"Regional School District 19","=""2190012""","Hispanic or Latino",*,*
"Regional School District 19","=""2190012""","White",73.7,92.3
"Capitol Region Education Council","=""2410014""","American Indian or Alaska Native",*,*
"Capitol Region Education Council","=""2410014""","Asian",*,*
"Capitol Region Education Council","=""2410014""","Black or African American",84.2,93.8
"Capitol Region Education Council","=""2410014""","Hispanic or Latino",*,*
"Capitol Region Education Council","=""2410014""","White",55.3,90.5
"Education Connection","=""2420014""","White",*,*
"Area Cooperative Educational Services","=""2440014""","Black or African American",*,*
"Area Cooperative Educational Services","=""2440014""","Hispanic or Latino",*,*
"Area Cooperative Educational Services","=""2440014""","White",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","White",*,*
