"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"East Hampton School District","=""0420011""","Black or African American",*,*
"East Hampton School District","=""0420011""","Hispanic or Latino",*,*
"East Hampton School District","=""0420011""","White",77.9,86.8
"East Hartford School District","=""0430011""","American Indian or Alaska Native",*,*
"East Hartford School District","=""0430011""","Asian",*,90.9
"East Hartford School District","=""0430011""","Black or African American",55.0,82.9
"East Hartford School District","=""0430011""","Hispanic or Latino",55.4,83.9
"East Hartford School District","=""0430011""","White",65.2,83.7
"East Haven School District","=""0440011""","Asian",*,*
"East Haven School District","=""0440011""","Black or African American",*,*
"East Haven School District","=""0440011""","Hispanic or Latino",66.7,*
"East Haven School District","=""0440011""","White",59.7,90.8
"East Lyme School District","=""0450011""","American Indian or Alaska Native",*,*
"East Lyme School District","=""0450011""","Asian",85.7,*
"East Lyme School District","=""0450011""","Black or African American",*,*
"East Lyme School District","=""0450011""","Hispanic or Latino",*,*
"East Lyme School District","=""0450011""","White",85.8,91.3
"East Windsor School District","=""0470011""","American Indian or Alaska Native",*,*
"East Windsor School District","=""0470011""","Asian",*,*
"East Windsor School District","=""0470011""","Black or African American",*,*
"East Windsor School District","=""0470011""","Hispanic or Latino",*,*
"East Windsor School District","=""0470011""","White",61.3,82.6
"Ellington School District","=""0480011""","American Indian or Alaska Native",*,*
"Ellington School District","=""0480011""","Asian",*,*
"Ellington School District","=""0480011""","Black or African American",*,*
"Ellington School District","=""0480011""","Hispanic or Latino",*,*
"Ellington School District","=""0480011""","White",82.9,89.7
"Enfield School District","=""0490011""","American Indian or Alaska Native",*,*
"Enfield School District","=""0490011""","Asian",*,*
"Enfield School District","=""0490011""","Black or African American",72.4,81.0
"Enfield School District","=""0490011""","Hispanic or Latino",73.9,*
"Enfield School District","=""0490011""","White",77.9,85.3
"Fairfield School District","=""0510011""","Asian",87.0,95.0
"Fairfield School District","=""0510011""","Black or African American",*,*
"Fairfield School District","=""0510011""","Hispanic or Latino",78.9,76.7
"Fairfield School District","=""0510011""","White",84.2,94.3
"Farmington School District","=""0520011""","Asian",80.6,96.0
"Farmington School District","=""0520011""","Black or African American",*,*
"Farmington School District","=""0520011""","Hispanic or Latino",*,*
"Farmington School District","=""0520011""","White",82.2,94.1
"Glastonbury School District","=""0540011""","American Indian or Alaska Native",*,*
"Glastonbury School District","=""0540011""","Asian",96.0,100.0
"Glastonbury School District","=""0540011""","Black or African American",*,*
"Glastonbury School District","=""0540011""","Hispanic or Latino",69.2,*
"Glastonbury School District","=""0540011""","White",84.5,95.8
"Granby School District","=""0560011""","Asian",*,*
"Granby School District","=""0560011""","Black or African American",*,*
"Granby School District","=""0560011""","Hispanic or Latino",*,*
"Granby School District","=""0560011""","White",78.6,90.9
"Greenwich School District","=""0570011""","Asian",73.1,94.7
"Greenwich School District","=""0570011""","Black or African American",*,*
"Greenwich School District","=""0570011""","Hispanic or Latino",62.4,84.9
"Greenwich School District","=""0570011""","White",79.4,93.7
"Griswold School District","=""0580011""","American Indian or Alaska Native",*,*
"Griswold School District","=""0580011""","Asian",*,*
"Griswold School District","=""0580011""","Black or African American",*,*
"Griswold School District","=""0580011""","Hispanic or Latino",*,*
"Griswold School District","=""0580011""","White",64.8,81.6
"Groton School District","=""0590011""","American Indian or Alaska Native",*,*
"Groton School District","=""0590011""","Asian",75.9,86.4
"Groton School District","=""0590011""","Black or African American",73.3,75.8
"Groton School District","=""0590011""","Hispanic or Latino",*,*
"Groton School District","=""0590011""","White",75.3,89.9
"Guilford School District","=""0600011""","Asian",*,*
"Guilford School District","=""0600011""","Black or African American",*,*
"Guilford School District","=""0600011""","Hispanic or Latino",*,*
"Guilford School District","=""0600011""","White",86.9,94.2
"Hamden School District","=""0620011""","Asian",*,*
"Hamden School District","=""0620011""","Black or African American",62.0,80.6
"Hamden School District","=""0620011""","Hispanic or Latino",58.9,72.7
"Hamden School District","=""0620011""","White",80.1,90.7
"Hartford School District","=""0640011""","American Indian or Alaska Native",*,*
"Hartford School District","=""0640011""","Asian",*,*
"Hartford School District","=""0640011""","Black or African American",59.8,80.0
"Hartford School District","=""0640011""","Hispanic or Latino",50.2,69.0
"Hartford School District","=""0640011""","White",74.0,84.2
"Killingly School District","=""0690011""","American Indian or Alaska Native",*,*
"Killingly School District","=""0690011""","Black or African American",*,*
"Killingly School District","=""0690011""","Hispanic or Latino",*,*
"Killingly School District","=""0690011""","White",68.2,84.2
"Lebanon School District","=""0710011""","Asian",*,*
"Lebanon School District","=""0710011""","Black or African American",*,*
"Lebanon School District","=""0710011""","Hispanic or Latino",*,*
"Lebanon School District","=""0710011""","White",*,*
"Ledyard School District","=""0720011""","American Indian or Alaska Native",*,*
"Ledyard School District","=""0720011""","Asian",*,*
"Ledyard School District","=""0720011""","Black or African American",*,*
"Ledyard School District","=""0720011""","Hispanic or Latino",72.7,*
"Ledyard School District","=""0720011""","White",77.5,87.9
"Lisbon School District","=""0730011""","White",*,*
"Litchfield School District","=""0740011""","Asian",*,*
"Litchfield School District","=""0740011""","Hispanic or Latino",*,*
"Litchfield School District","=""0740011""","White",78.6,85.2
"Madison School District","=""0760011""","Asian",*,*
"Madison School District","=""0760011""","Black or African American",*,*
"Madison School District","=""0760011""","Hispanic or Latino",*,*
"Madison School District","=""0760011""","White",84.3,93.3
"Manchester School District","=""0770011""","Asian",81.5,90.9
"Manchester School District","=""0770011""","Black or African American",61.3,89.8
"Manchester School District","=""0770011""","Hispanic or Latino",58.3,88.1
"Manchester School District","=""0770011""","White",73.6,88.8
"Meriden School District","=""0800011""","American Indian or Alaska Native",*,*
"Meriden School District","=""0800011""","Asian",*,*
"Meriden School District","=""0800011""","Black or African American",60.4,65.5
"Meriden School District","=""0800011""","Hispanic or Latino",43.6,66.2
"Meriden School District","=""0800011""","White",68.1,87.8
"Middletown School District","=""0830011""","Asian",*,*
"Middletown School District","=""0830011""","Black or African American",61.6,80.0
"Middletown School District","=""0830011""","Hispanic or Latino",50.0,*
"Middletown School District","=""0830011""","White",72.4,88.6
"Milford School District","=""0840011""","American Indian or Alaska Native",*,*
"Milford School District","=""0840011""","Asian",74.1,100.0
"Milford School District","=""0840011""","Black or African American",*,*
"Milford School District","=""0840011""","Hispanic or Latino",77.1,81.5
"Milford School District","=""0840011""","White",73.2,89.8
"Monroe School District","=""0850011""","American Indian or Alaska Native",*,*
"Monroe School District","=""0850011""","Asian",*,*
"Monroe School District","=""0850011""","Black or African American",*,*
"Monroe School District","=""0850011""","Hispanic or Latino",*,*
"Monroe School District","=""0850011""","White",87.1,92.2
"Montville School District","=""0860011""","American Indian or Alaska Native",*,*
"Montville School District","=""0860011""","Asian",*,*
"Montville School District","=""0860011""","Black or African American",*,*
"Montville School District","=""0860011""","Hispanic or Latino",*,*
"Montville School District","=""0860011""","White",71.8,84.4
"Naugatuck School District","=""0880011""","Asian",*,*
"Naugatuck School District","=""0880011""","Black or African American",*,*
"Naugatuck School District","=""0880011""","Hispanic or Latino",61.8,85.7
"Naugatuck School District","=""0880011""","White",59.0,85.7
"New Britain School District","=""0890011""","Asian",*,*
"New Britain School District","=""0890011""","Black or African American",63.0,71.4
"New Britain School District","=""0890011""","Hispanic or Latino",43.6,70.8
"New Britain School District","=""0890011""","White",63.1,88.1
"New Canaan School District","=""0900011""","Asian",*,*
"New Canaan School District","=""0900011""","Black or African American",*,*
"New Canaan School District","=""0900011""","Hispanic or Latino",*,*
"New Canaan School District","=""0900011""","White",81.0,94.1
"New Fairfield School District","=""0910011""","Asian",*,*
"New Fairfield School District","=""0910011""","Black or African American",*,*
"New Fairfield School District","=""0910011""","Hispanic or Latino",*,*
"New Fairfield School District","=""0910011""","White",82.1,88.6
"New Haven School District","=""0930011""","American Indian or Alaska Native",*,*
"New Haven School District","=""0930011""","Asian",*,*
"New Haven School District","=""0930011""","Black or African American",59.1,73.3
"New Haven School District","=""0930011""","Hispanic or Latino",50.4,71.4
"New Haven School District","=""0930011""","White",68.9,82.0
"Newington School District","=""0940011""","Asian",93.8,100.0
"Newington School District","=""0940011""","Black or African American",75.0,*
"Newington School District","=""0940011""","Hispanic or Latino",69.0,85.0
"Newington School District","=""0940011""","White",78.0,90.1
"New London School District","=""0950011""","American Indian or Alaska Native",*,*
"New London School District","=""0950011""","Asian",*,*
"New London School District","=""0950011""","Black or African American",54.5,73.3
"New London School District","=""0950011""","Hispanic or Latino",48.1,61.5
"New London School District","=""0950011""","White",51.5,*
"New Milford School District","=""0960011""","Asian",*,*
"New Milford School District","=""0960011""","Black or African American",*,*
"New Milford School District","=""0960011""","Hispanic or Latino",65.4,*
"New Milford School District","=""0960011""","White",78.6,88.6
"Newtown School District","=""0970011""","American Indian or Alaska Native",*,*
"Newtown School District","=""0970011""","Asian",*,*
"Newtown School District","=""0970011""","Black or African American",*,*
"Newtown School District","=""0970011""","Hispanic or Latino",*,*
"Newtown School District","=""0970011""","White",83.5,92.9
"North Branford School District","=""0990011""","American Indian or Alaska Native",*,*
"North Branford School District","=""0990011""","Asian",*,*
"North Branford School District","=""0990011""","Black or African American",*,*
"North Branford School District","=""0990011""","Hispanic or Latino",*,*
"North Branford School District","=""0990011""","White",82.0,93.9
"North Haven School District","=""1010011""","Asian",91.3,100.0
"North Haven School District","=""1010011""","Black or African American",*,*
"North Haven School District","=""1010011""","Hispanic or Latino",*,*
"North Haven School District","=""1010011""","White",83.5,90.1
"North Stonington School District","=""1020011""","American Indian or Alaska Native",*,*
"North Stonington School District","=""1020011""","White",*,*
"Norwalk School District","=""1030011""","American Indian or Alaska Native",*,*
"Norwalk School District","=""1030011""","Asian",*,*
"Norwalk School District","=""1030011""","Black or African American",66.5,83.2
"Norwalk School District","=""1030011""","Hispanic or Latino",63.0,89.1
"Norwalk School District","=""1030011""","White",80.8,88.4
"Norwich School District","=""1040011""","Black or African American",*,*
"Norwich School District","=""1040011""","White",*,*
"Old Saybrook School District","=""1060011""","Asian",*,*
"Old Saybrook School District","=""1060011""","Black or African American",*,*
"Old Saybrook School District","=""1060011""","Hispanic or Latino",*,*
"Old Saybrook School District","=""1060011""","White",85.1,93.8
"Oxford School District","=""1080011""","American Indian or Alaska Native",*,*
"Oxford School District","=""1080011""","Asian",*,*
"Oxford School District","=""1080011""","Black or African American",*,*
"Oxford School District","=""1080011""","Hispanic or Latino",*,*
"Oxford School District","=""1080011""","White",72.8,93.3
"Plainfield School District","=""1090011""","Asian",*,*
"Plainfield School District","=""1090011""","Hispanic or Latino",*,*
"Plainfield School District","=""1090011""","White",62.0,79.8
"Plainville School District","=""1100011""","American Indian or Alaska Native",*,*
"Plainville School District","=""1100011""","Asian",*,*
"Plainville School District","=""1100011""","Black or African American",*,*
"Plainville School District","=""1100011""","Hispanic or Latino",*,*
"Plainville School District","=""1100011""","White",71.5,87.3
"Plymouth School District","=""1110011""","Asian",*,*
"Plymouth School District","=""1110011""","Black or African American",*,*
"Plymouth School District","=""1110011""","Hispanic or Latino",*,*
"Plymouth School District","=""1110011""","White",64.4,88.2
"Portland School District","=""1130011""","Black or African American",*,*
"Portland School District","=""1130011""","Hispanic or Latino",*,*
"Portland School District","=""1130011""","White",82.1,89.1
"Putnam School District","=""1160011""","Asian",*,*
"Putnam School District","=""1160011""","Black or African American",*,*
"Putnam School District","=""1160011""","Hispanic or Latino",*,*
"Putnam School District","=""1160011""","White",65.3,68.1
"Ridgefield School District","=""1180011""","Asian",*,*
"Ridgefield School District","=""1180011""","Black or African American",*,*
"Ridgefield School District","=""1180011""","Hispanic or Latino",*,*
"Ridgefield School District","=""1180011""","White",88.2,96.3
"Rocky Hill School District","=""1190011""","Asian",*,*
"Rocky Hill School District","=""1190011""","Black or African American",*,*
"Rocky Hill School District","=""1190011""","Hispanic or Latino",*,*
"Rocky Hill School District","=""1190011""","White",82.5,89.0
"Seymour School District","=""1240011""","American Indian or Alaska Native",*,*
"Seymour School District","=""1240011""","Asian",*,*
"Seymour School District","=""1240011""","Black or African American",*,*
"Seymour School District","=""1240011""","Hispanic or Latino",69.6,*
"Seymour School District","=""1240011""","White",78.9,90.5
"Shelton School District","=""1260011""","American Indian or Alaska Native",*,*
"Shelton School District","=""1260011""","Asian",*,*
"Shelton School District","=""1260011""","Black or African American",*,*
"Shelton School District","=""1260011""","Hispanic or Latino",*,*
"Shelton School District","=""1260011""","White",78.8,89.9
"Simsbury School District","=""1280011""","American Indian or Alaska Native",*,*
"Simsbury School District","=""1280011""","Asian",*,*
"Simsbury School District","=""1280011""","Black or African American",*,*
"Simsbury School District","=""1280011""","Hispanic or Latino",*,*
"Simsbury School District","=""1280011""","White",85.5,93.8
"Somers School District","=""1290011""","Black or African American",*,*
"Somers School District","=""1290011""","Hispanic or Latino",*,*
"Somers School District","=""1290011""","White",81.7,96.1
"Southington School District","=""1310011""","Asian",*,*
"Southington School District","=""1310011""","Black or African American",*,*
"Southington School District","=""1310011""","Hispanic or Latino",52.4,*
"Southington School District","=""1310011""","White",81.0,89.2
"South Windsor School District","=""1320011""","Asian",88.5,100.0
"South Windsor School District","=""1320011""","Black or African American",90.9,95.0
"South Windsor School District","=""1320011""","Hispanic or Latino",*,*
"South Windsor School District","=""1320011""","White",85.4,92.8
"Stafford School District","=""1340011""","Asian",*,*
"Stafford School District","=""1340011""","Black or African American",*,*
"Stafford School District","=""1340011""","Hispanic or Latino",*,*
"Stafford School District","=""1340011""","White",73.6,89.1
"Stamford School District","=""1350011""","Asian",76.6,93.9
"Stamford School District","=""1350011""","Black or African American",69.1,82.8
"Stamford School District","=""1350011""","Hispanic or Latino",55.8,84.9
"Stamford School District","=""1350011""","White",78.4,92.1
"Stonington School District","=""1370011""","American Indian or Alaska Native",*,*
"Stonington School District","=""1370011""","Asian",*,*
"Stonington School District","=""1370011""","Black or African American",*,*
"Stonington School District","=""1370011""","Hispanic or Latino",*,*
"Stonington School District","=""1370011""","White",75.0,90.8
"Stratford School District","=""1380011""","Asian",81.0,*
"Stratford School District","=""1380011""","Black or African American",60.9,85.7
"Stratford School District","=""1380011""","Hispanic or Latino",54.7,80.5
"Stratford School District","=""1380011""","White",75.9,88.3
"Suffield School District","=""1390011""","Asian",*,*
"Suffield School District","=""1390011""","Black or African American",*,*
"Suffield School District","=""1390011""","Hispanic or Latino",*,*
"Suffield School District","=""1390011""","White",83.5,93.6
"Thomaston School District","=""1400011""","Asian",*,*
"Thomaston School District","=""1400011""","Black or African American",*,*
"Thomaston School District","=""1400011""","Hispanic or Latino",*,*
"Thomaston School District","=""1400011""","White",68.5,90.5
"Thompson School District","=""1410011""","Asian",*,*
"Thompson School District","=""1410011""","Black or African American",*,*
"Thompson School District","=""1410011""","Hispanic or Latino",*,*
"Thompson School District","=""1410011""","White",*,*
"Tolland School District","=""1420011""","American Indian or Alaska Native",*,*
"Tolland School District","=""1420011""","Asian",*,*
"Tolland School District","=""1420011""","Black or African American",*,*
"Tolland School District","=""1420011""","Hispanic or Latino",*,*
"Tolland School District","=""1420011""","White",79.2,92.3
"Torrington School District","=""1430011""","Asian",*,*
"Torrington School District","=""1430011""","Black or African American",*,*
"Torrington School District","=""1430011""","Hispanic or Latino",50.0,*
"Torrington School District","=""1430011""","White",66.1,89.9
"Trumbull School District","=""1440011""","Asian",*,*
"Trumbull School District","=""1440011""","Black or African American",83.3,95.0
"Trumbull School District","=""1440011""","Hispanic or Latino",69.2,*
"Trumbull School District","=""1440011""","White",85.7,93.5
"Vernon School District","=""1460011""","Asian",90.0,*
"Vernon School District","=""1460011""","Black or African American",55.6,*
"Vernon School District","=""1460011""","Hispanic or Latino",*,*
"Vernon School District","=""1460011""","White",71.5,85.6
"Wallingford School District","=""1480011""","American Indian or Alaska Native",*,*
"Wallingford School District","=""1480011""","Asian",*,*
"Wallingford School District","=""1480011""","Black or African American",*,*
"Wallingford School District","=""1480011""","Hispanic or Latino",52.2,*
"Wallingford School District","=""1480011""","White",75.1,89.7
"Waterbury School District","=""1510011""","American Indian or Alaska Native",*,*
"Waterbury School District","=""1510011""","Asian",*,*
"Waterbury School District","=""1510011""","Black or African American",48.4,74.2
"Waterbury School District","=""1510011""","Hispanic or Latino",49.1,73.1
"Waterbury School District","=""1510011""","White",65.1,87.7
"Waterford School District","=""1520011""","Asian",*,*
"Waterford School District","=""1520011""","Black or African American",*,*
"Waterford School District","=""1520011""","Hispanic or Latino",*,*
"Waterford School District","=""1520011""","White",77.1,85.5
"Watertown School District","=""1530011""","Asian",*,*
"Watertown School District","=""1530011""","Black or African American",*,*
"Watertown School District","=""1530011""","Hispanic or Latino",*,*
"Watertown School District","=""1530011""","White",72.1,90.3
"Westbrook School District","=""1540011""","Asian",*,*
"Westbrook School District","=""1540011""","Black or African American",*,*
"Westbrook School District","=""1540011""","Hispanic or Latino",*,*
"Westbrook School District","=""1540011""","White",74.2,93.9
"West Hartford School District","=""1550011""","American Indian or Alaska Native",*,*
"West Hartford School District","=""1550011""","Asian",88.2,97.0
"West Hartford School District","=""1550011""","Black or African American",83.3,85.7
"West Hartford School District","=""1550011""","Hispanic or Latino",*,*
"West Hartford School District","=""1550011""","White",90.1,95.0
"West Haven School District","=""1560011""","American Indian or Alaska Native",*,*
"West Haven School District","=""1560011""","Asian",*,*
"West Haven School District","=""1560011""","Black or African American",73.4,82.5
"West Haven School District","=""1560011""","Hispanic or Latino",66.2,58.1
"West Haven School District","=""1560011""","White",68.3,92.9
"Weston School District","=""1570011""","Asian",*,*
"Weston School District","=""1570011""","Black or African American",*,*
"Weston School District","=""1570011""","Hispanic or Latino",*,*
"Weston School District","=""1570011""","White",88.9,97.6
"Westport School District","=""1580011""","American Indian or Alaska Native",*,*
"Westport School District","=""1580011""","Asian",*,*
"Westport School District","=""1580011""","Black or African American",*,*
"Westport School District","=""1580011""","Hispanic or Latino",*,*
"Westport School District","=""1580011""","White",84.2,97.4
"Wethersfield School District","=""1590011""","Asian",*,*
"Wethersfield School District","=""1590011""","Black or African American",*,*
"Wethersfield School District","=""1590011""","Hispanic or Latino",74.2,78.3
"Wethersfield School District","=""1590011""","White",85.6,93.2
"Wilton School District","=""1610011""","Asian",*,*
"Wilton School District","=""1610011""","Black or African American",*,*
"Wilton School District","=""1610011""","Hispanic or Latino",*,*
"Wilton School District","=""1610011""","White",85.4,96.7
"Windham School District","=""1630011""","American Indian or Alaska Native",*,*
"Windham School District","=""1630011""","Asian",*,*
"Windham School District","=""1630011""","Black or African American",*,*
"Windham School District","=""1630011""","Hispanic or Latino",47.4,68.9
"Windham School District","=""1630011""","White",71.6,80.9
"Windsor School District","=""1640011""","American Indian or Alaska Native",*,*
"Windsor School District","=""1640011""","Asian",*,*
"Windsor School District","=""1640011""","Black or African American",68.1,82.3
"Windsor School District","=""1640011""","Hispanic or Latino",75.0,*
"Windsor School District","=""1640011""","White",75.0,92.0
"Windsor Locks School District","=""1650011""","Asian",*,*
"Windsor Locks School District","=""1650011""","Black or African American",*,*
"Windsor Locks School District","=""1650011""","Hispanic or Latino",*,*
"Windsor Locks School District","=""1650011""","White",70.5,86.5
"Wolcott School District","=""1660011""","Asian",*,*
"Wolcott School District","=""1660011""","Black or African American",*,*
"Wolcott School District","=""1660011""","Hispanic or Latino",*,*
"Wolcott School District","=""1660011""","White",75.9,93.7
"Regional School District 01","=""2010012""","Black or African American",*,*
"Regional School District 01","=""2010012""","Hispanic or Latino",*,*
"Regional School District 01","=""2010012""","White",*,*
"Regional School District 04","=""2040012""","American Indian or Alaska Native",*,*
"Regional School District 04","=""2040012""","Asian",*,*
"Regional School District 04","=""2040012""","Black or African American",*,*
"Regional School District 04","=""2040012""","Hispanic or Latino",*,*
"Regional School District 04","=""2040012""","White",74.0,87.6
"Regional School District 05","=""2050012""","American Indian or Alaska Native",*,*
"Regional School District 05","=""2050012""","Asian",79.5,93.5
"Regional School District 05","=""2050012""","Black or African American",*,*
"Regional School District 05","=""2050012""","Hispanic or Latino",*,*
"Regional School District 05","=""2050012""","White",88.2,97.3
"Regional School District 06","=""2060012""","Asian",*,*
"Regional School District 06","=""2060012""","Black or African American",*,*
"Regional School District 06","=""2060012""","Hispanic or Latino",*,*
"Regional School District 06","=""2060012""","White",64.9,93.8
"Regional School District 07","=""2070012""","White",76.8,87.7
"Regional School District 08","=""2080012""","Asian",*,*
"Regional School District 08","=""2080012""","Black or African American",*,*
"Regional School District 08","=""2080012""","Hispanic or Latino",*,*
"Regional School District 08","=""2080012""","White",83.2,96.4
"Regional School District 09","=""2090012""","Asian",*,*
"Regional School District 09","=""2090012""","Black or African American",*,*
"Regional School District 09","=""2090012""","Hispanic or Latino",*,*
"Regional School District 09","=""2090012""","White",85.7,93.0
"Regional School District 10","=""2100012""","American Indian or Alaska Native",*,*
"Regional School District 10","=""2100012""","Asian",*,*
"Regional School District 10","=""2100012""","Hispanic or Latino",*,*
"Regional School District 10","=""2100012""","White",82.8,89.0
"Regional School District 11","=""2110012""","White",80.0,85.7
"Regional School District 12","=""2120012""","American Indian or Alaska Native",*,*
"Regional School District 12","=""2120012""","Black or African American",*,*
"Regional School District 12","=""2120012""","Hispanic or Latino",*,*
"Regional School District 12","=""2120012""","White",*,*
"Regional School District 13","=""2130012""","Black or African American",*,*
"Regional School District 13","=""2130012""","Hispanic or Latino",*,*
"Regional School District 13","=""2130012""","White",89.4,95.2
"Regional School District 14","=""2140012""","Asian",*,*
"Regional School District 14","=""2140012""","Black or African American",*,*
"Regional School District 14","=""2140012""","Hispanic or Latino",*,*
"Regional School District 14","=""2140012""","White",78.9,94.7
"Regional School District 15","=""2150012""","Asian",*,*
"Regional School District 15","=""2150012""","Black or African American",*,*
"Regional School District 15","=""2150012""","Hispanic or Latino",*,*
"Regional School District 15","=""2150012""","White",86.8,93.3
"Regional School District 16","=""2160012""","American Indian or Alaska Native",*,*
"Regional School District 16","=""2160012""","Asian",*,*
"Regional School District 16","=""2160012""","Black or African American",*,*
"Regional School District 16","=""2160012""","Hispanic or Latino",*,*
"Regional School District 16","=""2160012""","White",78.1,88.8
"Regional School District 17","=""2170012""","Asian",*,*
"Regional School District 17","=""2170012""","Black or African American",*,*
"Regional School District 17","=""2170012""","White",87.2,89.9
"Regional School District 18","=""2180012""","Hispanic or Latino",*,*
"Regional School District 18","=""2180012""","White",76.3,94.6
"Regional School District 19","=""2190012""","Asian",68.2,*
"Regional School District 19","=""2190012""","Black or African American",*,*
"Regional School District 19","=""2190012""","Hispanic or Latino",*,*
"Regional School District 19","=""2190012""","White",69.6,91.3
"Capitol Region Education Council","=""2410014""","Asian",*,*
