"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Special Education Status","Entrance(%)","Persistence(%)"
"New Fairfield School District","=""0910011""","Students with Disabilities",50.0,*
"New Haven School District","=""0930011""","Students with Disabilities",36.5,66.7
"Newington School District","=""0940011""","Students with Disabilities",66.7,91.7
"New London School District","=""0950011""","Students with Disabilities",32.3,*
"New Milford School District","=""0960011""","Students with Disabilities",61.1,87.9
"Newtown School District","=""0970011""","Students with Disabilities",47.8,86.4
"North Branford School District","=""0990011""","Students with Disabilities",30.3,*
"North Haven School District","=""1010011""","Students with Disabilities",55.9,*
"North Stonington School District","=""1020011""","Students with Disabilities",*,*
"Norwalk School District","=""1030011""","Students with Disabilities",59.8,75.0
"Norwich School District","=""1040011""","Students with Disabilities",*,*
"Old Saybrook School District","=""1060011""","Students with Disabilities",*,*
"Oxford School District","=""1080011""","Students with Disabilities",*,*
"Plainfield School District","=""1090011""","Students with Disabilities",*,*
"Plainville School District","=""1100011""","Students with Disabilities",50.0,*
"Plymouth School District","=""1110011""","Students with Disabilities",*,*
"Portland School District","=""1130011""","Students with Disabilities",*,*
"Putnam School District","=""1160011""","Students with Disabilities",*,*
"Ridgefield School District","=""1180011""","Students with Disabilities",83.0,95.5
"Rocky Hill School District","=""1190011""","Students with Disabilities",57.7,*
"Seymour School District","=""1240011""","Students with Disabilities",*,*
"Shelton School District","=""1260011""","Students with Disabilities",50.0,*
"Simsbury School District","=""1280011""","Students with Disabilities",82.1,91.3
"Somers School District","=""1290011""","Students with Disabilities",*,*
"Southington School District","=""1310011""","Students with Disabilities",43.1,74.2
"South Windsor School District","=""1320011""","Students with Disabilities",65.3,84.4
"Stafford School District","=""1340011""","Students with Disabilities",*,*
"Stamford School District","=""1350011""","Students with Disabilities",58.4,74.7
"Stonington School District","=""1370011""","Students with Disabilities",*,*
"Stratford School District","=""1380011""","Students with Disabilities",41.3,87.1
"Suffield School District","=""1390011""","Students with Disabilities",75.9,90.9
"Thomaston School District","=""1400011""","Students with Disabilities",*,*
"Thompson School District","=""1410011""","Students with Disabilities",*,*
"Tolland School District","=""1420011""","Students with Disabilities",64.0,*
"Torrington School District","=""1430011""","Students with Disabilities",20.7,*
"Trumbull School District","=""1440011""","Students with Disabilities",70.6,87.5
"Vernon School District","=""1460011""","Students with Disabilities",27.6,*
"Wallingford School District","=""1480011""","Students with Disabilities",55.7,76.9
"Waterbury School District","=""1510011""","Students with Disabilities",35.0,69.1
"Waterford School District","=""1520011""","Students with Disabilities",47.6,*
"Watertown School District","=""1530011""","Students with Disabilities",52.9,*
"Westbrook School District","=""1540011""","Students with Disabilities",*,*
"West Hartford School District","=""1550011""","Students with Disabilities",63.6,78.6
"West Haven School District","=""1560011""","Students with Disabilities",35.5,*
"Weston School District","=""1570011""","Students with Disabilities",*,*
"Westport School District","=""1580011""","Students with Disabilities",82.1,92.7
"Wethersfield School District","=""1590011""","Students with Disabilities",67.6,82.6
"Wilton School District","=""1610011""","Students with Disabilities",80.4,91.9
"Windham School District","=""1630011""","Students with Disabilities",41.7,*
"Windsor School District","=""1640011""","Students with Disabilities",56.4,77.4
"Windsor Locks School District","=""1650011""","Students with Disabilities",*,*
"Wolcott School District","=""1660011""","Students with Disabilities",61.5,*
"Regional School District 01","=""2010012""","Students with Disabilities",*,*
"Regional School District 04","=""2040012""","Students with Disabilities",45.5,*
"Regional School District 05","=""2050012""","Students with Disabilities",75.4,81.4
"Regional School District 06","=""2060012""","Students with Disabilities",*,*
"Regional School District 07","=""2070012""","Students with Disabilities",48.4,*
"Regional School District 08","=""2080012""","Students with Disabilities",63.6,92.9
"Regional School District 09","=""2090012""","Students with Disabilities",70.0,92.9
"Regional School District 10","=""2100012""","Students with Disabilities",41.9,*
"Regional School District 11","=""2110012""","Students with Disabilities",*,*
"Regional School District 12","=""2120012""","Students with Disabilities",36.4,*
"Regional School District 13","=""2130012""","Students with Disabilities",70.8,*
"Regional School District 14","=""2140012""","Students with Disabilities",54.5,*
"Regional School District 15","=""2150012""","Students with Disabilities",71.0,75.0
"Regional School District 16","=""2160012""","Students with Disabilities",*,*
"Regional School District 17","=""2170012""","Students with Disabilities",51.7,*
"Regional School District 18","=""2180012""","Students with Disabilities",*,*
"Regional School District 19","=""2190012""","Students with Disabilities",50.0,80.6
"Capitol Region Education Council","=""2410014""","Students with Disabilities",57.4,51.9
"Education Connection","=""2420014""","Students with Disabilities",*,*
"Cooperative Educational Services","=""2430014""","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Students with Disabilities",*,*
"Learn","=""2450014""","Students with Disabilities",55.0,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Students with Disabilities",*,*
"Common Ground High School District","=""2680013""","Students with Disabilities",*,*
"The Bridge Academy District","=""2690013""","Students with Disabilities",*,*
"Explorations District","=""2720013""","Students with Disabilities",*,*
"Amistad Academy District","=""2790013""","Students with Disabilities",*,*
"Stamford Academy District","=""2820013""","Students with Disabilities",*,*
"Elm City College Preparatory School District","=""2890013""","Students with Disabilities",*,*
"Unified School District #1","=""3360015""","Students with Disabilities",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Students with Disabilities",*,*
"Unified School District #2","=""3470015""","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",38.8,71.6
"Norwich Free Academy District","=""9010022""","Students with Disabilities",36.2,81.0
"The Gilbert School District","=""9020022""","Students with Disabilities",*,*
"Woodstock Academy District","=""9030022""","Students with Disabilities",55.2,*

