"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Special Education Status","Entrance(%)","Persistence(%)"
"Hartford School District","=""0640011""","Students with Disabilities",21.6,*
"Killingly School District","=""0690011""","Students with Disabilities",*,*
"Lebanon School District","=""0710011""","Students with Disabilities",*,*
"Ledyard School District","=""0720011""","Students with Disabilities",*,*
"Litchfield School District","=""0740011""","Students with Disabilities",*,*
"Madison School District","=""0760011""","Students with Disabilities",53.1,*
"Manchester School District","=""0770011""","Students with Disabilities",28.9,*
"Meriden School District","=""0800011""","Students with Disabilities",17.5,*
"Middletown School District","=""0830011""","Students with Disabilities",50.0,*
"Milford School District","=""0840011""","Students with Disabilities",33.3,*
"Monroe School District","=""0850011""","Students with Disabilities",51.7,*
"Montville School District","=""0860011""","Students with Disabilities",*,*
"Naugatuck School District","=""0880011""","Students with Disabilities",25.0,*
"New Britain School District","=""0890011""","Students with Disabilities",19.7,*
"New Canaan School District","=""0900011""","Students with Disabilities",*,*
"New Fairfield School District","=""0910011""","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Students with Disabilities",23.4,*
"Newington School District","=""0940011""","Students with Disabilities",58.6,*
"New London School District","=""0950011""","Students with Disabilities",*,*
"New Milford School District","=""0960011""","Students with Disabilities",42.3,*
"Newtown School District","=""0970011""","Students with Disabilities",33.3,*
"North Branford School District","=""0990011""","Students with Disabilities",*,*
"North Haven School District","=""1010011""","Students with Disabilities",*,*
"North Stonington School District","=""1020011""","Students with Disabilities",*,*
"Norwalk School District","=""1030011""","Students with Disabilities",43.4,75.8
"Norwich School District","=""1040011""","Students with Disabilities",*,*
"Old Saybrook School District","=""1060011""","Students with Disabilities",*,*
"Oxford School District","=""1080011""","Students with Disabilities",*,*
"Plainfield School District","=""1090011""","Students with Disabilities",*,*
"Plainville School District","=""1100011""","Students with Disabilities",*,*
"Plymouth School District","=""1110011""","Students with Disabilities",*,*
"Portland School District","=""1130011""","Students with Disabilities",*,*
"Preston School District","=""1140011""","Students with Disabilities",*,*
"Putnam School District","=""1160011""","Students with Disabilities",*,*
"Ridgefield School District","=""1180011""","Students with Disabilities",70.8,*
"Rocky Hill School District","=""1190011""","Students with Disabilities",*,*
"Seymour School District","=""1240011""","Students with Disabilities",*,*
"Shelton School District","=""1260011""","Students with Disabilities",*,*
"Simsbury School District","=""1280011""","Students with Disabilities",62.1,*
"Somers School District","=""1290011""","Students with Disabilities",*,*
"Southington School District","=""1310011""","Students with Disabilities",52.2,79.2
"South Windsor School District","=""1320011""","Students with Disabilities",59.2,86.2
"Stafford School District","=""1340011""","Students with Disabilities",*,*
"Stamford School District","=""1350011""","Students with Disabilities",49.4,77.3
"Stonington School District","=""1370011""","Students with Disabilities",*,*
"Stratford School District","=""1380011""","Students with Disabilities",37.2,*
"Suffield School District","=""1390011""","Students with Disabilities",*,*
"Thomaston School District","=""1400011""","Students with Disabilities",*,*
"Thompson School District","=""1410011""","Students with Disabilities",*,*
"Tolland School District","=""1420011""","Students with Disabilities",31.8,*
"Torrington School District","=""1430011""","Students with Disabilities",*,*
"Trumbull School District","=""1440011""","Students with Disabilities",34.4,*
"Vernon School District","=""1460011""","Students with Disabilities",22.6,*
"Wallingford School District","=""1480011""","Students with Disabilities",34.0,*
"Waterbury School District","=""1510011""","Students with Disabilities",22.7,*
"Waterford School District","=""1520011""","Students with Disabilities",*,*
"Watertown School District","=""1530011""","Students with Disabilities",*,*
"Westbrook School District","=""1540011""","Students with Disabilities",*,*
"West Hartford School District","=""1550011""","Students with Disabilities",63.9,71.7
"West Haven School District","=""1560011""","Students with Disabilities",*,*
"Weston School District","=""1570011""","Students with Disabilities",*,*
"Westport School District","=""1580011""","Students with Disabilities",85.4,85.7
"Wethersfield School District","=""1590011""","Students with Disabilities",60.0,*
"Wilton School District","=""1610011""","Students with Disabilities",*,*
"Winchester School District","=""1620011""","Students with Disabilities",*,*
"Windham School District","=""1630011""","Students with Disabilities",33.3,*
"Windsor School District","=""1640011""","Students with Disabilities",55.6,*
"Windsor Locks School District","=""1650011""","Students with Disabilities",*,*
"Wolcott School District","=""1660011""","Students with Disabilities",*,*
"Regional School District 01","=""2010012""","Students with Disabilities",*,*
"Regional School District 04","=""2040012""","Students with Disabilities",*,*
"Regional School District 05","=""2050012""","Students with Disabilities",55.9,*
"Regional School District 06","=""2060012""","Students with Disabilities",*,*
"Regional School District 07","=""2070012""","Students with Disabilities",27.3,*
"Regional School District 08","=""2080012""","Students with Disabilities",*,*
"Regional School District 09","=""2090012""","Students with Disabilities",56.0,*
"Regional School District 10","=""2100012""","Students with Disabilities",*,*
"Regional School District 11","=""2110012""","Students with Disabilities",*,*
"Regional School District 12","=""2120012""","Students with Disabilities",*,*
"Regional School District 13","=""2130012""","Students with Disabilities",*,*
"Regional School District 14","=""2140012""","Students with Disabilities",*,*
"Regional School District 15","=""2150012""","Students with Disabilities",72.7,83.3
"Regional School District 16","=""2160012""","Students with Disabilities",*,*
"Regional School District 17","=""2170012""","Students with Disabilities",54.2,*
"Regional School District 18","=""2180012""","Students with Disabilities",*,*
"Regional School District 19","=""2190012""","Students with Disabilities",38.5,*
"Capitol Region Education Council","=""2410014""","Students with Disabilities",*,*
"Education Connection","=""2420014""","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Students with Disabilities",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Students with Disabilities",*,*
"Common Ground High School District","=""2680013""","Students with Disabilities",*,*
"The Bridge Academy District","=""2690013""","Students with Disabilities",*,*
"Explorations District","=""2720013""","Students with Disabilities",*,*
"Stamford Academy District","=""2820013""","Students with Disabilities",*,*
"Unified School District #2","=""3470015""","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",17.3,57.1
"Norwich Free Academy District","=""9010022""","Students with Disabilities",44.7,*
"The Gilbert School District","=""9020022""","Students with Disabilities",*,*
"Woodstock Academy District","=""9030022""","Students with Disabilities",*,*

