"Primary Disability (K-12), 2014-15"
"All Districts"

"",,,"2014-15",,
"Berlin School District","=""0070011""","Speech Language Impairment",71,2.4,22.5
"Bethany School District","=""0080011""","All Disabilities",55,14.1,100.0
"Bethany School District","=""0080011""","Autism","*","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*","*"
"Bethany School District","=""0080011""","Intellectual Disability","*","*","*"
"Bethany School District","=""0080011""","Learning Disability",19,4.9,34.5
"Bethany School District","=""0080011""","Other Disabilities","*","*","*"
"Bethany School District","=""0080011""","Other Health Impairment",10,2.6,18.2
"Bethany School District","=""0080011""","Speech Language Impairment",14,3.6,25.5
"Bethel School District","=""0090011""","All Disabilities",322,11.3,100.0
"Bethel School District","=""0090011""","Autism",32,1.1,9.9
"Bethel School District","=""0090011""","Emotional Disturbance","*","*","*"
"Bethel School District","=""0090011""","Intellectual Disability","*","*","*"
"Bethel School District","=""0090011""","Learning Disability",118,4.2,36.6
"Bethel School District","=""0090011""","Other Disabilities",46,1.6,14.3
"Bethel School District","=""0090011""","Other Health Impairment",61,2.1,18.9
"Bethel School District","=""0090011""","Speech Language Impairment",42,1.5,13.0
"Bloomfield School District","=""0110011""","All Disabilities",278,12.8,100.0
"Bloomfield School District","=""0110011""","Autism",22,1.0,7.9
"Bloomfield School District","=""0110011""","Emotional Disturbance",17,0.8,6.1
"Bloomfield School District","=""0110011""","Intellectual Disability",15,0.7,5.4
"Bloomfield School District","=""0110011""","Learning Disability",105,4.8,37.8
"Bloomfield School District","=""0110011""","Other Disabilities",31,1.4,11.2
"Bloomfield School District","=""0110011""","Other Health Impairment",45,2.1,16.2
"Bloomfield School District","=""0110011""","Speech Language Impairment",43,2.0,15.5
"Bolton School District","=""0120011""","All Disabilities",92,11.6,100.0
"Bolton School District","=""0120011""","Autism","*","*","*"
"Bolton School District","=""0120011""","Emotional Disturbance",8,1.0,8.7
"Bolton School District","=""0120011""","Intellectual Disability","*","*","*"
"Bolton School District","=""0120011""","Learning Disability",19,2.4,20.7
"Bolton School District","=""0120011""","Other Disabilities",7,0.9,7.6
"Bolton School District","=""0120011""","Other Health Impairment",28,3.5,30.4
"Bolton School District","=""0120011""","Speech Language Impairment",20,2.5,21.7
"Bozrah School District","=""0130011""","All Disabilities",33,10.9,100.0
"Bozrah School District","=""0130011""","Autism",6,2.0,18.2
"Bozrah School District","=""0130011""","Emotional Disturbance","*","*","*"
"Bozrah School District","=""0130011""","Learning Disability",12,3.9,36.4
"Bozrah School District","=""0130011""","Other Disabilities","*","*","*"
"Bozrah School District","=""0130011""","Other Health Impairment","*","*","*"
"Bozrah School District","=""0130011""","Speech Language Impairment","*","*","*"
"Branford School District","=""0140011""","All Disabilities",412,13.3,100.0
"Branford School District","=""0140011""","Autism",42,1.4,10.2
"Branford School District","=""0140011""","Emotional Disturbance",46,1.5,11.2
"Branford School District","=""0140011""","Intellectual Disability",17,0.5,4.1
"Branford School District","=""0140011""","Learning Disability",109,3.5,26.5
"Branford School District","=""0140011""","Other Disabilities",22,0.7,5.3
"Branford School District","=""0140011""","Other Health Impairment",107,3.5,26.0
"Branford School District","=""0140011""","Speech Language Impairment",69,2.2,16.7
"Bridgeport School District","=""0150011""","All Disabilities",3176,14.1,100.0
"Bridgeport School District","=""0150011""","Autism",255,1.1,8.0
"Bridgeport School District","=""0150011""","Emotional Disturbance",267,1.2,8.4
"Bridgeport School District","=""0150011""","Intellectual Disability",149,0.7,4.7
"Bridgeport School District","=""0150011""","Learning Disability",1193,5.3,37.6
"Bridgeport School District","=""0150011""","Other Disabilities",372,1.7,11.7
"Bridgeport School District","=""0150011""","Other Health Impairment",558,2.5,17.6
"Bridgeport School District","=""0150011""","Speech Language Impairment",382,1.7,12.0
"Bristol School District","=""0170011""","All Disabilities",1360,16.5,100.0
"Bristol School District","=""0170011""","Autism",83,1.0,6.1
"Bristol School District","=""0170011""","Emotional Disturbance",128,1.6,9.4
"Bristol School District","=""0170011""","Intellectual Disability",6,0.1,0.4
"Bristol School District","=""0170011""","Learning Disability",536,6.5,39.4
"Bristol School District","=""0170011""","Other Disabilities",127,1.5,9.3
"Bristol School District","=""0170011""","Other Health Impairment",328,4.0,24.1
"Bristol School District","=""0170011""","Speech Language Impairment",152,1.8,11.2
"Brookfield School District","=""0180011""","All Disabilities",323,11.8,100.0
"Brookfield School District","=""0180011""","Autism",44,1.6,13.6
"Brookfield School District","=""0180011""","Emotional Disturbance",18,0.7,5.6
"Brookfield School District","=""0180011""","Intellectual Disability","*","*","*"
"Brookfield School District","=""0180011""","Learning Disability",119,4.3,36.8
"Brookfield School District","=""0180011""","Other Disabilities","*","*","*"
"Brookfield School District","=""0180011""","Other Health Impairment",81,3.0,25.1
"Brookfield School District","=""0180011""","Speech Language Impairment",44,1.6,13.6
"Brooklyn School District","=""0190011""","All Disabilities",127,11.2,100.0
"Brooklyn School District","=""0190011""","Autism",9,0.8,7.1
"Brooklyn School District","=""0190011""","Emotional Disturbance",10,0.9,7.9
"Brooklyn School District","=""0190011""","Intellectual Disability",6,0.5,4.7
"Brooklyn School District","=""0190011""","Learning Disability",55,4.9,43.3
"Brooklyn School District","=""0190011""","Other Disabilities",8,0.7,6.3
"Brooklyn School District","=""0190011""","Other Health Impairment",16,1.4,12.6
"Brooklyn School District","=""0190011""","Speech Language Impairment",23,2.0,18.1
"Canaan School District","=""0210011""","All Disabilities",9,11.7,100.0
"Canaan School District","=""0210011""","Emotional Disturbance","*","*","*"
"Canaan School District","=""0210011""","Learning Disability","*","*","*"
"Canaan School District","=""0210011""","Other Health Impairment","*","*","*"
"Canaan School District","=""0210011""","Speech Language Impairment","*","*","*"
"Canterbury School District","=""0220011""","All Disabilities",71,11.0,100.0
"Canterbury School District","=""0220011""","Autism",19,2.9,26.8
"Canterbury School District","=""0220011""","Emotional Disturbance",9,1.4,12.7
"Canterbury School District","=""0220011""","Learning Disability",11,1.7,15.5
"Canterbury School District","=""0220011""","Other Disabilities",8,1.2,11.3
"Canterbury School District","=""0220011""","Other Health Impairment",17,2.6,23.9
"Canterbury School District","=""0220011""","Speech Language Impairment",7,1.1,9.9
"Canton School District","=""0230011""","All Disabilities",174,10.5,100.0
"Canton School District","=""0230011""","Autism",27,1.6,15.5
"Canton School District","=""0230011""","Emotional Disturbance","*","*","*"
"Canton School District","=""0230011""","Intellectual Disability","*","*","*"
"Canton School District","=""0230011""","Learning Disability",68,4.1,39.1
"Canton School District","=""0230011""","Other Disabilities",13,0.8,7.5
"Canton School District","=""0230011""","Other Health Impairment",35,2.1,20.1
"Canton School District","=""0230011""","Speech Language Impairment",13,0.8,7.5
"Chaplin School District","=""0240011""","All Disabilities",23,14.7,100.0
"Chaplin School District","=""0240011""","Autism","*","*","*"
"Chaplin School District","=""0240011""","Emotional Disturbance","*","*","*"
"Chaplin School District","=""0240011""","Learning Disability",10,6.4,43.5
"Chaplin School District","=""0240011""","Other Disabilities","*","*","*"
"Chaplin School District","=""0240011""","Other Health Impairment","*","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment","*","*","*"
"Cheshire School District","=""0250011""","All Disabilities",473,10.5,100.0
"Cheshire School District","=""0250011""","Autism",68,1.5,14.4
"Cheshire School District","=""0250011""","Emotional Disturbance",35,0.8,7.4
"Cheshire School District","=""0250011""","Intellectual Disability",27,0.6,5.7
"Cheshire School District","=""0250011""","Learning Disability",127,2.8,26.8
"Cheshire School District","=""0250011""","Other Disabilities",32,0.7,6.8
"Cheshire School District","=""0250011""","Other Health Impairment",119,2.6,25.2
"Cheshire School District","=""0250011""","Speech Language Impairment",65,1.4,13.7
"Chester School District","=""0260011""","All Disabilities",35,15.9,100.0
"Chester School District","=""0260011""","Autism","*","*","*"
"Chester School District","=""0260011""","Intellectual Disability","*","*","*"
"Chester School District","=""0260011""","Learning Disability",16,7.3,45.7
"Chester School District","=""0260011""","Other Disabilities","*","*","*"
"Chester School District","=""0260011""","Other Health Impairment","*","*","*"
"Chester School District","=""0260011""","Speech Language Impairment",9,4.1,25.7
"Clinton School District","=""0270011""","All Disabilities",202,10.6,100.0
"Clinton School District","=""0270011""","Autism",26,1.4,12.9
"Clinton School District","=""0270011""","Emotional Disturbance",15,0.8,7.4
"Clinton School District","=""0270011""","Intellectual Disability",7,0.4,3.5
"Clinton School District","=""0270011""","Learning Disability",57,3.0,28.2
"Clinton School District","=""0270011""","Other Disabilities",14,0.7,6.9
"Clinton School District","=""0270011""","Other Health Impairment",50,2.6,24.8
"Clinton School District","=""0270011""","Speech Language Impairment",33,1.7,16.3
"Colchester School District","=""0280011""","All Disabilities",361,13.4,100.0
"Colchester School District","=""0280011""","Autism",35,1.3,9.7
"Colchester School District","=""0280011""","Emotional Disturbance",34,1.3,9.4
"Colchester School District","=""0280011""","Intellectual Disability",17,0.6,4.7
"Colchester School District","=""0280011""","Learning Disability",115,4.3,31.9
"Colchester School District","=""0280011""","Other Disabilities",12,0.4,3.3
"Colchester School District","=""0280011""","Other Health Impairment",54,2.0,15.0
"Colchester School District","=""0280011""","Speech Language Impairment",94,3.5,26.0
"Colebrook School District","=""0290011""","All Disabilities",19,19.8,100.0
"Colebrook School District","=""0290011""","Autism","*","*","*"
"Colebrook School District","=""0290011""","Intellectual Disability","*","*","*"
"Colebrook School District","=""0290011""","Learning Disability","*","*","*"
"Colebrook School District","=""0290011""","Other Disabilities","*","*","*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment","*","*","*"
"Columbia School District","=""0300011""","All Disabilities",75,10.8,100.0
"Columbia School District","=""0300011""","Autism","*","*","*"
"Columbia School District","=""0300011""","Emotional Disturbance",6,0.9,8.0
"Columbia School District","=""0300011""","Intellectual Disability","*","*","*"
"Columbia School District","=""0300011""","Learning Disability",28,4.0,37.3
"Columbia School District","=""0300011""","Other Disabilities",6,0.9,8.0
"Columbia School District","=""0300011""","Other Health Impairment",23,3.3,30.7
"Columbia School District","=""0300011""","Speech Language Impairment",6,0.9,8.0
"Connecticut Technical High School System","=""9000016""","All Disabilities",965,8.9,100.0
"Connecticut Technical High School System","=""9000016""","Autism",53,0.5,5.5
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",45,0.4,4.7
"Connecticut Technical High School System","=""9000016""","Learning Disability",562,5.2,58.2
"Connecticut Technical High School System","=""9000016""","Other Disabilities",10,0.1,1.0
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",248,2.3,25.7
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",47,0.4,4.9
"Cornwall School District","=""0310011""","All Disabilities",16,17.6,100.0
"Cornwall School District","=""0310011""","Autism","*","*","*"
"Cornwall School District","=""0310011""","Learning Disability",8,8.8,50.0
"Cornwall School District","=""0310011""","Other Disabilities","*","*","*"
"Cornwall School District","=""0310011""","Other Health Impairment","*","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment","*","*","*"
"Coventry School District","=""0320011""","All Disabilities",205,11.9,100.0
"Coventry School District","=""0320011""","Autism",20,1.2,9.8
"Coventry School District","=""0320011""","Emotional Disturbance",21,1.2,10.2
"Coventry School District","=""0320011""","Intellectual Disability","*","*","*"
"Coventry School District","=""0320011""","Learning Disability",81,4.7,39.5
"Coventry School District","=""0320011""","Other Disabilities","*","*","*"
"Coventry School District","=""0320011""","Other Health Impairment",35,2.0,17.1
"Coventry School District","=""0320011""","Speech Language Impairment",25,1.4,12.2
"Cromwell School District","=""0330011""","All Disabilities",214,10.5,100.0
"Cromwell School District","=""0330011""","Autism",29,1.4,13.6
"Cromwell School District","=""0330011""","Emotional Disturbance",18,0.9,8.4
"Cromwell School District","=""0330011""","Intellectual Disability",9,0.4,4.2
"Cromwell School District","=""0330011""","Learning Disability",66,3.2,30.8
"Cromwell School District","=""0330011""","Other Disabilities",16,0.8,7.5
"Cromwell School District","=""0330011""","Other Health Impairment",32,1.6,15.0
"Cromwell School District","=""0330011""","Speech Language Impairment",44,2.2,20.6
"Danbury School District","=""0340011""","All Disabilities",1239,11.7,100.0
"Danbury School District","=""0340011""","Autism",143,1.4,11.5
"Danbury School District","=""0340011""","Emotional Disturbance",46,0.4,3.7
"Danbury School District","=""0340011""","Intellectual Disability",54,0.5,4.4
"Danbury School District","=""0340011""","Learning Disability",555,5.2,44.8
"Danbury School District","=""0340011""","Other Disabilities",110,1.0,8.9
"Danbury School District","=""0340011""","Other Health Impairment",192,1.8,15.5
"Danbury School District","=""0340011""","Speech Language Impairment",139,1.3,11.2
"Darien School District","=""0350011""","All Disabilities",553,11.3,100.0
"Darien School District","=""0350011""","Autism",41,0.8,7.4
"Darien School District","=""0350011""","Emotional Disturbance",13,0.3,2.4
"Darien School District","=""0350011""","Intellectual Disability",11,0.2,2.0
"Darien School District","=""0350011""","Learning Disability",177,3.6,32.0
"Darien School District","=""0350011""","Other Disabilities",48,1.0,8.7
"Darien School District","=""0350011""","Other Health Impairment",159,3.3,28.8
"Darien School District","=""0350011""","Speech Language Impairment",104,2.1,18.8
"Deep River School District","=""0360011""","All Disabilities",48,15.2,100.0
"Deep River School District","=""0360011""","Autism",6,1.9,12.5
"Deep River School District","=""0360011""","Emotional Disturbance","*","*","*"
"Deep River School District","=""0360011""","Intellectual Disability","*","*","*"
"Deep River School District","=""0360011""","Learning Disability",16,5.1,33.3
"Deep River School District","=""0360011""","Other Disabilities","*","*","*"
"Deep River School District","=""0360011""","Other Health Impairment",14,4.4,29.2
"Deep River School District","=""0360011""","Speech Language Impairment",6,1.9,12.5
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities",7,"*",100.0
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Learning Disability","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Health Impairment","*","*","*"
"Derby School District","=""0370011""","All Disabilities",213,13.8,100.0
"Derby School District","=""0370011""","Autism",26,1.7,12.2
"Derby School District","=""0370011""","Emotional Disturbance",15,1.0,7.0
"Derby School District","=""0370011""","Intellectual Disability",7,0.5,3.3
"Derby School District","=""0370011""","Learning Disability",52,3.4,24.4
"Derby School District","=""0370011""","Other Disabilities",23,1.5,10.8
"Derby School District","=""0370011""","Other Health Impairment",51,3.3,23.9
"Derby School District","=""0370011""","Speech Language Impairment",39,2.5,18.3
"East Granby School District","=""0400011""","All Disabilities",93,10.2,100.0
"East Granby School District","=""0400011""","Autism",10,1.1,10.8
"East Granby School District","=""0400011""","Emotional Disturbance",6,0.7,6.5
"East Granby School District","=""0400011""","Intellectual Disability","*","*","*"
"East Granby School District","=""0400011""","Learning Disability",34,3.7,36.6
"East Granby School District","=""0400011""","Other Disabilities","*","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",15,1.7,16.1
"East Granby School District","=""0400011""","Speech Language Impairment",21,2.3,22.6
"East Haddam School District","=""0410011""","All Disabilities",170,14.7,100.0
"East Haddam School District","=""0410011""","Autism",30,2.6,17.6
"East Haddam School District","=""0410011""","Emotional Disturbance","*","*","*"
"East Haddam School District","=""0410011""","Intellectual Disability","*","*","*"
"East Haddam School District","=""0410011""","Learning Disability",46,4.0,27.1
"East Haddam School District","=""0410011""","Other Disabilities",9,0.8,5.3
"East Haddam School District","=""0410011""","Other Health Impairment",25,2.2,14.7
"East Haddam School District","=""0410011""","Speech Language Impairment",47,4.1,27.6
"East Hampton School District","=""0420011""","All Disabilities",156,8.2,100.0
"East Hampton School District","=""0420011""","Autism",36,1.9,23.1
"East Hampton School District","=""0420011""","Emotional Disturbance",10,0.5,6.4
"East Hampton School District","=""0420011""","Intellectual Disability","*","*","*"
"East Hampton School District","=""0420011""","Learning Disability",42,2.2,26.9
"East Hampton School District","=""0420011""","Other Disabilities","*","*","*"
"East Hampton School District","=""0420011""","Other Health Impairment",24,1.3,15.4
"East Hampton School District","=""0420011""","Speech Language Impairment",35,1.8,22.4
"East Hartford School District","=""0430011""","All Disabilities",1107,14.1,100.0
"East Hartford School District","=""0430011""","Autism",118,1.5,10.7
"East Hartford School District","=""0430011""","Emotional Disturbance",107,1.4,9.7
"East Hartford School District","=""0430011""","Intellectual Disability",36,0.5,3.3
"East Hartford School District","=""0430011""","Learning Disability",309,3.9,27.9
"East Hartford School District","=""0430011""","Other Disabilities",105,1.3,9.5
"East Hartford School District","=""0430011""","Other Health Impairment",231,2.9,20.9
"East Hartford School District","=""0430011""","Speech Language Impairment",201,2.6,18.2
"East Haven School District","=""0440011""","All Disabilities",427,13.0,100.0
"East Haven School District","=""0440011""","Autism",55,1.7,12.9
"East Haven School District","=""0440011""","Emotional Disturbance",36,1.1,8.4
"East Haven School District","=""0440011""","Intellectual Disability",14,0.4,3.3
"East Haven School District","=""0440011""","Learning Disability",131,4.0,30.7
"East Haven School District","=""0440011""","Other Disabilities",36,1.1,8.4
"East Haven School District","=""0440011""","Other Health Impairment",72,2.2,16.9
"East Haven School District","=""0440011""","Speech Language Impairment",83,2.5,19.4
"East Lyme School District","=""0450011""","All Disabilities",343,13.2,100.0
"East Lyme School District","=""0450011""","Autism",48,1.8,14.0
"East Lyme School District","=""0450011""","Emotional Disturbance",15,0.6,4.4
"East Lyme School District","=""0450011""","Intellectual Disability",9,0.3,2.6
"East Lyme School District","=""0450011""","Learning Disability",135,5.2,39.4
"East Lyme School District","=""0450011""","Other Disabilities",17,0.7,5.0
"East Lyme School District","=""0450011""","Other Health Impairment",76,2.9,22.2
"East Lyme School District","=""0450011""","Speech Language Impairment",43,1.7,12.5
"East Windsor School District","=""0470011""","All Disabilities",218,17.5,100.0
"East Windsor School District","=""0470011""","Autism",26,2.1,11.9
"East Windsor School District","=""0470011""","Emotional Disturbance",22,1.8,10.1
"East Windsor School District","=""0470011""","Intellectual Disability",13,1.0,6.0
"East Windsor School District","=""0470011""","Learning Disability",83,6.7,38.1
"East Windsor School District","=""0470011""","Other Disabilities",14,1.1,6.4
"East Windsor School District","=""0470011""","Other Health Impairment",30,2.4,13.8
"East Windsor School District","=""0470011""","Speech Language Impairment",30,2.4,13.8
"Eastford School District","=""0390011""","All Disabilities",22,11.8,100.0
"Eastford School District","=""0390011""","Autism","*","*","*"
"Eastford School District","=""0390011""","Learning Disability","*","*","*"
"Eastford School District","=""0390011""","Other Disabilities","*","*","*"
"Eastford School District","=""0390011""","Other Health Impairment","*","*","*"
"Eastford School District","=""0390011""","Speech Language Impairment",9,4.8,40.9
"Easton School District","=""0460011""","All Disabilities",89,9.7,100.0
"Easton School District","=""0460011""","Autism","*","*","*"
"Easton School District","=""0460011""","Emotional Disturbance","*","*","*"
"Easton School District","=""0460011""","Intellectual Disability","*","*","*"
"Easton School District","=""0460011""","Learning Disability",38,4.2,42.7
"Easton School District","=""0460011""","Other Disabilities",12,1.3,13.5
"Easton School District","=""0460011""","Other Health Impairment",11,1.2,12.4
"Easton School District","=""0460011""","Speech Language Impairment",20,2.2,22.5
"Ellington School District","=""0480011""","All Disabilities",289,10.6,100.0
"Ellington School District","=""0480011""","Autism",26,1.0,9.0
"Ellington School District","=""0480011""","Emotional Disturbance","*","*","*"
"Ellington School District","=""0480011""","Intellectual Disability","*","*","*"
"Ellington School District","=""0480011""","Learning Disability",143,5.3,49.5
"Ellington School District","=""0480011""","Other Disabilities",29,1.1,10.0
"Ellington School District","=""0480011""","Other Health Impairment",34,1.3,11.8
"Ellington School District","=""0480011""","Speech Language Impairment",27,1.0,9.3
"Enfield School District","=""0490011""","All Disabilities",762,14.1,100.0
"Enfield School District","=""0490011""","Autism",92,1.7,12.1
"Enfield School District","=""0490011""","Emotional Disturbance",77,1.4,10.1
"Enfield School District","=""0490011""","Intellectual Disability",27,0.5,3.5
"Enfield School District","=""0490011""","Learning Disability",251,4.6,32.9
"Enfield School District","=""0490011""","Other Disabilities",61,1.1,8.0
"Enfield School District","=""0490011""","Other Health Impairment",107,2.0,14.0
"Enfield School District","=""0490011""","Speech Language Impairment",147,2.7,19.3
"Essex School District","=""0500011""","All Disabilities",59,14.4,100.0
"Essex School District","=""0500011""","Autism",11,2.7,18.6
"Essex School District","=""0500011""","Emotional Disturbance","*","*","*"
"Essex School District","=""0500011""","Learning Disability",11,2.7,18.6
"Essex School District","=""0500011""","Other Disabilities","*","*","*"
"Essex School District","=""0500011""","Other Health Impairment",7,1.7,11.9
"Essex School District","=""0500011""","Speech Language Impairment",22,5.4,37.3
"Fairfield School District","=""0510011""","All Disabilities",1096,10.8,100.0
"Fairfield School District","=""0510011""","Autism",135,1.3,12.3
"Fairfield School District","=""0510011""","Emotional Disturbance",58,0.6,5.3
"Fairfield School District","=""0510011""","Intellectual Disability",35,0.3,3.2
"Fairfield School District","=""0510011""","Learning Disability",346,3.4,31.6
"Fairfield School District","=""0510011""","Other Disabilities",44,0.4,4.0
"Fairfield School District","=""0510011""","Other Health Impairment",254,2.5,23.2
"Fairfield School District","=""0510011""","Speech Language Impairment",224,2.2,20.4
"Farmington School District","=""0520011""","All Disabilities",465,11.6,100.0
"Farmington School District","=""0520011""","Autism",84,2.1,18.1
"Farmington School District","=""0520011""","Emotional Disturbance",39,1.0,8.4
"Farmington School District","=""0520011""","Intellectual Disability",15,0.4,3.2
"Farmington School District","=""0520011""","Learning Disability",130,3.2,28.0
"Farmington School District","=""0520011""","Other Disabilities",23,0.6,4.9
"Farmington School District","=""0520011""","Other Health Impairment",102,2.5,21.9
"Farmington School District","=""0520011""","Speech Language Impairment",72,1.8,15.5
"Franklin School District","=""0530011""","All Disabilities",32,12.9,100.0
"Franklin School District","=""0530011""","Autism","*","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance","*","*","*"
"Franklin School District","=""0530011""","Intellectual Disability","*","*","*"
"Franklin School District","=""0530011""","Learning Disability",11,4.4,34.4
"Franklin School District","=""0530011""","Other Disabilities","*","*","*"
"Franklin School District","=""0530011""","Other Health Impairment",6,2.4,18.8
"Franklin School District","=""0530011""","Speech Language Impairment",7,2.8,21.9
"Glastonbury School District","=""0540011""","All Disabilities",617,9.8,100.0
"Glastonbury School District","=""0540011""","Autism",94,1.5,15.2
"Glastonbury School District","=""0540011""","Emotional Disturbance",48,0.8,7.8
"Glastonbury School District","=""0540011""","Intellectual Disability",17,0.3,2.8
"Glastonbury School District","=""0540011""","Learning Disability",171,2.7,27.7
"Glastonbury School District","=""0540011""","Other Disabilities",41,0.7,6.6
"Glastonbury School District","=""0540011""","Other Health Impairment",152,2.4,24.6
"Glastonbury School District","=""0540011""","Speech Language Impairment",94,1.5,15.2
"Granby School District","=""0560011""","All Disabilities",199,10.2,100.0
"Granby School District","=""0560011""","Autism",21,1.1,10.6
"Granby School District","=""0560011""","Emotional Disturbance",18,0.9,9.0
"Granby School District","=""0560011""","Intellectual Disability","*","*","*"
"Granby School District","=""0560011""","Learning Disability",65,3.3,32.7
"Granby School District","=""0560011""","Other Disabilities","*","*","*"
"Granby School District","=""0560011""","Other Health Impairment",59,3.0,29.6
"Granby School District","=""0560011""","Speech Language Impairment",22,1.1,11.1
"Greenwich School District","=""0570011""","All Disabilities",879,10.3,100.0
"Greenwich School District","=""0570011""","Autism",98,1.1,11.1
"Greenwich School District","=""0570011""","Emotional Disturbance",60,0.7,6.8
"Greenwich School District","=""0570011""","Intellectual Disability",24,0.3,2.7
"Greenwich School District","=""0570011""","Learning Disability",361,4.2,41.1
"Greenwich School District","=""0570011""","Other Disabilities",29,0.3,3.3
"Greenwich School District","=""0570011""","Other Health Impairment",146,1.7,16.6
"Greenwich School District","=""0570011""","Speech Language Impairment",161,1.9,18.3
"Griswold School District","=""0580011""","All Disabilities",246,14.1,100.0
"Griswold School District","=""0580011""","Autism",33,1.9,13.4
"Griswold School District","=""0580011""","Emotional Disturbance",26,1.5,10.6
"Griswold School District","=""0580011""","Intellectual Disability",7,0.4,2.8
"Griswold School District","=""0580011""","Learning Disability",65,3.7,26.4
"Griswold School District","=""0580011""","Other Disabilities",15,0.9,6.1
"Griswold School District","=""0580011""","Other Health Impairment",62,3.6,25.2
"Griswold School District","=""0580011""","Speech Language Impairment",38,2.2,15.4
"Groton School District","=""0590011""","All Disabilities",727,15.1,100.0
"Groton School District","=""0590011""","Autism",108,2.2,14.9
"Groton School District","=""0590011""","Emotional Disturbance",87,1.8,12.0
"Groton School District","=""0590011""","Intellectual Disability",36,0.7,5.0
"Groton School District","=""0590011""","Learning Disability",214,4.4,29.4
"Groton School District","=""0590011""","Other Disabilities",76,1.6,10.5
"Groton School District","=""0590011""","Other Health Impairment",104,2.2,14.3
"Groton School District","=""0590011""","Speech Language Impairment",102,2.1,14.0
"Guilford School District","=""0600011""","All Disabilities",392,11.4,100.0
"Guilford School District","=""0600011""","Autism",69,2.0,17.6
"Guilford School District","=""0600011""","Emotional Disturbance",36,1.1,9.2
