"Primary Disability (K-12), 2011-12"
"All Districts"

"",,,"2011-12",,
"Bridgeport School District","=""0150011""","Learning Disability",967,4.5,35.4
"Bridgeport School District","=""0150011""","Other Disabilities",365,1.7,13.3
"Bridgeport School District","=""0150011""","Other Health Impairment",402,1.9,14.7
"Bridgeport School District","=""0150011""","Speech Language Impairment",431,2.0,15.8
"Bristol School District","=""0170011""","All Disabilities",1211,14.4,100.0
"Bristol School District","=""0170011""","Autism",67,0.8,5.5
"Bristol School District","=""0170011""","Emotional Disturbance",116,1.4,9.6
"Bristol School District","=""0170011""","Intellectual Disability",15,0.2,1.2
"Bristol School District","=""0170011""","Learning Disability",380,4.5,31.4
"Bristol School District","=""0170011""","Other Disabilities",113,1.3,9.3
"Bristol School District","=""0170011""","Other Health Impairment",300,3.6,24.8
"Bristol School District","=""0170011""","Speech Language Impairment",220,2.6,18.2
"Brookfield School District","=""0180011""","All Disabilities",248,8.7,100.0
"Brookfield School District","=""0180011""","Autism",36,1.3,14.5
"Brookfield School District","=""0180011""","Emotional Disturbance",21,0.7,8.5
"Brookfield School District","=""0180011""","Intellectual Disability","*","*","*"
"Brookfield School District","=""0180011""","Learning Disability",77,2.7,31.0
"Brookfield School District","=""0180011""","Other Disabilities","*","*","*"
"Brookfield School District","=""0180011""","Other Health Impairment",53,1.9,21.4
"Brookfield School District","=""0180011""","Speech Language Impairment",44,1.5,17.7
"Brooklyn School District","=""0190011""","All Disabilities",135,11.3,100.0
"Brooklyn School District","=""0190011""","Autism","*","*","*"
"Brooklyn School District","=""0190011""","Emotional Disturbance",13,1.1,9.6
"Brooklyn School District","=""0190011""","Intellectual Disability","*","*","*"
"Brooklyn School District","=""0190011""","Learning Disability",60,5.0,44.4
"Brooklyn School District","=""0190011""","Other Disabilities",10,0.8,7.4
"Brooklyn School District","=""0190011""","Other Health Impairment",20,1.7,14.8
"Brooklyn School District","=""0190011""","Speech Language Impairment",22,1.8,16.3
"Canaan School District","=""0210011""","All Disabilities",14,15.7,100.0
"Canaan School District","=""0210011""","Emotional Disturbance","*","*","*"
"Canaan School District","=""0210011""","Learning Disability",8,9.0,57.1
"Canaan School District","=""0210011""","Other Disabilities","*","*","*"
"Canaan School District","=""0210011""","Speech Language Impairment","*","*","*"
"Canterbury School District","=""0220011""","All Disabilities",70,9.9,100.0
"Canterbury School District","=""0220011""","Autism",12,1.7,17.1
"Canterbury School District","=""0220011""","Emotional Disturbance","*","*","*"
"Canterbury School District","=""0220011""","Intellectual Disability","*","*","*"
"Canterbury School District","=""0220011""","Learning Disability",16,2.3,22.9
"Canterbury School District","=""0220011""","Other Disabilities",9,1.3,12.9
"Canterbury School District","=""0220011""","Other Health Impairment",19,2.7,27.1
"Canterbury School District","=""0220011""","Speech Language Impairment",8,1.1,11.4
"Canton School District","=""0230011""","All Disabilities",163,9.3,100.0
"Canton School District","=""0230011""","Autism",25,1.4,15.3
"Canton School District","=""0230011""","Emotional Disturbance","*","*","*"
"Canton School District","=""0230011""","Intellectual Disability","*","*","*"
"Canton School District","=""0230011""","Learning Disability",48,2.7,29.4
"Canton School District","=""0230011""","Other Disabilities",13,0.7,8.0
"Canton School District","=""0230011""","Other Health Impairment",40,2.3,24.5
"Canton School District","=""0230011""","Speech Language Impairment",21,1.2,12.9
"Chaplin School District","=""0240011""","All Disabilities",15,9.8,100.0
"Chaplin School District","=""0240011""","Intellectual Disability","*","*","*"
"Chaplin School District","=""0240011""","Learning Disability","*","*","*"
"Chaplin School District","=""0240011""","Other Disabilities","*","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment",9,5.9,60.0
"Cheshire School District","=""0250011""","All Disabilities",468,9.8,100.0
"Cheshire School District","=""0250011""","Autism",64,1.3,13.7
"Cheshire School District","=""0250011""","Emotional Disturbance",45,0.9,9.6
"Cheshire School District","=""0250011""","Intellectual Disability",23,0.5,4.9
"Cheshire School District","=""0250011""","Learning Disability",124,2.6,26.5
"Cheshire School District","=""0250011""","Other Disabilities",31,0.7,6.6
"Cheshire School District","=""0250011""","Other Health Impairment",115,2.4,24.6
"Cheshire School District","=""0250011""","Speech Language Impairment",66,1.4,14.1
"Chester School District","=""0260011""","All Disabilities",33,12.6,100.0
"Chester School District","=""0260011""","Autism","*","*","*"
"Chester School District","=""0260011""","Learning Disability",16,6.1,48.5
"Chester School District","=""0260011""","Other Disabilities","*","*","*"
"Chester School District","=""0260011""","Other Health Impairment",7,2.7,21.2
"Chester School District","=""0260011""","Speech Language Impairment",7,2.7,21.2
"Clinton School District","=""0270011""","All Disabilities",213,10.7,100.0
"Clinton School District","=""0270011""","Autism",24,1.2,11.3
"Clinton School District","=""0270011""","Emotional Disturbance",14,0.7,6.6
"Clinton School District","=""0270011""","Intellectual Disability",7,0.4,3.3
"Clinton School District","=""0270011""","Learning Disability",69,3.5,32.4
"Clinton School District","=""0270011""","Other Disabilities",15,0.8,7.0
"Clinton School District","=""0270011""","Other Health Impairment",37,1.9,17.4
"Clinton School District","=""0270011""","Speech Language Impairment",47,2.4,22.1
"Colchester School District","=""0280011""","All Disabilities",346,11.6,100.0
"Colchester School District","=""0280011""","Autism",33,1.1,9.5
"Colchester School District","=""0280011""","Emotional Disturbance",40,1.3,11.6
"Colchester School District","=""0280011""","Intellectual Disability",15,0.5,4.3
"Colchester School District","=""0280011""","Learning Disability",101,3.4,29.2
"Colchester School District","=""0280011""","Other Disabilities",12,0.4,3.5
"Colchester School District","=""0280011""","Other Health Impairment",37,1.2,10.7
"Colchester School District","=""0280011""","Speech Language Impairment",108,3.6,31.2
"Colebrook School District","=""0290011""","All Disabilities",14,13.9,100.0
"Colebrook School District","=""0290011""","Autism","*","*","*"
"Colebrook School District","=""0290011""","Emotional Disturbance","*","*","*"
"Colebrook School District","=""0290011""","Intellectual Disability","*","*","*"
"Colebrook School District","=""0290011""","Learning Disability","*","*","*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment","*","*","*"
"Columbia School District","=""0300011""","All Disabilities",57,7.8,100.0
"Columbia School District","=""0300011""","Autism","*","*","*"
"Columbia School District","=""0300011""","Emotional Disturbance","*","*","*"
"Columbia School District","=""0300011""","Intellectual Disability","*","*","*"
"Columbia School District","=""0300011""","Learning Disability",18,2.5,31.6
"Columbia School District","=""0300011""","Other Disabilities",7,1.0,12.3
"Columbia School District","=""0300011""","Other Health Impairment",16,2.2,28.1
"Columbia School District","=""0300011""","Speech Language Impairment",7,1.0,12.3
"Connecticut Technical High School System","=""9000016""","All Disabilities",760,7.1,100.0
"Connecticut Technical High School System","=""9000016""","Autism",38,0.4,5.0
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",34,0.3,4.5
"Connecticut Technical High School System","=""9000016""","Intellectual Disability","*","*","*"
"Connecticut Technical High School System","=""9000016""","Learning Disability",421,4.0,55.4
"Connecticut Technical High School System","=""9000016""","Other Disabilities","*","*","*"
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",203,1.9,26.7
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",46,0.4,6.1
"Cornwall School District","=""0310011""","All Disabilities",18,17.0,100.0
"Cornwall School District","=""0310011""","Autism","*","*","*"
"Cornwall School District","=""0310011""","Learning Disability","*","*","*"
"Cornwall School District","=""0310011""","Other Disabilities","*","*","*"
"Cornwall School District","=""0310011""","Other Health Impairment","*","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment","*","*","*"
"Coventry School District","=""0320011""","All Disabilities",204,11.0,100.0
"Coventry School District","=""0320011""","Autism","*","*","*"
"Coventry School District","=""0320011""","Emotional Disturbance",39,2.1,19.1
"Coventry School District","=""0320011""","Intellectual Disability","*","*","*"
"Coventry School District","=""0320011""","Learning Disability",75,4.1,36.8
"Coventry School District","=""0320011""","Other Disabilities",23,1.2,11.3
"Coventry School District","=""0320011""","Other Health Impairment",16,0.9,7.8
"Coventry School District","=""0320011""","Speech Language Impairment",32,1.7,15.7
"Cromwell School District","=""0330011""","All Disabilities",203,10.1,100.0
"Cromwell School District","=""0330011""","Autism",23,1.1,11.3
"Cromwell School District","=""0330011""","Emotional Disturbance",10,0.5,4.9
"Cromwell School District","=""0330011""","Intellectual Disability",11,0.5,5.4
"Cromwell School District","=""0330011""","Learning Disability",46,2.3,22.7
"Cromwell School District","=""0330011""","Other Disabilities",22,1.1,10.8
"Cromwell School District","=""0330011""","Other Health Impairment",30,1.5,14.8
"Cromwell School District","=""0330011""","Speech Language Impairment",61,3.0,30.0
"Danbury School District","=""0340011""","All Disabilities",1086,10.6,100.0
"Danbury School District","=""0340011""","Autism",101,1.0,9.3
"Danbury School District","=""0340011""","Emotional Disturbance",61,0.6,5.6
"Danbury School District","=""0340011""","Intellectual Disability",41,0.4,3.8
"Danbury School District","=""0340011""","Learning Disability",447,4.4,41.2
"Danbury School District","=""0340011""","Other Disabilities",111,1.1,10.2
"Danbury School District","=""0340011""","Other Health Impairment",170,1.7,15.7
"Danbury School District","=""0340011""","Speech Language Impairment",155,1.5,14.3
"Darien School District","=""0350011""","All Disabilities",583,12.1,100.0
"Darien School District","=""0350011""","Autism",55,1.1,9.4
"Darien School District","=""0350011""","Emotional Disturbance",10,0.2,1.7
"Darien School District","=""0350011""","Intellectual Disability",9,0.2,1.5
"Darien School District","=""0350011""","Learning Disability",173,3.6,29.7
"Darien School District","=""0350011""","Other Disabilities",61,1.3,10.5
"Darien School District","=""0350011""","Other Health Impairment",152,3.2,26.1
"Darien School District","=""0350011""","Speech Language Impairment",123,2.6,21.1
"Deep River School District","=""0360011""","All Disabilities",39,10.8,100.0
"Deep River School District","=""0360011""","Autism",6,1.7,15.4
"Deep River School District","=""0360011""","Intellectual Disability","*","*","*"
"Deep River School District","=""0360011""","Learning Disability",16,4.4,41.0
"Deep River School District","=""0360011""","Other Disabilities","*","*","*"
"Deep River School District","=""0360011""","Other Health Impairment",7,1.9,17.9
"Deep River School District","=""0360011""","Speech Language Impairment","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities",6,"*",100.0
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Learning Disability","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Disabilities","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Health Impairment","*","*","*"
"Derby School District","=""0370011""","All Disabilities",162,10.6,100.0
"Derby School District","=""0370011""","Autism",12,0.8,7.4
"Derby School District","=""0370011""","Emotional Disturbance",14,0.9,8.6
"Derby School District","=""0370011""","Intellectual Disability",8,0.5,4.9
"Derby School District","=""0370011""","Learning Disability",40,2.6,24.7
"Derby School District","=""0370011""","Other Disabilities",12,0.8,7.4
"Derby School District","=""0370011""","Other Health Impairment",21,1.4,13.0
"Derby School District","=""0370011""","Speech Language Impairment",55,3.6,34.0
"East Granby School District","=""0400011""","All Disabilities",85,9.7,100.0
"East Granby School District","=""0400011""","Autism",7,0.8,8.2
"East Granby School District","=""0400011""","Emotional Disturbance","*","*","*"
"East Granby School District","=""0400011""","Intellectual Disability","*","*","*"
"East Granby School District","=""0400011""","Learning Disability",32,3.7,37.6
"East Granby School District","=""0400011""","Other Disabilities","*","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",20,2.3,23.5
"East Granby School District","=""0400011""","Speech Language Impairment",17,1.9,20.0
"East Haddam School District","=""0410011""","All Disabilities",162,12.7,100.0
"East Haddam School District","=""0410011""","Autism",21,1.6,13.0
"East Haddam School District","=""0410011""","Emotional Disturbance",9,0.7,5.6
"East Haddam School District","=""0410011""","Intellectual Disability",9,0.7,5.6
"East Haddam School District","=""0410011""","Learning Disability",41,3.2,25.3
"East Haddam School District","=""0410011""","Other Disabilities",7,0.5,4.3
"East Haddam School District","=""0410011""","Other Health Impairment",24,1.9,14.8
"East Haddam School District","=""0410011""","Speech Language Impairment",51,4.0,31.5
"East Hampton School District","=""0420011""","All Disabilities",143,7.3,100.0
"East Hampton School District","=""0420011""","Autism",27,1.4,18.9
"East Hampton School District","=""0420011""","Emotional Disturbance","*","*","*"
"East Hampton School District","=""0420011""","Intellectual Disability",6,0.3,4.2
"East Hampton School District","=""0420011""","Learning Disability",39,2.0,27.3
"East Hampton School District","=""0420011""","Other Disabilities","*","*","*"
"East Hampton School District","=""0420011""","Other Health Impairment",26,1.3,18.2
"East Hampton School District","=""0420011""","Speech Language Impairment",35,1.8,24.5
"East Hartford School District","=""0430011""","All Disabilities",1092,13.9,100.0
"East Hartford School District","=""0430011""","Autism",90,1.1,8.2
"East Hartford School District","=""0430011""","Emotional Disturbance",127,1.6,11.6
"East Hartford School District","=""0430011""","Intellectual Disability",39,0.5,3.6
"East Hartford School District","=""0430011""","Learning Disability",281,3.6,25.7
"East Hartford School District","=""0430011""","Other Disabilities",90,1.1,8.2
"East Hartford School District","=""0430011""","Other Health Impairment",189,2.4,17.3
"East Hartford School District","=""0430011""","Speech Language Impairment",276,3.5,25.3
"East Haven School District","=""0440011""","All Disabilities",433,12.2,100.0
"East Haven School District","=""0440011""","Autism",48,1.4,11.1
"East Haven School District","=""0440011""","Emotional Disturbance",24,0.7,5.5
"East Haven School District","=""0440011""","Intellectual Disability",17,0.5,3.9
"East Haven School District","=""0440011""","Learning Disability",102,2.9,23.6
"East Haven School District","=""0440011""","Other Disabilities",46,1.3,10.6
"East Haven School District","=""0440011""","Other Health Impairment",87,2.4,20.1
"East Haven School District","=""0440011""","Speech Language Impairment",109,3.1,25.2
"East Lyme School District","=""0450011""","All Disabilities",334,12.2,100.0
"East Lyme School District","=""0450011""","Autism",47,1.7,14.1
"East Lyme School District","=""0450011""","Emotional Disturbance",22,0.8,6.6
"East Lyme School District","=""0450011""","Intellectual Disability",9,0.3,2.7
"East Lyme School District","=""0450011""","Learning Disability",125,4.6,37.4
"East Lyme School District","=""0450011""","Other Disabilities",19,0.7,5.7
"East Lyme School District","=""0450011""","Other Health Impairment",82,3.0,24.6
"East Lyme School District","=""0450011""","Speech Language Impairment",30,1.1,9.0
"East Windsor School District","=""0470011""","All Disabilities",166,12.4,100.0
"East Windsor School District","=""0470011""","Autism",16,1.2,9.6
"East Windsor School District","=""0470011""","Emotional Disturbance",20,1.5,12.0
"East Windsor School District","=""0470011""","Intellectual Disability",10,0.7,6.0
"East Windsor School District","=""0470011""","Learning Disability",58,4.3,34.9
"East Windsor School District","=""0470011""","Other Disabilities",13,1.0,7.8
"East Windsor School District","=""0470011""","Other Health Impairment",29,2.2,17.5
"East Windsor School District","=""0470011""","Speech Language Impairment",20,1.5,12.0
"Eastford School District","=""0390011""","All Disabilities",29,12.6,100.0
"Eastford School District","=""0390011""","Autism","*","*","*"
"Eastford School District","=""0390011""","Emotional Disturbance","*","*","*"
"Eastford School District","=""0390011""","Intellectual Disability","*","*","*"
"Eastford School District","=""0390011""","Learning Disability","*","*","*"
"Eastford School District","=""0390011""","Other Health Impairment","*","*","*"
"Eastford School District","=""0390011""","Speech Language Impairment",13,5.7,44.8
"Easton School District","=""0460011""","All Disabilities",75,7.2,100.0
"Easton School District","=""0460011""","Autism",13,1.3,17.3
"Easton School District","=""0460011""","Emotional Disturbance","*","*","*"
"Easton School District","=""0460011""","Intellectual Disability","*","*","*"
"Easton School District","=""0460011""","Learning Disability",21,2.0,28.0
"Easton School District","=""0460011""","Other Disabilities","*","*","*"
"Easton School District","=""0460011""","Other Health Impairment",17,1.6,22.7
"Easton School District","=""0460011""","Speech Language Impairment",15,1.4,20.0
"Ellington School District","=""0480011""","All Disabilities",273,9.9,100.0
"Ellington School District","=""0480011""","Autism","*","*","*"
"Ellington School District","=""0480011""","Emotional Disturbance",26,0.9,9.5
"Ellington School District","=""0480011""","Intellectual Disability","*","*","*"
"Ellington School District","=""0480011""","Learning Disability",127,4.6,46.5
"Ellington School District","=""0480011""","Other Disabilities",36,1.3,13.2
"Ellington School District","=""0480011""","Other Health Impairment",22,0.8,8.1
"Ellington School District","=""0480011""","Speech Language Impairment",37,1.3,13.6
"Enfield School District","=""0490011""","All Disabilities",751,13.0,100.0
"Enfield School District","=""0490011""","Autism",72,1.3,9.6
"Enfield School District","=""0490011""","Emotional Disturbance",85,1.5,11.3
"Enfield School District","=""0490011""","Intellectual Disability",31,0.5,4.1
"Enfield School District","=""0490011""","Learning Disability",229,4.0,30.5
"Enfield School District","=""0490011""","Other Disabilities",75,1.3,10.0
"Enfield School District","=""0490011""","Other Health Impairment",79,1.4,10.5
"Enfield School District","=""0490011""","Speech Language Impairment",180,3.1,24.0
"Essex School District","=""0500011""","All Disabilities",42,8.0,100.0
"Essex School District","=""0500011""","Autism",6,1.1,14.3
"Essex School District","=""0500011""","Emotional Disturbance","*","*","*"
"Essex School District","=""0500011""","Learning Disability",6,1.1,14.3
"Essex School District","=""0500011""","Other Disabilities","*","*","*"
"Essex School District","=""0500011""","Other Health Impairment",7,1.3,16.7
"Essex School District","=""0500011""","Speech Language Impairment",18,3.4,42.9
"Fairfield School District","=""0510011""","All Disabilities",1058,10.3,100.0
"Fairfield School District","=""0510011""","Autism",144,1.4,13.6
"Fairfield School District","=""0510011""","Emotional Disturbance",42,0.4,4.0
"Fairfield School District","=""0510011""","Intellectual Disability",28,0.3,2.6
"Fairfield School District","=""0510011""","Learning Disability",357,3.5,33.7
"Fairfield School District","=""0510011""","Other Disabilities",45,0.4,4.3
"Fairfield School District","=""0510011""","Other Health Impairment",241,2.4,22.8
"Fairfield School District","=""0510011""","Speech Language Impairment",201,2.0,19.0
"Farmington School District","=""0520011""","All Disabilities",403,9.9,100.0
"Farmington School District","=""0520011""","Autism",78,1.9,19.4
"Farmington School District","=""0520011""","Emotional Disturbance",32,0.8,7.9
"Farmington School District","=""0520011""","Intellectual Disability",15,0.4,3.7
"Farmington School District","=""0520011""","Learning Disability",94,2.3,23.3
"Farmington School District","=""0520011""","Other Disabilities",27,0.7,6.7
"Farmington School District","=""0520011""","Other Health Impairment",81,2.0,20.1
"Farmington School District","=""0520011""","Speech Language Impairment",76,1.9,18.9
"Franklin School District","=""0530011""","All Disabilities",31,11.2,100.0
"Franklin School District","=""0530011""","Autism","*","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance","*","*","*"
"Franklin School District","=""0530011""","Intellectual Disability","*","*","*"
"Franklin School District","=""0530011""","Learning Disability",12,4.3,38.7
"Franklin School District","=""0530011""","Other Health Impairment","*","*","*"
"Franklin School District","=""0530011""","Speech Language Impairment",8,2.9,25.8
"Glastonbury School District","=""0540011""","All Disabilities",616,9.1,100.0
"Glastonbury School District","=""0540011""","Autism",79,1.2,12.8
"Glastonbury School District","=""0540011""","Emotional Disturbance",57,0.8,9.3
"Glastonbury School District","=""0540011""","Intellectual Disability",15,0.2,2.4
"Glastonbury School District","=""0540011""","Learning Disability",157,2.3,25.5
"Glastonbury School District","=""0540011""","Other Disabilities",50,0.7,8.1
"Glastonbury School District","=""0540011""","Other Health Impairment",154,2.3,25.0
"Glastonbury School District","=""0540011""","Speech Language Impairment",104,1.5,16.9
"Granby School District","=""0560011""","All Disabilities",188,8.7,100.0
"Granby School District","=""0560011""","Autism",14,0.6,7.4
"Granby School District","=""0560011""","Emotional Disturbance",13,0.6,6.9
"Granby School District","=""0560011""","Intellectual Disability",8,0.4,4.3
"Granby School District","=""0560011""","Learning Disability",64,3.0,34.0
"Granby School District","=""0560011""","Other Disabilities",6,0.3,3.2
"Granby School District","=""0560011""","Other Health Impairment",42,1.9,22.3
"Granby School District","=""0560011""","Speech Language Impairment",41,1.9,21.8
"Greenwich School District","=""0570011""","All Disabilities",861,10.0,100.0
"Greenwich School District","=""0570011""","Autism",86,1.0,10.0
"Greenwich School District","=""0570011""","Emotional Disturbance",54,0.6,6.3
"Greenwich School District","=""0570011""","Intellectual Disability",27,0.3,3.1
"Greenwich School District","=""0570011""","Learning Disability",322,3.7,37.4
"Greenwich School District","=""0570011""","Other Disabilities",27,0.3,3.1
"Greenwich School District","=""0570011""","Other Health Impairment",152,1.8,17.7
"Greenwich School District","=""0570011""","Speech Language Impairment",193,2.2,22.4
"Griswold School District","=""0580011""","All Disabilities",224,12.5,100.0
"Griswold School District","=""0580011""","Autism",18,1.0,8.0
"Griswold School District","=""0580011""","Emotional Disturbance",28,1.6,12.5
"Griswold School District","=""0580011""","Intellectual Disability",6,0.3,2.7
"Griswold School District","=""0580011""","Learning Disability",72,4.0,32.1
"Griswold School District","=""0580011""","Other Disabilities",15,0.8,6.7
"Griswold School District","=""0580011""","Other Health Impairment",52,2.9,23.2
"Griswold School District","=""0580011""","Speech Language Impairment",33,1.8,14.7
"Groton School District","=""0590011""","All Disabilities",683,13.7,100.0
"Groton School District","=""0590011""","Autism",90,1.8,13.2
"Groton School District","=""0590011""","Emotional Disturbance",62,1.2,9.1
"Groton School District","=""0590011""","Intellectual Disability",36,0.7,5.3
"Groton School District","=""0590011""","Learning Disability",195,3.9,28.6
"Groton School District","=""0590011""","Other Disabilities",77,1.5,11.3
"Groton School District","=""0590011""","Other Health Impairment",102,2.0,14.9
"Groton School District","=""0590011""","Speech Language Impairment",121,2.4,17.7
"Guilford School District","=""0600011""","All Disabilities",374,10.2,100.0
"Guilford School District","=""0600011""","Autism",53,1.4,14.2
"Guilford School District","=""0600011""","Emotional Disturbance",42,1.1,11.2
"Guilford School District","=""0600011""","Intellectual Disability",16,0.4,4.3
