"Primary Disability (K-12), 2015-16"
"All Districts"

"",,,"2015-16",,
"East Granby School District","=""0400011""","All Disabilities",100,11.2,100.0
"East Granby School District","=""0400011""","Autism",11,1.2,11.0
"East Granby School District","=""0400011""","Emotional Disturbance",8,0.9,8.0
"East Granby School District","=""0400011""","Intellectual Disability","*","*","*"
"East Granby School District","=""0400011""","Learning Disability",40,4.5,40.0
"East Granby School District","=""0400011""","Other Disabilities","*","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",15,1.7,15.0
"East Granby School District","=""0400011""","Speech Language Impairment",19,2.1,19.0
"East Haddam School District","=""0410011""","All Disabilities",162,14.8,100.0
"East Haddam School District","=""0410011""","Autism",33,3.0,20.4
"East Haddam School District","=""0410011""","Emotional Disturbance","*","*","*"
"East Haddam School District","=""0410011""","Intellectual Disability",8,0.7,4.9
"East Haddam School District","=""0410011""","Learning Disability",41,3.7,25.3
"East Haddam School District","=""0410011""","Other Disabilities","*","*","*"
"East Haddam School District","=""0410011""","Other Health Impairment",24,2.2,14.8
"East Haddam School District","=""0410011""","Speech Language Impairment",48,4.4,29.6
"East Hampton School District","=""0420011""","All Disabilities",159,8.2,100.0
"East Hampton School District","=""0420011""","Autism",38,2.0,23.9
"East Hampton School District","=""0420011""","Emotional Disturbance",7,0.4,4.4
"East Hampton School District","=""0420011""","Intellectual Disability","*","*","*"
"East Hampton School District","=""0420011""","Learning Disability",46,2.4,28.9
"East Hampton School District","=""0420011""","Other Disabilities","*","*","*"
"East Hampton School District","=""0420011""","Other Health Impairment",25,1.3,15.7
"East Hampton School District","=""0420011""","Speech Language Impairment",36,1.9,22.6
"East Hartford School District","=""0430011""","All Disabilities",1150,14.8,100.0
"East Hartford School District","=""0430011""","Autism",143,1.8,12.4
"East Hartford School District","=""0430011""","Emotional Disturbance",114,1.5,9.9
"East Hartford School District","=""0430011""","Intellectual Disability",38,0.5,3.3
"East Hartford School District","=""0430011""","Learning Disability",326,4.2,28.3
"East Hartford School District","=""0430011""","Other Disabilities",104,1.3,9.0
"East Hartford School District","=""0430011""","Other Health Impairment",255,3.3,22.2
"East Hartford School District","=""0430011""","Speech Language Impairment",170,2.2,14.8
"East Haven School District","=""0440011""","All Disabilities",439,13.3,100.0
"East Haven School District","=""0440011""","Autism",61,1.8,13.9
"East Haven School District","=""0440011""","Emotional Disturbance",33,1.0,7.5
"East Haven School District","=""0440011""","Intellectual Disability",19,0.6,4.3
"East Haven School District","=""0440011""","Learning Disability",144,4.3,32.8
"East Haven School District","=""0440011""","Other Disabilities",39,1.2,8.9
"East Haven School District","=""0440011""","Other Health Impairment",75,2.3,17.1
"East Haven School District","=""0440011""","Speech Language Impairment",68,2.1,15.5
"East Lyme School District","=""0450011""","All Disabilities",327,12.8,100.0
"East Lyme School District","=""0450011""","Autism",45,1.8,13.8
"East Lyme School District","=""0450011""","Emotional Disturbance",13,0.5,4.0
"East Lyme School District","=""0450011""","Intellectual Disability",8,0.3,2.4
"East Lyme School District","=""0450011""","Learning Disability",135,5.3,41.3
"East Lyme School District","=""0450011""","Other Disabilities",10,0.4,3.1
"East Lyme School District","=""0450011""","Other Health Impairment",75,2.9,22.9
"East Lyme School District","=""0450011""","Speech Language Impairment",41,1.6,12.5
"East Windsor School District","=""0470011""","All Disabilities",191,16.0,100.0
"East Windsor School District","=""0470011""","Autism",25,2.1,13.1
"East Windsor School District","=""0470011""","Emotional Disturbance",21,1.8,11.0
"East Windsor School District","=""0470011""","Intellectual Disability",11,0.9,5.8
"East Windsor School District","=""0470011""","Learning Disability",71,5.9,37.2
"East Windsor School District","=""0470011""","Other Disabilities",12,1.0,6.3
"East Windsor School District","=""0470011""","Other Health Impairment",27,2.3,14.1
"East Windsor School District","=""0470011""","Speech Language Impairment",24,2.0,12.6
"Eastford School District","=""0390011""","All Disabilities",25,14.2,100.0
"Eastford School District","=""0390011""","Autism","*","*","*"
"Eastford School District","=""0390011""","Learning Disability",6,3.4,24.0
"Eastford School District","=""0390011""","Other Disabilities","*","*","*"
"Eastford School District","=""0390011""","Other Health Impairment","*","*","*"
"Eastford School District","=""0390011""","Speech Language Impairment",9,5.1,36.0
"Easton School District","=""0460011""","All Disabilities",85,9.5,100.0
"Easton School District","=""0460011""","Autism","*","*","*"
"Easton School District","=""0460011""","Emotional Disturbance",6,0.7,7.1
"Easton School District","=""0460011""","Intellectual Disability","*","*","*"
"Easton School District","=""0460011""","Learning Disability",29,3.2,34.1
"Easton School District","=""0460011""","Other Disabilities",9,1.0,10.6
"Easton School District","=""0460011""","Other Health Impairment",16,1.8,18.8
"Easton School District","=""0460011""","Speech Language Impairment",19,2.1,22.4
"Ellington School District","=""0480011""","All Disabilities",296,11.0,100.0
"Ellington School District","=""0480011""","Autism",28,1.0,9.5
"Ellington School District","=""0480011""","Emotional Disturbance",25,0.9,8.4
"Ellington School District","=""0480011""","Intellectual Disability","*","*","*"
"Ellington School District","=""0480011""","Learning Disability",135,5.0,45.6
"Ellington School District","=""0480011""","Other Disabilities",30,1.1,10.1
"Ellington School District","=""0480011""","Other Health Impairment",49,1.8,16.6
"Ellington School District","=""0480011""","Speech Language Impairment","*","*","*"
"Enfield School District","=""0490011""","All Disabilities",779,14.5,100.0
"Enfield School District","=""0490011""","Autism",96,1.8,12.3
"Enfield School District","=""0490011""","Emotional Disturbance",77,1.4,9.9
"Enfield School District","=""0490011""","Intellectual Disability",24,0.4,3.1
"Enfield School District","=""0490011""","Learning Disability",270,5.0,34.7
"Enfield School District","=""0490011""","Other Disabilities",61,1.1,7.8
"Enfield School District","=""0490011""","Other Health Impairment",108,2.0,13.9
"Enfield School District","=""0490011""","Speech Language Impairment",143,2.7,18.4
"Essex School District","=""0500011""","All Disabilities",54,14.7,100.0
"Essex School District","=""0500011""","Autism",10,2.7,18.5
"Essex School District","=""0500011""","Emotional Disturbance","*","*","*"
"Essex School District","=""0500011""","Learning Disability",13,3.5,24.1
"Essex School District","=""0500011""","Other Disabilities","*","*","*"
"Essex School District","=""0500011""","Other Health Impairment",8,2.2,14.8
"Essex School District","=""0500011""","Speech Language Impairment",16,4.4,29.6
"Fairfield School District","=""0510011""","All Disabilities",1066,10.6,100.0
"Fairfield School District","=""0510011""","Autism",124,1.2,11.6
"Fairfield School District","=""0510011""","Emotional Disturbance",55,0.5,5.2
"Fairfield School District","=""0510011""","Intellectual Disability",31,0.3,2.9
"Fairfield School District","=""0510011""","Learning Disability",344,3.4,32.3
"Fairfield School District","=""0510011""","Other Disabilities",44,0.4,4.1
"Fairfield School District","=""0510011""","Other Health Impairment",260,2.6,24.4
"Fairfield School District","=""0510011""","Speech Language Impairment",208,2.1,19.5
"Farmington School District","=""0520011""","All Disabilities",478,11.8,100.0
"Farmington School District","=""0520011""","Autism",89,2.2,18.6
"Farmington School District","=""0520011""","Emotional Disturbance",41,1.0,8.6
"Farmington School District","=""0520011""","Intellectual Disability",13,0.3,2.7
"Farmington School District","=""0520011""","Learning Disability",128,3.2,26.8
"Farmington School District","=""0520011""","Other Disabilities",23,0.6,4.8
"Farmington School District","=""0520011""","Other Health Impairment",104,2.6,21.8
"Farmington School District","=""0520011""","Speech Language Impairment",80,2.0,16.7
"Franklin School District","=""0530011""","All Disabilities",31,12.8,100.0
"Franklin School District","=""0530011""","Autism","*","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance","*","*","*"
"Franklin School District","=""0530011""","Intellectual Disability","*","*","*"
"Franklin School District","=""0530011""","Learning Disability",11,4.5,35.5
"Franklin School District","=""0530011""","Other Disabilities","*","*","*"
"Franklin School District","=""0530011""","Other Health Impairment",9,3.7,29.0
"Franklin School District","=""0530011""","Speech Language Impairment","*","*","*"
"Glastonbury School District","=""0540011""","All Disabilities",639,10.3,100.0
"Glastonbury School District","=""0540011""","Autism",101,1.6,15.8
"Glastonbury School District","=""0540011""","Emotional Disturbance",39,0.6,6.1
"Glastonbury School District","=""0540011""","Intellectual Disability",16,0.3,2.5
"Glastonbury School District","=""0540011""","Learning Disability",200,3.2,31.3
"Glastonbury School District","=""0540011""","Other Disabilities",35,0.6,5.5
"Glastonbury School District","=""0540011""","Other Health Impairment",154,2.5,24.1
"Glastonbury School District","=""0540011""","Speech Language Impairment",94,1.5,14.7
"Granby School District","=""0560011""","All Disabilities",215,11.1,100.0
"Granby School District","=""0560011""","Autism",25,1.3,11.6
"Granby School District","=""0560011""","Emotional Disturbance",18,0.9,8.4
"Granby School District","=""0560011""","Intellectual Disability",7,0.4,3.3
"Granby School District","=""0560011""","Learning Disability",65,3.4,30.2
"Granby School District","=""0560011""","Other Disabilities",7,0.4,3.3
"Granby School District","=""0560011""","Other Health Impairment",67,3.5,31.2
"Granby School District","=""0560011""","Speech Language Impairment",26,1.3,12.1
"Greenwich School District","=""0570011""","All Disabilities",892,10.4,100.0
"Greenwich School District","=""0570011""","Autism",107,1.3,12.0
"Greenwich School District","=""0570011""","Emotional Disturbance",57,0.7,6.4
"Greenwich School District","=""0570011""","Intellectual Disability",23,0.3,2.6
"Greenwich School District","=""0570011""","Learning Disability",383,4.5,42.9
"Greenwich School District","=""0570011""","Other Disabilities",24,0.3,2.7
"Greenwich School District","=""0570011""","Other Health Impairment",163,1.9,18.3
"Greenwich School District","=""0570011""","Speech Language Impairment",135,1.6,15.1
"Griswold School District","=""0580011""","All Disabilities",242,14.1,100.0
"Griswold School District","=""0580011""","Autism",32,1.9,13.2
"Griswold School District","=""0580011""","Emotional Disturbance",30,1.7,12.4
"Griswold School District","=""0580011""","Intellectual Disability",9,0.5,3.7
"Griswold School District","=""0580011""","Learning Disability",68,3.9,28.1
"Griswold School District","=""0580011""","Other Disabilities",11,0.6,4.5
"Griswold School District","=""0580011""","Other Health Impairment",62,3.6,25.6
"Griswold School District","=""0580011""","Speech Language Impairment",30,1.7,12.4
"Groton School District","=""0590011""","All Disabilities",740,15.5,100.0
"Groton School District","=""0590011""","Autism",101,2.1,13.6
"Groton School District","=""0590011""","Emotional Disturbance",77,1.6,10.4
"Groton School District","=""0590011""","Intellectual Disability",33,0.7,4.5
"Groton School District","=""0590011""","Learning Disability",222,4.7,30.0
"Groton School District","=""0590011""","Other Disabilities",67,1.4,9.1
"Groton School District","=""0590011""","Other Health Impairment",113,2.4,15.3
"Groton School District","=""0590011""","Speech Language Impairment",127,2.7,17.2
"Guilford School District","=""0600011""","All Disabilities",397,11.6,100.0
"Guilford School District","=""0600011""","Autism",67,2.0,16.9
"Guilford School District","=""0600011""","Emotional Disturbance",35,1.0,8.8
"Guilford School District","=""0600011""","Intellectual Disability",19,0.6,4.8
"Guilford School District","=""0600011""","Learning Disability",118,3.5,29.7
