"Primary Disability (K-12), 2010-11"
"All Districts"

"",,,"2010-11",,
"Berlin School District","=""0070011""","All Disabilities",308,9.8,100.0
"Berlin School District","=""0070011""","Autism",39,1.2,12.7
"Berlin School District","=""0070011""","Emotional Disturbance",17,0.5,5.5
"Berlin School District","=""0070011""","Intellectual Disability","*","*","*"
"Berlin School District","=""0070011""","Learning Disability",88,2.8,28.6
"Berlin School District","=""0070011""","Other Disabilities","*","*","*"
"Berlin School District","=""0070011""","Other Health Impairment",64,2.0,20.8
"Berlin School District","=""0070011""","Speech Language Impairment",84,2.7,27.3
"Bethany School District","=""0080011""","All Disabilities",63,12.5,100.0
"Bethany School District","=""0080011""","Autism","*","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*","*"
"Bethany School District","=""0080011""","Intellectual Disability","*","*","*"
"Bethany School District","=""0080011""","Learning Disability",27,5.4,42.9
"Bethany School District","=""0080011""","Other Disabilities","*","*","*"
"Bethany School District","=""0080011""","Other Health Impairment",8,1.6,12.7
"Bethany School District","=""0080011""","Speech Language Impairment",17,3.4,27.0
"Bethel School District","=""0090011""","All Disabilities",314,10.8,100.0
"Bethel School District","=""0090011""","Autism",30,1.0,9.6
"Bethel School District","=""0090011""","Emotional Disturbance",17,0.6,5.4
"Bethel School District","=""0090011""","Intellectual Disability",7,0.2,2.2
"Bethel School District","=""0090011""","Learning Disability",128,4.4,40.8
"Bethel School District","=""0090011""","Other Disabilities",41,1.4,13.1
"Bethel School District","=""0090011""","Other Health Impairment",37,1.3,11.8
"Bethel School District","=""0090011""","Speech Language Impairment",54,1.9,17.2
"Bloomfield School District","=""0110011""","All Disabilities",217,9.2,100.0
"Bloomfield School District","=""0110011""","Autism",12,0.5,5.5
"Bloomfield School District","=""0110011""","Emotional Disturbance",32,1.4,14.7
"Bloomfield School District","=""0110011""","Intellectual Disability",16,0.7,7.4
"Bloomfield School District","=""0110011""","Learning Disability",64,2.7,29.5
"Bloomfield School District","=""0110011""","Other Disabilities",23,1.0,10.6
"Bloomfield School District","=""0110011""","Other Health Impairment",22,0.9,10.1
"Bloomfield School District","=""0110011""","Speech Language Impairment",48,2.0,22.1
"Bolton School District","=""0120011""","All Disabilities",81,9.6,100.0
"Bolton School District","=""0120011""","Autism","*","*","*"
"Bolton School District","=""0120011""","Emotional Disturbance",12,1.4,14.8
"Bolton School District","=""0120011""","Intellectual Disability",9,1.1,11.1
"Bolton School District","=""0120011""","Learning Disability",21,2.5,25.9
"Bolton School District","=""0120011""","Other Disabilities","*","*","*"
"Bolton School District","=""0120011""","Other Health Impairment",21,2.5,25.9
"Bolton School District","=""0120011""","Speech Language Impairment",9,1.1,11.1
"Bozrah School District","=""0130011""","All Disabilities",49,14.0,100.0
"Bozrah School District","=""0130011""","Autism","*","*","*"
"Bozrah School District","=""0130011""","Emotional Disturbance","*","*","*"
"Bozrah School District","=""0130011""","Learning Disability",17,4.8,34.7
"Bozrah School District","=""0130011""","Other Disabilities",8,2.3,16.3
"Bozrah School District","=""0130011""","Other Health Impairment",9,2.6,18.4
"Bozrah School District","=""0130011""","Speech Language Impairment",8,2.3,16.3
"Branford School District","=""0140011""","All Disabilities",463,13.4,100.0
"Branford School District","=""0140011""","Autism",40,1.2,8.6
"Branford School District","=""0140011""","Emotional Disturbance",50,1.5,10.8
"Branford School District","=""0140011""","Intellectual Disability",23,0.7,5.0
"Branford School District","=""0140011""","Learning Disability",126,3.7,27.2
"Branford School District","=""0140011""","Other Disabilities",12,0.3,2.6
"Branford School District","=""0140011""","Other Health Impairment",102,3.0,22.0
"Branford School District","=""0140011""","Speech Language Impairment",110,3.2,23.8
"Bridgeport School District","=""0150011""","All Disabilities",2664,12.4,100.0
"Bridgeport School District","=""0150011""","Autism",160,0.7,6.0
"Bridgeport School District","=""0150011""","Emotional Disturbance",241,1.1,9.0
"Bridgeport School District","=""0150011""","Intellectual Disability",125,0.6,4.7
"Bridgeport School District","=""0150011""","Learning Disability",964,4.5,36.2
"Bridgeport School District","=""0150011""","Other Disabilities",315,1.5,11.8
"Bridgeport School District","=""0150011""","Other Health Impairment",400,1.9,15.0
"Bridgeport School District","=""0150011""","Speech Language Impairment",459,2.1,17.2
"Bristol School District","=""0170011""","All Disabilities",1182,14.0,100.0
"Bristol School District","=""0170011""","Autism",57,0.7,4.8
"Bristol School District","=""0170011""","Emotional Disturbance",104,1.2,8.8
"Bristol School District","=""0170011""","Intellectual Disability",20,0.2,1.7
"Bristol School District","=""0170011""","Learning Disability",375,4.4,31.7
"Bristol School District","=""0170011""","Other Disabilities",107,1.3,9.1
"Bristol School District","=""0170011""","Other Health Impairment",289,3.4,24.5
"Bristol School District","=""0170011""","Speech Language Impairment",230,2.7,19.5
"Brookfield School District","=""0180011""","All Disabilities",234,8.1,100.0
"Brookfield School District","=""0180011""","Autism",39,1.4,16.7
"Brookfield School District","=""0180011""","Emotional Disturbance","*","*","*"
"Brookfield School District","=""0180011""","Intellectual Disability","*","*","*"
"Brookfield School District","=""0180011""","Learning Disability",62,2.1,26.5
"Brookfield School District","=""0180011""","Other Disabilities",19,0.7,8.1
"Brookfield School District","=""0180011""","Other Health Impairment",50,1.7,21.4
"Brookfield School District","=""0180011""","Speech Language Impairment",46,1.6,19.7
"Brooklyn School District","=""0190011""","All Disabilities",135,11.1,100.0
"Brooklyn School District","=""0190011""","Autism","*","*","*"
"Brooklyn School District","=""0190011""","Emotional Disturbance",14,1.2,10.4
"Brooklyn School District","=""0190011""","Intellectual Disability","*","*","*"
"Brooklyn School District","=""0190011""","Learning Disability",56,4.6,41.5
"Brooklyn School District","=""0190011""","Other Disabilities",9,0.7,6.7
"Brooklyn School District","=""0190011""","Other Health Impairment",19,1.6,14.1
"Brooklyn School District","=""0190011""","Speech Language Impairment",27,2.2,20.0
"Canaan School District","=""0210011""","All Disabilities",16,17.6,100.0
"Canaan School District","=""0210011""","Emotional Disturbance","*","*","*"
"Canaan School District","=""0210011""","Learning Disability",6,6.6,37.5
"Canaan School District","=""0210011""","Other Disabilities","*","*","*"
"Canaan School District","=""0210011""","Speech Language Impairment",7,7.7,43.8
"Canterbury School District","=""0220011""","All Disabilities",73,10.5,100.0
"Canterbury School District","=""0220011""","Autism",10,1.4,13.7
"Canterbury School District","=""0220011""","Emotional Disturbance","*","*","*"
"Canterbury School District","=""0220011""","Intellectual Disability","*","*","*"
"Canterbury School District","=""0220011""","Learning Disability",18,2.6,24.7
"Canterbury School District","=""0220011""","Other Disabilities",8,1.2,11.0
"Canterbury School District","=""0220011""","Other Health Impairment",18,2.6,24.7
"Canterbury School District","=""0220011""","Speech Language Impairment",10,1.4,13.7
"Canton School District","=""0230011""","All Disabilities",153,8.6,100.0
"Canton School District","=""0230011""","Autism",21,1.2,13.7
"Canton School District","=""0230011""","Emotional Disturbance",9,0.5,5.9
"Canton School District","=""0230011""","Intellectual Disability",7,0.4,4.6
"Canton School District","=""0230011""","Learning Disability",57,3.2,37.3
"Canton School District","=""0230011""","Other Disabilities",8,0.4,5.2
"Canton School District","=""0230011""","Other Health Impairment",36,2.0,23.5
"Canton School District","=""0230011""","Speech Language Impairment",15,0.8,9.8
"Chaplin School District","=""0240011""","All Disabilities",16,10.4,100.0
"Chaplin School District","=""0240011""","Intellectual Disability","*","*","*"
"Chaplin School District","=""0240011""","Learning Disability","*","*","*"
"Chaplin School District","=""0240011""","Other Disabilities","*","*","*"
"Chaplin School District","=""0240011""","Other Health Impairment","*","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment",8,5.2,50.0
"Cheshire School District","=""0250011""","All Disabilities",460,9.7,100.0
"Cheshire School District","=""0250011""","Autism",55,1.2,12.0
"Cheshire School District","=""0250011""","Emotional Disturbance",33,0.7,7.2
"Cheshire School District","=""0250011""","Intellectual Disability",21,0.4,4.6
"Cheshire School District","=""0250011""","Learning Disability",124,2.6,27.0
"Cheshire School District","=""0250011""","Other Disabilities",35,0.7,7.6
"Cheshire School District","=""0250011""","Other Health Impairment",118,2.5,25.7
"Cheshire School District","=""0250011""","Speech Language Impairment",74,1.6,16.1
"Chester School District","=""0260011""","All Disabilities",32,11.6,100.0
"Chester School District","=""0260011""","Autism","*","*","*"
"Chester School District","=""0260011""","Intellectual Disability","*","*","*"
"Chester School District","=""0260011""","Learning Disability",11,4.0,34.4
"Chester School District","=""0260011""","Other Disabilities","*","*","*"
"Chester School District","=""0260011""","Other Health Impairment",9,3.3,28.1
"Chester School District","=""0260011""","Speech Language Impairment",6,2.2,18.8
"Clinton School District","=""0270011""","All Disabilities",248,12.3,100.0
"Clinton School District","=""0270011""","Autism",19,0.9,7.7
"Clinton School District","=""0270011""","Emotional Disturbance",19,0.9,7.7
"Clinton School District","=""0270011""","Intellectual Disability",6,0.3,2.4
"Clinton School District","=""0270011""","Learning Disability",95,4.7,38.3
"Clinton School District","=""0270011""","Other Disabilities",21,1.0,8.5
"Clinton School District","=""0270011""","Other Health Impairment",46,2.3,18.5
"Clinton School District","=""0270011""","Speech Language Impairment",42,2.1,16.9
"Colchester School District","=""0280011""","All Disabilities",366,11.9,100.0
"Colchester School District","=""0280011""","Autism",30,1.0,8.2
"Colchester School District","=""0280011""","Emotional Disturbance",40,1.3,10.9
"Colchester School District","=""0280011""","Intellectual Disability",14,0.5,3.8
"Colchester School District","=""0280011""","Learning Disability",113,3.7,30.9
"Colchester School District","=""0280011""","Other Disabilities",16,0.5,4.4
"Colchester School District","=""0280011""","Other Health Impairment",42,1.4,11.5
"Colchester School District","=""0280011""","Speech Language Impairment",111,3.6,30.3
"Colebrook School District","=""0290011""","All Disabilities",20,17.4,100.0
"Colebrook School District","=""0290011""","Autism","*","*","*"
"Colebrook School District","=""0290011""","Emotional Disturbance","*","*","*"
"Colebrook School District","=""0290011""","Intellectual Disability","*","*","*"
"Colebrook School District","=""0290011""","Learning Disability",6,5.2,30.0
"Colebrook School District","=""0290011""","Other Disabilities","*","*","*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment",6,5.2,30.0
"Columbia School District","=""0300011""","All Disabilities",60,7.9,100.0
"Columbia School District","=""0300011""","Autism","*","*","*"
"Columbia School District","=""0300011""","Emotional Disturbance","*","*","*"
"Columbia School District","=""0300011""","Intellectual Disability","*","*","*"
"Columbia School District","=""0300011""","Learning Disability",16,2.1,26.7
"Columbia School District","=""0300011""","Other Disabilities",6,0.8,10.0
"Columbia School District","=""0300011""","Other Health Impairment",16,2.1,26.7
"Columbia School District","=""0300011""","Speech Language Impairment",15,2.0,25.0
"Connecticut Technical High School System","=""9000016""","All Disabilities",741,7.0,100.0
"Connecticut Technical High School System","=""9000016""","Autism",30,0.3,4.0
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",39,0.4,5.3
"Connecticut Technical High School System","=""9000016""","Intellectual Disability","*","*","*"
"Connecticut Technical High School System","=""9000016""","Learning Disability",420,3.9,56.7
"Connecticut Technical High School System","=""9000016""","Other Disabilities","*","*","*"
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",201,1.9,27.1
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",40,0.4,5.4
"Cornwall School District","=""0310011""","All Disabilities",20,16.8,100.0
"Cornwall School District","=""0310011""","Autism","*","*","*"
"Cornwall School District","=""0310011""","Learning Disability",6,5.0,30.0
"Cornwall School District","=""0310011""","Other Disabilities","*","*","*"
"Cornwall School District","=""0310011""","Other Health Impairment","*","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment","*","*","*"
"Coventry School District","=""0320011""","All Disabilities",209,11.0,100.0
"Coventry School District","=""0320011""","Autism","*","*","*"
"Coventry School District","=""0320011""","Emotional Disturbance",37,2.0,17.7
"Coventry School District","=""0320011""","Intellectual Disability","*","*","*"
"Coventry School District","=""0320011""","Learning Disability",73,3.9,34.9
"Coventry School District","=""0320011""","Other Disabilities",22,1.2,10.5
"Coventry School District","=""0320011""","Other Health Impairment",24,1.3,11.5
"Coventry School District","=""0320011""","Speech Language Impairment",35,1.8,16.7
"Cromwell School District","=""0330011""","All Disabilities",195,9.6,100.0
"Cromwell School District","=""0330011""","Autism",19,0.9,9.7
"Cromwell School District","=""0330011""","Emotional Disturbance",8,0.4,4.1
"Cromwell School District","=""0330011""","Intellectual Disability",8,0.4,4.1
"Cromwell School District","=""0330011""","Learning Disability",44,2.2,22.6
"Cromwell School District","=""0330011""","Other Disabilities",16,0.8,8.2
"Cromwell School District","=""0330011""","Other Health Impairment",31,1.5,15.9
"Cromwell School District","=""0330011""","Speech Language Impairment",69,3.4,35.4
"Danbury School District","=""0340011""","All Disabilities",1116,11.1,100.0
"Danbury School District","=""0340011""","Autism",96,1.0,8.6
"Danbury School District","=""0340011""","Emotional Disturbance",59,0.6,5.3
"Danbury School District","=""0340011""","Intellectual Disability",44,0.4,3.9
"Danbury School District","=""0340011""","Learning Disability",470,4.7,42.1
"Danbury School District","=""0340011""","Other Disabilities",122,1.2,10.9
"Danbury School District","=""0340011""","Other Health Impairment",169,1.7,15.1
"Danbury School District","=""0340011""","Speech Language Impairment",156,1.5,14.0
"Darien School District","=""0350011""","All Disabilities",522,10.8,100.0
"Darien School District","=""0350011""","Autism",51,1.1,9.8
"Darien School District","=""0350011""","Emotional Disturbance",14,0.3,2.7
"Darien School District","=""0350011""","Intellectual Disability",10,0.2,1.9
"Darien School District","=""0350011""","Learning Disability",168,3.5,32.2
"Darien School District","=""0350011""","Other Disabilities",33,0.7,6.3
"Darien School District","=""0350011""","Other Health Impairment",129,2.7,24.7
"Darien School District","=""0350011""","Speech Language Impairment",117,2.4,22.4
"Deep River School District","=""0360011""","All Disabilities",35,9.8,100.0
"Deep River School District","=""0360011""","Autism",9,2.5,25.7
"Deep River School District","=""0360011""","Emotional Disturbance","*","*","*"
"Deep River School District","=""0360011""","Intellectual Disability","*","*","*"
"Deep River School District","=""0360011""","Learning Disability",10,2.8,28.6
"Deep River School District","=""0360011""","Other Health Impairment","*","*","*"
"Deep River School District","=""0360011""","Speech Language Impairment",6,1.7,17.1
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities",6,"*",100.0
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Learning Disability","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Health Impairment","*","*","*"
"Derby School District","=""0370011""","All Disabilities",153,9.9,100.0
"Derby School District","=""0370011""","Autism",7,0.5,4.6
"Derby School District","=""0370011""","Emotional Disturbance",12,0.8,7.8
"Derby School District","=""0370011""","Intellectual Disability",9,0.6,5.9
"Derby School District","=""0370011""","Learning Disability",32,2.1,20.9
"Derby School District","=""0370011""","Other Disabilities",15,1.0,9.8
"Derby School District","=""0370011""","Other Health Impairment",29,1.9,19.0
"Derby School District","=""0370011""","Speech Language Impairment",49,3.2,32.0
"East Granby School District","=""0400011""","All Disabilities",90,9.9,100.0
"East Granby School District","=""0400011""","Autism",8,0.9,8.9
"East Granby School District","=""0400011""","Emotional Disturbance",6,0.7,6.7
"East Granby School District","=""0400011""","Intellectual Disability","*","*","*"
"East Granby School District","=""0400011""","Learning Disability",33,3.6,36.7
"East Granby School District","=""0400011""","Other Disabilities","*","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",19,2.1,21.1
"East Granby School District","=""0400011""","Speech Language Impairment",18,2.0,20.0
"East Haddam School District","=""0410011""","All Disabilities",155,11.5,100.0
"East Haddam School District","=""0410011""","Autism",18,1.3,11.6
"East Haddam School District","=""0410011""","Emotional Disturbance",10,0.7,6.5
"East Haddam School District","=""0410011""","Intellectual Disability",10,0.7,6.5
"East Haddam School District","=""0410011""","Learning Disability",43,3.2,27.7
"East Haddam School District","=""0410011""","Other Disabilities",7,0.5,4.5
"East Haddam School District","=""0410011""","Other Health Impairment",20,1.5,12.9
"East Haddam School District","=""0410011""","Speech Language Impairment",47,3.5,30.3
"East Hampton School District","=""0420011""","All Disabilities",146,7.4,100.0
"East Hampton School District","=""0420011""","Autism",26,1.3,17.8
"East Hampton School District","=""0420011""","Emotional Disturbance",12,0.6,8.2
"East Hampton School District","=""0420011""","Intellectual Disability",7,0.4,4.8
"East Hampton School District","=""0420011""","Learning Disability",31,1.6,21.2
"East Hampton School District","=""0420011""","Other Disabilities",6,0.3,4.1
"East Hampton School District","=""0420011""","Other Health Impairment",32,1.6,21.9
"East Hampton School District","=""0420011""","Speech Language Impairment",32,1.6,21.9
"East Hartford School District","=""0430011""","All Disabilities",1058,13.7,100.0
"East Hartford School District","=""0430011""","Autism",76,1.0,7.2
"East Hartford School District","=""0430011""","Emotional Disturbance",122,1.6,11.5
"East Hartford School District","=""0430011""","Intellectual Disability",39,0.5,3.7
"East Hartford School District","=""0430011""","Learning Disability",272,3.5,25.7
"East Hartford School District","=""0430011""","Other Disabilities",97,1.3,9.2
"East Hartford School District","=""0430011""","Other Health Impairment",159,2.1,15.0
"East Hartford School District","=""0430011""","Speech Language Impairment",293,3.8,27.7
"East Haven School District","=""0440011""","All Disabilities",435,11.9,100.0
"East Haven School District","=""0440011""","Autism",39,1.1,9.0
"East Haven School District","=""0440011""","Emotional Disturbance",23,0.6,5.3
"East Haven School District","=""0440011""","Intellectual Disability",15,0.4,3.4
"East Haven School District","=""0440011""","Learning Disability",110,3.0,25.3
"East Haven School District","=""0440011""","Other Disabilities",35,1.0,8.0
"East Haven School District","=""0440011""","Other Health Impairment",95,2.6,21.8
"East Haven School District","=""0440011""","Speech Language Impairment",118,3.2,27.1
"East Lyme School District","=""0450011""","All Disabilities",339,12.0,100.0
"East Lyme School District","=""0450011""","Autism",44,1.6,13.0
"East Lyme School District","=""0450011""","Emotional Disturbance",21,0.7,6.2
"East Lyme School District","=""0450011""","Intellectual Disability",11,0.4,3.2
"East Lyme School District","=""0450011""","Learning Disability",113,4.0,33.3
"East Lyme School District","=""0450011""","Other Disabilities",29,1.0,8.6
"East Lyme School District","=""0450011""","Other Health Impairment",86,3.0,25.4
"East Lyme School District","=""0450011""","Speech Language Impairment",35,1.2,10.3
"East Windsor School District","=""0470011""","All Disabilities",167,12.3,100.0
"East Windsor School District","=""0470011""","Autism",14,1.0,8.4
"East Windsor School District","=""0470011""","Emotional Disturbance",16,1.2,9.6
"East Windsor School District","=""0470011""","Intellectual Disability",11,0.8,6.6
"East Windsor School District","=""0470011""","Learning Disability",65,4.8,38.9
"East Windsor School District","=""0470011""","Other Disabilities",13,1.0,7.8
"East Windsor School District","=""0470011""","Other Health Impairment",28,2.1,16.8
"East Windsor School District","=""0470011""","Speech Language Impairment",20,1.5,12.0
"Eastford School District","=""0390011""","All Disabilities",31,12.8,100.0
"Eastford School District","=""0390011""","Autism","*","*","*"
"Eastford School District","=""0390011""","Emotional Disturbance","*","*","*"
"Eastford School District","=""0390011""","Intellectual Disability","*","*","*"
"Eastford School District","=""0390011""","Learning Disability",6,2.5,19.4
"Eastford School District","=""0390011""","Other Disabilities","*","*","*"
"Eastford School District","=""0390011""","Other Health Impairment","*","*","*"
"Eastford School District","=""0390011""","Speech Language Impairment",10,4.1,32.3
"Easton School District","=""0460011""","All Disabilities",88,8.2,100.0
"Easton School District","=""0460011""","Autism",12,1.1,13.6
"Easton School District","=""0460011""","Emotional Disturbance","*","*","*"
"Easton School District","=""0460011""","Intellectual Disability","*","*","*"
"Easton School District","=""0460011""","Learning Disability",28,2.6,31.8
"Easton School District","=""0460011""","Other Disabilities",9,0.8,10.2
"Easton School District","=""0460011""","Other Health Impairment",15,1.4,17.0
"Easton School District","=""0460011""","Speech Language Impairment",20,1.9,22.7
"Ellington School District","=""0480011""","All Disabilities",265,9.7,100.0
"Ellington School District","=""0480011""","Autism","*","*","*"
"Ellington School District","=""0480011""","Emotional Disturbance",25,0.9,9.4
"Ellington School District","=""0480011""","Intellectual Disability","*","*","*"
"Ellington School District","=""0480011""","Learning Disability",117,4.3,44.2
"Ellington School District","=""0480011""","Other Disabilities",36,1.3,13.6
"Ellington School District","=""0480011""","Other Health Impairment",27,1.0,10.2
"Ellington School District","=""0480011""","Speech Language Impairment",35,1.3,13.2
"Enfield School District","=""0490011""","All Disabilities",779,13.1,100.0
"Enfield School District","=""0490011""","Autism",71,1.2,9.1
"Enfield School District","=""0490011""","Emotional Disturbance",80,1.3,10.3
"Enfield School District","=""0490011""","Intellectual Disability",36,0.6,4.6
"Enfield School District","=""0490011""","Learning Disability",254,4.3,32.6
"Enfield School District","=""0490011""","Other Disabilities",67,1.1,8.6
"Enfield School District","=""0490011""","Other Health Impairment",84,1.4,10.8
"Enfield School District","=""0490011""","Speech Language Impairment",187,3.2,24.0
"Essex School District","=""0500011""","All Disabilities",41,7.5,100.0
"Essex School District","=""0500011""","Autism",7,1.3,17.1
"Essex School District","=""0500011""","Emotional Disturbance","*","*","*"
"Essex School District","=""0500011""","Learning Disability",10,1.8,24.4
"Essex School District","=""0500011""","Other Disabilities","*","*","*"
"Essex School District","=""0500011""","Other Health Impairment","*","*","*"
"Essex School District","=""0500011""","Speech Language Impairment",16,2.9,39.0
"Fairfield School District","=""0510011""","All Disabilities",1030,10.2,100.0
"Fairfield School District","=""0510011""","Autism",133,1.3,12.9
"Fairfield School District","=""0510011""","Emotional Disturbance",44,0.4,4.3
"Fairfield School District","=""0510011""","Intellectual Disability",29,0.3,2.8
"Fairfield School District","=""0510011""","Learning Disability",360,3.6,35.0
"Fairfield School District","=""0510011""","Other Disabilities",42,0.4,4.1
"Fairfield School District","=""0510011""","Other Health Impairment",223,2.2,21.7
"Fairfield School District","=""0510011""","Speech Language Impairment",199,2.0,19.3
"Farmington School District","=""0520011""","All Disabilities",419,10.2,100.0
"Farmington School District","=""0520011""","Autism",71,1.7,16.9
"Farmington School District","=""0520011""","Emotional Disturbance",31,0.8,7.4
"Farmington School District","=""0520011""","Intellectual Disability",17,0.4,4.1
"Farmington School District","=""0520011""","Learning Disability",108,2.6,25.8
"Farmington School District","=""0520011""","Other Disabilities",20,0.5,4.8
"Farmington School District","=""0520011""","Other Health Impairment",80,1.9,19.1
"Farmington School District","=""0520011""","Speech Language Impairment",92,2.2,22.0
"Franklin School District","=""0530011""","All Disabilities",32,10.9,100.0
"Franklin School District","=""0530011""","Autism","*","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance","*","*","*"
"Franklin School District","=""0530011""","Intellectual Disability","*","*","*"
"Franklin School District","=""0530011""","Learning Disability",12,4.1,37.5
"Franklin School District","=""0530011""","Other Health Impairment","*","*","*"
"Franklin School District","=""0530011""","Speech Language Impairment",10,3.4,31.3
"Glastonbury School District","=""0540011""","All Disabilities",674,9.7,100.0
"Glastonbury School District","=""0540011""","Autism",81,1.2,12.0
"Glastonbury School District","=""0540011""","Emotional Disturbance",54,0.8,8.0
"Glastonbury School District","=""0540011""","Intellectual Disability",10,0.1,1.5
"Glastonbury School District","=""0540011""","Learning Disability",199,2.9,29.5
"Glastonbury School District","=""0540011""","Other Disabilities",60,0.9,8.9
"Glastonbury School District","=""0540011""","Other Health Impairment",156,2.2,23.1
"Glastonbury School District","=""0540011""","Speech Language Impairment",114,1.6,16.9
"Granby School District","=""0560011""","All Disabilities",176,8.0,100.0
"Granby School District","=""0560011""","Autism",13,0.6,7.4
"Granby School District","=""0560011""","Emotional Disturbance",13,0.6,7.4
"Granby School District","=""0560011""","Intellectual Disability","*","*","*"
"Granby School District","=""0560011""","Learning Disability",59,2.7,33.5
"Granby School District","=""0560011""","Other Disabilities","*","*","*"
"Granby School District","=""0560011""","Other Health Impairment",41,1.9,23.3
"Granby School District","=""0560011""","Speech Language Impairment",40,1.8,22.7
"Greenwich School District","=""0570011""","All Disabilities",903,10.4,100.0
"Greenwich School District","=""0570011""","Autism",85,1.0,9.4
"Greenwich School District","=""0570011""","Emotional Disturbance",51,0.6,5.6
"Greenwich School District","=""0570011""","Intellectual Disability",26,0.3,2.9
"Greenwich School District","=""0570011""","Learning Disability",335,3.9,37.1
"Greenwich School District","=""0570011""","Other Disabilities",28,0.3,3.1
"Greenwich School District","=""0570011""","Other Health Impairment",157,1.8,17.4
"Greenwich School District","=""0570011""","Speech Language Impairment",221,2.6,24.5
"Griswold School District","=""0580011""","All Disabilities",226,12.4,100.0
"Griswold School District","=""0580011""","Autism",16,0.9,7.1
"Griswold School District","=""0580011""","Emotional Disturbance",23,1.3,10.2
"Griswold School District","=""0580011""","Intellectual Disability",7,0.4,3.1
"Griswold School District","=""0580011""","Learning Disability",81,4.5,35.8
"Griswold School District","=""0580011""","Other Disabilities",11,0.6,4.9
"Griswold School District","=""0580011""","Other Health Impairment",50,2.8,22.1
"Griswold School District","=""0580011""","Speech Language Impairment",38,2.1,16.8
"Groton School District","=""0590011""","All Disabilities",628,12.8,100.0
"Groton School District","=""0590011""","Autism",79,1.6,12.6
"Groton School District","=""0590011""","Emotional Disturbance",55,1.1,8.8
"Groton School District","=""0590011""","Intellectual Disability",34,0.7,5.4
"Groton School District","=""0590011""","Learning Disability",185,3.8,29.5
"Groton School District","=""0590011""","Other Disabilities",75,1.5,11.9
"Groton School District","=""0590011""","Other Health Impairment",81,1.6,12.9
"Groton School District","=""0590011""","Speech Language Impairment",119,2.4,18.9
