"Primary Disability (K-12), 2012-13"
"All Districts"

"",,,"2012-13",,
"Clinton School District","=""0270011""","All Disabilities",196,10.0,100.0
"Clinton School District","=""0270011""","Autism",24,1.2,12.2
"Clinton School District","=""0270011""","Emotional Disturbance",15,0.8,7.7
"Clinton School District","=""0270011""","Intellectual Disability","*","*","*"
"Clinton School District","=""0270011""","Learning Disability",62,3.2,31.6
"Clinton School District","=""0270011""","Other Disabilities","*","*","*"
"Clinton School District","=""0270011""","Other Health Impairment",40,2.0,20.4
"Clinton School District","=""0270011""","Speech Language Impairment",38,1.9,19.4
"Colchester School District","=""0280011""","All Disabilities",345,11.9,100.0
"Colchester School District","=""0280011""","Autism",35,1.2,10.1
"Colchester School District","=""0280011""","Emotional Disturbance",41,1.4,11.9
"Colchester School District","=""0280011""","Intellectual Disability",16,0.6,4.6
"Colchester School District","=""0280011""","Learning Disability",105,3.6,30.4
"Colchester School District","=""0280011""","Other Disabilities",11,0.4,3.2
"Colchester School District","=""0280011""","Other Health Impairment",51,1.8,14.8
"Colchester School District","=""0280011""","Speech Language Impairment",86,3.0,24.9
"Colebrook School District","=""0290011""","All Disabilities",15,14.2,100.0
"Colebrook School District","=""0290011""","Autism","*","*","*"
"Colebrook School District","=""0290011""","Emotional Disturbance","*","*","*"
"Colebrook School District","=""0290011""","Intellectual Disability","*","*","*"
"Colebrook School District","=""0290011""","Learning Disability","*","*","*"
"Colebrook School District","=""0290011""","Other Disabilities","*","*","*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment","*","*","*"
"Columbia School District","=""0300011""","All Disabilities",69,9.7,100.0
"Columbia School District","=""0300011""","Autism","*","*","*"
"Columbia School District","=""0300011""","Emotional Disturbance",8,1.1,11.6
"Columbia School District","=""0300011""","Intellectual Disability","*","*","*"
"Columbia School District","=""0300011""","Learning Disability",24,3.4,34.8
"Columbia School District","=""0300011""","Other Disabilities",7,1.0,10.1
"Columbia School District","=""0300011""","Other Health Impairment",18,2.5,26.1
"Columbia School District","=""0300011""","Speech Language Impairment",8,1.1,11.6
"Connecticut Technical High School System","=""9000016""","All Disabilities",797,7.5,100.0
"Connecticut Technical High School System","=""9000016""","Autism",38,0.4,4.8
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",36,0.3,4.5
"Connecticut Technical High School System","=""9000016""","Intellectual Disability","*","*","*"
"Connecticut Technical High School System","=""9000016""","Learning Disability",457,4.3,57.3
"Connecticut Technical High School System","=""9000016""","Other Disabilities","*","*","*"
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",208,2.0,26.1
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",46,0.4,5.8
"Cornwall School District","=""0310011""","All Disabilities",16,15.5,100.0
"Cornwall School District","=""0310011""","Autism","*","*","*"
"Cornwall School District","=""0310011""","Learning Disability","*","*","*"
"Cornwall School District","=""0310011""","Other Disabilities","*","*","*"
"Cornwall School District","=""0310011""","Other Health Impairment","*","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment","*","*","*"
"Coventry School District","=""0320011""","All Disabilities",211,11.6,100.0
"Coventry School District","=""0320011""","Autism","*","*","*"
"Coventry School District","=""0320011""","Emotional Disturbance",28,1.5,13.3
"Coventry School District","=""0320011""","Intellectual Disability","*","*","*"
"Coventry School District","=""0320011""","Learning Disability",74,4.1,35.1
"Coventry School District","=""0320011""","Other Disabilities",22,1.2,10.4
"Coventry School District","=""0320011""","Other Health Impairment",24,1.3,11.4
"Coventry School District","=""0320011""","Speech Language Impairment",42,2.3,19.9
"Cromwell School District","=""0330011""","All Disabilities",199,9.8,100.0
"Cromwell School District","=""0330011""","Autism",27,1.3,13.6
"Cromwell School District","=""0330011""","Emotional Disturbance",9,0.4,4.5
"Cromwell School District","=""0330011""","Intellectual Disability",9,0.4,4.5
"Cromwell School District","=""0330011""","Learning Disability",54,2.7,27.1
"Cromwell School District","=""0330011""","Other Disabilities",25,1.2,12.6
"Cromwell School District","=""0330011""","Other Health Impairment",21,1.0,10.6
"Cromwell School District","=""0330011""","Speech Language Impairment",54,2.7,27.1
"Danbury School District","=""0340011""","All Disabilities",1122,10.9,100.0
"Danbury School District","=""0340011""","Autism",114,1.1,10.2
"Danbury School District","=""0340011""","Emotional Disturbance",60,0.6,5.3
"Danbury School District","=""0340011""","Intellectual Disability",49,0.5,4.4
"Danbury School District","=""0340011""","Learning Disability",464,4.5,41.4
"Danbury School District","=""0340011""","Other Disabilities",108,1.0,9.6
"Danbury School District","=""0340011""","Other Health Impairment",171,1.7,15.2
"Danbury School District","=""0340011""","Speech Language Impairment",156,1.5,13.9
"Darien School District","=""0350011""","All Disabilities",583,12.0,100.0
"Darien School District","=""0350011""","Autism",56,1.2,9.6
"Darien School District","=""0350011""","Emotional Disturbance",16,0.3,2.7
"Darien School District","=""0350011""","Intellectual Disability",9,0.2,1.5
"Darien School District","=""0350011""","Learning Disability",179,3.7,30.7
"Darien School District","=""0350011""","Other Disabilities",53,1.1,9.1
"Darien School District","=""0350011""","Other Health Impairment",155,3.2,26.6
"Darien School District","=""0350011""","Speech Language Impairment",115,2.4,19.7
"Deep River School District","=""0360011""","All Disabilities",41,11.8,100.0
"Deep River School District","=""0360011""","Autism",8,2.3,19.5
"Deep River School District","=""0360011""","Emotional Disturbance","*","*","*"
"Deep River School District","=""0360011""","Intellectual Disability","*","*","*"
"Deep River School District","=""0360011""","Learning Disability",13,3.7,31.7
"Deep River School District","=""0360011""","Other Disabilities","*","*","*"
"Deep River School District","=""0360011""","Other Health Impairment",8,2.3,19.5
"Deep River School District","=""0360011""","Speech Language Impairment",7,2.0,17.1
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Disabilities","*","*","*"
"Derby School District","=""0370011""","All Disabilities",188,12.0,100.0
"Derby School District","=""0370011""","Autism",15,1.0,8.0
"Derby School District","=""0370011""","Emotional Disturbance",14,0.9,7.4
"Derby School District","=""0370011""","Intellectual Disability",7,0.4,3.7
"Derby School District","=""0370011""","Learning Disability",51,3.3,27.1
"Derby School District","=""0370011""","Other Disabilities",9,0.6,4.8
"Derby School District","=""0370011""","Other Health Impairment",28,1.8,14.9
"Derby School District","=""0370011""","Speech Language Impairment",64,4.1,34.0
"East Granby School District","=""0400011""","All Disabilities",91,10.1,100.0
"East Granby School District","=""0400011""","Autism",9,1.0,9.9
"East Granby School District","=""0400011""","Emotional Disturbance","*","*","*"
"East Granby School District","=""0400011""","Intellectual Disability","*","*","*"
"East Granby School District","=""0400011""","Learning Disability",37,4.1,40.7
"East Granby School District","=""0400011""","Other Disabilities","*","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",17,1.9,18.7
"East Granby School District","=""0400011""","Speech Language Impairment",17,1.9,18.7
"East Haddam School District","=""0410011""","All Disabilities",160,12.7,100.0
"East Haddam School District","=""0410011""","Autism",22,1.7,13.8
"East Haddam School District","=""0410011""","Emotional Disturbance","*","*","*"
"East Haddam School District","=""0410011""","Intellectual Disability",10,0.8,6.3
"East Haddam School District","=""0410011""","Learning Disability",44,3.5,27.5
"East Haddam School District","=""0410011""","Other Disabilities","*","*","*"
"East Haddam School District","=""0410011""","Other Health Impairment",25,2.0,15.6
"East Haddam School District","=""0410011""","Speech Language Impairment",46,3.6,28.8
"East Hampton School District","=""0420011""","All Disabilities",152,7.8,100.0
"East Hampton School District","=""0420011""","Autism",31,1.6,20.4
"East Hampton School District","=""0420011""","Emotional Disturbance","*","*","*"
"East Hampton School District","=""0420011""","Intellectual Disability","*","*","*"
"East Hampton School District","=""0420011""","Learning Disability",38,2.0,25.0
"East Hampton School District","=""0420011""","Other Disabilities","*","*","*"
"East Hampton School District","=""0420011""","Other Health Impairment",22,1.1,14.5
"East Hampton School District","=""0420011""","Speech Language Impairment",48,2.5,31.6
"East Hartford School District","=""0430011""","All Disabilities",1089,14.0,100.0
"East Hartford School District","=""0430011""","Autism",98,1.3,9.0
"East Hartford School District","=""0430011""","Emotional Disturbance",113,1.5,10.4
"East Hartford School District","=""0430011""","Intellectual Disability",37,0.5,3.4
"East Hartford School District","=""0430011""","Learning Disability",282,3.6,25.9
"East Hartford School District","=""0430011""","Other Disabilities",94,1.2,8.6
"East Hartford School District","=""0430011""","Other Health Impairment",204,2.6,18.7
"East Hartford School District","=""0430011""","Speech Language Impairment",261,3.4,24.0
"East Haven School District","=""0440011""","All Disabilities",442,12.6,100.0
"East Haven School District","=""0440011""","Autism",57,1.6,12.9
"East Haven School District","=""0440011""","Emotional Disturbance",29,0.8,6.6
"East Haven School District","=""0440011""","Intellectual Disability",15,0.4,3.4
"East Haven School District","=""0440011""","Learning Disability",109,3.1,24.7
"East Haven School District","=""0440011""","Other Disabilities",46,1.3,10.4
"East Haven School District","=""0440011""","Other Health Impairment",85,2.4,19.2
"East Haven School District","=""0440011""","Speech Language Impairment",101,2.9,22.9
"East Lyme School District","=""0450011""","All Disabilities",326,12.1,100.0
"East Lyme School District","=""0450011""","Autism",45,1.7,13.8
"East Lyme School District","=""0450011""","Emotional Disturbance",16,0.6,4.9
"East Lyme School District","=""0450011""","Intellectual Disability",8,0.3,2.5
"East Lyme School District","=""0450011""","Learning Disability",127,4.7,39.0
"East Lyme School District","=""0450011""","Other Disabilities",17,0.6,5.2
"East Lyme School District","=""0450011""","Other Health Impairment",79,2.9,24.2
"East Lyme School District","=""0450011""","Speech Language Impairment",34,1.3,10.4
"East Windsor School District","=""0470011""","All Disabilities",203,15.3,100.0
"East Windsor School District","=""0470011""","Autism",19,1.4,9.4
"East Windsor School District","=""0470011""","Emotional Disturbance",30,2.3,14.8
"East Windsor School District","=""0470011""","Intellectual Disability",11,0.8,5.4
"East Windsor School District","=""0470011""","Learning Disability",70,5.3,34.5
"East Windsor School District","=""0470011""","Other Disabilities",14,1.1,6.9
"East Windsor School District","=""0470011""","Other Health Impairment",35,2.6,17.2
"East Windsor School District","=""0470011""","Speech Language Impairment",24,1.8,11.8
"Eastford School District","=""0390011""","All Disabilities",28,13.0,100.0
"Eastford School District","=""0390011""","Autism","*","*","*"
"Eastford School District","=""0390011""","Emotional Disturbance","*","*","*"
"Eastford School District","=""0390011""","Intellectual Disability","*","*","*"
"Eastford School District","=""0390011""","Learning Disability","*","*","*"
"Eastford School District","=""0390011""","Other Disabilities","*","*","*"
"Eastford School District","=""0390011""","Other Health Impairment",7,3.3,25.0
"Eastford School District","=""0390011""","Speech Language Impairment",8,3.7,28.6
"Easton School District","=""0460011""","All Disabilities",75,7.5,100.0
"Easton School District","=""0460011""","Autism",11,1.1,14.7
"Easton School District","=""0460011""","Emotional Disturbance","*","*","*"
"Easton School District","=""0460011""","Intellectual Disability","*","*","*"
"Easton School District","=""0460011""","Learning Disability",23,2.3,30.7
"Easton School District","=""0460011""","Other Disabilities","*","*","*"
"Easton School District","=""0460011""","Other Health Impairment",16,1.6,21.3
"Easton School District","=""0460011""","Speech Language Impairment",14,1.4,18.7
"Ellington School District","=""0480011""","All Disabilities",287,10.4,100.0
"Ellington School District","=""0480011""","Autism","*","*","*"
"Ellington School District","=""0480011""","Emotional Disturbance",28,1.0,9.8
"Ellington School District","=""0480011""","Intellectual Disability","*","*","*"
"Ellington School District","=""0480011""","Learning Disability",132,4.8,46.0
"Ellington School District","=""0480011""","Other Disabilities",34,1.2,11.8
"Ellington School District","=""0480011""","Other Health Impairment",34,1.2,11.8
"Ellington School District","=""0480011""","Speech Language Impairment",36,1.3,12.5
"Enfield School District","=""0490011""","All Disabilities",746,13.3,100.0
"Enfield School District","=""0490011""","Autism",69,1.2,9.2
"Enfield School District","=""0490011""","Emotional Disturbance",81,1.4,10.9
"Enfield School District","=""0490011""","Intellectual Disability",34,0.6,4.6
"Enfield School District","=""0490011""","Learning Disability",232,4.1,31.1
"Enfield School District","=""0490011""","Other Disabilities",55,1.0,7.4
"Enfield School District","=""0490011""","Other Health Impairment",101,1.8,13.5
"Enfield School District","=""0490011""","Speech Language Impairment",174,3.1,23.3
"Essex School District","=""0500011""","All Disabilities",44,9.1,100.0
"Essex School District","=""0500011""","Autism",8,1.7,18.2
"Essex School District","=""0500011""","Learning Disability","*","*","*"
"Essex School District","=""0500011""","Other Disabilities","*","*","*"
"Essex School District","=""0500011""","Other Health Impairment",12,2.5,27.3
"Essex School District","=""0500011""","Speech Language Impairment",16,3.3,36.4
"Fairfield School District","=""0510011""","All Disabilities",1103,10.8,100.0
"Fairfield School District","=""0510011""","Autism",156,1.5,14.1
"Fairfield School District","=""0510011""","Emotional Disturbance",45,0.4,4.1
"Fairfield School District","=""0510011""","Intellectual Disability",28,0.3,2.5
"Fairfield School District","=""0510011""","Learning Disability",359,3.5,32.5
"Fairfield School District","=""0510011""","Other Disabilities",41,0.4,3.7
"Fairfield School District","=""0510011""","Other Health Impairment",254,2.5,23.0
"Fairfield School District","=""0510011""","Speech Language Impairment",220,2.2,19.9
"Farmington School District","=""0520011""","All Disabilities",438,10.7,100.0
"Farmington School District","=""0520011""","Autism",80,2.0,18.3
"Farmington School District","=""0520011""","Emotional Disturbance",28,0.7,6.4
"Farmington School District","=""0520011""","Intellectual Disability",15,0.4,3.4
"Farmington School District","=""0520011""","Learning Disability",112,2.7,25.6
"Farmington School District","=""0520011""","Other Disabilities",26,0.6,5.9
"Farmington School District","=""0520011""","Other Health Impairment",103,2.5,23.5
"Farmington School District","=""0520011""","Speech Language Impairment",74,1.8,16.9
"Franklin School District","=""0530011""","All Disabilities",33,12.0,100.0
"Franklin School District","=""0530011""","Autism","*","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance","*","*","*"
"Franklin School District","=""0530011""","Intellectual Disability","*","*","*"
"Franklin School District","=""0530011""","Learning Disability",9,3.3,27.3
"Franklin School District","=""0530011""","Other Disabilities","*","*","*"
"Franklin School District","=""0530011""","Other Health Impairment",8,2.9,24.2
"Franklin School District","=""0530011""","Speech Language Impairment",7,2.6,21.2
"Glastonbury School District","=""0540011""","All Disabilities",606,9.0,100.0
"Glastonbury School District","=""0540011""","Autism",78,1.2,12.9
"Glastonbury School District","=""0540011""","Emotional Disturbance",61,0.9,10.1
"Glastonbury School District","=""0540011""","Intellectual Disability",16,0.2,2.6
"Glastonbury School District","=""0540011""","Learning Disability",161,2.4,26.6
"Glastonbury School District","=""0540011""","Other Disabilities",42,0.6,6.9
"Glastonbury School District","=""0540011""","Other Health Impairment",163,2.4,26.9
"Glastonbury School District","=""0540011""","Speech Language Impairment",85,1.3,14.0
"Granby School District","=""0560011""","All Disabilities",183,8.8,100.0
"Granby School District","=""0560011""","Autism",15,0.7,8.2
"Granby School District","=""0560011""","Emotional Disturbance",16,0.8,8.7
"Granby School District","=""0560011""","Intellectual Disability","*","*","*"
"Granby School District","=""0560011""","Learning Disability",66,3.2,36.1
"Granby School District","=""0560011""","Other Disabilities","*","*","*"
"Granby School District","=""0560011""","Other Health Impairment",43,2.1,23.5
"Granby School District","=""0560011""","Speech Language Impairment",32,1.5,17.5
"Greenwich School District","=""0570011""","All Disabilities",867,10.0,100.0
"Greenwich School District","=""0570011""","Autism",85,1.0,9.8
"Greenwich School District","=""0570011""","Emotional Disturbance",51,0.6,5.9
"Greenwich School District","=""0570011""","Intellectual Disability",25,0.3,2.9
"Greenwich School District","=""0570011""","Learning Disability",336,3.9,38.8
"Greenwich School District","=""0570011""","Other Disabilities",37,0.4,4.3
"Greenwich School District","=""0570011""","Other Health Impairment",171,2.0,19.7
"Greenwich School District","=""0570011""","Speech Language Impairment",162,1.9,18.7
"Griswold School District","=""0580011""","All Disabilities",238,13.3,100.0
"Griswold School District","=""0580011""","Autism",24,1.3,10.1
"Griswold School District","=""0580011""","Emotional Disturbance",32,1.8,13.4
"Griswold School District","=""0580011""","Intellectual Disability","*","*","*"
"Griswold School District","=""0580011""","Learning Disability",74,4.1,31.1
"Griswold School District","=""0580011""","Other Disabilities","*","*","*"
"Griswold School District","=""0580011""","Other Health Impairment",57,3.2,23.9
"Griswold School District","=""0580011""","Speech Language Impairment",36,2.0,15.1
"Groton School District","=""0590011""","All Disabilities",706,14.3,100.0
"Groton School District","=""0590011""","Autism",90,1.8,12.7
"Groton School District","=""0590011""","Emotional Disturbance",58,1.2,8.2
"Groton School District","=""0590011""","Intellectual Disability",40,0.8,5.7
"Groton School District","=""0590011""","Learning Disability",220,4.4,31.2
"Groton School District","=""0590011""","Other Disabilities",71,1.4,10.1
"Groton School District","=""0590011""","Other Health Impairment",102,2.1,14.4
"Groton School District","=""0590011""","Speech Language Impairment",125,2.5,17.7
"Guilford School District","=""0600011""","All Disabilities",367,10.2,100.0
"Guilford School District","=""0600011""","Autism",63,1.8,17.2
"Guilford School District","=""0600011""","Emotional Disturbance",40,1.1,10.9
