"Primary Disability (K-12), 2013-14"
"All Districts"

"",,,"2013-14",,
"Coventry School District","=""0320011""","Other Disabilities",23,1.3,10.8
"Coventry School District","=""0320011""","Other Health Impairment",30,1.7,14.1
"Coventry School District","=""0320011""","Speech Language Impairment",35,2.0,16.4
"Cromwell School District","=""0330011""","All Disabilities",205,10.2,100.0
"Cromwell School District","=""0330011""","Autism",33,1.6,16.1
"Cromwell School District","=""0330011""","Emotional Disturbance",10,0.5,4.9
"Cromwell School District","=""0330011""","Intellectual Disability",9,0.4,4.4
"Cromwell School District","=""0330011""","Learning Disability",54,2.7,26.3
"Cromwell School District","=""0330011""","Other Disabilities",22,1.1,10.7
"Cromwell School District","=""0330011""","Other Health Impairment",24,1.2,11.7
"Cromwell School District","=""0330011""","Speech Language Impairment",53,2.6,25.9
"Danbury School District","=""0340011""","All Disabilities",1195,11.4,100.0
"Danbury School District","=""0340011""","Autism",138,1.3,11.5
"Danbury School District","=""0340011""","Emotional Disturbance",56,0.5,4.7
"Danbury School District","=""0340011""","Intellectual Disability",50,0.5,4.2
"Danbury School District","=""0340011""","Learning Disability",514,4.9,43.0
"Danbury School District","=""0340011""","Other Disabilities",126,1.2,10.5
"Danbury School District","=""0340011""","Other Health Impairment",181,1.7,15.1
"Danbury School District","=""0340011""","Speech Language Impairment",130,1.2,10.9
"Darien School District","=""0350011""","All Disabilities",522,10.7,100.0
"Darien School District","=""0350011""","Autism",46,0.9,8.8
"Darien School District","=""0350011""","Emotional Disturbance",20,0.4,3.8
"Darien School District","=""0350011""","Intellectual Disability",10,0.2,1.9
"Darien School District","=""0350011""","Learning Disability",159,3.2,30.5
"Darien School District","=""0350011""","Other Disabilities",43,0.9,8.2
"Darien School District","=""0350011""","Other Health Impairment",148,3.0,28.4
"Darien School District","=""0350011""","Speech Language Impairment",96,2.0,18.4
"Deep River School District","=""0360011""","All Disabilities",43,12.9,100.0
"Deep River School District","=""0360011""","Autism",6,1.8,14.0
"Deep River School District","=""0360011""","Emotional Disturbance","*","*","*"
"Deep River School District","=""0360011""","Intellectual Disability","*","*","*"
"Deep River School District","=""0360011""","Learning Disability",17,5.1,39.5
"Deep River School District","=""0360011""","Other Disabilities","*","*","*"
"Deep River School District","=""0360011""","Other Health Impairment",9,2.7,20.9
"Deep River School District","=""0360011""","Speech Language Impairment","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance","*","*","*"
"Derby School District","=""0370011""","All Disabilities",205,12.9,100.0
"Derby School District","=""0370011""","Autism",18,1.1,8.8
"Derby School District","=""0370011""","Emotional Disturbance",18,1.1,8.8
"Derby School District","=""0370011""","Intellectual Disability",7,0.4,3.4
"Derby School District","=""0370011""","Learning Disability",50,3.1,24.4
"Derby School District","=""0370011""","Other Disabilities",14,0.9,6.8
"Derby School District","=""0370011""","Other Health Impairment",45,2.8,22.0
"Derby School District","=""0370011""","Speech Language Impairment",53,3.3,25.9
"East Granby School District","=""0400011""","All Disabilities",84,9.3,100.0
"East Granby School District","=""0400011""","Autism",10,1.1,11.9
"East Granby School District","=""0400011""","Emotional Disturbance","*","*","*"
"East Granby School District","=""0400011""","Intellectual Disability","*","*","*"
"East Granby School District","=""0400011""","Learning Disability",33,3.7,39.3
"East Granby School District","=""0400011""","Other Disabilities","*","*","*"
"East Granby School District","=""0400011""","Other Health Impairment",12,1.3,14.3
"East Granby School District","=""0400011""","Speech Language Impairment",18,2.0,21.4
"East Haddam School District","=""0410011""","All Disabilities",174,14.4,100.0
"East Haddam School District","=""0410011""","Autism",28,2.3,16.1
"East Haddam School District","=""0410011""","Emotional Disturbance",6,0.5,3.4
"East Haddam School District","=""0410011""","Intellectual Disability",7,0.6,4.0
"East Haddam School District","=""0410011""","Learning Disability",47,3.9,27.0
"East Haddam School District","=""0410011""","Other Disabilities",12,1.0,6.9
"East Haddam School District","=""0410011""","Other Health Impairment",26,2.2,14.9
"East Haddam School District","=""0410011""","Speech Language Impairment",48,4.0,27.6
"East Hampton School District","=""0420011""","All Disabilities",154,7.9,100.0
"East Hampton School District","=""0420011""","Autism",34,1.7,22.1
"East Hampton School District","=""0420011""","Emotional Disturbance","*","*","*"
"East Hampton School District","=""0420011""","Intellectual Disability","*","*","*"
"East Hampton School District","=""0420011""","Learning Disability",38,1.9,24.7
"East Hampton School District","=""0420011""","Other Disabilities",6,0.3,3.9
"East Hampton School District","=""0420011""","Other Health Impairment",21,1.1,13.6
"East Hampton School District","=""0420011""","Speech Language Impairment",46,2.4,29.9
"East Hartford School District","=""0430011""","All Disabilities",1118,14.2,100.0
"East Hartford School District","=""0430011""","Autism",97,1.2,8.7
"East Hartford School District","=""0430011""","Emotional Disturbance",110,1.4,9.8
"East Hartford School District","=""0430011""","Intellectual Disability",34,0.4,3.0
"East Hartford School District","=""0430011""","Learning Disability",292,3.7,26.1
"East Hartford School District","=""0430011""","Other Disabilities",120,1.5,10.7
"East Hartford School District","=""0430011""","Other Health Impairment",232,3.0,20.8
"East Hartford School District","=""0430011""","Speech Language Impairment",233,3.0,20.8
"East Haven School District","=""0440011""","All Disabilities",435,12.9,100.0
"East Haven School District","=""0440011""","Autism",56,1.7,12.9
"East Haven School District","=""0440011""","Emotional Disturbance",36,1.1,8.3
"East Haven School District","=""0440011""","Intellectual Disability",12,0.4,2.8
"East Haven School District","=""0440011""","Learning Disability",111,3.3,25.5
"East Haven School District","=""0440011""","Other Disabilities",45,1.3,10.3
"East Haven School District","=""0440011""","Other Health Impairment",80,2.4,18.4
"East Haven School District","=""0440011""","Speech Language Impairment",95,2.8,21.8
"East Lyme School District","=""0450011""","All Disabilities",335,12.7,100.0
"East Lyme School District","=""0450011""","Autism",49,1.9,14.6
"East Lyme School District","=""0450011""","Emotional Disturbance",17,0.6,5.1
"East Lyme School District","=""0450011""","Intellectual Disability",8,0.3,2.4
"East Lyme School District","=""0450011""","Learning Disability",132,5.0,39.4
"East Lyme School District","=""0450011""","Other Disabilities",16,0.6,4.8
"East Lyme School District","=""0450011""","Other Health Impairment",78,2.9,23.3
"East Lyme School District","=""0450011""","Speech Language Impairment",35,1.3,10.4
"East Windsor School District","=""0470011""","All Disabilities",198,15.2,100.0
"East Windsor School District","=""0470011""","Autism",18,1.4,9.1
"East Windsor School District","=""0470011""","Emotional Disturbance",25,1.9,12.6
"East Windsor School District","=""0470011""","Intellectual Disability",12,0.9,6.1
"East Windsor School District","=""0470011""","Learning Disability",71,5.5,35.9
"East Windsor School District","=""0470011""","Other Disabilities",12,0.9,6.1
"East Windsor School District","=""0470011""","Other Health Impairment",33,2.5,16.7
"East Windsor School District","=""0470011""","Speech Language Impairment",27,2.1,13.6
"Eastford School District","=""0390011""","All Disabilities",22,11.0,100.0
"Eastford School District","=""0390011""","Autism",6,3.0,27.3
"Eastford School District","=""0390011""","Intellectual Disability","*","*","*"
"Eastford School District","=""0390011""","Learning Disability","*","*","*"
"Eastford School District","=""0390011""","Other Disabilities","*","*","*"
"Eastford School District","=""0390011""","Other Health Impairment","*","*","*"
"Eastford School District","=""0390011""","Speech Language Impairment",8,4.0,36.4
"Easton School District","=""0460011""","All Disabilities",85,9.0,100.0
"Easton School District","=""0460011""","Autism",9,1.0,10.6
"Easton School District","=""0460011""","Emotional Disturbance","*","*","*"
"Easton School District","=""0460011""","Intellectual Disability","*","*","*"
"Easton School District","=""0460011""","Learning Disability",28,3.0,32.9
"Easton School District","=""0460011""","Other Disabilities",14,1.5,16.5
"Easton School District","=""0460011""","Other Health Impairment",15,1.6,17.6
"Easton School District","=""0460011""","Speech Language Impairment",16,1.7,18.8
"Ellington School District","=""0480011""","All Disabilities",296,10.9,100.0
"Ellington School District","=""0480011""","Autism","*","*","*"
"Ellington School District","=""0480011""","Emotional Disturbance",27,1.0,9.1
"Ellington School District","=""0480011""","Intellectual Disability","*","*","*"
"Ellington School District","=""0480011""","Learning Disability",146,5.4,49.3
"Ellington School District","=""0480011""","Other Disabilities",37,1.4,12.5
"Ellington School District","=""0480011""","Other Health Impairment",28,1.0,9.5
"Ellington School District","=""0480011""","Speech Language Impairment",32,1.2,10.8
"Enfield School District","=""0490011""","All Disabilities",750,13.8,100.0
"Enfield School District","=""0490011""","Autism",85,1.6,11.3
"Enfield School District","=""0490011""","Emotional Disturbance",71,1.3,9.5
"Enfield School District","=""0490011""","Intellectual Disability",27,0.5,3.6
"Enfield School District","=""0490011""","Learning Disability",231,4.3,30.8
"Enfield School District","=""0490011""","Other Disabilities",61,1.1,8.1
"Enfield School District","=""0490011""","Other Health Impairment",103,1.9,13.7
"Enfield School District","=""0490011""","Speech Language Impairment",172,3.2,22.9
"Essex School District","=""0500011""","All Disabilities",45,9.9,100.0
"Essex School District","=""0500011""","Autism",8,1.8,17.8
"Essex School District","=""0500011""","Emotional Disturbance","*","*","*"
"Essex School District","=""0500011""","Learning Disability",8,1.8,17.8
"Essex School District","=""0500011""","Other Disabilities","*","*","*"
"Essex School District","=""0500011""","Other Health Impairment",7,1.5,15.6
"Essex School District","=""0500011""","Speech Language Impairment",20,4.4,44.4
"Fairfield School District","=""0510011""","All Disabilities",1083,10.6,100.0
"Fairfield School District","=""0510011""","Autism",141,1.4,13.0
"Fairfield School District","=""0510011""","Emotional Disturbance",44,0.4,4.1
"Fairfield School District","=""0510011""","Intellectual Disability",28,0.3,2.6
"Fairfield School District","=""0510011""","Learning Disability",349,3.4,32.2
"Fairfield School District","=""0510011""","Other Disabilities",53,0.5,4.9
"Fairfield School District","=""0510011""","Other Health Impairment",250,2.4,23.1
"Fairfield School District","=""0510011""","Speech Language Impairment",218,2.1,20.1
"Farmington School District","=""0520011""","All Disabilities",436,10.8,100.0
"Farmington School District","=""0520011""","Autism",81,2.0,18.6
"Farmington School District","=""0520011""","Emotional Disturbance",29,0.7,6.7
"Farmington School District","=""0520011""","Intellectual Disability",16,0.4,3.7
"Farmington School District","=""0520011""","Learning Disability",115,2.8,26.4
"Farmington School District","=""0520011""","Other Disabilities",24,0.6,5.5
"Farmington School District","=""0520011""","Other Health Impairment",108,2.7,24.8
"Farmington School District","=""0520011""","Speech Language Impairment",63,1.6,14.4
"Franklin School District","=""0530011""","All Disabilities",34,13.2,100.0
"Franklin School District","=""0530011""","Autism","*","*","*"
"Franklin School District","=""0530011""","Emotional Disturbance","*","*","*"
"Franklin School District","=""0530011""","Intellectual Disability","*","*","*"
"Franklin School District","=""0530011""","Learning Disability",11,4.3,32.4
"Franklin School District","=""0530011""","Other Health Impairment",6,2.3,17.6
"Franklin School District","=""0530011""","Speech Language Impairment",8,3.1,23.5
"Glastonbury School District","=""0540011""","All Disabilities",614,9.4,100.0
"Glastonbury School District","=""0540011""","Autism",83,1.3,13.5
"Glastonbury School District","=""0540011""","Emotional Disturbance",55,0.8,9.0
"Glastonbury School District","=""0540011""","Intellectual Disability",19,0.3,3.1
"Glastonbury School District","=""0540011""","Learning Disability",156,2.4,25.4
"Glastonbury School District","=""0540011""","Other Disabilities",39,0.6,6.4
"Glastonbury School District","=""0540011""","Other Health Impairment",171,2.6,27.9
"Glastonbury School District","=""0540011""","Speech Language Impairment",91,1.4,14.8
"Granby School District","=""0560011""","All Disabilities",192,9.4,100.0
"Granby School District","=""0560011""","Autism",18,0.9,9.4
"Granby School District","=""0560011""","Emotional Disturbance",19,0.9,9.9
"Granby School District","=""0560011""","Intellectual Disability","*","*","*"
"Granby School District","=""0560011""","Learning Disability",62,3.1,32.3
"Granby School District","=""0560011""","Other Disabilities","*","*","*"
"Granby School District","=""0560011""","Other Health Impairment",51,2.5,26.6
"Granby School District","=""0560011""","Speech Language Impairment",28,1.4,14.6
"Greenwich School District","=""0570011""","All Disabilities",854,10.0,100.0
"Greenwich School District","=""0570011""","Autism",91,1.1,10.7
"Greenwich School District","=""0570011""","Emotional Disturbance",53,0.6,6.2
"Greenwich School District","=""0570011""","Intellectual Disability",27,0.3,3.2
"Greenwich School District","=""0570011""","Learning Disability",344,4.0,40.3
"Greenwich School District","=""0570011""","Other Disabilities",28,0.3,3.3
"Greenwich School District","=""0570011""","Other Health Impairment",156,1.8,18.3
"Greenwich School District","=""0570011""","Speech Language Impairment",155,1.8,18.1
"Griswold School District","=""0580011""","All Disabilities",254,14.2,100.0
"Griswold School District","=""0580011""","Autism",26,1.5,10.2
"Griswold School District","=""0580011""","Emotional Disturbance",34,1.9,13.4
"Griswold School District","=""0580011""","Intellectual Disability",7,0.4,2.8
"Griswold School District","=""0580011""","Learning Disability",68,3.8,26.8
"Griswold School District","=""0580011""","Other Disabilities",14,0.8,5.5
"Griswold School District","=""0580011""","Other Health Impairment",63,3.5,24.8
"Griswold School District","=""0580011""","Speech Language Impairment",42,2.3,16.5
"Groton School District","=""0590011""","All Disabilities",728,15.0,100.0
"Groton School District","=""0590011""","Autism",108,2.2,14.8
"Groton School District","=""0590011""","Emotional Disturbance",82,1.7,11.3
"Groton School District","=""0590011""","Intellectual Disability",35,0.7,4.8
"Groton School District","=""0590011""","Learning Disability",210,4.3,28.8
"Groton School District","=""0590011""","Other Disabilities",73,1.5,10.0
"Groton School District","=""0590011""","Other Health Impairment",109,2.2,15.0
"Groton School District","=""0590011""","Speech Language Impairment",111,2.3,15.2
"Guilford School District","=""0600011""","All Disabilities",373,10.5,100.0
"Guilford School District","=""0600011""","Autism",64,1.8,17.2
"Guilford School District","=""0600011""","Emotional Disturbance",39,1.1,10.5
"Guilford School District","=""0600011""","Intellectual Disability",16,0.5,4.3
"Guilford School District","=""0600011""","Learning Disability",109,3.1,29.2
"Guilford School District","=""0600011""","Other Disabilities",20,0.6,5.4
"Guilford School District","=""0600011""","Other Health Impairment",86,2.4,23.1
