"Primary Disability (K-12), 2012-13"
"All Districts, Emotional Disturbance"

"",,"2012-13",,
"Regional School District 18","=""2180012""",15,1.1,9.5
"Regional School District 19","=""2190012""",21,1.9,12.1
"Ridgefield School District","=""1180011""",45,0.9,10.1
"Rocky Hill School District","=""1190011""","*","*","*"
"Salem School District","=""1210011""",6,0.9,9.7
"Salisbury School District","=""1220011""","*","*","*"
"Seymour School District","=""1240011""",13,0.5,5.3
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",33,0.6,5.8
"Sherman School District","=""1270011""","*","*","*"
"Simsbury School District","=""1280011""",21,0.5,3.9
"Somers School District","=""1290011""","*","*","*"
"South Windsor School District","=""1320011""",17,0.4,3.2
"Southington School District","=""1310011""",64,1.0,8.3
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",24,1.5,13.1
"Stamford School District","=""1350011""",38,0.2,2.5
"Sterling School District","=""1360011""",11,1.8,12.1
"Stonington School District","=""1370011""",25,1.0,8.2
"Stratford School District","=""1380011""",42,0.6,5.8
"Suffield School District","=""1390011""",7,0.3,2.8
"Thomaston School District","=""1400011""",6,0.5,4.2
"Thompson School District","=""1410011""",12,1.0,9.3
"Tolland School District","=""1420011""",20,0.7,6.3
"Torrington School District","=""1430011""",63,1.4,8.6
"Trumbull School District","=""1440011""",38,0.6,6.3
"Unified School District #1","=""3360015""",99,15.4,40.6
"Unified School District #2","=""3470015""",106,46.7,60.6
"Vernon School District","=""1460011""",55,1.5,12.3
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",48,0.8,6.3
"Waterbury School District","=""1510011""",236,1.4,8.0
"Waterford School District","=""1520011""",30,1.1,8.5
"Watertown School District","=""1530011""",21,0.7,6.1
"West Hartford School District","=""1550011""",57,0.6,5.2
"West Haven School District","=""1560011""",57,0.8,6.6
"Westbrook School District","=""1540011""",9,1.1,10.3
"Weston School District","=""1570011""","*","*","*"
"Westport School District","=""1580011""",32,0.6,5.5
"Wethersfield School District","=""1590011""",29,0.8,6.4
"Willington School District","=""1600011""","*","*","*"
"Wilton School District","=""1610011""",28,0.7,5.6
"Winchester School District","=""1620011""",28,2.2,11.2
"Windham School District","=""1630011""",84,2.7,16.5
"Windsor Locks School District","=""1650011""",13,0.7,6.3
"Windsor School District","=""1640011""",41,1.0,7.0
"Wolcott School District","=""1660011""",20,0.7,8.7
"Woodbridge School District","=""1670011""",7,1.0,10.8
"Woodstock School District","=""1690011""","*","*","*"

