"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",95,9,9.5,7,7.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",26,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",43,"*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",197,9,4.6,7,3.6
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",13,"*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",183,10,5.5,23,12.6
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",256,"*","*","*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""",32,"*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",383,11,2.9,7,1.8
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",314,19,6.1,8,2.5
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",318,"*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",550,7,1.3,7,1.3
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",193,"*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",686,24,3.5,10,1.5
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",167,7,4.2,13,7.8
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",320,13,4.1,40,12.5
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",278,"*","*","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",443,34,7.7,23,5.2
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",176,13,7.4,37,21.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",33,0,0.0,0,0.0
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",89,"*","*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",73,8,11.0,23,31.5
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",68,0,0.0,"*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",112,12,10.7,29,25.9
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",139,6,4.3,36,25.9
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",120,18,15.0,16,13.3
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",106,"*","*","*","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",54,"*","*","*","*"
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",77,8,10.4,24,31.2
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",70,"*","*","*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",88,"*","*","*","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",94,"*","*","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",214,20,9.3,30,14.0
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",29,"*","*","*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","*","*","*","*","*"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",13,"*","*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",118,"*","*","*","*"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",225,7,3.1,10,4.4
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",6,0,"*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",86,0,0.0,"*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",316,"*","*",0,0.0
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",445,35,7.9,60,13.5
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",329,31,9.4,53,16.1
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",293,19,6.5,71,24.2
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",362,16,4.4,44,12.2
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",256,39,15.2,11,4.3
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",264,19,7.2,6,2.3
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",307,"*","*","*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""",176,7,4.0,14,8.0
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",333,32,9.6,40,12.0
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",612,66,10.8,156,25.5
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",338,"*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",257,"*","*","*","*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",173,6,3.5,12,6.9
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",72,10,13.9,21,29.2
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",153,"*","*","*","*"
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",36,"*","*","*","*"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",260,24,9.2,86,33.1
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",95,"*","*","*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",75,7,9.3,18,24.0
"New Haven School District","=""0930011""","Sound School","=""0936711""",80,"*","*","*","*"
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",305,34,11.1,75,24.6
"New London School District","=""0950011""","New London High School","=""0956111""",253,24,9.5,65,25.7
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",381,8,2.1,33,8.7
"Newington School District","=""0940011""","Newington High School","=""0946111""",373,14,3.8,21,5.6
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",468,"*","*","*","*"
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",170,"*","*","*","*"
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",309,15,4.9,21,6.8
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",48,0,0.0,"*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",385,7,1.8,36,9.4
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",348,10,2.9,27,7.8
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",38,13,34.2,19,50.0
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",573,24,4.2,59,10.3
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",136,0,0.0,7,5.1
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",153,0,0.0,"*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",202,19,9.4,12,5.9
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",202,9,4.5,11,5.4
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",123,6,4.9,9,7.3
"Portland School District","=""1130011""","Portland High School","=""1136111""",92,"*","*","*","*"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",92,12,13.0,6,6.5
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",108,"*","*","*","*"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",162,"*","*","*","*"
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",392,"*","*","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",97,0,0.0,"*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",175,"*","*","*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",272,8,2.9,6,2.2
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",12,6,"*","*","*"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",234,"*","*","*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",198,9,4.5,6,3.0
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",39,0,0.0,"*","*"
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",83,0,0.0,"*","*"
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",146,0,0.0,"*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",197,"*","*","*","*"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",316,"*","*","*","*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",184,7,3.8,11,6.0
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",162,"*","*","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",113,"*","*","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",315,26,8.3,13,4.1
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",409,"*","*","*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",177,11,6.2,7,4.0
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",177,11,6.2,12,6.8
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",390,18,4.6,17,4.4
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",396,"*","*","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""",146,"*","*","*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",376,8,2.1,9,2.4
"Southington School District","=""1310011""","Southington High School","=""1316211""",488,22,4.5,21,4.3
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",127,7,5.5,9,7.1
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",37,21,56.8,6,16.2
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",501,19,3.8,36,7.2
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",164,0,0.0,"*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",546,34,6.2,43,7.9
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",197,"*","*","*","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",287,"*","*","*","*"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",254,7,2.8,16,6.3
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",218,6,2.8,8,3.7
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",35,"*","*","*","*"
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",84,"*","*","*","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",78,"*","*","*","*"
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",85,"*","*","*","*"
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",242,"*","*","*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",268,20,7.5,16,6.0
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",547,"*","*","*","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",235,9,3.8,31,13.2
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",286,10,3.5,14,4.9
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",235,6,2.6,9,3.8
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",359,23,6.4,102,28.4
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",382,8,2.1,109,28.5
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",106,"*","*","*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",360,21,5.8,79,21.9
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",238,"*","*","*","*"
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",271,15,5.5,20,7.4
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",420,"*","*","*","*"
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",391,7,1.8,12,3.1
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",431,31,7.2,95,22.0
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",77,0,0.0,"*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",206,"*","*",0,0.0
"Westport School District","=""1580011""","Staples High School","=""1586111""",463,"*","*",0,0.0
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",264,11,4.2,11,4.2
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",319,"*","*","*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",193,18,9.3,28,14.5
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",136,"*","*","*","*"
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",353,34,9.6,30,8.5
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",220,6,2.7,7,3.2
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",279,"*","*","*","*"

