"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",262,"*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",107,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",34,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",32,6,18.8,8,25.0
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",193,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",24,"*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",190,11,5.8,22,11.6
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",232,9,3.9,14,6.0
"Explorations District","=""2720013""","Explorations","=""2726113""",27,"*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",366,13,3.6,8,2.2
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",356,11,3.1,9,2.5
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",338,"*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",565,"*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",199,"*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",657,12,1.8,8,1.2
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",167,9,5.4,16,9.6
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",315,9,2.9,37,11.7
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",282,10,3.5,9,3.2
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",442,21,4.8,15,3.4
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",202,25,12.4,29,14.4
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",54,0,0.0,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",84,"*","*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",97,15,15.5,24,24.7
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",52,"*","*",0,0.0
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",86,10,11.6,23,26.7
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",134,12,9.0,33,24.6
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",121,18,14.9,16,13.2
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",76,8,10.5,20,26.3
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",73,"*","*","*","*"
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",66,30,45.5,14,21.2
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",72,"*","*","*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",103,"*","*","*","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",80,"*","*","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",204,11,5.4,22,10.8
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",97,"*","*","*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",24,"*","*",0,0.0
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",32,"*","*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",104,"*","*","*","*"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",236,"*","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",67,"*","*","*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",318,"*","*","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",415,22,5.3,31,7.5
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",313,30,9.6,53,16.9
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",292,15,5.1,42,14.4
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",305,10,3.3,22,7.2
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",262,17,6.5,11,4.2
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",240,"*","*","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",295,"*","*","*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""",184,7,3.8,13,7.1
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",331,23,6.9,37,11.2
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",624,96,15.4,119,19.1
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",310,"*","*",0,0.0
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",235,"*","*","*","*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",164,"*","*","*","*"
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",59,12,20.3,19,32.2
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",174,"*","*","*","*"
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",37,"*","*","*","*"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",268,29,10.8,53,19.8
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",92,"*","*","*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",65,"*","*","*","*"
"New Haven School District","=""0930011""","Sound School","=""0936711""",85,0,0.0,6,7.1
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",295,24,8.1,79,26.8
"New London School District","=""0950011""","New London High School","=""0956111""",223,18,8.1,43,19.3
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",377,10,2.7,24,6.4
"Newington School District","=""0940011""","Newington High School","=""0946111""",362,17,4.7,8,2.2
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",419,"*","*","*","*"
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",146,"*","*","*","*"
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",309,7,2.3,19,6.1
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",56,0,0.0,"*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",395,34,8.6,18,4.6
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",375,11,2.9,20,5.3
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",42,28,66.7,"*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",608,12,2.0,63,10.4
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",133,"*","*","*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",173,"*","*","*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",171,10,5.8,16,9.4
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",171,"*","*","*","*"
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",127,"*","*","*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""",112,"*","*","*","*"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",65,"*","*","*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",120,6,5.0,7,5.8
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",136,"*","*","*","*"
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",415,"*","*","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",92,"*","*","*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",186,0,0.0,"*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",290,"*","*","*","*"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",249,"*","*","*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",213,"*","*","*","*"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",39,"*","*","*","*"
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",77,"*","*",0,0.0
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",130,"*","*","*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",207,"*","*","*","*"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",326,"*","*","*","*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",176,"*","*","*","*"
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",151,"*","*",0,0.0
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",108,"*","*","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",285,7,2.5,6,2.1
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",457,"*","*","*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",181,"*","*","*","*"
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",136,6,4.4,10,7.4
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",365,15,4.1,14,3.8
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",387,"*","*","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""",130,0,0.0,"*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",332,"*","*","*","*"
"Southington School District","=""1310011""","Southington High School","=""1316211""",506,21,4.2,8,1.6
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",139,"*","*","*","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",57,32,56.1,11,19.3
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",472,20,4.2,22,4.7
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",166,0,0.0,"*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",535,28,5.2,35,6.5
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",174,"*","*","*","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",334,"*","*","*","*"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",285,"*","*","*","*"
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",213,"*","*","*","*"
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",34,"*","*","*","*"
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",83,"*","*","*","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",71,"*","*",0,0.0
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",84,0,0.0,7,8.3
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",226,"*","*","*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",257,11,4.3,21,8.2
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",548,9,1.6,6,1.1
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",293,19,6.5,29,9.9
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",254,"*","*","*","*"
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",225,"*","*","*","*"
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",396,22,5.6,89,22.5
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",375,14,3.7,107,28.5
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",120,"*","*","*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",365,23,6.3,102,27.9
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",197,0,0.0,10,5.1
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",230,11,4.8,8,3.5
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",346,"*","*","*","*"
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",370,"*","*","*","*"
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",409,28,6.8,69,16.9
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",70,"*","*",0,0.0
"Weston School District","=""1570011""","Weston High School","=""1576111""",177,"*","*","*","*"
"Westport School District","=""1580011""","Staples High School","=""1586111""",447,"*","*","*","*"
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",305,13,4.3,10,3.3
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",296,"*","*",0,0.0
"Windham School District","=""1630011""","Windham High School","=""1636111""",181,7,3.9,40,22.1
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",129,"*","*","*","*"
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",293,16,5.5,11,3.8
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",242,"*","*","*","*"
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",271,"*","*","*","*"

