"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",86,80,93.0
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",106,96,90.6
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",86,77,89.5
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",188,147,78.2
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",128,115,89.8
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",208,192,92.3
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",102,100,98.0
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",329,323,98.2
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",476,366,76.9
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",323,227,70.3
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",299,208,69.6
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",329,259,78.7
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",266,216,81.2
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",246,224,91.1
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",337,"*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""",210,187,89.0
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",366,310,84.7
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",633,401,63.3
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",326,319,97.9
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",231,226,97.8
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",136,123,90.4
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",76,41,53.9
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",156,138,88.5
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",48,38,79.2
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",246,135,54.9
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",44,36,81.8
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",44,30,68.2
"New Haven School District","=""0930011""","Sound School","=""0936711""",84,78,92.9
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",413,285,69.0
"New London School District","=""0950011""","New London High School","=""0956111""",225,146,64.9
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",381,351,92.1
"Newington School District","=""0940011""","Newington High School","=""0946111""",331,299,90.3
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",405,385,95.1
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",157,148,94.3
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",281,268,95.4
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",54,47,87.0
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",448,398,88.8
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",389,330,84.8
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",32,10,31.3
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",645,555,86.0
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",35,6,17.1
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",143,137,95.8
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",146,134,91.8
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",197,172,87.3
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",205,192,93.7
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",139,117,84.2
"Portland School District","=""1130011""","Portland High School","=""1136111""",92,84,91.3
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",60,53,88.3
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",135,129,95.6
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",160,147,91.9
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",432,418,96.8
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",86,"*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",179,"*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",294,268,91.2
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",235,"*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",229,221,96.5
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",41,39,95.1
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",73,62,84.9
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",141,"*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",192,188,97.9
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",329,308,93.6
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",194,179,92.3
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",190,178,93.7
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",103,"*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",295,258,87.5
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",439,432,98.4
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",207,191,92.3
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",150,134,89.3
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",424,390,92.0
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",399,387,97.0
"Somers School District","=""1290011""","Somers High School","=""1296111""",140,136,97.1
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",378,360,95.2
"Southington School District","=""1310011""","Southington High School","=""1316211""",491,454,92.5
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",141,124,87.9
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",36,16,44.4
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",387,326,84.2
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",166,"*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",624,518,83.0
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",178,168,94.4
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",291,254,87.3
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",277,250,90.3
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",203,187,92.1
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",42,32,76.2
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",91,83,91.2
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",89,83,93.3
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",99,85,85.9
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",227,221,97.4
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",293,234,79.9
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",537,527,98.1
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",263,217,82.5
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",283,265,93.6
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",242,229,94.6
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",349,210,60.2
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",368,239,64.9
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",107,"*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",358,226,63.1
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",239,220,92.1
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",230,211,91.7
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",340,316,92.9
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",395,376,95.2
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",382,281,73.6
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",82,75,91.5
"Weston School District","=""1570011""","Weston High School","=""1576111""",189,189,100.0
"Westport School District","=""1580011""","Staples High School","=""1586111""",426,419,98.4
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",289,264,91.3
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",311,307,98.7
"Windham School District","=""1630011""","Windham High School","=""1636111""",174,127,73.0
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",145,134,92.4
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",319,273,85.6
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",219,205,93.6
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",285,272,95.4

