"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",141,133,94.3
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",183,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",129,127,98.4
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",131,128,97.7
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",131,122,93.1
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",711,586,82.4
"Darien School District","=""0350011""","Darien High School","=""0356111""",329,323,98.2
"Derby School District","=""0370011""","Derby High School","=""0376111""",102,83,81.4
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",64,60,93.8
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",100,96,96.0
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",119,116,97.5
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",46,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",352,304,86.4
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",83,34,41.0
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",250,207,82.8
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",262,255,97.3
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",107,96,89.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",34,31,91.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",32,18,56.3
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",193,185,95.9
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",24,15,62.5
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",190,157,82.6
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",232,209,90.1
"Explorations District","=""2720013""","Explorations","=""2726113""",27,18,66.7
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",366,345,94.3
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",356,336,94.4
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",338,326,96.4
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",565,558,98.8
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",199,193,97.0
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",657,637,97.0
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",167,142,85.0
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",315,269,85.4
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",282,263,93.3
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",442,406,91.9
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",202,148,73.3
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",54,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",84,80,95.2
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",97,58,59.8
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",52,"*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",86,53,61.6
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",134,89,66.4
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",121,87,71.9
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",76,48,63.2
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",73,55,75.3
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",66,22,33.3
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",72,65,90.3
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",103,94,91.3
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",80,74,92.5
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",204,171,83.8
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",97,90,92.8
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",24,"*","*"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",32,29,90.6
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",104,98,94.2
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",236,223,94.5
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",67,64,95.5
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",318,310,97.5
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",415,362,87.2
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",313,230,73.5
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",292,235,80.5
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",305,273,89.5
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",262,234,89.3
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",240,231,96.3
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",295,289,98.0
"Montville School District","=""0860011""","Montville High School","=""0866111""",184,164,89.1
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",331,271,81.9
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",624,409,65.5
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",310,"*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",235,231,98.3
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",164,154,93.9
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",59,28,47.5
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",174,153,87.9
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",37,33,89.2
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",268,186,69.4
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",92,83,90.2
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",65,55,84.6
"New Haven School District","=""0930011""","Sound School","=""0936711""",85,79,92.9
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",295,192,65.1
"New London School District","=""0950011""","New London High School","=""0956111""",223,162,72.6
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",377,343,91.0
"Newington School District","=""0940011""","Newington High School","=""0946111""",362,337,93.1
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",419,406,96.9
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",146,135,92.5
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",309,283,91.6
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",56,"*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",395,343,86.8
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",375,344,91.7
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",42,"*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",608,533,87.7
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",133,125,94.0
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",173,168,97.1
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",171,145,84.8
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",171,156,91.2
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",127,117,92.1
"Portland School District","=""1130011""","Portland High School","=""1136111""",112,104,92.9
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",65,56,86.2
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",120,107,89.2
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",136,133,97.8
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",415,404,97.3
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",92,86,93.5
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",186,"*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",290,273,94.1
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",249,241,96.8
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",213,202,94.8
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",39,36,92.3
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",77,"*","*"
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",130,125,96.2
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",207,202,97.6
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",326,316,96.9
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",176,167,94.9
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",151,"*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",108,105,97.2
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",285,272,95.4
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",457,447,97.8
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",181,167,92.3
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",136,120,88.2
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",365,336,92.1
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",387,375,96.9
"Somers School District","=""1290011""","Somers High School","=""1296111""",130,"*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",332,322,97.0
"Southington School District","=""1310011""","Southington High School","=""1316211""",506,477,94.3
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",139,132,95.0
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",57,14,24.6
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",472,430,91.1
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",166,"*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",535,472,88.2
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",174,165,94.8
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",334,327,97.9
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",285,265,93.0
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",213,203,95.3
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",34,30,88.2
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",83,76,91.6
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",71,"*","*"
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",84,77,91.7
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",226,208,92.0
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",257,225,87.5
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",548,533,97.3
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",293,245,83.6
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",254,231,90.9
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",225,216,96.0
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",396,285,72.0
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",375,254,67.7
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",120,116,96.7
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",365,240,65.8
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",197,187,94.9
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",230,211,91.7
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",346,333,96.2
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",370,361,97.6
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",409,312,76.3
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",70,"*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",177,175,98.9
"Westport School District","=""1580011""","Staples High School","=""1586111""",447,441,98.7
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",305,282,92.5
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",296,"*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",181,134,74.0
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",129,126,97.7
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",293,266,90.8
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",242,232,95.9
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",271,262,96.7

