"Four-Year Graduation Rates, 2014-15"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",111,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",81,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",36,"*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",374,"*","*",0,0.0
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",160,"*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",219,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",37,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",191,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",194,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",134,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",121,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",106,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",125,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",178,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",142,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",143,"*","*",0,0.0
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",155,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",163,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",155,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",201,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",153,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",171,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",136,"*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",107,"*","*",0,0.0
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",125,0,0.0,"*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",732,66,9.0,84,11.5
"Darien School District","=""0350011""","Darien High School","=""0356111""",329,"*","*","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",101,8,7.9,9,8.9
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",61,0,0.0,0,0.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",108,"*","*","*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",121,"*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",42,0,0.0,0,0.0
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",408,8,2.0,14,3.4
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",228,6,2.6,43,18.9
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",264,0,0.0,6,2.3
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",87,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",28,0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",44,7,15.9,10,22.7
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",205,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",14,"*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",160,"*","*","*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",227,8,3.5,18,7.9
"Explorations District","=""2720013""","Explorations","=""2726113""",23,0,0.0,"*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",381,"*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",301,"*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",317,"*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",510,"*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",164,"*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",620,10,1.6,7,1.1
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",143,"*","*","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",264,"*","*","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",269,"*","*","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",436,9,2.1,28,6.4
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",181,28,15.5,22,12.2
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""",19,"*","*","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",41,0,0.0,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",84,"*","*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",78,13,16.7,11,14.1
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""",62,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",118,14,11.9,20,16.9
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",100,6,6.0,21,21.0
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",109,13,11.9,26,23.9
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",76,"*","*","*","*"
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",84,"*","*","*","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",53,"*","*","*","*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",68,"*","*","*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",97,"*","*","*","*"
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",93,"*","*","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",184,11,6.0,20,10.9
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",85,0,0.0,6,7.1
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",60,"*","*","*","*"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",28,"*","*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",92,"*","*","*","*"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",227,"*","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",69,0,0.0,0,0.0
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",308,"*","*","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",404,12,3.0,43,10.6
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",290,21,7.2,50,17.2
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",313,12,3.8,61,19.5
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",272,"*","*","*","*"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",202,10,5.0,8,4.0
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",231,"*","*","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",308,0,0.0,0,0.0
"Montville School District","=""0860011""","Montville High School","=""0866111""",170,"*","*","*","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",333,17,5.1,31,9.3
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",639,61,9.5,131,20.5
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",307,"*","*",0,0.0
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",248,0,0.0,"*","*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",145,"*","*","*","*"
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",58,"*","*","*","*"
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",59,11,18.6,21,35.6
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",178,"*","*","*","*"
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",50,0,0.0,"*","*"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",272,31,11.4,49,18.0
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",92,"*","*","*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",61,9,14.8,7,11.5
"New Haven School District","=""0930011""","Sound School","=""0936711""",72,"*","*","*","*"
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",382,17,4.5,112,29.3
"New London School District","=""0950011""","New London High School","=""0956111""",193,14,7.3,31,16.1
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",359,"*","*","*","*"
"Newington School District","=""0940011""","Newington High School","=""0946111""",355,9,2.5,17,4.8
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",446,"*","*","*","*"
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",161,0,0.0,8,5.0
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",284,"*","*","*","*"
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",51,"*","*","*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",441,"*","*","*","*"
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",379,10,2.6,24,6.3
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",42,"*","*",22,52.4
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",584,"*","*","*","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",124,0,0.0,"*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",119,0,0.0,"*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",166,12,7.2,18,10.8
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",176,"*","*","*","*"
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",117,"*","*","*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""",91,"*","*","*","*"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",55,0,0.0,"*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",86,"*","*","*","*"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",178,0,0.0,"*","*"
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",413,"*","*","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",86,"*","*","*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",133,0,0.0,"*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",267,12,4.5,7,2.6
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",251,"*","*","*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",186,0,0.0,"*","*"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",50,0,0.0,0,0.0
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",69,"*","*","*","*"
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",139,0,0.0,0,0.0
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",183,0,0.0,"*","*"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",289,"*","*","*","*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",161,"*","*","*","*"
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",166,"*","*","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",88,"*","*","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",266,"*","*","*","*"
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",425,"*","*","*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",184,"*","*","*","*"
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",145,"*","*","*","*"
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",362,"*","*","*","*"
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",370,"*","*","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""",127,"*","*","*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",338,"*","*","*","*"
"Southington School District","=""1310011""","Southington High School","=""1316211""",492,11,2.2,9,1.8
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",89,"*","*","*","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",48,15,31.3,17,35.4
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",461,14,3.0,37,8.0
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",160,"*","*","*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",521,20,3.8,41,7.9
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",194,"*","*","*","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",249,"*","*","*","*"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",262,6,2.3,14,5.3
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",211,"*","*","*","*"
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",32,"*","*","*","*"
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",90,"*","*","*","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",61,"*","*",0,0.0
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",66,0,0.0,"*","*"
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",197,"*","*","*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",258,11,4.3,21,8.1
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",528,"*","*","*","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",232,"*","*","*","*"
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",270,"*","*","*","*"
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",213,"*","*","*","*"
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",380,13,3.4,102,26.8
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",394,18,4.6,98,24.9
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",120,"*","*","*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",357,18,5.0,84,23.5
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",212,"*","*","*","*"
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",199,8,4.0,11,5.5
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",340,6,1.8,11,3.2
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",358,"*","*","*","*"
"West Hartford School District","=""1550011""","REACH","=""1557311""",11,"*","*",0,"*"
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",409,11,2.7,74,18.1
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",77,"*","*",0,0.0
"Weston School District","=""1570011""","Weston High School","=""1576111""",167,"*","*","*","*"
"Westport School District","=""1580011""","Staples High School","=""1586111""",456,"*","*","*","*"
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",281,12,4.3,11,3.9
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",322,"*","*","*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",127,9,7.1,15,11.8
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",115,"*","*","*","*"
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",292,8,2.7,14,4.8
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",177,"*","*","*","*"
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",286,"*","*","*","*"

