"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",537,430,80.1
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",290,253,87.2
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",324,312,96.3
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",93,76,81.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",17,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",40,30,75.0
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",181,171,94.5
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",242,194,80.2
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",276,232,84.1
"Explorations District","=""2720013""","Explorations","=""2726113""",34,18,52.9
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",351,330,94.0
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",301,282,93.7
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",336,319,94.9
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",542,529,97.6
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",194,188,96.9
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",631,597,94.6
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",197,162,82.2
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",330,269,81.5
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",266,254,95.5
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",572,484,84.6
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",278,211,75.9
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",31,27,87.1
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",89,83,93.3
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",96,55,57.3
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",129,92,71.3
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",135,96,71.1
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",105,55,52.4
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",53,16,30.2
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",97,81,83.5
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",106,96,90.6
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",73,70,95.9
"Hartford School District","=""0640011""","Weaver High School","=""0646311""",179,123,68.7
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",196,140,71.4
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",158,148,93.7
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",229,208,90.8
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",92,87,94.6
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",315,305,96.8
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",496,367,74.0
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",318,228,71.7
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",300,209,69.7
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",342,267,78.1
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",223,189,84.8
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",265,241,90.9
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",365,356,97.5
"Montville School District","=""0860011""","Montville High School","=""0866111""",195,169,86.7
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",370,306,82.7
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",729,381,52.3
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",310,303,97.7
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",241,219,90.9
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",109,91,83.5
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",76,46,60.5
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",173,148,85.5
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",40,30,75.0
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",311,160,51.4
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",33,27,81.8
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",68,43,63.2
"New Haven School District","=""0930011""","Sound School","=""0936711""",63,55,87.3
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",477,277,58.1
"New London School District","=""0950011""","New London High School","=""0956111""",255,163,63.9
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",393,346,88.0
"Newington School District","=""0940011""","Newington High School","=""0946111""",409,346,84.6
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",444,418,94.1
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",194,183,94.3
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",303,267,88.1
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",67,60,89.6
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",451,394,87.4
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",389,332,85.3
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",52,29,55.8
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",616,512,83.1
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",25,"*","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",121,114,94.2
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",154,147,95.5
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",226,196,86.7
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",232,206,88.8
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",135,124,91.9
"Portland School District","=""1130011""","Portland High School","=""1136111""",97,81,83.5
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",74,59,79.7
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",137,114,83.2
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",169,150,88.8
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",406,378,93.1
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",103,91,88.3
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",190,183,96.3
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",266,225,84.6
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",220,210,95.5
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",175,169,96.6
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",35,27,77.1
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",93,80,86.0
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",139,130,93.5
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",217,206,94.9
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",388,357,92.0
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",196,173,88.3
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",181,168,92.8
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",133,"*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",283,235,83.0
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",430,415,96.5
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",176,161,91.5
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",188,156,83.0
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",396,351,88.6
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",356,339,95.2
"Somers School District","=""1290011""","Somers High School","=""1296111""",144,137,95.1
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",415,381,91.8
"Southington School District","=""1310011""","Southington High School","=""1316211""",540,494,91.5
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",135,102,75.6
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",55,20,36.4
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",440,376,85.5
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",143,134,93.7
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",592,500,84.5
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",210,197,93.8
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",329,291,88.4
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",243,217,89.3
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",214,204,95.3
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",28,24,85.7
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",70,58,82.9
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",103,95,92.2
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",94,83,88.3
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",222,206,92.8
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",278,217,78.1
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",502,492,98.0
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",286,237,82.9
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",300,264,88.0
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",255,222,87.1
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",422,257,60.9
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",359,261,72.7
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",116,112,96.6
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",340,212,62.4
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",270,248,91.9
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",246,216,87.8
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",407,360,88.5
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",406,386,95.1
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",451,313,69.4
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",75,71,94.7
"Weston School District","=""1570011""","Weston High School","=""1576111""",192,"*","*"
"Westport School District","=""1580011""","Staples High School","=""1586111""",463,455,98.3
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",301,277,92.0
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",303,299,98.7
"Windham School District","=""1630011""","Windham High School","=""1636111""",253,158,62.5
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",134,115,85.8
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",348,293,84.2
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",224,209,93.3
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",299,282,94.3

