"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",34,"*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",736,581,78.9
"Darien School District","=""0350011""","Darien High School","=""0356111""",312,305,97.8
"Derby School District","=""0370011""","Derby High School","=""0376111""",86,59,68.6
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",69,"*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",95,"*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",130,126,96.9
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",39,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",378,324,85.7
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",115,59,51.3
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",237,179,75.5
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",309,293,94.8
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",95,79,83.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",26,24,92.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",43,30,69.8
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",197,181,91.9
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",13,8,"*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",183,150,82.0
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",256,238,93.0
"Explorations District","=""2720013""","Explorations","=""2726113""",32,21,65.6
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",383,365,95.3
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",314,287,91.4
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",318,308,96.9
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",550,535,97.3
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",193,190,98.4
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",686,652,95.0
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",167,147,88.0
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",320,267,83.4
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",278,261,93.9
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",443,386,87.1
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",176,126,71.6
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",33,33,100.0
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",89,84,94.4
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",73,41,56.2
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",68,"*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",112,71,63.4
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",139,95,68.3
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",120,86,71.7
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",106,75,70.8
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",54,36,66.7
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",77,45,58.4
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",70,65,92.9
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",88,82,93.2
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",94,91,96.8
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",214,164,76.6
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",29,26,89.7
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","*","*","*"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",13,9,"*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",118,110,93.2
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",225,208,92.4
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",6,"*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",86,"*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",316,"*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",445,350,78.7
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",329,243,73.9
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",293,203,69.3
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",362,302,83.4
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",256,206,80.5
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",264,239,90.5
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",307,300,97.7
"Montville School District","=""0860011""","Montville High School","=""0866111""",176,155,88.1
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",333,261,78.4
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",612,390,63.7
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",338,330,97.6
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",257,247,96.1
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",173,155,89.6
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",72,41,56.9
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",153,141,92.2
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",36,28,77.8
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",260,150,57.7
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",95,77,81.1
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",75,50,66.7
"New Haven School District","=""0930011""","Sound School","=""0936711""",80,74,92.5
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",305,196,64.3
"New London School District","=""0950011""","New London High School","=""0956111""",253,164,64.8
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",381,340,89.2
"Newington School District","=""0940011""","Newington High School","=""0946111""",373,338,90.6
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",468,442,94.4
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",170,163,95.9
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",309,273,88.3
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",48,"*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",385,342,88.8
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",348,311,89.4
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",38,6,15.8
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",573,490,85.5
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",136,129,94.9
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",153,"*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",202,171,84.7
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",202,182,90.1
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",123,108,87.8
"Portland School District","=""1130011""","Portland High School","=""1136111""",92,80,87.0
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",92,74,80.4
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",108,98,90.7
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",162,155,95.7
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",392,378,96.4
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",97,"*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",175,170,97.1
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",272,258,94.9
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",12,"*","*"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",234,224,95.7
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",198,183,92.4
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",39,"*","*"
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",83,"*","*"
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",146,"*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",197,185,93.9
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",316,300,94.9
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",184,166,90.2
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",162,157,96.9
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",113,108,95.6
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",315,276,87.6
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",409,398,97.3
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",177,159,89.8
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",177,154,87.0
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",390,355,91.0
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",396,388,98.0
"Somers School District","=""1290011""","Somers High School","=""1296111""",146,141,96.6
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",376,359,95.5
"Southington School District","=""1310011""","Southington High School","=""1316211""",488,445,91.2
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",127,111,87.4
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",37,10,27.0
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",501,446,89.0
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",164,"*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",546,469,85.9
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",197,189,95.9
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",287,270,94.1
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",254,231,90.9
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",218,204,93.6
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",35,31,88.6
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",84,69,82.1
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",78,73,93.6
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",85,77,90.6
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",242,228,94.2
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",268,232,86.6
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",547,538,98.4
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",235,195,83.0
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",286,262,91.6
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",235,220,93.6
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",359,234,65.2
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",382,265,69.4
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",106,92,86.8
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",360,260,72.2
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",238,222,93.3
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",271,236,87.1
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",420,398,94.8
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",391,372,95.1
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",431,305,70.8
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",77,"*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",206,"*","*"
"Westport School District","=""1580011""","Staples High School","=""1586111""",463,"*","*"
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",264,242,91.7
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",319,312,97.8
"Windham School District","=""1630011""","Windham High School","=""1636111""",193,147,76.2
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",136,127,93.4
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",353,289,81.9
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",220,207,94.1
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",279,269,96.4

