"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,"Non-Graduates",,,
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)",36,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College",43,"*","*","*","*"
"Ellington School District","Ellington High School",201,7,3.5,11,5.5
"Elm City College Preparatory School District","Elm City College Preparatory School",19,"*","*","*","*"
"Enfield School District","Enfield High School",192,"*","*",21,10.9
"Enfield School District","Enrico Fermi High School",303,"*","*",24,7.9
"Explorations District","Explorations",28,"*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School",351,8,2.3,"*","*"
"Fairfield School District","Fairfield Warde High School",337,12,3.6,"*","*"
"Farmington School District","Farmington High School",298,6,2.0,6,2.0
"Glastonbury School District","Glastonbury High School",508,11,2.2,8,1.6
"Granby School District","Granby Memorial High School",187,"*","*","*","*"
"Greenwich School District","Greenwich High School",644,26,4.0,22,3.4
"Griswold School District","Griswold High School",183,"*","*","*","*"
"Groton School District","Robert E. Fitch High School",339,7,2.1,50,14.7
"Guilford School District","Guilford High School",285,"*","*","*","*"
"Hamden School District","Hamden High School",506,31,6.1,41,8.1
"Hartford School District","Bulkeley High School Upper School",248,54,21.8,37,14.9
"Hartford School District","Capital Preparatory Magnet School",33,"*","*","*","*"
"Hartford School District","Classical Magnet School",81,"*","*","*","*"
"Hartford School District","Culinary Arts Academy",46,7,15.2,9,19.6
"Hartford School District","HPHS Academy of Engineering and Green Technology",130,34,26.2,17,13.1
"Hartford School District","HPHS Academy of Nursing and Health Science",125,18,14.4,22,17.6
"Hartford School District","HPHS Law and Government Academy",135,39,28.9,32,23.7
"Hartford School District","OPPortunity High School",69,12,17.4,24,34.8
"Hartford School District","Pathways Academy of Technology and Design",86,"*","*","*","*"
"Hartford School District","Sports and Medical Sciences Academy",106,6,5.7,"*","*"
"Hartford School District","University High of Science and Engineering",86,"*","*",6,7.0
"Killingly School District","Killingly High School",188,14,7.4,27,14.4
"Lebanon School District","Lyman Memorial High School",128,"*","*","*","*"
"Ledyard School District","Ledyard High School",208,"*","*","*","*"
"Lisbon School District","Community Connection - The Big Picture High School","*","*","*","*","*"
"Litchfield School District","Litchfield High School",102,"*","*","*","*"
"Madison School District","Daniel Hand High School",329,"*","*","*","*"
"Manchester School District","Manchester High School",476,30,6.3,80,16.8
"Meriden School District","Francis T. Maloney High School",323,24,7.4,72,22.3
"Meriden School District","Orville H. Platt High School",299,24,8.0,67,22.4
"Middletown School District","Middletown High School",329,21,6.4,49,14.9
"Milford School District","Jonathan Law High School",266,32,12.0,18,6.8
"Milford School District","Joseph A. Foran High School",246,14,5.7,8,3.3
"Monroe School District","Masuk High School",337,"*","*","*","*"
"Montville School District","Montville High School",210,"*","*","*","*"
"Naugatuck School District","Naugatuck High School",366,15,4.1,41,11.2
"New Britain School District","New Britain High School",633,66,10.4,166,26.2
"New Canaan School District","New Canaan High School",326,"*","*","*","*"
"New Fairfield School District","New Fairfield High School",231,"*","*","*","*"
"New Haven School District","Cooperative High School",136,"*","*",9,6.6
"New Haven School District","High School In The Community",76,12,15.8,23,30.3
"New Haven School District","Hill Regional Career High School",156,"*","*",14,9.0
"New Haven School District","Hyde School of Health, Science and Sports Medicine",48,"*","*","*","*"
"New Haven School District","James Hillhouse High School",246,31,12.6,80,32.5
"New Haven School District","Metropolitan Business Academy",44,"*","*","*","*"
"New Haven School District","New Haven Academy",44,6,13.6,8,18.2
"New Haven School District","Sound School",84,"*","*",6,7.1
"New Haven School District","Wilbur Cross High School",413,29,7.0,99,24.0
"New London School District","New London High School",225,29,12.9,50,22.2
"New Milford School District","New Milford High School",381,8,2.1,22,5.8
"Newington School District","Newington High School",331,12,3.6,20,6.0
"Newtown School District","Newtown High School",405,9,2.2,11,2.7
"North Branford School District","North Branford High School",157,"*","*","*","*"
"North Haven School District","North Haven High School",281,"*","*","*","*"
"North Stonington School District","Wheeler High School",54,"*","*","*","*"
"Norwalk School District","Brien McMahon High School",448,11,2.5,39,8.7
"Norwalk School District","Norwalk High School",389,16,4.1,43,11.1
"Norwalk School District","Norwalk Pathways Academy at Briggs",32,8,25.0,14,43.8
"Norwich Free Academy District","Norwich Free Academy",645,8,1.2,81,12.6
"Norwich School District","Thames River Academy",35,"*","*",29,82.9
"Old Saybrook School District","Old Saybrook Senior High School",143,"*","*","*","*"
"Oxford School District","Oxford High School",146,"*","*","*","*"
"Plainfield School District","Plainfield High School",197,10,5.1,15,7.6
"Plainville School District","Plainville High School",205,"*","*","*","*"
"Plymouth School District","Terryville High School",139,11,7.9,11,7.9
"Portland School District","Portland High School",92,"*","*","*","*"
"Putnam School District","Putnam High School",60,"*","*","*","*"
"Regional School District 01","Housatonic Valley Regional High School",135,"*","*","*","*"
"Regional School District 04","Valley Regional High School",160,"*","*","*","*"
"Regional School District 05","Amity Regional High School",432,"*","*","*","*"
"Regional School District 06","Wamogo Regional High School",86,"*","*","*","*"
"Regional School District 07","Northwestern Regional High School",179,"*","*","*","*"
"Regional School District 08","RHAM High School",294,13,4.4,13,4.4
"Regional School District 09","Joel Barlow High School",235,"*","*","*","*"
"Regional School District 10","Lewis S. Mills High School",229,"*","*","*","*"
"Regional School District 11","Parish Hill High School",41,"*","*","*","*"
"Regional School District 12","Shepaug Valley High School",73,"*","*","*","*"
"Regional School District 13","Coginchaug Regional High School",141,"*","*","*","*"
"Regional School District 14","Nonnewaug High School",192,"*","*","*","*"
"Regional School District 15","Pomperaug Regional High School",329,13,4.0,8,2.4
"Regional School District 16","Woodland Regional High School",194,6,3.1,9,4.6
"Regional School District 17","Haddam-Killingworth High School",190,"*","*","*","*"
"Regional School District 18","Lyme-Old Lyme High School",103,"*","*","*","*"
"Regional School District 19","E. O. Smith High School",295,19,6.4,18,6.1
"Ridgefield School District","Ridgefield High School",439,"*","*","*","*"
"Rocky Hill School District","Rocky Hill High School",207,7,3.4,9,4.3
"Seymour School District","Seymour High School",150,6,4.0,10,6.7
"Shelton School District","Shelton High School",424,13,3.1,21,5.0
"Simsbury School District","Simsbury High School",399,"*","*","*","*"
"Somers School District","Somers High School",140,"*","*","*","*"
"South Windsor School District","South Windsor High School",378,11,2.9,7,1.9
"Southington School District","Southington High School",491,24,4.9,13,2.6
"Stafford School District","Stafford High School",141,"*","*","*","*"
"Stamford Academy District","Stamford Academy",36,12,33.3,8,22.2
"Stamford School District","Stamford High School",387,"*","*","*","*"
"Stamford School District","The Academy of Information Technology",166,"*","*","*","*"
"Stamford School District","Westhill High School",624,43,6.9,63,10.1
"Stonington School District","Stonington High School",178,"*","*","*","*"
"Stratford School District","Bunnell High School",291,10,3.4,27,9.3
"Stratford School District","Stratford High School",277,9,3.2,18,6.5
"Suffield School District","Suffield High School",203,"*","*","*","*"
"The Bridge Academy District","The Bridge Academy",42,"*","*","*","*"
"The Gilbert School District","The Gilbert School",91,"*","*","*","*"
"Thomaston School District","Thomaston High School",89,"*","*","*","*"
"Thompson School District","Tourtellotte Memorial High School",99,"*","*","*","*"
"Tolland School District","Tolland High School",227,"*","*","*","*"
"Torrington School District","Torrington High School",293,14,4.8,45,15.4
"Trumbull School District","Trumbull High School",537,"*","*","*","*"
"Vernon School District","Rockville High School",263,14,5.3,32,12.2
"Wallingford School District","Lyman Hall High School",283,"*","*",13,4.6
"Wallingford School District","Mark T. Sheehan High School",242,"*","*",11,4.5
"Waterbury School District","Crosby High School",349,"*","*",123,35.2
"Waterbury School District","John F. Kennedy High School",368,18,4.9,111,30.2
"Waterbury School District","Waterbury Arts Magnet School (High)",107,"*","*","*","*"
"Waterbury School District","Wilby High School",358,29,8.1,"*","*"
"Waterford School District","Waterford High School",239,7,2.9,12,5.0
"Watertown School District","Watertown High School",230,9,3.9,10,4.3
"West Hartford School District","Conard High School",340,"*","*",10,2.9
"West Hartford School District","Hall High School",395,"*","*",17,4.3
"West Haven School District","West Haven High School",382,14,3.7,87,22.8
"Westbrook School District","Westbrook High School",82,"*","*","*","*"
"Weston School District","Weston High School",189,"*","*","*","*"
"Westport School District","Staples High School",426,"*","*","*","*"
"Wethersfield School District","Wethersfield High School",289,11,3.8,14,4.8
"Wilton School District","Wilton High School",311,"*","*","*","*"
"Windham School District","Windham High School",174,19,10.9,28,16.1
"Windsor Locks School District","Windsor Locks High School",145,"*","*","*","*"
"Windsor School District","Windsor High School",319,18,5.6,28,8.8
"Wolcott School District","Wolcott High School",219,7,3.2,7,3.2
"Woodstock Academy District","Woodstock Academy",285,"*","*","*","*"

