"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",249,12,4.8,6,2.4
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",38,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",151,0,0.0,11,7.3
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",193,0,0.0,11,5.7
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",102,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",123,0,0.0,23,18.7
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",125,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",121,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",182,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",129,0,0.0,14,10.9
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",160,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",135,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",111,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",191,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",200,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",135,0,0.0,10,7.4
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",154,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",126,"*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",152,8,5.3,7,4.6
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",167,"*","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",719,66,9.2,81,11.3
"Darien School District","=""0350011""","Darien High School","=""0356111""",326,6,1.8,7,2.1
"Derby School District","=""0370011""","Derby High School","=""0376111""",122,15,12.3,20,16.4
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",76,"*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",93,0,0.0,7,7.5
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",136,"*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",33,0,0.0,0,0.0
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",537,45,8.4,62,11.5
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",290,13,4.5,24,8.3
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",324,"*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",93,8,8.6,9,9.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",17,0,"*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",40,"*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",181,"*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",242,18,7.4,30,12.4
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",276,23,8.3,21,7.6
"Explorations District","=""2720013""","Explorations","=""2726113""",34,8,23.5,8,23.5
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",351,12,3.4,9,2.6
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",301,11,3.7,8,2.7
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",336,"*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",542,7,1.3,6,1.1
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",194,"*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",631,26,4.1,8,1.3
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",197,12,6.1,23,11.7
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",330,8,2.4,53,16.1
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",266,"*","*","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",572,33,5.8,55,9.6
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",278,24,8.6,43,15.5
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",31,"*","*","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",89,"*","*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",96,21,21.9,19,19.8
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",129,15,11.6,22,17.1
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",135,12,8.9,27,20.0
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",105,28,26.7,22,21.0
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",53,14,26.4,23,43.4
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",97,"*","*","*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",106,"*","*","*","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",73,"*","*","*","*"
"Hartford School District","=""0640011""","Weaver High School","=""0646311""",179,0,0.0,56,31.3
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",196,12,6.1,44,22.4
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",158,"*","*","*","*"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",229,7,3.1,14,6.1
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","*","*","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",92,"*","*","*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",315,"*","*","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",496,49,9.9,80,16.1
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",318,31,9.7,59,18.6
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",300,16,5.3,75,25.0
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",342,32,9.4,43,12.6
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",223,22,9.9,12,5.4
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",265,17,6.4,7,2.6
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",365,9,2.5,0,0.0
"Montville School District","=""0860011""","Montville High School","=""0866111""",195,6,3.1,20,10.3
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",370,22,5.9,42,11.4
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",729,132,18.1,216,29.6
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",310,"*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",241,12,5.0,9,3.7
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",109,"*","*","*","*"
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",76,11,14.5,19,25.0
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",173,7,4.0,18,10.4
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",40,"*","*","*","*"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",311,41,13.2,110,35.4
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",33,"*","*","*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",68,12,17.6,13,19.1
"New Haven School District","=""0930011""","Sound School","=""0936711""",63,"*","*","*","*"
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",477,55,11.5,145,30.4
"New London School District","=""0950011""","New London High School","=""0956111""",255,44,17.3,48,18.8
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",393,12,3.1,35,8.9
"Newington School District","=""0940011""","Newington High School","=""0946111""",409,38,9.3,25,6.1
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",444,9,2.0,17,3.8
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",194,"*","*","*","*"
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",303,12,4.0,24,7.9
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",67,"*","*","*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",451,28,6.2,29,6.4
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",389,21,5.4,36,9.3
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",52,"*","*","*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",616,10,1.6,94,15.3
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",25,"*","*",13,52.0
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",121,"*","*","*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",154,"*","*","*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",226,13,5.8,17,7.5
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",232,"*","*","*","*"
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",135,"*","*","*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""",97,"*","*","*","*"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",74,8,10.8,7,9.5
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",137,8,5.8,15,10.9
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",169,"*","*","*","*"
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",406,12,3.0,16,3.9
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",103,"*","*","*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",190,"*","*","*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",266,21,7.9,20,7.5
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",220,10,4.5,0,0.0
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",175,"*","*","*","*"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",35,0,0.0,8,22.9
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",93,"*","*","*","*"
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",139,"*","*","*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",217,"*","*","*","*"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",388,14,3.6,16,4.1
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",196,11,5.6,12,6.1
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",181,"*","*","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",133,"*","*",0,0.0
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",283,25,8.8,23,8.1
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",430,"*","*","*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",176,"*","*","*","*"
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",188,10,5.3,22,11.7
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",396,22,5.6,23,5.8
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",356,10,2.8,7,2.0
"Somers School District","=""1290011""","Somers High School","=""1296111""",144,"*","*","*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",415,14,3.4,20,4.8
"Southington School District","=""1310011""","Southington High School","=""1316211""",540,27,5.0,19,3.5
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",135,16,11.9,17,12.6
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",55,23,41.8,12,21.8
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",440,25,5.7,39,8.9
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",143,"*","*","*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",592,55,9.3,37,6.3
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",210,6,2.9,7,3.3
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",329,13,4.0,25,7.6
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",243,9,3.7,17,7.0
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",214,"*","*","*","*"
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",28,"*","*","*","*"
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",70,"*","*","*","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",103,"*","*","*","*"
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",94,"*","*","*","*"
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",222,"*","*","*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",278,19,6.8,42,15.1
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",502,"*","*","*","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",286,16,5.6,33,11.5
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",300,14,4.7,22,7.3
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",255,12,4.7,21,8.2
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",422,25,5.9,140,33.2
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",359,10,2.8,88,24.5
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",116,"*","*","*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",340,18,5.3,110,32.4
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",270,6,2.2,16,5.9
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",246,17,6.9,13,5.3
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",407,17,4.2,30,7.4
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",406,12,3.0,8,2.0
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",451,26,5.8,112,24.8
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",75,"*","*","*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""",192,"*","*",0,0.0
"Westport School District","=""1580011""","Staples High School","=""1586111""",463,"*","*","*","*"
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",301,9,3.0,15,5.0
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",303,"*","*","*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""",253,41,16.2,54,21.3
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",134,11,8.2,8,6.0
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",348,23,6.6,32,9.2
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",224,6,2.7,9,4.0
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",299,"*","*","*","*"

