"Sanction Counts, 2011-12"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",28,14,"*",0
"Bristol School District","=""0170011""","South Side School","=""0171111""","*",14,0,"*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","*",15,0,0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",81,31,0,0
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",45,"*",0,0
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*","*",0,10
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",118,17,0,21
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*",0,0
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",28,0,0,"*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",27,9,0,0
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",14,0,0,0
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",20,"*",0,0
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",0,9,0,0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",10,0,"*",0
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,"*",0
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",70,"*","*",0
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",21,"*",0,0
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",11,26,0,0
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,"*",0,0
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",36,"*",0,"*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",26,9,0,0
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",0,"*",0,0
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",52,10,0,0
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","*","*",0,0
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",327,8,0,0
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","*","*",0,0
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",0,"*",0,0
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*",6,0,0
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",167,65,0,0
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",26,10,0,"*"
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","*","*",0,0
"Cheshire School District","=""0250011""","Highland School","=""0250411""",0,"*",0,8
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","*","*","*",0
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*","*",0,0
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","*","*",0,0
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*",0,0,0
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",31,17,0,0
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",9,"*",0,"*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",215,52,"*",0
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",135,33,7,"*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","*","*",0,"*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",25,0,0,"*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",43,9,0,"*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",19,"*","*",0
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",17,"*","*",0
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",190,107,6,0
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",204,234,17,0
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",329,65,6,0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",238,177,"*",0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",272,49,"*",0
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",446,14,12,0
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",208,19,"*",0
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",85,32,"*",0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",327,30,0,0
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",457,100,11,0
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",192,25,"*",0
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",250,85,7,0
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",350,49,"*",0
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",314,97,16,0
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",72,36,"*",0
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",187,22,"*",0
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",16,10,0,"*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",21,72,0,0
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",54,6,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",160,47,7,"*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",27,10,0,6
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",231,48,"*","*"
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",124,30,0,0
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","*","*",0,0
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",0,"*",0,0
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","*",50,"*",0
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",27,69,"*",0
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1607,421,7,"*"
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",0,19,0,0
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",0,"*",0,0
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",9,9,0,0
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","*",10,0,0
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","*",7,0,0
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","*","*",0,0
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","*",13,0,0
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,10,0,0
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","*",7,0,0
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",347,179,0,"*"
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",0,6,0,0
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","*","*",0,0
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",0,"*",0,0
"Darien School District","=""0350011""","Darien High School","=""0356111""",48,6,0,"*"
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",0,"*",0,0
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","*","*",0,0
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*",0,0,0
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",0,6,0,0
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","*",0,0,0
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*",0,0
"Derby School District","=""0370011""","Bradley School","=""0370611""",11,8,0,0
"Derby School District","=""0370011""","Derby High School","=""0376111""",130,54,"*",0
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",0,61,0,6
"Derby School District","=""0370011""","Irving School","=""0370411""",9,25,0,"*"
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*",7,0,0
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",24,"*",0,0
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*",0,0
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*",0,0,0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",24,14,0,0
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",26,"*",0,0
"East Hampton School District","=""0420011""","Center School","=""0420311""","*","*",0,"*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",93,16,0,0
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",18,0,0,0
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",20,31,0,0
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",16,"*",0,"*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",43,"*",0,0
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",36,39,0,0
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",18,16,0,"*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1357,1090,29,0
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",903,474,6,8
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",17,17,0,"*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",22,18,"*",0
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",56,43,"*","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",174,64,"*",0
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",12,32,0,0
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",103,124,"*",0
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",332,57,0,6
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",15,"*",0,0
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",0,"*",0,0
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",9,0,0,0
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",447,117,6,0
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",0,"*",0,0
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",173,124,0,0
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",0,"*",0,0
"East Haven School District","=""0440011""","Pathways","=""0449011""",0,10,0,0
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",81,23,0,"*"
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",82,11,0,"*"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",16,12,0,0
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",170,88,0,"*"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",110,18,0,11
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ACT Magnet School (Arts at the Capitol Theater) - Full Time","=""2536014""",0,"*",0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",0,"*",0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",15,8,0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",6,11,0,0
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",7,0,"*",0
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",7,"*",0,0
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*","*",0,0
"Ellington School District","=""0480011""","Center School","=""0480111""",12,"*",0,0
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*",0,0,"*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",167,66,"*","*"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",21,"*",0,"*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",35,"*",0,"*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""",10,0,0,0
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",94,448,"*",0
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",26,"*",0,0
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",47,8,0,0
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",214,92,"*",0
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","*",0,0,0
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",386,85,11,0
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","*",0,0,0
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","*",0,0,0
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",270,57,8,"*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","*",0,0,0
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",17,12,0,0
"Explorations District","=""2720013""","Explorations","=""2726113""",35,"*",0,0
"Explorations District","=""1480011""","Lyman Hall High School","=""1486111""","*",0,0,0
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",116,"*","*",0
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",72,7,0,0
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",39,"*",0,0
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","*",0,0,0
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","*",0,0,"*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",118,37,0,0
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",26,13,"*","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","*","*",0,"*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",26,17,"*",0
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",15,7,0,0
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",0,"*",0,0
"Farmington School District","=""0520011""","Union School","=""0520111""",11,"*",0,10
"Farmington School District","=""0520011""","West District School","=""0520311""","*",0,0,0
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","*","*",0,"*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",0,"*",0,0
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",12,7,0,"*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",124,16,14,0
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",0,"*",0,0
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","*","*",0,"*"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",25,11,0,0
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",0,0,0,"*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",59,"*","*",0
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",12,0,0,0
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""",0,0,0,"*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","*",0,0,0
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","*",11,0,0
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","*","*",0,0
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",13,"*",0,0
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","*",0,0,"*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",221,33,"*",0
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","*","*",0,0
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","*","*",0,0
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",0,"*",0,0
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",29,"*",0,0
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","*",0,0,0
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",295,135,"*",0
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",139,26,0,0
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",57,"*",0,"*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0590311""",68,77,0,"*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",68,77,0,"*"
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","*",0,0,0
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""",52,48,"*","*"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",6,12,0,0
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",0,"*",0,"*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","*","*",0,0
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",277,192,25,0
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","*",8,0,0
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",67,21,0,0
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","*","*",0,0
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""",6,"*",0,"*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",38,"*","*",0
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",141,80,"*",0
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","*",0,0,0
"Hamden School District","=""0620011""","Church Street School","=""0620211""",27,31,0,0
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",26,"*",0,0
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",639,269,28,"*"
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",319,65,8,19
"Hamden School District","=""0620011""","Helen Street School","=""0620411""",0,"*",0,0
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",0,46,0,"*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","*",16,0,0
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",19,"*",0,"*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","*",0,0,0
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",6,0,0,0
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",120,199,"*",0
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",6,268,"*",0
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""",0,9,0,0
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",6,6,0,0
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",41,186,0,0
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",33,104,"*",0
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",36,281,"*",0
"Hartford School District","=""0640011""","Burr School","=""0642311""",20,152,0,0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",0,43,"*","*"
"Hartford School District","=""0640011""","Clark School","=""0642411""",0,84,"*",0
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",303,65,"*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",174,171,"*",0
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",7,13,0,0
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""",144,197,"*",0
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","*",7,0,0
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",6,14,"*","*"
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",26,34,0,13
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",0,43,0,0
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",8,41,0,0
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",429,50,"*",0
