"Sanction Counts, 2014-15"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",149,46,"*",0
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",23,16,0,0
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",11,28,0,16
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",6,"*",0,0
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",81,50,0,10
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",0,"*",0,0
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",21,8,0,"*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",10,"*",0,0
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","*","*",0,"*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",6,"*",0,0
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",23,24,0,0
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""",0,"*",0,0
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","*",13,0,"*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",38,16,0,14
"Bristol School District","=""0170011""","Stafford School","=""0171211""",7,17,0,6
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",113,88,0,0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",20,41,"*",0
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",62,"*",0,"*"
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",0,0,0,"*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",71,11,0,8
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",17,"*",0,"*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","*",9,0,0
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","*",0,0,0
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",16,0,0,0
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",0,"*",0,0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",315,54,0,10
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",19,0,0,"*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","*","*",0,0
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",285,42,0,0
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",72,62,0,0
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","*",0,0,0
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",41,64,0,0
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",7,"*",0,0
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",186,20,0,0
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",27,22,0,0
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",136,55,0,"*"
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","*",13,0,0
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",94,65,0,0
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",162,62,0,"*"
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","*","*",0,0
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*","*",0,0
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",86,85,"*",0
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",38,"*",0,6
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","*","*",0,"*"
"Cheshire School District","=""0250011""","Highland School","=""0250411""","*","*",0,"*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*","*",0,0
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","*",0,0,0
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*","*",0,0
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",11,"*",0,0
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","*","*",0,"*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",129,43,"*",0
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",137,34,"*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","*","*",0,0
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",17,0,0,0
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",42,19,0,"*"
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*",0,0,0
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",36,8,0,"*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",9,10,0,0
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",134,84,8,0
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",26,37,"*",0
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",168,81,"*",0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",139,104,8,0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",131,35,"*",0
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",167,26,8,0
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",121,26,"*",0
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",75,25,"*",0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",120,36,7,0
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",201,39,6,0
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",27,41,"*",0
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",140,16,"*",0
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",79,70,11,0
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",125,66,"*",0
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",105,93,9,0
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",109,25,0,0
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",135,20,"*",0
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",20,0,0,0
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,66,0,"*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","*",0,0,0
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",30,10,0,0
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",0,"*",0,0
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",0,"*",0,0
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",23,11,"*",0
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",23,"*",0,"*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",80,24,0,0
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",90,11,0,6
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",12,7,0,"*"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",33,21,0,6
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,58,0,0
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",30,73,0,0
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1948,408,0,"*"
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",0,"*",0,0
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",0,"*",0,0
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",0,11,0,0
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","*",18,0,0
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","*",20,0,0
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,"*",0,0
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",0,"*",0,0
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",195,53,0,"*"
"Danbury School District","=""0340011""","South Street School","=""0341011""","*","*",0,0
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","*","*",0,0
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",57,10,0,8
"Darien School District","=""0350011""","Darien High School","=""0356111""",44,8,"*",0
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",0,"*",0,0
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","*","*",0,0
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*","*",0,0
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",7,0,0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",0,13,0,0
"Derby School District","=""0370011""","Derby High School","=""0376111""",108,40,11,0
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",197,48,7,"*"
"Derby School District","=""0370011""","Irving School","=""0370411""","*",52,0,"*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",36,12,0,0
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",12,0,0,0
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","*",0,0,0
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*","*",0,0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","*",0,"*",0
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",22,"*",0,0
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",40,13,0,0
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",28,"*",0,0
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","*",0,0,0
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,"*",0,0
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",6,17,0,7
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",13,7,0,"*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",28,39,0,0
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",53,68,0,8
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",13,"*","*",7
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1546,1080,19,0
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",567,309,"*","*"
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",8,16,0,0
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",17,8,0,0
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",13,0,0,"*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",57,21,0,"*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","*","*","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",11,47,"*",8
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",12,11,0,0
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",29,"*",0,0
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",0,"*",0,0
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",136,58,"*",0
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",48,100,0,"*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","*",0,0,0
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",39,15,0,0
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",104,24,"*",10
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","*",9,0,0
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",6,6,0,"*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",45,14,"*",0
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",55,27,"*",0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*","*",0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",13,6,0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",31,56,0,8
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","*","*",0,0
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*","*",0,0
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",6,"*",0,0
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""",7,39,0,0
"Ellington School District","=""0480011""","Center School","=""0480111""",26,"*",0,0
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",7,"*",0,"*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",111,21,0,0
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",9,14,0,0
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",14,"*",0,0
"Ellington School District","=""0480011""","Windermere School","=""0480611""",32,18,0,0
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",152,137,"*",34
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",21,14,0,0
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",12,"*",0,0
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",174,68,"*",0
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","*","*",0,0
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",209,79,7,0
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","*","*",0,0
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","*","*",0,0
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","*","*",0,0
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",329,116,"*",10
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","*","*",0,0
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","*",12,0,0
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",26,6,0,"*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","*","*",0,0
"Explorations District","=""2720013""","Explorations","=""2726113""",11,7,0,0
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",65,6,0,0
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",64,9,0,0
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",7,6,0,0
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",6,0,0,"*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","*",0,0,0
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",25,"*",0,0
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",0,"*",0,0
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","*",0,0,0
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",15,19,0,11
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","*","*",0,0
"Farmington School District","=""0520011""","East Farms School","=""0520411""",6,"*",0,0
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","*","*",0,0
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",20,11,0,0
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",13,"*",0,0
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","*","*",0,0
"Farmington School District","=""0520011""","Union School","=""0520111""","*",0,0,0
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","*","*",0,0
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",11,0,0,0
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","*",0,0,0
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*",0,0,0
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",15,"*",0,0
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",90,12,"*",0
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","*","*",0,0
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""",0,"*",0,0
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","*",0,0,0
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","*","*",0,"*"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",14,0,0,0
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*",0,0,"*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",53,"*","*","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",15,"*",0,0
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","*",0,0,"*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","*",0,0,0
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""",29,125,0,"*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""",30,6,"*",0
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","*",12,0,0
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","*",0,0,0
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","*",0,0,0
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","*","*",0,0
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",62,19,"*",0
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","*","*",0,0
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",0,"*",0,0
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","*",6,0,0
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",0,"*",0,0
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",27,11,0,0
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","*",6,0,0
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","*","*",0,0
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",169,69,"*",0
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",33,32,"*",0
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",83,22,0,0
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",12,42,"*",0
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",9,"*",0,0
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",13,22,0,0
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","*",11,0,7
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""",27,24,"*","*"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",0,"*",0,0
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",311,116,"*","*"
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","*",6,0,"*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",144,53,0,0
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","*",0,0,"*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","*",0,0,0
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","*",0,0,0
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",24,"*",0,0
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",40,37,"*","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","*",0,0,0
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""",0,"*",0,0
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",12,15,"*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""",34,40,0,0
