"Sanction Counts, 2012-13"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",230,398,"*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",19,"*",0,"*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",59,13,0,0
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",162,32,7,0
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",9,"*",0,0
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",322,102,7,0
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",8,"*",0,0
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",6,0,0,0
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",370,156,10,18
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",0,0,0,"*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",26,"*",0,6
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",6,"*",0,0
"Explorations District","=""2720013""","Explorations","=""2726113""",19,11,0,0
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",104,6,0,0
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",94,26,0,0
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",18,"*",0,0
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",0,"*",0,0
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",10,"*",0,0
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",64,15,0,0
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",35,8,0,"*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","*","*",0,"*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",30,47,0,0
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","*","*",0,0
"Farmington School District","=""0520011""","Union School","=""0520111""",8,"*",0,"*"
"Farmington School District","=""0520011""","West District School","=""0520311""","*",0,0,0
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","*","*",0,"*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","*",0,0,0
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","*",8,0,0
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",97,32,6,"*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","*","*",0,0
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",27,"*",0,0
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*","*",0,"*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",30,"*","*","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",16,"*",0,6
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","*",7,0,"*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","*",0,0,0
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",6,19,0,0
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",7,"*",0,0
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","*",0,0,0
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",147,40,7,"*"
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","*","*",0,0
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",0,"*",0,0
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",0,"*",0,0
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",44,"*",0,0
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","*","*",0,0
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",247,86,"*",0
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",57,14,"*",0
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",74,26,"*","*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0590311""",27,59,0,0
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",27,59,0,0
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","*","*",0,0
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",12,9,"*","*"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",0,6,0,"*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",16,"*",0,0
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",245,114,12,"*"
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","*","*",0,0
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",101,46,0,0
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","*","*",0,0
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","*","*",0,"*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",38,6,0,0
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",79,42,"*",0
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""",0,"*",0,0
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","*","*",0,"*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""",7,28,0,0
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",11,"*",0,"*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",702,340,15,"*"
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",303,98,"*",18
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","*","*",0,0
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","*",31,0,"*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","*",7,0,0
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",40,"*",0,"*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""",0,"*",0,0
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",132,247,"*",0
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",45,211,"*","*"
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""","*",10,0,0
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","*",6,0,0
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","*",96,6,0
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",21,110,"*",0
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",320,587,"*",8
"Hartford School District","=""0640011""","Burr School","=""0642311""",21,147,"*",0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",0,95,"*",0
"Hartford School District","=""0640011""","Clark School","=""0642411""","*",92,0,0
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",356,42,0,"*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",305,175,7,0
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","*",49,0,0
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""",23,39,"*",0
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","*","*",0,0
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",54,68,0,0
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",21,69,0,0
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",0,33,0,0
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",130,50,"*",0
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",97,41,6,"*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",409,78,"*","*"
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",236,359,7,0
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","*",110,"*",0
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","*",182,9,"*"
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""","*",31,0,0
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","*",128,"*",0
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",298,396,9,"*"
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",92,204,"*",0
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",73,235,"*",14
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",67,114,"*","*"
