"Six-Year Graduation Rates, 2012-13"
"All Districts, Special Education Status"

"",,,"Graduates",
"New Haven School District","Non-Special Education",1158,907,78.3
"New Haven School District","Special Education",146,105,71.9
"New London School District","Non-Special Education",218,159,72.9
"New London School District","Special Education",39,20,51.3
"New Milford School District","Non-Special Education",337,315,93.5
"New Milford School District","Special Education",53,36,67.9
"Newington School District","Non-Special Education",337,320,95.0
"Newington School District","Special Education",38,25,65.8
"Newtown School District","Non-Special Education",428,419,97.9
"Newtown School District","Special Education",42,36,85.7
"North Branford School District","Non-Special Education",149,146,98.0
"North Branford School District","Special Education",21,19,90.5
"North Haven School District","Non-Special Education",274,255,93.1
"North Haven School District","Special Education",37,30,81.1
"North Stonington School District","Non-Special Education","*","*","*"
"North Stonington School District","Special Education","*","*","*"
"Norwalk School District","Non-Special Education",699,616,88.1
"Norwalk School District","Special Education",80,67,83.8
"Norwich Free Academy District","Non-Special Education",504,447,88.7
"Norwich Free Academy District","Special Education",82,56,68.3
"Old Saybrook School District","Non-Special Education",129,123,95.3
"Old Saybrook School District","Special Education",10,9,90.0
"Oxford School District","Non-Special Education",146,144,98.6
"Oxford School District","Special Education",9,7,77.8
"Plainfield School District","Non-Special Education",166,156,94.0
"Plainfield School District","Special Education",32,23,71.9
"Plainville School District","Non-Special Education",177,164,92.7
"Plainville School District","Special Education",30,23,76.7
"Plymouth School District","Non-Special Education",117,103,88.0
"Plymouth School District","Special Education",10,9,90.0
"Portland School District","Non-Special Education",86,75,87.2
"Portland School District","Special Education",7,6,85.7
"Putnam School District","Non-Special Education",77,71,92.2
"Putnam School District","Special Education",20,16,80.0
"Regional School District 01","Non-Special Education",97,90,92.8
"Regional School District 01","Special Education",12,11,91.7
"Regional School District 04","Non-Special Education",142,139,97.9
"Regional School District 04","Special Education",20,17,85.0
"Regional School District 05","Non-Special Education",353,343,97.2
"Regional School District 05","Special Education",41,39,95.1
"Regional School District 06","Non-Special Education",83,81,97.6
"Regional School District 06","Special Education",13,12,92.3
"Regional School District 07","Non-Special Education",168,165,98.2
"Regional School District 07","Special Education",26,22,84.6
"Regional School District 08","Non-Special Education",246,233,94.7
"Regional School District 08","Special Education",39,34,87.2
"Regional School District 09","Non-Special Education",209,206,98.6
"Regional School District 09","Special Education",29,25,86.2
"Regional School District 10","Non-Special Education",174,169,97.1
"Regional School District 10","Special Education",24,19,79.2
"Regional School District 11","Non-Special Education",31,28,90.3
"Regional School District 11","Special Education",13,10,76.9
"Regional School District 12","Non-Special Education",72,67,93.1
"Regional School District 12","Special Education",16,14,87.5
"Regional School District 13","Non-Special Education",127,125,98.4
"Regional School District 13","Special Education",33,24,72.7
"Regional School District 14","Non-Special Education",174,169,97.1
"Regional School District 14","Special Education",26,23,88.5
"Regional School District 15","Non-Special Education",270,266,98.5
"Regional School District 15","Special Education",49,45,91.8
"Regional School District 16","Non-Special Education",173,161,93.1
"Regional School District 16","Special Education",13,11,84.6
"Regional School District 17","Non-Special Education",135,134,99.3
"Regional School District 17","Special Education",29,26,89.7
"Regional School District 18","Non-Special Education",99,97,98.0
"Regional School District 18","Special Education",13,12,92.3
"Regional School District 19","Non-Special Education",266,258,97.0
"Regional School District 19","Special Education",48,36,75.0
"Ridgefield School District","Non-Special Education",372,371,99.7
"Ridgefield School District","Special Education",42,37,88.1
"Rocky Hill School District","Non-Special Education",153,146,95.4
"Rocky Hill School District","Special Education",23,20,87.0
"Seymour School District","Non-Special Education",163,146,89.6
"Seymour School District","Special Education",17,14,82.4
"Shelton School District","Non-Special Education",368,350,95.1
"Shelton School District","Special Education",27,20,74.1
"Simsbury School District","Non-Special Education",351,348,99.1
"Simsbury School District","Special Education",53,46,86.8
"Somers School District","Non-Special Education",132,130,98.5
"Somers School District","Special Education",15,14,93.3
"South Windsor School District","Non-Special Education",341,331,97.1
"South Windsor School District","Special Education",44,41,93.2
"Southington School District","Non-Special Education",424,407,96.0
"Southington School District","Special Education",64,58,90.6
"Stafford School District","Non-Special Education",117,108,92.3
"Stafford School District","Special Education",12,8,66.7
"Stamford Academy District","Non-Special Education","*","*","*"
"Stamford Academy District","Special Education","*","*","*"
"Stamford School District","Non-Special Education",1097,1011,92.2
"Stamford School District","Special Education",114,101,88.6
"Stonington School District","Non-Special Education",175,172,98.3
"Stonington School District","Special Education",28,23,82.1
"Stratford School District","Non-Special Education",489,467,95.5
"Stratford School District","Special Education",66,53,80.3
"Suffield School District","Non-Special Education",195,188,96.4
"Suffield School District","Special Education",23,20,87.0
"The Bridge Academy District","Non-Special Education",30,"*","*"
"The Bridge Academy District","Special Education",6,"*","*"
"The Gilbert School District","Non-Special Education",78,65,83.3
"The Gilbert School District","Special Education",9,7,77.8
"Thomaston School District","Non-Special Education",65,63,96.9
"Thomaston School District","Special Education",13,12,92.3
"Thompson School District","Non-Special Education",75,69,92.0
"Thompson School District","Special Education",10,10,100.0
"Tolland School District","Non-Special Education",222,213,95.9
"Tolland School District","Special Education",21,17,81.0
"Torrington School District","Non-Special Education",230,207,90.0
"Torrington School District","Special Education",44,40,90.9
"Trumbull School District","Non-Special Education",514,509,99.0
"Trumbull School District","Special Education",33,32,97.0
"Unified School District #1","Non-Special Education",339,"*","*"
"Unified School District #1","Special Education",161,"*","*"
"Unified School District #2","Non-Special Education",20,6,30.0
"Unified School District #2","Special Education",20,10,50.0
"Vernon School District","Non-Special Education",204,181,88.7
"Vernon School District","Special Education",34,23,67.6
"Wallingford School District","Non-Special Education",464,443,95.5
"Wallingford School District","Special Education",70,54,77.1
"Waterbury School District","Non-Special Education",1074,773,72.0
"Waterbury School District","Special Education",216,128,59.3
"Waterford School District","Non-Special Education",208,202,97.1
"Waterford School District","Special Education",34,26,76.5
"Watertown School District","Non-Special Education",237,220,92.8
"Watertown School District","Special Education",34,28,82.4
"West Hartford School District","Non-Special Education",741,716,96.6
"West Hartford School District","Special Education",86,76,88.4
"West Haven School District","Non-Special Education",395,290,73.4
"West Haven School District","Special Education",40,25,62.5
"Westbrook School District","Non-Special Education",71,69,97.2
"Westbrook School District","Special Education",7,6,85.7
"Weston School District","Non-Special Education",186,186,100.0
"Weston School District","Special Education",22,20,90.9
"Westport School District","Non-Special Education",409,409,100.0
"Westport School District","Special Education",56,55,98.2
"Wethersfield School District","Non-Special Education",242,232,95.9
"Wethersfield School District","Special Education",25,17,68.0
"Wilton School District","Non-Special Education",274,271,98.9
"Wilton School District","Special Education",50,45,90.0
"Windham School District","Non-Special Education",156,134,85.9
"Windham School District","Special Education",36,29,80.6
"Windsor Locks School District","Non-Special Education",124,117,94.4
"Windsor Locks School District","Special Education",15,13,86.7
"Windsor School District","Non-Special Education",300,279,93.0
"Windsor School District","Special Education",46,36,78.3
"Wolcott School District","Non-Special Education",196,189,96.4
"Wolcott School District","Special Education",23,20,87.0
"Woodstock Academy District","Non-Special Education",265,259,97.7
"Woodstock Academy District","Special Education",16,12,75.0

