"Six-Year Graduation Rates, 2011-12"
"All Districts, All Students"

"",,,"Graduates",
"Hartford School District","=""0640011""",1390,1045,75.2
"Killingly School District","=""0690011""",185,157,84.9
"Lebanon School District","=""0710011""",129,118,91.5
"Ledyard School District","=""0720011""",210,197,93.8
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""",103,"*","*"
"Madison School District","=""0760011""",336,329,97.9
"Manchester School District","=""0770011""",510,411,80.6
"Meriden School District","=""0800011""",622,468,75.2
"Middletown School District","=""0830011""",342,290,84.8
"Milford School District","=""0840011""",511,472,92.4
"Monroe School District","=""0850011""",338,"*","*"
"Montville School District","=""0860011""",221,194,87.8
"Naugatuck School District","=""0880011""",369,319,86.4
"New Britain School District","=""0890011""",668,459,68.7
"New Canaan School District","=""0900011""",330,328,99.4
"New Fairfield School District","=""0910011""",232,"*","*"
"New Haven School District","=""0930011""",1323,1011,76.4
"New London School District","=""0950011""",239,167,69.9
"New Milford School District","=""0960011""",391,364,93.1
"Newington School District","=""0940011""",335,312,93.1
"Newtown School District","=""0970011""",404,389,96.3
"North Branford School District","=""0990011""",162,150,92.6
"North Haven School District","=""1010011""",290,275,94.8
"North Stonington School District","=""1020011""",54,49,90.7
"Norwalk School District","=""1030011""",871,767,88.1
"Norwich Free Academy District","=""9010022""",637,559,87.8
"Norwich School District","=""1040011""",68,26,38.2
"Old Saybrook School District","=""1060011""",144,"*","*"
"Oxford School District","=""1080011""",146,134,91.8
"Plainfield School District","=""1090011""",201,181,90.0
"Plainville School District","=""1100011""",204,192,94.1
"Plymouth School District","=""1110011""",139,124,89.2
"Portland School District","=""1130011""",90,84,93.3
"Putnam School District","=""1160011""",69,63,91.3
"Regional School District 01","=""2010012""",140,133,95.0
"Regional School District 04","=""2040012""",159,148,93.1
"Regional School District 05","=""2050012""",434,423,97.5
"Regional School District 06","=""2060012""",87,"*","*"
"Regional School District 07","=""2070012""",203,194,95.6
"Regional School District 08","=""2080012""",296,280,94.6
"Regional School District 09","=""2090012""",239,"*","*"
"Regional School District 10","=""2100012""",229,224,97.8
"Regional School District 11","=""2110012""",43,"*","*"
"Regional School District 12","=""2120012""",74,64,86.5
"Regional School District 13","=""2130012""",142,"*","*"
"Regional School District 14","=""2140012""",196,193,98.5
"Regional School District 15","=""2150012""",327,316,96.6
"Regional School District 16","=""2160012""",194,186,95.9
"Regional School District 17","=""2170012""",189,179,94.7
"Regional School District 18","=""2180012""",104,"*","*"
"Regional School District 19","=""2190012""",300,279,93.0
"Ridgefield School District","=""1180011""",443,"*","*"
"Rocky Hill School District","=""1190011""",209,199,95.2
"Seymour School District","=""1240011""",153,139,90.8
"Shelton School District","=""1260011""",426,402,94.4
"Simsbury School District","=""1280011""",407,400,98.3
"Somers School District","=""1290011""",141,"*","*"
"South Windsor School District","=""1320011""",385,372,96.6
"Southington School District","=""1310011""",494,476,96.4
"Stafford School District","=""1340011""",140,126,90.0
"Stamford Academy District","=""2820013""",44,30,68.2
"Stamford School District","=""1350011""",1174,1057,90.0
"Stonington School District","=""1370011""",181,172,95.0
"Stratford School District","=""1380011""",580,521,89.8
"Suffield School District","=""1390011""",206,191,92.7
"The Bridge Academy District","=""2690013""",41,33,80.5
"The Gilbert School District","=""9020022""",89,"*","*"
"Thomaston School District","=""1400011""",93,87,93.5
"Thompson School District","=""1410011""",101,90,89.1
"Tolland School District","=""1420011""",231,"*","*"
"Torrington School District","=""1430011""",302,253,83.8
"Trumbull School District","=""1440011""",542,532,98.2
"Unified School District #1","=""3360015""",747,23,3.1
"Unified School District #2","=""3470015""",32,"*","*"
"Vernon School District","=""1460011""",261,225,86.2
"Wallingford School District","=""1480011""",539,500,92.8
"Waterbury School District","=""1510011""",1265,855,67.6
"Waterford School District","=""1520011""",242,227,93.8
"Watertown School District","=""1530011""",233,217,93.1
"West Hartford School District","=""1550011""",752,721,95.9
"West Haven School District","=""1560011""",385,293,76.1
"Westbrook School District","=""1540011""",82,"*","*"
"Weston School District","=""1570011""",190,190,100.0
"Westport School District","=""1580011""",427,421,98.6
"Wethersfield School District","=""1590011""",291,272,93.5
"Wilton School District","=""1610011""",312,"*","*"
"Windham School District","=""1630011""",182,141,77.5
"Windsor Locks School District","=""1650011""",148,140,94.6
"Windsor School District","=""1640011""",317,288,90.9
"Wolcott School District","=""1660011""",219,210,95.9
"Woodstock Academy District","=""9030022""",286,274,95.8

