"FTE Staffing Report for Trend"

"",,,"Year",,,,
="Deep River School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
="Derby School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.2,6.2,6.2,6.2,6.0
="East Granby School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.7,5.7,6.2,6.2,6.2
="East Haddam School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.6,5.6,5.5,5.5,5.0
="East Hampton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.2,7.0,7.0,7.0,7.0
="East Hartford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",32.0,35.4,34.9,34.4,26.5
="East Haven School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",15.4,18.0,16.0,16.0,16.0
="East Lyme School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.4,9.7,9.7,9.5,9.5
="East Windsor School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.1,7.1,6.1,5.1,6.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.8,5.0,5.0,6.0,9.8
="Eastford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.8,0.8,0.8,0.8,1.0
="Easton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.0,5.0,5.0,5.4,4.0
="Ellington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0,8.4,8.4,8.4,9.6
="Elm City College Preparatory School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.5,6.0,6.5,8.0,9.0
="Enfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",27.6,29.2,31.4,28.4,27.8
="Essex School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
="Explorations District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.8,1.9,2.0
="Fairfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",40.4,40.4,39.8,39.8,40.8
="Farmington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.6,16.6,15.6,16.6,18.0
="Franklin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,.,1.0,1.0,0.6
="Glastonbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",34.5,24.3,25.1,24.7,25.5
="Granby School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0,8.0,7.0,7.0,8.1
="Greenwich School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",42.8,44.1,43.1,43.5,45.0
="Griswold School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.7,8.8,10.2,10.2,6.2
="Groton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.2,24.2,21.2,24.2,21.2
="Guilford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.6,17.0,17.4,17.6,17.9
="Hamden School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",19.2,19.2,19.0,21.2,24.5
="Hampton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.8,0.8,1.0,1.0,0.8
="Hartford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",93.8,96.0,104.0,112.0,135.0
="Hartland School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
="Hebron School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,2.5,2.5
="Highville Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,1.0,3.0,5.3
="Integrated Day Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,3.0,3.0,3.0
="Interdistrict School for Arts and Comm District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,3.0,1.0
="Jumoke Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,4.0,2.0,4.0
="Kent School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
="Killingly School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.4,11.4,11.6,10.8,12.1
="Learn",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.5,9.7,9.7,13.0,13.4
="Lebanon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.5,4.5,4.9,4.4,4.4
="Ledyard School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.0,11.5,11.0,11.7,12.7
="Lisbon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,2.0,2.0
="Litchfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.2,2.2,4.2,4.2,4.2
="Madison School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.6,18.6,18.6,18.4,16.8
="Manchester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.8,25.8,24.2,26.2,28.6
="Mansfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.0,5.0,5.0,5.0,5.0
="Marlborough School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
="Meriden School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",26.2,26.4,25.2,24.0,32.5
="Middletown School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",19.0,19.0,19.8,19.5,20.0
="Milford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",21.7,23.7,22.2,24.0,28.5
="Monroe School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.0,13.2,13.4,17.0,18.0
="Montville School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.0,13.1,13.4,13.4,13.6
="Naugatuck School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.1,16.0,16.0,16.6,16.0
="New Beginnings Inc Family Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,5.0,4.0,3.0,3.0
="New Britain School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",25.0,26.0,30.7,33.8,32.0
="New Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.3,18.3,18.1,18.1,18.3
="New Fairfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.0,10.9,12.2,12.6,13.3
="New Hartford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,3.0,2.0
="New Haven School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",97.0,84.0,92.0,93.0,118.4
="New London School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.9,15.1,15.2,16.4,20.7
="New Milford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.9,16.7,19.1,19.5,20.3
="Newington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.4,17.0,18.0,19.8,22.0
="Newtown School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.2,17.6,16.6,18.4,20.6
="Norfolk School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
="North Branford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.3,8.9,8.7,8.7,8.6
="North Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
="North Haven School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.2,15.2,17.2,17.0,18.6
="North Stonington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.8,2.8,2.9,3.0,2.8
="Norwalk School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",47.8,47.8,39.6,39.0,45.6
="Norwich Free Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0,10.0,9.5,9.5,13.4
="Norwich School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.0,12.0,15.0,16.0,14.6
="Odyssey Community School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,3.0,2.0,2.0
="Old Saybrook School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.6,5.4,5.4,5.4,5.4
="Orange School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.5,3.5,3.5,3.5,3.0
="Oxford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.8,6.4,7.6,7.2,7.2
="Park City Prep Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,2.0,2.0,2.0,3.0
="Plainfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0,8.0,8.0,8.0,9.4
="Plainville School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.5,9.5,9.5,9.5,9.0
="Plymouth School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0,6.0,6.0,7.0,5.0
="Pomfret School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,2.6,2.6,2.6
="Portland School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0,7.0,7.0,7.0,7.0
="Preston School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.2,2.2,2.0,2.0,2.0
="Putnam School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.0,5.0,4.0,5.0,5.0
="Redding School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0,6.0,7.0,6.0,4.0
="Regional School District 01",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.8,3.8,3.6,1.2,3.6
="Regional School District 04",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.1,4.2,4.0,4.0,4.0
="Regional School District 05",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.2,12.2,12.2,11.4,13.2
="Regional School District 06",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.4,5.4,5.4,5.6,4.8
="Regional School District 07",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0,6.0,6.0,6.4,5.8
="Regional School District 08",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.8,7.8,7.4,7.6,9.4
="Regional School District 09",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.4,7.6,7.6,8.1,9.1
="Regional School District 10",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.8,13.8,15.7,14.8,16.0
="Regional School District 11",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.1,2.1,2.1,1.7
="Regional School District 12",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.3,4.4,5.9,5.6,5.4
="Regional School District 13",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.4,9.4,8.0,7.8,7.8
="Regional School District 14",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.8,8.2,8.4,9.9,6.4
="Regional School District 15",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.6,16.4,22.8,22.8,17.0
="Regional School District 16",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.4,12.8,12.0,11.0,11.6
="Regional School District 17",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.0,10.0,5.0,8.0,7.0
="Regional School District 18",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0,6.0,7.0,9.5,7.0
="Regional School District 19",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.6,6.6,6.4,5.0,6.8
="Ridgefield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",22.2,22.2,19.8,19.6,20.0
="Rocky Hill School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0,7.0,6.0,7.0,7.2
="Salem School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.3,2.0,2.3,2.3,.
"Salisbury School District","Administrators  Coordinators and Department Chairs - School Level","Certified",1.0,1.0,1.0,1.0,1.0
="Scotland School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.5,0.5,.,1.4,1.0
="Seymour School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.5,11.0,12.0,10.0,10.0
="Sharon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
="Shelton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.2,18.4,18.6,18.4,22.0
="Sherman School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,0.5
="Side By Side Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.2,1.6,1.6,2.2,.
"Simsbury School District","Administrators  Coordinators and Department Chairs - School Level","Certified",21.0,22.3,22.6,23.6,23.4
="Somers School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0,6.0,6.0,6.0,6.0
="South Windsor School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.0,18.0,17.4,18.8,21.1
="Southington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.0,23.2,22.1,22.3,23.8
="Sprague School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.4,1.0,1.0,1.0
="Stafford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0,7.0,7.0,7.0,7.0
="Stamford Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,3.0,2.0,2.0,2.5
="Stamford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",61.3,59.4,58.2,78.0,64.5
="Sterling School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,1.0,1.0,1.0,1.0
="Stonington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.7,10.2,10.3,11.1,10.3
="Stratford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",31.5,31.0,33.7,33.7,31.5
="Suffield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.1,8.0,9.1,8.0,11.0
="The Bridge Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.3,0.8
="The Gilbert School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.9,4.8,4.4,4.6,4.4
="Thomaston School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.2,4.4,4.4,4.4,4.0
="Thompson School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.2,5.1,5.1,5.5,4.6
="Tolland School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.4,9.3,9.9,9.3,9.9
="Torrington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.2,12.2,13.2,14.2,17.4
="Trailblazers Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,3.0,3.0,3.0,1.5
="Trumbull School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",27.3,27.9,27.1,27.5,24.7
="Unified School District #1",="Administrators  Coordinators and Department Chairs - School Level",="Certified",15.0,13.0,13.8,11.6,12.0
="Unified School District #2",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0,7.0,6.0,6.0,7.0
="Union School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,.
"Vernon School District","Administrators  Coordinators and Department Chairs - School Level","Certified",12.6,12.6,14.1,13.4,18.9
="Voluntown School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
="Wallingford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",24.3,24.2,23.7,23.5,23.2
="Waterbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",92.1,83.7,85.1,89.7,80.8
="Waterford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.6,10.8,11.0,11.0,11.0
="Watertown School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.0,10.3,12.3,12.0,8.0
="West Hartford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",40.4,39.5,38.4,38.6,40.6
="West Haven School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",19.8,22.8,22.3,21.8,24.3
="Westbrook School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,3.0,3.6
="Weston School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.4,10.3,9.0,10.6,10.2
="Westport School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",38.6,36.8,36.3,37.3,34.6
="Wethersfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.0,10.0,11.0,11.5,11.0
="Willington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
="Wilton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",15.0,15.0,15.0,15.0,17.0
="Winchester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.2,2.0,2.0,4.0,3.0
="Windham School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.7,14.0,18.7,17.6,21.0
="Windsor Locks School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.4,7.4,6.4,7.4,6.0
="Windsor School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.0,17.1,16.1,17.0,16.6
="Wolcott School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.3,9.2,9.4,9.7,10.2
="Woodbridge School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
="Woodstock Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.9,10.2,11.1,9.5,10.6
="Woodstock School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.0,4.0,4.0,3.0,2.5
="Brass City Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,0.3,.
"EdAdvance","Administrators  Coordinators and Department Chairs - School Level","Certified",.,.,.,1.0,1.4
="Great Oaks Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,1.0
="Path Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,2.0

