"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, English Learner Status (EL)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",112,111,99.1,110,18,16.4,26,23.6,34,30.9,23,20.9,9,8.2,32,29.1
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",62,62,100.0,62,"*","*","*","*",22,35.5,22,35.5,7,11.3,29,46.8
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","N",117,115,98.3,115,"*","*","*","*",14,12.2,54,47.0,34,29.6,88,76.5
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",78,78,100.0,78,"*","*","*","*",27,34.6,29,37.2,17,21.8,46,59.0
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","N",51,50,98.0,50,0,0.0,0,0.0,6,12.0,32,64.0,12,24.0,44,88.0
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","N",453,450,99.3,450,20,4.4,35,7.8,80,17.8,235,52.2,80,17.8,315,70.0
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",196,195,99.5,194,48,24.7,47,24.2,53,27.3,38,19.6,8,4.1,46,23.7
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",28,27,96.4,27,7,25.9,12,44.4,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","N",101,100,99.0,100,46,46.0,21,21.0,20,20.0,"*","*","*","*",13,13.0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","N",76,76,100.0,76,9,11.8,18,23.7,13,17.1,30,39.5,6,7.9,36,47.4
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","N",43,42,97.7,42,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","N",105,105,100.0,105,42,40.0,28,26.7,28,26.7,"*","*","*","*",7,6.7
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Y",24,24,100.0,24,14,58.3,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","N",122,121,99.2,114,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","N",34,33,97.1,33,10,30.3,"*","*",10,30.3,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","N",139,134,96.4,134,91,67.9,21,15.7,13,9.7,9,6.7,0,0.0,9,6.7
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Y",68,68,100.0,68,59,86.8,"*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","N",28,28,100.0,28,"*","*",7,25.0,11,39.3,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","N",79,75,94.9,75,19,25.3,20,26.7,"*","*",19,25.3,"*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","N",156,156,100.0,156,60,38.5,38,24.4,33,21.2,"*","*","*","*",25,16.0
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Y",107,107,100.0,107,88,82.2,9,8.4,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","N",89,87,97.8,82,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","N",81,81,100.0,81,"*","*","*","*",25,30.9,37,45.7,9,11.1,46,56.8
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","N",67,66,98.5,66,"*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","N",70,70,100.0,70,"*","*",17,24.3,16,22.9,29,41.4,"*","*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","N",126,125,99.2,125,59,47.2,27,21.6,24,19.2,"*","*","*","*",15,12.0
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","N",152,148,97.4,148,66,44.6,33,22.3,28,18.9,"*","*","*","*",21,14.2
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","N",92,92,100.0,92,50,54.3,23,25.0,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","N",15,12,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","N",101,101,100.0,101,30,29.7,30,29.7,26,25.7,15,14.9,0,0.0,15,14.9
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","N",140,140,100.0,140,36,25.7,39,27.9,37,26.4,"*","*","*","*",28,20.0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","N",139,139,100.0,139,16,11.5,28,20.1,42,30.2,45,32.4,8,5.8,53,38.1
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",,89,89,100.0,89,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","N",78,78,100.0,78,39,50.0,19,24.4,13,16.7,7,9.0,0,0.0,7,9.0
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","N",221,219,99.1,219,61,27.9,57,26.0,51,23.3,50,22.8,0,0.0,50,22.8
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Y",43,42,97.7,42,26,61.9,"*","*","*","*",6,14.3,0,0.0,6,14.3
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",,77,74,96.1,74,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","N",155,154,99.4,154,65,42.2,36,23.4,33,21.4,"*","*","*","*",20,13.0
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","N",92,92,100.0,92,11,12.0,17,18.5,21,22.8,35,38.0,8,8.7,43,46.7
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",,94,94,100.0,94,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","N",197,175,88.8,168,101,60.1,38,22.6,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",51,50,98.0,49,33,67.3,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","N",364,326,89.6,321,83,25.9,66,20.6,"*","*",46,14.3,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Y",63,56,88.9,55,38,69.1,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","N",185,106,57.3,91,40,44.0,22,24.2,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Y",75,63,84.0,50,38,76.0,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",,19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","N",196,194,99.0,194,20,10.3,26,13.4,31,16.0,96,49.5,21,10.8,117,60.3
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","N",209,206,98.6,206,16,7.8,15,7.3,41,19.9,96,46.6,38,18.4,134,65.0
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N",16,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",246,242,98.4,242,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","N",278,268,96.4,268,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","N",381,376,98.7,376,16,4.3,16,4.3,35,9.3,169,44.9,140,37.2,309,82.2
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","N",209,207,99.0,207,"*","*","*","*",27,13.0,110,53.1,54,26.1,164,79.2
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","N",115,115,100.0,115,"*","*","*","*",20,17.4,70,60.9,10,8.7,80,69.6
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","N",140,140,100.0,140,"*","*","*","*",17,12.1,82,58.6,32,22.9,114,81.4
"Canton School District","=""0230011""","Canton High School","=""0236111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","N",76,75,98.7,75,23,30.7,23,30.7,17,22.7,12,16.0,0,0.0,12,16.0
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
