"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Bristol School District","=""0170011""","Bristol Eastern High School","Black or African American",*,*
"Bristol School District","=""0170011""","Bristol Eastern High School","Hispanic or Latino",*,*
"Bristol School District","=""0170011""","Bristol Eastern High School","White",75.8,86.5
"Bristol School District","=""0170011""","Community/Vocational Program","Hispanic or Latino",*,*
"Bristol School District","=""0170011""","Community/Vocational Program","White",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Asian",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Black or African American",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Hispanic or Latino",*,*
"Brookfield School District","=""0180011""","Brookfield High School","White",85.5,91.5
"Canton School District","=""0230011""","Canton High School","Asian",*,*
"Canton School District","=""0230011""","Canton High School","Black or African American",*,*
"Canton School District","=""0230011""","Canton High School","Hispanic or Latino",*,*
"Canton School District","=""0230011""","Canton High School","White",82.4,90.3
"Cheshire School District","=""0250011""","Cheshire High School","Asian",80.0,100.0
"Cheshire School District","=""0250011""","Cheshire High School","Black or African American",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Hispanic or Latino",*,*
"Cheshire School District","=""0250011""","Cheshire High School","White",87.9,94.8
"Cheshire School District","=""0250011""","Humiston School","White",*,*
"Clinton School District","=""0270011""","The Morgan School","Asian",*,*
"Clinton School District","=""0270011""","The Morgan School","Black or African American",*,*
"Clinton School District","=""0270011""","The Morgan School","Hispanic or Latino",*,*
"Clinton School District","=""0270011""","The Morgan School","White",76.0,90.5
"Colchester School District","=""0280011""","Bacon Academy","American Indian or Alaska Native",*,*
"Colchester School District","=""0280011""","Bacon Academy","Asian",*,*
"Colchester School District","=""0280011""","Bacon Academy","Black or African American",*,*
"Colchester School District","=""0280011""","Bacon Academy","Hispanic or Latino",*,*
"Colchester School District","=""0280011""","Bacon Academy","White",79.5,89.8
"Coventry School District","=""0320011""","Coventry High School","Asian",*,*
"Coventry School District","=""0320011""","Coventry High School","Hispanic or Latino",*,*
"Coventry School District","=""0320011""","Coventry High School","White",*,90.0
"Cromwell School District","=""0330011""","Cromwell High School","Asian",*,*
"Cromwell School District","=""0330011""","Cromwell High School","Black or African American",*,*
"Cromwell School District","=""0330011""","Cromwell High School","Hispanic or Latino",*,*
"Cromwell School District","=""0330011""","Cromwell High School","White",78.1,87.0
"Danbury School District","=""0340011""","Alternative Center For Excellence","Black or African American",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Hispanic or Latino",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","White",*,*
"Danbury School District","=""0340011""","Danbury High School","Asian",79.2,92.9
"Danbury School District","=""0340011""","Danbury High School","Black or African American",72.9,94.1
"Danbury School District","=""0340011""","Danbury High School","Hispanic or Latino",46.2,83.3
"Danbury School District","=""0340011""","Danbury High School","White",78.3,92.1
"Darien School District","=""0350011""","Darien High School","American Indian or Alaska Native",*,*
"Darien School District","=""0350011""","Darien High School","Asian",*,*
"Darien School District","=""0350011""","Darien High School","Black or African American",*,*
"Darien School District","=""0350011""","Darien High School","Hispanic or Latino",*,*
"Darien School District","=""0350011""","Darien High School","White",83.8,94.3
"Derby School District","=""0370011""","Derby High School","Asian",*,*
"Derby School District","=""0370011""","Derby High School","Black or African American",*,*
"Derby School District","=""0370011""","Derby High School","Hispanic or Latino",*,*
"Derby School District","=""0370011""","Derby High School","White",67.3,80.0
"East Granby School District","=""0400011""","East Granby High School","American Indian or Alaska Native",*,*
"East Granby School District","=""0400011""","East Granby High School","Asian",*,*
"East Granby School District","=""0400011""","East Granby High School","Black or African American",*,*
"East Granby School District","=""0400011""","East Granby High School","White",97.4,92.1
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Asian",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Black or African American",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Hispanic or Latino",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","White",81.2,*
"East Hampton School District","=""0420011""","East Hampton High School","Asian",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Black or African American",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Hispanic or Latino",*,*
"East Hampton School District","=""0420011""","East Hampton High School","White",79.7,86.8
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","White",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Asian",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Black or African American",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Hispanic or Latino",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","White",*,*
"East Hartford School District","=""0430011""","East Hartford High School","American Indian or Alaska Native",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Asian",*,93.1
"East Hartford School District","=""0430011""","East Hartford High School","Black or African American",56.3,84.8
"East Hartford School District","=""0430011""","East Hartford High School","Hispanic or Latino",62.5,85.0
"East Hartford School District","=""0430011""","East Hartford High School","White",68.8,86.7
"East Hartford School District","=""0430011""","Stevens Alternate High school","Asian",*,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","Black or African American",*,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","Hispanic or Latino",*,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","White",*,*
"East Hartford School District","=""0430011""","Woodland School","Black or African American",*,*
"East Hartford School District","=""0430011""","Woodland School","Hispanic or Latino",*,*
"East Hartford School District","=""0430011""","Woodland School","White",*,*
"East Haven School District","=""0440011""","East Haven High School","Asian",*,*
"East Haven School District","=""0440011""","East Haven High School","Black or African American",*,*
"East Haven School District","=""0440011""","East Haven High School","Hispanic or Latino",66.7,*
"East Haven School District","=""0440011""","East Haven High School","White",61.5,90.8
"East Haven School District","=""0440011""","Pathways","Black or African American",*,*
"East Haven School District","=""0440011""","Pathways","White",*,*
"East Lyme School District","=""0450011""","East Lyme High School","American Indian or Alaska Native",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Asian",85.7,*
"East Lyme School District","=""0450011""","East Lyme High School","Black or African American",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Hispanic or Latino",*,*
"East Lyme School District","=""0450011""","East Lyme High School","White",85.8,91.3
"East Windsor School District","=""0470011""","East Windsor High School","American Indian or Alaska Native",*,*
"East Windsor School District","=""0470011""","East Windsor High School","Asian",*,*
"East Windsor School District","=""0470011""","East Windsor High School","Black or African American",*,*
"East Windsor School District","=""0470011""","East Windsor High School","Hispanic or Latino",*,*
"East Windsor School District","=""0470011""","East Windsor High School","White",61.3,82.6
"Ellington School District","=""0480011""","Ellington High School","American Indian or Alaska Native",*,*
"Ellington School District","=""0480011""","Ellington High School","Asian",*,*
"Ellington School District","=""0480011""","Ellington High School","Black or African American",*,*
"Ellington School District","=""0480011""","Ellington High School","Hispanic or Latino",*,*
"Ellington School District","=""0480011""","Ellington High School","White",82.9,89.7
"Enfield School District","=""0490011""","Enfield High School","Asian",*,*
"Enfield School District","=""0490011""","Enfield High School","Black or African American",*,*
"Enfield School District","=""0490011""","Enfield High School","Hispanic or Latino",*,*
"Enfield School District","=""0490011""","Enfield High School","White",75.3,84.8
"Enfield School District","=""0490011""","Enrico Fermi High School","American Indian or Alaska Native",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Asian",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Black or African American",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Hispanic or Latino",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","White",79.8,85.6
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Asian",*,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Black or African American",*,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Hispanic or Latino",*,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","White",85.4,94.9
"Fairfield School District","=""0510011""","Fairfield Warde High School","Asian",*,*
"Fairfield School District","=""0510011""","Fairfield Warde High School","Black or African American",*,*
"Fairfield School District","=""0510011""","Fairfield Warde High School","Hispanic or Latino",80.0,70.0
"Fairfield School District","=""0510011""","Fairfield Warde High School","White",82.7,93.4
"Farmington School District","=""0520011""","Farmington High School","Asian",80.6,96.0
"Farmington School District","=""0520011""","Farmington High School","Black or African American",*,*
"Farmington School District","=""0520011""","Farmington High School","Hispanic or Latino",*,*
"Farmington School District","=""0520011""","Farmington High School","White",82.2,94.1
"Glastonbury School District","=""0540011""","Glastonbury High School","American Indian or Alaska Native",*,*
"Glastonbury School District","=""0540011""","Glastonbury High School","Asian",96.0,100.0
"Glastonbury School District","=""0540011""","Glastonbury High School","Black or African American",*,*
"Glastonbury School District","=""0540011""","Glastonbury High School","Hispanic or Latino",69.2,*
"Glastonbury School District","=""0540011""","Glastonbury High School","White",84.5,95.8
"Granby School District","=""0560011""","Granby Memorial High School","Asian",*,*
"Granby School District","=""0560011""","Granby Memorial High School","Black or African American",*,*
"Granby School District","=""0560011""","Granby Memorial High School","Hispanic or Latino",*,*
"Granby School District","=""0560011""","Granby Memorial High School","White",78.6,90.9
"Greenwich School District","=""0570011""","Greenwich High School","Asian",73.1,94.7
"Greenwich School District","=""0570011""","Greenwich High School","Black or African American",*,*
"Greenwich School District","=""0570011""","Greenwich High School","Hispanic or Latino",62.4,84.9
"Greenwich School District","=""0570011""","Greenwich High School","White",79.4,93.7
"Griswold School District","=""0580011""","Griswold High School","American Indian or Alaska Native",*,*
"Griswold School District","=""0580011""","Griswold High School","Asian",*,*
"Griswold School District","=""0580011""","Griswold High School","Black or African American",*,*
"Griswold School District","=""0580011""","Griswold High School","Hispanic or Latino",*,*
"Griswold School District","=""0580011""","Griswold High School","White",64.8,81.6
"Groton School District","=""0590011""","Robert E. Fitch High School","American Indian or Alaska Native",*,*
"Groton School District","=""0590011""","Robert E. Fitch High School","Asian",75.9,86.4
"Groton School District","=""0590011""","Robert E. Fitch High School","Black or African American",73.3,75.8
"Groton School District","=""0590011""","Robert E. Fitch High School","Hispanic or Latino",*,*
"Groton School District","=""0590011""","Robert E. Fitch High School","White",75.3,89.9
"Guilford School District","=""0600011""","Guilford High School","Asian",*,*
"Guilford School District","=""0600011""","Guilford High School","Black or African American",*,*
"Guilford School District","=""0600011""","Guilford High School","Hispanic or Latino",*,*
"Guilford School District","=""0600011""","Guilford High School","White",86.9,94.2
"Hamden School District","=""0620011""","Hamden High School","Asian",*,*
"Hamden School District","=""0620011""","Hamden High School","Black or African American",62.4,80.6
"Hamden School District","=""0620011""","Hamden High School","Hispanic or Latino",58.9,72.7
"Hamden School District","=""0620011""","Hamden High School","White",80.1,90.7
"Hartford School District","=""0640011""","Bulkeley High School","American Indian or Alaska Native",*,*
"Hartford School District","=""0640011""","Bulkeley High School","Asian",*,*
"Hartford School District","=""0640011""","Bulkeley High School","Black or African American",47.3,65.4
"Hartford School District","=""0640011""","Bulkeley High School","Hispanic or Latino",49.1,70.9
"Hartford School District","=""0640011""","Bulkeley High School","White",71.4,*
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Black or African American",*,*
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","White",*,*
"Hartford School District","=""0640011""","Classical Magnet School","Asian",*,*
"Hartford School District","=""0640011""","Classical Magnet School","Black or African American",89.7,91.4
"Hartford School District","=""0640011""","Classical Magnet School","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","Classical Magnet School","White",*,*
"Hartford School District","=""0640011""","Culinary Arts Academy","Black or African American",*,66.7
"Hartford School District","=""0640011""","Culinary Arts Academy","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Asian",*,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Black or African American",*,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Hispanic or Latino",43.9,*
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Asian",*,*
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Black or African American",67.5,81.5
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Hispanic or Latino",39.0,*
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","White",*,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Asian",*,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Black or African American",55.2,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Hispanic or Latino",42.9,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","White",*,*
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","Black or African American",*,*
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","White",*,*
"Hartford School District","=""0640011""","OPPortunity High School","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Asian",*,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Black or African American",66.7,79.2
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Hispanic or Latino",84.6,63.6
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","White",*,*
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Asian",*,*
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Black or African American",78.8,88.5
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Hispanic or Latino",74.1,90.0
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","White",*,*
"Hartford School District","=""0640011""","University High School of Science and Engineering","Asian",*,*
"Hartford School District","=""0640011""","University High School of Science and Engineering","Black or African American",91.7,86.4
"Hartford School District","=""0640011""","University High School of Science and Engineering","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","University High School of Science and Engineering","White",*,*
"Hartford School District","=""0640011""","Weaver High School","Black or African American",49.6,79.4
"Hartford School District","=""0640011""","Weaver High School","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","Weaver High School","White",*,*
"Killingly School District","=""0690011""","Killingly High School","American Indian or Alaska Native",*,*
"Killingly School District","=""0690011""","Killingly High School","Black or African American",*,*
"Killingly School District","=""0690011""","Killingly High School","Hispanic or Latino",*,*
"Killingly School District","=""0690011""","Killingly High School","White",68.2,84.2
"Lebanon School District","=""0710011""","Lyman Memorial High School","Asian",*,*
"Lebanon School District","=""0710011""","Lyman Memorial High School","Black or African American",*,*
"Lebanon School District","=""0710011""","Lyman Memorial High School","Hispanic or Latino",*,*
"Lebanon School District","=""0710011""","Lyman Memorial High School","White",*,*
"Ledyard School District","=""0720011""","Ledyard High School","American Indian or Alaska Native",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Asian",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Black or African American",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Hispanic or Latino",72.7,*
"Ledyard School District","=""0720011""","Ledyard High School","White",77.5,87.9
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","White",*,*
"Litchfield School District","=""0740011""","Litchfield High School","Asian",*,*
"Litchfield School District","=""0740011""","Litchfield High School","Hispanic or Latino",*,*
"Litchfield School District","=""0740011""","Litchfield High School","White",78.6,85.2
"Madison School District","=""0760011""","Daniel Hand High School","Asian",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Black or African American",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Hispanic or Latino",*,*
"Madison School District","=""0760011""","Daniel Hand High School","White",84.6,93.3
"Manchester School District","=""0770011""","Manchester High School","Asian",80.8,90.5
"Manchester School District","=""0770011""","Manchester High School","Black or African American",64.5,89.8
"Manchester School District","=""0770011""","Manchester High School","Hispanic or Latino",60.0,88.1
"Manchester School District","=""0770011""","Manchester High School","White",75.2,88.8
"Manchester School District","=""0770011""","Manchester Regional Academy","Asian",*,*
"Manchester School District","=""0770011""","Manchester Regional Academy","Black or African American",*,*
"Manchester School District","=""0770011""","Manchester Regional Academy","Hispanic or Latino",*,*
"Manchester School District","=""0770011""","Manchester Regional Academy","White",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Asian",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Black or African American",62.5,65.0
"Meriden School District","=""0800011""","Francis T. Maloney High School","Hispanic or Latino",43.2,62.5
"Meriden School District","=""0800011""","Francis T. Maloney High School","White",76.5,88.6
"Meriden School District","=""0800011""","Orville H. Platt High School","American Indian or Alaska Native",*,*
"Meriden School District","=""0800011""","Orville H. Platt High School","Asian",*,*
"Meriden School District","=""0800011""","Orville H. Platt High School","Black or African American",*,*
"Meriden School District","=""0800011""","Orville H. Platt High School","Hispanic or Latino",43.9,69.4
"Meriden School District","=""0800011""","Orville H. Platt High School","White",59.6,86.8
"Middletown School District","=""0830011""","Middletown High School","Asian",*,*
"Middletown School District","=""0830011""","Middletown High School","Black or African American",61.6,80.0
"Middletown School District","=""0830011""","Middletown High School","Hispanic or Latino",50.0,*
"Middletown School District","=""0830011""","Middletown High School","White",72.4,88.6
"Milford School District","=""0840011""","Jonathan Law High School","American Indian or Alaska Native",*,*
"Milford School District","=""0840011""","Jonathan Law High School","Asian",*,*
"Milford School District","=""0840011""","Jonathan Law High School","Black or African American",*,*
"Milford School District","=""0840011""","Jonathan Law High School","Hispanic or Latino",78.3,*
"Milford School District","=""0840011""","Jonathan Law High School","White",69.1,86.5
"Milford School District","=""0840011""","Joseph A. Foran High School","American Indian or Alaska Native",*,*
"Milford School District","=""0840011""","Joseph A. Foran High School","Asian",*,*
"Milford School District","=""0840011""","Joseph A. Foran High School","Black or African American",*,*
"Milford School District","=""0840011""","Joseph A. Foran High School","Hispanic or Latino",*,*
"Milford School District","=""0840011""","Joseph A. Foran High School","White",76.9,92.5
"Monroe School District","=""0850011""","Masuk High School","American Indian or Alaska Native",*,*
"Monroe School District","=""0850011""","Masuk High School","Asian",*,*
"Monroe School District","=""0850011""","Masuk High School","Black or African American",*,*
"Monroe School District","=""0850011""","Masuk High School","Hispanic or Latino",*,*
"Monroe School District","=""0850011""","Masuk High School","White",87.1,92.2
"Montville School District","=""0860011""","Montville High School","American Indian or Alaska Native",*,*
"Montville School District","=""0860011""","Montville High School","Asian",*,*
"Montville School District","=""0860011""","Montville High School","Black or African American",*,*
"Montville School District","=""0860011""","Montville High School","Hispanic or Latino",*,*
"Montville School District","=""0860011""","Montville High School","White",74.5,85.0
"Montville School District","=""0860011""","Palmer Academy","White",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","Asian",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","Black or African American",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","Hispanic or Latino",61.8,85.7
"Naugatuck School District","=""0880011""","Naugatuck High School","White",59.0,85.7
"New Britain School District","=""0890011""","Academic Extension Center","Black or African American",*,*
"New Britain School District","=""0890011""","Academic Extension Center","Hispanic or Latino",*,*
"New Britain School District","=""0890011""","New Britain High School","Asian",*,*
"New Britain School District","=""0890011""","New Britain High School","Black or African American",63.6,71.4
"New Britain School District","=""0890011""","New Britain High School","Hispanic or Latino",44.4,70.8
"New Britain School District","=""0890011""","New Britain High School","White",63.1,88.1
"New Britain School District","=""0890011""","New Britain Transition Center","Hispanic or Latino",*,*
"New Canaan School District","=""0900011""","New Canaan High School","Asian",*,*
"New Canaan School District","=""0900011""","New Canaan High School","Black or African American",*,*
"New Canaan School District","=""0900011""","New Canaan High School","Hispanic or Latino",*,*
"New Canaan School District","=""0900011""","New Canaan High School","White",81.0,94.1
"New Fairfield School District","=""0910011""","New Fairfield High School","Asian",*,*
"New Fairfield School District","=""0910011""","New Fairfield High School","Black or African American",*,*
"New Fairfield School District","=""0910011""","New Fairfield High School","Hispanic or Latino",*,*
"New Fairfield School District","=""0910011""","New Fairfield High School","White",82.1,88.6
"New Haven School District","=""0930011""","Cooperative High School","Black or African American",55.1,74.1
"New Haven School District","=""0930011""","Cooperative High School","Hispanic or Latino",47.8,*
"New Haven School District","=""0930011""","Cooperative High School","White",80.0,75.0
"New Haven School District","=""0930011""","High School In The Community","Black or African American",55.6,60.0
"New Haven School District","=""0930011""","High School In The Community","Hispanic or Latino",*,*
"New Haven School District","=""0930011""","High School In The Community","White",*,*
"New Haven School District","=""0930011""","Hill Regional Career High School","Asian",*,*
"New Haven School District","=""0930011""","Hill Regional Career High School","Black or African American",77.6,84.7
"New Haven School District","=""0930011""","Hill Regional Career High School","Hispanic or Latino",68.8,84.8
"New Haven School District","=""0930011""","Hill Regional Career High School","White",*,*
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","Black or African American",63.6,*
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","Hispanic or Latino",*,*
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","White",*,*
"New Haven School District","=""0930011""","James Hillhouse High School","Asian",*,*
"New Haven School District","=""0930011""","James Hillhouse High School","Black or African American",63.5,70.1
"New Haven School District","=""0930011""","James Hillhouse High School","Hispanic or Latino",*,*
"New Haven School District","=""0930011""","Metropolitan Business Academy","Black or African American",*,*
"New Haven School District","=""0930011""","Metropolitan Business Academy","Hispanic or Latino",*,*
"New Haven School District","=""0930011""","Metropolitan Business Academy","White",*,*
"New Haven School District","=""0930011""","New Haven Academy","Black or African American",*,*
"New Haven School District","=""0930011""","New Haven Academy","Hispanic or Latino",*,*
"New Haven School District","=""0930011""","New Haven Academy","White",*,*
"New Haven School District","=""0930011""","Polly T. McCabe Center","Black or African American",-200.0,-200.0
"New Haven School District","=""0930011""","Polly T. McCabe Center","Hispanic or Latino",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","Black or African American",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","Hispanic or Latino",*,*
"New Haven School District","=""0930011""","Sound School","Asian",*,*
"New Haven School District","=""0930011""","Sound School","Black or African American",*,*
"New Haven School District","=""0930011""","Sound School","Hispanic or Latino",55.0,*
"New Haven School District","=""0930011""","Sound School","White",62.5,72.5
"New Haven School District","=""0930011""","Wilbur Cross High School","American Indian or Alaska Native",*,*
"New Haven School District","=""0930011""","Wilbur Cross High School","Asian",*,*
"New Haven School District","=""0930011""","Wilbur Cross High School","Black or African American",60.4,71.1
"New Haven School District","=""0930011""","Wilbur Cross High School","Hispanic or Latino",45.7,60.5
"New Haven School District","=""0930011""","Wilbur Cross High School","White",67.9,91.7
"Newington School District","=""0940011""","Newington High School","Asian",93.8,100.0
"Newington School District","=""0940011""","Newington High School","Black or African American",75.0,*
"Newington School District","=""0940011""","Newington High School","Hispanic or Latino",69.0,85.0
"Newington School District","=""0940011""","Newington High School","White",78.0,90.1
"New London School District","=""0950011""","New London Clinical Day Program","White",*,*
"New London School District","=""0950011""","New London High School","American Indian or Alaska Native",*,*
"New London School District","=""0950011""","New London High School","Asian",*,*
"New London School District","=""0950011""","New London High School","Black or African American",54.5,73.3
"New London School District","=""0950011""","New London High School","Hispanic or Latino",48.1,61.5
"New London School District","=""0950011""","New London High School","White",53.1,*
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","White",*,*
"New Milford School District","=""0960011""","New Milford High School","Asian",*,*
"New Milford School District","=""0960011""","New Milford High School","Black or African American",*,*
"New Milford School District","=""0960011""","New Milford High School","Hispanic or Latino",65.4,*
"New Milford School District","=""0960011""","New Milford High School","White",78.6,88.9
