"College Entrance and Persistence, 2011-12"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",71.1,90.7
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",76.2,89.9
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",85.2,96.2
"Montville School District","=""0860011""","Montville High School","=""0866111""",66.3,85.9
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",64.8,87.9
"New Britain School District","=""0890011""","CLIMB","=""0899411""",*,*
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",57.3,79.1
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",86.7,95.7
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",84.5,92.4
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",73.4,86.8
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",57.8,80.8
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",82.9,85.3
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",57.1,75.0
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",59.5,77.7
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",75.7,64.3
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",72.7,70.8
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",26.5,*
"New Haven School District","=""0930011""","Sound School","=""0936711""",76.3,73.8
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",53.4,76.1
"Newington School District","=""0940011""","Newington High School","=""0946111""",78.9,93.3
"New London School District","=""0950011""","New London High School","=""0956111""",63.9,68.9
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""",*,*
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",81.4,91.3
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",83.3,93.6
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",80.1,94.2
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",80.0,94.9
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",52.1,80.0
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",74.9,88.1
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",76.0,87.9
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",*,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",*,*
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",82.6,95.6
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",80.4,95.5
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",51.9,75.0
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",71.8,84.3
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",59.8,86.8
"Portland School District","=""1130011""","Portland High School","=""1136111""",77.6,92.4
"Putnam School District","=""1160011""","Helping Hands","=""1169011""",*,*
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",55.0,78.8
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",88.9,94.6
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",80.0,92.9
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",80.0,92.9
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",75.6,91.9
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",82.3,94.5
"Somers School District","=""1290011""","Somers High School","=""1296111""",78.8,95.4
"Southington School District","=""1310011""","Southington High School","=""1316211""",77.7,90.4
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""",*,*
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",85.5,92.3
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",54.9,82.1
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",74.9,89.6
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",82.8,89.6
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",72.7,91.6
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",70.9,88.5
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",76.4,88.4
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",68.7,86.1
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""",*,*
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",78.5,88.7
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",66.3,80.0
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",65.9,84.5
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",82.7,92.5
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",62.1,83.1
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",86.8,94.8
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""",*,*
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",72.1,83.4
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",75.1,89.1
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",80.0,89.4
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""",*,*
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",52.7,81.5
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",58.7,79.1
"Waterbury School District","=""1510011""","State Street School","=""1519011""",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",87.4,85.6
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",43.9,68.5
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",74.3,86.7
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",74.0,89.5
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",78.7,91.5
"West Hartford School District","=""1550011""","Achieve","=""1559111""",*,*
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",81.3,90.7
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",80.2,92.5
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",*,*
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""",*,*
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",65.0,82.4
"Weston School District","=""1570011""","Weston High School","=""1576111""",86.2,93.2
"Westport School District","=""1580011""","Staples High School","=""1586111""",85.5,96.4
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",85.9,93.1
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",89.4,97.1
"Windham School District","=""1630011""","Windham High School","=""1636111""",55.0,75.9
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",69.8,83.7
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",65.9,85.4
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",81.0,87.7
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",62.4,88.0
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",74.0,91.0
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",83.2,93.4
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",76.2,89.1
"Regional School District 07","=""2070012""","AIM","=""2079112""",*,*
"Regional School District 07","=""2070012""","Intensive Learning Program","=""2079412""",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",73.3,86.8
"Regional School District 07","=""2070012""","STEP","=""2079312""",*,*
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",86.4,93.8
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",82.9,94.8
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",80.7,86.7
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",57.1,83.3
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",71.9,89.1
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",77.7,89.8
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",71.2,93.4
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",83.1,94.7
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",71.9,90.2
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",80.0,92.4
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",78.2,92.4
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",73.7,90.1
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",85.0,*
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",*,*
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",73.8,79.2
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",73.0,73.8
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",*,*
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",*,*
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",86.1,82.3
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",*,*
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",*,*
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",*,*
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""",*,*
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",*,*
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",78.1,76.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",35.1,*
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",66.7,60.0
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",69.4,80.0
"Explorations District","=""2720013""","Explorations","=""2726113""",*,*
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",33.3,*
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",*,*
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""",*,*
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",55.1,74.4
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",61.5,81.7
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",41.3,54.0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",56.5,64.6
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",36.3,71.7
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",43.1,67.9
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",48.5,77.3
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",28.6,69.4
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",40.8,75.0
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",40.7,71.9
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",33.8,68.0
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",40.6,72.3
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",53.8,85.1
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",35.2,77.3
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",56.4,81.4
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",48.5,80.0
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",71.5,85.9
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",69.0,79.3
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",77.1,90.1

