"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Griswold School District","=""0580011""","Griswold High School","Eligible for Free or Reduced-Price Meals",53.8,85.7
"Groton School District","=""0590011""","Robert E. Fitch High School","Eligible for Free or Reduced-Price Meals",69.1,80.0
"Guilford School District","=""0600011""","Guilford High School","Eligible for Free or Reduced-Price Meals",78.6,77.3
"Hamden School District","=""0620011""","Hamden High School","Eligible for Free or Reduced-Price Meals",62.9,85.5
"Hartford School District","=""0640011""","Bulkeley High School","Eligible for Free or Reduced-Price Meals",49.4,70.6
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Eligible for Free or Reduced-Price Meals",90.0,*
"Hartford School District","=""0640011""","Classical Magnet School","Eligible for Free or Reduced-Price Meals",81.0,89.4
"Hartford School District","=""0640011""","Culinary Arts Academy","Eligible for Free or Reduced-Price Meals",41.0,64.0
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Eligible for Free or Reduced-Price Meals",44.3,79.1
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Eligible for Free or Reduced-Price Meals",50.9,67.3
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Eligible for Free or Reduced-Price Meals",58.5,75.0
"Hartford School District","=""0640011""","OPPortunity High School","Eligible for Free or Reduced-Price Meals",39.0,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Eligible for Free or Reduced-Price Meals",79.3,83.1
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Eligible for Free or Reduced-Price Meals",67.0,84.6
"Hartford School District","=""0640011""","University High School of Science and Engineering","Eligible for Free or Reduced-Price Meals",83.6,89.1
"Hartford School District","=""0640011""","Weaver High School","Eligible for Free or Reduced-Price Meals",39.7,67.3
"Killingly School District","=""0690011""","Killingly High School","Eligible for Free or Reduced-Price Meals",44.0,86.4
"Lebanon School District","=""0710011""","Lyman Memorial High School","Eligible for Free or Reduced-Price Meals",69.6,*
"Ledyard School District","=""0720011""","Ledyard High School","Eligible for Free or Reduced-Price Meals",48.1,65.4
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","Eligible for Free or Reduced-Price Meals",*,*
"Litchfield School District","=""0740011""","Litchfield High School","Eligible for Free or Reduced-Price Meals",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Eligible for Free or Reduced-Price Meals",77.3,*
"Manchester School District","=""0770011""","Manchester High School","Eligible for Free or Reduced-Price Meals",59.4,77.6
"Manchester School District","=""0770011""","Manchester Regional Academy","Eligible for Free or Reduced-Price Meals",*,*
"Manchester School District","=""0770011""","Manchester Transition Center","Eligible for Free or Reduced-Price Meals",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Eligible for Free or Reduced-Price Meals",54.7,66.7
"Meriden School District","=""0800011""","Orville H. Platt High School","Eligible for Free or Reduced-Price Meals",54.2,73.1
"Middletown School District","=""0830011""","Middletown High School","Eligible for Free or Reduced-Price Meals",59.1,76.9
"Milford School District","=""0840011""","Jonathan Law High School","Eligible for Free or Reduced-Price Meals",57.4,90.3
"Milford School District","=""0840011""","Joseph A. Foran High School","Eligible for Free or Reduced-Price Meals",57.8,92.3
"Monroe School District","=""0850011""","Masuk High School","Eligible for Free or Reduced-Price Meals",67.6,87.0
"Montville School District","=""0860011""","Montville High School","Eligible for Free or Reduced-Price Meals",63.0,76.5
"Montville School District","=""0860011""","Palmer Academy","Eligible for Free or Reduced-Price Meals",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","Eligible for Free or Reduced-Price Meals",51.8,85.9
"New Britain School District","=""0890011""","New Britain High School","Eligible for Free or Reduced-Price Meals",53.5,75.8
"New Britain School District","=""0890011""","New Britain Transition Center","Eligible for Free or Reduced-Price Meals",*,*
"New Canaan School District","=""0900011""","New Canaan High School","Eligible for Free or Reduced-Price Meals",*,*
"New Fairfield School District","=""0910011""","New Fairfield High School","Eligible for Free or Reduced-Price Meals",42.9,*
"New Haven School District","=""0930011""","Cooperative High School","Eligible for Free or Reduced-Price Meals",68.4,68.5
"New Haven School District","=""0930011""","High School In The Community","Eligible for Free or Reduced-Price Meals",63.6,78.6
"New Haven School District","=""0930011""","Hill Regional Career High School","Eligible for Free or Reduced-Price Meals",81.9,86.3
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","Eligible for Free or Reduced-Price Meals",69.0,90.0
"New Haven School District","=""0930011""","James Hillhouse High School","Eligible for Free or Reduced-Price Meals",60.6,77.1
"New Haven School District","=""0930011""","Metropolitan Business Academy","Eligible for Free or Reduced-Price Meals",65.5,*
"New Haven School District","=""0930011""","New Haven Academy","Eligible for Free or Reduced-Price Meals",63.6,85.7
"New Haven School District","=""0930011""","Polly T. McCabe Center","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","Eligible for Free or Reduced-Price Meals",39.1,*
"New Haven School District","=""0930011""","Sound School","Eligible for Free or Reduced-Price Meals",65.5,*
"New Haven School District","=""0930011""","Wilbur Cross High School","Eligible for Free or Reduced-Price Meals",50.8,65.2
"Newington School District","=""0940011""","Newington High School","Eligible for Free or Reduced-Price Meals",74.3,78.2
"New London School District","=""0950011""","New London Clinical Day Program","Eligible for Free or Reduced-Price Meals",*,*
"New London School District","=""0950011""","New London High School","Eligible for Free or Reduced-Price Meals",56.1,78.4
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","Eligible for Free or Reduced-Price Meals",*,*
"New Milford School District","=""0960011""","New Milford High School","Eligible for Free or Reduced-Price Meals",37.0,*
"Newtown School District","=""0970011""","Newtown High School","Eligible for Free or Reduced-Price Meals",71.4,68.0
"North Branford School District","=""0990011""","North Branford High School","Eligible for Free or Reduced-Price Meals",56.0,*
"North Haven School District","=""1010011""","North Haven High School","Eligible for Free or Reduced-Price Meals",83.7,85.4
"North Stonington School District","=""1020011""","Wheeler High School","Eligible for Free or Reduced-Price Meals",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","Eligible for Free or Reduced-Price Meals",66.1,89.9
"Norwalk School District","=""1030011""","Norwalk High School","Eligible for Free or Reduced-Price Meals",58.3,71.6
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","Eligible for Free or Reduced-Price Meals",40.0,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","Eligible for Free or Reduced-Price Meals",*,*
"Norwich School District","=""1040011""","Thames River Academy","Eligible for Free or Reduced-Price Meals",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","Eligible for Free or Reduced-Price Meals",*,*
"Oxford School District","=""1080011""","Oxford High School","Eligible for Free or Reduced-Price Meals",*,*
"Plainfield School District","=""1090011""","Plainfield High School","Eligible for Free or Reduced-Price Meals",37.0,70.0
"Plainville School District","=""1100011""","Plainville High School","Eligible for Free or Reduced-Price Meals",51.7,83.3
"Plymouth School District","=""1110011""","Terryville High School","Eligible for Free or Reduced-Price Meals",40.6,*
"Portland School District","=""1130011""","Portland High School","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Helping Hands","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Putnam High School","Eligible for Free or Reduced-Price Meals",35.7,*
"Ridgefield School District","=""1180011""","Ridgefield High School","Eligible for Free or Reduced-Price Meals",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","Eligible for Free or Reduced-Price Meals",*,*
"Seymour School District","=""1240011""","Seymour High School","Eligible for Free or Reduced-Price Meals",74.4,79.3
"Shelton School District","=""1260011""","Shelton High School","Eligible for Free or Reduced-Price Meals",66.7,88.0
"Simsbury School District","=""1280011""","Simsbury High School","Eligible for Free or Reduced-Price Meals",67.7,95.2
"Somers School District","=""1290011""","Somers High School","Eligible for Free or Reduced-Price Meals",*,*
"Southington School District","=""1310011""","Southington High School","Eligible for Free or Reduced-Price Meals",63.8,75.0
"South Windsor School District","=""1320011""","South Windsor High School","Eligible for Free or Reduced-Price Meals",60.0,92.6
"Stafford School District","=""1340011""","Stafford High School","Eligible for Free or Reduced-Price Meals",45.5,*
"Stamford School District","=""1350011""","Stamford High School","Eligible for Free or Reduced-Price Meals",66.4,76.4
"Stamford School District","=""1350011""","The Academy of Information Technology","Eligible for Free or Reduced-Price Meals",76.7,91.3
"Stamford School District","=""1350011""","Westhill High School","Eligible for Free or Reduced-Price Meals",63.7,83.8
"Stonington School District","=""1370011""","Stonington High School","Eligible for Free or Reduced-Price Meals",*,*
"Stratford School District","=""1380011""","Bunnell High School","Eligible for Free or Reduced-Price Meals",68.6,87.5
"Stratford School District","=""1380011""","Secondary STEPS Program","Eligible for Free or Reduced-Price Meals",*,*
"Stratford School District","=""1380011""","Stratford High School","Eligible for Free or Reduced-Price Meals",69.4,77.4
"Stratford School District","=""1380011""","Strive-Stratford","Eligible for Free or Reduced-Price Meals",*,*
"Suffield School District","=""1390011""","Suffield High School","Eligible for Free or Reduced-Price Meals",72.0,*
"Thomaston School District","=""1400011""","Thomaston High School","Eligible for Free or Reduced-Price Meals",47.6,*
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","Eligible for Free or Reduced-Price Meals",*,*
"Tolland School District","=""1420011""","Tolland High School","Eligible for Free or Reduced-Price Meals",*,*
"Torrington School District","=""1430011""","Torrington High School","Eligible for Free or Reduced-Price Meals",52.7,71.8
"Trumbull School District","=""1440011""","Trumbull High School","Eligible for Free or Reduced-Price Meals",79.7,91.5
"Vernon School District","=""1460011""","Next Step Program (AACBP)","Eligible for Free or Reduced-Price Meals",*,*
"Vernon School District","=""1460011""","Rockville High School","Eligible for Free or Reduced-Price Meals",52.2,77.1
"Wallingford School District","=""1480011""","A.R.T.S. Academy","Eligible for Free or Reduced-Price Meals",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","Eligible for Free or Reduced-Price Meals",45.2,*
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","Eligible for Free or Reduced-Price Meals",56.0,*
"Waterbury School District","=""1510011""","Crosby High School","Eligible for Free or Reduced-Price Meals",52.9,76.6
"Waterbury School District","=""1510011""","Enlightenment School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","Eligible for Free or Reduced-Price Meals",60.2,83.5
"Waterbury School District","=""1510011""","State Street School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","Eligible for Free or Reduced-Price Meals",62.9,81.8
"Waterbury School District","=""1510011""","Wilby High School","Eligible for Free or Reduced-Price Meals",45.9,70.8
"Waterford School District","=""1520011""","Waterford High School","Eligible for Free or Reduced-Price Meals",75.9,63.6
"Watertown School District","=""1530011""","Watertown High School","Eligible for Free or Reduced-Price Meals",56.3,74.1
"Westbrook School District","=""1540011""","Westbrook High School","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Achieve","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Conard High School","Eligible for Free or Reduced-Price Meals",73.8,88.7
"West Hartford School District","=""1550011""","Hall High School","Eligible for Free or Reduced-Price Meals",72.4,74.5
"West Haven School District","=""1560011""","West Haven High School","Eligible for Free or Reduced-Price Meals",63.1,78.9
"Weston School District","=""1570011""","Weston High School","Eligible for Free or Reduced-Price Meals",*,*
"Westport School District","=""1580011""","Staples High School","Eligible for Free or Reduced-Price Meals",*,*
"Wethersfield School District","=""1590011""","Wethersfield High School","Eligible for Free or Reduced-Price Meals",74.6,86.4
"Wilton School District","=""1610011""","Wilton High School","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Partial Day Program","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Windham High School","Eligible for Free or Reduced-Price Meals",43.8,69.0
"Windsor School District","=""1640011""","Windsor High School","Eligible for Free or Reduced-Price Meals",59.0,81.2
"Windsor Locks School District","=""1650011""","Windsor Locks High School","Eligible for Free or Reduced-Price Meals",40.0,*
"Wolcott School District","=""1660011""","Wolcott High School","Eligible for Free or Reduced-Price Meals",69.1,92.1
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","Eligible for Free or Reduced-Price Meals",54.2,*
"Regional School District 04","=""2040012""","Valley Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 05","=""2050012""","Amity Regional High School","Eligible for Free or Reduced-Price Meals",63.6,*
"Regional School District 06","=""2060012""","Wamogo Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","STEP","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 08","=""2080012""","RHAM High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 10","=""2100012""","Lewis S. Mills High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 11","=""2110012""","Parish Hill High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 12","=""2120012""","Shepaug Valley High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 13","=""2130012""","Coginchaug Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 14","=""2140012""","Nonnewaug High School","Eligible for Free or Reduced-Price Meals",66.7,*
"Regional School District 15","=""2150012""","Pomperaug Regional High School","Eligible for Free or Reduced-Price Meals",26.9,*
"Regional School District 16","=""2160012""","Woodland Regional High School","Eligible for Free or Reduced-Price Meals",60.0,*
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 19","=""2190012""","E. O. Smith High School","Eligible for Free or Reduced-Price Meals",48.5,*
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","Eligible for Free or Reduced-Price Meals",62.2,67.4
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","Eligible for Free or Reduced-Price Meals",76.0,*
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","Eligible for Free or Reduced-Price Meals",85.7,83.3
"Capitol Region Education Council","=""2410014""","River Street School","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Soundbridge","Eligible for Free or Reduced-Price Meals",*,*
"Education Connection","=""2420014""","GFLC/ACCESS School","Eligible for Free or Reduced-Price Meals",*,*
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","Eligible for Free or Reduced-Price Meals",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","Eligible for Free or Reduced-Price Meals",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","Eligible for Free or Reduced-Price Meals",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","Eligible for Free or Reduced-Price Meals",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","Eligible for Free or Reduced-Price Meals",60.0,*
"Common Ground High School District","=""2680013""","Common Ground High School","Eligible for Free or Reduced-Price Meals",48.3,*
"The Bridge Academy District","=""2690013""","The Bridge Academy","Eligible for Free or Reduced-Price Meals",76.9,75.0
"Explorations District","=""2720013""","Explorations","Eligible for Free or Reduced-Price Meals",*,*
"Amistad Academy District","=""2790013""","Amistad Academy","Eligible for Free or Reduced-Price Meals",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","Eligible for Free or Reduced-Price Meals",45.5,*
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","Manson Youth Institution","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #1","=""3360015""","York Correctional Institution","Eligible for Free or Reduced-Price Meals",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","Eligible for Free or Reduced-Price Meals",*,*
"Unified School District #2","=""3470015""","Walter G. Cady School","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","Eligible for Free or Reduced-Price Meals",55.5,67.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","Eligible for Free or Reduced-Price Meals",59.4,81.2
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","Eligible for Free or Reduced-Price Meals",39.7,72.4
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","Eligible for Free or Reduced-Price Meals",45.1,70.7
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","Eligible for Free or Reduced-Price Meals",36.8,64.3
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","Eligible for Free or Reduced-Price Meals",43.2,*
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","Eligible for Free or Reduced-Price Meals",48.7,68.4
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","Eligible for Free or Reduced-Price Meals",37.8,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","Eligible for Free or Reduced-Price Meals",47.4,81.1
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","Eligible for Free or Reduced-Price Meals",45.7,85.7
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","Eligible for Free or Reduced-Price Meals",50.0,67.9
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","Eligible for Free or Reduced-Price Meals",36.4,*
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","Eligible for Free or Reduced-Price Meals",55.2,81.1
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","Eligible for Free or Reduced-Price Meals",38.7,*
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Eligible for Free or Reduced-Price Meals",50.0,81.8
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","Eligible for Free or Reduced-Price Meals",42.2,*
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Eligible for Free or Reduced-Price Meals",61.0,79.0
"The Gilbert School District","=""9020022""","The Gilbert School","Eligible for Free or Reduced-Price Meals",76.2,*
"Woodstock Academy District","=""9030022""","Woodstock Academy","Eligible for Free or Reduced-Price Meals",68.6,83.3

