"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","Eligible for Free or Reduced-Price Meals",30.3,*
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","Eligible for Free or Reduced-Price Meals",31.1,*
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","Eligible for Free or Reduced-Price Meals",45.8,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","Eligible for Free or Reduced-Price Meals",25.0,*
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","Eligible for Free or Reduced-Price Meals",37.0,*
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","Eligible for Free or Reduced-Price Meals",39.4,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","Eligible for Free or Reduced-Price Meals",*,*
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","Eligible for Free or Reduced-Price Meals",22.2,*
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","Eligible for Free or Reduced-Price Meals",25.6,*
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","Eligible for Free or Reduced-Price Meals",34.6,*
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Eligible for Free or Reduced-Price Meals",38.2,86.2
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","Eligible for Free or Reduced-Price Meals",39.4,*
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Eligible for Free or Reduced-Price Meals",62.2,78.3
"The Gilbert School District","=""9020022""","The Gilbert School","Eligible for Free or Reduced-Price Meals",53.6,*
"Woodstock Academy District","=""9030022""","Woodstock Academy","Eligible for Free or Reduced-Price Meals",*,*

