"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Bridgeport School District","=""0150011""","Central High School","American Indian or Alaska Native",*,*
"Bridgeport School District","=""0150011""","Central High School","Asian",*,*
"Bridgeport School District","=""0150011""","Central High School","Black or African American",70.1,84.7
"Bridgeport School District","=""0150011""","Central High School","Hispanic or Latino",53.2,79.2
"Bridgeport School District","=""0150011""","Central High School","Native Hawaiian or Other Pacific Islander",*,*
"Bridgeport School District","=""0150011""","Central High School","Two or More Races",*,*
"Bridgeport School District","=""0150011""","Central High School","White",47.1,87.5
"Bridgeport School District","=""0150011""","Harding High School","American Indian or Alaska Native",*,*
"Bridgeport School District","=""0150011""","Harding High School","Asian",*,*
"Bridgeport School District","=""0150011""","Harding High School","Black or African American",58.2,75.0
"Bridgeport School District","=""0150011""","Harding High School","Hispanic or Latino",31.9,86.1
"Bridgeport School District","=""0150011""","Harding High School","White",*,*
"Bridgeport School District","=""0150011""","Pride Academy","Hispanic or Latino",*,*
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","Black or African American",*,*
"Bristol School District","=""0170011""","Bristol Central High School","American Indian or Alaska Native",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Asian",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Black or African American",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Hispanic or Latino",44.2,*
"Bristol School District","=""0170011""","Bristol Central High School","Two or More Races",*,*
"Bristol School District","=""0170011""","Bristol Central High School","White",67.9,90.3
"Bristol School District","=""0170011""","Bristol Eastern High School","Asian",*,*
"Bristol School District","=""0170011""","Bristol Eastern High School","Black or African American",78.3,*
"Bristol School District","=""0170011""","Bristol Eastern High School","Hispanic or Latino",50.0,*
"Bristol School District","=""0170011""","Bristol Eastern High School","Two or More Races",*,*
"Bristol School District","=""0170011""","Bristol Eastern High School","White",68.6,90.7
"Bristol School District","=""0170011""","Community/Vocational Program","Black or African American",*,*
"Bristol School District","=""0170011""","Community/Vocational Program","Hispanic or Latino",*,*
"Bristol School District","=""0170011""","Community/Vocational Program","White",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Asian",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Black or African American",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Hispanic or Latino",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Two or More Races",*,*
"Brookfield School District","=""0180011""","Brookfield High School","White",87.1,93.4
"Canton School District","=""0230011""","Canton High School","Asian",*,*
"Canton School District","=""0230011""","Canton High School","Black or African American",*,*
"Canton School District","=""0230011""","Canton High School","Hispanic or Latino",*,*
"Canton School District","=""0230011""","Canton High School","Two or More Races",*,*
"Canton School District","=""0230011""","Canton High School","White",78.4,89.8
"Cheshire School District","=""0250011""","Cheshire High School","Asian",84.4,100.0
"Cheshire School District","=""0250011""","Cheshire High School","Black or African American",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Hispanic or Latino",*,*
"Cheshire School District","=""0250011""","Cheshire High School","White",85.0,93.2
"Cheshire School District","=""0250011""","Humiston School","Black or African American",*,*
"Cheshire School District","=""0250011""","Humiston School","White",*,*
"Clinton School District","=""0270011""","The Morgan School","Asian",*,*
"Clinton School District","=""0270011""","The Morgan School","Black or African American",*,*
"Clinton School District","=""0270011""","The Morgan School","Hispanic or Latino",*,*
"Clinton School District","=""0270011""","The Morgan School","Native Hawaiian or Other Pacific Islander",*,*
"Clinton School District","=""0270011""","The Morgan School","Two or More Races",*,*
"Clinton School District","=""0270011""","The Morgan School","White",77.1,91.7
"Colchester School District","=""0280011""","Bacon Academy","American Indian or Alaska Native",*,*
"Colchester School District","=""0280011""","Bacon Academy","Asian",*,*
"Colchester School District","=""0280011""","Bacon Academy","Black or African American",*,*
"Colchester School District","=""0280011""","Bacon Academy","Hispanic or Latino",*,*
"Colchester School District","=""0280011""","Bacon Academy","Two or More Races",*,*
"Colchester School District","=""0280011""","Bacon Academy","White",77.7,91.0
"Coventry School District","=""0320011""","Coventry High School","Asian",*,*
"Coventry School District","=""0320011""","Coventry High School","Black or African American",*,*
"Coventry School District","=""0320011""","Coventry High School","Hispanic or Latino",*,*
"Coventry School District","=""0320011""","Coventry High School","Two or More Races",*,*
"Coventry School District","=""0320011""","Coventry High School","White",70.0,92.9
"Cromwell School District","=""0330011""","Cromwell High School","Asian",*,*
"Cromwell School District","=""0330011""","Cromwell High School","Black or African American",*,*
"Cromwell School District","=""0330011""","Cromwell High School","Hispanic or Latino",*,*
"Cromwell School District","=""0330011""","Cromwell High School","Two or More Races",*,*
"Cromwell School District","=""0330011""","Cromwell High School","White",79.8,95.2
"Danbury School District","=""0340011""","Alternative Center For Excellence","Black or African American",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Hispanic or Latino",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","White",*,*
"Danbury School District","=""0340011""","Danbury High School","Asian",80.3,96.2
"Danbury School District","=""0340011""","Danbury High School","Black or African American",*,*
"Danbury School District","=""0340011""","Danbury High School","Hispanic or Latino",52.5,78.1
"Danbury School District","=""0340011""","Danbury High School","Two or More Races",*,*
"Danbury School District","=""0340011""","Danbury High School","White",78.6,91.4
"Darien School District","=""0350011""","Darien High School","Asian",*,*
"Darien School District","=""0350011""","Darien High School","Black or African American",*,*
"Darien School District","=""0350011""","Darien High School","Hispanic or Latino",*,*
"Darien School District","=""0350011""","Darien High School","White",90.0,97.0
"Derby School District","=""0370011""","Derby High School","Asian",*,*
"Derby School District","=""0370011""","Derby High School","Black or African American",*,*
"Derby School District","=""0370011""","Derby High School","Hispanic or Latino",*,*
"Derby School District","=""0370011""","Derby High School","Two or More Races",*,*
"Derby School District","=""0370011""","Derby High School","White",59.0,72.2
"East Granby School District","=""0400011""","East Granby High School","Asian",*,*
"East Granby School District","=""0400011""","East Granby High School","Black or African American",*,*
"East Granby School District","=""0400011""","East Granby High School","Hispanic or Latino",*,*
"East Granby School District","=""0400011""","East Granby High School","White",81.1,86.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Black or African American",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Hispanic or Latino",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Two or More Races",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","White",64.4,87.9
"East Hampton School District","=""0420011""","East Hampton High School","Asian",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Black or African American",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Hispanic or Latino",*,*
"East Hampton School District","=""0420011""","East Hampton High School","White",84.4,92.4
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","White",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Asian",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Black or African American",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Hispanic or Latino",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","White",*,*
"East Hartford School District","=""0430011""","East Hartford High School","American Indian or Alaska Native",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Asian",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Black or African American",65.4,67.1
"East Hartford School District","=""0430011""","East Hartford High School","Hispanic or Latino",54.6,70.4
"East Hartford School District","=""0430011""","East Hartford High School","Two or More Races",*,*
"East Hartford School District","=""0430011""","East Hartford High School","White",71.9,73.9
"East Hartford School District","=""0430011""","Stevens Alternate High school","American Indian or Alaska Native",*,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","Black or African American",*,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","Hispanic or Latino",*,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","White",*,*
"East Hartford School District","=""0430011""","Woodland School","American Indian or Alaska Native",*,*
"East Hartford School District","=""0430011""","Woodland School","Black or African American",*,*
"East Hartford School District","=""0430011""","Woodland School","Hispanic or Latino",*,*
"East Hartford School District","=""0430011""","Woodland School","White",*,*
"East Haven School District","=""0440011""","East Haven High School","Asian",*,*
"East Haven School District","=""0440011""","East Haven High School","Black or African American",*,*
"East Haven School District","=""0440011""","East Haven High School","Hispanic or Latino",74.4,75.9
"East Haven School District","=""0440011""","East Haven High School","Two or More Races",*,*
"East Haven School District","=""0440011""","East Haven High School","White",64.6,90.4
"East Haven School District","=""0440011""","Pathways","White",*,*
"East Lyme School District","=""0450011""","East Lyme High School","American Indian or Alaska Native",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Asian",91.7,100.0
"East Lyme School District","=""0450011""","East Lyme High School","Black or African American",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Hispanic or Latino",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Two or More Races",*,*
"East Lyme School District","=""0450011""","East Lyme High School","White",84.4,91.8
"East Windsor School District","=""0470011""","East Windsor High School","Asian",*,*
"East Windsor School District","=""0470011""","East Windsor High School","Black or African American",*,*
"East Windsor School District","=""0470011""","East Windsor High School","Hispanic or Latino",*,*
"East Windsor School District","=""0470011""","East Windsor High School","White",66.3,88.7
"Ellington School District","=""0480011""","Ellington High School","Asian",*,*
"Ellington School District","=""0480011""","Ellington High School","Black or African American",*,*
"Ellington School District","=""0480011""","Ellington High School","Hispanic or Latino",*,*
"Ellington School District","=""0480011""","Ellington High School","Two or More Races",*,*
"Ellington School District","=""0480011""","Ellington High School","White",73.4,87.9
"Enfield School District","=""0490011""","Enfield High School","Asian",*,*
"Enfield School District","=""0490011""","Enfield High School","Black or African American",*,*
"Enfield School District","=""0490011""","Enfield High School","Hispanic or Latino",*,*
"Enfield School District","=""0490011""","Enfield High School","Two or More Races",*,*
"Enfield School District","=""0490011""","Enfield High School","White",71.1,82.3
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","Asian",*,*
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","White",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Asian",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Black or African American",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Hispanic or Latino",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Two or More Races",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","White",72.1,84.1
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","American Indian or Alaska Native",*,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Asian",90.0,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Black or African American",*,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Hispanic or Latino",*,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Two or More Races",*,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","White",84.7,94.5
"Fairfield School District","=""0510011""","Fairfield Warde High School","Asian",81.0,*
"Fairfield School District","=""0510011""","Fairfield Warde High School","Black or African American",*,*
"Fairfield School District","=""0510011""","Fairfield Warde High School","Hispanic or Latino",78.8,96.2
"Fairfield School District","=""0510011""","Fairfield Warde High School","Two or More Races",*,*
"Fairfield School District","=""0510011""","Fairfield Warde High School","White",81.4,98.2
"Farmington School District","=""0520011""","Farmington High School","Asian",84.2,100.0
"Farmington School District","=""0520011""","Farmington High School","Black or African American",*,*
"Farmington School District","=""0520011""","Farmington High School","Hispanic or Latino",66.7,*
"Farmington School District","=""0520011""","Farmington High School","White",87.3,92.1
"Glastonbury School District","=""0540011""","Glastonbury High School","American Indian or Alaska Native",*,*
"Glastonbury School District","=""0540011""","Glastonbury High School","Asian",90.4,100.0
"Glastonbury School District","=""0540011""","Glastonbury High School","Black or African American",*,*
"Glastonbury School District","=""0540011""","Glastonbury High School","Hispanic or Latino",71.4,96.7
"Glastonbury School District","=""0540011""","Glastonbury High School","Two or More Races",*,*
"Glastonbury School District","=""0540011""","Glastonbury High School","White",86.8,94.3
"Glastonbury School District","=""0540011""","Links Academy","American Indian or Alaska Native",*,*
"Glastonbury School District","=""0540011""","Links Academy","Hispanic or Latino",*,*
"Glastonbury School District","=""0540011""","Links Academy","White",*,*
"Granby School District","=""0560011""","Granby Memorial High School","Asian",*,*
"Granby School District","=""0560011""","Granby Memorial High School","Black or African American",*,*
"Granby School District","=""0560011""","Granby Memorial High School","Hispanic or Latino",*,*
"Granby School District","=""0560011""","Granby Memorial High School","Two or More Races",*,*
"Granby School District","=""0560011""","Granby Memorial High School","White",88.6,97.6
"Greenwich School District","=""0570011""","Greenwich High School","American Indian or Alaska Native",*,*
"Greenwich School District","=""0570011""","Greenwich High School","Asian",65.1,89.3
"Greenwich School District","=""0570011""","Greenwich High School","Black or African American",*,*
"Greenwich School District","=""0570011""","Greenwich High School","Hispanic or Latino",73.1,86.2
"Greenwich School District","=""0570011""","Greenwich High School","Native Hawaiian or Other Pacific Islander",*,*
"Greenwich School District","=""0570011""","Greenwich High School","Two or More Races",*,*
"Greenwich School District","=""0570011""","Greenwich High School","White",85.2,92.2
"Griswold School District","=""0580011""","Griswold High School","American Indian or Alaska Native",*,*
"Griswold School District","=""0580011""","Griswold High School","Black or African American",*,*
"Griswold School District","=""0580011""","Griswold High School","Hispanic or Latino",*,*
"Griswold School District","=""0580011""","Griswold High School","Two or More Races",*,*
"Griswold School District","=""0580011""","Griswold High School","White",61.8,79.8
"Groton School District","=""0590011""","Robert E. Fitch High School","American Indian or Alaska Native",*,*
"Groton School District","=""0590011""","Robert E. Fitch High School","Asian",73.9,*
"Groton School District","=""0590011""","Robert E. Fitch High School","Black or African American",52.6,90.0
"Groton School District","=""0590011""","Robert E. Fitch High School","Hispanic or Latino",43.9,*
"Groton School District","=""0590011""","Robert E. Fitch High School","Two or More Races",*,*
"Groton School District","=""0590011""","Robert E. Fitch High School","White",67.7,78.0
"Guilford School District","=""0600011""","Guilford High School","American Indian or Alaska Native",*,*
"Guilford School District","=""0600011""","Guilford High School","Asian",*,*
"Guilford School District","=""0600011""","Guilford High School","Black or African American",*,*
"Guilford School District","=""0600011""","Guilford High School","Hispanic or Latino",*,*
"Guilford School District","=""0600011""","Guilford High School","Two or More Races",*,*
"Guilford School District","=""0600011""","Guilford High School","White",86.1,94.8
"Hamden School District","=""0620011""","Hamden High School","Asian",*,*
"Hamden School District","=""0620011""","Hamden High School","Black or African American",66.2,77.6
"Hamden School District","=""0620011""","Hamden High School","Hispanic or Latino",69.4,86.0
"Hamden School District","=""0620011""","Hamden High School","Two or More Races",*,*
"Hamden School District","=""0620011""","Hamden High School","White",78.8,91.4
"Hartford School District","=""0640011""","Bulkeley High School","Asian",*,*
"Hartford School District","=""0640011""","Bulkeley High School","Black or African American",42.9,*
"Hartford School District","=""0640011""","Bulkeley High School","Hispanic or Latino",23.0,73.9
"Hartford School District","=""0640011""","Bulkeley High School","Two or More Races",*,*
"Hartford School District","=""0640011""","Bulkeley High School","White",*,*
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Asian",*,*
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Black or African American",88.5,73.9
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Two or More Races",*,*
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","White",*,*
"Hartford School District","=""0640011""","Classical Magnet School","Asian",*,*
"Hartford School District","=""0640011""","Classical Magnet School","Black or African American",88.6,80.6
"Hartford School District","=""0640011""","Classical Magnet School","Hispanic or Latino",90.0,*
"Hartford School District","=""0640011""","Classical Magnet School","Two or More Races",*,*
"Hartford School District","=""0640011""","Classical Magnet School","White",*,*
"Hartford School District","=""0640011""","Culinary Arts Academy","Black or African American",32.7,*
"Hartford School District","=""0640011""","Culinary Arts Academy","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","Culinary Arts Academy","White",*,*
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","Asian",*,*
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","Black or African American",86.7,76.9
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","White",*,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Asian",*,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Black or African American",60.9,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Hispanic or Latino",31.0,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Two or More Races",*,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","White",*,*
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","American Indian or Alaska Native",*,*
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Asian",*,*
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Black or African American",69.4,68.0
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Hispanic or Latino",41.7,50.0
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Two or More Races",*,*
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","White",*,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Asian",*,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Black or African American",57.9,77.3
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Hispanic or Latino",34.5,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Two or More Races",*,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","White",*,*
"Hartford School District","=""0640011""","High School, Inc.","Asian",*,*
"Hartford School District","=""0640011""","High School, Inc.","Black or African American",51.5,*
"Hartford School District","=""0640011""","High School, Inc.","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","High School, Inc.","Two or More Races",*,*
"Hartford School District","=""0640011""","High School, Inc.","White",*,*
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","Asian",*,*
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","Black or African American",51.3,60.0
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","Two or More Races",*,*
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","White",*,*
"Hartford School District","=""0640011""","OPPortunity High School","Black or African American",*,*
"Hartford School District","=""0640011""","OPPortunity High School","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","OPPortunity High School","Two or More Races",*,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Asian",*,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Black or African American",73.1,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Hispanic or Latino",55.0,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Two or More Races",*,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","White",*,*
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Asian",*,*
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Black or African American",78.3,*
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Hispanic or Latino",56.4,59.1
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Two or More Races",*,*
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","White",96.2,84.0
"Hartford School District","=""0640011""","University High School of Science and Engineering","Asian",*,*
"Hartford School District","=""0640011""","University High School of Science and Engineering","Black or African American",83.9,80.8
"Hartford School District","=""0640011""","University High School of Science and Engineering","Hispanic or Latino",*,*
"Hartford School District","=""0640011""","University High School of Science and Engineering","White",87.0,95.0
"Killingly School District","=""0690011""","Killingly High School","American Indian or Alaska Native",*,*
"Killingly School District","=""0690011""","Killingly High School","Asian",*,*
"Killingly School District","=""0690011""","Killingly High School","Black or African American",*,*
"Killingly School District","=""0690011""","Killingly High School","Hispanic or Latino",*,*
"Killingly School District","=""0690011""","Killingly High School","Two or More Races",*,*
"Killingly School District","=""0690011""","Killingly High School","White",64.6,82.4
"Lebanon School District","=""0710011""","Lyman Memorial High School","American Indian or Alaska Native",*,*
"Lebanon School District","=""0710011""","Lyman Memorial High School","Asian",*,*
"Lebanon School District","=""0710011""","Lyman Memorial High School","Hispanic or Latino",*,*
"Lebanon School District","=""0710011""","Lyman Memorial High School","White",71.8,90.2
"Ledyard School District","=""0720011""","Ledyard High School","American Indian or Alaska Native",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Asian",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Black or African American",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Hispanic or Latino",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Two or More Races",*,*
"Ledyard School District","=""0720011""","Ledyard High School","White",76.3,87.9
"Litchfield School District","=""0740011""","Litchfield High School","Asian",*,*
"Litchfield School District","=""0740011""","Litchfield High School","Hispanic or Latino",*,*
"Litchfield School District","=""0740011""","Litchfield High School","White",85.2,*
"Madison School District","=""0760011""","Daniel Hand High School","Asian",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Black or African American",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Hispanic or Latino",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Two or More Races",*,*
"Madison School District","=""0760011""","Daniel Hand High School","White",88.4,96.8
"Manchester School District","=""0770011""","Manchester High School","American Indian or Alaska Native",*,*
"Manchester School District","=""0770011""","Manchester High School","Asian",81.5,81.8
"Manchester School District","=""0770011""","Manchester High School","Black or African American",64.6,75.5
"Manchester School District","=""0770011""","Manchester High School","Hispanic or Latino",42.4,60.7
"Manchester School District","=""0770011""","Manchester High School","Two or More Races",*,*
"Manchester School District","=""0770011""","Manchester High School","White",60.3,86.7
"Manchester School District","=""0770011""","Manchester Regional Academy","Black or African American",*,*
"Manchester School District","=""0770011""","Manchester Regional Academy","Hispanic or Latino",*,*
"Manchester School District","=""0770011""","Manchester Regional Academy","Two or More Races",*,*
"Manchester School District","=""0770011""","Manchester Regional Academy","White",*,*
"Manchester School District","=""0770011""","Manchester Transition Center","Asian",*,*
"Manchester School District","=""0770011""","Manchester Transition Center","Black or African American",*,*
"Manchester School District","=""0770011""","Manchester Transition Center","Hispanic or Latino",*,*
"Manchester School District","=""0770011""","Manchester Transition Center","White",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Asian",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Black or African American",46.3,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Hispanic or Latino",58.9,87.5
"Meriden School District","=""0800011""","Francis T. Maloney High School","Two or More Races",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","White",61.5,88.1
"Meriden School District","=""0800011""","Orville H. Platt High School","American Indian or Alaska Native",*,*
"Meriden School District","=""0800011""","Orville H. Platt High School","Asian",*,*
"Meriden School District","=""0800011""","Orville H. Platt High School","Black or African American",73.7,78.6
"Meriden School District","=""0800011""","Orville H. Platt High School","Hispanic or Latino",51.9,72.2
"Meriden School District","=""0800011""","Orville H. Platt High School","Two or More Races",*,*
"Meriden School District","=""0800011""","Orville H. Platt High School","White",66.3,78.9
"Middletown School District","=""0830011""","Middletown High School","Asian",*,*
"Middletown School District","=""0830011""","Middletown High School","Black or African American",52.4,81.8
"Middletown School District","=""0830011""","Middletown High School","Hispanic or Latino",56.8,85.7
"Middletown School District","=""0830011""","Middletown High School","Two or More Races",*,*
"Middletown School District","=""0830011""","Middletown High School","White",81.8,89.6
"Middletown School District","=""0830011""","Transition to Life Center","Black or African American",*,*
"Middletown School District","=""0830011""","Transition to Life Center","Hispanic or Latino",*,*
"Middletown School District","=""0830011""","Transition to Life Center","White",*,*
"Milford School District","=""0840011""","Jonathan Law High School","Asian",*,*
"Milford School District","=""0840011""","Jonathan Law High School","Black or African American",*,*
"Milford School District","=""0840011""","Jonathan Law High School","Hispanic or Latino",*,*
"Milford School District","=""0840011""","Jonathan Law High School","White",68.2,92.5
"Milford School District","=""0840011""","Joseph A. Foran High School","Asian",*,*
