"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, Gender"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Barkhamsted School District","=""0050011""","Math","F",92,91,98.9,91,21,23.1,32,35.2,27,29.7,11,12.1,38,41.8
"Barkhamsted School District","=""0050011""","Math","M",113,106,93.8,106,25,23.6,37,34.9,30,28.3,14,13.2,44,41.5
"Berlin School District","=""0070011""","ELA","F",717,711,99.2,695,66,9.5,149,21.4,284,40.9,196,28.2,480,69.1
"Berlin School District","=""0070011""","ELA","M",890,884,99.3,864,161,18.6,221,25.6,322,37.3,160,18.5,482,55.8
"Berlin School District","=""0070011""","Math","F",716,711,99.3,704,128,18.2,246,34.9,221,31.4,109,15.5,330,46.9
"Berlin School District","=""0070011""","Math","M",890,883,99.2,871,183,21.0,270,31.0,231,26.5,187,21.5,418,48.0
"Bethany School District","=""0080011""","ELA","F",106,103,97.2,103,7,6.8,13,12.6,37,35.9,46,44.7,83,80.6
"Bethany School District","=""0080011""","ELA","M",134,131,97.8,130,22,16.9,33,25.4,36,27.7,39,30.0,75,57.7
"Bethany School District","=""0080011""","Math","F",106,103,97.2,103,10,9.7,23,22.3,40,38.8,30,29.1,70,68.0
"Bethany School District","=""0080011""","Math","M",134,131,97.8,131,21,16.0,41,31.3,36,27.5,33,25.2,69,52.7
"Bethel School District","=""0090011""","ELA","F",725,720,99.3,720,49,6.8,132,18.3,271,37.6,268,37.2,539,74.9
"Bethel School District","=""0090011""","ELA","M",801,787,98.3,786,114,14.5,187,23.8,295,37.5,190,24.2,485,61.7
"Bethel School District","=""0090011""","Math","F",725,721,99.4,720,155,21.5,272,37.8,194,26.9,99,13.8,293,40.7
"Bethel School District","=""0090011""","Math","M",801,791,98.8,791,206,26.0,253,32.0,201,25.4,131,16.6,332,42.0
"Bloomfield School District","=""0110011""","ELA","F",432,417,96.5,417,70,16.8,125,30.0,159,38.1,63,15.1,222,53.2
"Bloomfield School District","=""0110011""","ELA","M",475,461,97.1,461,120,26.0,143,31.0,144,31.2,54,11.7,198,43.0
"Bloomfield School District","=""0110011""","Math","F",431,418,97.0,418,175,41.9,165,39.5,59,14.1,19,4.5,78,18.7
"Bloomfield School District","=""0110011""","Math","M",475,463,97.5,463,212,45.8,146,31.5,92,19.9,13,2.8,105,22.7
"Bolton School District","=""0120011""","ELA","F",223,222,99.6,222,18,8.1,19,8.6,85,38.3,100,45.0,185,83.3
"Bolton School District","=""0120011""","ELA","M",226,221,97.8,220,28,12.7,48,21.8,81,36.8,63,28.6,144,65.5
"Bolton School District","=""0120011""","Math","F",223,223,100.0,223,41,18.4,61,27.4,53,23.8,68,30.5,121,54.3
"Bolton School District","=""0120011""","Math","M",226,221,97.8,221,39,17.6,63,28.5,66,29.9,53,24.0,119,53.8
"Bozrah School District","=""0130011""","ELA","F",72,72,100.0,72,12,16.7,20,27.8,25,34.7,15,20.8,40,55.6
"Bozrah School District","=""0130011""","ELA","M",57,57,100.0,57,20,35.1,13,22.8,17,29.8,7,12.3,24,42.1
"Bozrah School District","=""0130011""","Math","F",72,72,100.0,72,"*","*",21,29.2,27,37.5,"*","*","*","*"
"Bozrah School District","=""0130011""","Math","M",57,57,100.0,57,26,45.6,12,21.1,"*","*","*","*",19,33.3
"Branford School District","=""0140011""","ELA","F",798,778,97.5,778,90,11.6,161,20.7,291,37.4,236,30.3,527,67.7
"Branford School District","=""0140011""","ELA","M",814,793,97.4,793,188,23.7,203,25.6,265,33.4,137,17.3,402,50.7
"Branford School District","=""0140011""","Math","F",798,774,97.0,774,210,27.1,205,26.5,205,26.5,154,19.9,359,46.4
"Branford School District","=""0140011""","Math","M",814,795,97.7,793,250,31.5,195,24.6,195,24.6,153,19.3,348,43.9
"Bridgeport Achievement First District","=""2850013""","ELA","F",278,278,100.0,278,71,25.5,93,33.5,71,25.5,43,15.5,114,41.0
"Bridgeport Achievement First District","=""2850013""","ELA","M",286,286,100.0,286,125,43.7,71,24.8,60,21.0,30,10.5,90,31.5
"Bridgeport Achievement First District","=""2850013""","Math","F",278,276,99.3,276,117,42.4,80,29.0,60,21.7,19,6.9,79,28.6
"Bridgeport Achievement First District","=""2850013""","Math","M",286,286,100.0,286,138,48.3,72,25.2,48,16.8,28,9.8,76,26.6
"Bridgeport School District","=""0150011""","ELA","F",5092,4832,94.9,4813,1997,41.5,1428,29.7,1077,22.4,311,6.5,1388,28.8
"Bridgeport School District","=""0150011""","ELA","M",5369,5110,95.2,5092,2866,56.3,1260,24.7,775,15.2,191,3.8,966,19.0
"Bridgeport School District","=""0150011""","Math","F",5090,4912,96.5,4911,3267,66.5,1175,23.9,383,7.8,86,1.8,469,9.5
"Bridgeport School District","=""0150011""","Math","M",5372,5197,96.7,5191,3593,69.2,1170,22.5,340,6.5,88,1.7,428,8.2
"Bristol School District","=""0170011""","ELA","F",2036,2002,98.3,2000,306,15.3,517,25.9,748,37.4,429,21.5,1177,58.9
"Bristol School District","=""0170011""","ELA","M",2171,2137,98.4,2135,591,27.7,583,27.3,676,31.7,285,13.3,961,45.0
"Bristol School District","=""0170011""","Math","F",2037,2016,99.0,2015,657,32.6,690,34.2,484,24.0,184,9.1,668,33.2
"Bristol School District","=""0170011""","Math","M",2173,2145,98.7,2145,826,38.5,630,29.4,449,20.9,240,11.2,689,32.1
"Brookfield School District","=""0180011""","ELA","F",755,709,93.9,704,60,8.5,111,15.8,258,36.6,275,39.1,533,75.7
"Brookfield School District","=""0180011""","ELA","M",755,729,96.6,726,103,14.2,151,20.8,282,38.8,190,26.2,472,65.0
"Brookfield School District","=""0180011""","Math","F",755,723,95.8,721,117,16.2,200,27.7,227,31.5,177,24.5,404,56.0
"Brookfield School District","=""0180011""","Math","M",755,733,97.1,733,114,15.6,199,27.1,231,31.5,189,25.8,420,57.3
"Brooklyn School District","=""0190011""","ELA","F",275,272,98.9,272,21,7.7,44,16.2,104,38.2,103,37.9,207,76.1
"Brooklyn School District","=""0190011""","ELA","M",270,264,97.8,264,34,12.9,75,28.4,100,37.9,55,20.8,155,58.7
"Brooklyn School District","=""0190011""","Math","F",275,272,98.9,272,74,27.2,96,35.3,67,24.6,35,12.9,102,37.5
"Brooklyn School District","=""0190011""","Math","M",270,266,98.5,265,73,27.5,109,41.1,53,20.0,30,11.3,83,31.3
"Canaan School District","=""0210011""","ELA","F",27,26,96.3,26,"*","*","*","*",13,50.0,"*","*","*","*"
"Canaan School District","=""0210011""","ELA","M",26,26,100.0,26,"*","*","*","*",9,34.6,"*","*","*","*"
"Canaan School District","=""0210011""","Math","F",27,27,100.0,27,"*","*",9,33.3,10,37.0,"*","*","*","*"
"Canaan School District","=""0210011""","Math","M",26,26,100.0,26,"*","*",9,34.6,10,38.5,"*","*","*","*"
"Canterbury School District","=""0220011""","ELA","F",141,141,100.0,141,8,5.7,37,26.2,60,42.6,36,25.5,96,68.1
"Canterbury School District","=""0220011""","ELA","M",171,168,98.2,168,44,26.2,57,33.9,53,31.5,14,8.3,67,39.9
"Canterbury School District","=""0220011""","Math","F",141,141,100.0,141,33,23.4,44,31.2,43,30.5,21,14.9,64,45.4
"Canterbury School District","=""0220011""","Math","M",171,168,98.2,168,54,32.1,60,35.7,39,23.2,15,8.9,54,32.1
"Canton School District","=""0230011""","ELA","F",463,459,99.1,459,32,7.0,57,12.4,169,36.8,201,43.8,370,80.6
"Canton School District","=""0230011""","ELA","M",441,441,100.0,441,47,10.7,89,20.2,167,37.9,138,31.3,305,69.2
"Canton School District","=""0230011""","Math","F",463,455,98.3,455,72,15.8,132,29.0,128,28.1,123,27.0,251,55.2
"Canton School District","=""0230011""","Math","M",440,440,100.0,440,60,13.6,123,28.0,135,30.7,122,27.7,257,58.4
"Capitol Region Education Council","=""2410014""","ELA","F",1676,1590,94.9,1584,341,21.5,389,24.6,527,33.3,327,20.6,854,53.9
"Capitol Region Education Council","=""2410014""","ELA","M",1823,1758,96.4,1752,519,29.6,441,25.2,514,29.3,278,15.9,792,45.2
"Capitol Region Education Council","=""2410014""","Math","F",1678,1600,95.4,1596,651,40.8,477,29.9,293,18.4,175,11.0,468,29.3
"Capitol Region Education Council","=""2410014""","Math","M",1823,1754,96.2,1745,683,39.1,497,28.5,314,18.0,251,14.4,565,32.4
"Chaplin School District","=""0240011""","ELA","F",34,25,73.5,25,"*","*","*","*","*","*",12,48.0,"*","*"
"Chaplin School District","=""0240011""","ELA","M",41,33,80.5,33,"*","*","*","*","*","*",7,21.2,"*","*"
"Chaplin School District","=""0240011""","Math","F",34,25,73.5,25,"*","*",13,52.0,"*","*",0,0.0,"*","*"
"Chaplin School District","=""0240011""","Math","M",41,33,80.5,33,"*","*",12,36.4,6,18.2,"*","*","*","*"
"Cheshire School District","=""0250011""","ELA","F",1280,1265,98.8,1265,44,3.5,155,12.3,476,37.6,590,46.6,1066,84.3
"Cheshire School District","=""0250011""","ELA","M",1243,1222,98.3,1221,128,10.5,211,17.3,458,37.5,424,34.7,882,72.2
"Cheshire School District","=""0250011""","Math","F",1280,1265,98.8,1265,172,13.6,368,29.1,377,29.8,348,27.5,725,57.3
"Cheshire School District","=""0250011""","Math","M",1243,1221,98.2,1221,207,17.0,284,23.3,377,30.9,353,28.9,730,59.8
"Chester School District","=""0260011""","ELA","F",83,83,100.0,83,"*","*","*","*",31,37.3,43,51.8,74,89.2
"Chester School District","=""0260011""","ELA","M",54,54,100.0,54,"*","*","*","*",18,33.3,24,44.4,42,77.8
"Chester School District","=""0260011""","Math","F",84,84,100.0,84,"*","*",28,33.3,29,34.5,"*","*","*","*"
"Chester School District","=""0260011""","Math","M",54,54,100.0,54,"*","*","*","*",23,42.6,18,33.3,41,75.9
"Clinton School District","=""0270011""","ELA","F",503,492,97.8,492,32,6.5,91,18.5,196,39.8,173,35.2,369,75.0
"Clinton School District","=""0270011""","ELA","M",554,540,97.5,540,79,14.6,130,24.1,198,36.7,133,24.6,331,61.3
"Clinton School District","=""0270011""","Math","F",503,491,97.6,491,87,17.7,140,28.5,158,32.2,106,21.6,264,53.8
"Clinton School District","=""0270011""","Math","M",553,544,98.4,543,126,23.2,139,25.6,161,29.7,117,21.5,278,51.2
"Colchester School District","=""0280011""","ELA","F",698,688,98.6,688,46,6.7,122,17.7,266,38.7,254,36.9,520,75.6
"Colchester School District","=""0280011""","ELA","M",725,718,99.0,717,94,13.1,166,23.2,250,34.9,207,28.9,457,63.7
"Colchester School District","=""0280011""","Math","F",697,686,98.4,685,124,18.1,224,32.7,209,30.5,128,18.7,337,49.2
"Colchester School District","=""0280011""","Math","M",725,714,98.5,714,134,18.8,200,28.0,190,26.6,190,26.6,380,53.2
"Colebrook School District","=""0290011""","ELA","F",26,25,96.2,25,"*","*","*","*",8,32.0,13,52.0,21,84.0
"Colebrook School District","=""0290011""","ELA","M",26,23,88.5,23,"*","*","*","*",7,30.4,10,43.5,17,73.9
"Colebrook School District","=""0290011""","Math","F",26,25,96.2,25,"*","*",9,36.0,"*","*",8,32.0,"*","*"
"Colebrook School District","=""0290011""","Math","M",26,23,88.5,23,"*","*",6,26.1,"*","*",9,39.1,"*","*"
"Columbia School District","=""0300011""","ELA","F",146,145,99.3,145,11,7.6,25,17.2,55,37.9,54,37.2,109,75.2
"Columbia School District","=""0300011""","ELA","M",150,143,95.3,143,24,16.8,41,28.7,52,36.4,26,18.2,78,54.5
"Columbia School District","=""0300011""","Math","F",146,144,98.6,143,27,18.9,47,32.9,44,30.8,25,17.5,69,48.3
"Columbia School District","=""0300011""","Math","M",150,143,95.3,143,34,23.8,42,29.4,45,31.5,22,15.4,67,46.9
"Common Ground High School District","=""2680013""","ELA","F",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","ELA","M",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Math","F",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Math","M",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","ELA","F",985,959,97.4,959,161,16.8,332,34.6,364,38.0,102,10.6,466,48.6
"Connecticut Technical High School System","=""9000016""","ELA","M",1538,1476,96.0,1475,311,21.1,497,33.7,522,35.4,145,9.8,667,45.2
"Connecticut Technical High School System","=""9000016""","Math","F",984,954,97.0,954,621,65.1,270,28.3,"*","*","*","*",63,6.6
"Connecticut Technical High School System","=""9000016""","Math","M",1538,1474,95.8,1474,886,60.1,429,29.1,"*","*","*","*",159,10.8
"Cooperative Educational Services","=""2430014""","ELA","F",147,145,98.6,145,30,20.7,36,24.8,46,31.7,33,22.8,79,54.5
"Cooperative Educational Services","=""2430014""","ELA","M",212,210,99.1,210,84,40.0,59,28.1,49,23.3,18,8.6,67,31.9
"Cooperative Educational Services","=""2430014""","Math","F",147,145,98.6,145,39,26.9,54,37.2,34,23.4,18,12.4,52,35.9
"Cooperative Educational Services","=""2430014""","Math","M",211,210,99.5,210,102,48.6,57,27.1,39,18.6,12,5.7,51,24.3
"Cornwall School District","=""0310011""","ELA","F",25,22,88.0,22,"*","*",7,31.8,9,40.9,"*","*","*","*"
"Cornwall School District","=""0310011""","ELA","M",40,39,97.5,39,"*","*",8,20.5,17,43.6,"*","*","*","*"
"Cornwall School District","=""0310011""","Math","F",25,22,88.0,22,"*","*",6,27.3,7,31.8,"*","*","*","*"
"Cornwall School District","=""0310011""","Math","M",40,39,97.5,39,"*","*",7,17.9,17,43.6,"*","*","*","*"
"Coventry School District","=""0320011""","ELA","F",453,436,96.2,435,33,7.6,67,15.4,185,42.5,150,34.5,335,77.0
"Coventry School District","=""0320011""","ELA","M",429,413,96.3,413,69,16.7,105,25.4,164,39.7,75,18.2,239,57.9
"Coventry School District","=""0320011""","Math","F",453,433,95.6,433,79,18.2,148,34.2,142,32.8,64,14.8,206,47.6
"Coventry School District","=""0320011""","Math","M",429,404,94.2,404,102,25.2,133,32.9,98,24.3,71,17.6,169,41.8
"Cromwell School District","=""0330011""","ELA","F",506,504,99.6,504,42,8.3,94,18.7,199,39.5,169,33.5,368,73.0
"Cromwell School District","=""0330011""","ELA","M",565,563,99.6,563,100,17.8,134,23.8,199,35.3,130,23.1,329,58.4
"Cromwell School District","=""0330011""","Math","F",505,503,99.6,503,124,24.7,147,29.2,153,30.4,79,15.7,232,46.1
"Cromwell School District","=""0330011""","Math","M",565,563,99.6,563,158,28.1,171,30.4,134,23.8,100,17.8,234,41.6
"Danbury School District","=""0340011""","ELA","F",2822,2363,83.7,2353,468,19.9,643,27.3,795,33.8,447,19.0,1242,52.8
"Danbury School District","=""0340011""","ELA","M",2785,2408,86.5,2395,702,29.3,671,28.0,701,29.3,321,13.4,1022,42.7
"Danbury School District","=""0340011""","Math","F",2821,2403,85.2,2395,901,37.6,827,34.5,471,19.7,196,8.2,667,27.8
"Danbury School District","=""0340011""","Math","M",2786,2445,87.8,2444,913,37.4,789,32.3,508,20.8,234,9.6,742,30.4
"Darien School District","=""0350011""","ELA","F",1254,1225,97.7,1220,27,2.2,94,7.7,399,32.7,700,57.4,1099,90.1
"Darien School District","=""0350011""","ELA","M",1369,1325,96.8,1316,81,6.2,173,13.1,497,37.8,565,42.9,1062,80.7
"Darien School District","=""0350011""","Math","F",1254,1215,96.9,1205,80,6.6,210,17.4,392,32.5,523,43.4,915,75.9
"Darien School District","=""0350011""","Math","M",1369,1313,95.9,1308,106,8.1,208,15.9,394,30.1,600,45.9,994,76.0
"Deep River School District","=""0360011""","ELA","F",106,106,100.0,105,"*","*","*","*",35,33.3,51,48.6,86,81.9
"Deep River School District","=""0360011""","ELA","M",93,93,100.0,93,"*","*",26,28.0,26,28.0,"*","*","*","*"
"Deep River School District","=""0360011""","Math","F",106,106,100.0,106,15,14.2,26,24.5,40,37.7,25,23.6,65,61.3
"Deep River School District","=""0360011""","Math","M",93,93,100.0,93,20,21.5,27,29.0,35,37.6,11,11.8,46,49.5
"Derby School District","=""0370011""","ELA","F",398,395,99.2,392,95,24.2,107,27.3,135,34.4,55,14.0,190,48.5
"Derby School District","=""0370011""","ELA","M",380,373,98.2,372,133,35.8,108,29.0,91,24.5,40,10.8,131,35.2
"Derby School District","=""0370011""","Math","F",398,390,98.0,389,158,40.6,142,36.5,72,18.5,17,4.4,89,22.9
"Derby School District","=""0370011""","Math","M",380,374,98.4,374,176,47.1,109,29.1,67,17.9,22,5.9,89,23.8
"East Granby School District","=""0400011""","ELA","F",222,222,100.0,222,7,3.2,36,16.2,88,39.6,91,41.0,179,80.6
"East Granby School District","=""0400011""","ELA","M",248,246,99.2,246,34,13.8,55,22.4,92,37.4,65,26.4,157,63.8
"East Granby School District","=""0400011""","Math","F",222,221,99.5,221,25,11.3,64,29.0,69,31.2,63,28.5,132,59.7
"East Granby School District","=""0400011""","Math","M",247,245,99.2,245,44,18.0,60,24.5,66,26.9,75,30.6,141,57.6
"East Haddam School District","=""0410011""","ELA","F",286,278,97.2,277,31,11.2,39,14.1,112,40.4,95,34.3,207,74.7
"East Haddam School District","=""0410011""","ELA","M",315,305,96.8,305,43,14.1,61,20.0,123,40.3,78,25.6,201,65.9
"East Haddam School District","=""0410011""","Math","F",286,277,96.9,277,64,23.1,84,30.3,78,28.2,51,18.4,129,46.6
"East Haddam School District","=""0410011""","Math","M",315,305,96.8,305,61,20.0,90,29.5,86,28.2,68,22.3,154,50.5
"East Hampton School District","=""0420011""","ELA","F",490,471,96.1,471,37,7.9,92,19.5,180,38.2,162,34.4,342,72.6
"East Hampton School District","=""0420011""","ELA","M",530,519,97.9,519,95,18.3,133,25.6,187,36.0,104,20.0,291,56.1
"East Hampton School District","=""0420011""","Math","F",490,470,95.9,470,96,20.4,164,34.9,151,32.1,59,12.6,210,44.7
"East Hampton School District","=""0420011""","Math","M",530,517,97.5,517,123,23.8,175,33.8,140,27.1,79,15.3,219,42.4
"East Hartford School District","=""0430011""","ELA","F",1660,1631,98.3,1630,508,31.2,448,27.5,500,30.7,174,10.7,674,41.3
"East Hartford School District","=""0430011""","ELA","M",1812,1758,97.0,1753,809,46.1,499,28.5,358,20.4,87,5.0,445,25.4
"East Hartford School District","=""0430011""","Math","F",1650,1632,98.9,1631,832,51.0,494,30.3,233,14.3,72,4.4,305,18.7
"East Hartford School District","=""0430011""","Math","M",1801,1759,97.7,1756,1014,57.7,481,27.4,203,11.6,58,3.3,261,14.9
"East Haven School District","=""0440011""","ELA","F",780,771,98.8,770,153,19.9,203,26.4,283,36.8,131,17.0,414,53.8
"East Haven School District","=""0440011""","ELA","M",791,774,97.9,773,273,35.3,229,29.6,201,26.0,70,9.1,271,35.1
"East Haven School District","=""0440011""","Math","F",780,773,99.1,772,311,40.3,271,35.1,150,19.4,40,5.2,190,24.6
"East Haven School District","=""0440011""","Math","M",791,777,98.2,777,375,48.3,231,29.7,128,16.5,43,5.5,171,22.0
"East Lyme School District","=""0450011""","ELA","F",730,715,97.9,715,37,5.2,84,11.7,281,39.3,313,43.8,594,83.1
"East Lyme School District","=""0450011""","ELA","M",737,722,98.0,722,89,12.3,121,16.8,253,35.0,259,35.9,512,70.9
"East Lyme School District","=""0450011""","Math","F",730,715,97.9,715,94,13.1,201,28.1,214,29.9,206,28.8,420,58.7
"East Lyme School District","=""0450011""","Math","M",737,719,97.6,719,113,15.7,152,21.1,213,29.6,241,33.5,454,63.1
"East Windsor School District","=""0470011""","ELA","F",248,246,99.2,245,39,15.9,75,30.6,85,34.7,46,18.8,131,53.5
"East Windsor School District","=""0470011""","ELA","M",291,289,99.3,287,79,27.5,76,26.5,96,33.4,36,12.5,132,46.0
"East Windsor School District","=""0470011""","Math","F",248,247,99.6,246,86,35.0,90,36.6,50,20.3,20,8.1,70,28.5
"East Windsor School District","=""0470011""","Math","M",291,290,99.7,289,104,36.0,93,32.2,53,18.3,39,13.5,92,31.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","F",58,47,81.0,46,22,47.8,"*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","M",58,51,87.9,49,41,83.7,"*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","F",58,47,81.0,47,42,89.4,"*","*","*","*",0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","M",58,48,82.8,46,41,89.1,"*","*",0,0.0,"*","*","*","*"
"Eastford School District","=""0390011""","ELA","F",40,40,100.0,40,"*","*","*","*",17,42.5,16,40.0,33,82.5
"Eastford School District","=""0390011""","ELA","M",44,44,100.0,44,"*","*","*","*",18,40.9,14,31.8,32,72.7
"Eastford School District","=""0390011""","Math","F",40,40,100.0,40,"*","*",12,30.0,12,30.0,"*","*","*","*"
"Eastford School District","=""0390011""","Math","M",44,44,100.0,44,"*","*","*","*",14,31.8,13,29.5,27,61.4
"Easton School District","=""0460011""","ELA","F",284,283,99.6,283,12,4.2,33,11.7,98,34.6,140,49.5,238,84.1
"Easton School District","=""0460011""","ELA","M",351,343,97.7,343,28,8.2,80,23.3,136,39.7,99,28.9,235,68.5
"Easton School District","=""0460011""","Math","F",284,284,100.0,284,26,9.2,73,25.7,91,32.0,94,33.1,185,65.1
"Easton School District","=""0460011""","Math","M",351,344,98.0,343,33,9.6,100,29.2,108,31.5,102,29.7,210,61.2
"Education Connection","=""2420014""","ELA","F",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","ELA","M",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Math","F",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Math","M",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","F",733,714,97.4,706,71,10.1,87,12.3,250,35.4,298,42.2,548,77.6
"Ellington School District","=""0480011""","ELA","M",723,718,99.3,709,77,10.9,142,20.0,259,36.5,231,32.6,490,69.1
"Ellington School District","=""0480011""","Math","F",733,717,97.8,706,117,16.6,185,26.2,230,32.6,174,24.6,404,57.2
"Ellington School District","=""0480011""","Math","M",722,718,99.4,709,106,15.0,185,26.1,214,30.2,204,28.8,418,59.0
"Elm City College Preparatory School District","=""2890013""","ELA","F",208,208,100.0,208,32,15.4,54,26.0,83,39.9,39,18.8,122,58.7
"Elm City College Preparatory School District","=""2890013""","ELA","M",148,148,100.0,148,34,23.0,39,26.4,52,35.1,23,15.5,75,50.7
"Elm City College Preparatory School District","=""2890013""","Math","F",208,208,100.0,208,47,22.6,75,36.1,58,27.9,28,13.5,86,41.3
"Elm City College Preparatory School District","=""2890013""","Math","M",148,148,100.0,148,39,26.4,45,30.4,41,27.7,23,15.5,64,43.2
"Enfield School District","=""0490011""","ELA","F",1285,1272,99.0,1269,153,12.1,325,25.6,538,42.4,253,19.9,791,62.3
"Enfield School District","=""0490011""","ELA","M",1300,1278,98.3,1276,283,22.2,387,30.3,423,33.2,183,14.3,606,47.5
"Enfield School District","=""0490011""","Math","F",1287,1269,98.6,1265,337,26.6,514,40.6,312,24.7,102,8.1,414,32.7
"Enfield School District","=""0490011""","Math","M",1297,1273,98.1,1272,369,29.0,432,34.0,327,25.7,144,11.3,471,37.0
"Essex School District","=""0500011""","ELA","F",125,123,98.4,123,7,5.7,11,8.9,42,34.1,63,51.2,105,85.4
