"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, Free/Reduced Price Mea"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Bridgeport Achievement First District","=""2850013""","N",97,97,100.0,97,38,39.2,22,22.7,24,24.7,13,13.4,37,38.1
"Bridgeport School District","=""0150011""","Y",10462,10109,96.6,10102,6860,67.9,2345,23.2,723,7.2,174,1.7,897,8.9
"Bristol School District","=""0170011""","Y",1934,1908,98.7,1907,886,46.5,605,31.7,328,17.2,88,4.6,416,21.8
"Bristol School District","=""0170011""","N",2276,2253,99.0,2253,597,26.5,715,31.7,605,26.9,336,14.9,941,41.8
"Brookfield School District","=""0180011""","Y",112,110,98.2,110,27,24.5,33,30.0,29,26.4,21,19.1,50,45.5
"Brookfield School District","=""0180011""","N",1398,1346,96.3,1344,204,15.2,366,27.2,429,31.9,345,25.7,774,57.6
"Brooklyn School District","=""0190011""","Y",157,153,97.5,152,69,45.4,58,38.2,"*","*","*","*",25,16.4
"Brooklyn School District","=""0190011""","N",388,385,99.2,385,"*","*",147,38.2,100,26.0,"*","*","*","*"
"Canaan School District","=""0210011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N",47,47,100.0,47,"*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Y",81,80,98.8,80,26,32.5,30,37.5,15,18.8,9,11.3,24,30.0
"Canterbury School District","=""0220011""","N",231,229,99.1,229,61,26.6,74,32.3,67,29.3,27,11.8,94,41.0
"Canton School District","=""0230011""","Y",80,80,100.0,80,32,40.0,23,28.8,15,18.8,10,12.5,25,31.3
"Canton School District","=""0230011""","N",823,815,99.0,815,100,12.3,232,28.5,248,30.4,235,28.8,483,59.3
"Capitol Region Education Council","=""2410014""","Y",1720,1646,95.7,1637,899,54.9,465,28.4,201,12.3,72,4.4,273,16.7
"Capitol Region Education Council","=""2410014""","N",1781,1708,95.9,1704,435,25.5,509,29.9,406,23.8,354,20.8,760,44.6
"Chaplin School District","=""0240011""","Y",31,27,87.1,27,"*","*",11,40.7,"*","*","*","*","*","*"
"Chaplin School District","=""0240011""","N",44,31,70.5,31,"*","*",14,45.2,"*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Y",193,186,96.4,186,57,30.6,73,39.2,31,16.7,25,13.4,56,30.1
"Cheshire School District","=""0250011""","N",2330,2300,98.7,2300,322,14.0,579,25.2,723,31.4,676,29.4,1399,60.8
"Chester School District","=""0260011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","N",120,120,100.0,120,"*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Y",235,232,98.7,232,79,34.1,78,33.6,50,21.6,25,10.8,75,32.3
"Clinton School District","=""0270011""","N",821,803,97.8,802,134,16.7,201,25.1,269,33.5,198,24.7,467,58.2
"Colchester School District","=""0280011""","Y",237,235,99.2,235,77,32.8,81,34.5,48,20.4,29,12.3,77,32.8
"Colchester School District","=""0280011""","N",1185,1165,98.3,1164,181,15.5,343,29.5,351,30.2,289,24.8,640,55.0
"Colebrook School District","=""0290011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N",41,37,90.2,37,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Y",55,54,98.2,54,24,44.4,16,29.6,"*","*","*","*",14,25.9
"Columbia School District","=""0300011""","N",241,233,96.7,232,"*","*",73,31.5,78,33.6,"*","*","*","*"
"Common Ground High School District","=""2680013""","Y",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Y",1254,1213,96.7,1213,816,67.3,316,26.1,70,5.8,11,0.9,81,6.7
"Connecticut Technical High School System","=""9000016""","N",1268,1215,95.8,1215,691,56.9,383,31.5,130,10.7,11,0.9,141,11.6
"Cooperative Educational Services","=""2430014""","Y",101,101,100.0,101,50,49.5,31,30.7,"*","*","*","*",20,19.8
"Cooperative Educational Services","=""2430014""","N",257,254,98.8,254,91,35.8,80,31.5,"*","*","*","*",83,32.7
"Cornwall School District","=""0310011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N",56,52,92.9,52,"*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Y",184,169,91.8,169,62,36.7,55,32.5,41,24.3,11,6.5,52,30.8
"Coventry School District","=""0320011""","N",698,668,95.7,668,119,17.8,226,33.8,199,29.8,124,18.6,323,48.4
"Cromwell School District","=""0330011""","Y",207,206,99.5,206,97,47.1,73,35.4,"*","*","*","*",36,17.5
"Cromwell School District","=""0330011""","N",863,860,99.7,860,"*","*",245,28.5,256,29.8,"*","*","*","*"
"Danbury School District","=""0340011""","Y",2905,2633,90.6,2628,1201,45.7,932,35.5,395,15.0,100,3.8,495,18.8
"Danbury School District","=""0340011""","N",2702,2215,82.0,2211,613,27.7,684,30.9,584,26.4,330,14.9,914,41.3
"Darien School District","=""0350011""","Y",48,48,100.0,47,13,27.7,14,29.8,12,25.5,8,17.0,20,42.6
"Darien School District","=""0350011""","N",2575,2480,96.3,2466,173,7.0,404,16.4,774,31.4,1115,45.2,1889,76.6
"Deep River School District","=""0360011""","Y",36,36,100.0,36,"*","*",10,27.8,12,33.3,"*","*","*","*"
"Deep River School District","=""0360011""","N",163,163,100.0,163,"*","*",43,26.4,63,38.7,"*","*","*","*"
"Derby School District","=""0370011""","Y",473,466,98.5,465,247,53.1,134,28.8,65,14.0,19,4.1,84,18.1
"Derby School District","=""0370011""","N",305,298,97.7,298,87,29.2,117,39.3,74,24.8,20,6.7,94,31.5
"East Granby School District","=""0400011""","Y",39,38,97.4,38,14,36.8,15,39.5,"*","*","*","*",9,23.7
"East Granby School District","=""0400011""","N",430,428,99.5,428,"*","*",109,25.5,129,30.1,"*","*","*","*"
"East Haddam School District","=""0410011""","Y",87,87,100.0,87,29,33.3,22,25.3,26,29.9,10,11.5,36,41.4
"East Haddam School District","=""0410011""","N",514,495,96.3,495,96,19.4,152,30.7,138,27.9,109,22.0,247,49.9
"East Hampton School District","=""0420011""","Y",127,126,99.2,126,57,45.2,40,31.7,"*","*","*","*",29,23.0
"East Hampton School District","=""0420011""","N",893,861,96.4,861,"*","*",299,34.7,267,31.0,"*","*","*","*"
"East Hartford School District","=""0430011""","Y",2394,2350,98.2,2347,1411,60.1,630,26.8,261,11.1,45,1.9,306,13.0
"East Hartford School District","=""0430011""","N",1057,1041,98.5,1040,435,41.8,345,33.2,175,16.8,85,8.2,260,25.0
"East Haven School District","=""0440011""","Y",778,762,97.9,762,392,51.4,244,32.0,105,13.8,21,2.8,126,16.5
"East Haven School District","=""0440011""","N",793,788,99.4,787,294,37.4,258,32.8,173,22.0,62,7.9,235,29.9
"East Lyme School District","=""0450011""","Y",218,211,96.8,211,54,25.6,69,32.7,56,26.5,32,15.2,88,41.7
"East Lyme School District","=""0450011""","N",1249,1223,97.9,1223,153,12.5,284,23.2,371,30.3,415,33.9,786,64.3
"East Windsor School District","=""0470011""","Y",218,217,99.5,217,101,46.5,81,37.3,26,12.0,9,4.1,35,16.1
"East Windsor School District","=""0470011""","N",321,320,99.7,318,89,28.0,102,32.1,77,24.2,50,15.7,127,39.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y",56,47,83.9,46,42,91.3,"*","*","*","*",0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",60,48,80.0,47,41,87.2,"*","*",0,0.0,"*","*","*","*"
"Eastford School District","=""0390011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","N",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Y",25,25,100.0,25,"*","*",10,40.0,7,28.0,"*","*","*","*"
"Easton School District","=""0460011""","N",610,603,98.9,602,"*","*",163,27.1,192,31.9,"*","*","*","*"
"Education Connection","=""2420014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Y",141,139,98.6,138,51,37.0,41,29.7,32,23.2,14,10.1,46,33.3
"Ellington School District","=""0480011""","N",1314,1296,98.6,1277,172,13.5,329,25.8,412,32.3,364,28.5,776,60.8
"Elm City College Preparatory School District","=""2890013""","Y",291,291,100.0,291,80,27.5,98,33.7,76,26.1,37,12.7,113,38.8
"Elm City College Preparatory School District","=""2890013""","N",65,65,100.0,65,6,9.2,22,33.8,23,35.4,14,21.5,37,56.9
"Enfield School District","=""0490011""","Y",958,926,96.7,924,353,38.2,343,37.1,182,19.7,46,5.0,228,24.7
"Enfield School District","=""0490011""","N",1626,1616,99.4,1613,353,21.9,603,37.4,457,28.3,200,12.4,657,40.7
"Essex School District","=""0500011""","Y",22,22,100.0,22,"*","*",7,31.8,8,36.4,"*","*","*","*"
"Essex School District","=""0500011""","N",245,238,97.1,238,"*","*",75,31.5,65,27.3,"*","*","*","*"
"Explorations District","=""2720013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Y",553,525,94.9,524,184,35.1,194,37.0,105,20.0,41,7.8,146,27.9
"Fairfield School District","=""0510011""","N",5031,4877,96.9,4876,561,11.5,1231,25.2,1661,34.1,1423,29.2,3084,63.2
"Farmington School District","=""0520011""","Y",198,188,94.9,186,62,33.3,55,29.6,42,22.6,27,14.5,69,37.1
"Farmington School District","=""0520011""","N",1975,1916,97.0,1914,211,11.0,432,22.6,549,28.7,722,37.7,1271,66.4
"Franklin School District","=""0530011""","Y",23,22,95.7,22,12,54.5,8,36.4,"*","*","*","*","*","*"
"Franklin School District","=""0530011""","N",88,86,97.7,86,14,16.3,26,30.2,"*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Y",315,309,98.1,309,109,35.3,97,31.4,73,23.6,30,9.7,103,33.3
"Glastonbury School District","=""0540011""","N",3127,3098,99.1,3098,281,9.1,638,20.6,936,30.2,1243,40.1,2179,70.3
"Granby School District","=""0560011""","Y",116,111,95.7,111,28,25.2,41,36.9,29,26.1,13,11.7,42,37.8
"Granby School District","=""0560011""","N",970,898,92.6,897,94,10.5,233,26.0,313,34.9,257,28.7,570,63.5
"Great Oaks Charter School District","=""2940013""","Y",97,95,97.9,95,"*","*","*","*","*","*",0,0.0,"*","*"
"Great Oaks Charter School District","=""2940013""","N",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Y",681,675,99.1,673,268,39.8,243,36.1,105,15.6,57,8.5,162,24.1
"Greenwich School District","=""0570011""","N",3923,3906,99.6,3906,401,10.3,747,19.1,1137,29.1,1621,41.5,2758,70.6
"Griswold School District","=""0580011""","Y",356,347,97.5,347,138,39.8,118,34.0,62,17.9,29,8.4,91,26.2
"Griswold School District","=""0580011""","N",591,584,98.8,584,128,21.9,181,31.0,178,30.5,97,16.6,275,47.1
"Groton School District","=""0590011""","Y",1014,949,93.6,948,395,41.7,308,32.5,164,17.3,81,8.5,245,25.8
"Groton School District","=""0590011""","N",1212,1110,91.6,1110,202,18.2,358,32.3,328,29.5,222,20.0,550,49.5
"Guilford School District","=""0600011""","Y",183,182,99.5,182,45,24.7,59,32.4,47,25.8,31,17.0,78,42.9
"Guilford School District","=""0600011""","N",1687,1678,99.5,1678,163,9.7,407,24.3,515,30.7,593,35.3,1108,66.0
"Hamden School District","=""0620011""","Y",1134,1073,94.6,1071,562,52.5,319,29.8,142,13.3,48,4.5,190,17.7
"Hamden School District","=""0620011""","N",1709,1643,96.1,1641,408,24.9,444,27.1,440,26.8,349,21.3,789,48.1
"Hampton School District","=""0630011""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Hampton School District","=""0630011""","N",33,29,87.9,29,"*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Y",8878,8331,93.8,8309,5472,65.9,2004,24.1,629,7.6,204,2.5,833,10.0
"Hartford School District","=""0640011""","N",1698,1603,94.4,1602,606,37.8,442,27.6,321,20.0,233,14.5,554,34.6
"Hartland School District","=""0650011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Hartland School District","=""0650011""","N",119,117,98.3,117,"*","*","*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""","Y",38,38,100.0,38,18,47.4,12,31.6,"*","*","*","*",8,21.1
"Hebron School District","=""0670011""","N",455,454,99.8,454,66,14.5,155,34.1,"*","*","*","*",233,51.3
"Highville Charter School District","=""2860013""","Y",149,149,100.0,149,80,53.7,55,36.9,"*","*","*","*",14,9.4
"Highville Charter School District","=""2860013""","N",63,63,100.0,63,30,47.6,23,36.5,10,15.9,0,0.0,10,15.9
"Integrated Day Charter School District","=""2640013""","Y",69,69,100.0,68,34,50.0,22,32.4,"*","*","*","*",12,17.6
"Integrated Day Charter School District","=""2640013""","N",129,129,100.0,127,41,32.3,40,31.5,"*","*","*","*",46,36.2
"Interdistrict School for Arts and Comm District","=""2650013""","Y",179,178,99.4,177,110,62.1,45,25.4,"*","*","*","*",22,12.4
"Interdistrict School for Arts and Comm District","=""2650013""","N",74,74,100.0,74,29,39.2,21,28.4,"*","*","*","*",24,32.4
"Jumoke Academy District","=""2610013""","Y",247,247,100.0,247,119,48.2,98,39.7,"*","*","*","*",30,12.1
"Jumoke Academy District","=""2610013""","N",180,178,98.9,178,72,40.4,67,37.6,"*","*","*","*",39,21.9
"Kent School District","=""0680011""","Y",24,24,100.0,24,"*","*",8,33.3,12,50.0,"*","*","*","*"
"Kent School District","=""0680011""","N",140,138,98.6,138,"*","*",28,20.3,65,47.1,"*","*","*","*"
"Killingly School District","=""0690011""","Y",551,539,97.8,539,208,38.6,218,40.4,93,17.3,20,3.7,113,21.0
"Killingly School District","=""0690011""","N",666,656,98.5,655,193,29.5,236,36.0,176,26.9,50,7.6,226,34.5
"Learn","=""2450014""","Y",311,307,98.7,305,147,48.2,100,32.8,44,14.4,14,4.6,58,19.0
"Learn","=""2450014""","N",271,263,97.0,263,78,29.7,89,33.8,61,23.2,35,13.3,96,36.5
"Lebanon School District","=""0710011""","Y",107,100,93.5,100,31,31.0,37,37.0,19,19.0,13,13.0,32,32.0
"Lebanon School District","=""0710011""","N",470,451,96.0,451,86,19.1,141,31.3,131,29.0,93,20.6,224,49.7
"Ledyard School District","=""0720011""","Y",226,222,98.2,222,68,30.6,92,41.4,43,19.4,19,8.6,62,27.9
"Ledyard School District","=""0720011""","N",1043,1022,98.0,1019,217,21.3,317,31.1,279,27.4,206,20.2,485,47.6
"Lisbon School District","=""0730011""","Y",62,61,98.4,61,21,34.4,25,41.0,"*","*","*","*",15,24.6
"Lisbon School District","=""0730011""","N",196,194,99.0,194,59,30.4,89,45.9,"*","*","*","*",46,23.7
"Litchfield School District","=""0740011""","Y",67,66,98.5,66,26,39.4,19,28.8,10,15.2,11,16.7,21,31.8
"Litchfield School District","=""0740011""","N",498,491,98.6,491,63,12.8,112,22.8,167,34.0,149,30.3,316,64.4
"Madison School District","=""0760011""","Y",79,63,79.7,63,20,31.7,18,28.6,14,22.2,11,17.5,25,39.7
"Madison School District","=""0760011""","N",1636,1262,77.1,1261,148,11.7,346,27.4,401,31.8,366,29.0,767,60.8
"Manchester School District","=""0770011""","Y",1696,1570,92.6,1567,833,53.2,477,30.4,200,12.8,57,3.6,257,16.4
"Manchester School District","=""0770011""","N",1346,1234,91.7,1232,333,27.0,379,30.8,327,26.5,193,15.7,520,42.2
"Mansfield School District","=""0780011""","Y",192,185,96.4,185,41,22.2,57,30.8,40,21.6,47,25.4,87,47.0
"Mansfield School District","=""0780011""","N",592,550,92.9,548,29,5.3,108,19.7,143,26.1,268,48.9,411,75.0
"Marlborough School District","=""0790011""","Y",36,36,100.0,36,11,30.6,11,30.6,"*","*","*","*",14,38.9
"Marlborough School District","=""0790011""","N",331,330,99.7,330,"*","*",76,23.0,116,35.2,"*","*","*","*"
"Meriden School District","=""0800011""","Y",2623,2550,97.2,2546,1591,62.5,658,25.8,239,9.4,58,2.3,297,11.7
"Meriden School District","=""0800011""","N",1230,1206,98.0,1203,397,33.0,429,35.7,266,22.1,111,9.2,377,31.3
"Middletown School District","=""0830011""","Y",1104,1087,98.5,1086,573,52.8,336,30.9,136,12.5,41,3.8,177,16.3
"Middletown School District","=""0830011""","N",1341,1335,99.6,1335,316,23.7,390,29.2,353,26.4,276,20.7,629,47.1
"Milford School District","=""0840011""","Y",659,640,97.1,640,262,40.9,226,35.3,105,16.4,47,7.3,152,23.8
"Milford School District","=""0840011""","N",2656,2584,97.3,2581,481,18.6,822,31.8,753,29.2,525,20.3,1278,49.5
"Monroe School District","=""0850011""","Y",134,132,98.5,131,37,28.2,36,27.5,36,27.5,22,16.8,58,44.3
"Monroe School District","=""0850011""","N",1604,1580,98.5,1580,213,13.5,404,25.6,525,33.2,438,27.7,963,60.9
"Montville School District","=""0860011""","Y",445,441,99.1,441,159,36.1,166,37.6,81,18.4,35,7.9,116,26.3
"Montville School District","=""0860011""","N",794,782,98.5,782,188,24.0,270,34.5,203,26.0,121,15.5,324,41.4
"Naugatuck School District","=""0880011""","Y",1052,1030,97.9,1028,486,47.3,337,32.8,150,14.6,55,5.4,205,19.9
"Naugatuck School District","=""0880011""","N",1213,1196,98.6,1196,345,28.8,408,34.1,316,26.4,127,10.6,443,37.0
"New Beginnings Inc., Family Academy District","=""2800013""","Y",216,216,100.0,216,"*","*",77,35.6,30,13.9,"*","*","*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","N",26,26,100.0,26,"*","*",12,46.2,"*","*",0,0.0,"*","*"
"New Britain School District","=""0890011""","Y",3962,3905,98.6,3901,2575,66.0,904,23.2,322,8.3,100,2.6,422,10.8
"New Britain School District","=""0890011""","N",859,844,98.3,842,353,41.9,231,27.4,176,20.9,82,9.7,258,30.6
"New Canaan School District","=""0900011""","N",2249,2196,97.6,2196,163,7.4,406,18.5,628,28.6,999,45.5,1627,74.1
"New Fairfield School District","=""0910011""","Y",127,123,96.9,123,42,34.1,46,37.4,22,17.9,13,10.6,35,28.5
"New Fairfield School District","=""0910011""","N",1254,1056,84.2,1054,221,21.0,324,30.7,297,28.2,212,20.1,509,48.3
"New Hartford School District","=""0920011""","Y",26,26,100.0,26,9,34.6,8,30.8,"*","*","*","*",9,34.6
"New Hartford School District","=""0920011""","N",279,262,93.9,262,"*","*",76,29.0,101,38.5,"*","*","*","*"
"New Haven School District","=""0930011""","Y",5735,5430,94.7,5418,3690,68.1,1348,24.9,312,5.8,68,1.3,380,7.0
"New Haven School District","=""0930011""","N",4326,4067,94.0,4053,1985,49.0,1180,29.1,582,14.4,306,7.5,888,21.9
"New London School District","=""0950011""","Y",1303,1280,98.2,1273,701,55.1,370,29.1,160,12.6,42,3.3,202,15.9
"New London School District","=""0950011""","N",288,282,97.9,280,117,41.8,81,28.9,53,18.9,29,10.4,82,29.3
"New Milford School District","=""0960011""","Y",436,406,93.1,405,166,41.0,144,35.6,72,17.8,23,5.7,95,23.5
"New Milford School District","=""0960011""","N",1865,1727,92.6,1715,376,21.9,587,34.2,479,27.9,273,15.9,752,43.8
"Newington School District","=""0940011""","Y",462,451,97.6,451,147,32.6,155,34.4,101,22.4,48,10.6,149,33.0
"Newington School District","=""0940011""","N",1739,1711,98.4,1706,298,17.5,519,30.4,508,29.8,381,22.3,889,52.1
"Newtown School District","=""0970011""","Y",206,190,92.2,190,53,27.9,67,35.3,44,23.2,26,13.7,70,36.8
"Newtown School District","=""0970011""","N",2391,2246,93.9,2245,278,12.4,585,26.1,720,32.1,662,29.5,1382,61.6
"Norfolk School District","=""0980011""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Norfolk School District","=""0980011""","N",51,51,100.0,51,"*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","Y",183,179,97.8,179,77,43.0,69,38.5,25,14.0,8,4.5,33,18.4
"North Branford School District","=""0990011""","N",894,861,96.3,860,248,28.8,271,31.5,218,25.3,123,14.3,341,39.7
"North Canaan School District","=""1000011""","Y",49,45,91.8,45,16,35.6,13,28.9,"*","*","*","*",16,35.6
"North Canaan School District","=""1000011""","N",112,109,97.3,109,"*","*",36,33.0,34,31.2,"*","*","*","*"
"North Haven School District","=""1010011""","Y",251,207,82.5,207,85,41.1,75,36.2,38,18.4,9,4.3,47,22.7
"North Haven School District","=""1010011""","N",1493,1220,81.7,1219,253,20.8,451,37.0,325,26.7,190,15.6,515,42.2
"North Stonington School District","=""1020011""","Y",60,58,96.7,58,17,29.3,22,37.9,8,13.8,11,19.0,19,32.8
"North Stonington School District","=""1020011""","N",321,316,98.4,316,48,15.2,78,24.7,92,29.1,98,31.0,190,60.1
"Norwalk School District","=""1030011""","Y",2814,2778,98.7,2777,1460,52.6,835,30.1,375,13.5,107,3.9,482,17.4
"Norwalk School District","=""1030011""","N",2925,2861,97.8,2856,890,31.2,833,29.2,680,23.8,453,15.9,1133,39.7
"Norwich Free Academy District","=""9010022""","Y",257,227,88.3,226,150,66.4,47,20.8,23,10.2,6,2.7,29,12.8
"Norwich Free Academy District","=""9010022""","N",292,267,91.4,264,101,38.3,75,28.4,58,22.0,30,11.4,88,33.3
"Norwich School District","=""1040011""","Y",1693,1670,98.6,1666,970,58.2,486,29.2,146,8.8,64,3.8,210,12.6
"Norwich School District","=""1040011""","N",558,538,96.4,538,191,35.5,192,35.7,114,21.2,41,7.6,155,28.8
"Odyssey Community School District","=""2630013""","Y",84,80,95.2,80,33,41.3,24,30.0,15,18.8,8,10.0,23,28.8
"Odyssey Community School District","=""2630013""","N",130,130,100.0,130,22,16.9,55,42.3,34,26.2,19,14.6,53,40.8
"Old Saybrook School District","=""1060011""","Y",126,123,97.6,122,32,26.2,52,42.6,25,20.5,13,10.7,38,31.1
"Old Saybrook School District","=""1060011""","N",626,609,97.3,606,104,17.2,179,29.5,189,31.2,134,22.1,323,53.3
"Orange School District","=""1070011""","Y",38,36,94.7,36,10,27.8,16,44.4,"*","*","*","*",10,27.8
"Orange School District","=""1070011""","N",672,664,98.8,663,"*","*",182,27.5,221,33.3,"*","*","*","*"
"Oxford School District","=""1080011""","Y",92,90,97.8,90,31,34.4,29,32.2,"*","*","*","*",30,33.3
"Oxford School District","=""1080011""","N",1034,1012,97.9,1012,"*","*",336,33.2,302,29.8,"*","*","*","*"
"Park City Prep Charter School District","=""2830013""","Y",241,239,99.2,239,132,55.2,85,35.6,15,6.3,7,2.9,22,9.2
"Park City Prep Charter School District","=""2830013""","N",105,105,100.0,105,46,43.8,34,32.4,18,17.1,7,6.7,25,23.8
"Path Academy District","=""2930013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","Y",580,561,96.7,560,248,44.3,219,39.1,76,13.6,17,3.0,93,16.6
"Plainfield School District","=""1090011""","N",655,635,96.9,635,189,29.8,224,35.3,174,27.4,48,7.6,222,35.0
"Plainville School District","=""1100011""","Y",424,421,99.3,421,170,40.4,140,33.3,84,20.0,27,6.4,111,26.4
"Plainville School District","=""1100011""","N",831,826,99.4,826,232,28.1,247,29.9,228,27.6,119,14.4,347,42.0
"Plymouth School District","=""1110011""","Y",256,247,96.5,247,120,48.6,69,27.9,45,18.2,13,5.3,58,23.5
