"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"East Haven School District","=""0440011""",1319,1311,99.4,1311,329,25.1,364,27.8,407,31.0,211,16.1,618,47.1
"East Lyme School District","=""0450011""",1198,1169,97.6,1169,116,9.9,198,16.9,396,33.9,459,39.3,855,73.1
"East Windsor School District","=""0470011""",466,460,98.7,459,104,22.7,131,28.5,163,35.5,61,13.3,224,48.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",45,43,95.6,43,41,95.3,"*","*","*","*",0,0.0,"*","*"
"Eastford School District","=""0390011""",86,86,100.0,86,7,8.1,22,25.6,31,36.0,26,30.2,57,66.3
"Easton School District","=""0460011""",632,617,97.6,617,30,4.9,75,12.2,210,34.0,302,48.9,512,83.0
"Education Connection","=""2420014""",7,7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",1262,1253,99.3,1253,95,7.6,234,18.7,393,31.4,531,42.4,924,73.7
"Elm City College Preparatory School District","=""2890013""",376,376,100.0,376,81,21.5,78,20.7,131,34.8,86,22.9,217,57.7
"Enfield School District","=""0490011""",2233,2220,99.4,2220,387,17.4,580,26.1,782,35.2,471,21.2,1253,56.4
"Essex School District","=""0500011""",230,223,97.0,223,16,7.2,35,15.7,72,32.3,100,44.8,172,77.1
"Fairfield School District","=""0510011""",4734,4685,99.0,4683,423,9.0,793,16.9,1663,35.5,1804,38.5,3467,74.0
"Farmington School District","=""0520011""",1903,1895,99.6,1895,129,6.8,276,14.6,637,33.6,853,45.0,1490,78.6
"Franklin School District","=""0530011""",110,108,98.2,108,21,19.4,22,20.4,40,37.0,25,23.1,65,60.2
"Glastonbury School District","=""0540011""",2827,2817,99.6,2817,197,7.0,388,13.8,984,34.9,1248,44.3,2232,79.2
"Granby School District","=""0560011""",840,831,98.9,831,60,7.2,126,15.2,296,35.6,349,42.0,645,77.6
"Great Oaks Charter School District","=""2940013""",210,210,100.0,210,107,51.0,63,30.0,"*","*","*","*",40,19.0
"Greenwich School District","=""0570011""",3970,3956,99.6,3956,361,9.1,591,14.9,1252,31.6,1752,44.3,3004,75.9
"Griswold School District","=""0580011""",823,814,98.9,814,142,17.4,194,23.8,292,35.9,186,22.9,478,58.7
"Groton School District","=""0590011""",1952,1938,99.3,1938,431,22.2,456,23.5,615,31.7,436,22.5,1051,54.2
"Guilford School District","=""0600011""",1630,1626,99.8,1624,103,6.3,195,12.0,557,34.3,769,47.4,1326,81.7
"Hamden School District","=""0620011""",2432,2403,98.8,2403,642,26.7,545,22.7,701,29.2,515,21.4,1216,50.6
"Hampton School District","=""0630011""",48,48,100.0,48,8,16.7,14,29.2,15,31.3,11,22.9,26,54.2
"Hartford School District","=""0640011""",9376,9270,98.9,9267,4668,50.4,2207,23.8,1714,18.5,678,7.3,2392,25.8
"Hartland School District","=""0650011""",126,126,100.0,126,14,11.1,26,20.6,51,40.5,35,27.8,86,68.3
"Hebron School District","=""0670011""",437,437,100.0,437,68,15.6,90,20.6,166,38.0,113,25.9,279,63.8
"Highville Charter School District","=""2860013""",231,231,100.0,231,81,35.1,73,31.6,57,24.7,20,8.7,77,33.3
"Integrated Day Charter School District","=""2640013""",199,199,100.0,196,50,25.5,49,25.0,71,36.2,26,13.3,97,49.5
"Interdistrict School for Arts and Comm District","=""2650013""",262,259,98.9,259,89,34.4,86,33.2,68,26.3,16,6.2,84,32.4
"Jumoke Academy District","=""2610013""",419,418,99.8,418,137,32.8,120,28.7,113,27.0,48,11.5,161,38.5
"Kent School District","=""0680011""",158,151,95.6,151,13,8.6,18,11.9,57,37.7,63,41.7,120,79.5
"Killingly School District","=""0690011""",1012,982,97.0,982,160,16.3,249,25.4,375,38.2,198,20.2,573,58.4
"Learn","=""2450014""",418,413,98.8,413,99,24.0,104,25.2,118,28.6,92,22.3,210,50.8
"Lebanon School District","=""0710011""",458,439,95.9,439,51,11.6,96,21.9,148,33.7,144,32.8,292,66.5
"Ledyard School District","=""0720011""",1010,1004,99.4,1003,193,19.2,220,21.9,350,34.9,240,23.9,590,58.8
"Lisbon School District","=""0730011""",252,249,98.8,249,32,12.9,63,25.3,85,34.1,69,27.7,154,61.8
"Litchfield School District","=""0740011""",437,432,98.9,432,35,8.1,62,14.4,149,34.5,186,43.1,335,77.5
"Madison School District","=""0760011""",1333,1211,90.8,1211,128,10.6,222,18.3,447,36.9,414,34.2,861,71.1
"Manchester School District","=""0770011""",2678,2644,98.7,2643,976,36.9,601,22.7,674,25.5,392,14.8,1066,40.3
"Mansfield School District","=""0780011""",815,760,93.3,760,72,9.5,97,12.8,241,31.7,350,46.1,591,77.8
"Marlborough School District","=""0790011""",341,340,99.7,340,31,9.1,59,17.4,101,29.7,149,43.8,250,73.5
"Meriden School District","=""0800011""",3414,3393,99.4,3393,1194,35.2,837,24.7,917,27.0,445,13.1,1362,40.1
"Middletown School District","=""0830011""",2092,2090,99.9,2088,542,26.0,462,22.1,652,31.2,432,20.7,1084,51.9
"Milford School District","=""0840011""",2752,2697,98.0,2697,361,13.4,607,22.5,997,37.0,732,27.1,1729,64.1
"Monroe School District","=""0850011""",1448,1436,99.2,1436,101,7.0,208,14.5,516,35.9,611,42.5,1127,78.5
"Montville School District","=""0860011""",1048,1044,99.6,1044,161,15.4,252,24.1,362,34.7,269,25.8,631,60.4
"Naugatuck School District","=""0880011""",1958,1951,99.6,1951,502,25.7,509,26.1,592,30.3,348,17.8,940,48.2
"New Beginnings Inc., Family Academy District","=""2800013""",237,237,100.0,237,86,36.3,76,32.1,56,23.6,19,8.0,75,31.6
"New Britain School District","=""0890011""",4353,4332,99.5,4331,2393,55.3,978,22.6,674,15.6,286,6.6,960,22.2
"New Canaan School District","=""0900011""",2031,2016,99.3,2016,93,4.6,243,12.1,659,32.7,1021,50.6,1680,83.3
"New Fairfield School District","=""0910011""",1071,985,92.0,985,95,9.6,180,18.3,347,35.2,363,36.9,710,72.1
"New Hartford School District","=""0920011""",295,283,95.9,283,25,8.8,61,21.6,84,29.7,113,39.9,197,69.6
"New Haven School District","=""0930011""",9063,8971,99.0,8960,3679,41.1,2405,26.8,2023,22.6,853,9.5,2876,32.1
"New London School District","=""0950011""",1453,1441,99.2,1439,663,46.1,365,25.4,284,19.7,127,8.8,411,28.6
"New Milford School District","=""0960011""",1977,1868,94.5,1868,411,22.0,458,24.5,618,33.1,381,20.4,999,53.5
"Newington School District","=""0940011""",1901,1895,99.7,1895,352,18.6,450,23.7,641,33.8,452,23.9,1093,57.7
"Newtown School District","=""0970011""",2082,2065,99.2,2065,162,7.8,351,17.0,795,38.5,757,36.7,1552,75.2
"Norfolk School District","=""0980011""",57,57,100.0,57,12,21.1,13,22.8,13,22.8,19,33.3,32,56.1
"North Branford School District","=""0990011""",877,842,96.0,842,133,15.8,202,24.0,284,33.7,223,26.5,507,60.2
"North Canaan School District","=""1000011""",157,155,98.7,155,29,18.7,35,22.6,51,32.9,40,25.8,91,58.7
"North Haven School District","=""1010011""",1481,1444,97.5,1444,153,10.6,264,18.3,501,34.7,526,36.4,1027,71.1
"North Stonington School District","=""1020011""",340,338,99.4,338,28,8.3,50,14.8,130,38.5,130,38.5,260,76.9
"Norwalk School District","=""1030011""",5082,5045,99.3,5034,1380,27.4,1286,25.5,1405,27.9,963,19.1,2368,47.0
"Norwich School District","=""1040011""",2206,2167,98.2,2165,895,41.3,550,25.4,502,23.2,218,10.1,720,33.3
"Odyssey Community School District","=""2630013""",216,215,99.5,215,42,19.5,53,24.7,78,36.3,42,19.5,120,55.8
"Old Saybrook School District","=""1060011""",617,610,98.9,610,62,10.2,122,20.0,241,39.5,185,30.3,426,69.8
"Orange School District","=""1070011""",734,720,98.1,720,61,8.5,102,14.2,239,33.2,318,44.2,557,77.4
"Oxford School District","=""1080011""",963,949,98.5,949,119,12.5,222,23.4,347,36.6,261,27.5,608,64.1
"Park City Prep Charter School District","=""2830013""",348,346,99.4,346,114,32.9,94,27.2,99,28.6,39,11.3,138,39.9
"Plainfield School District","=""1090011""",1028,1017,98.9,1017,187,18.4,248,24.4,357,35.1,225,22.1,582,57.2
"Plainville School District","=""1100011""",1043,1042,99.9,1042,199,19.1,239,22.9,378,36.3,226,21.7,604,58.0
"Plymouth School District","=""1110011""",664,657,98.9,657,141,21.5,154,23.4,212,32.3,150,22.8,362,55.1
"Pomfret School District","=""1120011""",278,278,100.0,275,23,8.4,54,19.6,97,35.3,101,36.7,198,72.0
"Portland School District","=""1130011""",644,629,97.7,629,47,7.5,106,16.9,215,34.2,261,41.5,476,75.7
"Preston School District","=""1140011""",281,269,95.7,269,33,12.3,57,21.2,100,37.2,79,29.4,179,66.5
"Putnam School District","=""1160011""",537,523,97.4,522,147,28.2,119,22.8,160,30.7,96,18.4,256,49.0
"Redding School District","=""1170011""",662,654,98.8,654,45,6.9,91,13.9,228,34.9,290,44.3,518,79.2
"Regional School District 01","=""2010012""",6,6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""",311,308,99.0,308,38,12.3,62,20.1,134,43.5,74,24.0,208,67.5
"Regional School District 05","=""2050012""",756,738,97.6,738,55,7.5,105,14.2,306,41.5,272,36.9,578,78.3
"Regional School District 06","=""2060012""",331,313,94.6,313,44,14.1,53,16.9,124,39.6,92,29.4,216,69.0
"Regional School District 07","=""2070012""",325,312,96.0,312,36,11.5,57,18.3,141,45.2,78,25.0,219,70.2
"Regional School District 08","=""2080012""",567,561,98.9,558,48,8.6,113,20.3,264,47.3,133,23.8,397,71.1
"Regional School District 10","=""2100012""",1135,1118,98.5,1118,108,9.7,228,20.4,403,36.0,379,33.9,782,69.9
"Regional School District 11","=""2110012""",91,90,98.9,90,9,10.0,20,22.2,47,52.2,14,15.6,61,67.8
"Regional School District 12","=""2120012""",311,310,99.7,310,25,8.1,48,15.5,124,40.0,113,36.5,237,76.5
"Regional School District 13","=""2130012""",827,818,98.9,818,88,10.8,184,22.5,308,37.7,238,29.1,546,66.7
"Regional School District 14","=""2140012""",664,660,99.4,660,90,13.6,154,23.3,232,35.2,184,27.9,416,63.0
"Regional School District 15","=""2150012""",1821,1796,98.6,1796,125,7.0,279,15.5,638,35.5,754,42.0,1392,77.5
"Regional School District 16","=""2160012""",1069,1000,93.5,1000,127,12.7,228,22.8,359,35.9,286,28.6,645,64.5
"Regional School District 17","=""2170012""",1062,1055,99.3,1055,100,9.5,181,17.2,361,34.2,413,39.1,774,73.4
"Regional School District 18","=""2180012""",607,600,98.8,600,36,6.0,81,13.5,228,38.0,255,42.5,483,80.5
"Ridgefield School District","=""1180011""",2383,2323,97.5,2323,142,6.1,268,11.5,763,32.8,1150,49.5,1913,82.4
"Rocky Hill School District","=""1190011""",1139,1134,99.6,1134,140,12.3,226,19.9,383,33.8,385,34.0,768,67.7
"Salem School District","=""1210011""",246,246,100.0,246,16,6.5,28,11.4,83,33.7,119,48.4,202,82.1
"Salisbury School District","=""1220011""",160,160,100.0,160,8,5.0,22,13.8,58,36.3,72,45.0,130,81.3
"Scotland School District","=""1230011""",57,55,96.5,55,7,12.7,12,21.8,18,32.7,18,32.7,36,65.5
"Seymour School District","=""1240011""",1063,1056,99.3,1056,208,19.7,263,24.9,376,35.6,209,19.8,585,55.4
"Sharon School District","=""1250011""",104,102,98.1,102,26,25.5,25,24.5,29,28.4,22,21.6,51,50.0
"Shelton School District","=""1260011""",2315,2291,99.0,2290,256,11.2,413,18.0,804,35.1,817,35.7,1621,70.8
"Sherman School District","=""1270011""",222,174,78.4,174,22,12.6,31,17.8,65,37.4,56,32.2,121,69.5
"Side By Side Charter School District","=""2700013""",129,129,100.0,129,18,14.0,35,27.1,55,42.6,21,16.3,76,58.9
"Simsbury School District","=""1280011""",1935,1930,99.7,1930,119,6.2,259,13.4,621,32.2,931,48.2,1552,80.4
"Somers School District","=""1290011""",688,665,96.7,665,84,12.6,132,19.8,225,33.8,224,33.7,449,67.5
"South Windsor School District","=""1320011""",1864,1845,99.0,1845,146,7.9,285,15.4,667,36.2,747,40.5,1414,76.6
"Southington School District","=""1310011""",3110,3087,99.3,3087,404,13.1,644,20.9,1152,37.3,887,28.7,2039,66.1
"Sprague School District","=""1330011""",220,219,99.5,219,52,23.7,52,23.7,84,38.4,31,14.2,115,52.5
"Stafford School District","=""1340011""",680,669,98.4,669,93,13.9,145,21.7,269,40.2,162,24.2,431,64.4
"Stamford School District","=""1350011""",7055,6992,99.1,6992,1868,26.7,1649,23.6,2043,29.2,1432,20.5,3475,49.7
"Sterling School District","=""1360011""",286,279,97.6,279,52,18.6,72,25.8,97,34.8,58,20.8,155,55.6
"Stonington School District","=""1370011""",995,972,97.7,972,123,12.7,157,16.2,333,34.3,359,36.9,692,71.2
"Stratford School District","=""1380011""",3229,3207,99.3,3205,803,25.1,813,25.4,1013,31.6,576,18.0,1589,49.6
"Suffield School District","=""1390011""",1032,1010,97.9,1010,123,12.2,197,19.5,351,34.8,339,33.6,690,68.3
"The Bridge Academy District","=""2690013""",98,98,100.0,98,44,44.9,37,37.8,"*","*","*","*",17,17.3
"The Gilbert School District","=""9020022""",172,168,97.7,168,38,22.6,52,31.0,57,33.9,21,12.5,78,46.4
"Thomaston School District","=""1400011""",456,452,99.1,452,104,23.0,112,24.8,150,33.2,86,19.0,236,52.2
"Thompson School District","=""1410011""",500,476,95.2,476,145,30.5,159,33.4,128,26.9,44,9.2,172,36.1
"Tolland School District","=""1420011""",1213,1206,99.4,1206,113,9.4,240,19.9,437,36.2,416,34.5,853,70.7
"Torrington School District","=""1430011""",2076,1999,96.3,1999,532,26.6,576,28.8,607,30.4,284,14.2,891,44.6
"Trailblazers Academy District","=""2780013""",129,124,96.1,124,85,68.5,25,20.2,"*","*","*","*",14,11.3
"Trumbull School District","=""1440011""",3006,2965,98.6,2964,164,5.5,376,12.7,946,31.9,1478,49.9,2424,81.8
"Unified School District #2","=""3470015""",31,31,100.0,30,25,83.3,"*","*","*","*",0,0.0,"*","*"
"Union School District","=""1450011""",49,49,100.0,49,8,16.3,10,20.4,16,32.7,15,30.6,31,63.3
"Vernon School District","=""1460011""",1410,1390,98.6,1389,424,30.5,345,24.8,400,28.8,220,15.8,620,44.6
"Voluntown School District","=""1470011""",174,174,100.0,174,23,13.2,39,22.4,67,38.5,45,25.9,112,64.4
"Wallingford School District","=""1480011""",2694,2666,99.0,2666,469,17.6,680,25.5,970,36.4,547,20.5,1517,56.9
"Waterbury School District","=""1510011""",8436,8395,99.5,8394,3954,47.1,2185,26.0,1631,19.4,624,7.4,2255,26.9
"Waterford School District","=""1520011""",1214,1213,99.9,1213,163,13.4,249,20.5,431,35.5,370,30.5,801,66.0
"Watertown School District","=""1530011""",1319,1306,99.0,1306,195,14.9,313,24.0,458,35.1,340,26.0,798,61.1
"West Hartford School District","=""1550011""",4424,4395,99.3,4391,520,11.8,747,17.0,1458,33.2,1666,37.9,3124,71.1
"West Haven School District","=""1560011""",2637,2612,99.1,2612,734,28.1,656,25.1,793,30.4,429,16.4,1222,46.8
"Westbrook School District","=""1540011""",323,322,99.7,322,28,8.7,55,17.1,108,33.5,131,40.7,239,74.2
"Weston School District","=""1570011""",1109,1085,97.8,1085,71,6.5,154,14.2,423,39.0,437,40.3,860,79.3
"Westport School District","=""1580011""",2661,2603,97.8,2598,131,5.0,330,12.7,895,34.4,1242,47.8,2137,82.3
"Wethersfield School District","=""1590011""",1624,1603,98.7,1603,227,14.2,310,19.3,569,35.5,497,31.0,1066,66.5
"Willington School District","=""1600011""",288,276,95.8,276,55,19.9,62,22.5,109,39.5,50,18.1,159,57.6
"Wilton School District","=""1610011""",1987,1949,98.1,1949,114,5.8,280,14.4,723,37.1,832,42.7,1555,79.8
"Winchester School District","=""1620011""",333,326,97.9,326,96,29.4,93,28.5,90,27.6,47,14.4,137,42.0
"Windham School District","=""1630011""",1575,1564,99.3,1564,606,38.7,390,24.9,386,24.7,182,11.6,568,36.3
"Windsor Locks School District","=""1650011""",720,713,99.0,713,179,25.1,187,26.2,220,30.9,127,17.8,347,48.7
"Windsor School District","=""1640011""",1367,1353,99.0,1353,400,29.6,334,24.7,382,28.2,237,17.5,619,45.8
"Wolcott School District","=""1660011""",1090,1084,99.4,1084,126,11.6,230,21.2,414,38.2,314,29.0,728,67.2
"Woodbridge School District","=""1670011""",438,417,95.2,417,31,7.4,52,12.5,126,30.2,208,49.9,334,80.1
"Woodstock School District","=""1690011""",587,565,96.3,565,68,12.0,102,18.1,212,37.5,183,32.4,395,69.9

