"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Andover School District","=""0010011""","Math","N",134,133,99.3,133,6,4.5,27,20.3,47,35.3,53,39.8,100,75.2
"Andover School District","=""0010011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","F",603,594,98.5,594,255,42.9,173,29.1,120,20.2,46,7.7,166,27.9
"Ansonia School District","=""0020011""","ELA","N",328,325,99.1,325,92,28.3,85,26.2,96,29.5,52,16.0,148,45.5
"Ansonia School District","=""0020011""","ELA","R",123,118,95.9,118,42,35.6,36,30.5,33,28.0,7,5.9,40,33.9
"Ansonia School District","=""0020011""","Math","F",603,593,98.3,593,273,46.0,211,35.6,"*","*","*","*",109,18.4
"Ansonia School District","=""0020011""","Math","N",328,325,99.1,324,100,30.9,116,35.8,67,20.7,41,12.7,108,33.3
"Ansonia School District","=""0020011""","Math","R",123,118,95.9,118,45,38.1,40,33.9,"*","*","*","*",33,28.0
"Area Cooperative Educational Services","=""2440014""","ELA","F",711,702,98.7,702,353,50.3,165,23.5,145,20.7,39,5.6,184,26.2
"Area Cooperative Educational Services","=""2440014""","ELA","N",460,457,99.3,456,87,19.1,120,26.3,152,33.3,97,21.3,249,54.6
"Area Cooperative Educational Services","=""2440014""","ELA","R",116,116,100.0,116,40,34.5,34,29.3,34,29.3,8,6.9,42,36.2
"Area Cooperative Educational Services","=""2440014""","Math","F",711,695,97.7,695,447,64.3,164,23.6,"*","*","*","*",84,12.1
"Area Cooperative Educational Services","=""2440014""","Math","N",460,457,99.3,457,138,30.2,150,32.8,105,23.0,64,14.0,169,37.0
"Area Cooperative Educational Services","=""2440014""","Math","R",116,116,100.0,116,53,45.7,47,40.5,"*","*","*","*",16,13.8
"Ashford School District","=""0030011""","ELA","F",65,64,98.5,64,17,26.6,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","ELA","N",154,154,100.0,154,"*","*","*","*",56,36.4,54,35.1,110,71.4
"Ashford School District","=""0030011""","ELA","R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Math","F",65,64,98.5,64,"*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Math","N",154,154,100.0,154,22,14.3,49,31.8,51,33.1,32,20.8,83,53.9
"Ashford School District","=""0030011""","Math","R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","F",67,67,100.0,67,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","N",1466,1462,99.7,1462,63,4.3,182,12.4,482,33.0,735,50.3,1217,83.2
"Avon School District","=""0040011""","ELA","R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Math","F",67,67,100.0,67,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Math","N",1469,1462,99.5,1462,84,5.7,244,16.7,424,29.0,710,48.6,1134,77.6
"Avon School District","=""0040011""","Math","R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","ELA","N",158,151,95.6,151,16,10.6,30,19.9,53,35.1,52,34.4,105,69.5
"Barkhamsted School District","=""0050011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Math","N",158,151,95.6,151,33,21.9,57,37.7,41,27.2,20,13.2,61,40.4
"Barkhamsted School District","=""0050011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","ELA","F",124,123,99.2,123,32,26.0,33,26.8,45,36.6,13,10.6,58,47.2
"Berlin School District","=""0070011""","ELA","N",1154,1149,99.6,1148,92,8.0,228,19.9,453,39.5,375,32.7,828,72.1
"Berlin School District","=""0070011""","ELA","R",41,41,100.0,41,11,26.8,15,36.6,9,22.0,6,14.6,15,36.6
"Berlin School District","=""0070011""","Math","F",124,123,99.2,123,50,40.7,46,37.4,"*","*","*","*",27,22.0
"Berlin School District","=""0070011""","Math","N",1154,1146,99.3,1145,162,14.1,324,28.3,348,30.4,311,27.2,659,57.6
"Berlin School District","=""0070011""","Math","R",41,41,100.0,40,13,32.5,15,37.5,"*","*","*","*",12,30.0
"Bethany School District","=""0080011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","ELA","N",215,207,96.3,207,23,11.1,45,21.7,68,32.9,71,34.3,139,67.1
"Bethany School District","=""0080011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Math","N",215,207,96.3,207,18,8.7,53,25.6,62,30.0,74,35.7,136,65.7
"Bethany School District","=""0080011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","ELA","F",204,203,99.5,203,44,21.7,51,25.1,69,34.0,39,19.2,108,53.2
"Bethel School District","=""0090011""","ELA","N",1038,1030,99.2,1030,90,8.7,160,15.5,381,37.0,399,38.7,780,75.7
"Bethel School District","=""0090011""","ELA","R",87,87,100.0,87,15,17.2,14,16.1,38,43.7,20,23.0,58,66.7
"Bethel School District","=""0090011""","Math","F",204,202,99.0,202,59,29.2,71,35.1,53,26.2,19,9.4,72,35.6
"Bethel School District","=""0090011""","Math","N",1038,1029,99.1,1029,108,10.5,298,29.0,320,31.1,303,29.4,623,60.5
"Bethel School District","=""0090011""","Math","R",87,87,100.0,87,18,20.7,33,37.9,18,20.7,18,20.7,36,41.4
"Bloomfield School District","=""0110011""","ELA","F",342,340,99.4,340,94,27.6,89,26.2,122,35.9,35,10.3,157,46.2
"Bloomfield School District","=""0110011""","ELA","N",354,353,99.7,353,81,22.9,90,25.5,122,34.6,60,17.0,182,51.6
"Bloomfield School District","=""0110011""","ELA","R",71,71,100.0,71,22,31.0,16,22.5,16,22.5,17,23.9,33,46.5
"Bloomfield School District","=""0110011""","Math","F",342,340,99.4,340,140,41.2,131,38.5,58,17.1,11,3.2,69,20.3
"Bloomfield School District","=""0110011""","Math","N",354,352,99.4,352,118,33.5,130,36.9,69,19.6,35,9.9,104,29.5
"Bloomfield School District","=""0110011""","Math","R",71,71,100.0,71,31,43.7,17,23.9,15,21.1,8,11.3,23,32.4
"Bolton School District","=""0120011""","ELA","F",51,51,100.0,51,"*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","ELA","N",296,287,97.0,287,26,9.1,28,9.8,102,35.5,131,45.6,233,81.2
"Bolton School District","=""0120011""","ELA","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Math","F",51,51,100.0,50,"*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Math","N",296,287,97.0,287,27,9.4,58,20.2,92,32.1,110,38.3,202,70.4
"Bolton School District","=""0120011""","Math","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","ELA","F",22,22,100.0,22,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","ELA","N",106,105,99.1,104,23,22.1,30,28.8,33,31.7,18,17.3,51,49.0
"Bozrah School District","=""0130011""","ELA","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Math","F",22,22,100.0,22,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Math","N",106,105,99.1,104,22,21.2,43,41.3,29,27.9,10,9.6,39,37.5
"Bozrah School District","=""0130011""","Math","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","ELA","F",279,276,98.9,275,64,23.3,89,32.4,79,28.7,43,15.6,122,44.4
"Branford School District","=""0140011""","ELA","N",999,988,98.9,983,103,10.5,198,20.1,343,34.9,339,34.5,682,69.4
"Branford School District","=""0140011""","ELA","R",77,77,100.0,76,16,21.1,16,21.1,26,34.2,18,23.7,44,57.9
"Branford School District","=""0140011""","Math","F",278,275,98.9,274,94,34.3,87,31.8,61,22.3,32,11.7,93,33.9
"Branford School District","=""0140011""","Math","N",998,985,98.7,982,161,16.4,239,24.3,292,29.7,290,29.5,582,59.3
"Branford School District","=""0140011""","Math","R",77,77,100.0,76,20,26.3,22,28.9,14,18.4,20,26.3,34,44.7
"Brass City Charter School District","=""2900013""","ELA","F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","ELA","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","ELA","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Math","F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Math","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Math","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","ELA","F",388,387,99.7,387,118,30.5,103,26.6,99,25.6,67,17.3,166,42.9
"Bridgeport Achievement First District","=""2850013""","ELA","N",95,95,100.0,95,14,14.7,29,30.5,25,26.3,27,28.4,52,54.7
"Bridgeport Achievement First District","=""2850013""","ELA","R",58,58,100.0,58,9,15.5,20,34.5,15,25.9,14,24.1,29,50.0
"Bridgeport Achievement First District","=""2850013""","Math","F",388,387,99.7,387,132,34.1,102,26.4,70,18.1,83,21.4,153,39.5
"Bridgeport Achievement First District","=""2850013""","Math","N",95,95,100.0,95,21,22.1,25,26.3,18,18.9,31,32.6,49,51.6
"Bridgeport Achievement First District","=""2850013""","Math","R",58,58,100.0,58,14,24.1,19,32.8,14,24.1,11,19.0,25,43.1
"Bridgeport School District","=""0150011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","ELA","F",1480,1475,99.7,1475,518,35.1,396,26.8,409,27.7,152,10.3,561,38.0
"Bristol School District","=""0170011""","ELA","N",1851,1843,99.6,1843,245,13.3,379,20.6,686,37.2,533,28.9,1219,66.1
"Bristol School District","=""0170011""","ELA","R",218,217,99.5,217,41,18.9,60,27.6,82,37.8,34,15.7,116,53.5
"Bristol School District","=""0170011""","Math","F",1482,1475,99.5,1475,627,42.5,513,34.8,247,16.7,88,6.0,335,22.7
"Bristol School District","=""0170011""","Math","N",1851,1841,99.5,1841,334,18.1,559,30.4,551,29.9,397,21.6,948,51.5
"Bristol School District","=""0170011""","Math","R",218,217,99.5,217,56,25.8,84,38.7,48,22.1,29,13.4,77,35.5
"Brookfield School District","=""0180011""","ELA","F",68,66,97.1,66,"*","*","*","*",21,31.8,10,15.2,31,47.0
"Brookfield School District","=""0180011""","ELA","N",1174,1107,94.3,1107,112,10.1,222,20.1,387,35.0,386,34.9,773,69.8
"Brookfield School District","=""0180011""","ELA","R",25,22,88.0,22,"*","*","*","*",7,31.8,8,36.4,15,68.2
"Brookfield School District","=""0180011""","Math","F",68,66,97.1,66,"*","*","*","*",16,24.2,8,12.1,24,36.4
"Brookfield School District","=""0180011""","Math","N",1174,1102,93.9,1102,113,10.3,291,26.4,382,34.7,316,28.7,698,63.3
"Brookfield School District","=""0180011""","Math","R",25,22,88.0,22,"*","*","*","*",7,31.8,7,31.8,14,63.6
"Brooklyn School District","=""0190011""","ELA","F",136,133,97.8,133,32,24.1,37,27.8,43,32.3,21,15.8,64,48.1
"Brooklyn School District","=""0190011""","ELA","N",356,354,99.4,354,"*","*","*","*",138,39.0,139,39.3,277,78.2
"Brooklyn School District","=""0190011""","ELA","R",29,29,100.0,29,"*","*",9,31.0,10,34.5,"*","*","*","*"
"Brooklyn School District","=""0190011""","Math","F",136,132,97.1,132,46,34.8,61,46.2,"*","*","*","*",25,18.9
"Brooklyn School District","=""0190011""","Math","N",356,354,99.4,354,49,13.8,136,38.4,102,28.8,67,18.9,169,47.7
"Brooklyn School District","=""0190011""","Math","R",29,29,100.0,29,10,34.5,12,41.4,"*","*","*","*",7,24.1
"Canaan School District","=""0210011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","ELA","F",66,65,98.5,65,"*","*",18,27.7,18,27.7,"*","*","*","*"
"Canterbury School District","=""0220011""","ELA","N",222,218,98.2,218,32,14.7,62,28.4,77,35.3,47,21.6,124,56.9
"Canterbury School District","=""0220011""","ELA","R",20,20,100.0,20,"*","*",6,30.0,10,50.0,"*","*","*","*"
"Canterbury School District","=""0220011""","Math","F",66,65,98.5,65,"*","*",23,35.4,"*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Math","N",222,218,98.2,218,45,20.6,82,37.6,65,29.8,26,11.9,91,41.7
"Canterbury School District","=""0220011""","Math","R",20,20,100.0,20,"*","*",11,55.0,"*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","F",83,82,98.8,82,"*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","N",693,686,99.0,686,44,6.4,106,15.5,246,35.9,290,42.3,536,78.1
"Canton School District","=""0230011""","ELA","R",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Math","F",83,82,98.8,82,"*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Math","N",693,686,99.0,686,64,9.3,135,19.7,233,34.0,254,37.0,487,71.0
"Canton School District","=""0230011""","Math","R",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","F",55,55,100.0,55,24,43.6,18,32.7,13,23.6,0,0.0,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","N",41,41,100.0,41,"*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","F",55,55,100.0,55,42,76.4,"*","*","*","*",0,0.0,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","N",41,41,100.0,41,"*","*","*","*","*","*",0,0.0,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","R",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","ELA","F",1374,1359,98.9,1358,544,40.1,370,27.2,329,24.2,115,8.5,444,32.7
"Capitol Region Education Council","=""2410014""","ELA","N",1500,1461,97.4,1461,204,14.0,306,20.9,526,36.0,425,29.1,951,65.1
"Capitol Region Education Council","=""2410014""","ELA","R",245,245,100.0,245,77,31.4,44,18.0,94,38.4,30,12.2,124,50.6
"Capitol Region Education Council","=""2410014""","Math","F",1374,1344,97.8,1344,697,51.9,421,31.3,165,12.3,61,4.5,226,16.8
"Capitol Region Education Council","=""2410014""","Math","N",1497,1449,96.8,1449,282,19.5,474,32.7,339,23.4,354,24.4,693,47.8
"Capitol Region Education Council","=""2410014""","Math","R",245,245,100.0,245,104,42.4,78,31.8,47,19.2,16,6.5,63,25.7
"Chaplin School District","=""0240011""","ELA","F",31,31,100.0,31,"*","*","*","*",13,41.9,"*","*","*","*"
"Chaplin School District","=""0240011""","ELA","N",38,37,97.4,37,"*","*",8,21.6,"*","*",13,35.1,"*","*"
"Chaplin School District","=""0240011""","ELA","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Math","F",31,31,100.0,31,13,41.9,"*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Math","N",38,37,97.4,37,"*","*",14,37.8,12,32.4,"*","*","*","*"
"Chaplin School District","=""0240011""","Math","R",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","ELA","F",154,153,99.4,153,"*","*",47,30.7,49,32.0,"*","*","*","*"
"Cheshire School District","=""0250011""","ELA","N",1862,1845,99.1,1845,95,5.1,249,13.5,660,35.8,841,45.6,1501,81.4
"Cheshire School District","=""0250011""","ELA","R",37,37,100.0,37,"*","*","*","*",13,35.1,12,32.4,25,67.6
"Cheshire School District","=""0250011""","Math","F",154,152,98.7,152,40,26.3,67,44.1,30,19.7,15,9.9,45,29.6
"Cheshire School District","=""0250011""","Math","N",1862,1844,99.0,1844,176,9.5,418,22.7,562,30.5,688,37.3,1250,67.8
"Cheshire School District","=""0250011""","Math","R",37,37,100.0,37,8,21.6,7,18.9,11,29.7,11,29.7,22,59.5
"Chester School District","=""0260011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","ELA","N",120,119,99.2,119,"*","*","*","*",44,37.0,55,46.2,99,83.2
"Chester School District","=""0260011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","Math","N",120,119,99.2,119,6,5.0,26,21.8,40,33.6,47,39.5,87,73.1
"Chester School District","=""0260011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","ELA","F",155,152,98.1,150,39,26.0,45,30.0,46,30.7,20,13.3,66,44.0
"Clinton School District","=""0270011""","ELA","N",696,687,98.7,686,47,6.9,116,16.9,254,37.0,269,39.2,523,76.2
"Clinton School District","=""0270011""","ELA","R",49,49,100.0,49,12,24.5,16,32.7,13,26.5,8,16.3,21,42.9
"Clinton School District","=""0270011""","Math","F",155,152,98.1,152,50,32.9,59,38.8,29,19.1,14,9.2,43,28.3
"Clinton School District","=""0270011""","Math","N",697,688,98.7,688,78,11.3,180,26.2,231,33.6,199,28.9,430,62.5
"Clinton School District","=""0270011""","Math","R",50,50,100.0,50,7,14.0,23,46.0,13,26.0,7,14.0,20,40.0
"Colchester School District","=""0280011""","ELA","F",163,163,100.0,163,32,19.6,53,32.5,54,33.1,24,14.7,78,47.9
"Colchester School District","=""0280011""","ELA","N",921,915,99.3,915,63,6.9,140,15.3,361,39.5,351,38.4,712,77.8
"Colchester School District","=""0280011""","ELA","R",52,52,100.0,52,10,19.2,13,25.0,16,30.8,13,25.0,29,55.8
"Colchester School District","=""0280011""","Math","F",162,162,100.0,162,47,29.0,64,39.5,41,25.3,10,6.2,51,31.5
"Colchester School District","=""0280011""","Math","N",920,914,99.3,914,104,11.4,247,27.0,304,33.3,259,28.3,563,61.6
"Colchester School District","=""0280011""","Math","R",52,52,100.0,52,8,15.4,22,42.3,14,26.9,8,15.4,22,42.3
"Colebrook School District","=""0290011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","ELA","N",40,38,95.0,38,"*","*","*","*",11,28.9,16,42.1,27,71.1
"Colebrook School District","=""0290011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","Math","N",40,38,95.0,38,6,15.8,8,21.1,14,36.8,10,26.3,24,63.2
"Colebrook School District","=""0290011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","ELA","F",38,38,100.0,38,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","ELA","N",238,230,96.6,230,24,10.4,45,19.6,89,38.7,72,31.3,161,70.0
"Columbia School District","=""0300011""","ELA","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Math","F",38,38,100.0,38,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Math","N",238,230,96.6,230,37,16.1,64,27.8,79,34.3,50,21.7,129,56.1
"Columbia School District","=""0300011""","Math","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","ELA","F",88,88,100.0,88,38,43.2,20,22.7,21,23.9,9,10.2,30,34.1
"Cooperative Educational Services","=""2430014""","ELA","N",213,207,97.2,207,51,24.6,47,22.7,58,28.0,51,24.6,109,52.7
"Cooperative Educational Services","=""2430014""","ELA","R",41,41,100.0,41,16,39.0,11,26.8,14,34.1,0,0.0,14,34.1
"Cooperative Educational Services","=""2430014""","Math","F",88,88,100.0,88,42,47.7,26,29.5,"*","*","*","*",20,22.7
"Cooperative Educational Services","=""2430014""","Math","N",213,208,97.7,208,63,30.3,61,29.3,"*","*","*","*",84,40.4
"Cooperative Educational Services","=""2430014""","Math","R",41,41,100.0,41,18,43.9,15,36.6,8,19.5,0,0.0,8,19.5
"Cornwall School District","=""0310011""","ELA","F",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","ELA","N",50,48,96.0,48,"*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Math","F",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Math","N",50,48,96.0,48,"*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","F",121,118,97.5,118,24,20.3,21,17.8,50,42.4,23,19.5,73,61.9
"Coventry School District","=""0320011""","ELA","N",603,597,99.0,597,48,8.0,100,16.8,231,38.7,218,36.5,449,75.2
"Coventry School District","=""0320011""","ELA","R",29,29,100.0,29,6,20.7,8,27.6,8,27.6,7,24.1,15,51.7
"Coventry School District","=""0320011""","Math","F",121,118,97.5,118,"*","*",37,31.4,38,32.2,"*","*","*","*"
"Coventry School District","=""0320011""","Math","N",603,597,99.0,597,73,12.2,179,30.0,184,30.8,161,27.0,345,57.8
"Coventry School District","=""0320011""","Math","R",29,29,100.0,29,"*","*",13,44.8,7,24.1,"*","*","*","*"
"Cromwell School District","=""0330011""","ELA","F",145,145,100.0,145,46,31.7,47,32.4,36,24.8,16,11.0,52,35.9
"Cromwell School District","=""0330011""","ELA","N",733,730,99.6,730,78,10.7,137,18.8,274,37.5,241,33.0,515,70.5
"Cromwell School District","=""0330011""","ELA","R",45,45,100.0,45,7,15.6,14,31.1,16,35.6,8,17.8,24,53.3
"Cromwell School District","=""0330011""","Math","F",145,145,100.0,145,61,42.1,57,39.3,"*","*","*","*",27,18.6
"Cromwell School District","=""0330011""","Math","N",733,730,99.6,729,125,17.1,221,30.3,221,30.3,162,22.2,383,52.5
"Cromwell School District","=""0330011""","Math","R",45,45,100.0,45,14,31.1,18,40.0,"*","*","*","*",13,28.9
"Danbury School District","=""0340011""","ELA","F",2254,2240,99.4,2239,701,31.3,731,32.6,614,27.4,193,8.6,807,36.0
"Danbury School District","=""0340011""","ELA","N",2214,2188,98.8,2186,434,19.9,491,22.5,738,33.8,523,23.9,1261,57.7
"Danbury School District","=""0340011""","ELA","R",610,608,99.7,608,129,21.2,181,29.8,202,33.2,96,15.8,298,49.0
"Danbury School District","=""0340011""","Math","F",2253,2228,98.9,2227,872,39.2,815,36.6,408,18.3,132,5.9,540,24.2
"Danbury School District","=""0340011""","Math","N",2214,2184,98.6,2184,557,25.5,672,30.8,556,25.5,399,18.3,955,43.7
"Danbury School District","=""0340011""","Math","R",610,607,99.5,606,164,27.1,220,36.3,157,25.9,65,10.7,222,36.6
"Darien School District","=""0350011""","ELA","F",41,40,97.6,40,"*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","ELA","N",2227,2201,98.8,2201,65,3.0,206,9.4,699,31.8,1231,55.9,1930,87.7
"Darien School District","=""0350011""","ELA","R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Math","F",41,40,97.6,40,"*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Math","N",2227,2200,98.8,2200,77,3.5,304,13.8,589,26.8,1230,55.9,1819,82.7
"Darien School District","=""0350011""","Math","R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","ELA","F",31,31,100.0,31,"*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","ELA","N",161,160,99.4,160,22,13.8,33,20.6,47,29.4,58,36.3,105,65.6
"Deep River School District","=""0360011""","ELA","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","Math","F",31,31,100.0,31,"*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","Math","N",161,160,99.4,160,16,10.0,57,35.6,37,23.1,50,31.3,87,54.4
"Deep River School District","=""0360011""","Math","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","ELA","F",335,334,99.7,334,146,43.7,"*","*",83,24.9,"*","*","*","*"
