"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, Special Education Status (SWD)"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Amistad Academy District","=""2790013""",05,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"ELA","N",91,91,100.0,91,"*","*","*","*","*","*","*","*","*","*",2534
"Amistad Academy District","=""2790013""",06,"ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"Math","N",91,91,100.0,91,"*","*","*","*","*","*","*","*","*","*",2519
"Amistad Academy District","=""2790013""",06,"Math","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",11,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",11,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",11,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",11,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"ELA","N",35,35,100.0,35,"*","*",6,17.1,"*","*",23,65.7,"*","*",2498
"Andover School District","=""0010011""",03,"Math","N",35,35,100.0,35,0,0.0,6,17.1,20,57.1,9,25.7,29,82.9,2474
"Andover School District","=""0010011""",04,"ELA","N",43,42,97.7,42,"*","*","*","*",10,23.8,24,57.1,34,81.0,2543
"Andover School District","=""0010011""",04,"Math","N",43,42,97.7,42,0,0.0,10,23.8,14,33.3,18,42.9,32,76.2,2533
"Andover School District","=""0010011""",05,"ELA","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"ELA","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",03,"ELA","N",150,150,100.0,150,32,21.3,"*","*",36,24.0,"*","*","*","*",2429
"Ansonia School District","=""0020011""",03,"ELA","Y",25,25,100.0,25,18,72.0,"*","*",0,0.0,"*","*","*","*",2339
"Ansonia School District","=""0020011""",03,"Math","N",150,150,100.0,150,38,25.3,"*","*","*","*","*","*","*","*",2422
"Ansonia School District","=""0020011""",03,"Math","Y",25,25,100.0,25,18,72.0,"*","*","*","*","*","*","*","*",2358
"Ansonia School District","=""0020011""",04,"ELA","N",166,164,98.8,164,60,36.6,"*","*",39,23.8,"*","*","*","*",2450
"Ansonia School District","=""0020011""",04,"ELA","Y",22,22,100.0,22,17,77.3,"*","*",0,0.0,"*","*","*","*",2379
"Ansonia School District","=""0020011""",04,"Math","N",167,166,99.4,166,38,22.9,"*","*","*","*",9,5.4,"*","*",2444
"Ansonia School District","=""0020011""",04,"Math","Y",22,22,100.0,22,16,72.7,"*","*","*","*",0,0.0,"*","*",2379
"Ansonia School District","=""0020011""",05,"ELA","N",151,150,99.3,150,39,26.0,"*","*",48,32.0,"*","*","*","*",2487
"Ansonia School District","=""0020011""",05,"ELA","Y",24,24,100.0,24,"*","*","*","*",0,0.0,0,0.0,0,0.0,2373
"Ansonia School District","=""0020011""",05,"Math","N",151,151,100.0,151,68,45.0,"*","*",10,6.6,"*","*","*","*",2458
"Ansonia School District","=""0020011""",05,"Math","Y",24,24,100.0,24,"*","*","*","*",0,0.0,0,0.0,0,0.0,2377
"Ansonia School District","=""0020011""",06,"ELA","N",137,137,100.0,137,36,26.3,57,41.6,"*","*","*","*","*","*",2497
"Ansonia School District","=""0020011""",06,"ELA","Y",36,36,100.0,36,26,72.2,"*","*","*","*",0,0.0,"*","*",2412
"Ansonia School District","=""0020011""",06,"Math","N",137,137,100.0,137,52,38.0,51,37.2,23,16.8,11,8.0,34,24.8,2491
"Ansonia School District","=""0020011""",06,"Math","Y",36,36,100.0,36,28,77.8,8,22.2,0,0.0,0,0.0,0,0.0,2402
"Ansonia School District","=""0020011""",07,"ELA","N",159,156,98.1,156,34,21.8,"*","*",53,34.0,"*","*","*","*",2536
"Ansonia School District","=""0020011""",07,"ELA","Y",28,27,96.4,27,"*","*","*","*",0,0.0,0,0.0,0,0.0,2422
"Ansonia School District","=""0020011""",07,"Math","N",159,156,98.1,156,60,38.5,62,39.7,22,14.1,12,7.7,34,21.8,2508
"Ansonia School District","=""0020011""",07,"Math","Y",28,27,96.4,27,18,66.7,9,33.3,0,0.0,0,0.0,0,0.0,2424
"Ansonia School District","=""0020011""",08,"ELA","N",180,176,97.8,176,51,29.0,"*","*",49,27.8,"*","*","*","*",2543
"Ansonia School District","=""0020011""",08,"ELA","Y",31,31,100.0,31,"*","*","*","*",0,0.0,0,0.0,0,0.0,2433
"Ansonia School District","=""0020011""",08,"Math","N",180,177,98.3,177,95,53.7,"*","*",19,10.7,"*","*","*","*",2495
"Ansonia School District","=""0020011""",08,"Math","Y",31,30,96.8,30,"*","*","*","*",0,0.0,0,0.0,0,0.0,2373
"Ansonia School District","=""0020011""",11,"ELA","N",109,101,92.7,101,"*","*","*","*","*","*","*","*","*","*",2618
"Ansonia School District","=""0020011""",11,"ELA","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",11,"Math","N",109,100,91.7,100,"*","*","*","*","*","*","*","*","*","*",2565
"Ansonia School District","=""0020011""",11,"Math","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",03,"ELA","N",67,67,100.0,67,19,28.4,"*","*",13,19.4,"*","*","*","*",2412
"Area Cooperative Educational Services","=""2440014""",03,"ELA","Y",32,31,96.9,30,"*","*","*","*",0,0.0,0,0.0,0,0.0,2292
"Area Cooperative Educational Services","=""2440014""",03,"Math","N",67,67,100.0,67,34,50.7,"*","*","*","*","*","*","*","*",2392
"Area Cooperative Educational Services","=""2440014""",03,"Math","Y",32,31,96.9,31,28,90.3,"*","*","*","*",0,0.0,"*","*",2287
"Area Cooperative Educational Services","=""2440014""",04,"ELA","N",68,67,98.5,67,25,37.3,25,37.3,"*","*","*","*","*","*",2437
"Area Cooperative Educational Services","=""2440014""",04,"ELA","Y",28,25,89.3,25,"*","*",0,0.0,"*","*",0,0.0,"*","*",2335
"Area Cooperative Educational Services","=""2440014""",04,"Math","N",68,67,98.5,67,27,40.3,"*","*","*","*",0,0.0,"*","*",2422
"Area Cooperative Educational Services","=""2440014""",04,"Math","Y",29,26,89.7,26,24,92.3,"*","*","*","*",0,0.0,"*","*",2316
"Area Cooperative Educational Services","=""2440014""",05,"ELA","N",66,66,100.0,66,"*","*",16,24.2,27,40.9,"*","*","*","*",2506
"Area Cooperative Educational Services","=""2440014""",05,"ELA","Y",29,29,100.0,28,21,75.0,"*","*",0,0.0,"*","*","*","*",2399
"Area Cooperative Educational Services","=""2440014""",05,"Math","N",66,66,100.0,66,33,50.0,"*","*","*","*","*","*","*","*",2450
"Area Cooperative Educational Services","=""2440014""",05,"Math","Y",29,28,96.6,28,26,92.9,"*","*","*","*",0,0.0,"*","*",2360
"Area Cooperative Educational Services","=""2440014""",06,"ELA","N",280,280,100.0,280,47,16.8,109,38.9,100,35.7,24,8.6,124,44.3,2522
"Area Cooperative Educational Services","=""2440014""",06,"ELA","Y",61,58,95.1,57,40,70.2,10,17.5,7,12.3,0,0.0,7,12.3,2414
"Area Cooperative Educational Services","=""2440014""",06,"Math","N",280,280,100.0,280,107,38.2,"*","*",43,15.4,"*","*","*","*",2489
"Area Cooperative Educational Services","=""2440014""",06,"Math","Y",61,59,96.7,57,"*","*","*","*",0,0.0,0,0.0,0,0.0,2349
"Area Cooperative Educational Services","=""2440014""",07,"ELA","N",258,257,99.6,256,59,23.0,73,28.5,"*","*","*","*",124,48.4,2543
"Area Cooperative Educational Services","=""2440014""",07,"ELA","Y",75,71,94.7,70,46,65.7,18,25.7,"*","*","*","*",6,8.6,2444
"Area Cooperative Educational Services","=""2440014""",07,"Math","N",258,256,99.2,256,97,37.9,"*","*","*","*","*","*","*","*",2508
"Area Cooperative Educational Services","=""2440014""",07,"Math","Y",75,70,93.3,70,61,87.1,"*","*","*","*","*","*","*","*",2391
"Area Cooperative Educational Services","=""2440014""",08,"ELA","N",264,264,100.0,264,50,18.9,87,33.0,"*","*","*","*","*","*",2562
"Area Cooperative Educational Services","=""2440014""",08,"ELA","Y",48,45,93.8,41,31,75.6,"*","*","*","*",0,0.0,"*","*",2444
"Area Cooperative Educational Services","=""2440014""",08,"Math","N",264,264,100.0,264,111,42.0,"*","*",50,18.9,"*","*","*","*",2532
"Area Cooperative Educational Services","=""2440014""",08,"Math","Y",48,44,91.7,43,"*","*","*","*",0,0.0,0,0.0,0,0.0,2393
"Area Cooperative Educational Services","=""2440014""",11,"ELA","Y",21,17,81.0,17,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",11,"Math","Y",21,17,81.0,17,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",03,"ELA","N",36,36,100.0,36,"*","*","*","*","*","*","*","*","*","*",2494
"Ashford School District","=""0030011""",03,"ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",03,"Math","N",36,36,100.0,36,"*","*","*","*","*","*","*","*","*","*",2473
"Ashford School District","=""0030011""",03,"Math","Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",04,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",04,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",04,"Math","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",04,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",06,"ELA","N",42,42,100.0,42,"*","*","*","*","*","*","*","*","*","*",2564
"Ashford School District","=""0030011""",06,"ELA","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",06,"Math","N",42,42,100.0,42,"*","*","*","*","*","*",0,0.0,"*","*",2501
"Ashford School District","=""0030011""",06,"Math","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",07,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",07,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",07,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",07,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"ELA","N",42,41,97.6,41,"*","*","*","*","*","*","*","*","*","*",2581
"Ashford School District","=""0030011""",08,"ELA","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"Math","N",42,41,97.6,40,"*","*","*","*","*","*","*","*","*","*",2540
"Ashford School District","=""0030011""",08,"Math","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",03,"ELA","N",212,208,98.1,208,"*","*","*","*","*","*","*","*","*","*",2515
"Avon School District","=""0040011""",03,"ELA","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",03,"Math","N",212,212,100.0,212,"*","*","*","*","*","*","*","*","*","*",2502
"Avon School District","=""0040011""",03,"Math","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",04,"ELA","N",255,252,98.8,252,"*","*","*","*","*","*","*","*","*","*",2537
"Avon School District","=""0040011""",04,"ELA","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",04,"Math","N",255,255,100.0,255,"*","*","*","*","*","*","*","*","*","*",2531
"Avon School District","=""0040011""",04,"Math","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",05,"ELA","N",259,257,99.2,257,7,2.7,"*","*",88,34.2,"*","*","*","*",2575
"Avon School District","=""0040011""",05,"ELA","Y",22,21,95.5,21,8,38.1,"*","*",6,28.6,"*","*","*","*",2483
"Avon School District","=""0040011""",05,"Math","N",259,258,99.6,258,21,8.1,60,23.3,"*","*","*","*","*","*",2554
"Avon School District","=""0040011""",05,"Math","Y",22,21,95.5,21,11,52.4,8,38.1,"*","*","*","*","*","*",2455
"Avon School District","=""0040011""",06,"ELA","N",244,242,99.2,241,"*","*",19,7.9,101,41.9,"*","*","*","*",2617
"Avon School District","=""0040011""",06,"ELA","Y",32,32,100.0,32,"*","*",8,25.0,10,31.3,"*","*","*","*",2508
"Avon School District","=""0040011""",06,"Math","N",244,243,99.6,243,"*","*",38,15.6,"*","*","*","*","*","*",2608
"Avon School District","=""0040011""",06,"Math","Y",32,32,100.0,32,"*","*",9,28.1,"*","*","*","*","*","*",2485
"Avon School District","=""0040011""",07,"ELA","N",241,241,100.0,241,"*","*","*","*",112,46.5,107,44.4,219,90.9,2635
"Avon School District","=""0040011""",07,"ELA","Y",31,31,100.0,31,"*","*",13,41.9,"*","*",0,0.0,"*","*",2515
"Avon School District","=""0040011""",07,"Math","N",241,241,100.0,241,"*","*",44,18.3,"*","*","*","*","*","*",2637
"Avon School District","=""0040011""",07,"Math","Y",31,31,100.0,31,"*","*",15,48.4,"*","*","*","*","*","*",2501
"Avon School District","=""0040011""",08,"ELA","N",254,251,98.8,251,"*","*",30,12.0,107,42.6,"*","*","*","*",2649
"Avon School District","=""0040011""",08,"ELA","Y",22,22,100.0,22,"*","*",13,59.1,6,27.3,"*","*","*","*",2553
"Avon School District","=""0040011""",08,"Math","N",254,254,100.0,254,13,5.1,33,13.0,"*","*","*","*","*","*",2652
"Avon School District","=""0040011""",08,"Math","Y",22,22,100.0,22,10,45.5,8,36.4,"*","*","*","*","*","*",2500
"Avon School District","=""0040011""",11,"ELA","N",221,209,94.6,208,19,9.1,"*","*","*","*","*","*","*","*",2654
"Avon School District","=""0040011""",11,"ELA","Y",25,23,92.0,22,10,45.5,"*","*","*","*","*","*","*","*",2514
"Avon School District","=""0040011""",11,"Math","N",221,208,94.1,208,"*","*",45,21.6,69,33.2,"*","*","*","*",2666
"Avon School District","=""0040011""",11,"Math","Y",25,23,92.0,23,12,52.2,"*","*",0,0.0,"*","*","*","*",2510
"Barkhamsted School District","=""0050011""",03,"ELA","N",40,38,95.0,38,"*","*","*","*","*","*","*","*","*","*",2464
"Barkhamsted School District","=""0050011""",03,"ELA","Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",03,"Math","N",40,38,95.0,38,"*","*","*","*","*","*","*","*","*","*",2423
"Barkhamsted School District","=""0050011""",03,"Math","Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",04,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",04,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",04,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",04,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",05,"ELA","N",39,38,97.4,38,"*","*","*","*","*","*","*","*","*","*",2560
"Barkhamsted School District","=""0050011""",05,"ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",05,"Math","N",39,38,97.4,38,"*","*","*","*","*","*","*","*","*","*",2518
"Barkhamsted School District","=""0050011""",05,"Math","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",06,"ELA","N",53,53,100.0,52,0,0.0,"*","*","*","*","*","*","*","*",2581
"Barkhamsted School District","=""0050011""",06,"ELA","Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",06,"Math","N",53,52,98.1,52,"*","*","*","*","*","*","*","*","*","*",2563
"Barkhamsted School District","=""0050011""",06,"Math","Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",03,"ELA","N",161,161,100.0,161,15,9.3,41,25.5,"*","*","*","*","*","*",2453
"Berlin School District","=""0070011""",03,"ELA","Y",27,27,100.0,27,17,63.0,6,22.2,"*","*","*","*","*","*",2351
"Berlin School District","=""0070011""",03,"Math","N",161,161,100.0,161,18,11.2,54,33.5,66,41.0,23,14.3,89,55.3,2440
"Berlin School District","=""0070011""",03,"Math","Y",27,27,100.0,27,13,48.1,6,22.2,8,29.6,0,0.0,8,29.6,2373
"Berlin School District","=""0070011""",04,"ELA","N",221,221,100.0,221,11,5.0,"*","*","*","*",83,37.6,"*","*",2513
"Berlin School District","=""0070011""",04,"ELA","Y",25,25,100.0,25,18,72.0,"*","*","*","*",0,0.0,"*","*",2376
"Berlin School District","=""0070011""",04,"Math","N",221,221,100.0,221,"*","*",59,26.7,95,43.0,"*","*","*","*",2515
"Berlin School District","=""0070011""",04,"Math","Y",25,25,100.0,25,13,52.0,"*","*",0,0.0,"*","*","*","*",2404
"Berlin School District","=""0070011""",05,"ELA","N",208,208,100.0,206,"*","*","*","*","*","*","*","*","*","*",2544
"Berlin School District","=""0070011""",05,"ELA","Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",05,"Math","N",208,208,100.0,206,"*","*","*","*","*","*","*","*","*","*",2515
"Berlin School District","=""0070011""",05,"Math","Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",06,"ELA","N",223,223,100.0,223,"*","*","*","*","*","*","*","*","*","*",2570
"Berlin School District","=""0070011""",06,"ELA","Y",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",06,"Math","N",223,223,100.0,223,"*","*","*","*","*","*","*","*","*","*",2542
"Berlin School District","=""0070011""",06,"Math","Y",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",07,"ELA","N",187,187,100.0,187,"*","*",40,21.4,"*","*",36,19.3,"*","*",2586
"Berlin School District","=""0070011""",07,"ELA","Y",28,28,100.0,28,"*","*",12,42.9,"*","*",0,0.0,"*","*",2478
"Berlin School District","=""0070011""",07,"Math","N",186,186,100.0,186,"*","*",66,35.5,"*","*",43,23.1,"*","*",2580
"Berlin School District","=""0070011""",07,"Math","Y",28,28,100.0,28,19,67.9,"*","*","*","*",0,0.0,"*","*",2437
"Berlin School District","=""0070011""",08,"ELA","N",224,224,100.0,224,12,5.4,57,25.4,106,47.3,49,21.9,155,69.2,2608
"Berlin School District","=""0070011""",08,"ELA","Y",20,20,100.0,20,12,60.0,8,40.0,0,0.0,0,0.0,0,0.0,2470
"Berlin School District","=""0070011""",08,"Math","N",224,224,100.0,224,37,16.5,"*","*","*","*",57,25.4,"*","*",2589
"Berlin School District","=""0070011""",08,"Math","Y",20,20,100.0,20,18,90.0,"*","*","*","*",0,0.0,"*","*",2421
"Berlin School District","=""0070011""",11,"ELA","N",224,219,97.8,192,"*","*","*","*","*","*","*","*","*","*",2553
"Berlin School District","=""0070011""",11,"ELA","Y",24,19,79.2,12,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",11,"Math","N",224,220,98.2,209,"*","*","*","*","*","*","*","*","*","*",2601
"Berlin School District","=""0070011""",11,"Math","Y",24,18,75.0,12,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",03,"ELA","N",41,41,100.0,41,"*","*","*","*","*","*","*","*","*","*",2460
"Bethany School District","=""0080011""",03,"ELA","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
