"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Ashford School District","=""0030011""",06,49,49,100.0,49,"*","*",19,38.8,16,32.7,"*","*","*","*",2551
"Ashford School District","=""0030011""",07,31,31,100.0,31,"*","*",11,35.5,11,35.5,"*","*","*","*",2564
"Ashford School District","=""0030011""",08,49,48,98.0,48,"*","*",15,31.3,20,41.7,"*","*","*","*",2573
"Avon School District","=""0040011""",03,219,215,98.2,215,"*","*","*","*",59,27.4,136,63.3,195,90.7,2512
"Avon School District","=""0040011""",04,271,268,98.9,268,23,8.6,39,14.6,56,20.9,150,56.0,206,76.9,2530
"Avon School District","=""0040011""",05,281,278,98.9,278,15,5.4,35,12.6,94,33.8,134,48.2,228,82.0,2568
"Avon School District","=""0040011""",06,276,274,99.3,273,14,5.1,27,9.9,111,40.7,121,44.3,232,85.0,2604
"Avon School District","=""0040011""",07,272,272,100.0,272,11,4.0,32,11.8,122,44.9,107,39.3,229,84.2,2622
"Avon School District","=""0040011""",08,276,273,98.9,273,"*","*","*","*",113,41.4,112,41.0,225,82.4,2641
"Avon School District","=""0040011""",11,246,232,94.3,230,29,12.6,28,12.2,69,30.0,104,45.2,173,75.2,2641
"Barkhamsted School District","=""0050011""",03,48,45,93.8,45,11,24.4,7,15.6,12,26.7,15,33.3,27,60.0,2442
"Barkhamsted School District","=""0050011""",04,48,46,95.8,46,7,15.2,7,15.2,9,19.6,23,50.0,32,69.6,2512
"Barkhamsted School District","=""0050011""",05,47,46,97.9,46,"*","*","*","*",17,37.0,16,34.8,33,71.7,2540
"Barkhamsted School District","=""0050011""",06,62,61,98.4,60,"*","*",13,21.7,32,53.3,"*","*","*","*",2564
"Berlin School District","=""0070011""",03,188,188,100.0,188,32,17.0,47,25.0,63,33.5,46,24.5,109,58.0,2438
"Berlin School District","=""0070011""",04,246,246,100.0,246,29,11.8,48,19.5,86,35.0,83,33.7,169,68.7,2499
"Berlin School District","=""0070011""",05,223,222,99.6,220,27,12.3,35,15.9,96,43.6,62,28.2,158,71.8,2534
"Berlin School District","=""0070011""",06,243,242,99.6,242,24,9.9,57,23.6,106,43.8,55,22.7,161,66.5,2560
"Berlin School District","=""0070011""",07,215,215,100.0,215,27,12.6,52,24.2,100,46.5,36,16.7,136,63.3,2572
"Berlin School District","=""0070011""",08,244,244,100.0,244,24,9.8,65,26.6,106,43.4,49,20.1,155,63.5,2597
"Berlin School District","=""0070011""",11,248,238,96.0,204,64,31.4,66,32.4,49,24.0,25,12.3,74,36.3,2547
"Bethany School District","=""0080011""",03,51,51,100.0,51,14,27.5,10,19.6,12,23.5,15,29.4,27,52.9,2437
"Bethany School District","=""0080011""",04,60,56,93.3,55,"*","*","*","*",14,25.5,27,49.1,41,74.5,2520
"Bethany School District","=""0080011""",05,63,62,98.4,62,7,11.3,10,16.1,28,45.2,17,27.4,45,72.6,2538
"Bethany School District","=""0080011""",06,66,65,98.5,65,"*","*","*","*",19,29.2,26,40.0,45,69.2,2583
"Bethel School District","=""0090011""",03,197,196,99.5,196,21,10.7,44,22.4,58,29.6,73,37.2,131,66.8,2461
"Bethel School District","=""0090011""",04,205,204,99.5,204,32,15.7,34,16.7,62,30.4,76,37.3,138,67.6,2501
"Bethel School District","=""0090011""",05,182,181,99.5,181,8,4.4,29,16.0,72,39.8,72,39.8,144,79.6,2560
"Bethel School District","=""0090011""",06,239,237,99.2,237,22,9.3,52,21.9,100,42.2,63,26.6,163,68.8,2566
"Bethel School District","=""0090011""",07,213,211,99.1,211,21,10.0,38,18.0,92,43.6,60,28.4,152,72.0,2598
"Bethel School District","=""0090011""",08,244,238,97.5,238,21,8.8,59,24.8,95,39.9,63,26.5,158,66.4,2607
"Bethel School District","=""0090011""",11,246,240,97.6,239,38,15.9,63,26.4,87,36.4,51,21.3,138,57.7,2598
"Bloomfield School District","=""0110011""",03,120,118,98.3,118,32,27.1,36,30.5,32,27.1,18,15.3,50,42.4,2415
"Bloomfield School District","=""0110011""",04,125,125,100.0,125,32,25.6,26,20.8,40,32.0,27,21.6,67,53.6,2471
"Bloomfield School District","=""0110011""",05,112,112,100.0,112,26,23.2,28,25.0,42,37.5,16,14.3,58,51.8,2499
"Bloomfield School District","=""0110011""",06,126,123,97.6,123,29,23.6,41,33.3,39,31.7,14,11.4,53,43.1,2518
"Bloomfield School District","=""0110011""",07,137,136,99.3,136,33,24.3,42,30.9,54,39.7,7,5.1,61,44.9,2534
"Bloomfield School District","=""0110011""",08,139,133,95.7,133,27,20.3,58,43.6,39,29.3,9,6.8,48,36.1,2545
"Bloomfield School District","=""0110011""",11,148,131,88.5,131,11,8.4,37,28.2,57,43.5,26,19.8,83,63.4,2609
"Bolton School District","=""0120011""",03,58,58,100.0,58,8,13.8,9,15.5,14,24.1,27,46.6,41,70.7,2470
"Bolton School District","=""0120011""",04,67,66,98.5,66,9,13.6,10,15.2,17,25.8,30,45.5,47,71.2,2512
"Bolton School District","=""0120011""",05,63,62,98.4,62,"*","*","*","*",20,32.3,31,50.0,51,82.3,2569
"Bolton School District","=""0120011""",06,65,65,100.0,65,7,10.8,9,13.8,33,50.8,16,24.6,49,75.4,2566
"Bolton School District","=""0120011""",07,51,51,100.0,50,7,14.0,10,20.0,25,50.0,8,16.0,33,66.0,2574
"Bolton School District","=""0120011""",08,58,57,98.3,57,"*","*",16,28.1,24,42.1,"*","*","*","*",2602
"Bolton School District","=""0120011""",11,87,84,96.6,84,"*","*","*","*",33,39.3,38,45.2,71,84.5,2656
"Bozrah School District","=""0130011""",03,22,22,100.0,22,7,31.8,"*","*",7,31.8,"*","*","*","*",2405
"Bozrah School District","=""0130011""",04,30,30,100.0,30,8,26.7,10,33.3,"*","*","*","*",12,40.0,2459
"Bozrah School District","=""0130011""",05,20,20,100.0,20,6,30.0,"*","*","*","*","*","*","*","*",2492
"Bozrah School District","=""0130011""",06,16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",07,21,21,100.0,21,"*","*",6,28.6,7,33.3,"*","*","*","*",2571
"Bozrah School District","=""0130011""",08,20,20,100.0,20,"*","*","*","*",10,50.0,7,35.0,17,85.0,2639
"Branford School District","=""0140011""",03,219,216,98.6,216,26,12.0,59,27.3,63,29.2,68,31.5,131,60.6,2452
"Branford School District","=""0140011""",04,231,231,100.0,231,29,12.6,46,19.9,60,26.0,96,41.6,156,67.5,2507
"Branford School District","=""0140011""",05,219,216,98.6,216,48,22.2,33,15.3,89,41.2,46,21.3,135,62.5,2515
"Branford School District","=""0140011""",06,214,212,99.1,212,22,10.4,54,25.5,85,40.1,51,24.1,136,64.2,2558
"Branford School District","=""0140011""",07,242,233,96.3,233,26,11.2,40,17.2,109,46.8,58,24.9,167,71.7,2590
"Branford School District","=""0140011""",08,231,224,97.0,224,42,18.8,61,27.2,91,40.6,30,13.4,121,54.0,2573
"Branford School District","=""0140011""",11,256,239,93.4,239,85,35.6,71,29.7,59,24.7,24,10.0,83,34.7,2535
"Bridgeport Achievement First District","=""2850013""",03,96,96,100.0,96,48,50.0,23,24.0,12,12.5,13,13.5,25,26.0,2386
"Bridgeport Achievement First District","=""2850013""",04,89,89,100.0,89,28,31.5,24,27.0,18,20.2,19,21.3,37,41.6,2459
"Bridgeport Achievement First District","=""2850013""",05,95,95,100.0,95,43,45.3,27,28.4,"*","*","*","*",25,26.3,2454
"Bridgeport Achievement First District","=""2850013""",06,89,89,100.0,89,25,28.1,29,32.6,25,28.1,10,11.2,35,39.3,2505
"Bridgeport Achievement First District","=""2850013""",07,93,93,100.0,93,35,37.6,27,29.0,23,24.7,8,8.6,31,33.3,2518
"Bridgeport Achievement First District","=""2850013""",08,73,73,100.0,73,11,15.1,26,35.6,20,27.4,16,21.9,36,49.3,2577
"Bridgeport Achievement First District","=""2850013""",11,29,29,100.0,29,"*","*",8,27.6,10,34.5,"*","*","*","*",2577
"Bridgeport School District","=""0150011""",03,1774,1732,97.6,1729,849,49.1,511,29.6,250,14.5,119,6.9,369,21.3,2373
"Bridgeport School District","=""0150011""",04,1684,1650,98.0,1649,989,60.0,340,20.6,215,13.0,105,6.4,320,19.4,2400
"Bridgeport School District","=""0150011""",05,1493,1446,96.9,1444,780,54.0,353,24.4,246,17.0,65,4.5,311,21.5,2436
"Bridgeport School District","=""0150011""",06,1392,1352,97.1,1349,589,43.7,406,30.1,299,22.2,55,4.1,354,26.2,2470
"Bridgeport School District","=""0150011""",07,1473,1422,96.5,1419,662,46.7,369,26.0,318,22.4,70,4.9,388,27.3,2492
"Bridgeport School District","=""0150011""",08,1459,1405,96.3,1403,573,40.8,453,32.3,333,23.7,44,3.1,377,26.9,2508
"Bridgeport School District","=""0150011""",11,1186,935,78.8,912,421,46.2,256,28.1,191,20.9,44,4.8,235,25.8,2509
"Bristol School District","=""0170011""",03,588,580,98.6,580,137,23.6,157,27.1,150,25.9,136,23.4,286,49.3,2430
"Bristol School District","=""0170011""",04,657,649,98.8,649,160,24.7,148,22.8,183,28.2,158,24.3,341,52.5,2471
"Bristol School District","=""0170011""",05,572,568,99.3,567,127,22.4,132,23.3,200,35.3,108,19.0,308,54.3,2507
"Bristol School District","=""0170011""",06,596,590,99.0,589,128,21.7,183,31.1,212,36.0,66,11.2,278,47.2,2520
"Bristol School District","=""0170011""",07,559,550,98.4,550,111,20.2,115,20.9,249,45.3,75,13.6,324,58.9,2558
"Bristol School District","=""0170011""",08,620,608,98.1,608,102,16.8,197,32.4,227,37.3,82,13.5,309,50.8,2568
"Bristol School District","=""0170011""",11,615,594,96.6,592,132,22.3,168,28.4,203,34.3,89,15.0,292,49.3,2571
"Brookfield School District","=""0180011""",03,221,215,97.3,215,20,9.3,34,15.8,64,29.8,97,45.1,161,74.9,2472
"Brookfield School District","=""0180011""",04,184,182,98.9,182,12,6.6,35,19.2,61,33.5,74,40.7,135,74.2,2516
"Brookfield School District","=""0180011""",05,222,207,93.2,207,25,12.1,35,16.9,68,32.9,79,38.2,147,71.0,2544
"Brookfield School District","=""0180011""",06,240,227,94.6,227,18,7.9,55,24.2,88,38.8,66,29.1,154,67.8,2568
"Brookfield School District","=""0180011""",07,199,195,98.0,193,10,5.2,29,15.0,97,50.3,57,29.5,154,79.8,2610
"Brookfield School District","=""0180011""",08,228,226,99.1,225,11,4.9,34,15.1,115,51.1,65,28.9,180,80.0,2625
"Brookfield School District","=""0180011""",11,216,186,86.1,181,67,37.0,40,22.1,47,26.0,27,14.9,74,40.9,2547
"Brooklyn School District","=""0190011""",03,"*","*","*","*","*","*",17,22.4,"*","*",26,34.2,"*","*","*"
"Brooklyn School District","=""0190011""",04,99,99,100.0,99,9,9.1,16,16.2,27,27.3,47,47.5,74,74.7,2520
"Brooklyn School District","=""0190011""",05,79,77,97.5,77,10,13.0,19,24.7,28,36.4,20,26.0,"*","*",2533
"Brooklyn School District","=""0190011""",06,81,81,100.0,81,"*","*","*","*",39,48.1,29,35.8,68,84.0,2591
"Brooklyn School District","=""0190011""",07,107,106,99.1,106,10,9.4,25,23.6,49,46.2,22,20.8,71,67.0,2582
"Brooklyn School District","=""0190011""",08,100,97,97.0,97,"*","*",31,32.0,38,39.2,"*","*","*","*",2578
"Brooklyn School District","=""0190011""",11,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",03,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",04,8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",05,11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",06,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",07,11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",08,12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",03,36,36,100.0,36,"*","*",13,36.1,"*","*",12,33.3,"*","*",2453
"Canterbury School District","=""0220011""",04,51,50,98.0,50,13,26.0,10,20.0,12,24.0,15,30.0,27,54.0,2474
"Canterbury School District","=""0220011""",05,38,37,97.4,37,"*","*",10,27.0,15,40.5,"*","*","*","*",2496
"Canterbury School District","=""0220011""",06,71,70,98.6,70,"*","*",29,41.4,20,28.6,"*","*","*","*",2516
"Canterbury School District","=""0220011""",07,56,56,100.0,56,7,12.5,10,17.9,32,57.1,7,12.5,39,69.6,2580
"Canterbury School District","=""0220011""",08,60,60,100.0,60,"*","*",22,36.7,26,43.3,"*","*","*","*",2585
"Canton School District","=""0230011""",03,117,116,99.1,116,"*","*","*","*",34,29.3,59,50.9,93,80.2,2489
"Canton School District","=""0230011""",04,134,134,100.0,134,21,15.7,23,17.2,30,22.4,60,44.8,90,67.2,2512
"Canton School District","=""0230011""",05,133,133,100.0,133,14,10.5,18,13.5,54,40.6,47,35.3,101,75.9,2550
"Canton School District","=""0230011""",06,147,146,99.3,146,11,7.5,25,17.1,66,45.2,44,30.1,110,75.3,2577
"Canton School District","=""0230011""",07,146,145,99.3,145,16,11.0,24,16.6,62,42.8,43,29.7,105,72.4,2601
"Canton School District","=""0230011""",08,127,126,99.2,126,9,7.1,26,20.6,50,39.7,41,32.5,91,72.2,2618
"Canton School District","=""0230011""",11,100,100,100.0,100,"*","*","*","*",40,40.0,45,45.0,85,85.0,2666
"Capitol Region Education Council","=""2410014""",03,375,366,97.6,366,93,25.4,80,21.9,90,24.6,103,28.1,193,52.7,2433
"Capitol Region Education Council","=""2410014""",04,323,321,99.4,321,110,34.3,68,21.2,72,22.4,71,22.1,143,44.5,2460
"Capitol Region Education Council","=""2410014""",05,261,258,98.9,258,42,16.3,63,24.4,91,35.3,62,24.0,153,59.3,2519
"Capitol Region Education Council","=""2410014""",06,734,726,98.9,725,202,27.9,191,26.3,232,32.0,100,13.8,332,45.8,2517
"Capitol Region Education Council","=""2410014""",07,663,657,99.1,655,164,25.0,151,23.1,230,35.1,110,16.8,340,51.9,2550
"Capitol Region Education Council","=""2410014""",08,687,658,95.8,655,135,20.6,185,28.2,243,37.1,92,14.0,335,51.1,2565
"Capitol Region Education Council","=""2410014""",11,456,362,79.4,356,114,32.0,92,25.8,83,23.3,67,18.8,150,42.1,2561
"Chaplin School District","=""0240011""",03,17,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""",04,22,17,77.3,17,"*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""",05,21,16,76.2,16,"*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""",06,15,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",03,291,285,97.9,285,28,9.8,42,14.7,84,29.5,131,46.0,215,75.4,2476
"Cheshire School District","=""0250011""",04,343,342,99.7,342,17,5.0,52,15.2,90,26.3,183,53.5,273,79.8,2539
"Cheshire School District","=""0250011""",05,385,381,99.0,381,30,7.9,53,13.9,125,32.8,173,45.4,298,78.2,2564
"Cheshire School District","=""0250011""",06,367,364,99.2,363,20,5.5,48,13.2,146,40.2,149,41.0,295,81.3,2596
"Cheshire School District","=""0250011""",07,355,353,99.4,353,19,5.4,46,13.0,166,47.0,122,34.6,288,81.6,2617
"Cheshire School District","=""0250011""",08,399,394,98.7,394,20,5.1,63,16.0,187,47.5,124,31.5,311,78.9,2626
"Cheshire School District","=""0250011""",11,383,368,96.1,368,38,10.3,62,16.8,136,37.0,132,35.9,268,72.8,2634
"Chester School District","=""0260011""",03,28,28,100.0,28,"*","*","*","*",8,28.6,13,46.4,21,75.0,2483
"Chester School District","=""0260011""",04,35,35,100.0,35,"*","*","*","*",8,22.9,20,57.1,28,80.0,2538
"Chester School District","=""0260011""",05,40,40,100.0,40,"*","*","*","*",17,42.5,19,47.5,36,90.0,2578
"Chester School District","=""0260011""",06,34,34,100.0,34,0,0.0,"*","*",16,47.1,"*","*","*","*",2603
"Clinton School District","=""0270011""",03,139,139,100.0,139,14,10.1,30,21.6,40,28.8,55,39.6,95,68.3,2463
"Clinton School District","=""0270011""",04,171,169,98.8,169,12,7.1,35,20.7,49,29.0,73,43.2,122,72.2,2518
"Clinton School District","=""0270011""",05,144,140,97.2,140,11,7.9,27,19.3,55,39.3,47,33.6,102,72.9,2546
"Clinton School District","=""0270011""",06,149,147,98.7,147,11,7.5,34,23.1,62,42.2,40,27.2,102,69.4,2569
"Clinton School District","=""0270011""",07,165,162,98.2,162,18,11.1,37,22.8,75,46.3,32,19.8,107,66.0,2577
"Clinton School District","=""0270011""",08,155,147,94.8,147,11,7.5,32,21.8,76,51.7,28,19.0,104,70.7,2606
"Clinton School District","=""0270011""",11,134,128,95.5,128,34,26.6,26,20.3,37,28.9,31,24.2,68,53.1,2579
"Colchester School District","=""0280011""",03,168,168,100.0,168,19,11.3,36,21.4,42,25.0,71,42.3,113,67.3,2464
"Colchester School District","=""0280011""",04,197,196,99.5,195,28,14.4,39,20.0,56,28.7,72,36.9,128,65.6,2503
"Colchester School District","=""0280011""",05,217,215,99.1,215,26,12.1,22,10.2,82,38.1,85,39.5,167,77.7,2550
"Colchester School District","=""0280011""",06,203,202,99.5,202,10,5.0,31,15.3,94,46.5,67,33.2,161,79.7,2583
"Colchester School District","=""0280011""",07,196,196,100.0,196,11,5.6,37,18.9,88,44.9,60,30.6,148,75.5,2608
"Colchester School District","=""0280011""",08,234,229,97.9,229,9,3.9,51,22.3,102,44.5,67,29.3,169,73.8,2622
"Colchester School District","=""0280011""",11,208,200,96.2,200,37,18.5,72,36.0,52,26.0,39,19.5,91,45.5,2579
"Colebrook School District","=""0290011""",03,12,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",04,12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",05,14,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",06,14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",03,"*","*","*","*",10,27.8,8,22.2,"*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",04,58,57,98.3,57,6,10.5,12,21.1,23,40.4,16,28.1,39,68.4,2495
"Columbia School District","=""0300011""",05,39,37,94.9,37,6,16.2,10,27.0,9,24.3,12,32.4,21,56.8,2527
"Columbia School District","=""0300011""",06,48,48,100.0,48,"*","*","*","*",23,47.9,13,27.1,36,75.0,2569
"Columbia School District","=""0300011""",07,57,57,100.0,57,"*","*","*","*",21,36.8,17,29.8,38,66.7,2589
"Columbia School District","=""0300011""",08,57,53,93.0,53,"*","*",14,26.4,23,43.4,"*","*","*","*",2601
"Columbia School District","=""0300011""",11,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""",11,32,32,100.0,32,9,28.1,8,25.0,9,28.1,6,18.8,15,46.9,2569
"Connecticut Technical High School System","=""9000016""",11,2523,2435,96.5,2434,472,19.4,829,34.1,886,36.4,247,10.1,1133,46.5,2569
"Cooperative Educational Services","=""2430014""",03,68,66,97.1,66,19,28.8,20,30.3,13,19.7,14,21.2,27,40.9,2409
"Cooperative Educational Services","=""2430014""",04,52,52,100.0,52,19,36.5,"*","*","*","*",14,26.9,"*","*",2445
"Cooperative Educational Services","=""2430014""",05,63,63,100.0,63,14,22.2,19,30.2,20,31.7,10,15.9,30,47.6,2498
"Cooperative Educational Services","=""2430014""",06,47,46,97.9,46,"*","*",13,28.3,19,41.3,"*","*","*","*",2520
"Cooperative Educational Services","=""2430014""",07,51,51,100.0,51,22,43.1,11,21.6,10,19.6,8,15.7,"*","*",2512
"Cooperative Educational Services","=""2430014""",08,59,59,100.0,59,"*","*",17,28.8,24,40.7,"*","*","*","*",2532
"Cooperative Educational Services","=""2430014""",11,19,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",03,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",04,11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",06,10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",07,19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",08,15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",03,119,119,100.0,119,13,10.9,23,19.3,43,36.1,40,33.6,83,69.7,2461
"Coventry School District","=""0320011""",04,121,121,100.0,121,19,15.7,23,19.0,40,33.1,39,32.2,79,65.3,2494
"Coventry School District","=""0320011""",05,125,123,98.4,123,16,13.0,21,17.1,48,39.0,38,30.9,86,69.9,2537
"Coventry School District","=""0320011""",06,131,127,96.9,127,6,4.7,27,21.3,61,48.0,33,26.0,94,74.0,2571
"Coventry School District","=""0320011""",07,136,135,99.3,135,10,7.4,25,18.5,73,54.1,27,20.0,100,74.1,2595
"Coventry School District","=""0320011""",08,120,116,96.7,116,10,8.6,24,20.7,53,45.7,29,25.0,82,70.7,2600
"Coventry School District","=""0320011""",11,130,108,83.1,107,28,26.2,29,27.1,31,29.0,19,17.8,50,46.7,2570
"Cromwell School District","=""0330011""",03,151,150,99.3,150,27,18.0,39,26.0,41,27.3,43,28.7,84,56.0,2439
"Cromwell School District","=""0330011""",04,172,172,100.0,172,37,21.5,41,23.8,51,29.7,43,25.0,94,54.7,2476
"Cromwell School District","=""0330011""",05,157,157,100.0,157,25,15.9,30,19.1,64,40.8,38,24.2,102,65.0,2525
"Cromwell School District","=""0330011""",06,149,149,100.0,149,10,6.7,23,15.4,68,45.6,48,32.2,116,77.9,2580
"Cromwell School District","=""0330011""",07,145,145,100.0,145,11,7.6,30,20.7,58,40.0,46,31.7,104,71.7,2599
"Cromwell School District","=""0330011""",08,157,157,100.0,157,13,8.3,34,21.7,74,47.1,36,22.9,110,70.1,2606
"Cromwell School District","=""0330011""",11,140,137,97.9,137,19,13.9,31,22.6,42,30.7,45,32.8,87,63.5,2615
"Danbury School District","=""0340011""",03,864,833,96.4,832,209,25.1,228,27.4,214,25.7,181,21.8,395,47.5,2425
"Danbury School District","=""0340011""",04,864,833,96.4,832,209,25.1,206,24.8,217,26.1,200,24.0,417,50.1,2472
"Danbury School District","=""0340011""",05,820,797,97.2,797,180,22.6,189,23.7,298,37.4,130,16.3,428,53.7,2504
"Danbury School District","=""0340011""",06,841,795,94.5,794,153,19.3,252,31.7,288,36.3,101,12.7,389,49.0,2527
"Danbury School District","=""0340011""",07,785,714,91.0,705,196,27.8,200,28.4,236,33.5,73,10.4,309,43.8,2534
