"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Bristol School District","=""0170011""",4207,4139,98.4,4135,897,21.7,1100,26.6,1424,34.4,714,17.3,2138,51.7
"Brookfield School District","=""0180011""",1510,1438,95.2,1430,163,11.4,262,18.3,540,37.8,465,32.5,1005,70.3
"Brooklyn School District","=""0190011""",545,536,98.3,536,55,10.3,119,22.2,204,38.1,158,29.5,362,67.5
"Canaan School District","=""0210011""",53,52,98.1,52,"*","*",14,26.9,22,42.3,"*","*","*","*"
"Canterbury School District","=""0220011""",312,309,99.0,309,52,16.8,94,30.4,113,36.6,50,16.2,163,52.8
"Canton School District","=""0230011""",904,900,99.6,900,79,8.8,146,16.2,336,37.3,339,37.7,675,75.0
"Capitol Region Education Council","=""2410014""",3499,3348,95.7,3336,860,25.8,830,24.9,1041,31.2,605,18.1,1646,49.3
"Chaplin School District","=""0240011""",75,58,77.3,58,18,31.0,9,15.5,12,20.7,19,32.8,31,53.4
"Cheshire School District","=""0250011""",2523,2487,98.6,2486,172,6.9,366,14.7,934,37.6,1014,40.8,1948,78.4
"Chester School District","=""0260011""",137,137,100.0,137,8,5.8,13,9.5,49,35.8,67,48.9,116,84.7
"Clinton School District","=""0270011""",1057,1032,97.6,1032,111,10.8,221,21.4,394,38.2,306,29.7,700,67.8
"Colchester School District","=""0280011""",1423,1406,98.8,1405,140,10.0,288,20.5,516,36.7,461,32.8,977,69.5
"Colebrook School District","=""0290011""",52,48,92.3,48,"*","*","*","*",15,31.3,23,47.9,38,79.2
"Columbia School District","=""0300011""",296,288,97.3,288,35,12.2,66,22.9,107,37.2,80,27.8,187,64.9
"Common Ground High School District","=""2680013""",32,32,100.0,32,9,28.1,8,25.0,9,28.1,6,18.8,15,46.9
"Connecticut Technical High School System","=""9000016""",2523,2435,96.5,2434,472,19.4,829,34.1,886,36.4,247,10.1,1133,46.5
"Cooperative Educational Services","=""2430014""",359,355,98.9,355,114,32.1,95,26.8,95,26.8,51,14.4,146,41.1
"Cornwall School District","=""0310011""",65,61,93.8,61,"*","*","*","*",26,42.6,15,24.6,41,67.2
"Coventry School District","=""0320011""",882,849,96.3,848,102,12.0,172,20.3,349,41.2,225,26.5,574,67.7
"Cromwell School District","=""0330011""",1071,1067,99.6,1067,142,13.3,228,21.4,398,37.3,299,28.0,697,65.3
"Danbury School District","=""0340011""",5607,4771,85.1,4748,1170,24.6,1314,27.7,1496,31.5,768,16.2,2264,47.7
"Darien School District","=""0350011""",2623,2550,97.2,2536,108,4.3,267,10.5,896,35.3,1265,49.9,2161,85.2
"Deep River School District","=""0360011""",199,199,100.0,198,25,12.6,40,20.2,61,30.8,72,36.4,133,67.2
"Derby School District","=""0370011""",778,768,98.7,764,228,29.8,215,28.1,226,29.6,95,12.4,321,42.0
"East Granby School District","=""0400011""",470,468,99.6,468,41,8.8,91,19.4,180,38.5,156,33.3,336,71.8
"East Haddam School District","=""0410011""",601,583,97.0,582,74,12.7,100,17.2,235,40.4,173,29.7,408,70.1
"East Hampton School District","=""0420011""",1020,990,97.1,990,132,13.3,225,22.7,367,37.1,266,26.9,633,63.9
"East Hartford School District","=""0430011""",3472,3389,97.6,3383,1317,38.9,947,28.0,858,25.4,261,7.7,1119,33.1
"East Haven School District","=""0440011""",1571,1545,98.3,1543,426,27.6,432,28.0,484,31.4,201,13.0,685,44.4
"East Lyme School District","=""0450011""",1467,1437,98.0,1437,126,8.8,205,14.3,534,37.2,572,39.8,1106,77.0
"East Windsor School District","=""0470011""",539,535,99.3,532,118,22.2,151,28.4,181,34.0,82,15.4,263,49.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",116,98,84.5,95,63,66.3,"*","*",14,14.7,"*","*","*","*"
"Eastford School District","=""0390011""",84,84,100.0,84,6,7.1,13,15.5,35,41.7,30,35.7,65,77.4
"Easton School District","=""0460011""",635,626,98.6,626,40,6.4,113,18.1,234,37.4,239,38.2,473,75.6
"Education Connection","=""2420014""",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",1456,1432,98.4,1415,148,10.5,229,16.2,509,36.0,529,37.4,1038,73.4
"Elm City College Preparatory School District","=""2890013""",356,356,100.0,356,66,18.5,93,26.1,135,37.9,62,17.4,197,55.3
"Enfield School District","=""0490011""",2585,2550,98.6,2545,436,17.1,712,28.0,961,37.8,436,17.1,1397,54.9
"Essex School District","=""0500011""",267,260,97.4,259,21,8.1,26,10.0,92,35.5,120,46.3,212,81.9
"Explorations District","=""2720013""",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""",5586,5472,98.0,5468,473,8.7,930,17.0,2115,38.7,1950,35.7,4065,74.3
"Farmington School District","=""0520011""",2170,2119,97.6,2116,165,7.8,298,14.1,766,36.2,887,41.9,1653,78.1
"Franklin School District","=""0530011""",111,109,98.2,109,16,14.7,19,17.4,45,41.3,29,26.6,74,67.9
"Glastonbury School District","=""0540011""",3440,3410,99.1,3407,226,6.6,535,15.7,1255,36.8,1391,40.8,2646,77.7
"Granby School District","=""0560011""",1086,1013,93.3,1012,76,7.5,177,17.5,429,42.4,330,32.6,759,75.0
"Great Oaks Charter School District","=""2940013""",116,114,98.3,114,70,61.4,31,27.2,13,11.4,0,0.0,13,11.4
"Greenwich School District","=""0570011""",4605,4534,98.5,4531,359,7.9,647,14.3,1519,33.5,2006,44.3,3525,77.8
"Griswold School District","=""0580011""",945,932,98.6,930,141,15.2,222,23.9,364,39.1,203,21.8,567,61.0
"Groton School District","=""0590011""",2221,2046,92.1,2045,468,22.9,498,24.4,682,33.3,397,19.4,1079,52.8
"Guilford School District","=""0600011""",1870,1860,99.5,1860,116,6.2,257,13.8,694,37.3,793,42.6,1487,79.9
"Hamden School District","=""0620011""",2842,2694,94.8,2692,591,22.0,660,24.5,827,30.7,614,22.8,1441,53.5
"Hampton School District","=""0630011""",47,44,93.6,44,10,22.7,6,13.6,15,34.1,13,29.5,28,63.6
"Hartford School District","=""0640011""",10579,9777,92.4,9716,4551,46.8,2568,26.4,1903,19.6,694,7.1,2597,26.7
"Hartland School District","=""0650011""",137,135,98.5,135,25,18.5,37,27.4,51,37.8,22,16.3,73,54.1
"Hebron School District","=""0670011""",493,492,99.8,491,73,14.9,101,20.6,189,38.5,128,26.1,317,64.6
"Highville Charter School District","=""2860013""",212,212,100.0,212,43,20.3,86,40.6,66,31.1,17,8.0,83,39.2
"Integrated Day Charter School District","=""2640013""",198,197,99.5,195,34,17.4,56,28.7,64,32.8,41,21.0,105,53.8
"Interdistrict School for Arts and Comm District","=""2650013""",253,251,99.2,251,78,31.1,82,32.7,77,30.7,14,5.6,91,36.3
"Jumoke Academy District","=""2610013""",427,425,99.5,425,124,29.2,141,33.2,111,26.1,49,11.5,160,37.6
"Kent School District","=""0680011""",164,162,98.8,162,8,4.9,17,10.5,71,43.8,66,40.7,137,84.6
"Killingly School District","=""0690011""",1217,1201,98.7,1199,240,20.0,318,26.5,464,38.7,177,14.8,641,53.5
"Learn","=""2450014""",582,567,97.4,564,97,17.2,147,26.1,187,33.2,133,23.6,320,56.7
"Lebanon School District","=""0710011""",577,559,96.9,559,82,14.7,130,23.3,214,38.3,133,23.8,347,62.1
"Ledyard School District","=""0720011""",1268,1238,97.6,1236,191,15.5,279,22.6,469,37.9,297,24.0,766,62.0
"Lisbon School District","=""0730011""",258,255,98.8,255,35,13.7,55,21.6,110,43.1,55,21.6,165,64.7
"Litchfield School District","=""0740011""",565,557,98.6,555,63,11.4,110,19.8,192,34.6,190,34.2,382,68.8
"Madison School District","=""0760011""",1715,1328,77.4,1323,106,8.0,227,17.2,521,39.4,469,35.4,990,74.8
"Manchester School District","=""0770011""",3043,2805,92.2,2798,978,35.0,733,26.2,741,26.5,346,12.4,1087,38.8
"Mansfield School District","=""0780011""",782,723,92.5,722,61,8.4,92,12.7,230,31.9,339,47.0,569,78.8
"Marlborough School District","=""0790011""",367,366,99.7,366,37,10.1,53,14.5,124,33.9,152,41.5,276,75.4
"Meriden School District","=""0800011""",3858,3720,96.4,3707,1293,34.9,987,26.6,979,26.4,448,12.1,1427,38.5
"Middletown School District","=""0830011""",2447,2415,98.7,2413,527,21.8,627,26.0,770,31.9,489,20.3,1259,52.2
"Milford School District","=""0840011""",3312,3222,97.3,3216,454,14.1,747,23.2,1206,37.5,809,25.2,2015,62.7
"Monroe School District","=""0850011""",1737,1715,98.7,1712,81,4.7,183,10.7,630,36.8,818,47.8,1448,84.6
"Montville School District","=""0860011""",1239,1223,98.7,1223,219,17.9,298,24.4,429,35.1,277,22.6,706,57.7
"Naugatuck School District","=""0880011""",2262,2220,98.1,2218,568,25.6,576,26.0,715,32.2,359,16.2,1074,48.4
"New Beginnings Inc., Family Academy District","=""2800013""",242,242,100.0,242,74,30.6,68,28.1,81,33.5,19,7.9,100,41.3
"New Britain School District","=""0890011""",4810,4679,97.3,4663,2456,52.7,1136,24.4,768,16.5,303,6.5,1071,23.0
"New Canaan School District","=""0900011""",2249,2196,97.6,2194,93,4.2,298,13.6,763,34.8,1040,47.4,1803,82.2
"New Fairfield School District","=""0910011""",1381,1201,87.0,1198,168,14.0,242,20.2,463,38.6,325,27.1,788,65.8
"New Hartford School District","=""0920011""",305,293,96.1,291,32,11.0,38,13.1,109,37.5,112,38.5,221,75.9
"New Haven School District","=""0930011""",10068,9418,93.5,9360,4039,43.2,2602,27.8,1998,21.3,721,7.7,2719,29.0
"New London School District","=""0950011""",1601,1551,96.9,1536,604,39.3,464,30.2,352,22.9,116,7.6,468,30.5
"New Milford School District","=""0960011""",2301,2118,92.0,2109,442,21.0,554,26.3,697,33.0,416,19.7,1113,52.8
"Newington School District","=""0940011""",2203,2161,98.1,2150,306,14.2,529,24.6,812,37.8,503,23.4,1315,61.2
"Newtown School District","=""0970011""",2597,2480,95.5,2476,172,6.9,451,18.2,1031,41.6,822,33.2,1853,74.8
"Norfolk School District","=""0980011""",63,63,100.0,63,13,20.6,13,20.6,18,28.6,19,30.2,37,58.7
"North Branford School District","=""0990011""",1077,1039,96.5,1039,221,21.3,272,26.2,313,30.1,233,22.4,546,52.6
"North Canaan School District","=""1000011""",161,154,95.7,154,32,20.8,37,24.0,57,37.0,28,18.2,85,55.2
"North Haven School District","=""1010011""",1744,1437,82.4,1417,288,20.3,367,25.9,450,31.8,312,22.0,762,53.8
"North Stonington School District","=""1020011""",381,374,98.2,374,38,10.2,81,21.7,138,36.9,117,31.3,255,68.2
"Norwalk School District","=""1030011""",5737,5556,96.8,5543,1388,25.0,1512,27.3,1682,30.3,961,17.3,2643,47.7
"Norwich Free Academy District","=""9010022""",547,494,90.3,479,139,29.0,128,26.7,127,26.5,85,17.7,212,44.3
"Norwich School District","=""1040011""",2254,2198,97.5,2191,915,41.8,628,28.7,482,22.0,166,7.6,648,29.6
"Odyssey Community School District","=""2630013""",214,210,98.1,210,30,14.3,58,27.6,84,40.0,38,18.1,122,58.1
"Old Saybrook School District","=""1060011""",752,730,97.1,724,54,7.5,156,21.5,303,41.9,211,29.1,514,71.0
"Orange School District","=""1070011""",710,695,97.9,692,42,6.1,99,14.3,234,33.8,317,45.8,551,79.6
"Oxford School District","=""1080011""",1126,1106,98.2,1106,92,8.3,225,20.3,439,39.7,350,31.6,789,71.3
"Park City Prep Charter School District","=""2830013""",346,341,98.6,341,137,40.2,108,31.7,88,25.8,8,2.3,96,28.2
"Path Academy District","=""2930013""",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""",1235,1169,94.7,1168,287,24.6,331,28.3,369,31.6,181,15.5,550,47.1
"Plainville School District","=""1100011""",1255,1244,99.1,1243,222,17.9,319,25.7,464,37.3,238,19.1,702,56.5
"Plymouth School District","=""1110011""",799,775,97.0,774,160,20.7,216,27.9,253,32.7,145,18.7,398,51.4
"Pomfret School District","=""1120011""",293,293,100.0,289,20,6.9,54,18.7,114,39.4,101,34.9,215,74.4
"Portland School District","=""1130011""",732,696,95.1,696,45,6.5,109,15.7,265,38.1,277,39.8,542,77.9
"Preston School District","=""1140011""",282,263,93.3,263,41,15.6,50,19.0,98,37.3,74,28.1,172,65.4
"Putnam School District","=""1160011""",630,616,97.8,608,163,26.8,177,29.1,173,28.5,95,15.6,268,44.1
"Redding School District","=""1170011""",696,643,92.4,636,52,8.2,94,14.8,234,36.8,256,40.3,490,77.0
"Regional School District 01","=""2010012""",112,96,85.7,96,15,15.6,27,28.1,34,35.4,20,20.8,54,56.3
"Regional School District 04","=""2040012""",481,471,97.9,469,26,5.5,89,19.0,230,49.0,124,26.4,354,75.5
"Regional School District 05","=""2050012""",1158,1096,94.6,1096,164,15.0,173,15.8,424,38.7,335,30.6,759,69.3
"Regional School District 06","=""2060012""",446,409,91.7,408,43,10.5,109,26.7,151,37.0,105,25.7,256,62.7
"Regional School District 07","=""2070012""",524,501,95.6,498,97,19.5,101,20.3,179,35.9,121,24.3,300,60.2
"Regional School District 08","=""2080012""",821,814,99.1,808,90,11.1,164,20.3,348,43.1,206,25.5,554,68.6
"Regional School District 09","=""2090012""",251,74,29.5,73,"*","*","*","*",25,34.2,37,50.7,62,84.9
"Regional School District 10","=""2100012""",1358,1337,98.5,1335,107,8.0,244,18.3,523,39.2,461,34.5,984,73.7
"Regional School District 11","=""2110012""",143,142,99.3,140,28,20.0,31,22.1,63,45.0,18,12.9,81,57.9
"Regional School District 12","=""2120012""",411,405,98.5,403,36,8.9,73,18.1,155,38.5,139,34.5,294,73.0
"Regional School District 13","=""2130012""",1007,994,98.7,994,110,11.1,241,24.2,384,38.6,259,26.1,643,64.7
"Regional School District 14","=""2140012""",899,878,97.7,878,128,14.6,196,22.3,334,38.0,220,25.1,554,63.1
"Regional School District 15","=""2150012""",2171,2129,98.1,2124,150,7.1,301,14.2,842,39.6,831,39.1,1673,78.8
"Regional School District 16","=""2160012""",1260,1219,96.7,1218,217,17.8,307,25.2,452,37.1,242,19.9,694,57.0
"Regional School District 17","=""2170012""",1248,1238,99.2,1238,105,8.5,234,18.9,479,38.7,420,33.9,899,72.6
"Regional School District 18","=""2180012""",754,736,97.6,734,41,5.6,123,16.8,273,37.2,297,40.5,570,77.7
"Regional School District 19","=""2190012""",277,53,19.1,53,13,24.5,15,28.3,17,32.1,8,15.1,25,47.2
"Ridgefield School District","=""1180011""",2837,2560,90.2,2558,124,4.8,336,13.1,866,33.9,1232,48.2,2098,82.0
"Rocky Hill School District","=""1190011""",1313,1208,92.0,1207,123,10.2,192,15.9,457,37.9,435,36.0,892,73.9
"Salem School District","=""1210011""",266,266,100.0,266,23,8.6,43,16.2,102,38.3,98,36.8,200,75.2
"Salisbury School District","=""1220011""",165,162,98.2,162,8,4.9,19,11.7,49,30.2,86,53.1,135,83.3
"Scotland School District","=""1230011""",68,68,100.0,68,8,11.8,16,23.5,22,32.4,22,32.4,44,64.7
"Seymour School District","=""1240011""",1261,1242,98.5,1242,247,19.9,297,23.9,440,35.4,258,20.8,698,56.2
"Sharon School District","=""1250011""",109,87,79.8,87,28,32.2,19,21.8,26,29.9,14,16.1,40,46.0
"Shelton School District","=""1260011""",2738,2702,98.7,2701,339,12.6,523,19.4,990,36.7,849,31.4,1839,68.1
"Sherman School District","=""1270011""",224,119,53.1,117,18,15.4,21,17.9,45,38.5,33,28.2,78,66.7
"Side By Side Charter School District","=""2700013""",129,129,100.0,129,12,9.3,36,27.9,53,41.1,28,21.7,81,62.8
"Simsbury School District","=""1280011""",2335,2301,98.5,2300,140,6.1,322,14.0,760,33.0,1078,46.9,1838,79.9
"Somers School District","=""1290011""",834,828,99.3,827,91,11.0,179,21.6,321,38.8,236,28.5,557,67.4
"South Windsor School District","=""1320011""",2208,2017,91.3,2016,215,10.7,369,18.3,699,34.7,733,36.4,1432,71.0
"Southington School District","=""1310011""",3544,3502,98.8,3496,437,12.5,731,20.9,1325,37.9,1003,28.7,2328,66.6
"Sprague School District","=""1330011""",230,227,98.7,227,42,18.5,64,28.2,87,38.3,34,15.0,121,53.3
"Stafford School District","=""1340011""",816,803,98.4,803,105,13.1,170,21.2,313,39.0,215,26.8,528,65.8
"Stamford Academy District","=""2820013""",34,19,55.9,18,"*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""",8056,7786,96.6,7774,1968,25.3,1988,25.6,2359,30.3,1459,18.8,3818,49.1
"Sterling School District","=""1360011""",315,312,99.0,311,74,23.8,95,30.5,97,31.2,45,14.5,142,45.7
"Stonington School District","=""1370011""",1194,1009,84.5,1005,135,13.4,206,20.5,319,31.7,345,34.3,664,66.1
"Stratford School District","=""1380011""",3774,3697,98.0,3692,794,21.5,984,26.7,1226,33.2,688,18.6,1914,51.8
"Suffield School District","=""1390011""",1273,1232,96.8,1228,125,10.2,232,18.9,478,38.9,393,32.0,871,70.9
"The Bridge Academy District","=""2690013""",136,135,99.3,135,"*","*",60,44.4,37,27.4,"*","*","*","*"
"The Gilbert School District","=""9020022""",284,230,81.0,230,79,34.3,78,33.9,66,28.7,7,3.0,73,31.7
"Thomaston School District","=""1400011""",508,502,98.8,501,87,17.4,131,26.1,198,39.5,85,17.0,283,56.5
"Thompson School District","=""1410011""",574,549,95.6,547,110,20.1,160,29.3,207,37.8,70,12.8,277,50.6
"Tolland School District","=""1420011""",1471,1423,96.7,1423,161,11.3,263,18.5,542,38.1,457,32.1,999,70.2
"Torrington School District","=""1430011""",2332,2165,92.8,2157,538,24.9,599,27.8,718,33.3,302,14.0,1020,47.3
"Trailblazers Academy District","=""2780013""",133,132,99.2,131,84,64.1,29,22.1,"*","*","*","*",18,13.7
"Trumbull School District","=""1440011""",3566,3166,88.8,3162,324,10.2,592,18.7,1128,35.7,1118,35.4,2246,71.0
"Unified School District #2","=""3470015""",71,57,80.3,49,39,79.6,7,14.3,"*","*","*","*","*","*"
"Union School District","=""1450011""",54,54,100.0,54,"*","*",15,27.8,24,44.4,"*","*","*","*"
"Vernon School District","=""1460011""",1601,1553,97.0,1551,441,28.4,423,27.3,447,28.8,240,15.5,687,44.3
"Voluntown School District","=""1470011""",195,194,99.5,194,26,13.4,36,18.6,76,39.2,56,28.9,132,68.0
"Wallingford School District","=""1480011""",3256,3184,97.8,3182,564,17.7,785,24.7,1170,36.8,663,20.8,1833,57.6
"Waterbury School District","=""1510011""",9485,9273,97.8,9250,4474,48.4,2383,25.8,1794,19.4,599,6.5,2393,25.9
"Waterford School District","=""1520011""",1406,1394,99.1,1392,170,12.2,303,21.8,554,39.8,365,26.2,919,66.0
"Watertown School District","=""1530011""",1531,1383,90.3,1382,217,15.7,332,24.0,531,38.4,302,21.9,833,60.3
"West Hartford School District","=""1550011""",5222,4973,95.2,4961,510,10.3,862,17.4,1766,35.6,1823,36.7,3589,72.3
"West Haven School District","=""1560011""",3074,3008,97.9,3007,848,28.2,824,27.4,923,30.7,412,13.7,1335,44.4
"Westbrook School District","=""1540011""",398,336,84.4,336,18,5.4,47,14.0,124,36.9,147,43.8,271,80.7
"Weston School District","=""1570011""",1349,1239,91.8,1235,78,6.3,190,15.4,496,40.2,471,38.1,967,78.3
"Westport School District","=""1580011""",3177,2780,87.5,2780,113,4.1,300,10.8,1007,36.2,1360,48.9,2367,85.1
"Wethersfield School District","=""1590011""",1932,1794,92.9,1788,329,18.4,443,24.8,615,34.4,401,22.4,1016,56.8
"Willington School District","=""1600011""",282,274,97.2,274,54,19.7,71,25.9,96,35.0,53,19.3,149,54.4
"Wilton School District","=""1610011""",2370,2320,97.9,2318,222,9.6,390,16.8,966,41.7,740,31.9,1706,73.6
"Winchester School District","=""1620011""",315,310,98.4,306,87,28.4,84,27.5,75,24.5,60,19.6,135,44.1
"Windham School District","=""1630011""",1580,1538,97.3,1532,684,44.6,426,27.8,316,20.6,106,6.9,422,27.5
"Windsor Locks School District","=""1650011""",878,862,98.2,861,243,28.2,235,27.3,272,31.6,111,12.9,383,44.5
"Windsor School District","=""1640011""",1606,1430,89.0,1428,409,28.6,366,25.6,423,29.6,230,16.1,653,45.7
"Wolcott School District","=""1660011""",1336,1330,99.6,1330,194,14.6,324,24.4,503,37.8,309,23.2,812,61.1
"Woodbridge School District","=""1670011""",446,421,94.4,420,38,9.0,76,18.1,130,31.0,176,41.9,306,72.9
"Woodstock Academy District","=""9030022""",242,54,22.3,53,"*","*","*","*",17,32.1,24,45.3,41,77.4
"Woodstock School District","=""1690011""",597,583,97.7,581,70,12.0,101,17.4,219,37.7,191,32.9,410,70.6

