"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Bridgeport School District","=""0150011""","Math","N",9052,8717,96.3,8712,5650,64.9,2184,25.1,"*","*","*","*",878,10.1
"Bridgeport School District","=""0150011""","Math","Y",1410,1392,98.7,1390,1210,87.1,161,11.6,"*","*","*","*",19,1.4
"Bristol School District","=""0170011""","ELA","N",4072,4022,98.8,4020,820,20.4,1066,26.5,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","ELA","Y",135,117,86.7,115,77,67.0,"*","*","*","*",0,0.0,"*","*"
"Bristol School District","=""0170011""","Math","N",4075,4027,98.8,4026,1384,34.4,1295,32.2,923,22.9,424,10.5,1347,33.5
"Bristol School District","=""0170011""","Math","Y",135,134,99.3,134,99,73.9,25,18.7,10,7.5,0,0.0,10,7.5
"Brookfield School District","=""0180011""","ELA","N",1487,1418,95.4,1411,"*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","ELA","Y",23,20,87.0,19,"*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Math","N",1487,1434,96.4,1432,"*","*",392,27.4,452,31.6,"*","*","*","*"
"Brookfield School District","=""0180011""","Math","Y",23,22,95.7,22,7,31.8,7,31.8,"*","*","*","*",8,36.4
"Brooklyn School District","=""0190011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","ELA","N",312,309,99.0,309,52,16.8,94,30.4,113,36.6,50,16.2,163,52.8
"Canterbury School District","=""0220011""","Math","N",312,309,99.0,309,87,28.2,104,33.7,82,26.5,36,11.7,118,38.2
"Canton School District","=""0230011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","ELA","N",3384,3236,95.6,3224,"*","*",797,24.7,1030,31.9,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","ELA","Y",115,112,97.4,112,67,59.8,33,29.5,"*","*","*","*",12,10.7
"Capitol Region Education Council","=""2410014""","Math","N",3386,3241,95.7,3229,1252,38.8,952,29.5,"*","*","*","*",1025,31.7
"Capitol Region Education Council","=""2410014""","Math","Y",115,113,98.3,112,82,73.2,22,19.6,"*","*","*","*",8,7.1
"Chaplin School District","=""0240011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","ELA","N",2503,2469,98.6,2468,"*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","ELA","Y",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Math","N",2503,2466,98.5,2466,370,15.0,646,26.2,"*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Math","Y",20,20,100.0,20,9,45.0,6,30.0,"*","*","*","*","*","*"
"Chester School District","=""0260011""","ELA","N",137,137,100.0,137,8,5.8,13,9.5,49,35.8,67,48.9,116,84.7
"Chester School District","=""0260011""","Math","N",138,138,100.0,138,8,5.8,38,27.5,52,37.7,40,29.0,92,66.7
"Clinton School District","=""0270011""","ELA","N",1030,1008,97.9,1008,"*","*",214,21.2,"*","*",306,30.4,"*","*"
"Clinton School District","=""0270011""","ELA","Y",27,24,88.9,24,16,66.7,"*","*","*","*",0,0.0,"*","*"
"Clinton School District","=""0270011""","Math","N",1029,1008,98.0,1007,192,19.1,"*","*","*","*",223,22.1,"*","*"
"Clinton School District","=""0270011""","Math","Y",27,27,100.0,27,21,77.8,"*","*","*","*",0,0.0,"*","*"
"Colchester School District","=""0280011""","ELA","N",1409,1392,98.8,1392,"*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","ELA","Y",14,14,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Math","N",1408,1386,98.4,1385,"*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Math","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","ELA","N",52,48,92.3,48,"*","*","*","*",15,31.3,23,47.9,38,79.2
"Colebrook School District","=""0290011""","Math","N",52,48,92.3,48,6,12.5,15,31.3,10,20.8,17,35.4,27,56.3
"Columbia School District","=""0300011""","ELA","N",296,288,97.3,288,35,12.2,66,22.9,107,37.2,80,27.8,187,64.9
"Columbia School District","=""0300011""","Math","N",296,287,97.0,286,61,21.3,89,31.1,89,31.1,47,16.4,136,47.6
"Common Ground High School District","=""2680013""","ELA","N",32,32,100.0,32,9,28.1,8,25.0,9,28.1,6,18.8,15,46.9
"Common Ground High School District","=""2680013""","Math","N",32,32,100.0,32,14,43.8,8,25.0,"*","*","*","*",10,31.3
"Connecticut Technical High School System","=""9000016""","ELA","N",2430,2343,96.4,2342,432,18.4,787,33.6,876,37.4,247,10.5,1123,48.0
"Connecticut Technical High School System","=""9000016""","ELA","Y",93,92,98.9,92,40,43.5,42,45.7,10,10.9,0,0.0,10,10.9
"Connecticut Technical High School System","=""9000016""","Math","N",2429,2336,96.2,2336,1424,61.0,691,29.6,"*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Math","Y",93,92,98.9,92,83,90.2,"*","*","*","*",0,0.0,"*","*"
"Cooperative Educational Services","=""2430014""","ELA","N",359,355,98.9,355,114,32.1,95,26.8,95,26.8,51,14.4,146,41.1
"Cooperative Educational Services","=""2430014""","Math","N",358,355,99.2,355,141,39.7,111,31.3,73,20.6,30,8.5,103,29.0
"Cornwall School District","=""0310011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","N",882,849,96.3,848,102,12.0,172,20.3,349,41.2,225,26.5,574,67.7
"Coventry School District","=""0320011""","Math","N",882,837,94.9,837,181,21.6,281,33.6,240,28.7,135,16.1,375,44.8
"Cromwell School District","=""0330011""","ELA","N",1048,1044,99.6,1044,132,12.6,"*","*",392,37.5,"*","*","*","*"
"Cromwell School District","=""0330011""","ELA","Y",23,23,100.0,23,10,43.5,"*","*",6,26.1,"*","*","*","*"
"Cromwell School District","=""0330011""","Math","N",1047,1043,99.6,1043,270,25.9,312,29.9,"*","*","*","*","*","*"
"Cromwell School District","=""0330011""","Math","Y",23,23,100.0,23,12,52.2,6,26.1,"*","*","*","*","*","*"
"Danbury School District","=""0340011""","ELA","N",4531,3912,86.3,3894,"*","*",1026,26.3,1401,36.0,"*","*","*","*"
"Danbury School District","=""0340011""","ELA","Y",1076,859,79.8,854,466,54.6,288,33.7,"*","*","*","*",100,11.7
"Danbury School District","=""0340011""","Math","N",4531,3872,85.5,3866,1154,29.8,1350,34.9,938,24.3,424,11.0,1362,35.2
"Danbury School District","=""0340011""","Math","Y",1076,976,90.7,973,660,67.8,266,27.3,41,4.2,6,0.6,47,4.8
"Darien School District","=""0350011""","ELA","N",2611,2538,97.2,2524,"*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","ELA","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Math","N",2611,2516,96.4,2501,"*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Math","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","ELA","N",745,738,99.1,735,208,28.3,207,28.2,"*","*","*","*","*","*"
"Derby School District","=""0370011""","ELA","Y",33,30,90.9,29,20,69.0,"*","*","*","*",0,0.0,"*","*"
"Derby School District","=""0370011""","Math","N",745,731,98.1,730,310,42.5,243,33.3,"*","*","*","*","*","*"
"Derby School District","=""0370011""","Math","Y",33,33,100.0,33,24,72.7,"*","*","*","*",0,0.0,"*","*"
"East Granby School District","=""0400011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","ELA","N",601,583,97.0,582,74,12.7,100,17.2,235,40.4,173,29.7,408,70.1
"East Haddam School District","=""0410011""","Math","N",601,582,96.8,582,125,21.5,174,29.9,164,28.2,119,20.4,283,48.6
"East Hampton School District","=""0420011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","ELA","N",3125,3069,98.2,3064,1105,36.1,857,28.0,"*","*","*","*",1102,36.0
"East Hartford School District","=""0430011""","ELA","Y",347,320,92.2,319,212,66.5,90,28.2,"*","*","*","*",17,5.3
"East Hartford School District","=""0430011""","Math","N",3106,3055,98.4,3053,1582,51.8,918,30.1,"*","*","*","*",553,18.1
"East Hartford School District","=""0430011""","Math","Y",345,336,97.4,334,264,79.0,57,17.1,"*","*","*","*",13,3.9
"East Haven School District","=""0440011""","ELA","N",1444,1427,98.8,1425,"*","*",397,27.9,472,33.1,"*","*","*","*"
"East Haven School District","=""0440011""","ELA","Y",127,118,92.9,118,69,58.5,35,29.7,"*","*","*","*",14,11.9
"East Haven School District","=""0440011""","Math","N",1444,1423,98.5,1422,595,41.8,476,33.5,"*","*","*","*",351,24.7
"East Haven School District","=""0440011""","Math","Y",127,127,100.0,127,91,71.7,26,20.5,"*","*","*","*",10,7.9
"East Lyme School District","=""0450011""","ELA","N",1443,1413,97.9,1413,"*","*",196,13.9,526,37.2,"*","*","*","*"
"East Lyme School District","=""0450011""","ELA","Y",24,24,100.0,24,"*","*",9,37.5,8,33.3,"*","*","*","*"
"East Lyme School District","=""0450011""","Math","N",1443,1410,97.7,1410,"*","*",346,24.5,418,29.6,"*","*","*","*"
"East Lyme School District","=""0450011""","Math","Y",24,24,100.0,24,"*","*",7,29.2,9,37.5,"*","*","*","*"
"East Windsor School District","=""0470011""","ELA","N",528,524,99.2,521,"*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","ELA","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","Math","N",528,526,99.6,524,"*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","Math","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","ELA","N",84,84,100.0,84,6,7.1,13,15.5,35,41.7,30,35.7,65,77.4
"Eastford School District","=""0390011""","Math","N",84,84,100.0,84,12,14.3,25,29.8,26,31.0,21,25.0,47,56.0
"Easton School District","=""0460011""","ELA","N",629,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","ELA","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Math","N",629,622,98.9,621,"*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Math","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","ELA","N",13,8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Math","N",13,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","N",1440,1418,98.5,1401,"*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","Y",16,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Math","N",1439,1419,98.6,1399,"*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Math","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","ELA","N",340,340,100.0,340,"*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","ELA","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","N",340,340,100.0,340,"*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","ELA","N",2546,2512,98.7,2507,412,16.4,704,28.1,955,38.1,436,17.4,1391,55.5
"Enfield School District","=""0490011""","ELA","Y",39,38,97.4,38,24,63.2,8,21.1,6,15.8,0,0.0,6,15.8
"Enfield School District","=""0490011""","Math","N",2545,2503,98.3,2498,687,27.5,931,37.3,"*","*","*","*","*","*"
"Enfield School District","=""0490011""","Math","Y",39,39,100.0,39,19,48.7,"*","*","*","*",0,0.0,"*","*"
"Essex School District","=""0500011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","ELA","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","ELA","N",5469,5359,98.0,5355,"*","*",893,16.7,2100,39.2,"*","*","*","*"
"Fairfield School District","=""0510011""","ELA","Y",117,113,96.6,113,56,49.6,37,32.7,"*","*","*","*",20,17.7
"Fairfield School District","=""0510011""","Math","N",5467,5290,96.8,5288,"*","*",1397,26.4,1751,33.1,"*","*","*","*"
"Fairfield School District","=""0510011""","Math","Y",117,112,95.7,112,65,58.0,28,25.0,"*","*","*","*",19,17.0
"Farmington School District","=""0520011""","ELA","N",2136,2092,97.9,2089,154,7.4,292,14.0,"*","*","*","*",1643,78.7
"Farmington School District","=""0520011""","ELA","Y",34,27,79.4,27,11,40.7,6,22.2,"*","*","*","*",10,37.0
"Farmington School District","=""0520011""","Math","N",2139,2070,96.8,2066,"*","*",477,23.1,"*","*",739,35.8,"*","*"
"Farmington School District","=""0520011""","Math","Y",34,34,100.0,34,"*","*",10,29.4,"*","*",10,29.4,"*","*"
"Franklin School District","=""0530011""","ELA","N",111,109,98.2,109,16,14.7,19,17.4,45,41.3,29,26.6,74,67.9
"Franklin School District","=""0530011""","Math","N",111,108,97.3,108,26,24.1,34,31.5,32,29.6,16,14.8,48,44.4
"Glastonbury School District","=""0540011""","ELA","N",3404,3375,99.1,3372,"*","*",525,15.6,1247,37.0,"*","*","*","*"
"Glastonbury School District","=""0540011""","ELA","Y",36,35,97.2,35,15,42.9,10,28.6,"*","*","*","*",10,28.6
"Glastonbury School District","=""0540011""","Math","N",3405,3370,99.0,3370,"*","*",724,21.5,1000,29.7,"*","*","*","*"
"Glastonbury School District","=""0540011""","Math","Y",37,37,100.0,37,13,35.1,11,29.7,"*","*","*","*",13,35.1
"Granby School District","=""0560011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Great Oaks Charter School District","=""2940013""","ELA","N",101,99,98.0,99,"*","*","*","*","*","*",0,0.0,"*","*"
"Great Oaks Charter School District","=""2940013""","ELA","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Great Oaks Charter School District","=""2940013""","Math","N",101,99,98.0,99,"*","*","*","*","*","*",0,0.0,"*","*"
"Great Oaks Charter School District","=""2940013""","Math","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","ELA","N",4329,4302,99.4,4301,291,6.8,568,13.2,1458,33.9,1984,46.1,3442,80.0
"Greenwich School District","=""0570011""","ELA","Y",276,232,84.1,230,68,29.6,79,34.3,61,26.5,22,9.6,83,36.1
"Greenwich School District","=""0570011""","Math","N",4328,4306,99.5,4306,568,13.2,915,21.2,1197,27.8,1626,37.8,2823,65.6
"Greenwich School District","=""0570011""","Math","Y",276,275,99.6,273,101,37.0,75,27.5,45,16.5,52,19.0,97,35.5
"Griswold School District","=""0580011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","ELA","N",2149,1989,92.6,1988,427,21.5,487,24.5,"*","*","*","*","*","*"
"Groton School District","=""0590011""","ELA","Y",72,57,79.2,57,41,71.9,"*","*","*","*",0,0.0,"*","*"
"Groton School District","=""0590011""","Math","N",2154,1989,92.3,1988,544,27.4,653,32.8,"*","*","*","*","*","*"
