"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Avon School District","=""0040011""",08,273,271,99.3,271,25,9.2,37,13.7,59,21.8,150,55.4,209,77.1,2654
"Barkhamsted School District","=""0050011""",03,36,35,97.2,35,"*","*",12,34.3,12,34.3,"*","*","*","*",2419
"Barkhamsted School District","=""0050011""",04,48,45,93.8,45,13,28.9,16,35.6,"*","*","*","*",16,35.6,2454
"Barkhamsted School District","=""0050011""",05,47,45,95.7,45,15,33.3,17,37.8,"*","*","*","*",13,28.9,2484
"Barkhamsted School District","=""0050011""",06,45,44,97.8,44,7,15.9,19,43.2,9,20.5,9,20.5,18,40.9,2546
"Berlin School District","=""0070011""",03,201,199,99.0,199,24,12.1,38,19.1,79,39.7,58,29.1,137,68.8,2465
"Berlin School District","=""0070011""",04,189,186,98.4,185,22,11.9,46,24.9,67,36.2,50,27.0,117,63.2,2502
"Berlin School District","=""0070011""",05,252,250,99.2,250,30,12.0,88,35.2,65,26.0,67,26.8,132,52.8,2530
"Berlin School District","=""0070011""",06,215,214,99.5,214,44,20.6,77,36.0,57,26.6,36,16.8,93,43.5,2534
"Berlin School District","=""0070011""",07,247,246,99.6,246,42,17.1,79,32.1,69,28.0,56,22.8,125,50.8,2563
"Berlin School District","=""0070011""",08,215,215,100.0,214,63,29.4,57,26.6,40,18.7,54,25.2,94,43.9,2575
"Bethany School District","=""0080011""",03,58,55,94.8,55,"*","*","*","*",24,43.6,15,27.3,39,70.9,2471
"Bethany School District","=""0080011""",04,52,51,98.1,51,"*","*",18,35.3,20,39.2,"*","*","*","*",2506
"Bethany School District","=""0080011""",05,59,56,94.9,56,"*","*","*","*",11,19.6,34,60.7,45,80.4,2584
"Bethany School District","=""0080011""",06,63,62,98.4,62,13,21.0,22,35.5,12,19.4,15,24.2,27,43.5,2543
"Bethel School District","=""0090011""",03,253,251,99.2,251,22,8.8,55,21.9,92,36.7,82,32.7,174,69.3,2470
"Bethel School District","=""0090011""",04,210,208,99.0,208,11,5.3,81,38.9,71,34.1,45,21.6,116,55.8,2499
"Bethel School District","=""0090011""",05,213,211,99.1,211,32,15.2,66,31.3,48,22.7,65,30.8,113,53.6,2534
"Bethel School District","=""0090011""",06,189,188,99.5,188,23,12.2,63,33.5,53,28.2,49,26.1,102,54.3,2556
"Bethel School District","=""0090011""",07,248,247,99.6,247,58,23.5,73,29.6,63,25.5,53,21.5,116,47.0,2560
"Bethel School District","=""0090011""",08,216,213,98.6,213,39,18.3,64,30.0,64,30.0,46,21.6,110,51.6,2586
"Bloomfield School District","=""0110011""",03,145,145,100.0,145,46,31.7,51,35.2,35,24.1,13,9.0,48,33.1,2413
"Bloomfield School District","=""0110011""",04,112,111,99.1,111,41,36.9,46,41.4,18,16.2,6,5.4,24,21.6,2436
"Bloomfield School District","=""0110011""",05,125,125,100.0,125,52,41.6,46,36.8,"*","*","*","*",27,21.6,2466
"Bloomfield School District","=""0110011""",06,120,120,100.0,120,36,30.0,42,35.0,24,20.0,18,15.0,42,35.0,2511
"Bloomfield School District","=""0110011""",07,136,133,97.8,133,53,39.8,43,32.3,30,22.6,7,5.3,37,27.8,2507
"Bloomfield School District","=""0110011""",08,129,129,100.0,129,61,47.3,50,38.8,"*","*","*","*",18,14.0,2512
"Bolton School District","=""0120011""",03,55,51,92.7,51,"*","*","*","*",20,39.2,21,41.2,41,80.4,2488
"Bolton School District","=""0120011""",04,54,54,100.0,54,"*","*","*","*",18,33.3,25,46.3,43,79.6,2535
"Bolton School District","=""0120011""",05,69,67,97.1,67,10,14.9,22,32.8,13,19.4,22,32.8,35,52.2,2525
"Bolton School District","=""0120011""",06,63,62,98.4,62,"*","*","*","*",20,32.3,23,37.1,43,69.4,2586
"Bolton School District","=""0120011""",07,65,63,96.9,63,8,12.7,14,22.2,25,39.7,16,25.4,41,65.1,2581
"Bolton School District","=""0120011""",08,50,50,100.0,49,11,22.4,15,30.6,13,26.5,10,20.4,23,46.9,2582
"Bozrah School District","=""0130011""",03,24,23,95.8,23,"*","*",10,43.5,8,34.8,"*","*","*","*",2431
"Bozrah School District","=""0130011""",04,21,21,100.0,21,"*","*",11,52.4,"*","*",0,0.0,"*","*",2460
"Bozrah School District","=""0130011""",05,29,29,100.0,29,8,27.6,12,41.4,"*","*","*","*",9,31.0,2487
"Bozrah School District","=""0130011""",06,21,21,100.0,21,7,33.3,9,42.9,"*","*","*","*","*","*",2493
"Bozrah School District","=""0130011""",07,17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",08,22,22,100.0,21,"*","*","*","*",6,28.6,6,28.6,12,57.1,2596
"Branford School District","=""0140011""",03,238,237,99.6,236,36,15.3,50,21.2,74,31.4,76,32.2,150,63.6,2461
"Branford School District","=""0140011""",04,219,219,100.0,216,25,11.6,47,21.8,84,38.9,60,27.8,144,66.7,2507
"Branford School District","=""0140011""",05,224,222,99.1,222,39,17.6,56,25.2,60,27.0,67,30.2,127,57.2,2532
"Branford School District","=""0140011""",06,219,216,98.6,215,56,26.0,72,33.5,52,24.2,35,16.3,87,40.5,2528
"Branford School District","=""0140011""",07,214,211,98.6,211,39,18.5,64,30.3,58,27.5,50,23.7,108,51.2,2564
"Branford School District","=""0140011""",08,239,232,97.1,232,80,34.5,59,25.4,39,16.8,54,23.3,93,40.1,2553
"Brass City Charter School District","=""2900013""",03,39,39,100.0,39,"*","*","*","*",15,38.5,17,43.6,32,82.1,2498
"Bridgeport Achievement First District","=""2850013""",03,87,87,100.0,87,8,9.2,9,10.3,28,32.2,42,48.3,70,80.5,2492
"Bridgeport Achievement First District","=""2850013""",04,92,91,98.9,91,19,20.9,18,19.8,25,27.5,29,31.9,54,59.3,2495
"Bridgeport Achievement First District","=""2850013""",05,89,89,100.0,89,37,41.6,30,33.7,10,11.2,12,13.5,22,24.7,2471
"Bridgeport Achievement First District","=""2850013""",06,93,93,100.0,93,46,49.5,30,32.3,"*","*","*","*",17,18.3,2473
"Bridgeport Achievement First District","=""2850013""",07,90,90,100.0,90,31,34.4,34,37.8,"*","*","*","*",25,27.8,2515
"Bridgeport Achievement First District","=""2850013""",08,90,90,100.0,90,26,28.9,25,27.8,13,14.4,26,28.9,39,43.3,2575
"Bridgeport School District","=""0150011""",03,1809,1802,99.6,1801,1133,62.9,416,23.1,207,11.5,45,2.5,252,14.0,2360
"Bridgeport School District","=""0150011""",04,1753,1749,99.8,1749,1058,60.5,517,29.6,146,8.3,28,1.6,174,9.9,2397
"Bridgeport School District","=""0150011""",05,1585,1577,99.5,1576,1203,76.3,297,18.8,53,3.4,23,1.5,76,4.8,2410
"Bridgeport School District","=""0150011""",06,1383,1370,99.1,1369,932,68.1,339,24.8,79,5.8,19,1.4,98,7.2,2425
"Bridgeport School District","=""0150011""",07,1383,1369,99.0,1369,844,61.7,356,26.0,135,9.9,34,2.5,169,12.3,2450
"Bridgeport School District","=""0150011""",08,1456,1435,98.6,1435,996,69.4,292,20.3,106,7.4,41,2.9,147,10.2,2457
"Bristol School District","=""0170011""",03,594,593,99.8,593,172,29.0,154,26.0,168,28.3,99,16.7,267,45.0,2424
"Bristol School District","=""0170011""",04,575,572,99.5,572,125,21.9,209,36.5,161,28.1,77,13.5,238,41.6,2470
"Bristol School District","=""0170011""",05,648,642,99.1,642,196,30.5,202,31.5,135,21.0,109,17.0,244,38.0,2496
"Bristol School District","=""0170011""",06,564,563,99.8,563,171,30.4,194,34.5,121,21.5,77,13.7,198,35.2,2510
"Bristol School District","=""0170011""",07,605,602,99.5,602,186,30.9,206,34.2,135,22.4,75,12.5,210,34.9,2528
"Bristol School District","=""0170011""",08,565,561,99.3,561,167,29.8,191,34.0,126,22.5,77,13.7,203,36.2,2548
"Brookfield School District","=""0180011""",03,185,177,95.7,177,18,10.2,37,20.9,70,39.5,52,29.4,122,68.9,2463
"Brookfield School District","=""0180011""",04,226,215,95.1,215,15,7.0,64,29.8,83,38.6,53,24.7,136,63.3,2504
"Brookfield School District","=""0180011""",05,190,182,95.8,182,28,15.4,59,32.4,55,30.2,40,22.0,95,52.2,2525
"Brookfield School District","=""0180011""",06,225,195,86.7,195,33,16.9,60,30.8,59,30.3,43,22.1,102,52.3,2549
"Brookfield School District","=""0180011""",07,240,226,94.2,226,23,10.2,62,27.4,67,29.6,74,32.7,141,62.4,2589
"Brookfield School District","=""0180011""",08,201,195,97.0,195,18,9.2,37,19.0,71,36.4,69,35.4,140,71.8,2626
"Brooklyn School District","=""0190011""",03,69,68,98.6,68,12,17.6,26,38.2,18,26.5,12,17.6,30,44.1,2435
"Brooklyn School District","=""0190011""",04,78,78,100.0,78,8,10.3,29,37.2,27,34.6,14,17.9,41,52.6,2491
"Brooklyn School District","=""0190011""",05,104,104,100.0,104,27,26.0,42,40.4,20,19.2,15,14.4,35,33.7,2500
"Brooklyn School District","=""0190011""",06,81,79,97.5,79,10,12.7,30,38.0,29,36.7,10,12.7,39,49.4,2535
"Brooklyn School District","=""0190011""",07,80,79,98.8,79,14,17.7,37,46.8,17,21.5,11,13.9,28,35.4,2552
"Brooklyn School District","=""0190011""",08,109,107,98.2,107,34,31.8,45,42.1,18,16.8,10,9.3,28,26.2,2539
"Canaan School District","=""0210011""",03,6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",04,6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",05,9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",06,12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",07,8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""",08,10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",03,41,40,97.6,40,9,22.5,12,30.0,12,30.0,7,17.5,19,47.5,2437
"Canterbury School District","=""0220011""",04,39,39,100.0,39,"*","*",13,33.3,15,38.5,"*","*","*","*",2491
"Canterbury School District","=""0220011""",05,53,51,96.2,51,16,31.4,23,45.1,"*","*","*","*",12,23.5,2471
"Canterbury School District","=""0220011""",06,36,35,97.2,35,"*","*",19,54.3,8,22.9,"*","*","*","*",2530
"Canterbury School District","=""0220011""",07,76,75,98.7,75,24,32.0,25,33.3,20,26.7,6,8.0,26,34.7,2523
"Canterbury School District","=""0220011""",08,63,63,100.0,63,12,19.0,24,38.1,17,27.0,10,15.9,27,42.9,2569
"Canton School District","=""0230011""",03,117,114,97.4,114,9,7.9,11,9.6,49,43.0,45,39.5,94,82.5,2480
"Canton School District","=""0230011""",04,117,115,98.3,115,7,6.1,28,24.3,42,36.5,38,33.0,80,69.6,2515
"Canton School District","=""0230011""",05,138,138,100.0,138,23,16.7,32,23.2,39,28.3,44,31.9,83,60.1,2535
"Canton School District","=""0230011""",06,138,138,100.0,138,16,11.6,30,21.7,38,27.5,54,39.1,92,66.7,2580
"Canton School District","=""0230011""",07,142,140,98.6,140,16,11.4,37,26.4,49,35.0,38,27.1,87,62.1,2581
"Canton School District","=""0230011""",08,141,140,99.3,140,22,15.7,31,22.1,39,27.9,48,34.3,87,62.1,2604
"Capital Preparatory Harbor School Inc. District","=""2970013""",06,34,34,100.0,34,24,70.6,"*","*","*","*",0,0.0,"*","*",2425
"Capital Preparatory Harbor School Inc. District","=""2970013""",07,38,38,100.0,38,26,68.4,"*","*","*","*",0,0.0,"*","*",2449
"Capital Preparatory Harbor School Inc. District","=""2970013""",08,37,37,100.0,37,25,67.6,"*","*","*","*",0,0.0,"*","*",2467
"Capitol Region Education Council","=""2410014""",03,464,447,96.3,447,126,28.2,123,27.5,112,25.1,86,19.2,198,44.3,2428
"Capitol Region Education Council","=""2410014""",04,363,357,98.3,357,79,22.1,118,33.1,94,26.3,66,18.5,160,44.8,2476
"Capitol Region Education Council","=""2410014""",05,319,317,99.4,317,113,35.6,96,30.3,58,18.3,50,15.8,108,34.1,2490
"Capitol Region Education Council","=""2410014""",06,636,615,96.7,615,256,41.6,222,36.1,85,13.8,52,8.5,137,22.3,2486
"Capitol Region Education Council","=""2410014""",07,685,672,98.1,672,262,39.0,227,33.8,120,17.9,63,9.4,183,27.2,2509
"Capitol Region Education Council","=""2410014""",08,649,630,97.1,630,247,39.2,187,29.7,82,13.0,114,18.1,196,31.1,2541
"Chaplin School District","=""0240011""",03,23,22,95.7,22,"*","*",9,40.9,6,27.3,"*","*","*","*",2418
"Chaplin School District","=""0240011""",04,16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""",05,22,22,100.0,22,11,50.0,8,36.4,"*","*","*","*","*","*",2466
"Chaplin School District","=""0240011""",06,17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",03,297,295,99.3,295,23,7.8,52,17.6,105,35.6,115,39.0,220,74.6,2480
"Cheshire School District","=""0250011""",04,293,290,99.0,290,19,6.6,76,26.2,104,35.9,91,31.4,195,67.2,2512
"Cheshire School District","=""0250011""",05,348,345,99.1,345,30,8.7,77,22.3,78,22.6,160,46.4,238,69.0,2561
"Cheshire School District","=""0250011""",06,393,388,98.7,388,47,12.1,100,25.8,115,29.6,126,32.5,241,62.1,2572
"Cheshire School District","=""0250011""",07,366,363,99.2,363,48,13.2,101,27.8,120,33.1,94,25.9,214,59.0,2578
"Cheshire School District","=""0250011""",08,356,352,98.9,352,57,16.2,86,24.4,81,23.0,128,36.4,209,59.4,2609
"Chester School District","=""0260011""",03,27,27,100.0,27,"*","*","*","*",10,37.0,12,44.4,22,81.5,2485
"Chester School District","=""0260011""",04,28,28,100.0,28,0,0.0,"*","*",10,35.7,"*","*","*","*",2516
"Chester School District","=""0260011""",05,35,35,100.0,35,"*","*","*","*",11,31.4,12,34.3,23,65.7,2550
"Chester School District","=""0260011""",06,41,40,97.6,40,"*","*",12,30.0,"*","*",15,37.5,"*","*",2586
"Clinton School District","=""0270011""",03,139,138,99.3,138,17,12.3,43,31.2,56,40.6,22,15.9,78,56.5,2443
"Clinton School District","=""0270011""",04,141,141,100.0,141,16,11.3,38,27.0,55,39.0,32,22.7,87,61.7,2497
"Clinton School District","=""0270011""",05,175,173,98.9,173,18,10.4,62,35.8,40,23.1,53,30.6,93,53.8,2539
"Clinton School District","=""0270011""",06,137,134,97.8,134,22,16.4,31,23.1,33,24.6,48,35.8,81,60.4,2566
"Clinton School District","=""0270011""",07,148,144,97.3,144,29,20.1,45,31.3,46,31.9,24,16.7,70,48.6,2550
"Clinton School District","=""0270011""",08,162,160,98.8,160,33,20.6,43,26.9,43,26.9,41,25.6,84,52.5,2585
"Colchester School District","=""0280011""",03,164,164,100.0,164,16,9.8,41,25.0,66,40.2,41,25.0,107,65.2,2460
"Colchester School District","=""0280011""",04,164,164,100.0,164,12,7.3,42,25.6,56,34.1,54,32.9,110,67.1,2513
"Colchester School District","=""0280011""",05,200,198,99.0,198,20,10.1,53,26.8,63,31.8,62,31.3,125,63.1,2549
"Colchester School District","=""0280011""",06,211,209,99.1,209,46,22.0,64,30.6,58,27.8,41,19.6,99,47.4,2534
"Colchester School District","=""0280011""",07,203,202,99.5,202,30,14.9,75,37.1,68,33.7,29,14.4,97,48.0,2560
"Colchester School District","=""0280011""",08,192,191,99.5,191,35,18.3,58,30.4,48,25.1,50,26.2,98,51.3,2591
"Colebrook School District","=""0290011""",03,12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",04,10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",05,10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""",06,14,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",03,42,42,100.0,42,"*","*",13,31.0,16,38.1,"*","*","*","*",2442
"Columbia School District","=""0300011""",04,38,37,97.4,37,"*","*",11,29.7,16,43.2,"*","*","*","*",2490
"Columbia School District","=""0300011""",05,56,53,94.6,53,16,30.2,21,39.6,7,13.2,9,17.0,16,30.2,2494
"Columbia School District","=""0300011""",06,39,36,92.3,36,"*","*",13,36.1,10,27.8,"*","*","*","*",2526
"Columbia School District","=""0300011""",07,53,52,98.1,52,9,17.3,14,26.9,18,34.6,11,21.2,29,55.8,2567
"Columbia School District","=""0300011""",08,59,59,100.0,59,9,15.3,15,25.4,20,33.9,15,25.4,35,59.3,2590
"Cooperative Educational Services","=""2430014""",03,59,58,98.3,58,19,32.8,"*","*",19,32.8,"*","*","*","*",2411
"Cooperative Educational Services","=""2430014""",04,71,70,98.6,70,16,22.9,29,41.4,17,24.3,8,11.4,25,35.7,2455
"Cooperative Educational Services","=""2430014""",05,52,51,98.1,51,19,37.3,"*","*","*","*",9,17.6,"*","*",2479
"Cooperative Educational Services","=""2430014""",06,61,61,100.0,61,20,32.8,18,29.5,13,21.3,10,16.4,23,37.7,2511
"Cooperative Educational Services","=""2430014""",07,45,43,95.6,43,14,32.6,19,44.2,"*","*","*","*",10,23.3,2509
"Cooperative Educational Services","=""2430014""",08,54,54,100.0,54,35,64.8,"*","*",10,18.5,"*","*","*","*",2470
"Cornwall School District","=""0310011""",03,13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",04,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",05,11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",06,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",07,11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""",08,19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",03,119,118,99.2,118,23,19.5,19,16.1,49,41.5,27,22.9,76,64.4,2452
"Coventry School District","=""0320011""",04,121,121,100.0,121,"*","*","*","*",40,33.1,40,33.1,80,66.1,2516
"Coventry School District","=""0320011""",05,115,115,100.0,115,23,20.0,45,39.1,27,23.5,20,17.4,47,40.9,2513
"Coventry School District","=""0320011""",06,126,124,98.4,124,21,16.9,48,38.7,30,24.2,25,20.2,55,44.4,2540
"Coventry School District","=""0320011""",07,134,129,96.3,129,"*","*",38,29.5,47,36.4,"*","*","*","*",2578
"Coventry School District","=""0320011""",08,138,137,99.3,137,20,14.6,41,29.9,36,26.3,40,29.2,76,55.5,2597
"Cromwell School District","=""0330011""",03,152,151,99.3,151,27,17.9,43,28.5,47,31.1,34,22.5,81,53.6,2444
"Cromwell School District","=""0330011""",04,152,151,99.3,151,43,28.5,51,33.8,38,25.2,19,12.6,57,37.7,2458
"Cromwell School District","=""0330011""",05,177,177,100.0,177,56,31.6,79,44.6,29,16.4,13,7.3,42,23.7,2483
"Cromwell School District","=""0330011""",06,149,149,100.0,148,21,14.2,47,31.8,35,23.6,45,30.4,80,54.1,2558
"Cromwell School District","=""0330011""",07,150,150,100.0,150,26,17.3,42,28.0,53,35.3,29,19.3,82,54.7,2565
"Cromwell School District","=""0330011""",08,143,142,99.3,142,27,19.0,34,23.9,49,34.5,32,22.5,81,57.0,2586
"Danbury School District","=""0340011""",03,908,903,99.4,903,203,22.5,274,30.3,299,33.1,127,14.1,426,47.2,2429
"Danbury School District","=""0340011""",04,845,835,98.8,835,175,21.0,314,37.6,226,27.1,120,14.4,346,41.4,2468
"Danbury School District","=""0340011""",05,866,858,99.1,857,258,30.1,270,31.5,184,21.5,145,16.9,329,38.4,2498
"Danbury School District","=""0340011""",06,794,791,99.6,791,291,36.8,283,35.8,138,17.4,79,10.0,217,27.4,2498
"Danbury School District","=""0340011""",07,861,845,98.1,844,315,37.3,322,38.2,152,18.0,55,6.5,207,24.5,2505
"Danbury School District","=""0340011""",08,803,787,98.0,787,351,44.6,244,31.0,122,15.5,70,8.9,192,24.4,2520
"Darien School District","=""0350011""",03,377,373,98.9,373,16,4.3,50,13.4,126,33.8,181,48.5,307,82.3,2495
"Darien School District","=""0350011""",04,382,379,99.2,379,8,2.1,70,18.5,127,33.5,174,45.9,301,79.4,2540
"Darien School District","=""0350011""",05,356,351,98.6,351,21,6.0,55,15.7,85,24.2,190,54.1,275,78.3,2575
"Darien School District","=""0350011""",06,417,412,98.8,412,20,4.9,52,12.6,98,23.8,242,58.7,340,82.5,2621
"Darien School District","=""0350011""",07,376,370,98.4,370,15,4.1,67,18.1,78,21.1,210,56.8,288,77.8,2635
"Darien School District","=""0350011""",08,374,369,98.7,369,11,3.0,27,7.3,86,23.3,245,66.4,331,89.7,2684
"Deep River School District","=""0360011""",03,47,47,100.0,47,7,14.9,17,36.2,14,29.8,9,19.1,23,48.9,2451
"Deep River School District","=""0360011""",04,52,51,98.1,51,"*","*",22,43.1,14,27.5,"*","*","*","*",2490
"Deep River School District","=""0360011""",05,44,44,100.0,44,"*","*",16,36.4,"*","*",17,38.6,"*","*",2542
"Deep River School District","=""0360011""",06,57,57,100.0,57,8,14.0,19,33.3,13,22.8,17,29.8,30,52.6,2561
"Derby School District","=""0370011""",03,118,118,100.0,118,41,34.7,39,33.1,31,26.3,7,5.9,38,32.2,2400
"Derby School District","=""0370011""",04,130,130,100.0,130,36,27.7,54,41.5,30,23.1,10,7.7,40,30.8,2449
"Derby School District","=""0370011""",05,109,109,100.0,109,54,49.5,32,29.4,13,11.9,10,9.2,23,21.1,2460
"Derby School District","=""0370011""",06,113,112,99.1,112,50,44.6,39,34.8,17,15.2,6,5.4,23,20.5,2480
"Derby School District","=""0370011""",07,109,108,99.1,108,64,59.3,32,29.6,"*","*","*","*",12,11.1,2461
"Derby School District","=""0370011""",08,100,96,96.0,96,58,60.4,23,24.0,"*","*","*","*",15,15.6,2484
"East Granby School District","=""0400011""",03,73,73,100.0,73,7,9.6,10,13.7,18,24.7,38,52.1,56,76.7,2493
"East Granby School District","=""0400011""",04,51,51,100.0,51,"*","*",17,33.3,16,31.4,"*","*","*","*",2511
"East Granby School District","=""0400011""",05,71,71,100.0,71,"*","*","*","*",16,22.5,38,53.5,54,76.1,2574
"East Granby School District","=""0400011""",06,63,63,100.0,63,10,15.9,11,17.5,24,38.1,18,28.6,42,66.7,2562
