"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","School Code","School","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",204,"34.3%","62.4%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School",179,"34.6%","53.1%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",80,"50.0%","67.8%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School",97,"32.0%","61.7%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",288,"55.9%","75.6%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",107,"40.2%","60.9%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",841,"40.9%","59.4%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School",63,"44.4%","66.5%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School",63,"73.0%","94.0%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School",79,"50.6%","72.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",422,"49.5%","68.8%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",216,"24.1%","50.9%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",108,"25.9%","51.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",180,"37.8%","60.4%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",538,"33.5%","56.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",126,"31.7%","60.1%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",506,"28.1%","52.5%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",186,"37.1%","60.2%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",272,"40.8%","67.4%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",144,"16.0%","34.9%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",349,"27.2%","51.7%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",146,"15.1%","36.8%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School",87,"28.7%","53.9%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",326,"34.7%","59.1%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School",81,"30.9%","61.2%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School",89,"28.1%","53.9%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",213,"38.5%","60.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",165,"27.9%","54.0%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",219,"28.8%","52.5%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",261,"40.2%","64.7%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",360,"24.4%","49.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School",199,"34.2%","59.6%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",233,"42.1%","61.0%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",201,"38.3%","59.6%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",366,"26.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",213,"22.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",211,"28.0%","51.2%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",331,"39.6%","63.0%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School",660,"35.5%","55.5%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal",7,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School",115,"43.5%","72.6%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School",108,"40.7%","60.7%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School",439,"43.3%","65.4%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School",132,"45.5%","66.8%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School",117,"45.3%","66.3%"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School",395,"48.4%","69.2%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School",125,"42.4%","70.4%"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School",141,"41.1%","67.3%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School",460,"45.7%","68.7%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School",204,"36.8%","62.1%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School",753,"45.4%","63.6%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School",72,"59.7%","83.1%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School",351,"46.4%","66.0%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School",39,"53.8%","71.1%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School",36,"41.7%","72.0%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School",212,"44.8%","66.0%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School",372,"51.1%","72.5%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School",270,"51.5%","69.0%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.",88,"35.2%","56.8%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering",327,"33.9%","53.7%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy",34,"29.4%","65.6%"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School",127,"49.6%","77.2%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle",296,"43.2%","63.3%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship",118,"45.8%","70.1%"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy",195,"41.0%","65.0%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies",295,"42.7%","61.7%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School",89,"42.7%","64.7%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy",75,"41.3%","70.7%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy",134,"41.8%","61.7%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts",103,"35.9%","67.3%"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2411214""","Soundbridge @ Museum Academy",6,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415014""","Two Rivers Magnet Middle School",622,"34.4%","52.8%"
"=""2410014""","Capitol Region Education Council","=""2410214""","University of Hartford Magnet School",111,"56.8%","78.2%"
"=""0240011""","Chaplin School District","=""0240211""","Chaplin Elementary School",43,"55.8%","79.0%"
"=""0250011""","Cheshire School District","=""0250111""","Chapman School",152,"63.2%","81.3%"
"=""0250011""","Cheshire School District","=""0255111""","Dodd Middle School",697,"42.5%","58.3%"
"=""0250011""","Cheshire School District","=""0250611""","Doolittle School",272,"56.6%","75.0%"
"=""0250011""","Cheshire School District","=""0250411""","Highland School",367,"56.4%","74.6%"
"=""0250011""","Cheshire School District","=""0250511""","Norton School",198,"68.7%","87.2%"
"=""0260011""","Chester School District","=""0260111""","Chester Elementary School",100,"50.0%","68.6%"
"=""0270011""","Clinton School District","=""0270111""","Abraham Pierson School",301,"42.2%","67.6%"
"=""0270011""","Clinton School District","=""0275111""","Jared Eliot School",424,"43.6%","60.4%"
"=""0280011""","Colchester School District","=""0280211""","Jack Jackter Intermediate School",352,"54.0%","79.2%"
"=""0280011""","Colchester School District","=""0285111""","William J. Johnston Middle School",579,"45.3%","63.4%"
"=""0290011""","Colebrook School District","=""0290111""","Colebrook Consolidated School",31,"61.3%","81.5%"
"=""0300011""","Columbia School District","=""0300111""","Horace W. Porter School",226,"47.8%","67.7%"
"=""2430014""","Cooperative Educational Services","=""2430114""","Six-Six Magnet School",197,"40.1%","61.8%"
"=""2430014""","Cooperative Educational Services","=""2439414""","Therapeutic Day Program",70,"24.3%","50.4%"
"=""0310011""","Cornwall School District","=""0310111""","Cornwall Consolidated School",45,"44.4%","64.7%"
"=""0320011""","Coventry School District","=""0325111""","Capt. Nathan Hale School",373,"57.1%","77.8%"
"=""0320011""","Coventry School District","=""0320411""","George Hersey Robertson School",233,"50.6%","74.8%"
"=""0330011""","Cromwell School District","=""0335111""","Cromwell Middle School",433,"52.7%","71.2%"
"=""0330011""","Cromwell School District","=""0330311""","Woodside Intermediate School",316,"32.6%","59.4%"
"=""0340011""","Danbury School District","=""0345111""","Broadview Middle School",862,"42.3%","63.3%"
"=""0340011""","Danbury School District","=""0341411""","Ellsworth Avenue School",109,"53.2%","73.6%"
"=""0340011""","Danbury School District","=""0341111""","Great Plain School",73,"45.2%","63.7%"
"=""0340011""","Danbury School District","=""0340211""","Hayestown Avenue School",111,"53.2%","76.8%"
"=""0340011""","Danbury School District","=""0341711""","King Street Intermediate School",340,"40.3%","67.0%"
"=""0340011""","Danbury School District","=""0340611""","Morris Street School",96,"54.2%","78.8%"
"=""0340011""","Danbury School District","=""0340811""","Park Avenue School",161,"55.9%","83.5%"
"=""0340011""","Danbury School District","=""0341511""","Pembroke School",105,"39.0%","66.4%"
"=""0340011""","Danbury School District","=""0345211""","Rogers Park Middle School",778,"35.2%","56.0%"
"=""0340011""","Danbury School District","=""0341211""","Shelter Rock School",151,"39.7%","65.2%"
"=""0340011""","Danbury School District","=""0341011""","South Street School",109,"51.4%","78.2%"
"=""0340011""","Danbury School District","=""0341611""","Stadley Rough School",153,"33.3%","63.0%"
"=""0340011""","Danbury School District","=""0341911""","Western CT Academy of International Studies Elementary Magnet School",121,"49.6%","70.9%"
"=""0340011""","Danbury School District","=""0340311""","Westside Middle School Academy",477,"35.4%","54.6%"
"=""0350011""","Darien School District","=""0350211""","Hindley Elementary School",176,"56.8%","77.5%"
"=""0350011""","Darien School District","=""0350711""","Holmes Elementary School",134,"61.2%","80.6%"
"=""0350011""","Darien School District","=""0355111""","Middlesex Middle School",1102,"57.0%","72.4%"
"=""0350011""","Darien School District","=""0351311""","Ox Ridge Elementary School",138,"62.3%","82.3%"
"=""0350011""","Darien School District","=""0350511""","Royle Elementary School",124,"66.9%","86.2%"
"=""0350011""","Darien School District","=""0350611""","Tokeneke Elementary School",133,"68.4%","87.2%"
"=""0360011""","Deep River School District","=""0360111""","Deep River Elementary School",145,"49.0%","67.9%"
"=""0370011""","Derby School District","=""0370611""","Bradley School",120,"40.0%","69.0%"
"=""0370011""","Derby School District","=""0375011""","Derby Middle School",296,"27.7%","43.1%"
"=""0370011""","Derby School District","=""0370411""","Irving School",102,"33.3%","62.0%"
"=""0400011""","East Granby School District","=""0405111""","East Granby Middle School",191,"34.6%","52.0%"
"=""0400011""","East Granby School District","=""0400211""","R. Dudley Seymour School",117,"50.4%","72.7%"
"=""0410011""","East Haddam School District","=""0415111""","Nathan Hale-Ray Middle School",391,"48.3%","64.5%"
"=""0420011""","East Hampton School District","=""0420311""","Center School",266,"35.0%","57.9%"
"=""0420011""","East Hampton School District","=""0425111""","East Hampton Middle School",381,"34.1%","50.1%"
"=""0430011""","East Hartford School District","=""0430911""","Anna E. Norris School",86,"34.9%","65.7%"
"=""0430011""","East Hartford School District","=""0430611""","Dr. Franklin H. Mayberry School",106,"26.4%","54.0%"
"=""0430011""","East Hartford School District","=""0432211""","Dr. John A. Langford School",91,"29.7%","59.2%"
"=""0430011""","East Hartford School District","=""0431011""","Dr. Thomas S. O'Connell School",172,"39.0%","62.5%"
"=""0430011""","East Hartford School District","=""0435111""","East Hartford Middle School",971,"32.3%","52.9%"
"=""0430011""","East Hartford School District","=""0432011""","Governor William Pitkin School",107,"50.5%","75.7%"
"=""0430011""","East Hartford School District","=""0430511""","Hockanum School",70,"47.1%","67.5%"
"=""0430011""","East Hartford School District","=""0430411""","Joseph O. Goodwin School",84,"54.8%","78.5%"
"=""0430011""","East Hartford School District","=""0431811""","Robert J. O'Brien School",179,"40.2%","67.2%"
"=""0430011""","East Hartford School District","=""0431211""","Silver Lane School",69,"36.2%","66.5%"
"=""0430011""","East Hartford School District","=""0432411""","Sunset Ridge School Elementary Academy for Arts and World Languages",192,"40.1%","63.8%"
"=""0430011""","East Hartford School District","=""0439011""","Woodland School",44,"27.3%","52.2%"
"=""0440011""","East Haven School District","=""0441711""","Carbone School/East Haven Academy",211,"41.7%","67.3%"
"=""0440011""","East Haven School District","=""0441311""","Dominick H. Ferrara School",122,"38.5%","70.2%"
"=""0440011""","East Haven School District","=""0441011""","Grove J. Tuttle School",97,"25.8%","50.3%"
"=""0440011""","East Haven School District","=""0445111""","Joseph Melillo Middle School",533,"47.1%","70.2%"
"=""0440011""","East Haven School District","=""0440711""","Momauguin School",92,"40.2%","67.1%"
"=""0450011""","East Lyme School District","=""0455111""","East Lyme Middle School",780,"45.1%","61.7%"
"=""0450011""","East Lyme School District","=""0450111""","Flanders School",85,"51.8%","76.1%"
"=""0450011""","East Lyme School District","=""0450411""","Lillie B. Haynes School",55,"52.7%","75.7%"
"=""0450011""","East Lyme School District","=""0450211""","Niantic Center School",40,"67.5%","90.8%"
"=""0470011""","East Windsor School District","=""0470111""","Broad Brook Elementary School","*","*","*"
"=""0470011""","East Windsor School District","=""0475411""","East Windsor Middle School","*","33.6%","58.7%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2539014""","EastConn Special Education",30,"16.7%","35.0%"
"=""0390011""","Eastford School District","=""0390111""","Eastford Elementary School",67,"37.3%","59.0%"
"=""0460011""","Easton School District","=""0465111""","Helen Keller Middle School",288,"50.3%","69.0%"
"=""0460011""","Easton School District","=""0460111""","Samuel Staples Elementary School",212,"68.4%","87.1%"
"=""2420014""","EdAdvance","=""2429014""","GFLC/ACCESS School","*","*","*"
"=""0480011""","Ellington School District","=""0480111""","Center School",61,"50.8%","73.7%"
"=""0480011""","Ellington School District","=""0480211""","Crystal Lake School",42,"47.6%","79.6%"
"=""0480011""","Ellington School District","=""0485111""","Ellington Middle School",399,"38.3%","57.6%"
"=""0480011""","Ellington School District","=""0480711""","Windermere Intermediate School",419,"48.4%","66.8%"
"=""0480011""","Ellington School District","=""0480611""","Windermere School",89,"55.1%","77.9%"
"=""2890013""","Elm City College Preparatory School District","=""2890113""","Elm City College Preparatory School",310,"54.5%","75.3%"
"=""0490011""","Enfield School District","=""0491311""","Edgar H. Parkman School","*","40.8%","65.7%"
"=""0490011""","Enfield School District","=""0491611""","Eli Whitney School",252,"52.4%","75.7%"
"=""0490011""","Enfield School District","=""0495211""","John F. Kennedy Middle School",991,"42.9%","62.9%"
"=""0490011""","Enfield School District","=""0490711""","Prudence Crandall - Educational Counseling Program (ECP)","*","*","*"
"=""0490011""","Enfield School District","=""0491511""","Prudence Crandall School",243,"49.4%","75.5%"
"=""0500011""","Essex School District","=""0500111""","Essex Elementary School",181,"51.4%","70.3%"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School",128,"64.8%","85.2%"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School",104,"68.3%","88.1%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School",831,"45.8%","64.5%"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School",124,"62.9%","86.4%"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School",125,"53.6%","77.3%"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School",136,"33.1%","57.6%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School",149,"52.3%","75.5%"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School",158,"48.7%","71.0%"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School",176,"61.4%","80.4%"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School",140,"67.9%","90.8%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School",764,"43.6%","60.4%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School",152,"59.2%","79.0%"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School",165,"46.1%","71.3%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School",641,"51.0%","69.0%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School",90,"80.0%","97.0%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School",588,"49.1%","65.5%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School",76,"60.5%","81.9%"
"=""0520011""","Farmington School District","=""0520111""","Union School",71,"56.3%","76.6%"
"=""0520011""","Farmington School District","=""0520311""","West District School",66,"60.6%","78.8%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School",618,"52.1%","71.9%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School",88,"35.2%","53.3%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School",174,"51.1%","74.3%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","*","59.8%","81.6%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School",459,"59.9%","75.9%"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School",138,"58.0%","76.1%"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School",133,"57.9%","80.1%"
"=""0540011""","Glastonbury School District","=""0540111""","LINKS Academy","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School",130,"36.2%","61.7%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School",175,"64.0%","82.9%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School",1001,"43.5%","58.7%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School",293,"51.2%","68.8%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School",202,"58.9%","78.4%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School",192,"69.8%","87.8%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School",206,"40.3%","60.0%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School",513,"40.5%","57.7%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School",134,"47.8%","70.6%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School",766,"56.4%","71.9%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School",139,"55.4%","78.7%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School",104,"36.5%","61.6%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee",123,"71.5%","87.9%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School",113,"53.1%","78.7%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School",72,"48.6%","68.7%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School",142,"63.4%","80.3%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School",107,"58.9%","76.9%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School",118,"60.2%","82.0%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School",56,"57.1%","73.7%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School",141,"70.9%","86.4%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School",490,"55.3%","71.8%"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","*","*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","*","40.2%","65.9%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School",502,"42.8%","63.2%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School",448,"42.0%","59.4%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School",97,"40.2%","63.0%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School",58,"48.3%","74.1%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School",100,"34.0%","55.0%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School",51,"41.2%","71.4%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School",116,"58.6%","83.2%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School",72,"54.2%","77.2%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School",74,"52.7%","76.5%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School",371,"30.7%","47.9%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School",527,"50.3%","68.8%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School",59,"59.3%","79.7%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School",60,"61.7%","82.9%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School",523,"55.8%","71.6%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School",65,"64.6%","86.5%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School",65,"50.8%","75.1%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School",195,"39.0%","60.6%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School",110,"32.7%","60.0%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School",102,"45.1%","68.4%"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center",7,"*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School",720,"29.0%","46.1%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School",127,"43.3%","62.6%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School",112,"42.0%","60.4%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School",120,"37.5%","68.4%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School",154,"53.2%","70.5%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School",168,"50.0%","70.3%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School",28,"53.6%","78.8%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy",225,"21.3%","45.8%"
"=""0640011""","Hartford School District","=""0640411""","Batchelder School",199,"37.2%","63.2%"
"=""0640011""","Hartford School District","=""0643811""","Betances STEM Magnet School",290,"37.6%","59.8%"
"=""0640011""","Hartford School District","=""0643511""","Breakthrough II Elementary School",94,"42.6%","63.4%"
"=""0640011""","Hartford School District","=""0643311""","Breakthrough Magnet School",163,"36.8%","59.4%"
"=""0640011""","Hartford School District","=""0640611""","Burns Latino Studies Academy",219,"26.9%","50.1%"
"=""0640011""","Hartford School District","=""0642311""","Burr School",239,"25.1%","45.8%"
"=""0640011""","Hartford School District","=""0646911""","Capital Preparatory Magnet School",235,"34.9%","54.3%"
"=""0640011""","Hartford School District","=""0642411""","Clark School",101,"25.7%","51.5%"
"=""0640011""","Hartford School District","=""0646411""","Classical Magnet School",261,"25.3%","45.6%"
"=""0640011""","Hartford School District","=""0645911""","EDP - M.D. Fox School",18,"*","*"
"=""0640011""","Hartford School District","=""0648111""","EDP - McDonough Middle School","*","*","*"
"=""0640011""","Hartford School District","=""0640911""","Environmental Sciences Magnet at Hooker School",294,"35.7%","56.1%"
"=""0640011""","Hartford School District","=""0643211""","Expeditionary Learning Academy at Moylan School",148,"32.4%","60.9%"
"=""0640011""","Hartford School District","=""0643611""","Global Communications Academy",203,"29.1%","53.9%"
"=""0640011""","Hartford School District","=""0645411""","Hartford Magnet Trinity College Academy",594,"31.1%","49.2%"
"=""0640011""","Hartford School District","=""0641011""","Kennelly School",255,"32.5%","58.2%"
"=""0640011""","Hartford School District","=""0649611""","LC - Burns School","*","*","*"
"=""0640011""","Hartford School District","=""0640811""","M. D. Fox School",221,"39.8%","60.9%"
"=""0640011""","Hartford School District","=""0641611""","M. L. King, Jr. School",130,"33.8%","55.7%"
"=""0640011""","Hartford School District","=""0641211""","McDonough Middle School",171,"35.1%","56.4%"
"=""0640011""","Hartford School District","=""0641911""","Milner School",131,"22.1%","45.9%"
"=""0640011""","Hartford School District","=""0643711""","Montessori Magnet School at Annie Fisher",77,"35.1%","54.8%"
"=""0640011""","Hartford School District","=""0640511""","Montessori Magnet at Moylan School",26,"26.9%","58.3%"
"=""0640011""","Hartford School District","=""0641411""","Naylor/CCSU Leadership Academy",272,"39.3%","63.3%"
