"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"",,,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELA","ELL",13,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"ELA","Non-ELL",227,2503,2500,-3,"20.7%","37.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Math","ELL",14,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Math","Non-ELL",228,2476,2484,9,"25.9%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELA","ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"ELA","Non-ELL",221,2509,2530,21,"31.7%","52.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Math","ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Math","Non-ELL",221,2485,2527,41,"53.4%","73.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELA","ELL",13,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"ELA","Non-ELL",201,2533,2551,19,"34.3%","52.3%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Math","ELL",13,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Math","Non-ELL",201,2505,2516,11,"32.8%","49.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELA","ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"ELA","Non-ELL","*",2399,2436,38,"33.8%","55.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Math","ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Math","Non-ELL","*",2390,2429,38,"23.5%","57.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"ELA","Non-ELL",69,2427,2473,46,"27.5%","61.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Math","Non-ELL",69,2417,2427,10,"24.6%","45.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELA","ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"ELA","Non-ELL","*",2487,2523,36,"44.3%","64.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Math","ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Math","Non-ELL","*",2446,2469,23,"38.6%","57.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"ELA","Non-ELL",59,2509,2556,47,"47.5%","70.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Math","Non-ELL",59,2467,2515,48,"59.3%","80.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELA","ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"ELA","Non-ELL","*",2531,2563,32,"35.4%","59.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Math","ELL","*","*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Math","Non-ELL","*",2493,2508,15,"40.0%","53.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"ELA","Non-ELL",41,2460,2500,40,"39.0%","60.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Math","Non-ELL",40,2454,2507,53,"55.0%","81.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"ELA","Non-ELL",37,2552,2563,12,"37.8%","55.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"Math","Non-ELL",37,2536,2503,-33,"0.0%","6.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"ELA","Non-ELL",36,2493,2516,23,"33.3%","52.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Math","Non-ELL",36,2471,2479,8,"19.4%","42.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELA","ELL","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"ELA","Non-ELL","*",2537,2569,32,"42.2%","64.0%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Math","ELL","*","*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"Math","Non-ELL","*",2493,2564,71,"75.6%","90.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"ELA","Non-ELL",34,2551,2585,34,"35.3%","64.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,"Math","Non-ELL",34,2560,2583,23,"50.0%","61.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"ELA","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"ELA","Non-ELL","*",2598,2637,39,"59.9%","76.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"Math","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,"Math","Non-ELL","*",2599,2640,41,"63.3%","82.2%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"ELA","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"ELA","Non-ELL","*",2613,2636,23,"50.0%","64.8%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"Math","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,"Math","Non-ELL","*",2624,2658,34,"67.3%","80.4%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"ELA","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"ELA","Non-ELL","*",2510,2549,39,"49.0%","69.6%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"Math","ELL",8,"*","*","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,"Math","Non-ELL",98,2498,2541,43,"43.9%","69.8%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"ELA","Non-ELL",99,2500,2551,50,"56.6%","74.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,"Math","Non-ELL",98,2508,2540,32,"44.9%","65.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"ELA","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"ELA","Non-ELL","*",2528,2571,43,"54.2%","73.7%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"Math","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,"Math","Non-ELL","*",2525,2548,23,"40.7%","60.2%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"ELA","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"ELA","Non-ELL","*",2573,2613,39,"63.5%","80.0%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"Math","ELL","*","*","*","*","*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,"Math","Non-ELL","*",2548,2604,55,"69.3%","88.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"ELA","Non-ELL",44,2439,2495,56,"54.5%","75.7%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"Math","Non-ELL",44,2408,2456,48,"36.4%","67.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"ELA","Non-ELL",44,2518,2551,33,"40.9%","68.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,"Math","Non-ELL",44,2461,2488,27,"25.0%","61.1%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"ELA","Non-ELL",44,2543,2578,35,"38.6%","64.8%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,"Math","Non-ELL",44,2506,2546,40,"43.2%","69.9%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"ELA","Non-ELL","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"Math","Non-ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"ELA","Non-ELL","*",2526,2562,35,"50.7%","69.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,"Math","Non-ELL","*",2510,2534,25,"34.6%","59.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"ELA","Non-ELL","*",2551,2591,40,"49.8%","69.4%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,"Math","Non-ELL","*",2532,2566,34,"49.6%","69.8%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"ELA","Non-ELL",210,2565,2604,40,"55.2%","73.1%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,"Math","Non-ELL",210,2562,2577,15,"44.3%","58.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"ELA","Non-ELL","*",2438,2512,74,"64.3%","87.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,"Math","Non-ELL","*",2443,2524,81,"78.6%","96.9%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"ELA","Non-ELL","*",2510,2566,55,"53.1%","75.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,"Math","Non-ELL","*",2525,2545,20,"33.3%","53.9%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"ELA","Non-ELL","*",2436,2488,52,"41.2%","68.7%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,"Math","Non-ELL","*",2431,2485,54,"43.5%","76.7%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",5,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",5,"ELA","Non-ELL","*",2495,2547,52,"48.1%","72.6%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",5,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",5,"Math","Non-ELL","*",2500,2526,26,"29.2%","59.1%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",4,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",4,"ELA","Non-ELL","*",2429,2508,79,"64.9%","89.7%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",4,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",4,"Math","Non-ELL","*",2418,2516,98,"91.9%","100.0%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",5,"ELA","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",5,"ELA","Non-ELL","*",2485,2556,71,"58.8%","80.8%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",5,"Math","ELL","*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",5,"Math","Non-ELL","*",2489,2527,38,"47.1%","72.6%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",4,"ELA","Non-ELL",50,2431,2502,71,"58.0%","85.1%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",4,"Math","Non-ELL",50,2452,2506,54,"50.0%","79.2%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",5,"ELA","Non-ELL",56,2522,2569,47,"53.6%","73.8%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",5,"Math","Non-ELL",56,2530,2584,54,"69.6%","88.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",6,"ELA","Non-ELL",61,2536,2551,15,"39.3%","53.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",6,"Math","Non-ELL",61,2512,2544,31,"47.5%","69.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",6,"ELA","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",6,"ELA","Non-ELL","*",2551,2589,38,"58.4%","75.5%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",6,"Math","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",6,"Math","Non-ELL","*",2525,2557,32,"47.4%","69.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",7,"ELA","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",7,"ELA","Non-ELL","*",2567,2604,37,"53.5%","72.2%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",7,"Math","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",7,"Math","Non-ELL","*",2528,2565,37,"51.6%","72.9%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",8,"ELA","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",8,"ELA","Non-ELL","*",2588,2625,38,"54.1%","71.6%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",8,"Math","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",8,"Math","Non-ELL","*",2546,2589,43,"63.4%","79.4%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",4,"ELA","ELL","*","*","*","*","*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",4,"ELA","Non-ELL","*",2457,2504,47,"45.3%","69.4%"
