"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",8,47,2435,2425,-10,"25.5%","38.0%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",4,48,2350,2374,24,"18.8%","40.9%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",5,34,2399,2445,47,"50.0%","82.0%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School",6,26,2418,2419,2,"26.9%","40.4%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",4,46,2363,2403,40,"26.1%","58.2%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",5,38,2410,2447,37,"50.0%","72.2%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",6,24,2432,2425,-8,"20.8%","40.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",7,30,2436,2497,61,"70.0%","88.1%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School",8,44,2486,2511,26,"43.2%","56.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",4,108,2340,2383,42,"24.1%","59.7%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",5,87,2387,2403,16,"18.4%","44.4%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",6,91,2372,2418,46,"50.5%","72.8%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",7,132,2441,2469,28,"40.2%","57.8%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School",8,134,2453,2449,-4,"20.9%","32.1%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",4,"*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",5,8,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",6,"*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",7,"*","*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center",8,6,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",4,52,2362,2398,36,"21.2%","49.7%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",5,45,2380,2397,17,"22.2%","45.0%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School",6,32,2391,2404,13,"28.1%","45.3%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",4,115,2320,2355,36,"21.7%","50.3%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",5,112,2369,2405,36,"40.2%","65.1%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",6,104,2390,2393,4,"28.8%","45.5%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",7,107,2414,2435,21,"33.6%","53.9%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School",8,122,2408,2428,20,"41.0%","55.8%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",4,43,2370,2403,33,"18.6%","49.0%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",5,41,2429,2454,24,"36.6%","55.0%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",6,35,2452,2478,26,"31.4%","53.7%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",7,34,2476,2497,22,"32.4%","54.9%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy",8,33,2523,2540,17,"39.4%","51.8%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",4,78,2332,2392,60,"39.7%","70.4%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",5,68,2362,2411,49,"47.1%","71.9%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",6,42,2395,2395,-0,"21.4%","41.5%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",7,43,2397,2437,40,"46.5%","62.8%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School",8,44,2420,2434,15,"31.8%","49.3%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",4,27,2376,2401,26,"11.1%","47.4%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",5,34,2396,2399,3,"14.7%","31.5%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",6,20,2402,2363,-38,"10.0%","23.9%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",7,23,2410,2410,-1,"26.1%","36.3%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School",8,39,2406,2412,6,"23.1%","38.7%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",4,64,2342,2388,46,"26.6%","61.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",5,57,2386,2406,20,"19.3%","45.3%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",6,63,2402,2416,15,"33.3%","51.9%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",7,77,2403,2416,13,"27.3%","48.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School",8,87,2438,2426,-13,"23.0%","32.4%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",4,38,2367,2390,23,"7.9%","39.0%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",5,32,2372,2365,-7,"12.5%","28.5%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",6,15,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",7,25,2407,2383,-24,"8.0%","22.1%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School",8,36,2457,2400,-56,"2.8%","8.0%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School",4,41,2332,2367,35,"29.3%","52.9%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School",5,28,2378,2393,16,"17.9%","43.7%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School",6,18,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",4,73,2378,2413,35,"23.3%","54.6%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",5,68,2397,2402,5,"22.1%","39.5%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",6,67,2417,2457,40,"46.3%","67.7%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",7,64,2416,2455,39,"40.6%","65.6%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School",8,62,2458,2475,18,"33.9%","57.0%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School",4,37,2387,2403,16,"10.8%","34.7%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School",5,26,2393,2446,53,"61.5%","75.8%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School",6,18,"*","*","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School",4,44,2353,2389,36,"18.2%","50.4%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School",5,21,2385,2400,16,"19.0%","49.1%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School",6,24,2432,2435,3,"16.7%","36.8%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",4,44,2416,2440,24,"4.5%","44.3%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",5,39,2424,2448,24,"41.0%","61.6%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",6,40,2470,2506,36,"37.5%","60.3%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",7,41,2468,2475,7,"31.7%","40.7%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School",8,49,2530,2504,-26,"12.2%","21.3%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",4,39,2395,2439,44,"25.6%","62.4%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",5,32,2404,2424,21,"28.1%","48.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",6,24,2443,2444,1,"20.8%","35.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",7,34,2414,2429,16,"29.4%","50.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School",8,35,2425,2440,15,"25.7%","48.3%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",4,44,2441,2462,20,"9.1%","41.2%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",5,42,2434,2434,-0,"19.0%","32.6%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",6,41,2437,2452,15,"29.3%","51.5%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",7,48,2485,2527,42,"54.2%","73.5%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School",8,44,2525,2533,8,"27.3%","45.0%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",4,38,2341,2388,47,"26.3%","64.9%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",5,45,2387,2399,12,"24.4%","43.9%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",6,49,2399,2446,48,"53.1%","74.1%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",7,58,2436,2439,3,"22.4%","38.7%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School",8,71,2441,2490,49,"54.9%","69.9%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",4,82,2307,2345,37,"23.2%","51.8%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",5,72,2344,2367,24,"27.8%","54.0%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",6,73,2363,2353,-10,"16.4%","30.7%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",7,83,2376,2390,13,"27.7%","51.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School",8,83,2374,2392,19,"32.5%","50.1%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School",4,75,2397,2424,28,"20.0%","49.4%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School",5,67,2414,2420,6,"17.9%","39.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School",6,57,2419,2429,10,"33.3%","48.0%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",4,48,2466,2477,11,"4.2%","34.6%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",5,46,2443,2479,36,"47.8%","73.5%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",6,42,2461,2529,69,"81.0%","94.9%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",7,49,2516,2560,44,"55.1%","75.6%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School",8,48,2567,2592,25,"47.9%","67.0%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",4,47,2388,2447,59,"51.1%","80.8%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",5,42,2456,2479,24,"21.4%","52.3%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",6,34,2499,2525,26,"29.4%","57.7%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",7,39,2529,2546,16,"33.3%","57.7%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School",8,39,2552,2530,-22,"15.4%","34.0%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",4,74,2381,2411,30,"17.6%","49.9%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",5,66,2392,2401,9,"27.3%","44.0%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",6,69,2401,2404,3,"23.2%","35.2%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",7,81,2420,2442,22,"37.0%","57.5%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School",8,78,2454,2470,15,"35.9%","52.6%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",4,49,2329,2360,32,"16.3%","46.4%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",5,53,2349,2372,24,"35.8%","55.4%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",6,26,2372,2378,6,"26.9%","42.8%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",7,48,2399,2423,24,"37.5%","54.3%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School",8,42,2406,2410,5,"26.2%","42.6%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",4,45,2377,2390,13,"4.4%","33.1%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",5,42,2379,2408,29,"33.3%","60.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",6,41,2407,2432,25,"36.6%","58.3%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",7,30,2430,2428,-2,"20.0%","36.1%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School",8,53,2446,2443,-3,"20.8%","35.9%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",4,78,2406,2450,44,"32.1%","64.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",5,65,2438,2422,-16,"7.7%","17.6%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",6,60,2416,2440,24,"43.3%","61.2%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",7,63,2479,2510,31,"34.9%","64.0%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School",8,66,2508,2501,-6,"27.3%","40.8%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",4,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",5,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",6,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",7,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)",8,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School",6,209,2484,2508,24,"36.4%","56.5%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School",7,248,2483,2521,38,"51.6%","72.1%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School",8,207,2541,2556,14,"39.1%","55.7%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal",6,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal",7,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal",8,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School",4,52,2435,2485,51,"44.2%","74.4%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School",5,63,2472,2500,28,"38.1%","56.9%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School",4,52,2407,2472,65,"48.1%","85.1%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School",5,59,2483,2507,24,"33.9%","62.7%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL",7,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL",8,"*","*","*","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School",4,69,2401,2446,45,"33.3%","63.4%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School",5,111,2454,2479,24,"30.6%","55.1%"
