"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","School Code","School","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Not Eligible for Free/Reduced Lunch",100,"46.0%","73.2%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Eligible for Free Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Not Eligible for Free/Reduced Lunch","*","47.3%","67.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Eligible for Free Lunch","*","9.5%","30.1%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Not Eligible for Free/Reduced Lunch",491,"56.8%","76.1%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Eligible for Reduced Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Eligible for Free Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Not Eligible for Free/Reduced Lunch",116,"37.1%","69.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Eligible for Reduced Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Eligible for Free Lunch",64,"37.5%","56.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Not Eligible for Free/Reduced Lunch",578,"43.8%","63.5%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Eligible for Reduced Lunch",17,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Eligible for Free Lunch",13,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Not Eligible for Free/Reduced Lunch",121,"53.7%","73.3%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Eligible for Reduced Lunch",7,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Eligible for Free Lunch",15,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Not Eligible for Free/Reduced Lunch",173,"34.1%","66.5%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Eligible for Reduced Lunch",6,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Eligible for Free Lunch","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Not Eligible for Free/Reduced Lunch",79,"68.4%","88.5%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Eligible for Reduced Lunch","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Eligible for Free Lunch","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Not Eligible for Free/Reduced Lunch",154,"57.8%","80.8%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Eligible for Reduced Lunch","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Eligible for Free Lunch",89,"38.2%","59.1%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Not Eligible for Free/Reduced Lunch",478,"57.1%","76.9%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Eligible for Reduced Lunch",46,"52.2%","72.5%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Eligible for Free Lunch",58,"56.9%","75.8%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Not Eligible for Free/Reduced Lunch",309,"68.6%","91.3%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Eligible for Reduced Lunch",29,"55.2%","86.3%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Eligible for Free Lunch",90,"54.4%","76.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Not Eligible for Free/Reduced Lunch",92,"48.9%","73.8%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Eligible for Reduced Lunch",22,"50.0%","75.2%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Eligible for Free Lunch",79,"31.6%","49.1%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Not Eligible for Free/Reduced Lunch",84,"44.0%","64.5%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Eligible for Reduced Lunch",17,"*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Eligible for Free Lunch","*","31.3%","44.6%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Not Eligible for Free/Reduced Lunch",44,"31.8%","49.0%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Eligible for Reduced Lunch","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Eligible for Free Lunch",47,"53.2%","80.2%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Not Eligible for Free/Reduced Lunch",41,"43.9%","77.4%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Eligible for Reduced Lunch",10,"*","*"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Eligible for Free Lunch",42,"50.0%","71.5%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Not Eligible for Free/Reduced Lunch",239,"51.0%","71.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Eligible for Reduced Lunch",7,"*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Eligible for Free Lunch","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Not Eligible for Free/Reduced Lunch",85,"44.7%","70.6%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Eligible for Free Lunch",165,"30.9%","50.2%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Not Eligible for Free/Reduced Lunch",632,"42.9%","62.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Eligible for Reduced Lunch",44,"38.6%","56.3%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Eligible for Free Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Not Eligible for Free/Reduced Lunch",48,"33.3%","69.7%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Eligible for Free Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Not Eligible for Free/Reduced Lunch",57,"73.7%","96.4%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Eligible for Free Lunch",24,"50.0%","69.0%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Not Eligible for Free/Reduced Lunch",46,"28.3%","66.0%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Eligible for Reduced Lunch",8,"*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Eligible for Free Lunch",301,"61.1%","78.7%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Not Eligible for Free/Reduced Lunch",75,"61.3%","81.2%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Eligible for Reduced Lunch",46,"45.7%","67.0%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Eligible for Free Lunch",216,"21.8%","44.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Eligible for Free Lunch",108,"30.6%","53.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Eligible for Free Lunch",182,"41.8%","63.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Eligible for Free Lunch",552,"30.6%","52.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Eligible for Free Lunch",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Eligible for Free Lunch",129,"23.3%","47.0%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Eligible for Free Lunch",560,"33.2%","54.2%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Eligible for Free Lunch",186,"31.2%","52.8%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Eligible for Free Lunch",275,"38.5%","61.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Eligible for Free Lunch",143,"17.5%","36.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Eligible for Free Lunch",348,"25.9%","46.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Eligible for Free Lunch",146,"9.6%","26.5%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Eligible for Free Lunch",87,"29.9%","54.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Eligible for Free Lunch",334,"32.9%","56.7%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Eligible for Free Lunch",81,"29.6%","49.7%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Eligible for Free Lunch",89,"18.0%","46.4%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Eligible for Free Lunch",213,"24.4%","44.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Eligible for Free Lunch",164,"26.2%","50.1%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Eligible for Free Lunch",219,"28.3%","49.3%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Eligible for Free Lunch",261,"37.9%","58.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Eligible for Free Lunch",393,"25.7%","47.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Eligible for Free Lunch",199,"23.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Eligible for Free Lunch",233,"46.4%","68.5%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Eligible for Free Lunch",201,"30.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Eligible for Free Lunch",368,"28.5%","48.3%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Eligible for Free Lunch",218,"28.9%","49.2%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Eligible for Free Lunch",211,"22.7%","44.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Eligible for Free Lunch",332,"28.9%","49.9%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Eligible for Free Lunch",235,"40.0%","57.2%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Not Eligible for Free/Reduced Lunch",388,"44.6%","64.9%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Eligible for Reduced Lunch",41,"43.9%","62.7%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Eligible for Free Lunch",34,"44.1%","69.2%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Not Eligible for Free/Reduced Lunch",81,"39.5%","63.0%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Eligible for Free Lunch",51,"33.3%","69.7%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Not Eligible for Free/Reduced Lunch",50,"48.0%","78.4%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Eligible for Reduced Lunch",10,"*","*"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Eligible for Free Lunch",191,"38.7%","64.7%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Not Eligible for Free/Reduced Lunch",205,"39.0%","61.6%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Eligible for Reduced Lunch",46,"37.0%","61.9%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Eligible for Free Lunch","*","35.0%","55.3%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Not Eligible for Free/Reduced Lunch",89,"50.6%","78.9%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Eligible for Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Eligible for Free Lunch","*","37.5%","72.6%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Not Eligible for Free/Reduced Lunch",68,"39.7%","66.4%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Eligible for Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Eligible for Free Lunch",105,"47.6%","67.7%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Not Eligible for Free/Reduced Lunch",261,"47.9%","68.5%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Eligible for Reduced Lunch",30,"40.0%","56.5%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Eligible for Free Lunch","*","22.9%","49.4%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Not Eligible for Free/Reduced Lunch",72,"44.4%","63.5%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Eligible for Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Eligible for Free Lunch",66,"45.5%","74.4%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Not Eligible for Free/Reduced Lunch",64,"51.6%","77.8%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Eligible for Reduced Lunch",12,"*","*"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Eligible for Free Lunch",230,"40.9%","62.7%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Not Eligible for Free/Reduced Lunch",205,"48.8%","71.0%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Eligible for Reduced Lunch",29,"62.1%","82.7%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Eligible for Free Lunch","*","*","*"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Not Eligible for Free/Reduced Lunch",188,"32.4%","61.9%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Eligible for Reduced Lunch","*","*","*"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Eligible for Free Lunch",40,"40.0%","66.2%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Not Eligible for Free/Reduced Lunch",700,"49.3%","69.6%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Eligible for Reduced Lunch",14,"*","*"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Eligible for Free Lunch","*","*","*"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Not Eligible for Free/Reduced Lunch",50,"58.0%","85.7%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Eligible for Reduced Lunch","*","*","*"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Eligible for Free Lunch",80,"35.0%","51.6%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Not Eligible for Free/Reduced Lunch",250,"36.0%","54.8%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Eligible for Reduced Lunch",20,"40.0%","53.0%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Eligible for Free Lunch","*","*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Not Eligible for Free/Reduced Lunch","*","26.5%","50.3%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Eligible for Free Lunch","*","*","*"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Not Eligible for Free/Reduced Lunch",28,"46.4%","81.7%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Eligible for Reduced Lunch","*","*","*"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Eligible for Free Lunch",48,"31.3%","52.9%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Not Eligible for Free/Reduced Lunch",148,"46.6%","68.2%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Eligible for Reduced Lunch",16,"*","*"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Eligible for Free Lunch",35,"37.1%","57.5%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Not Eligible for Free/Reduced Lunch",324,"52.8%","76.4%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Eligible for Reduced Lunch",13,"*","*"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Eligible for Free Lunch","*","53.1%","79.6%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Not Eligible for Free/Reduced Lunch",234,"62.0%","79.2%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Eligible for Reduced Lunch","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Eligible for Free Lunch",45,"17.8%","36.2%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Not Eligible for Free/Reduced Lunch",32,"12.5%","29.3%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Eligible for Reduced Lunch",10,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Eligible for Free Lunch",114,"23.7%","40.8%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Not Eligible for Free/Reduced Lunch",163,"47.9%","64.8%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Eligible for Reduced Lunch",34,"26.5%","42.3%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Eligible for Free Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Not Eligible for Free/Reduced Lunch",21,"38.1%","68.0%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Eligible for Reduced Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Eligible for Free Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Eligible for Free Lunch","*","37.2%","66.1%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Not Eligible for Free/Reduced Lunch",80,"52.5%","81.7%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Eligible for Reduced Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Eligible for Free Lunch",146,"41.8%","61.5%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Not Eligible for Free/Reduced Lunch",117,"42.7%","60.7%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Eligible for Reduced Lunch",26,"34.6%","61.9%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Eligible for Free Lunch",61,"34.4%","66.6%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Not Eligible for Free/Reduced Lunch",50,"48.0%","72.1%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Eligible for Reduced Lunch",7,"*","*"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Eligible for Free Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Eligible for Free Lunch",103,"22.3%","40.9%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Not Eligible for Free/Reduced Lunch",75,"22.7%","44.4%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Eligible for Reduced Lunch",18,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Eligible for Free Lunch",113,"25.7%","48.1%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Not Eligible for Free/Reduced Lunch",152,"38.2%","61.6%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Eligible for Reduced Lunch",29,"37.9%","51.3%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Eligible for Free Lunch",31,"22.6%","46.8%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Not Eligible for Free/Reduced Lunch",50,"38.0%","61.0%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Eligible for Reduced Lunch",8,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Eligible for Free Lunch",43,"48.8%","73.8%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Not Eligible for Free/Reduced Lunch","*","50.0%","78.6%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Eligible for Reduced Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Eligible for Free Lunch",75,"26.7%","47.4%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Not Eligible for Free/Reduced Lunch",41,"34.1%","47.2%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Eligible for Reduced Lunch",13,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Eligible for Free Lunch",57,"35.1%","65.3%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Not Eligible for Free/Reduced Lunch",37,"48.6%","76.6%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Eligible for Reduced Lunch",8,"*","*"
"=""2410014""","Capitol Region Education Council","=""2419314""","River Street School","Not Eligible for Free/Reduced Lunch","*","*","*"
