"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","School Code","School","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Eligible for Free Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Not Eligible for Free/Reduced Lunch",116,"44.8%","68.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Eligible for Reduced Lunch","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Eligible for Free Lunch",64,"51.6%","69.9%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Not Eligible for Free/Reduced Lunch",579,"52.5%","71.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Eligible for Reduced Lunch",17,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Eligible for Free Lunch",13,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Not Eligible for Free/Reduced Lunch",121,"58.7%","80.0%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Eligible for Reduced Lunch",7,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Eligible for Free Lunch",15,"*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Not Eligible for Free/Reduced Lunch",173,"43.4%","69.9%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Eligible for Reduced Lunch",6,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Eligible for Free Lunch","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Not Eligible for Free/Reduced Lunch",79,"64.6%","86.6%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Eligible for Reduced Lunch","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Eligible for Free Lunch","*","*","*"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Not Eligible for Free/Reduced Lunch",154,"49.4%","69.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Eligible for Reduced Lunch","*","*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Eligible for Free Lunch",89,"40.4%","58.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Not Eligible for Free/Reduced Lunch",478,"57.1%","75.1%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Eligible for Reduced Lunch",46,"54.3%","72.5%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Eligible for Free Lunch",58,"41.4%","61.2%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Not Eligible for Free/Reduced Lunch",309,"46.0%","68.7%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Eligible for Reduced Lunch",29,"58.6%","77.8%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Eligible for Free Lunch",90,"38.9%","64.3%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Not Eligible for Free/Reduced Lunch",92,"29.3%","58.6%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Eligible for Reduced Lunch",22,"36.4%","70.7%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Eligible for Free Lunch",78,"34.6%","47.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Not Eligible for Free/Reduced Lunch",84,"32.1%","54.4%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Eligible for Reduced Lunch",17,"*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Eligible for Free Lunch","*","40.6%","57.6%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Not Eligible for Free/Reduced Lunch",44,"56.8%","76.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Eligible for Reduced Lunch","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Eligible for Free Lunch",46,"28.3%","58.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Not Eligible for Free/Reduced Lunch",41,"36.6%","64.9%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Eligible for Reduced Lunch",10,"*","*"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Eligible for Free Lunch",42,"40.5%","64.1%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Not Eligible for Free/Reduced Lunch",239,"59.8%","78.8%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Eligible for Reduced Lunch",7,"*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Eligible for Free Lunch","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Not Eligible for Free/Reduced Lunch",85,"37.6%","60.6%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Eligible for Free Lunch",166,"38.0%","56.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Not Eligible for Free/Reduced Lunch",632,"41.9%","60.2%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Eligible for Reduced Lunch",43,"37.2%","59.2%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Eligible for Free Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Not Eligible for Free/Reduced Lunch",48,"45.8%","68.5%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Eligible for Free Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Not Eligible for Free/Reduced Lunch",57,"70.2%","92.3%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Eligible for Reduced Lunch","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Eligible for Free Lunch",25,"44.0%","71.5%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Not Eligible for Free/Reduced Lunch",46,"50.0%","71.6%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Eligible for Reduced Lunch",8,"*","*"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Eligible for Free Lunch",301,"47.2%","66.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Not Eligible for Free/Reduced Lunch",75,"61.3%","79.9%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Eligible for Reduced Lunch",46,"45.7%","65.8%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Eligible for Free Lunch",216,"24.1%","50.9%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Eligible for Free Lunch",108,"25.9%","51.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Eligible for Free Lunch",180,"37.8%","60.4%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Eligible for Free Lunch",538,"33.5%","56.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Eligible for Free Lunch",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Eligible for Free Lunch",126,"31.7%","60.1%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Eligible for Free Lunch",506,"28.1%","52.5%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Eligible for Free Lunch",186,"37.1%","60.2%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Eligible for Free Lunch",272,"40.8%","67.4%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Eligible for Free Lunch",144,"16.0%","34.9%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Eligible for Free Lunch",349,"27.2%","51.7%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Eligible for Free Lunch",146,"15.1%","36.8%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Eligible for Free Lunch",87,"28.7%","53.9%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Eligible for Free Lunch",326,"34.7%","59.1%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Eligible for Free Lunch",81,"30.9%","61.2%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Eligible for Free Lunch",89,"28.1%","53.9%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Eligible for Free Lunch",213,"38.5%","60.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Eligible for Free Lunch",165,"27.9%","54.0%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Eligible for Free Lunch",219,"28.8%","52.5%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Eligible for Free Lunch",261,"40.2%","64.7%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Eligible for Free Lunch",360,"24.4%","49.8%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Eligible for Free Lunch",199,"34.2%","59.6%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Eligible for Free Lunch",233,"42.1%","61.0%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Eligible for Free Lunch",201,"38.3%","59.6%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Eligible for Free Lunch",366,"26.2%","47.0%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Eligible for Free Lunch",213,"22.1%","45.7%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Eligible for Free Lunch",211,"28.0%","51.2%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Eligible for Free Lunch",331,"39.6%","63.0%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Eligible for Free Lunch",232,"34.5%","53.8%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Not Eligible for Free/Reduced Lunch",388,"36.9%","57.7%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Eligible for Reduced Lunch",40,"27.5%","44.6%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Eligible for Free Lunch",34,"38.2%","70.2%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Not Eligible for Free/Reduced Lunch",81,"45.7%","73.6%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Eligible for Free Lunch",48,"39.6%","59.9%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Not Eligible for Free/Reduced Lunch",50,"44.0%","64.0%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Eligible for Reduced Lunch",10,"*","*"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Eligible for Free Lunch",189,"45.0%","68.6%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Not Eligible for Free/Reduced Lunch",204,"42.6%","63.2%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Eligible for Reduced Lunch",46,"39.1%","62.4%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Eligible for Free Lunch","*","36.8%","60.9%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Not Eligible for Free/Reduced Lunch",89,"49.4%","69.9%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Eligible for Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Eligible for Free Lunch","*","44.7%","64.2%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Not Eligible for Free/Reduced Lunch",68,"45.6%","66.9%"
"=""0170011""","Bristol School District","=""0171711""","Mountain View School","Eligible for Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0172811""","Northeast MS/GOAL","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Eligible for Free Lunch",105,"48.6%","65.4%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Not Eligible for Free/Reduced Lunch",260,"49.2%","70.6%"
"=""0170011""","Bristol School District","=""0175211""","Northeast Middle School","Eligible for Reduced Lunch",30,"40.0%","69.5%"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173111""","South Side GOAL","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Eligible for Free Lunch","*","33.3%","65.1%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Not Eligible for Free/Reduced Lunch",72,"48.6%","74.0%"
"=""0170011""","Bristol School District","=""0171111""","South Side School","Eligible for Reduced Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0173211""","Stafford Autism","Eligible for Free Lunch","*","*","*"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Eligible for Free Lunch",65,"38.5%","67.2%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Not Eligible for Free/Reduced Lunch",64,"46.9%","69.8%"
"=""0170011""","Bristol School District","=""0171211""","Stafford School","Eligible for Reduced Lunch",12,"*","*"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Eligible for Free Lunch",226,"41.6%","67.2%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Not Eligible for Free/Reduced Lunch",205,"47.8%","68.2%"
"=""0170011""","Bristol School District","=""0172011""","West Bristol School","Eligible for Reduced Lunch",29,"62.1%","83.2%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Eligible for Free Lunch","*","*","*"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Not Eligible for Free/Reduced Lunch",188,"38.8%","63.5%"
"=""0180011""","Brookfield School District","=""0180411""","Huckleberry Hill Elementary School","Eligible for Reduced Lunch","*","*","*"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Eligible for Free Lunch",39,"35.9%","51.2%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Not Eligible for Free/Reduced Lunch",700,"46.0%","64.4%"
"=""0180011""","Brookfield School District","=""0185311""","Whisconier Middle School","Eligible for Reduced Lunch",14,"*","*"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Eligible for Free Lunch","*","*","*"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Not Eligible for Free/Reduced Lunch",50,"68.0%","85.5%"
"=""0190011""","Brooklyn School District","=""0190111""","Brooklyn Elementary School","Eligible for Reduced Lunch","*","*","*"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Eligible for Free Lunch",81,"44.4%","66.7%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Not Eligible for Free/Reduced Lunch",250,"48.4%","66.4%"
"=""0190011""","Brooklyn School District","=""0195111""","Brooklyn Middle School","Eligible for Reduced Lunch",20,"30.0%","58.2%"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Eligible for Free Lunch","*","*","*"
"=""0210011""","Canaan School District","=""0210111""","Lee H. Kellogg School","Not Eligible for Free/Reduced Lunch","*","55.9%","73.8%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Eligible for Free Lunch","*","*","*"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Not Eligible for Free/Reduced Lunch",28,"42.9%","75.6%"
"=""0220011""","Canterbury School District","=""0220211""","Canterbury Elementary School","Eligible for Reduced Lunch","*","*","*"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Eligible for Free Lunch",48,"50.0%","72.4%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Not Eligible for Free/Reduced Lunch",148,"40.5%","62.3%"
"=""0220011""","Canterbury School District","=""0225111""","Dr. Helen Baldwin Middle School","Eligible for Reduced Lunch",16,"*","*"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Eligible for Free Lunch",35,"22.9%","55.1%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Not Eligible for Free/Reduced Lunch",324,"54.0%","74.2%"
"=""0230011""","Canton School District","=""0230311""","Canton Intermediate School","Eligible for Reduced Lunch",13,"*","*"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Eligible for Free Lunch","*","40.6%","58.3%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Not Eligible for Free/Reduced Lunch",234,"53.0%","70.4%"
"=""0230011""","Canton School District","=""0235111""","Canton Middle School","Eligible for Reduced Lunch","*","*","*"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Eligible for Free Lunch",45,"37.8%","57.9%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Not Eligible for Free/Reduced Lunch",32,"40.6%","64.6%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","=""2970113""","Capital Preparatory Harbor School Inc.","Eligible for Reduced Lunch",11,"*","*"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Eligible for Free Lunch",122,"29.5%","50.2%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Not Eligible for Free/Reduced Lunch",171,"39.8%","58.0%"
"=""2410014""","Capitol Region Education Council","=""2415114""","Academy of Aerospace and Engineering","Eligible for Reduced Lunch",34,"20.6%","45.2%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Eligible for Free Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Not Eligible for Free/Reduced Lunch",21,"42.9%","67.1%"
"=""2410014""","Capitol Region Education Council","=""2418114""","Discovery Academy","Eligible for Reduced Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Eligible for Free Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2419214""","Farmington Valley Regional Diagnostic Center","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Eligible for Free Lunch","*","27.9%","67.8%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Not Eligible for Free/Reduced Lunch",80,"62.5%","81.7%"
"=""2410014""","Capitol Region Education Council","=""2410114""","Glastonbury/East Hartford Magnet School","Eligible for Reduced Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Eligible for Free Lunch",152,"41.4%","64.1%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Not Eligible for Free/Reduced Lunch",118,"41.5%","57.7%"
"=""2410014""","Capitol Region Education Council","=""2415314""","Greater Hartford Academy of the Arts Magnet Middle","Eligible for Reduced Lunch",26,"61.5%","83.6%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Eligible for Free Lunch",62,"38.7%","69.1%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Not Eligible for Free/Reduced Lunch",49,"57.1%","73.8%"
"=""2410014""","Capitol Region Education Council","=""2410414""","International Magnet School for Global Citizenship","Eligible for Reduced Lunch",7,"*","*"
"=""2410014""","Capitol Region Education Council","=""2419014""","John J. Allison Polaris Center","Eligible for Free Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Eligible for Free Lunch",102,"41.2%","64.4%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Not Eligible for Free/Reduced Lunch",75,"36.0%","61.2%"
"=""2410014""","Capitol Region Education Council","=""2416514""","Medical Professions and Teacher Preparation Academy","Eligible for Reduced Lunch",18,"*","*"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Eligible for Free Lunch",114,"39.5%","58.9%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Not Eligible for Free/Reduced Lunch",152,"42.8%","61.3%"
"=""2410014""","Capitol Region Education Council","=""2416114""","Metropolitan Learning Center for Global and International Studies","Eligible for Reduced Lunch",29,"55.2%","74.6%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Eligible for Free Lunch",31,"32.3%","53.2%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Not Eligible for Free/Reduced Lunch",50,"50.0%","71.3%"
"=""2410014""","Capitol Region Education Council","=""2413114""","Montessori Magnet School","Eligible for Reduced Lunch",8,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Eligible for Free Lunch",41,"34.1%","68.1%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Not Eligible for Free/Reduced Lunch","*","48.4%","72.8%"
"=""2410014""","Capitol Region Education Council","=""2410514""","Museum Academy","Eligible for Reduced Lunch","*","*","*"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Eligible for Free Lunch",79,"41.8%","59.1%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Not Eligible for Free/Reduced Lunch",42,"40.5%","62.7%"
"=""2410014""","Capitol Region Education Council","=""2415214""","Public Safety Academy","Eligible for Reduced Lunch",13,"*","*"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Eligible for Free Lunch",58,"32.8%","61.8%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Not Eligible for Free/Reduced Lunch",37,"48.6%","75.2%"
"=""2410014""","Capitol Region Education Council","=""2410314""","Reggio Magnet School of the Arts","Eligible for Reduced Lunch",8,"*","*"
